	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13N11.0926.SM.5IJG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.ZZPU.0426.SM.5GZYH	GTEX.131XE.0326.SM.5LZVO	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8621.01A.11R.2403.07	TCGA.78.7633.01A.11R.2066.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6984.11A.01R.1949.07	TCGA.50.5936.11A.01R.1628.07	TCGA.91.6849.11A.01R.1949.07	TCGA.55.6968.11A.01R.1949.07	TCGA.50.5931.11A.01R.1858.07	TCGA.44.6778.11A.01R.1858.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.6761.11A.01R.1949.07	TCGA.49.6744.11A.01R.1858.07	TCGA.55.6972.11A.01R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.91.6847.11A.01R.1949.07	TCGA.91.6828.11A.01R.1858.07	TCGA.44.2668.11A.01R.1758.07	TCGA.91.6831.11A.02R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.50.6595.11A.01R.1858.07	TCGA.44.6777.11A.01R.1858.07	TCGA.44.2662.11A.01R.1758.07	TCGA.38.4626.11A.01R.1758.07	GTEX.OHPK.0526.SM.2HMJB	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.XYKS.0526.SM.4BRW2	GTEX.OOBJ.0526.SM.48TDK	GTEX.P4QT.0526.SM.2I3EX	GTEX.SE5C.0526.SM.2XCE1	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.13YAN.1026.SM.5O9CF	GTEX.13113.0426.SM.5GCOD	GTEX.1477Z.0626.SM.5NQB7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDTT.0926.SM.5J2MS	GTEX.1399S.1726.SM.5L3DI	GTEX.XPVG.1026.SM.4B64Y	GTEX.X261.1026.SM.3NMDL	GTEX.S341.0326.SM.2XCAU	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYVF.1726.SM.5E443	GTEX.131XE.0726.SM.5HL9K	GTEX.148VJ.0826.SM.5LU8V	GTEX.PLZ5.0726.SM.2I5F9	GTEX.X4EP.0526.SM.3P5YW	GTEX.UJMC.0726.SM.3GADX	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU	TCGA.22.5478.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.34.8454.11A.01R.2326.07	TCGA.77.7338.11A.01R.2045.07	TCGA.43.6771.11A.01R.1820.07	TCGA.22.5491.11A.01R.1858.07	TCGA.22.5481.11A.01R.1949.07	TCGA.33.6737.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.43.7658.11A.01R.2125.07	TCGA.56.8083.11A.01R.2247.07
FCN3	48307.85	45701.96	16269.83	15607.02	13968.57	14765.09	11584.24	14065.74	16383.0	16269.83	16960.78	12415.75	33688.23	28923.41	27363.16	24490.61	15180.22	19348.38	0.0	4066.71	299.25	669.92	4010.71	18560.17	18950.18	5006.93	28132.47	21026.65	6840.04	20593.91	15075.35	16843.62	6983.79	7032.37	12415.75	4388.98	18431.96	36864.92	16383.0	15607.02	13968.57	24490.61	40062.48	87075.75	7382.04	12943.04	40062.48	25887.07	26986.43	18560.17	91404.92	66912.05	10959.3	51062.33	34635.37	28923.41	37121.34	44452.21	55491.3	58655.36	44145.15	34158.52	22380.2	15392.14	54727.32	24490.61	85876.94	51775.15	64632.75	117311.73	27553.49	45701.96	28923.41	46662.28	25354.3	39785.74	70238.75	15824.9	16383.0	15285.81	21768.19	18304.63	29531.18	10154.69	37639.55	26248.46	9808.75	17558.94
FGD5	267.73	175.07	158.79	82.87	79.45	75.11	74.06	87.03	108.9	111.99	84.63	92.05	85.22	152.28	154.42	106.63	108.14	88.26	0.0	503.95	164.42	68.07	358.54	813.63	656.11	567.1	723.08	1119.56	825.0	575.03	830.75	836.53	612.11	447.82	536.45	587.13	629.35	403.5	884.29	669.92	743.43	555.41	1388.16	866.07	441.64	1225.22	1015.93	273.37	1498.22	1167.14	587.13	1051.79	896.64	647.07	808.0	1350.18	638.15	665.29	1088.92	1208.34	743.43	1066.48	713.11	775.05	1167.14	389.72	733.19	397.93	921.88	1277.29	854.13	713.11	961.07	848.22	1540.37	808.0	1457.23	1015.93	567.1	808.0	587.13	934.76	669.92	616.37	1151.06	447.82	490.14	866.07
FZD4	473.41	190.34	218.79	130.6	100.13	165.57	312.0	239.52	136.19	255.0	93.35	182.55	110.43	295.11	363.56	327.56	249.73	231.32	47.5	307.69	241.19	88.88	249.73	583.07	1066.48	223.41	493.56	669.92	249.73	616.37	1561.89	915.51	559.28	320.8	543.96	202.66	435.55	693.58	753.83	426.57	738.29	198.47	748.61	842.36	127.0	1233.75	1806.78	379.04	642.59	1008.9	417.77	2758.13	1233.75	473.41	1909.85	1199.98	368.65	2061.24	1277.29	780.44	1359.57	1044.52	612.11	503.95	753.83	595.34	454.09	470.14	703.28	536.45	860.08	543.96	1015.93	764.36	954.43	1143.1	579.04	713.11	503.95	616.37	559.28	279.14	540.19	476.71	759.08	463.65	361.04	928.3
GFOD1	47.17	55.49	111.99	31.22	16.27	35.76	16.39	84.04	69.03	21.63	39.5	38.12	126.12	33.3	63.0	64.8	25.17	19.97	46.18	115.16	38.12	19.82	78.89	178.77	273.37	95.34	118.43	224.97	102.25	132.44	389.72	241.19	120.94	134.3	173.85	78.89	102.25	120.94	199.85	133.36	171.45	50.27	447.82	316.37	38.95	412.0	483.38	162.14	170.25	279.14	332.14	323.03	187.71	132.44	182.55	287.01	147.06	283.05	457.25	224.97	295.11	435.55	241.19	371.22	426.57	169.07	167.9	98.04	75.11	242.88	507.46	63.45	343.89	149.12	329.84	500.46	110.43	204.07	165.57	132.44	115.97	77.79	123.5	112.77	198.47	96.01	128.79	239.52
GIMAP6	555.41	403.5	295.11	193.01	279.14	258.57	256.78	318.57	279.14	346.29	187.71	163.28	195.72	417.77	135.24	148.09	237.86	239.52	0.0	753.83	242.88	275.28	616.37	1015.93	1104.13	587.13	1295.13	1350.18	507.46	1119.56	1175.27	1709.26	934.76	679.29	802.41	651.58	941.27	1135.2	1757.34	1286.18	656.11	723.08	4095.0	1088.92	163.28	2701.35	3060.45	575.03	4181.07	2520.38	1322.37	2956.17	2956.17	1350.18	2061.24	2537.92	2875.3	536.45	4066.71	1909.85	1697.45	3589.58	2701.35	2758.13	3372.43	1457.23	189.02	603.67	2976.74	1605.83	3419.52	403.5	1963.57	2004.85	3081.75	1427.22	514.56	1477.58	995.0	1199.98	1250.98	698.41	1051.79	802.41	2400.97	733.19	848.22	1359.57
GIMAP8	500.46	115.16	289.02	163.28	181.28	212.78	142.01	256.78	190.34	269.6	161.02	158.79	249.73	351.14	185.11	194.36	251.48	289.02	0.0	493.56	133.36	59.55	409.15	1008.9	1037.29	366.09	1119.56	1295.13	473.41	848.22	1037.29	1313.23	860.08	603.67	543.96	387.02	1008.9	518.15	1594.73	878.17	521.76	371.22	1540.37	1594.73	128.79	842.36	2075.59	312.0	1437.15	1225.22	1159.07	1529.73	1183.45	1259.69	1832.01	2720.15	1594.73	1015.93	1674.06	2075.59	1540.37	2417.67	902.89	915.51	688.78	981.29	218.79	518.15	2018.8	3168.41	1242.34	447.82	961.07	2758.13	1883.54	1159.07	915.51	1008.9	896.64	802.41	1561.89	507.46	1023.0	713.11	1857.6	507.46	854.13	967.76
GRASP	486.75	518.15	307.69	80.01	141.02	447.82	68.07	189.02	220.32	82.87	242.88	205.5	356.05	133.36	607.87	291.04	84.63	127.0	0.0	346.29	234.57	108.14	457.25	1111.82	2367.9	473.41	1781.89	2758.13	395.18	842.36	2193.99	2351.53	890.44	486.75	1733.13	713.11	2271.4	1709.26	1781.89	764.36	1844.76	1044.52	4736.79	1051.79	616.37	3280.18	3280.18	1081.39	2047.0	4388.98	3039.3	3212.66	3168.41	3395.89	1628.26	1508.65	2720.15	2835.7	2240.11	1745.2	2573.36	1977.24	1242.34	1963.57	1417.35	988.12	1259.69	503.95	902.89	1225.22	2835.7	387.02	2303.12	759.08	2555.58	4836.35	2701.35	1111.82	1950.0	878.17	1322.37	1651.0	1216.75	1233.75	1104.13	2520.38	974.5	1662.49
HECW2	91.41	83.45	38.12	22.26	48.87	73.54	27.05	70.51	66.18	28.86	31.45	41.22	20.41	48.87	58.3	64.34	27.64	56.68	0.0	147.06	153.34	22.75	89.51	228.13	429.54	59.55	217.27	305.55	125.24	341.51	287.01	389.72	236.21	130.6	193.01	120.94	351.14	211.31	327.56	189.02	212.78	71.0	237.86	155.5	98.73	173.85	318.57	101.54	525.39	339.14	177.53	713.11	642.59	463.65	417.77	363.56	279.14	165.57	258.57	131.51	285.03	318.57	287.01	463.65	848.22	165.57	94.01	84.63	336.79	497.0	312.0	94.67	244.57	323.03	275.28	400.71	231.32	371.22	316.37	211.31	194.36	199.85	115.16	116.78	463.65	291.04	149.12	231.32
HIP1	256.78	163.28	183.82	158.79	195.72	264.03	80.57	201.25	204.07	343.89	99.43	287.01	161.02	224.97	191.67	102.25	151.22	154.42	0.0	514.56	228.13	95.34	629.35	796.86	738.29	373.81	674.59	620.67	486.75	555.41	825.0	713.11	551.56	743.43	738.29	450.94	656.11	346.29	775.05	607.87	547.75	256.78	974.5	521.76	177.53	2119.22	1467.37	258.57	500.46	764.36	595.34	1001.93	1208.34	967.76	1216.75	854.13	723.08	796.86	1313.23	988.12	941.27	1225.22	866.07	1216.75	1104.13	603.67	409.15	819.3	483.38	392.44	693.58	242.88	981.29	376.41	1183.45	1073.91	1561.89	775.05	665.29	518.15	638.15	571.05	547.75	500.46	713.11	536.45	454.09	624.99
HSPA12B	62.56	163.28	100.13	27.64	23.08	54.33	23.08	43.94	62.12	18.43	26.86	44.25	90.14	30.34	26.67	64.34	30.56	25.72	0.0	314.17	110.43	20.26	186.4	463.65	866.07	262.2	995.0	974.5	239.52	842.36	334.46	1051.79	336.79	353.59	320.8	166.73	575.03	379.04	896.64	540.19	500.46	312.0	1111.82	466.88	58.3	748.61	915.51	674.59	1427.22	791.35	426.57	1051.79	728.11	872.1	836.53	1044.52	476.71	316.37	1242.34	854.13	454.09	769.69	587.13	830.75	1191.69	466.88	98.04	271.48	674.59	301.33	583.07	356.05	493.56	866.07	642.59	497.0	221.86	748.61	463.65	921.88	454.09	318.57	497.0	426.57	1030.12	395.18	514.56	647.07
ITGA10	12.18	2.01	15.91	4.21	4.39	2.63	0.78	12.18	1.95	5.41	11.73	2.97	32.36	2.61	8.51	12.09	3.2	17.25	0.0	81.71	26.86	31.45	72.01	62.12	175.07	46.18	166.73	122.64	84.04	46.84	201.25	155.5	43.63	97.36	95.34	82.87	126.12	100.13	126.12	80.01	121.79	65.72	417.77	215.77	35.25	120.1	171.45	76.71	75.11	98.04	89.51	376.41	154.42	163.28	113.56	186.4	287.01	149.12	267.73	157.68	295.11	191.67	170.25	185.11	647.07	113.56	571.05	177.53	67.12	180.02	228.13	85.82	303.44	120.1	297.17	206.94	129.69	115.97	90.77	164.42	97.36	88.88	68.55	87.03	162.14	131.51	75.64	226.54
KCNK3	9.63	41.52	30.12	71.5	4.21	3.89	85.22	1.81	4.39	5.23	5.11	3.59	9.48	14.89	11.82	5.5	1.55	16.27	0.0	275.28	199.85	11.13	98.04	397.93	1015.93	173.85	624.99	483.38	241.19	332.14	470.14	493.56	305.55	262.2	283.05	159.9	392.44	547.75	435.55	353.59	500.46	176.29	6607.01	1023.0	19.11	728.11	1008.9	206.94	967.76	2956.17	400.71	1233.75	703.28	1331.57	733.19	2451.44	872.1	1233.75	1331.57	1313.23	620.67	693.58	341.51	1417.35	1242.34	2384.37	8.19	438.59	1225.22	713.11	759.08	51.35	718.08	591.22	1104.13	2319.15	1561.89	599.49	341.51	514.56	400.71	249.73	384.34	395.18	525.39	540.19	258.57	612.11
KIAA0355	121.79	86.43	135.24	59.97	74.58	107.38	28.04	122.64	82.29	61.25	103.69	156.59	195.72	74.58	114.36	100.13	152.28	115.97	0.0	239.52	226.54	78.89	248.0	414.87	447.82	194.36	327.56	555.41	199.85	358.54	518.15	454.09	343.89	262.2	346.29	234.57	490.14	191.67	525.39	297.17	309.83	156.59	376.41	275.28	152.28	684.02	473.41	169.07	466.88	351.14	454.09	497.0	389.72	483.38	417.77	543.96	432.53	674.59	260.38	571.05	647.07	379.04	293.07	384.34	624.99	277.2	289.02	214.27	470.14	389.72	507.46	214.27	808.0	197.09	334.46	336.79	536.45	409.15	379.04	420.68	389.72	255.0	264.03	256.78	457.25	234.57	251.48	379.04
MN1	15.91	7.63	8.0	0.79	3.06	1.75	1.28	35.0	3.53	11.82	15.11	1.93	31.22	4.39	4.5	2.89	0.55	7.88	0.0	43.63	15.22	15.11	18.7	52.82	140.04	31.22	84.63	56.28	39.22	105.15	70.01	105.89	52.08	26.47	47.84	44.57	68.07	28.86	121.79	68.07	46.5	38.67	124.37	18.7	17.0	373.81	579.04	24.81	61.68	139.07	221.86	638.15	124.37	190.34	109.66	130.6	176.29	128.79	131.51	105.89	151.22	49.91	20.41	100.13	169.07	120.1	14.45	25.91	40.93	44.89	66.18	41.52	55.89	35.25	195.72	134.3	48.87	60.39	60.39	155.5	64.34	48.18	38.12	38.12	115.16	56.28	43.63	50.63
NDRG4	31.0	16.27	14.24	21.94	7.94	18.56	267.73	49.56	51.35	4.86	30.78	77.25	39.22	23.59	36.01	547.75	64.8	41.22	0.0	336.79	67.59	80.01	217.27	769.69	1295.13	177.53	967.76	1037.29	199.85	660.68	1051.79	1066.48	490.14	567.1	379.04	204.07	848.22	480.04	1277.29	571.05	866.07	503.95	2075.59	1594.73	43.94	3768.09	4671.57	309.83	2004.85	1662.49	1662.49	4607.24	4152.18	1277.29	2018.8	1745.2	836.53	1008.9	2976.74	1242.34	2255.7	2451.44	1857.6	1208.34	872.1	547.75	189.02	202.66	343.89	941.27	665.29	368.65	2739.08	1457.23	1259.69	2119.22	1551.09	669.92	633.73	753.83	769.69	483.38	796.86	518.15	1378.57	769.69	543.96	1111.82
NEGR1	18.97	0.54	3.53	4.74	3.11	1.28	0.79	9.48	1.3	0.42	0.28	3.11	4.7	2.23	6.67	7.4	0.0	1.73	0.0	50.63	21.16	15.11	122.64	183.82	201.25	52.08	134.3	114.36	80.57	58.3	301.33	139.07	136.19	117.6	142.01	57.08	187.71	152.28	136.19	193.01	218.79	82.29	260.38	110.43	58.3	713.11	483.38	49.56	309.83	156.59	232.94	320.8	255.0	412.0	169.07	320.8	363.56	198.47	173.85	688.78	305.55	299.25	262.2	178.77	1397.83	151.22	5.96	202.66	80.01	99.43	525.39	255.0	376.41	316.37	638.15	224.97	251.48	128.79	299.25	220.32	373.81	103.69	142.01	166.73	368.65	118.43	124.37	151.22
NOVA2	38.67	21.94	17.51	8.58	11.82	13.32	6.41	15.11	13.03	15.0	13.52	8.92	53.57	13.32	46.5	29.06	15.22	21.32	0.0	72.01	63.0	8.06	74.58	205.5	237.86	105.15	201.25	211.31	82.29	267.73	189.02	320.8	116.78	94.67	121.79	59.13	187.71	141.02	295.11	180.02	173.85	78.89	358.54	105.15	71.5	406.31	389.72	126.12	460.44	289.02	108.14	279.14	318.57	150.17	176.29	320.8	145.02	161.02	339.14	248.0	214.27	241.19	105.89	121.79	514.56	149.12	118.43	83.45	420.68	246.28	348.71	127.0	339.14	155.5	215.77	148.09	89.51	218.79	175.07	206.94	253.23	95.34	167.9	154.42	287.01	161.02	144.01	175.07
