	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07
C16orf13	708.18	379.04	0.69	1662.49	4358.66	2032.85	1407.55	2520.38	4671.57	2591.27	3257.52	2591.27	3443.31	2434.5	2502.97	1369.04	3349.13	1477.58	2777.33	1870.53	2047.0	3794.3	4607.24	1259.69	4575.41	2468.49	3303.0	4358.66	2777.33	4481.23	1286.18	1447.15	1313.23	1111.82	5183.54	2400.97	1487.87	2875.3	3690.52	2555.58	2976.74	1551.09	1397.83
C1orf172	260.38	190.34	0.0	236.21	454.09	348.71	228.13	507.46	647.07	441.64	438.59	343.89	420.68	384.34	503.95	198.47	392.44	206.94	376.41	241.19	412.0	490.14	441.64	281.09	514.56	400.71	389.72	511.0	303.44	165.57	267.73	287.01	258.57	287.01	450.94	397.93	316.37	371.22	503.95	447.82	341.51	476.71	346.29
C9orf142	241.19	303.44	0.67	896.64	2163.77	1286.18	791.35	1508.65	2609.3	1477.58	1857.6	1407.55	2075.59	1991.0	1225.22	743.43	1844.76	848.22	1427.22	884.29	890.44	2018.8	2956.17	854.13	2335.28	1369.04	1757.34	2895.31	1844.76	2573.36	872.1	476.71	703.28	921.88	3081.75	1427.22	769.69	1208.34	2434.5	1259.69	1923.14	1111.82	1183.45
CACFD1	154.42	141.02	0.32	529.06	866.07	595.34	563.18	698.41	1088.92	476.71	738.29	819.3	934.76	836.53	796.86	432.53	633.73	457.25	1191.69	466.88	579.04	575.03	738.29	579.04	878.17	595.34	429.54	995.0	583.07	915.51	532.74	603.67	327.56	476.71	1175.27	813.63	551.56	785.88	934.76	934.76	587.13	343.89	379.04
COPE	981.29	1407.55	0.91	5329.3	10084.54	6652.97	3491.39	8421.31	7382.04	6840.04	7911.95	5791.62	9409.14	6935.54	6337.83	3103.19	7695.57	4704.07	6840.04	4152.18	4419.52	8191.0	10154.69	3515.68	14971.21	6699.25	7803.01	8901.53	6792.79	8134.41	4328.55	3280.18	3060.45	4010.71	12160.22	6652.97	3847.29	5219.6	7642.41	6516.03	7180.15	5633.22	4704.07
COPG1	1457.23	3303.0	2163.77	8247.98	10808.41	7589.61	6381.92	8247.98	7081.29	7695.57	7966.99	5913.33	9673.69	9606.86	9088.59	5006.93	9808.75	7485.11	9025.81	7642.41	6426.31	8538.88	7180.15	5831.91	11909.94	8538.88	8421.31	6745.86	8363.13	11112.3	7803.01	6471.02	7280.4	6381.92	10659.59	8305.36	5831.91	8363.13	10512.82	8901.53	8718.32	7382.04	5791.62
DDX49	384.34	220.32	0.52	866.07	941.27	1023.0	660.68	1378.57	2032.85	1066.48	1066.48	1008.9	1407.55	1286.18	1081.39	629.35	1167.14	738.29	1015.93	791.35	813.63	1757.34	1477.58	748.61	1628.26	1331.57	866.07	1487.87	1143.1	1519.15	769.69	728.11	647.07	759.08	1551.09	1175.27	878.17	1051.79	1286.18	909.17	1143.1	1111.82	872.1
DECR2	155.5	193.01	0.68	708.18	825.0	353.59	277.2	353.59	1331.57	872.1	332.14	660.68	703.28	878.17	497.0	334.46	830.75	343.89	808.0	299.25	353.59	693.58	802.41	343.89	2018.8	457.25	503.95	1322.37	780.44	988.12	255.0	373.81	329.84	273.37	1183.45	693.58	599.49	476.71	733.19	733.19	738.29	830.75	500.46
DKFZP761J1410	305.55	256.78	0.96	1268.46	1508.65	1477.58	915.51	1331.57	1127.35	1059.11	1457.23	1111.82	1685.71	1457.23	1199.98	698.41	764.36	1044.52	1857.6	775.05	915.51	1111.82	1388.16	967.76	1519.15	1745.2	2090.03	1151.06	759.08	2148.82	934.76	854.13	759.08	1008.9	1437.15	1216.75	842.36	1447.15	1397.83	1832.01	941.27	902.89	921.88
DTYMK	275.28	229.72	0.21	447.82	1073.91	500.46	368.65	642.59	1044.52	703.28	733.19	603.67	796.86	728.11	587.13	376.41	693.58	432.53	612.11	397.93	532.74	825.0	1111.82	493.56	688.78	629.35	796.86	813.63	620.67	836.53	460.44	429.54	366.09	423.61	934.76	638.15	435.55	571.05	698.41	638.15	764.36	651.58	447.82
DUSP23	624.99	599.49	0.67	660.68	466.88	988.12	381.68	941.27	764.36	1151.06	1250.98	384.34	1769.57	1233.75	571.05	753.83	629.35	934.76	909.17	651.58	525.39	1519.15	1639.59	579.04	2004.85	759.08	1037.29	1081.39	1304.15	1427.22	830.75	571.05	529.06	759.08	1295.13	466.88	460.44	400.71	1561.89	575.03	1119.56	764.36	866.07
ERCC1	1639.59	1437.15	848.22	1583.71	3443.31	1617.0	1697.45	2287.2	2855.44	1977.24	2163.77	1721.16	2664.15	2367.9	2485.67	1721.16	2591.27	1407.55	1674.06	2032.85	1806.78	2255.7	2997.45	1487.87	3212.66	2573.36	2255.7	2720.15	1909.85	2400.97	1605.83	1508.65	1378.57	1781.89	3190.46	2303.12	1447.15	2104.58	3168.41	2720.15	2255.7	2240.11	1639.59
FAM127B	1806.78	791.35	0.92	1733.13	2163.77	2119.22	348.71	2520.38	2148.82	2047.0	2796.65	1936.53	2485.67	2163.77	1572.76	1721.16	1794.29	1583.71	2417.67	1561.89	1572.76	1697.45	2451.44	1605.83	2209.26	1685.71	2032.85	2255.7	2209.26	3491.39	1359.57	1233.75	1487.87	1508.65	2287.2	1794.29	1359.57	2367.9	2417.67	1977.24	2997.45	2148.82	1991.0
FAM53A	25.54	3.89	0.2	26.47	37.32	30.12	32.59	45.21	122.64	37.85	29.48	38.95	30.12	40.64	38.4	22.59	54.72	30.56	40.64	29.27	29.7	62.12	38.4	36.53	39.22	38.67	53.95	55.49	34.51	42.71	22.92	38.67	25.35	24.28	81.14	55.1	45.53	73.03	54.72	31.9	16.39	19.97	40.36
FASTK	547.75	320.8	0.74	1159.07	3060.45	1781.89	1111.82	1977.24	3280.18	1832.01	2193.99	1883.54	2367.9	2178.83	1870.53	1066.48	2287.2	1427.22	2119.22	1066.48	1183.45	2664.15	2739.08	1135.2	3124.78	2047.0	2303.12	2875.3	1617.0	3372.43	1378.57	967.76	1127.35	1322.37	3212.66	2335.28	1135.2	1519.15	2816.11	1781.89	2133.97	1322.37	1359.57
FBXW5	529.06	486.75	0.97	1794.29	2537.92	1923.14	1295.13	2133.97	3395.89	1963.57	2664.15	2485.67	2720.15	2434.5	2119.22	1259.69	2133.97	1397.83	2875.3	1066.48	1529.73	3372.43	3419.52	1378.57	2997.45	2627.46	2163.77	3395.89	2224.63	3257.52	1561.89	1030.12	1250.98	1674.06	2739.08	2075.59	1757.34	2018.8	2400.97	2119.22	2417.67	1498.22	2018.8
FOXS1	5.96	13.03	0.18	22.1	19.82	46.84	66.18	17.9	88.26	24.46	45.85	22.1	83.45	71.0	9.56	32.82	29.91	47.17	73.54	7.82	8.25	114.36	35.0	44.89	62.12	100.13	113.56	55.89	7.75	141.02	16.88	34.51	6.01	10.16	52.08	34.51	14.56	8.99	43.02	23.76	22.1	15.45	18.56
GAK	651.58	341.51	1.2	1551.09	2520.38	1991.0	954.43	1963.57	2119.22	1685.71	2303.12	1639.59	2255.7	2255.7	1883.54	808.0	1991.0	1304.15	2319.15	981.29	1081.39	2400.97	2609.3	1151.06	2485.67	1709.26	2255.7	2537.92	2148.82	2537.92	1757.34	718.08	743.43	1477.58	2303.12	1806.78	1208.34	1806.78	2303.12	1662.49	2627.46	1225.22	1529.73
GLTPD1	154.42	178.77	0.33	426.57	775.05	571.05	336.79	599.49	825.0	624.99	854.13	438.59	638.15	808.0	503.95	258.57	633.73	376.41	660.68	318.57	392.44	775.05	915.51	332.14	860.08	591.22	647.07	1030.12	642.59	723.08	381.68	329.84	262.2	384.34	1008.9	559.28	432.53	563.18	796.86	532.74	651.58	420.68	441.64
GMEB2	147.06	84.04	0.64	178.77	234.57	214.27	149.12	251.48	320.8	226.54	307.69	256.78	205.5	242.88	229.72	176.29	172.65	165.57	353.59	164.42	229.72	255.0	211.31	201.25	217.27	242.88	224.97	314.17	155.5	307.69	285.03	171.45	195.72	287.01	234.57	228.13	229.72	267.73	297.17	285.03	186.4	178.77	221.86
HIRIP3	100.83	132.44	0.01	265.87	483.38	291.04	214.27	323.03	348.71	343.89	323.03	277.2	392.44	264.03	291.04	244.57	327.56	289.02	281.09	211.31	231.32	435.55	409.15	224.97	420.68	241.19	381.68	366.09	366.09	320.8	149.12	187.71	234.57	201.25	305.55	287.01	169.07	334.46	348.71	256.78	397.93	329.84	318.57
HMHA1	94.01	234.57	0.96	265.87	318.57	312.0	277.2	214.27	665.29	454.09	285.03	693.58	353.59	429.54	226.54	156.59	165.57	232.94	595.34	217.27	153.34	265.87	607.87	275.28	669.92	327.56	190.34	454.09	444.72	579.04	242.88	239.52	145.02	202.66	559.28	409.15	256.78	493.56	194.36	173.85	293.07	163.28	156.59
HMOX2	414.87	1015.93	0.73	1242.34	2193.99	1477.58	1037.29	1674.06	1832.01	1427.22	1594.73	1594.73	1477.58	1639.59	1268.46	1242.34	1709.26	1008.9	1250.98	1286.18	1208.34	1963.57	1991.0	1073.91	1407.55	1331.57	1781.89	1639.59	1397.83	1583.71	988.12	1304.15	1119.56	890.44	1639.59	1769.57	1259.69	1583.71	1313.23	1794.29	2104.58	1135.2	1159.07
HYAL2	395.18	830.75	0.0	848.22	1167.14	1088.92	563.18	1331.57	775.05	854.13	1001.93	961.07	1127.35	1183.45	896.64	743.43	854.13	842.36	1008.9	748.61	713.11	1467.37	1151.06	642.59	1183.45	1199.98	1127.35	775.05	1073.91	1477.58	703.28	718.08	518.15	769.69	884.29	753.83	796.86	796.86	1159.07	1233.75	1015.93	633.73	1001.93
IPO4	567.1	228.13	0.0	525.39	1037.29	500.46	312.0	540.19	1191.69	684.02	507.46	684.02	753.83	813.63	842.36	463.65	633.73	281.09	769.69	397.93	525.39	902.89	656.11	473.41	723.08	866.07	583.07	738.29	603.67	638.15	674.59	616.37	358.54	460.44	836.53	728.11	500.46	629.35	848.22	764.36	476.71	295.11	307.69
JMJD4	293.07	256.78	0.0	366.09	629.35	435.55	371.22	447.82	684.02	490.14	503.95	500.46	599.49	529.06	460.44	314.17	493.56	320.8	507.46	387.02	400.71	599.49	616.37	341.51	638.15	305.55	567.1	633.73	444.72	536.45	486.75	397.93	320.8	387.02	603.67	575.03	381.68	536.45	521.76	329.84	444.72	409.15	432.53
KLK3	63.45	42.11	0.0	772940.66	1345768.59	1005860.33	573724.06	1212874.47	282912.21	887875.81	1163466.92	1116072.03	751804.53	875652.15	1063212.58	489177.0	1139523.1	619179.28	1100706.72	1327240.99	731246.37	546551.29	1147449.11	394590.4	1412675.8	1238359.56	1327240.99	731246.37	1196176.45	602247.76	805764.22	381149.17	767601.56	589853.66	1212874.47	1238359.56	654483.73	1048575.0	1345768.59	1472666.19	1229805.58	894051.48	794671.01
LMF2	432.53	262.2	1.07	1225.22	1733.13	1268.46	902.89	1721.16	1769.57	1127.35	1572.76	1498.22	1540.37	1508.65	1313.23	890.44	1331.57	813.63	1447.15	890.44	1066.48	1697.45	2303.12	988.12	1685.71	1477.58	1427.22	2032.85	1427.22	2090.03	713.11	796.86	915.51	1119.56	1832.01	1437.15	1216.75	1417.35	1477.58	1331.57	1295.13	1268.46	1369.04
MAEA	748.61	403.5	0.89	981.29	1037.29	1268.46	961.07	1044.52	1806.78	1191.69	1143.1	1427.22	1159.07	1359.57	890.44	748.61	1151.06	1030.12	1322.37	872.1	902.89	1561.89	1268.46	1051.79	1529.73	1498.22	1268.46	1397.83	1277.29	1519.15	1259.69	961.07	825.0	1073.91	967.76	1216.75	988.12	1216.75	1397.83	1044.52	1111.82	1135.2	1073.91
MFSD10	785.88	480.04	1.23	1066.48	2777.33	1639.59	1286.18	3212.66	3901.01	2271.4	2287.2	2090.03	2591.27	2255.7	1870.53	974.5	2335.28	1259.69	2384.37	896.64	1757.34	2417.67	4239.45	1457.23	3467.27	2133.97	1896.65	3540.14	2061.24	5517.27	1250.98	1001.93	981.29	1359.57	4010.71	2104.58	1487.87	1639.59	2502.97	1697.45	1662.49	1447.15	1628.26
MIIP	173.85	107.38	0.77	320.8	764.36	318.57	316.37	547.75	1104.13	381.68	669.92	543.96	708.18	555.41	521.76	305.55	638.15	423.61	426.57	295.11	334.46	718.08	860.08	307.69	928.3	665.29	543.96	928.3	713.11	928.3	332.14	277.2	283.05	314.17	954.43	503.95	336.79	392.44	748.61	511.0	521.76	395.18	379.04
MLST8	575.03	397.93	0.09	947.83	1857.6	1225.22	769.69	1388.16	2255.7	1208.34	1417.35	1407.55	1529.73	1388.16	1313.23	819.3	1295.13	769.69	1605.83	884.29	1081.39	1551.09	2119.22	954.43	1709.26	1467.37	1540.37	1651.0	1191.69	1583.71	934.76	1030.12	775.05	796.86	1508.65	1304.15	1001.93	1561.89	1639.59	1277.29	1427.22	1044.52	1015.93
MRPL37	1551.09	1407.55	0.21	1407.55	2384.37	1417.35	1259.69	1233.75	2178.83	1572.76	1457.23	1508.65	1781.89	1561.89	1769.57	1250.98	1651.0	1233.75	1639.59	1340.84	1628.26	1857.6	2119.22	1437.15	1540.37	1857.6	1844.76	1685.71	1225.22	1477.58	1277.29	1437.15	1259.69	1119.56	1769.57	1551.09	1378.57	1639.59	1313.23	1963.57	1605.83	1295.13	1259.69
NAP1L4	3103.19	1477.58	947.83	2004.85	2193.99	2061.24	1605.83	2303.12	2468.49	2319.15	2573.36	2537.92	2335.28	2502.97	2032.85	2047.0	2004.85	2417.67	2178.83	1709.26	1745.2	2468.49	2271.4	2119.22	2777.33	2367.9	2796.65	2520.38	2287.2	2664.15	2061.24	1819.35	1781.89	1832.01	2609.3	2502.97	1923.14	2240.11	2591.27	1844.76	1896.65	2075.59	2271.4
NDUFB4	4575.41	5633.22	1.28	4769.75	10084.54	7180.15	4607.24	7966.99	7589.61	6207.38	8658.09	5479.15	7589.61	5366.37	5147.73	4268.94	6121.9	4639.29	5594.3	6250.56	4836.35	6121.9	6294.04	4836.35	7911.95	7433.4	8718.32	5751.61	6079.61	9409.14	5633.22	5076.84	4481.23	3716.2	9344.14	6840.04	4419.52	6079.61	8363.13	5672.41	7433.4	5441.3	4671.57
NME3	429.54	167.9	0.99	1896.65	6561.36	2855.44	1628.26	4010.71	6381.92	3168.41	4010.71	3349.13	4123.49	3146.52	2609.3	1529.73	3716.2	2701.35	5219.6	1923.14	1769.57	4481.23	7331.05	1844.76	6337.83	3820.7	5112.16	5751.61	4066.71	6792.79	2240.11	1427.22	1340.84	1923.14	6699.25	3665.02	1769.57	2835.7	6381.92	3467.27	3491.39	2271.4	2720.15
NOC2L	450.94	473.41	1572.76	1322.37	1819.35	1331.57	1175.27	1583.71	2240.11	1447.15	1594.73	1551.09	1883.54	1674.06	1857.6	1143.1	1806.78	974.5	1498.22	1225.22	1378.57	2335.28	1923.14	1199.98	1832.01	1757.34	1540.37	1685.71	1529.73	1781.89	1397.83	1191.69	967.76	1233.75	2163.77	1508.65	1135.2	1662.49	1674.06	1487.87	1477.58	1023.0	1159.07
NUBP2	297.17	208.38	0.78	1268.46	2148.82	1769.57	825.0	2303.12	2502.97	1896.65	2104.58	1857.6	1870.53	2163.77	1628.26	896.64	1870.53	1216.75	1794.29	981.29	1135.2	2367.9	2682.69	1073.91	2664.15	1709.26	1697.45	2777.33	1991.0	2178.83	1268.46	723.08	928.3	1151.06	2591.27	2032.85	1119.56	1617.0	2061.24	1498.22	2163.77	1819.35	1572.76
PAM16	476.71	226.54	0.85	753.83	1662.49	836.53	529.06	1250.98	1628.26	896.64	1369.04	934.76	1322.37	1051.79	1037.29	429.54	1066.48	660.68	819.3	733.19	674.59	1397.83	1651.0	540.19	1605.83	1175.27	1313.23	1540.37	1175.27	1551.09	620.67	454.09	353.59	447.82	2178.83	1175.27	543.96	848.22	1662.49	813.63	1250.98	651.58	571.05
PDLIM2	262.2	497.0	0.53	559.28	507.46	507.46	363.56	473.41	521.76	575.03	358.54	463.65	860.08	579.04	329.84	403.5	397.93	651.58	314.17	265.87	361.04	718.08	607.87	356.05	728.11	723.08	713.11	503.95	341.51	698.41	205.5	341.51	341.51	432.53	507.46	366.09	303.44	381.68	656.11	842.36	591.22	392.44	638.15
PGLS	896.64	454.09	0.47	1498.22	3443.31	1963.57	848.22	2855.44	2739.08	2209.26	2739.08	1909.85	2895.31	2367.9	2090.03	1286.18	2502.97	1437.15	2287.2	1359.57	1685.71	2956.17	3928.15	1259.69	3280.18	2384.37	2682.69	3874.05	2555.58	3103.19	1551.09	1183.45	1015.93	1081.39	3847.29	2119.22	1313.23	1977.24	3467.27	2303.12	2645.74	1529.73	1477.58
PIGQ	318.57	155.5	0.73	587.13	1286.18	775.05	638.15	974.5	1909.85	753.83	988.12	775.05	974.5	954.43	860.08	500.46	896.64	518.15	909.17	376.41	633.73	1175.27	1015.93	480.04	1268.46	947.83	1167.14	1340.84	830.75	1216.75	638.15	379.04	457.25	638.15	1350.18	830.75	529.06	733.19	1023.0	884.29	954.43	713.11	708.18
PPP4C	909.17	1143.1	1.01	1369.04	2209.26	1794.29	1286.18	2148.82	2758.13	1883.54	1909.85	1540.37	2193.99	2609.3	1844.76	1477.58	2119.22	1378.57	2224.63	1407.55	1662.49	2351.53	3039.3	1467.37	2240.11	2047.0	2004.85	2417.67	1991.0	2664.15	1551.09	1350.18	1437.15	1639.59	2163.77	1832.01	1378.57	1685.71	2573.36	1883.54	2061.24	1639.59	1551.09
PRPF6	872.1	769.69	0.39	1096.5	1806.78	1477.58	1127.35	1457.23	1697.45	1594.73	1313.23	1508.65	1617.0	1551.09	1721.16	1259.69	1477.58	988.12	1757.34	1313.23	1233.75	1757.34	1685.71	1199.98	1819.35	1407.55	1378.57	1819.35	1685.71	1437.15	1378.57	1259.69	1051.79	1331.57	1572.76	1551.09	1225.22	1844.76	1551.09	1388.16	1407.55	1304.15	1340.84
PRR14	511.0	253.23	0.88	612.11	647.07	579.04	503.95	791.35	1250.98	703.28	813.63	708.18	743.43	860.08	656.11	503.95	579.04	490.14	743.43	493.56	483.38	791.35	1111.82	514.56	713.11	723.08	723.08	1119.56	642.59	1151.06	525.39	507.46	373.81	432.53	928.3	674.59	420.68	603.67	947.83	603.67	769.69	555.41	559.28
PSMA7	2485.67	2739.08	1.28	3303.0	5292.48	5219.6	3467.27	4704.07	5594.3	4181.07	4358.66	4543.8	4328.55	4769.75	3395.89	3614.55	3874.05	4419.52	4328.55	3955.48	3564.78	4639.29	6250.56	3665.02	5255.91	4607.24	4704.07	4543.8	4607.24	4937.99	3018.3	3928.15	3716.2	3768.09	5112.16	4123.49	3419.52	6037.61	3768.09	4066.71	4450.27	3395.89	4038.61
PTRH1	57.49	45.21	0.33	309.83	1096.5	624.99	223.41	529.06	718.08	529.06	555.41	555.41	563.18	540.19	371.22	228.13	629.35	318.57	607.87	271.48	318.57	629.35	842.36	275.28	633.73	536.45	830.75	698.41	483.38	583.07	332.14	214.27	255.0	332.14	866.07	460.44	267.73	547.75	775.05	521.76	587.13	368.65	476.71
