	GTEX.S32W.1126.SM.4AD5V	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.14E7W.1926.SM.5S2R9	GTEX.12WSD.2026.SM.5HL7D	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OW6.1626.SM.5IJD5	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.SNMC.0426.SM.4DM5Y	GTEX.U3ZH.1126.SM.4DXUG	GTEX.12WSD.1926.SM.5GCOV	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.WRHK.0426.SM.4MVOG	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.BR.8371.01A.11R.2343.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.146FH.2126.SM.5SI9U	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.XUJ4.1526.SM.4BONU	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
AHSA2	165.57	334.46	248.0	208.38	688.78	162.14	202.66	301.33	242.88	201.25	208.38	525.39	647.07	1119.56	1044.52	1467.37	525.39	1508.65	1674.06	1167.14	2976.74	2193.99	1936.53	1037.29	1369.04	2627.46	1369.04	2835.7	1519.15	1447.15	2417.67	2163.77	1819.35	1457.23	2875.3	2835.7	1199.98	1806.78	1508.65	1561.89	587.13	1167.14	1143.1	1268.46	2645.74	1605.83	1529.73	3303.0	2591.27	1662.49	961.07	1583.71	934.76	2591.27	2224.63	1350.18	2178.83	287.01	156.59	353.59	159.9	423.61	665.29	187.71	329.84	202.66	205.5	117.6	103.69	209.84	86.43	1073.91	426.57	579.04	193.01	242.88	81.71	115.16	271.48	293.07	105.89	1111.82	346.29	633.73	447.82	450.94	384.34	842.36	325.29	599.49	389.72	295.11	316.37	536.45	1127.35	242.88	409.15	351.14	363.56	607.87	825.0	206.94
AKAP17A	185.11	155.5	244.57	127.0	281.09	140.04	215.77	193.01	172.65	136.19	190.34	273.37	287.01	318.57	325.29	373.81	356.05	406.31	384.34	363.56	612.11	607.87	444.72	301.33	366.09	518.15	356.05	688.78	460.44	525.39	500.46	521.76	595.34	397.93	674.59	713.11	351.14	571.05	514.56	432.53	460.44	450.94	305.55	325.29	532.74	540.19	463.65	813.63	536.45	503.95	356.05	525.39	366.09	723.08	536.45	279.14	414.87	237.86	232.94	226.54	197.09	217.27	185.11	178.77	258.57	175.07	178.77	166.73	204.07	181.28	167.9	376.41	253.23	293.07	111.99	177.53	103.69	139.07	171.45	220.32	187.71	356.05	289.02	358.54	237.86	231.32	187.71	351.14	226.54	406.31	297.17	218.79	215.77	283.05	540.19	244.57	202.66	346.29	312.0	412.0	400.71	237.86
AMT	46.84	316.37	647.07	486.75	293.07	249.73	275.28	429.54	339.14	277.2	253.23	253.23	395.18	155.5	409.15	780.44	476.71	769.69	836.53	1088.92	1757.34	2193.99	1721.16	1250.98	1417.35	1674.06	1340.84	1457.23	748.61	1417.35	2090.03	1583.71	2090.03	1183.45	2193.99	2645.74	624.99	1540.37	1594.73	1167.14	376.41	1340.84	503.95	525.39	1870.53	1551.09	1487.87	2758.13	1594.73	718.08	802.41	1388.16	567.1	2915.45	2075.59	728.11	988.12	285.03	291.04	420.68	309.83	490.14	890.44	237.86	353.59	559.28	220.32	348.71	87.03	346.29	126.12	529.06	599.49	497.0	127.89	237.86	50.27	136.19	358.54	429.54	102.25	866.07	397.93	307.69	693.58	493.56	329.84	728.11	656.11	713.11	293.07	371.22	555.41	703.28	2075.59	135.24	543.96	190.34	540.19	808.0	679.29	156.59
AMY2B	47.5	78.34	316.37	84.04	191.67	61.25	67.12	143.01	118.43	47.84	114.36	172.65	260.38	187.71	275.28	536.45	234.57	476.71	753.83	314.17	1295.13	1437.15	764.36	753.83	607.87	1498.22	587.13	1073.91	1096.5	909.17	1183.45	995.0	1127.35	860.08	1662.49	2163.77	503.95	934.76	921.88	334.46	217.27	813.63	521.76	363.56	1540.37	1340.84	738.29	2004.85	1662.49	909.17	403.5	1111.82	432.53	1427.22	1883.54	323.03	674.59	99.43	64.34	58.3	108.9	151.22	102.97	70.51	39.79	161.02	20.41	255.0	27.25	67.59	18.29	312.0	122.64	169.07	18.7	59.13	28.86	44.57	112.77	125.24	40.64	392.44	161.02	291.04	299.25	104.42	110.43	256.78	139.07	162.14	53.57	198.47	265.87	130.6	447.82	76.17	189.02	205.5	120.1	111.21	511.0	87.65
ANAPC2	454.09	417.77	563.18	366.09	532.74	387.02	438.59	503.95	392.44	356.05	432.53	579.04	651.58	587.13	575.03	791.35	624.99	902.89	909.17	733.19	1447.15	1350.18	961.07	693.58	753.83	1127.35	718.08	1605.83	884.29	1151.06	1073.91	1143.1	1340.84	723.08	1639.59	1561.89	769.69	995.0	1081.39	1030.12	540.19	796.86	656.11	551.56	1233.75	1340.84	884.29	1819.35	1225.22	1143.1	669.92	1015.93	703.28	1447.15	1208.34	753.83	974.5	532.74	480.04	500.46	466.88	361.04	555.41	543.96	599.49	490.14	450.94	511.0	432.53	450.94	353.59	728.11	599.49	633.73	312.0	368.65	271.48	301.33	457.25	486.75	612.11	624.99	656.11	651.58	785.88	591.22	503.95	656.11	595.34	748.61	559.28	511.0	551.56	629.35	1044.52	447.82	651.58	769.69	669.92	665.29	854.13	423.61
ANKRD10	1044.52	1066.48	1498.22	753.83	1844.76	1008.9	1096.5	1417.35	1208.34	1143.1	1051.79	1417.35	1909.85	1733.13	2384.37	2915.45	1639.59	2032.85	2701.35	2255.7	4239.45	3820.7	3039.3	2956.17	2573.36	3540.14	2485.67	3982.99	2255.7	3257.52	3901.01	2915.45	3515.68	2956.17	3589.58	3820.7	1963.57	2875.3	2875.3	2796.65	1561.89	2502.97	1883.54	2434.5	3395.89	3515.68	2796.65	4066.71	3212.66	2502.97	2090.03	2664.15	2119.22	3982.99	3419.52	1697.45	2417.67	1304.15	872.1	1023.0	753.83	1008.9	759.08	981.29	1023.0	1135.2	1088.92	808.0	890.44	1151.06	624.99	2537.92	1508.65	1572.76	1111.82	981.29	796.86	651.58	1322.37	1794.29	866.07	2193.99	1628.26	1685.71	1857.6	988.12	1135.2	1870.53	1781.89	1757.34	1467.37	1175.27	1167.14	1651.0	2400.97	738.29	1508.65	2163.77	1857.6	2591.27	2004.85	860.08
ANKRD36	27.84	74.06	100.83	34.75	108.14	62.56	69.52	73.54	56.28	66.65	32.36	121.79	112.77	94.01	201.25	241.19	78.34	262.2	183.82	154.42	591.22	518.15	384.34	351.14	260.38	314.17	229.72	253.23	206.94	307.69	493.56	400.71	371.22	447.82	447.82	599.49	214.27	305.55	403.5	234.57	150.17	214.27	127.89	177.53	571.05	343.89	318.57	511.0	318.57	246.28	186.4	260.38	229.72	486.75	366.09	90.14	287.01	55.1	50.98	75.11	94.01	55.89	98.04	53.57	67.59	92.05	51.35	48.52	37.85	43.02	18.84	178.77	116.78	85.82	118.43	98.73	38.67	54.33	108.14	90.14	30.12	269.6	92.05	162.14	82.29	96.68	75.64	251.48	118.43	128.79	44.25	85.82	55.1	103.69	182.55	51.71	65.26	100.83	80.01	89.51	249.73	50.98
ANKS3	356.05	197.09	366.09	242.88	336.79	161.02	221.86	309.83	277.2	209.84	303.44	435.55	423.61	521.76	358.54	480.04	409.15	480.04	493.56	423.61	848.22	769.69	500.46	447.82	507.46	591.22	454.09	775.05	540.19	872.1	708.18	733.19	743.43	444.72	954.43	921.88	412.0	684.02	759.08	647.07	339.14	521.76	403.5	426.57	688.78	866.07	447.82	708.18	780.44	511.0	397.93	647.07	397.93	665.29	866.07	426.57	409.15	406.31	205.5	171.45	341.51	281.09	251.48	277.2	260.38	414.87	197.09	249.73	232.94	221.86	198.47	473.41	435.55	384.34	198.47	226.54	133.36	242.88	237.86	246.28	246.28	473.41	457.25	579.04	351.14	277.2	267.73	384.34	395.18	571.05	454.09	249.73	376.41	376.41	616.37	348.71	293.07	555.41	629.35	414.87	497.0	281.09
ANKZF1	258.57	305.55	305.55	242.88	486.75	202.66	239.52	336.79	368.65	120.94	269.6	447.82	638.15	848.22	669.92	909.17	334.46	954.43	819.3	660.68	1519.15	1757.34	1073.91	1008.9	921.88	1769.57	921.88	1977.24	934.76	1350.18	1233.75	1427.22	2104.58	1051.79	1769.57	1844.76	921.88	1457.23	1250.98	656.11	412.0	1008.9	633.73	785.88	1883.54	1427.22	1015.93	1857.6	1191.69	1304.15	703.28	819.3	728.11	1628.26	1519.15	854.13	1066.48	412.0	241.19	403.5	543.96	521.76	500.46	201.25	301.33	264.03	397.93	348.71	260.38	329.84	277.2	921.88	371.22	642.59	348.71	312.0	181.28	314.17	248.0	414.87	236.21	802.41	356.05	567.1	417.77	332.14	246.28	647.07	450.94	733.19	334.46	406.31	381.68	470.14	796.86	237.86	305.55	470.14	373.81	403.5	813.63	232.94
AP003068.6	5.28	3.03	5.59	8.58	11.64	1.79	0.47	5.32	3.92	1.79	3.99	9.63	22.75	37.32	14.14	21.32	9.78	29.91	26.1	30.78	43.63	45.85	27.05	20.11	24.63	36.79	22.43	51.35	37.05	47.5	40.07	36.27	59.55	35.25	49.56	59.97	28.24	38.67	24.63	30.56	15.0	30.78	18.16	40.36	26.1	59.55	25.54	43.02	35.25	30.56	17.25	29.7	17.64	48.87	47.17	20.86	24.99	9.56	7.94	5.63	5.77	3.11	8.78	4.1	9.06	3.23	4.54	5.19	3.59	5.5	5.23	25.72	9.27	13.22	9.56	8.0	4.7	7.88	8.71	13.12	4.62	15.11	10.0	12.55	12.36	11.82	7.22	12.74	14.45	21.78	10.0	9.06	7.28	17.13	26.86	7.22	7.51	16.27	11.64	11.3	15.56	9.85
AP4B1	281.09	154.42	180.02	132.44	332.14	159.9	143.01	260.38	166.73	115.97	178.77	318.57	281.09	279.14	289.02	332.14	231.32	409.15	295.11	269.6	769.69	514.56	400.71	441.64	314.17	547.75	361.04	412.0	447.82	518.15	743.43	503.95	842.36	409.15	748.61	836.53	239.52	551.56	384.34	295.11	256.78	435.55	214.27	277.2	361.04	579.04	318.57	703.28	579.04	395.18	229.72	376.41	353.59	738.29	603.67	267.73	332.14	301.33	163.28	187.71	212.78	150.17	193.01	186.4	248.0	269.6	154.42	154.42	124.37	154.42	143.01	486.75	201.25	264.03	256.78	170.25	73.54	138.1	231.32	221.86	204.07	511.0	275.28	389.72	273.37	262.2	197.09	457.25	265.87	441.64	262.2	255.0	283.05	285.03	493.56	201.25	221.86	514.56	389.72	295.11	454.09	275.28
