	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.49.4510.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QMR6.1926.SM.32PL9	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.60.2719.01A.01R.0851.07	TCGA.66.2789.01A.01R.0980.07	TCGA.AJ.A3EM.01A.11R.A213.07
DKK3	84.04	283.05	283.05	327.56	1819.35	988.12	114.36	361.04	1769.57	0.0	0.99	3928.15	2935.74	16611.71	9740.98	12502.12	6079.61	11827.67	10959.3	2997.45	3614.55	12502.12	26431.04	7433.4	1199.98	5479.15	150.17
EFCC1	21.32	23.42	24.81	31.0	38.12	21.32	8.58	24.99	43.63	0.0	0.17	389.72	73.03	902.89	211.31	454.09	444.72	555.41	808.0	435.55	1369.04	571.05	836.53	698.41	12.55	41.52	9.56
EVI2B	26.28	23.25	59.55	18.29	830.75	90.77	26.47	108.14	231.32	0.0	0.51	1259.69	764.36	3325.99	698.41	1757.34	3395.89	493.56	708.18	2537.92	483.38	4575.41	642.59	1088.92	183.82	336.79	10.88
EXOC6	201.25	128.79	133.36	104.42	429.54	82.29	389.72	167.9	197.09	0.0	0.16	426.57	529.06	4869.99	145.02	237.86	543.96	836.53	265.87	450.94	450.94	2520.38	279.14	301.33	130.6	215.77	145.02
FAM65B	16.27	3.96	9.27	13.83	441.64	48.52	30.34	80.57	237.86	72.01	84.04	332.14	728.11	587.13	713.11	2384.37	392.44	684.02	228.13	595.34	397.93	842.36	426.57	301.33	43.63	57.49	21.94
FCGR3B	0.61	48.87	8.65	1.64	1331.57	47.84	14.03	12.74	25.17	0.0	0.28	117.6	808.0	1806.78	417.77	1963.57	1674.06	283.05	140.04	1806.78	373.81	1733.13	2417.67	642.59	73.03	85.22	1.51
FCRL6	0.3	1.2	2.58	1.28	56.28	15.0	1.99	23.42	34.26	0.0	0.1	57.89	48.18	253.23	18.97	69.03	88.26	124.37	139.07	94.67	454.09	146.03	208.38	134.3	12.93	10.31	1.33
FIGF	2.86	5.68	25.17	48.87	1819.35	2.76	0.0	27.44	197.09	0.0	0.21	1268.46	152.28	3639.7	7803.01	117.6	1191.69	2682.69	2047.0	5633.22	5831.91	1561.89	674.59	2573.36	21.47	91.41	2.63
FLI1	38.12	67.59	69.03	53.57	723.08	38.12	34.51	143.01	164.42	0.0	0.56	848.22	579.04	2319.15	493.56	1225.22	3467.27	2224.63	733.19	1697.45	2573.36	3124.78	1295.13	1909.85	115.97	178.77	40.36
GDF10	0.0	0.31	0.0	0.96	332.14	1.68	0.0	0.4	49.56	0.0	0.16	529.06	314.17	3372.43	314.17	98.04	271.48	1183.45	389.72	161.02	1199.98	896.64	1191.69	1111.82	4.78	29.91	3.29
GIMAP2	19.53	121.79	43.02	131.51	426.57	45.21	54.33	153.34	149.12	0.0	0.45	854.13	214.27	2335.28	177.53	1111.82	3039.3	441.64	373.81	1662.49	872.1	587.13	733.19	2209.26	111.21	182.55	18.16
GIMAP7	45.53	61.68	80.57	134.3	1127.35	73.54	198.47	529.06	223.41	0.0	0.42	1199.98	1447.15	3690.52	332.14	2271.4	6426.31	1896.65	1806.78	2075.59	2133.97	2555.58	1151.06	5112.16	130.6	293.07	46.5
GIMAP8	16.39	27.25	28.65	51.71	529.06	11.47	43.63	226.54	73.03	0.0	0.35	518.15	332.14	2163.77	193.01	1037.29	2720.15	688.78	403.5	785.88	2255.7	1561.89	447.82	2758.13	56.68	76.71	13.93
GRAP	18.29	44.57	30.56	42.41	80.57	9.13	40.07	91.41	104.42	0.0	0.32	224.97	285.03	473.41	112.77	256.78	423.61	651.58	253.23	262.2	289.02	251.48	457.25	264.03	39.22	81.14	50.63
GRIA1	0.0	0.0	0.0	0.0	19.53	0.0	2.71	0.0	7.28	0.0	0.13	105.89	31.9	743.43	473.41	236.21	314.17	1015.93	540.19	231.32	420.68	866.07	599.49	395.18	2.07	8.06	0.54
GRIK4	1.14	5.92	3.69	4.1	6.67	0.87	0.39	1.19	4.5	0.0	0.13	17.77	19.11	102.97	53.57	44.57	19.82	96.68	64.34	30.56	55.89	38.95	88.88	103.69	2.03	11.91	3.08
HBB	457.25	698.41	808.0	860.08	469249.9	1012856.65	47313.67	246289.25	10512.82	0.0	0.0	466008.55	828417.36	649962.87	783730.52	1703415.74	3313672.43	462789.59	659036.03	475800.4	517068.97	348306.01	1299926.74	1336472.68	624.99	5329.3	232.94
HEMGN	0.0	0.0	0.0	0.0	7.34	7.94	0.0	5.96	0.0	0.0	0.18	37.05	18.84	14.78	6.26	13.93	24.63	45.53	12.83	17.25	3.03	11.82	25.17	19.53	1.11	1.22	0.0
HMCN1	9.2	9.63	6.94	30.78	587.13	80.57	6.16	113.56	137.14	0.0	0.57	239.52	138.1	1417.35	176.29	400.71	902.89	775.05	414.87	1721.16	884.29	1819.35	258.57	656.11	113.56	366.09	29.27
IGSF10	8.51	0.62	27.64	0.99	447.82	19.39	1.13	42.41	44.89	0.0	0.49	412.0	149.12	3690.52	336.79	2209.26	698.41	2935.74	1340.84	1015.93	1639.59	3540.14	934.76	896.64	22.26	162.14	2.89
IL18R1	3.79	10.55	18.43	14.45	76.71	47.5	3.17	31.45	49.56	0.0	0.67	353.59	248.0	629.35	275.28	283.05	457.25	376.41	281.09	81.14	244.57	470.14	122.64	239.52	59.97	36.27	9.56
KAT2B	67.59	144.01	226.54	74.06	480.04	80.57	224.97	346.29	90.77	0.0	0.38	281.09	82.87	1143.1	224.97	195.72	1073.91	356.05	500.46	536.45	753.83	599.49	175.07	480.04	107.38	182.55	139.07
KCTD12	44.89	141.02	43.02	113.56	2178.83	81.71	271.48	819.3	190.34	242.88	120.1	1151.06	1081.39	8078.22	785.88	2682.69	3794.3	3928.15	2032.85	1457.23	1167.14	4543.8	665.29	3614.55	140.04	441.64	134.3
LBH	90.14	241.19	305.55	182.55	1051.79	748.61	139.07	483.38	1427.22	463.65	514.56	2537.92	2004.85	8247.98	1819.35	4639.29	2875.3	9945.68	6207.38	4268.94	7485.11	4937.99	10084.54	3060.45	366.09	2351.53	295.11
LRRC18	0.57	3.89	1.71	2.23	4.5	0.0	0.0	0.0	10.0	0.0	0.0	24.11	53.19	117.6	3.23	69.03	63.0	84.63	131.51	88.26	27.64	50.63	6.46	29.06	2.63	2.92	0.0
LYVE1	6.06	10.55	17.64	19.97	4210.15	2.03	38.4	148.09	63.0	0.0	0.35	842.36	961.07	8718.32	642.59	5292.48	1313.23	2816.11	607.87	961.07	1304.15	2303.12	214.27	1073.91	50.27	91.41	17.9
MACF1	473.41	638.15	490.14	567.1	2645.74	941.27	204.07	1844.76	1832.01	0.0	0.58	2645.74	2018.8	6516.03	7180.15	6164.49	6935.54	9673.69	9540.5	6381.92	11909.94	9409.14	5954.47	7589.61	1277.29	1051.79	791.35
MATK	5.15	3.63	18.03	9.93	54.72	51.35	13.72	34.51	56.28	0.0	0.39	341.51	114.36	249.73	62.56	180.02	343.89	507.46	180.02	177.53	583.07	153.34	728.11	320.8	42.41	51.71	14.24
MMRN1	4.03	3.92	2.34	38.4	842.36	2.84	12.93	36.79	52.45	0.0	0.27	110.43	79.45	4152.18	417.77	698.41	842.36	518.15	265.87	323.03	165.57	389.72	131.51	130.6	16.88	130.6	36.53
MS4A2	0.0	0.0	3.17	1.3	65.26	2.25	0.0	0.79	4.17	0.0	0.01	13.93	39.79	802.41	59.55	42.41	447.82	102.97	118.43	158.79	234.57	571.05	73.54	84.04	2.78	36.53	1.91
MSRB3	11.55	30.34	23.76	22.26	1088.92	48.87	15.22	152.28	150.17	0.0	0.55	684.02	708.18	1857.6	476.71	1030.12	1427.22	2451.44	1359.57	819.3	1127.35	1167.14	624.99	934.76	96.01	295.11	127.0
NCF1	37.32	21.63	39.5	13.22	295.11	41.52	10.63	47.84	151.22	0.0	0.28	521.76	567.1	1159.07	170.25	860.08	1561.89	764.36	130.6	941.27	642.59	1066.48	836.53	500.46	113.56	157.68	6.06
NLRC4	5.15	8.99	8.32	11.82	60.82	13.62	7.0	15.8	12.83	0.0	0.0	202.66	244.57	341.51	98.04	149.12	155.5	92.7	92.7	368.65	41.22	277.2	157.68	187.71	16.88	30.34	1.64
NLRP12	0.29	0.0	0.29	0.0	17.9	1.36	0.0	2.36	16.51	0.0	0.13	18.84	50.27	76.17	6.21	92.05	23.59	28.65	12.36	42.41	7.4	68.55	22.59	53.19	3.23	4.58	0.33
NMRK1	559.28	447.82	379.04	633.73	954.43	551.56	1605.83	836.53	587.13	279.14	406.31	981.29	595.34	1991.0	759.08	1498.22	1369.04	612.11	1277.29	1832.01	1477.58	1923.14	651.58	1674.06	301.33	629.35	279.14
NTNG2	3.44	6.89	2.05	2.58	17.0	3.99	3.17	4.82	17.25	0.0	0.46	17.0	36.53	74.58	23.59	152.28	50.63	26.1	18.97	82.29	110.43	45.21	103.69	119.26	5.63	15.22	4.17
NXPE3	26.1	29.7	27.44	44.57	258.57	114.36	10.39	130.6	63.0	142.01	90.14	183.82	65.26	438.59	118.43	215.77	438.59	384.34	199.85	301.33	244.57	503.95	144.01	159.9	152.28	244.57	39.79
OLFML1	2.92	9.34	13.83	24.28	780.44	10.47	7.75	72.52	66.18	0.0	0.15	387.02	134.3	1119.56	271.48	152.28	417.77	890.44	633.73	429.54	981.29	1051.79	221.86	674.59	37.85	189.02	37.05
OR2W3	0.0	0.6	0.0	0.65	17.0	15.11	1.14	10.16	2.2	0.0	0.01	22.1	47.84	49.21	29.27	77.25	158.79	30.56	19.82	51.35	21.94	19.53	33.78	44.25	1.17	1.3	0.0
PADI4	1.16	4.46	0.88	0.97	44.89	19.82	2.76	2.03	3.11	0.0	0.59	36.79	78.34	46.84	50.27	100.13	100.83	159.9	29.27	120.94	13.32	49.91	48.18	50.63	11.64	3.89	0.0
PALMD	197.09	412.0	260.38	262.2	3443.31	275.28	62.12	447.82	140.04	0.0	0.25	295.11	529.06	1662.49	56.28	460.44	728.11	1037.29	624.99	1208.34	1135.2	1487.87	255.0	1143.1	29.48	260.38	74.58
PAPSS2	100.13	15.8	26.86	26.47	497.0	214.27	17.13	679.29	253.23	743.43	111.99	2061.24	848.22	10225.32	3395.89	3081.75	2119.22	5076.84	3820.7	3372.43	1883.54	9606.86	1397.83	3928.15	126.12	476.71	21.78
PCDHGC3	82.87	61.25	87.03	123.5	703.28	105.15	12.09	112.77	205.5	0.0	0.79	743.43	819.3	3325.99	866.07	3124.78	1167.14	4836.35	1369.04	647.07	1628.26	1697.45	1832.01	2018.8	108.9	376.41	120.1
PCSK5	2.05	3.35	5.77	2.92	429.54	17.77	3.92	45.21	45.85	0.0	0.49	87.65	186.4	1551.09	84.04	94.67	157.68	98.73	148.09	142.01	90.14	258.57	165.57	255.0	58.3	85.82	7.51
PDE3B	36.27	10.31	52.82	4.9	1030.12	38.12	31.67	28.86	150.17	0.0	0.51	165.57	256.78	808.0	136.19	215.77	529.06	301.33	289.02	543.96	642.59	454.09	148.09	878.17	234.57	39.79	17.64
PPM1F	170.25	130.6	214.27	236.21	376.41	178.77	69.52	190.34	135.24	195.72	769.69	346.29	723.08	1378.57	353.59	1883.54	1159.07	1857.6	281.09	423.61	612.11	743.43	417.77	1268.46	199.85	199.85	85.82
PPP1R16B	6.31	6.89	16.03	8.65	320.8	10.96	14.35	78.89	22.59	0.0	0.32	98.04	20.86	532.74	87.65	242.88	525.39	361.04	43.94	124.37	260.38	102.97	16.88	186.4	35.0	60.82	5.63
PRDM6	16.27	4.24	14.14	37.85	30.34	9.34	1.19	5.96	32.13	0.0	0.42	59.55	14.14	136.19	56.68	45.21	131.51	234.57	149.12	117.6	140.04	205.5	55.89	189.02	18.16	47.5	4.86
PRKCH	368.65	229.72	320.8	384.34	567.1	334.46	159.9	246.28	258.57	0.0	0.61	1051.79	723.08	2119.22	947.83	1051.79	1008.9	1487.87	1427.22	1225.22	2224.63	1519.15	733.19	872.1	406.31	395.18	299.25
PTPN12	612.11	607.87	493.56	457.25	1477.58	1104.13	120.1	638.15	647.07	1709.26	134.3	1417.35	1250.98	5329.3	2895.31	1883.54	1909.85	2400.97	1936.53	2148.82	2178.83	2682.69	1594.73	1781.89	371.22	1250.98	470.14
PYHIN1	1.73	4.82	17.13	6.06	81.14	13.32	6.62	13.93	16.03	0.0	0.22	59.55	40.36	186.4	56.28	98.73	295.11	103.69	76.71	206.94	265.87	158.79	138.1	99.43	18.97	17.77	0.0
RCSD1	19.82	19.82	45.85	24.46	429.54	32.82	15.91	77.25	164.42	0.0	0.41	429.54	144.01	1950.0	63.0	429.54	974.5	591.22	703.28	688.78	669.92	1225.22	297.17	457.25	88.26	102.25	13.52
REP15	17.25	10.79	2.89	8.92	37.32	17.25	1.19	23.76	7.28	0.0	0.06	18.29	25.35	171.45	22.43	98.73	120.94	135.24	40.93	65.72	34.75	37.05	21.32	12.45	4.82	20.26	18.43
RMDN3	785.88	642.59	591.22	536.45	733.19	490.14	497.0	813.63	698.41	0.0	0.28	1832.01	1088.92	1936.53	1529.73	802.41	1175.27	759.08	1135.2	1369.04	961.07	1844.76	1259.69	728.11	769.69	543.96	392.44
RNF125	14.78	6.31	4.35	4.82	208.38	7.06	3.86	28.86	10.88	0.0	0.12	64.8	33.3	363.56	45.53	55.1	223.41	161.02	97.36	161.02	154.42	135.24	49.21	90.14	31.0	23.08	35.0
RSPO2	0.0	0.32	0.0	0.34	7.34	0.0	0.0	0.0	40.93	0.0	0.12	165.57	26.47	423.61	255.0	107.38	212.78	1151.06	281.09	376.41	656.11	366.09	70.51	273.37	2.2	11.3	0.29
RTN1	3.76	8.71	8.65	7.4	808.0	30.56	52.45	62.56	19.53	0.0	0.3	275.28	82.87	1977.24	39.5	860.08	842.36	81.14	921.88	624.99	769.69	928.3	293.07	182.55	23.25	38.95	211.31
RXFP1	1.71	2.1	2.86	6.94	4.46	0.89	10.0	9.13	12.55	0.0	0.0	136.19	10.88	473.41	39.22	40.07	314.17	151.22	79.45	208.38	148.09	162.14	37.05	166.73	7.34	14.45	5.68
SELL	3.5	31.9	44.25	27.84	603.67	162.14	24.81	88.26	44.25	0.0	0.39	248.0	995.0	1594.73	435.55	2178.83	665.29	397.93	194.36	1151.06	325.29	1073.91	995.0	698.41	141.02	109.66	3.63
SEMA5A	74.06	249.73	128.79	70.51	363.56	1.81	1.2	147.06	15.11	0.0	0.14	212.78	135.24	928.3	59.13	99.43	723.08	314.17	297.17	543.96	1183.45	493.56	169.07	1963.57	53.95	68.55	22.43
SIGLEC5	2.92	0.65	1.2	0.0	52.82	8.25	0.0	1.97	5.63	0.0	0.13	24.11	108.14	189.02	63.89	84.04	116.78	64.34	25.91	214.27	11.73	166.73	108.9	73.03	13.93	10.24	1.06
SIRPB2	13.52	1.87	9.56	4.58	107.38	15.91	0.82	6.01	30.56	0.0	0.24	171.45	229.72	346.29	52.45	273.37	642.59	141.02	137.14	180.02	31.0	435.55	105.89	217.27	43.63	53.95	2.92
SLC5A9	1.16	1.51	0.88	3.2	6.11	1.83	3.2	97.36	5.59	0.0	0.13	211.31	3.11	194.36	220.32	26.1	91.41	16.27	429.54	518.15	497.0	72.52	182.55	854.13	8.99	7.57	0.43
SLC7A7	36.79	27.64	78.34	22.43	297.17	101.54	54.72	497.0	211.31	0.0	0.43	2075.59	591.22	1605.83	785.88	981.29	1037.29	332.14	961.07	2032.85	514.56	2163.77	607.87	1286.18	260.38	316.37	35.25
SLCO2B1	49.56	17.13	66.18	16.27	470.14	68.55	64.34	131.51	287.01	0.0	0.55	1340.84	1199.98	3955.48	748.61	1572.76	2367.9	638.15	1001.93	2319.15	1127.35	7180.15	802.41	1407.55	397.93	417.77	35.0
SLFN11	9.63	37.85	26.1	13.93	629.35	221.86	20.41	111.99	154.42	0.0	0.71	532.74	595.34	4388.98	708.18	743.43	1832.01	934.76	1350.18	1286.18	890.44	2090.03	995.0	872.1	116.78	242.88	152.28
SMCO3	1.71	2.68	1.16	0.97	6.06	3.11	1.55	18.56	5.73	0.0	0.0	29.27	14.89	119.26	13.62	23.25	55.49	73.03	34.26	19.97	14.35	120.1	28.65	27.84	1.41	7.22	0.28
SPATA6	2.36	54.33	69.52	49.56	258.57	32.59	35.25	136.19	86.43	0.0	0.37	123.5	90.77	854.13	142.01	108.9	239.52	285.03	547.75	323.03	426.57	708.18	51.71	381.68	91.41	78.89	9.48
SPECC1L-ADORA2A	0.29	0.0	0.0	0.32	3.99	0.45	0.0	0.39	0.0	0.0	0.04	0.0	1.0	7.69	0.95	1.46	0.43	3.17	0.96	3.59	1.91	4.39	2.51	0.65	0.39	0.42	0.39
SSTR1	0.0	0.91	2.29	2.56	24.11	0.0	3.41	79.45	18.03	0.0	0.15	64.8	6.26	1498.22	154.42	426.57	1208.34	131.51	476.71	316.37	974.5	186.4	82.87	728.11	14.45	24.81	5.92
SYNJ1	94.67	59.97	60.82	43.94	218.79	75.64	45.53	156.59	77.79	0.0	0.59	122.64	159.9	1001.93	108.14	95.34	265.87	231.32	201.25	185.11	197.09	616.37	158.79	281.09	89.51	116.78	55.1
TBX21	0.87	2.71	7.17	2.25	30.56	19.97	1.57	18.56	10.0	0.0	0.21	65.26	27.44	67.12	32.13	66.18	120.94	43.63	136.19	74.58	361.04	78.89	220.32	158.79	11.73	10.47	1.46
TGFBR2	463.65	255.0	536.45	253.23	5672.41	356.05	791.35	1794.29	1066.48	0.0	0.67	3325.99	2555.58	17804.06	4639.29	6207.38	6935.54	6745.86	7966.99	10808.41	3874.05	13492.72	3589.58	6164.49	389.72	941.27	253.23
TRIM52	104.42	88.88	140.04	129.69	273.37	55.49	38.12	175.07	185.11	0.0	0.78	124.37	119.26	830.75	187.71	287.01	500.46	211.31	221.86	202.66	320.8	629.35	127.89	336.79	104.42	88.88	60.39
TRPV2	59.97	52.82	146.03	113.56	198.47	134.3	78.89	143.01	316.37	316.37	902.89	2758.13	2018.8	1745.2	1208.34	1594.73	2133.97	2520.38	1417.35	1709.26	1519.15	2061.24	1870.53	1397.83	249.73	363.56	38.4
VASH1	33.54	59.55	54.72	39.79	215.77	32.82	17.38	81.71	120.94	0.0	0.23	218.79	164.42	693.58	122.64	320.8	612.11	1037.29	246.28	563.18	463.65	624.99	124.37	316.37	97.36	123.5	103.69
ZEB2	12.74	43.94	42.11	30.34	1572.76	49.21	19.25	256.78	162.14	215.77	85.82	878.17	1378.57	2537.92	1832.01	748.61	1233.75	1639.59	708.18	1304.15	890.44	1225.22	1208.34	1359.57	130.6	258.57	28.45
