	GTEX.ZZPT.1426.SM.5N9C5	TCGA.BP.4988.01A.01R.1334.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.69.8254.01A.11R.2287.07	TCGA.44.3919.01A.02R.1107.07	TCGA.91.A4BC.01A.11R.A24H.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.69.7978.01A.11R.2187.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.55.8621.01A.11R.2403.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.MP.A4T4.01A.11R.A262.07	TCGA.L9.A743.01A.43R.A39D.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.63.A5MN.01A.22R.A27Q.07	TCGA.22.4596.01A.01R.1201.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.37.A5EM.01A.21R.A27Q.07	TCGA.85.8048.01A.11R.2247.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.98.A53C.01A.11R.A262.07
C7orf43	1066.48	896.64	205.5	154.42	106.63	283.05	166.73	289.02	325.29	220.32	107.38	140.04	211.31	255.0	140.04	155.5	312.0	361.04	215.77	161.02	224.97	183.82	170.25	271.48	234.57	119.26	115.16	194.36	234.57	206.94	88.26	236.21	195.72	193.01	112.77	723.08	854.13	441.64	476.71	1250.98	860.08	0.84	651.58	1088.92	567.1	642.59	1199.98	698.41	928.3	603.67	764.36	555.41	532.74	414.87	860.08	368.65	743.43
CCDC82	414.87	1313.23	264.03	234.57	182.55	255.0	173.85	297.17	217.27	189.02	353.59	325.29	361.04	237.86	255.0	221.86	127.89	217.27	127.0	267.73	269.6	358.54	283.05	314.17	191.67	271.48	181.28	323.03	277.2	143.01	224.97	239.52	145.02	215.77	150.17	813.63	457.25	339.14	412.0	493.56	486.75	0.68	507.46	497.0	463.65	454.09	529.06	483.38	532.74	547.75	387.02	559.28	583.07	389.72	642.59	348.71	884.29
CCNL2	11992.79	5711.87	1175.27	265.87	460.44	1277.29	684.02	1208.34	642.59	921.88	521.76	521.76	1151.06	647.07	791.35	607.87	878.17	1322.37	791.35	941.27	1159.07	1051.79	819.3	543.96	1225.22	718.08	454.09	1225.22	629.35	1457.23	460.44	1051.79	1066.48	967.76	575.03	5791.62	4066.71	2163.77	2271.4	4543.8	3982.99	1.89	2400.97	4937.99	2682.69	9474.59	5517.27	3874.05	4937.99	2875.3	1487.87	5872.48	1870.53	2720.15	3515.68	3168.41	4836.35
CLK2	2209.26	2468.49	497.0	86.43	195.72	381.68	323.03	295.11	237.86	387.02	232.94	169.07	397.93	291.04	381.68	277.2	376.41	327.56	457.25	341.51	273.37	348.71	303.44	229.72	262.2	339.14	275.28	457.25	269.6	414.87	87.65	281.09	384.34	316.37	242.88	1388.16	1388.16	981.29	974.5	2573.36	1583.71	0.82	974.5	1883.54	1127.35	2178.83	1617.0	1167.14	1709.26	961.07	703.28	1127.35	1104.13	1721.16	1151.06	981.29	1369.04
CLK3	1923.14	2758.13	759.08	435.55	381.68	543.96	412.0	466.88	483.38	583.07	432.53	403.5	571.05	463.65	616.37	612.11	656.11	507.46	638.15	551.56	547.75	595.34	529.06	460.44	660.68	497.0	511.0	620.67	301.33	532.74	441.64	599.49	665.29	466.88	571.05	1697.45	1183.45	1225.22	660.68	1651.0	1639.59	0.66	915.51	1697.45	1350.18	1030.12	1111.82	1378.57	1457.23	1388.16	974.5	1733.13	1175.27	1551.09	1540.37	1427.22	1605.83
CSK	1594.73	2400.97	1151.06	738.29	872.1	1794.29	1199.98	1081.39	1322.37	1073.91	571.05	684.02	860.08	759.08	728.11	693.58	1159.07	2119.22	884.29	981.29	860.08	1143.1	1127.35	941.27	1250.98	1066.48	819.3	684.02	1594.73	1001.93	1295.13	854.13	1059.11	753.83	518.15	1709.26	2047.0	1322.37	1447.15	2075.59	1844.76	0.65	1674.06	2075.59	1733.13	1437.15	1583.71	1639.59	1721.16	1662.49	1923.14	1369.04	1757.34	2047.0	2335.28	1447.15	1896.65
CXXC1	5219.6	3467.27	791.35	339.14	312.0	607.87	466.88	503.95	384.34	547.75	303.44	346.29	525.39	500.46	579.04	361.04	813.63	642.59	669.92	497.0	460.44	480.04	555.41	339.14	559.28	514.56	426.57	563.18	432.53	728.11	156.59	395.18	607.87	514.56	460.44	1844.76	1551.09	884.29	1119.56	1561.89	2061.24	1.1	860.08	1674.06	1721.16	2935.74	1304.15	1259.69	2645.74	1437.15	1242.34	1551.09	1037.29	1407.55	1594.73	961.07	1819.35
DKFZP434E1119	1.73	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.74	0.78	0.77	2.92	0.85	0.07	1.11	0.77	0.45	1.31	1.41	1.13	0.48	0.46	1.45	0.42	2.81	1.38	0.78	0.78	0.44
DMPK	2047.0	1540.37	246.28	77.25	41.52	309.83	56.28	176.29	36.01	73.03	49.91	57.89	146.03	101.54	153.34	63.45	141.02	166.73	127.89	96.01	159.9	83.45	143.01	73.03	124.37	102.97	119.26	148.09	64.34	112.77	39.5	120.1	139.07	113.56	102.25	1529.73	967.76	368.65	651.58	872.1	748.61	1.04	397.93	1457.23	708.18	884.29	1259.69	769.69	961.07	1066.48	575.03	1498.22	825.0	490.14	1135.2	493.56	1023.0
DPH7	1277.29	1388.16	256.78	54.33	100.83	211.31	101.54	172.65	109.66	155.5	111.99	85.22	180.02	82.87	173.85	116.78	194.36	217.27	159.9	151.22	134.3	159.9	165.57	94.67	183.82	144.01	112.77	187.71	139.07	224.97	103.69	144.01	186.4	111.99	119.26	1030.12	995.0	403.5	638.15	1066.48	785.88	0.93	612.11	1088.92	642.59	848.22	941.27	708.18	1457.23	665.29	532.74	825.0	791.35	518.15	764.36	389.72	748.61
EXD3	525.39	476.71	204.07	61.25	57.08	105.15	90.77	150.17	83.45	153.34	69.03	55.1	149.12	96.01	130.6	128.79	108.9	67.12	139.07	149.12	183.82	113.56	89.51	72.52	113.56	155.5	144.01	199.85	106.63	96.01	147.06	132.44	134.3	76.17	120.1	703.28	327.56	318.57	220.32	500.46	470.14	0.64	287.01	438.59	366.09	305.55	332.14	460.44	518.15	265.87	215.77	473.41	293.07	201.25	348.71	285.03	392.44
FAM160B2	4639.29	2119.22	363.56	80.01	116.78	521.76	231.32	318.57	356.05	279.14	119.26	111.99	358.54	287.01	277.2	143.01	633.73	246.28	334.46	314.17	242.88	239.52	190.34	182.55	214.27	273.37	197.09	218.79	202.66	303.44	103.69	320.8	450.94	186.4	215.77	1794.29	1628.26	1073.91	688.78	2255.7	1923.14	1.19	1183.45	1936.53	1242.34	1457.23	1259.69	1331.57	1561.89	995.0	1250.98	1457.23	1369.04	1096.5	1417.35	830.75	1605.83
FAM209A	10.0	32.59	2.12	0.0	0.01	0.0	2.1	4.03	1.46	0.0	0.0	1.53	3.79	0.27	5.15	1.91	1.97	1.89	2.01	3.99	1.64	0.38	0.0	1.08	2.39	0.88	2.05	4.21	4.24	1.04	1.95	0.87	0.92	1.81	0.49	24.99	11.47	11.21	13.62	15.11	36.53	0.45	8.45	34.51	7.0	10.47	8.19	19.68	20.56	11.13	8.78	27.05	4.78	14.35	14.24	0.0	20.71
FBXL8	1037.29	395.18	107.38	37.32	52.08	149.12	81.71	212.78	96.68	49.56	29.7	73.03	197.09	113.56	117.6	65.26	141.02	127.89	163.28	124.37	166.73	156.59	163.28	47.84	55.1	82.29	96.01	149.12	91.41	98.04	63.45	165.57	116.78	183.82	130.6	384.34	336.79	237.86	131.51	376.41	1331.57	0.88	198.47	454.09	251.48	559.28	389.72	334.46	371.22	253.23	341.51	329.84	132.44	142.01	363.56	239.52	348.71
FCHSD1	1066.48	1709.26	149.12	29.27	12.93	75.11	31.67	48.52	10.47	45.85	36.01	11.04	33.54	35.76	202.66	32.59	57.08	12.64	133.36	69.03	47.5	17.51	31.22	16.27	14.67	16.03	40.07	51.71	18.29	36.27	8.32	27.84	89.51	26.86	107.38	587.13	1059.11	327.56	366.09	796.86	941.27	0.97	583.07	872.1	435.55	748.61	713.11	612.11	723.08	629.35	420.68	579.04	412.0	521.76	480.04	221.86	629.35
HOOK2	3103.19	1427.22	447.82	68.07	81.71	366.09	466.88	366.09	124.37	414.87	136.19	85.22	271.48	228.13	409.15	169.07	775.05	197.09	397.93	361.04	297.17	269.6	303.44	77.25	220.32	669.92	279.14	366.09	193.01	551.56	100.83	204.07	532.74	287.01	314.17	1457.23	1313.23	1081.39	1088.92	1268.46	2682.69	0.85	684.02	1639.59	961.07	1594.73	1340.84	1159.07	1745.2	764.36	665.29	1498.22	1242.34	988.12	1225.22	878.17	1073.91
HP	114.36	358.54	6183532.28	2924988.47	6014443.23	5972898.43	9635979.21	1.307221145E7	6490957.04	7560235.84	1.202888747E7	3.671840259E7	1.219680449E7	6536105.23	1.654623811E7	3.174442598E7	1.410789979E7	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	8159220.07	6226542.15	1.512047268E7	9307742.35	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9838451.64	4671.57	460.44	1819.35	5672.41	2061.24	269.6	0.21	5633.22	154.42	158.79	3257.52	90.14	444.72	497.0	2701.35	3103.19	13123.73	49.91	1639.59	2720.15	35.25	8718.32
HSF4	3124.78	13399.51	185.11	45.21	42.71	197.09	115.16	172.65	156.59	77.25	63.0	52.82	273.37	159.9	183.82	78.89	366.09	135.24	381.68	229.72	256.78	226.54	249.73	71.5	281.09	211.31	229.72	336.79	111.99	193.01	108.9	169.07	368.65	221.86	177.53	1923.14	2178.83	842.36	463.65	1685.71	4639.29	1.46	486.75	1733.13	775.05	2319.15	1081.39	934.76	1674.06	934.76	1104.13	1605.83	426.57	748.61	934.76	743.43	1447.15
IFI16	5219.6	4239.45	1674.06	981.29	255.0	1427.22	651.58	583.07	981.29	361.04	656.11	339.14	830.75	281.09	1183.45	336.79	2075.59	153.34	127.0	563.18	244.57	185.11	392.44	212.78	1259.69	129.69	444.72	723.08	224.97	170.25	215.77	429.54	547.75	603.67	195.72	2193.99	3060.45	2956.17	2796.65	3081.75	1991.0	1.19	3103.19	3982.99	2664.15	2701.35	4328.55	7911.95	3955.48	4152.18	12853.63	3742.05	8901.53	5954.47	3874.05	6426.31	4123.49
KIAA0895L	802.41	1583.71	194.36	14.14	13.72	55.1	39.22	96.68	34.75	67.12	14.35	16.39	122.64	64.8	110.43	33.06	90.14	51.35	124.37	94.01	86.43	54.72	66.18	23.93	42.41	49.21	78.89	97.36	45.85	53.19	22.26	96.01	84.04	84.63	45.53	842.36	551.56	209.84	236.21	674.59	518.15	1.23	201.25	660.68	441.64	1030.12	409.15	420.68	624.99	348.71	265.87	915.51	260.38	301.33	518.15	325.29	698.41
LENG8	6935.54	10440.2	1529.73	229.72	239.52	796.86	432.53	713.11	507.46	684.02	242.88	403.5	514.56	466.88	688.78	366.09	733.19	819.3	848.22	563.18	825.0	500.46	507.46	536.45	633.73	587.13	460.44	808.0	532.74	493.56	299.25	571.05	748.61	454.09	432.53	7857.29	4903.87	2061.24	1883.54	4543.8	4704.07	1.77	4298.64	5403.7	3820.7	5147.73	4481.23	4210.15	6840.04	3419.52	1991.0	6381.92	1605.83	3212.66	4481.23	2645.74	5366.37
LMBR1L	1923.14	3146.52	612.11	199.85	220.32	460.44	157.68	463.65	309.83	334.46	244.57	248.0	329.84	285.03	368.65	262.2	373.81	289.02	379.04	476.71	403.5	363.56	229.72	307.69	229.72	336.79	285.03	454.09	229.72	336.79	293.07	780.44	420.68	323.03	312.0	1674.06	1259.69	555.41	1001.93	1199.98	1096.5	0.58	733.19	1950.0	1008.9	1073.91	890.44	1104.13	1143.1	1191.69	1008.9	1199.98	525.39	1015.93	974.5	447.82	1268.46
LPAR2	444.72	921.88	353.59	52.08	7.51	172.65	49.91	165.57	55.49	72.01	23.59	12.93	47.5	18.7	119.26	92.05	332.14	20.41	63.89	123.5	63.89	22.43	102.25	25.17	13.83	14.78	69.03	50.27	64.34	29.48	34.02	51.35	48.18	34.26	22.26	1015.93	896.64	620.67	902.89	866.07	2148.82	0.53	1081.39	995.0	583.07	1407.55	638.15	638.15	1304.15	620.67	718.08	748.61	559.28	890.44	764.36	638.15	961.07
MICALL2	3614.55	1487.87	490.14	242.88	127.89	356.05	136.19	343.89	208.38	275.28	62.56	105.15	226.54	226.54	249.73	129.69	384.34	176.29	220.32	182.55	241.19	127.0	206.94	130.6	239.52	111.21	237.86	285.03	131.51	201.25	68.07	171.45	239.52	149.12	108.9	1487.87	3901.01	988.12	1015.93	1259.69	6792.79	1.28	830.75	2664.15	1001.93	3690.52	2061.24	1427.22	1896.65	1286.18	1498.22	2367.9	1477.58	2701.35	1844.76	1167.14	1757.34
MLKL	842.36	1268.46	130.6	117.6	74.58	170.25	134.3	88.26	166.73	52.82	94.01	63.45	80.01	71.5	97.36	72.01	234.57	76.71	81.71	64.34	47.84	45.21	49.21	54.33	84.63	49.91	59.97	73.03	69.52	75.11	30.34	84.63	94.01	68.55	71.0	587.13	450.94	679.29	248.0	583.07	503.95	0.67	267.73	473.41	450.94	397.93	629.35	412.0	567.1	400.71	285.03	483.38	299.25	473.41	470.14	295.11	860.08
MZF1	1081.39	967.76	199.85	28.04	55.89	134.3	106.63	181.28	76.17	105.15	83.45	64.34	177.53	95.34	178.77	112.77	229.72	131.51	162.14	130.6	99.43	150.17	47.84	76.17	183.82	117.6	111.21	144.01	135.24	176.29	84.04	140.04	253.23	108.14	141.02	896.64	497.0	258.57	318.57	358.54	656.11	1.01	277.2	559.28	395.18	567.1	400.71	373.81	555.41	363.56	277.2	629.35	146.03	303.44	551.56	242.88	599.49
NADSYN1	2758.13	2591.27	642.59	241.19	262.2	518.15	307.69	490.14	318.57	343.89	316.37	279.14	483.38	327.56	595.34	376.41	567.1	483.38	579.04	620.67	454.09	426.57	389.72	323.03	665.29	470.14	376.41	503.95	339.14	775.05	409.15	466.88	595.34	426.57	397.93	1936.53	1529.73	1135.2	1127.35	2520.38	2018.8	1.13	947.83	2047.0	1286.18	1191.69	1340.84	1388.16	2004.85	1304.15	1015.93	1605.83	1175.27	2758.13	1378.57	748.61	1529.73
NEURL4	1135.2	934.76	163.28	52.45	84.63	159.9	111.21	144.01	108.9	145.02	66.65	58.71	152.28	148.09	141.02	83.45	176.29	155.5	171.45	149.12	146.03	142.01	137.14	98.73	62.56	157.68	113.56	180.02	108.14	152.28	32.82	139.07	185.11	145.02	130.6	638.15	397.93	379.04	251.48	1159.07	551.56	0.87	327.56	521.76	480.04	713.11	454.09	454.09	559.28	316.37	208.38	466.88	241.19	309.83	540.19	236.21	540.19
NOM1	379.04	303.44	113.56	71.5	98.04	121.79	94.01	166.73	152.28	96.01	138.1	154.42	162.14	116.78	85.82	70.01	90.77	202.66	146.03	102.25	161.02	149.12	139.07	150.17	109.66	152.28	86.43	132.44	234.57	81.14	63.89	94.01	107.38	97.36	108.14	226.54	201.25	159.9	198.47	438.59	287.01	0.68	423.61	363.56	232.94	309.83	486.75	309.83	414.87	248.0	199.85	289.02	323.03	154.42	291.04	255.0	291.04
NUTM2G	20.86	12.93	2.73	1.07	0.0	0.0	0.34	3.11	0.0	0.57	0.37	0.0	1.39	0.0	1.62	0.69	1.31	0.33	1.5	0.08	1.14	2.12	0.78	0.01	0.0	1.53	0.39	3.76	0.0	0.01	0.4	0.92	2.23	1.71	0.72	8.13	7.63	2.58	7.11	8.51	4.98	0.16	7.28	10.63	3.56	9.34	6.67	8.45	4.82	4.94	3.32	6.41	14.67	2.81	4.17	2.97	5.54
P2RX5	127.0	417.77	73.03	0.71	4.28	29.48	6.01	117.6	42.41	18.29	0.0	5.45	29.91	3.32	19.25	18.97	22.1	15.45	7.34	33.3	4.7	0.55	102.97	3.23	10.39	14.14	28.24	1.6	13.72	6.31	30.34	20.71	8.71	4.17	11.13	148.09	356.05	209.84	171.45	674.59	896.64	0.77	180.02	351.14	166.73	269.6	229.72	591.22	638.15	195.72	157.68	253.23	65.26	212.78	334.46	156.59	753.83
PAQR6	218.79	123.5	16.15	1.79	10.47	14.35	5.32	33.78	13.03	3.5	5.96	2.41	17.77	13.83	4.9	18.29	6.52	14.03	6.89	20.71	18.29	9.56	19.97	10.55	23.59	1.03	19.97	11.13	17.64	10.88	13.22	11.64	5.54	14.35	20.86	108.14	104.42	80.57	44.57	124.37	77.79	0.91	43.32	147.06	62.12	153.34	96.68	120.1	138.1	85.22	29.27	91.41	76.17	42.71	59.97	32.82	45.53
POLG	1733.13	1561.89	551.56	346.29	318.57	571.05	480.04	713.11	555.41	327.56	305.55	540.19	607.87	521.76	536.45	323.03	854.13	651.58	595.34	450.94	518.15	376.41	450.94	547.75	743.43	603.67	336.79	348.71	438.59	457.25	361.04	540.19	612.11	454.09	543.96	1135.2	1059.11	753.83	629.35	981.29	1259.69	0.87	830.75	1331.57	1111.82	941.27	1340.84	1081.39	1340.84	1023.0	679.29	1175.27	872.1	1030.12	1044.52	759.08	1313.23
POLM	842.36	1127.35	205.5	63.45	102.25	147.06	135.24	139.07	114.36	209.84	102.97	92.05	176.29	122.64	149.12	136.19	121.79	180.02	181.28	193.01	162.14	161.02	133.36	100.13	133.36	146.03	136.19	217.27	123.5	205.5	115.16	108.14	153.34	143.01	127.0	669.92	928.3	389.72	307.69	656.11	785.88	0.93	271.48	486.75	376.41	511.0	384.34	426.57	575.03	309.83	497.0	400.71	384.34	490.14	521.76	348.71	503.95
RABGGTA	2956.17	1066.48	497.0	285.03	334.46	423.61	351.14	483.38	351.14	503.95	214.27	241.19	400.71	389.72	366.09	262.2	395.18	490.14	423.61	387.02	339.14	403.5	356.05	295.11	346.29	358.54	287.01	389.72	379.04	379.04	273.37	493.56	389.72	353.59	295.11	1242.34	836.53	679.29	651.58	934.76	1023.0	0.67	575.03	1096.5	921.88	1073.91	1111.82	791.35	928.3	785.88	651.58	679.29	638.15	684.02	896.64	738.29	884.29
RBM33	866.07	1135.2	373.81	105.89	141.02	258.57	167.9	214.27	166.73	163.28	226.54	198.47	279.14	173.85	316.37	234.57	194.36	239.52	236.21	309.83	273.37	299.25	264.03	231.32	198.47	260.38	163.28	267.73	180.02	307.69	146.03	242.88	275.28	264.03	159.9	825.0	607.87	353.59	381.68	698.41	656.11	0.65	603.67	624.99	579.04	738.29	733.19	532.74	890.44	599.49	325.29	555.41	633.73	490.14	616.37	500.46	607.87
