	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4969.01A.01R.1334.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.YB5E.0626.SM.4VDSE	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	TCGA.A5.A3LP.01A.11R.A22K.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
TMEM131	178.77	303.44	156.59	248.0	323.03	441.64	329.84	138.1	325.29	176.29	214.27	281.09	348.71	392.44	356.05	591.22	447.82	624.99	279.14	323.03	397.93	241.19	438.59	381.68	361.04	409.15	327.56	262.2	343.89	387.02	376.41	476.71	358.54	341.51	334.46	343.89	409.15	358.54	320.8	381.68	285.03	480.04	381.68	426.57	389.72	368.65	332.14	291.04	429.54	269.6	305.55	336.79	320.8	463.65	281.09	217.27	158.79	348.71	218.79	135.24	193.01	312.0	400.71	289.02	343.89	379.04	392.44	318.57	325.29	379.04	334.46	392.44	323.03	327.56	130.6	167.9	159.9	186.4	112.77	490.14	429.54	297.17	438.59	366.09	403.5	358.54	441.64	248.0	373.81	450.94	381.68	339.14	111.99	129.69
TRAK2	79.45	94.01	77.79	126.12	198.47	514.56	486.75	473.41	466.88	463.65	392.44	348.71	432.53	397.93	480.04	988.12	454.09	633.73	248.0	318.57	470.14	339.14	493.56	269.6	392.44	289.02	223.41	525.39	629.35	660.68	587.13	718.08	571.05	647.07	595.34	490.14	684.02	525.39	476.71	656.11	473.41	684.02	532.74	571.05	638.15	660.68	599.49	521.76	616.37	536.45	503.95	579.04	629.35	624.99	281.09	236.21	164.42	264.03	156.59	71.0	325.29	511.0	470.14	426.57	490.14	493.56	514.56	423.61	460.44	551.56	529.06	547.75	470.14	483.38	77.79	87.03	72.01	204.07	119.26	830.75	674.59	607.87	543.96	454.09	486.75	872.1	435.55	314.17	567.1	693.58	599.49	323.03	74.06	114.36
TTBK2	22.26	19.39	16.03	24.46	25.72	100.83	71.5	34.02	61.68	44.57	55.49	44.25	91.41	49.91	59.97	133.36	120.94	115.16	31.9	69.03	95.34	57.49	88.26	60.82	56.28	75.11	46.18	61.25	117.6	135.24	80.01	125.24	112.77	102.25	94.01	70.51	96.68	72.52	59.13	101.54	42.41	103.69	98.04	74.58	112.77	94.01	78.34	63.89	94.01	75.11	95.34	90.77	88.26	101.54	37.05	35.0	11.04	30.78	29.06	25.35	36.01	59.13	88.26	55.1	74.06	78.89	88.88	66.65	58.3	71.5	86.43	102.25	66.65	67.12	22.75	18.29	21.78	16.27	29.06	115.97	132.44	100.83	100.83	98.04	72.01	79.45	82.29	52.08	77.79	121.79	90.14	32.82	8.65	11.47
TTC37	156.59	223.41	111.21	189.02	239.52	713.11	587.13	381.68	500.46	483.38	587.13	371.22	403.5	435.55	409.15	1295.13	679.29	872.1	444.72	507.46	791.35	371.22	1119.56	532.74	497.0	599.49	500.46	521.76	703.28	728.11	674.59	872.1	612.11	669.92	665.29	624.99	764.36	698.41	518.15	802.41	507.46	896.64	713.11	665.29	713.11	679.29	703.28	579.04	660.68	579.04	559.28	599.49	603.67	769.69	341.51	279.14	49.56	264.03	55.89	218.79	379.04	503.95	559.28	599.49	457.25	587.13	529.06	575.03	591.22	679.29	543.96	583.07	518.15	599.49	212.78	400.71	61.68	191.67	231.32	981.29	738.29	547.75	808.0	669.92	620.67	780.44	595.34	406.31	842.36	660.68	426.57	346.29	170.25	169.07
UBE3A	314.17	145.02	165.57	269.6	341.51	595.34	511.0	400.71	595.34	476.71	708.18	426.57	441.64	532.74	620.67	1008.9	796.86	587.13	381.68	486.75	669.92	426.57	642.59	567.1	379.04	629.35	420.68	575.03	780.44	785.88	718.08	819.3	674.59	718.08	723.08	616.37	836.53	679.29	629.35	808.0	642.59	866.07	703.28	728.11	718.08	753.83	660.68	525.39	723.08	688.78	679.29	599.49	769.69	708.18	305.55	309.83	76.71	143.01	147.06	277.2	497.0	497.0	571.05	579.04	500.46	599.49	532.74	511.0	629.35	651.58	529.06	607.87	521.76	599.49	255.0	312.0	134.3	231.32	325.29	1259.69	791.35	698.41	759.08	698.41	656.11	1208.34	587.13	555.41	679.29	866.07	785.88	507.46	173.85	647.07
UBR1	72.01	49.56	40.36	48.18	85.22	218.79	151.22	82.87	165.57	111.99	120.1	127.89	112.77	155.5	162.14	295.11	217.27	186.4	88.26	120.1	231.32	119.26	251.48	100.83	100.13	214.27	70.51	170.25	201.25	223.41	187.71	289.02	178.77	194.36	201.25	185.11	248.0	177.53	157.68	204.07	125.24	244.57	206.94	223.41	198.47	228.13	180.02	167.9	209.84	194.36	175.07	206.94	211.31	229.72	90.14	45.85	23.93	71.0	50.27	48.52	106.63	150.17	185.11	151.22	143.01	186.4	152.28	154.42	157.68	198.47	152.28	206.94	148.09	177.53	43.32	63.0	39.79	68.55	77.79	299.25	228.13	195.72	189.02	182.55	186.4	341.51	232.94	131.51	242.88	277.2	198.47	82.87	41.22	92.7
UTP14C	56.68	42.71	53.95	96.68	148.09	339.14	303.44	202.66	275.28	244.57	217.27	209.84	287.01	371.22	387.02	389.72	351.14	361.04	142.01	127.0	279.14	159.9	353.59	164.42	202.66	441.64	92.05	258.57	361.04	343.89	320.8	414.87	309.83	336.79	339.14	273.37	417.77	318.57	316.37	384.34	239.52	395.18	353.59	368.65	356.05	368.65	329.84	287.01	373.81	269.6	277.2	329.84	339.14	373.81	189.02	72.52	54.33	176.29	82.87	98.04	195.72	301.33	293.07	275.28	269.6	334.46	301.33	273.37	295.11	353.59	287.01	303.44	299.25	305.55	49.56	100.83	70.01	84.04	95.34	444.72	130.6	281.09	218.79	339.14	295.11	595.34	251.48	217.27	166.73	423.61	351.14	144.01	66.65	36.79
VPS36	277.2	156.59	147.06	470.14	190.34	669.92	603.67	591.22	583.07	620.67	808.0	432.53	563.18	466.88	599.49	1037.29	669.92	624.99	312.0	412.0	466.88	366.09	529.06	406.31	397.93	629.35	264.03	521.76	624.99	753.83	775.05	733.19	703.28	656.11	583.07	555.41	674.59	603.67	595.34	723.08	647.07	860.08	688.78	728.11	693.58	591.22	674.59	540.19	612.11	802.41	669.92	607.87	603.67	703.28	486.75	303.44	140.04	379.04	214.27	283.05	599.49	599.49	551.56	629.35	536.45	563.18	532.74	567.1	583.07	669.92	551.56	540.19	529.06	591.22	120.94	237.86	180.02	241.19	221.86	723.08	860.08	547.75	764.36	579.04	571.05	674.59	525.39	497.0	684.02	595.34	543.96	281.09	136.19	157.68
WDR11	251.48	255.0	198.47	343.89	244.57	684.02	603.67	493.56	563.18	536.45	547.75	616.37	612.11	599.49	656.11	878.17	733.19	693.58	379.04	460.44	521.76	507.46	387.02	490.14	703.28	665.29	387.02	521.76	571.05	624.99	599.49	733.19	629.35	551.56	638.15	656.11	660.68	684.02	540.19	679.29	575.03	813.63	638.15	674.59	656.11	660.68	674.59	607.87	603.67	616.37	555.41	547.75	563.18	743.43	551.56	454.09	275.28	521.76	332.14	351.14	595.34	518.15	665.29	591.22	514.56	607.87	555.41	665.29	587.13	723.08	665.29	603.67	525.39	616.37	220.32	339.14	242.88	279.14	229.72	1030.12	909.17	698.41	1015.93	872.1	819.3	866.07	808.0	688.78	842.36	819.3	791.35	281.09	406.31	301.33
YAP1	476.71	514.56	248.0	551.56	379.04	1216.75	967.76	555.41	1023.0	796.86	1073.91	466.88	909.17	981.29	878.17	1844.76	1697.45	1295.13	379.04	409.15	1001.93	954.43	915.51	454.09	460.44	981.29	441.64	934.76	1250.98	1447.15	1088.92	1407.55	1143.1	1225.22	1359.57	1066.48	1259.69	1088.92	860.08	1242.34	842.36	1216.75	1250.98	1167.14	1313.23	1331.57	1023.0	830.75	1111.82	1143.1	1135.2	1397.83	1135.2	1159.07	358.54	314.17	297.17	764.36	279.14	297.17	698.41	902.89	1151.06	961.07	890.44	1008.9	1044.52	981.29	860.08	1104.13	988.12	1259.69	934.76	1015.93	166.73	198.47	211.31	353.59	318.57	1721.16	1135.2	1551.09	1369.04	1304.15	961.07	1378.57	1081.39	764.36	854.13	1583.71	974.5	896.64	303.44	301.33
ZFR	476.71	511.0	271.48	403.5	567.1	961.07	848.22	679.29	813.63	796.86	902.89	587.13	902.89	819.3	1088.92	1477.58	1143.1	915.51	547.75	728.11	934.76	775.05	981.29	616.37	521.76	902.89	819.3	872.1	974.5	981.29	995.0	1135.2	934.76	1051.79	1051.79	915.51	1096.5	902.89	842.36	1135.2	909.17	1135.2	961.07	961.07	1008.9	1030.12	941.27	954.43	1030.12	1001.93	819.3	967.76	967.76	1015.93	429.54	417.77	124.37	381.68	237.86	426.57	660.68	759.08	836.53	764.36	764.36	928.3	780.44	819.3	808.0	921.88	753.83	915.51	796.86	802.41	323.03	343.89	148.09	387.02	312.0	1286.18	909.17	921.88	915.51	947.83	884.29	1457.23	785.88	769.69	890.44	1304.15	1199.98	802.41	371.22	409.15
ZNF778	27.64	29.91	35.5	49.91	29.48	105.15	82.87	36.27	63.45	71.5	55.1	39.79	59.55	70.01	96.01	109.66	262.2	132.44	31.9	39.79	88.88	39.79	41.22	40.93	34.75	77.25	42.41	78.34	124.37	122.64	81.71	139.07	102.97	92.7	77.25	75.64	114.36	102.97	65.26	111.99	57.89	120.1	136.19	131.51	110.43	107.38	75.64	51.35	102.25	61.25	91.41	77.25	63.45	123.5	34.51	14.45	32.13	77.79	16.03	59.13	30.12	99.43	71.0	57.08	81.71	91.41	116.78	91.41	50.63	93.35	87.65	94.01	133.36	98.73	22.59	36.27	27.44	69.03	18.56	65.26	150.17	76.71	129.69	112.77	121.79	114.36	108.14	57.49	153.34	108.14	80.01	107.38	21.94	10.24
ZRANB1	106.63	88.26	135.24	152.28	94.67	264.03	242.88	162.14	271.48	182.55	202.66	145.02	356.05	228.13	269.6	497.0	305.55	301.33	204.07	163.28	327.56	177.53	202.66	162.14	273.37	236.21	144.01	244.57	341.51	361.04	289.02	389.72	301.33	312.0	327.56	281.09	320.8	327.56	285.03	351.14	220.32	363.56	289.02	301.33	314.17	314.17	275.28	220.32	291.04	295.11	287.01	273.37	339.14	320.8	133.36	91.41	112.77	127.89	123.5	100.13	204.07	275.28	289.02	256.78	217.27	239.52	267.73	236.21	253.23	289.02	251.48	231.32	273.37	307.69	205.5	208.38	256.78	120.1	86.43	480.04	397.93	417.77	490.14	329.84	343.89	400.71	392.44	301.33	429.54	426.57	392.44	147.06	140.04	126.12
