	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4969.01A.01R.1334.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.YB5E.0626.SM.4VDSE	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	TCGA.A5.A3LP.01A.11R.A22K.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
DPP8	105.15	65.72	103.69	164.42	144.01	403.5	239.52	204.07	305.55	277.2	285.03	231.32	232.94	327.56	309.83	620.67	571.05	403.5	92.7	211.31	329.84	187.71	307.69	132.44	204.07	309.83	155.5	291.04	373.81	397.93	314.17	460.44	417.77	363.56	358.54	343.89	368.65	325.29	249.73	376.41	264.03	441.64	358.54	356.05	392.44	361.04	353.59	291.04	346.29	371.22	318.57	441.64	379.04	417.77	191.67	107.38	48.52	129.69	82.87	87.03	198.47	283.05	363.56	301.33	264.03	341.51	289.02	334.46	320.8	395.18	285.03	343.89	303.44	336.79	62.12	72.01	29.7	85.22	66.18	327.56	423.61	341.51	341.51	229.72	255.0	412.0	341.51	211.31	260.38	329.84	299.25	132.44	70.51	84.63
ERCC6L2	72.01	49.56	85.22	55.1	204.07	334.46	258.57	180.02	223.41	260.38	244.57	156.59	214.27	164.42	223.41	830.75	500.46	305.55	103.69	173.85	363.56	171.45	262.2	119.26	183.82	180.02	120.1	289.02	353.59	450.94	341.51	511.0	361.04	346.29	412.0	303.44	473.41	279.14	291.04	406.31	271.48	441.64	429.54	379.04	409.15	403.5	432.53	320.8	351.14	218.79	318.57	409.15	314.17	432.53	77.79	85.82	12.18	44.57	35.76	69.52	142.01	301.33	395.18	264.03	246.28	291.04	323.03	289.02	211.31	379.04	314.17	429.54	301.33	260.38	28.04	36.53	25.91	72.52	62.12	836.53	400.71	441.64	480.04	490.14	381.68	1081.39	327.56	131.51	532.74	620.67	435.55	79.45	58.71	66.18
FNDC3A	154.42	110.43	69.03	147.06	197.09	665.29	532.74	460.44	603.67	547.75	624.99	309.83	420.68	441.64	733.19	1508.65	819.3	543.96	204.07	291.04	575.03	466.88	579.04	395.18	249.73	941.27	186.4	718.08	941.27	866.07	603.67	884.29	660.68	713.11	836.53	723.08	791.35	713.11	612.11	921.88	764.36	947.83	698.41	753.83	703.28	872.1	669.92	629.35	638.15	813.63	733.19	660.68	713.11	769.69	450.94	199.85	51.35	363.56	146.03	167.9	371.22	480.04	629.35	642.59	423.61	555.41	518.15	591.22	616.37	703.28	559.28	713.11	563.18	579.04	84.63	151.22	146.03	291.04	547.75	1498.22	785.88	638.15	825.0	860.08	769.69	1498.22	738.29	543.96	738.29	830.75	669.92	209.84	80.57	162.14
GCC2	246.28	70.01	100.13	125.24	124.37	454.09	368.65	236.21	412.0	301.33	248.0	162.14	647.07	295.11	454.09	854.13	684.02	595.34	163.28	323.03	283.05	166.73	389.72	265.87	281.09	595.34	343.89	400.71	483.38	660.68	457.25	748.61	420.68	521.76	579.04	363.56	587.13	480.04	327.56	656.11	325.29	674.59	490.14	490.14	579.04	607.87	529.06	356.05	500.46	316.37	429.54	400.71	466.88	579.04	109.66	106.63	34.75	50.63	63.0	279.14	249.73	392.44	392.44	351.14	363.56	334.46	409.15	366.09	356.05	480.04	384.34	403.5	343.89	358.54	75.11	67.12	21.63	64.34	172.65	967.76	1001.93	497.0	551.56	612.11	476.71	651.58	483.38	208.38	392.44	624.99	500.46	226.54	66.65	134.3
GPX3	198.47	1096.5	1844.76	738.29	848.22	353168.2	239554.43	783730.52	391864.76	394590.4	417089.23	327241.36	305326.92	299043.36	378516.38	144427.91	355624.68	365622.68	161367.56	184082.4	262143.0	190574.09	286861.53	336441.4	265802.39	492579.5	226632.25	736332.6	434801.29	246289.25	334117.42	207103.59	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	186652.11	57448.23	299043.36	186652.11	19892.37	84109.6	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	14163.58	52863.07	17078.76	320506.81	180294.02	136637.07	546551.29	499455.67	419990.32	405683.88	320506.81	275175.93	313910.86	236256.4	428815.23	284880.02	513497.31	184082.4	2895.31	579.04
HCFC2	54.72	94.67	46.18	76.71	67.59	165.57	122.64	180.02	118.43	169.07	135.24	122.64	123.5	187.71	139.07	318.57	211.31	186.4	50.98	120.1	198.47	100.83	218.79	107.38	141.02	120.1	62.12	171.45	147.06	193.01	144.01	185.11	178.77	158.79	193.01	162.14	178.77	153.34	126.12	165.57	169.07	197.09	144.01	147.06	173.85	165.57	163.28	177.53	140.04	215.77	173.85	191.67	165.57	182.55	96.68	80.57	18.03	46.84	36.27	22.43	102.25	134.3	143.01	130.6	109.66	144.01	121.79	120.1	120.1	133.36	159.9	143.01	102.25	129.69	149.12	82.87	44.89	159.9	153.34	260.38	265.87	199.85	299.25	141.02	211.31	208.38	180.02	146.03	246.28	265.87	198.47	80.01	59.97	61.25
IKZF5	79.45	47.5	53.19	87.65	69.03	237.86	228.13	256.78	217.27	248.0	212.78	136.19	232.94	106.63	167.9	376.41	373.81	186.4	132.44	157.68	228.13	148.09	189.02	121.79	123.5	204.07	84.63	351.14	320.8	334.46	249.73	327.56	299.25	241.19	289.02	301.33	323.03	275.28	212.78	285.03	297.17	348.71	267.73	269.6	346.29	281.09	253.23	348.71	258.57	318.57	269.6	236.21	307.69	267.73	91.41	68.55	33.06	92.05	62.56	59.13	161.02	253.23	201.25	212.78	149.12	189.02	183.82	194.36	201.25	242.88	218.79	187.71	190.34	223.41	53.95	110.43	59.55	47.5	119.26	432.53	356.05	327.56	414.87	387.02	323.03	309.83	351.14	191.67	312.0	387.02	255.0	75.11	59.55	64.8
IREB2	126.12	100.83	146.03	145.02	156.59	403.5	289.02	224.97	379.04	273.37	323.03	236.21	229.72	242.88	361.04	728.11	503.95	414.87	167.9	271.48	406.31	223.41	579.04	164.42	234.57	291.04	166.73	376.41	497.0	460.44	414.87	540.19	387.02	389.72	438.59	409.15	483.38	417.77	366.09	444.72	353.59	555.41	441.64	490.14	450.94	406.31	389.72	381.68	423.61	457.25	435.55	373.81	490.14	450.94	267.73	123.5	64.8	142.01	122.64	151.22	228.13	309.83	403.5	309.83	271.48	381.68	320.8	348.71	323.03	447.82	334.46	376.41	329.84	366.09	106.63	122.64	115.16	176.29	137.14	813.63	612.11	486.75	575.03	480.04	529.06	583.07	497.0	301.33	563.18	532.74	435.55	215.77	164.42	142.01
LATS1	85.82	50.98	31.0	92.7	97.36	193.01	141.02	83.45	145.02	109.66	159.9	90.14	121.79	111.21	178.77	297.17	208.38	137.14	75.64	131.51	239.52	107.38	169.07	95.34	100.83	96.68	81.14	158.79	209.84	224.97	239.52	279.14	217.27	212.78	223.41	165.57	256.78	175.07	153.34	234.57	146.03	242.88	223.41	212.78	234.57	231.32	177.53	150.17	220.32	185.11	194.36	205.5	204.07	229.72	74.06	73.54	36.53	94.67	72.52	46.18	113.56	148.09	194.36	131.51	142.01	165.57	161.02	152.28	137.14	180.02	155.5	187.71	149.12	137.14	32.36	31.45	43.02	95.34	100.13	332.14	148.09	205.5	134.3	217.27	157.68	275.28	162.14	108.14	127.0	234.57	134.3	164.42	68.07	71.0
LONRF2	2.86	0.0	16.51	1.38	2.43	32.59	44.57	16.51	28.04	21.32	7.11	2.18	113.56	27.84	13.12	281.09	74.06	49.91	1.75	3.41	24.63	3.96	25.54	0.83	26.1	47.17	16.39	22.59	49.21	63.45	61.68	50.27	70.01	47.17	24.46	29.06	82.29	42.11	36.27	73.03	23.08	55.89	63.89	52.08	64.34	48.87	31.67	24.28	62.56	28.45	43.02	43.94	31.9	55.49	6.52	2.53	8.06	4.43	3.03	19.25	19.82	48.18	31.67	22.59	46.5	54.72	53.57	33.78	22.26	38.4	40.36	28.04	36.79	37.32	0.0	0.0	5.32	14.03	20.41	67.12	150.17	98.04	127.89	136.19	100.83	223.41	141.02	36.27	40.93	102.97	34.02	39.79	6.94	6.78
