	TCGA.VS.A9V4.01A.12R.A42T.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.S95S.0326.SM.4B66U	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.6456.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.S7SF.0626.SM.4AD4V
BCL2L2	503.95	1685.71	2319.15	1674.06	2468.49	1936.53	0.0	532.74	595.34	417.77	656.11	708.18	275.28	902.89	748.61	769.69	1417.35	571.05	624.99	995.0	915.51	669.92	1359.57	620.67	287.01	325.29	599.49	1388.16
CACNA1H	26.86	7382.04	32994.92	2537.92	4123.49	2835.7	0.0	674.59	102.25	89.51	575.03	463.65	281.09	2555.58	693.58	890.44	3280.18	638.15	141.02	2895.31	1119.56	126.12	4543.8	151.22	73.54	40.07	110.43	2163.77
CALD1	305.55	120609.84	355624.68	24153.43	34158.52	30572.63	1832.01	6792.79	796.86	1583.71	15715.58	9474.59	1467.37	27553.49	10296.45	3081.75	58250.19	5594.3	769.69	16269.83	5913.33	1096.5	66912.05	988.12	693.58	988.12	1127.35	29943.43
CCDC102A	111.99	473.41	684.02	299.25	256.78	248.0	0.0	138.1	78.89	82.87	267.73	122.64	136.19	389.72	202.66	144.01	253.23	165.57	84.04	295.11	209.84	82.29	301.33	149.12	106.63	59.13	81.71	320.8
CCDC116	1.06	27.44	17.64	18.56	14.89	20.86	0.0	7.4	4.1	1.93	5.36	3.89	1.03	15.0	9.56	1.57	16.39	2.05	3.99	13.93	9.13	4.98	12.83	5.11	2.86	3.11	0.0	17.38
CD99L2	202.66	2895.31	2520.38	974.5	1037.29	921.88	995.0	497.0	312.0	229.72	521.76	361.04	343.89	1015.93	633.73	397.93	1407.55	373.81	351.14	1143.1	629.35	325.29	1135.2	381.68	258.57	158.79	301.33	872.1
CLIP3	50.98	4543.8	6983.79	1721.16	1819.35	1709.26	0.0	536.45	120.1	56.68	642.59	429.54	144.01	1844.76	579.04	178.77	3349.13	473.41	117.6	1605.83	490.14	101.54	2976.74	178.77	78.34	56.28	147.06	2335.28
CUEDC1	409.15	1295.13	1991.0	1561.89	1594.73	1008.9	0.0	466.88	309.83	825.0	447.82	389.72	665.29	1216.75	759.08	490.14	1233.75	638.15	323.03	1037.29	808.0	400.71	1268.46	444.72	279.14	264.03	334.46	896.64
CYTH3	186.4	836.53	785.88	412.0	547.75	403.5	0.0	620.67	223.41	231.32	651.58	426.57	438.59	665.29	432.53	536.45	713.11	287.01	264.03	607.87	320.8	332.14	503.95	228.13	256.78	185.11	236.21	460.44
DIP2C	63.0	1088.92	1583.71	376.41	638.15	435.55	0.0	253.23	104.42	102.25	255.0	171.45	101.54	693.58	275.28	277.2	679.29	148.09	86.43	447.82	258.57	120.1	775.05	76.71	75.11	47.17	56.28	656.11
DLG5	255.0	1936.53	1127.35	796.86	1350.18	941.27	0.0	669.92	334.46	376.41	500.46	435.55	226.54	1183.45	591.22	500.46	1088.92	356.05	305.55	718.08	483.38	228.13	988.12	205.5	244.57	110.43	111.99	967.76
DPP6	0.39	351.14	4152.18	420.68	490.14	242.88	0.0	11.82	0.69	1.43	2.1	24.63	4.06	400.71	1.17	9.93	775.05	112.77	14.89	684.02	246.28	13.12	738.29	2.78	3.72	20.71	2.32	376.41
DYRK1A	332.14	1001.93	941.27	1037.29	1216.75	1044.52	0.0	713.11	503.95	718.08	525.39	728.11	540.19	1447.15	866.07	825.0	1037.29	599.49	476.71	791.35	665.29	620.67	1037.29	457.25	460.44	287.01	395.18	1081.39
EHBP1L1	656.11	6792.79	10225.32	3515.68	3540.14	4066.71	0.0	1487.87	1233.75	961.07	1498.22	1427.22	651.58	3443.31	1437.15	1143.1	4095.0	1561.89	1208.34	3103.19	1662.49	679.29	4181.07	775.05	836.53	124.37	409.15	3018.3
EHD2	129.69	7130.55	9876.98	4298.64	6381.92	3874.05	521.76	2319.15	1015.93	866.07	2956.17	1167.14	748.61	4972.34	3491.39	1104.13	5292.48	1427.22	733.19	3124.78	1674.06	819.3	5366.37	1051.79	713.11	198.47	642.59	3372.43
EIF4EBP2	629.35	1030.12	1015.93	1378.57	1447.15	1183.45	403.5	961.07	819.3	1135.2	1111.82	909.17	483.38	1313.23	723.08	878.17	1268.46	723.08	738.29	1088.92	866.07	981.29	1322.37	753.83	575.03	571.05	698.41	1350.18
EVC2	1.77	135.24	105.89	166.73	128.79	94.67	0.0	37.59	15.56	20.56	31.9	22.1	19.82	80.01	77.25	20.86	94.67	25.91	12.55	113.56	25.35	20.11	66.18	18.16	9.13	2.92	20.56	91.41
FAM127A	1447.15	7642.41	8022.41	5517.27	4298.64	5403.7	0.0	3820.7	1417.35	1467.37	3212.66	2148.82	1662.49	3665.02	2682.69	1896.65	5672.41	2255.7	1662.49	5292.48	2335.28	1467.37	5633.22	2400.97	1709.26	1583.71	1857.6	5594.3
FAM212B	17.25	186.4	241.19	163.28	224.97	170.25	0.0	37.05	33.3	16.03	79.45	50.63	46.5	273.37	109.66	32.13	351.14	88.88	24.63	149.12	100.13	29.91	314.17	48.52	34.51	45.85	31.9	256.78
FBXO31	301.33	1991.0	1073.91	981.29	866.07	1037.29	0.0	444.72	387.02	224.97	536.45	470.14	612.11	1051.79	656.11	264.03	836.53	480.04	525.39	836.53	567.1	299.25	1340.84	275.28	273.37	156.59	285.03	974.5
FBXO32	368.65	15934.98	5751.61	4358.66	3349.13	4388.98	0.0	1487.87	95.34	341.51	1250.98	1135.2	153.34	3874.05	3716.2	346.29	5147.73	974.5	148.09	2609.3	791.35	142.01	8305.36	81.71	120.1	215.77	105.15	6121.9
FER	13.32	182.55	158.79	119.26	177.53	85.82	0.0	88.26	56.28	62.12	102.25	62.56	18.97	180.02	85.82	45.53	169.07	71.5	23.08	100.13	53.95	56.68	190.34	29.91	22.1	36.53	50.27	127.0
FERMT2	53.57	11035.54	19082.0	3124.78	3901.01	3901.01	0.0	1268.46	241.19	236.21	1923.14	1447.15	312.0	6887.62	1313.23	412.0	7749.1	1191.69	255.0	4181.07	1350.18	316.37	8022.41	320.8	325.29	429.54	470.14	5076.84
FGF2	2.58	612.11	483.38	285.03	253.23	187.71	0.0	50.63	19.25	8.58	136.19	60.39	18.56	325.29	198.47	23.08	507.46	74.06	15.8	316.37	68.07	19.11	571.05	19.53	13.22	24.81	17.0	303.44
FGFR1	73.54	6381.92	7485.11	3257.52	3716.2	2384.37	486.75	1322.37	305.55	241.19	1605.83	713.11	698.41	4328.55	2148.82	1909.85	3716.2	723.08	409.15	3847.29	934.76	309.83	4066.71	334.46	199.85	120.1	346.29	2032.85
FILIP1	1.38	802.41	2224.63	258.57	183.82	242.88	17.0	68.55	10.0	14.35	152.28	92.05	20.56	656.11	120.1	24.99	688.78	78.89	15.8	159.9	85.82	14.35	1023.0	15.22	9.85	13.93	13.93	543.96
FOXJ2	58.3	503.95	480.04	397.93	583.07	412.0	172.65	341.51	236.21	289.02	303.44	260.38	400.71	536.45	358.54	591.22	543.96	269.6	190.34	409.15	346.29	279.14	536.45	202.66	218.79	88.88	208.38	490.14
GJC2	17.25	209.84	251.48	93.35	67.12	67.12	0.0	38.67	17.13	38.4	52.45	12.45	36.01	117.6	35.25	28.24	115.97	49.56	20.11	205.5	76.71	13.03	154.42	28.45	15.8	15.56	19.11	148.09
GNAZ	103.69	480.04	703.28	429.54	555.41	579.04	0.0	194.36	116.78	41.22	241.19	132.44	91.41	450.94	65.26	228.13	507.46	152.28	100.83	493.56	199.85	181.28	703.28	102.97	144.01	66.65	117.6	438.59
GRIK5	7.0	1437.15	1498.22	392.44	432.53	371.22	0.0	74.58	14.35	9.56	120.1	50.98	11.38	420.68	31.9	29.7	521.76	102.97	23.76	476.71	195.72	15.91	651.58	30.12	8.58	11.13	23.76	525.39
HABP4	164.42	1540.37	2255.7	629.35	1015.93	555.41	0.0	316.37	173.85	75.64	591.22	217.27	232.94	376.41	183.82	217.27	483.38	228.13	126.12	532.74	221.86	145.02	438.59	169.07	145.02	138.1	172.65	348.71
HCRTR1	0.0	28.65	154.42	7.17	3.63	6.26	0.0	1.33	0.8	0.0	0.72	0.75	0.0	10.0	1.68	0.0	6.62	1.81	0.0	8.71	4.39	0.0	19.68	0.0	2.1	0.0	1.11	8.85
HDAC5	607.87	1183.45	2090.03	1407.55	1639.59	1059.11	0.0	974.5	376.41	389.72	656.11	293.07	713.11	854.13	819.3	406.31	1295.13	555.41	406.31	1437.15	802.41	493.56	1023.0	536.45	379.04	232.94	429.54	1322.37
HIPK3	264.03	1674.06	1447.15	1051.79	1259.69	1268.46	0.0	764.36	299.25	698.41	642.59	633.73	277.2	2133.97	802.41	466.88	2224.63	567.1	281.09	1225.22	514.56	435.55	2224.63	305.55	293.07	283.05	309.83	1572.76
HIPK4	0.67	30.34	52.45	10.31	12.09	6.84	0.0	7.17	1.17	0.25	1.45	2.71	0.3	12.55	3.17	0.68	20.71	5.02	0.72	11.64	4.39	0.0	18.7	2.03	1.13	1.71	5.23	16.75
ILK	2645.74	20881.4	72715.74	10733.74	9215.48	8901.53	0.0	5041.77	2335.28	2627.46	3564.78	2555.58	2434.5	8778.97	3018.3	1844.76	10733.74	5633.22	2163.77	9215.48	5995.9	2417.67	12943.04	2835.7	3515.68	3325.99	2502.97	9344.14
ITIH5	17.0	2178.83	571.05	1313.23	1447.15	435.55	0.0	525.39	88.26	128.79	175.07	329.84	171.45	1519.15	107.38	457.25	1977.24	361.04	234.57	1977.24	941.27	191.67	1757.34	234.57	198.47	119.26	194.36	743.43
JAM3	37.32	3280.18	7081.29	1199.98	1487.87	1151.06	0.0	587.13	142.01	123.5	780.44	403.5	146.03	1407.55	587.13	457.25	2104.58	414.87	199.85	1388.16	490.14	211.31	2061.24	183.82	151.22	206.94	204.07	1447.15
JPH2	9.2	7911.95	15824.9	1242.34	1745.2	1051.79	0.0	205.5	30.78	4.66	231.32	169.07	35.25	1963.57	127.0	66.18	1923.14	353.59	49.56	1397.83	460.44	27.64	1844.76	36.53	27.64	28.24	30.12	1561.89
KANK2	253.23	53230.77	62865.33	7485.11	13681.08	8421.31	854.13	2032.85	902.89	348.71	2555.58	1594.73	921.88	7695.57	1617.0	941.27	9945.68	2555.58	830.75	6607.01	3325.99	1135.2	9808.75	1127.35	995.0	819.3	1175.27	7081.29
KCND3	0.0	872.1	486.75	371.22	1096.5	285.03	12.83	100.83	81.14	183.82	115.97	124.37	23.76	314.17	172.65	116.78	309.83	189.02	90.14	231.32	262.2	120.1	420.68	100.13	127.89	24.28	73.54	363.56
KIF13A	25.72	890.44	1051.79	813.63	909.17	603.67	0.0	371.22	209.84	318.57	480.04	463.65	287.01	866.07	441.64	476.71	860.08	392.44	346.29	688.78	363.56	271.48	733.19	251.48	148.09	163.28	239.52	780.44
KLHL29	7.34	500.46	518.15	194.36	368.65	251.48	0.0	185.11	40.64	34.26	166.73	102.97	96.01	358.54	178.77	255.0	251.48	40.07	19.53	279.14	76.71	14.89	214.27	23.59	18.43	9.2	8.78	178.77
LCA5	18.43	107.38	94.67	63.0	87.03	58.3	0.0	40.36	16.75	40.36	62.56	40.07	18.97	80.57	74.58	34.26	57.49	26.86	7.63	54.33	20.71	22.1	69.52	19.39	13.83	17.51	18.29	97.36
LZTS2	633.73	2976.74	3794.3	2224.63	2335.28	2178.83	647.07	1286.18	723.08	612.11	1427.22	928.3	791.35	2777.33	1208.34	1208.34	2835.7	1088.92	884.29	2224.63	1437.15	830.75	2591.27	1044.52	733.19	679.29	902.89	2240.11
MAP1B	21.47	2573.36	5711.87	860.08	974.5	1151.06	19.68	412.0	49.91	48.87	743.43	473.41	82.29	2384.37	426.57	120.94	2075.59	139.07	49.56	884.29	314.17	57.89	2485.67	59.55	25.72	20.71	75.64	620.67
MAP3K3	87.65	1605.83	1304.15	954.43	1119.56	780.44	218.79	536.45	277.2	275.28	603.67	384.34	325.29	947.83	728.11	316.37	909.17	358.54	204.07	954.43	454.09	353.59	753.83	289.02	269.6	129.69	253.23	679.29
MAP4	1745.2	6699.25	8598.28	3847.29	3742.05	4543.8	0.0	2835.7	1350.18	1378.57	2384.37	2193.99	1242.34	5872.48	2777.33	1605.83	5219.6	2240.11	1378.57	4066.71	2468.49	1806.78	4972.34	1407.55	1191.69	429.54	1216.75	3443.31
MARVELD1	291.04	3982.99	5995.9	1794.29	2032.85	1457.23	0.0	1709.26	209.84	759.08	1359.57	543.96	825.0	1883.54	1437.15	1199.98	2104.58	426.57	212.78	1639.59	476.71	265.87	1806.78	217.27	185.11	206.94	228.13	1407.55
MEF2A	146.03	1088.92	1135.2	612.11	1073.91	890.44	187.71	684.02	426.57	547.75	819.3	575.03	291.04	1857.6	878.17	447.82	1605.83	567.1	307.69	954.43	703.28	616.37	1721.16	438.59	353.59	236.21	381.68	1407.55
MICAL3	197.09	1350.18	2148.82	693.58	915.51	708.18	287.01	281.09	208.38	164.42	318.57	295.11	147.06	2758.13	748.61	178.77	1008.9	305.55	275.28	785.88	327.56	180.02	854.13	170.25	131.51	32.82	90.14	723.08
MRVI1	28.24	9945.68	9409.14	2758.13	4095.0	2855.44	0.0	934.76	161.02	185.11	1350.18	575.03	249.73	2976.74	684.02	438.59	2720.15	656.11	236.21	1572.76	1111.82	297.17	2855.44	293.07	234.57	162.14	241.19	2178.83
MSRB3	34.51	7803.01	16960.78	1936.53	2855.44	2555.58	0.0	521.76	76.17	95.34	842.36	571.05	143.01	2796.65	684.02	281.09	3847.29	642.59	85.82	1857.6	660.68	139.07	3742.05	146.03	97.36	208.38	125.24	2645.74
MXRA7	514.56	19892.37	30999.42	7642.41	6381.92	5872.48	0.0	3614.55	1037.29	866.07	4419.52	1806.78	2468.49	7537.18	2796.65	1883.54	11745.96	2816.11	836.53	11035.54	4066.71	1073.91	13215.02	1304.15	988.12	2224.63	1745.2	7589.61
MYO1C	1225.22	4481.23	7485.11	3794.3	6561.36	3419.52	0.0	2287.2	2485.67	2193.99	2537.92	2451.44	2075.59	4038.61	2777.33	2335.28	4769.75	2573.36	1923.14	4210.15	3325.99	2303.12	3742.05	1819.35	1832.01	525.39	1769.57	2720.15
MYOM1	26.67	567.1	1551.09	403.5	417.77	314.17	0.0	28.86	13.32	181.28	31.67	34.26	20.71	198.47	24.81	75.64	703.28	110.43	27.84	420.68	100.13	60.82	551.56	53.57	11.3	55.1	18.16	258.57
NACAD	5.63	423.61	723.08	314.17	217.27	209.84	0.0	71.0	22.26	6.62	73.03	74.58	21.94	287.01	65.72	88.88	384.34	83.45	33.54	358.54	116.78	24.63	432.53	25.17	22.43	16.03	54.72	256.78
NAV2	277.2	665.29	381.68	529.06	866.07	450.94	211.31	152.28	132.44	236.21	406.31	212.78	134.3	802.41	318.57	204.07	633.73	180.02	128.79	336.79	234.57	182.55	651.58	87.65	131.51	37.32	90.14	521.76
NFIC	54.72	3515.68	4358.66	3257.52	5329.3	3982.99	1143.1	1733.13	1769.57	1295.13	2502.97	1313.23	890.44	5672.41	3515.68	2224.63	5147.73	1378.57	1216.75	2796.65	1963.57	1572.76	5711.87	1313.23	1119.56	316.37	1745.2	3928.15
NUMA1	2417.67	5366.37	4802.93	5751.61	5672.41	4152.18	0.0	3564.78	2367.9	2287.2	3280.18	2537.92	2090.03	5112.16	3742.05	2777.33	4704.07	2485.67	2485.67	4639.29	3146.52	2591.27	4836.35	2090.03	1295.13	579.04	1857.6	4903.87
OTUD7A	2.58	50.63	37.05	54.72	27.44	43.63	0.0	33.54	20.71	1.68	26.28	10.79	23.93	59.97	28.24	23.93	67.59	19.82	13.03	45.53	16.51	17.77	34.26	7.57	10.88	1.28	7.69	59.97
PAQR3	159.9	753.83	1467.37	486.75	633.73	457.25	0.0	194.36	84.63	163.28	84.04	155.5	59.55	351.14	215.77	312.0	336.79	134.3	111.99	217.27	104.42	94.67	287.01	38.67	123.5	81.14	59.13	450.94
PARD3	624.99	1001.93	1225.22	1540.37	2319.15	1167.14	0.0	651.58	287.01	532.74	1096.5	403.5	555.41	743.43	679.29	579.04	872.1	432.53	244.57	738.29	381.68	417.77	1111.82	303.44	253.23	182.55	353.59	1340.84
PARVA	728.11	10733.74	12589.08	3124.78	4152.18	3372.43	0.0	1369.04	728.11	884.29	1674.06	1697.45	1295.13	4239.45	1617.0	902.89	4869.99	1447.15	656.11	3349.13	1857.6	802.41	4607.24	684.02	902.89	476.71	642.59	3665.02
PCDHGA2	2.34	178.77	78.34	68.55	35.76	27.05	0.0	36.01	10.88	5.45	34.51	29.91	2.66	69.03	39.79	10.24	108.14	17.64	8.65	126.12	42.11	7.34	85.82	10.31	1.95	2.18	12.0	77.79
PCDHGA3	3.59	84.63	43.94	40.93	17.51	17.77	0.0	18.56	4.13	4.13	22.92	9.06	1.51	28.24	14.89	6.94	31.67	11.82	4.98	61.68	13.12	2.63	61.25	5.23	0.0	0.0	12.0	32.82
PCDHGA5	7.06	187.71	87.03	41.22	35.25	61.68	0.0	24.63	5.32	4.24	34.51	14.24	5.28	57.08	43.02	9.7	75.64	10.79	6.89	81.71	17.25	6.01	92.7	9.63	4.35	4.78	2.46	49.91
PDE2A	11.21	1477.58	713.11	708.18	591.22	612.11	0.0	178.77	112.77	185.11	242.88	127.0	117.6	967.76	242.88	155.5	1167.14	376.41	177.53	733.19	500.46	130.6	1322.37	148.09	127.0	103.69	187.71	819.3
PDZD4	3.23	764.36	1923.14	551.56	638.15	397.93	0.0	149.12	33.78	3.47	125.24	76.17	27.44	454.09	39.79	29.7	718.08	123.5	57.08	591.22	197.09	48.87	780.44	47.17	19.68	26.1	47.17	651.58
PELI3	120.94	780.44	878.17	420.68	438.59	316.37	0.0	332.14	87.03	85.22	183.82	74.58	133.36	346.29	132.44	172.65	460.44	194.36	128.79	486.75	343.89	155.5	540.19	133.36	81.71	92.05	93.35	579.04
PFKM	947.83	2287.2	2777.33	1388.16	1417.35	1216.75	0.0	684.02	412.0	842.36	708.18	414.87	144.01	878.17	642.59	669.92	1806.78	490.14	329.84	1369.04	642.59	358.54	1651.0	249.73	287.01	190.34	379.04	1407.55
PGC	232.94	3.86	0.0	8046889.67	1634025.56	938500.81	0.0	239554.43	2310861.52	3200796.55	1916442.45	425853.18	1.011504819E7	253.23	163620.18	5128124.01	1662.49	1851161.35	1956711.0	659036.03	2068278.89	5690009.96	63.0	2126426.15	851707.37	1634025.56	4885245.74	7966.99
PHF13	170.25	476.71	612.11	395.18	334.46	361.04	0.0	253.23	100.83	102.25	206.94	157.68	151.22	260.38	198.47	193.01	400.71	132.44	122.64	441.64	167.9	104.42	381.68	122.64	109.66	54.33	105.15	361.04
PIP5K1C	182.55	3303.0	6426.31	1447.15	1769.57	1397.83	0.0	1111.82	583.07	336.79	854.13	665.29	417.77	2537.92	1030.12	579.04	2664.15	723.08	563.18	1674.06	1096.5	521.76	2855.44	536.45	384.34	102.25	435.55	1870.53
PLN	11.73	10014.87	15499.21	3847.29	4010.71	2193.99	0.0	366.09	65.72	31.0	563.18	400.71	78.89	3928.15	193.01	176.29	6337.83	1175.27	51.71	2875.3	854.13	88.26	8078.22	127.0	150.17	256.78	116.78	5292.48
PPP1R3F	4.54	258.57	346.29	163.28	154.42	209.84	0.0	120.1	33.54	15.56	74.06	54.72	26.28	91.41	40.07	24.81	129.69	78.34	27.84	146.03	68.55	25.91	175.07	63.45	26.28	17.13	74.58	228.13
PRDM8	3.96	1628.26	1498.22	432.53	723.08	483.38	392.44	98.04	48.87	49.21	54.72	59.97	20.11	379.04	137.14	18.7	547.75	111.21	57.49	547.75	116.78	37.32	397.93	65.72	28.45	52.45	83.45	521.76
PRELP	29.06	3614.55	7589.61	3081.75	1250.98	4268.94	0.0	791.35	80.57	47.17	656.11	438.59	199.85	2609.3	860.08	277.2	2915.45	624.99	173.85	2303.12	684.02	38.4	3690.52	81.71	8.51	173.85	206.94	3874.05
PRKAB2	138.1	414.87	624.99	447.82	525.39	743.43	0.0	234.57	176.29	205.5	518.15	236.21	193.01	759.08	262.2	414.87	733.19	223.41	226.54	438.59	320.8	185.11	842.36	120.94	241.19	218.79	152.28	540.19
PTTG2	0.0	50.27	102.25	15.56	8.06	11.64	0.0	0.0	5.23	0.0	0.0	0.0	0.0	49.91	7.46	0.0	27.05	1.68	0.0	0.0	0.0	0.0	11.21	0.0	0.0	0.0	0.0	8.32
RAI2	176.29	1277.29	1151.06	1529.73	884.29	808.0	0.0	438.59	256.78	64.34	551.56	279.14	183.82	1051.79	389.72	532.74	1529.73	753.83	426.57	1250.98	698.41	583.07	1427.22	532.74	379.04	361.04	395.18	1191.69
RASD2	35.0	13586.57	55107.99	327.56	400.71	595.34	0.0	74.06	18.29	13.22	121.79	48.18	40.36	441.64	336.79	46.18	423.61	105.15	44.25	189.02	86.43	30.78	473.41	35.76	16.88	6.31	17.51	381.68
RBPMS2	12.64	7749.1	11504.21	3443.31	3467.27	2956.17	0.0	547.75	175.07	27.25	476.71	363.56	115.16	2209.26	244.57	177.53	4210.15	684.02	155.5	3325.99	791.35	223.41	4419.52	275.28	236.21	228.13	412.0	4419.52
RERE	728.11	3103.19	2627.46	2287.2	2875.3	2271.4	0.0	1697.45	854.13	575.03	1350.18	1183.45	1295.13	3060.45	1529.73	1096.5	2319.15	1191.69	909.17	1819.35	1216.75	1015.93	2520.38	1135.2	748.61	198.47	684.02	1963.57
RNF150	2.89	595.34	854.13	295.11	379.04	170.25	0.0	85.82	7.28	10.96	98.04	50.63	16.63	660.68	39.79	32.13	718.08	76.17	15.0	356.05	175.07	10.39	947.83	15.45	5.82	4.62	19.39	718.08
RRAD	29.27	1561.89	2209.26	674.59	1066.48	323.03	0.0	239.52	39.22	20.86	295.11	84.04	221.86	232.94	387.02	101.54	660.68	145.02	48.87	486.75	130.6	33.54	397.93	60.39	24.99	82.29	43.02	713.11
SCMH1	454.09	2319.15	2997.45	1651.0	1733.13	1628.26	0.0	769.69	543.96	316.37	775.05	616.37	447.82	1519.15	679.29	651.58	1819.35	780.44	642.59	1388.16	909.17	642.59	1662.49	536.45	612.11	400.71	518.15	1447.15
SEMA4C	555.41	2193.99	1896.65	1322.37	1159.07	1183.45	0.0	679.29	228.13	579.04	651.58	406.31	825.0	1037.29	915.51	483.38	1583.71	438.59	204.07	1208.34	624.99	249.73	1447.15	279.14	224.97	121.79	181.28	1088.92
SGCB	94.01	2537.92	4268.94	890.44	1331.57	854.13	0.0	543.96	305.55	941.27	860.08	555.41	211.31	1008.9	665.29	493.56	1242.34	441.64	215.77	698.41	366.09	368.65	1233.75	239.52	301.33	368.65	217.27	808.0
SIK3	279.14	759.08	669.92	733.19	723.08	660.68	156.59	312.0	420.68	249.73	444.72	381.68	264.03	947.83	543.96	384.34	830.75	381.68	379.04	638.15	480.04	429.54	854.13	336.79	237.86	181.28	285.03	708.18
SIX5	115.16	780.44	974.5	738.29	599.49	728.11	0.0	412.0	241.19	273.37	438.59	244.57	563.18	624.99	454.09	563.18	688.78	395.18	231.32	928.3	493.56	397.93	836.53	318.57	293.07	97.36	182.55	836.53
