	TCGA.60.2697.01A.11R.2125.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.85.7710.11A.01R.2125.07	TCGA.FP.8210.01A.11R.2343.13	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DO.A2HM.01B.11R.A22L.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2
CD300LF	176.29	201.25	264.03	753.83	66.65	153.34	33.3	70.51	237.86	96.01	92.7	30.34	71.5	42.71	17.51	22.1	14.14	2.84	7.06	10.24	3.5	8.78	12.83	51.35	23.08	13.52	33.78	9.7	3.99	15.68	3.2	14.56	5.45	15.56	1.2	0.78	2.1	48.87	10.39	3.72	23.42	5.96
CD53	3235.01	9673.69	3901.01	8022.41	2502.97	1963.57	1407.55	2119.22	2956.17	1167.14	3060.45	1437.15	2915.45	1487.87	264.03	356.05	239.52	85.22	314.17	336.79	162.14	156.59	318.57	2178.83	241.19	638.15	150.17	591.22	101.54	218.79	87.65	320.8	167.9	1044.52	58.3	82.87	126.12	1111.82	122.64	329.84	397.93	81.71
COLGALT1	1259.69	1498.22	1540.37	1857.6	1628.26	1111.82	684.02	988.12	1662.49	698.41	1037.29	579.04	708.18	708.18	334.46	420.68	277.2	325.29	361.04	480.04	400.71	346.29	379.04	536.45	221.86	529.06	287.01	329.84	336.79	269.6	325.29	486.75	255.0	346.29	299.25	265.87	224.97	412.0	246.28	343.89	242.88	223.41
COTL1	4802.93	10154.69	3901.01	6121.9	5255.91	3081.75	2351.53	3060.45	4181.07	2133.97	4066.71	2319.15	2835.7	2451.44	934.76	1001.93	1427.22	934.76	1111.82	780.44	1651.0	1233.75	1819.35	3146.52	1709.26	1936.53	1977.24	1088.92	819.3	813.63	764.36	1008.9	587.13	1175.27	518.15	656.11	688.78	1662.49	1081.39	1037.29	842.36	2061.24
CSF3R	2178.83	563.18	2758.13	2271.4	813.63	444.72	236.21	303.44	651.58	291.04	466.88	170.25	251.48	239.52	54.33	94.67	307.69	59.55	76.71	146.03	64.8	70.01	101.54	131.51	392.44	67.59	132.44	205.5	65.72	164.42	70.01	98.04	41.81	95.34	40.07	30.12	73.03	256.78	23.76	144.01	307.69	50.63
DISC1	54.33	52.08	56.28	49.56	83.45	59.97	56.28	51.71	50.63	45.85	74.58	45.53	78.89	54.72	28.65	44.89	43.63	13.93	25.54	26.28	22.43	27.05	45.85	57.49	34.51	41.52	43.63	20.86	26.28	17.77	14.56	37.59	24.46	36.27	20.86	15.68	21.32	43.63	15.45	27.44	24.11	24.81
DOCK2	703.28	1819.35	708.18	1250.98	656.11	447.82	291.04	389.72	567.1	237.86	688.78	323.03	426.57	341.51	46.18	76.17	59.97	8.45	100.83	63.45	50.63	31.22	105.15	571.05	69.03	128.79	77.25	115.97	15.8	38.12	9.85	53.57	30.78	151.22	10.96	11.21	19.53	150.17	40.64	100.83	85.22	29.06
DOK2	400.71	780.44	647.07	1529.73	389.72	363.56	251.48	412.0	660.68	299.25	435.55	260.38	305.55	251.48	80.57	57.89	33.54	17.64	63.45	50.98	43.63	43.32	96.68	323.03	53.57	106.63	28.65	124.37	30.12	36.79	17.25	85.82	15.22	59.13	8.92	23.08	9.06	204.07	19.68	53.95	101.54	16.27
ELF4	429.54	540.19	384.34	514.56	603.67	289.02	171.45	251.48	351.14	137.14	316.37	167.9	183.82	147.06	43.02	53.19	32.82	44.89	85.22	61.25	118.43	71.5	61.68	122.64	38.12	79.45	38.12	71.5	48.87	66.65	21.32	53.95	46.84	132.44	26.28	26.1	26.47	100.13	31.22	43.94	47.84	33.78
EVI2B	1250.98	2163.77	1208.34	2609.3	1977.24	728.11	583.07	738.29	878.17	353.59	1175.27	660.68	878.17	587.13	76.71	123.5	115.16	22.1	88.26	144.01	33.3	73.03	173.85	1183.45	73.54	343.89	55.1	118.43	35.25	58.3	20.86	108.14	38.67	291.04	23.59	33.3	43.02	748.61	47.17	86.43	166.73	18.7
FLOT2	2417.67	3018.3	2119.22	2796.65	1359.57	2148.82	1605.83	2119.22	2163.77	1388.16	2351.53	1697.45	1628.26	1721.16	1313.23	1277.29	1030.12	1127.35	1119.56	1286.18	1233.75	1127.35	1233.75	1487.87	954.43	1378.57	1127.35	1191.69	1225.22	1135.2	1143.1	1322.37	1407.55	1447.15	1151.06	1322.37	1242.34	1350.18	1183.45	1183.45	1340.84	1001.93
FMNL1	1529.73	3955.48	1605.83	2133.97	1369.04	1081.39	860.08	1059.11	1359.57	571.05	1685.71	587.13	723.08	764.36	101.54	199.85	297.17	165.57	224.97	161.02	105.15	73.03	426.57	1313.23	191.67	256.78	211.31	214.27	58.71	115.16	52.08	162.14	88.26	253.23	48.52	55.89	66.65	215.77	65.72	147.06	379.04	135.24
GPR65	170.25	260.38	187.71	476.71	171.45	130.6	84.63	120.94	142.01	69.52	172.65	129.69	117.6	111.99	7.11	10.79	25.35	3.89	11.13	13.83	13.12	12.18	23.93	87.03	34.75	25.91	18.16	43.94	3.96	11.21	2.41	25.72	8.78	35.25	2.01	2.56	3.35	64.34	3.96	19.39	17.13	10.39
GPSM3	1909.85	4736.79	1519.15	3280.18	941.27	1066.48	688.78	1191.69	1519.15	563.18	1819.35	854.13	1104.13	769.69	135.24	187.71	163.28	84.04	214.27	214.27	140.04	108.14	260.38	1286.18	212.78	423.61	197.09	287.01	145.02	129.69	86.43	289.02	98.04	395.18	42.41	105.89	71.5	563.18	86.43	241.19	181.28	88.88
IL15RA	967.76	518.15	1088.92	743.43	1081.39	674.59	406.31	638.15	476.71	334.46	638.15	444.72	460.44	379.04	169.07	125.24	173.85	80.57	295.11	205.5	223.41	221.86	178.77	142.01	389.72	202.66	144.01	183.82	258.57	217.27	191.67	208.38	176.29	208.38	103.69	120.94	148.09	343.89	147.06	185.11	229.72	82.87
IMPDH1	1304.15	1350.18	1268.46	1427.22	1183.45	743.43	532.74	819.3	988.12	420.68	693.58	412.0	480.04	503.95	193.01	283.05	183.82	135.24	320.8	275.28	361.04	307.69	368.65	348.71	283.05	291.04	217.27	320.8	271.48	185.11	206.94	285.03	255.0	291.04	142.01	195.72	162.14	348.71	201.25	293.07	256.78	173.85
INPP5D	1397.83	4268.94	1447.15	2915.45	1991.0	1151.06	718.08	934.76	1088.92	507.46	1551.09	703.28	1044.52	791.35	99.43	165.57	194.36	320.8	201.25	169.07	108.9	92.05	287.01	620.67	312.0	275.28	305.55	117.6	88.26	115.16	35.76	185.11	49.91	232.94	72.52	31.45	38.12	255.0	60.39	107.38	191.67	66.65
ITGAX	961.07	2119.22	1651.0	1417.35	693.58	518.15	361.04	460.44	1208.34	551.56	738.29	197.09	327.56	293.07	44.57	66.18	122.64	269.6	25.17	18.7	35.0	18.56	75.11	567.1	162.14	94.67	88.88	54.33	16.27	67.12	13.72	64.34	32.82	122.64	10.79	2.32	38.4	82.29	9.63	40.36	162.14	28.65
ITGB2	2287.2	4704.07	2816.11	4575.41	2090.03	1757.34	1427.22	1857.6	3235.01	1551.09	2224.63	1167.14	1697.45	1111.82	277.2	320.8	131.51	231.32	435.55	500.46	265.87	202.66	241.19	1551.09	157.68	665.29	186.4	728.11	128.79	220.32	109.66	323.03	109.66	808.0	62.56	73.03	72.52	1674.06	107.38	490.14	137.14	75.11
JAK3	954.43	2997.45	896.64	981.29	808.0	454.09	341.51	616.37	493.56	242.88	808.0	309.83	400.71	336.79	32.13	50.98	26.67	14.78	28.24	44.25	39.5	40.64	63.45	373.81	98.04	134.3	33.3	33.3	41.52	28.45	17.9	117.6	27.44	132.44	11.55	22.26	24.11	51.71	23.59	49.91	72.52	8.19
KCNG1	17.64	153.34	34.51	90.77	79.45	18.43	4.78	15.22	30.78	3.08	28.65	9.34	8.13	23.93	2.34	1.14	2.92	0.0	1.43	0.0	2.97	0.31	1.45	3.44	5.92	3.47	2.68	1.5	2.34	1.75	0.56	1.13	0.0	0.61	1.41	1.01	1.87	0.02	1.77	0.88	0.73	3.59
KIR3DL2	11.3	5.87	9.13	6.01	14.56	4.98	3.72	5.63	4.35	7.57	9.56	23.08	16.15	3.14	0.0	2.66	1.71	3.2	0.92	0.0	0.0	0.0	3.99	6.78	1.27	3.59	0.0	2.71	1.46	4.86	2.2	0.0	2.25	5.15	0.0	0.0	0.96	11.47	1.35	0.0	4.1	0.0
LAT2	616.37	2384.37	518.15	1674.06	521.76	633.73	348.71	536.45	669.92	236.21	738.29	339.14	387.02	392.44	82.87	112.77	40.93	17.38	92.05	77.25	30.78	28.45	76.17	473.41	65.26	206.94	39.79	102.25	48.18	46.84	38.95	71.5	28.24	150.17	30.78	22.43	15.0	218.79	20.86	85.22	37.05	25.35
LCP1	3372.43	8840.04	2915.45	8134.41	2451.44	1909.85	1191.69	1477.58	2895.31	878.17	2502.97	1397.83	1745.2	1295.13	141.02	242.88	229.72	53.57	165.57	218.79	117.6	111.21	208.38	1662.49	262.2	1066.48	163.28	567.1	70.01	185.11	51.71	256.78	68.55	1151.06	43.63	50.63	63.0	1111.82	87.03	309.83	215.77	46.18
LCP2	1313.23	1651.0	1286.18	1844.76	1322.37	1008.9	759.08	884.29	1081.39	748.61	1407.55	775.05	884.29	830.75	138.1	162.14	559.28	226.54	212.78	111.99	134.3	109.66	241.19	785.88	258.57	301.33	133.36	368.65	78.89	105.89	27.44	181.28	46.18	616.37	48.87	54.33	40.64	223.41	63.89	150.17	146.03	198.47
LILRB1	511.0	1605.83	361.04	830.75	249.73	295.11	181.28	307.69	384.34	173.85	497.0	127.0	190.34	183.82	24.63	34.02	13.93	47.17	36.27	13.12	7.34	14.24	39.5	182.55	52.82	71.0	27.25	33.06	11.64	14.67	3.44	84.04	6.21	40.07	8.13	3.63	8.65	48.87	15.56	23.42	53.95	8.45
LILRB3	483.38	155.5	587.13	353.59	149.12	164.42	61.25	163.28	253.23	117.6	161.02	39.22	94.67	72.52	32.13	26.47	157.68	18.84	15.22	25.91	21.47	24.63	51.35	18.7	85.82	30.34	9.27	59.97	15.11	21.94	3.06	30.78	10.24	55.1	8.85	8.65	20.26	53.19	6.26	44.57	109.66	12.55
LRRK1	279.14	848.22	299.25	409.15	463.65	231.32	182.55	231.32	281.09	197.09	320.8	202.66	258.57	204.07	108.9	157.68	72.52	19.11	197.09	68.55	94.01	126.12	204.07	229.72	127.89	104.42	107.38	66.18	35.25	76.71	64.34	177.53	121.79	212.78	57.08	68.55	60.39	154.42	124.37	76.17	110.43	39.79
MIS18BP1	366.09	612.11	454.09	642.59	356.05	346.29	232.94	237.86	363.56	221.86	406.31	251.48	262.2	351.14	138.1	201.25	152.28	162.14	239.52	305.55	142.01	171.45	165.57	256.78	139.07	206.94	140.04	125.24	90.77	162.14	102.97	134.3	134.3	218.79	189.02	153.34	170.25	115.97	147.06	177.53	132.44	135.24
MLKL	447.82	579.04	860.08	753.83	503.95	441.64	287.01	387.02	500.46	287.01	540.19	307.69	323.03	181.28	105.89	92.7	140.04	67.59	118.43	69.03	114.36	119.26	163.28	249.73	242.88	154.42	161.02	115.16	154.42	68.07	52.82	131.51	51.71	164.42	57.08	47.84	83.45	153.34	65.26	115.97	202.66	74.58
NCKAP1L	599.49	1447.15	620.67	1540.37	688.78	444.72	291.04	384.34	603.67	258.57	638.15	318.57	444.72	277.2	36.01	125.24	29.7	18.97	59.97	111.99	52.45	66.65	59.13	463.65	43.32	118.43	27.25	146.03	27.84	39.79	12.93	54.72	18.03	186.4	5.63	5.73	11.38	206.94	19.11	84.63	62.12	27.25
PAG1	153.34	368.65	201.25	373.81	148.09	92.05	63.89	67.12	108.9	66.18	119.26	84.04	116.78	72.01	39.5	52.08	40.36	15.11	88.88	61.25	46.5	45.53	17.25	56.68	25.72	49.56	79.45	85.22	39.79	40.64	19.82	21.94	18.29	69.03	19.11	33.78	27.25	24.63	19.97	53.19	52.08	21.63
PARVG	1066.48	3349.13	1498.22	2417.67	825.0	802.41	591.22	808.0	1331.57	575.03	1477.58	518.15	708.18	703.28	67.12	190.34	72.01	29.7	139.07	100.83	69.03	38.95	314.17	1225.22	108.14	178.77	100.13	119.26	48.87	73.03	31.45	129.69	41.52	191.67	21.94	9.13	34.26	237.86	35.0	97.36	102.97	38.4
PIK3R5	287.01	547.75	563.18	529.06	327.56	205.5	142.01	163.28	318.57	138.1	348.71	153.34	256.78	177.53	61.68	57.49	40.07	14.03	52.82	24.63	45.53	35.76	54.72	204.07	55.1	63.89	47.5	90.14	13.22	27.44	6.73	39.79	20.26	67.59	9.93	10.0	10.08	90.14	9.56	59.55	43.02	15.34
PIK3R6	102.25	81.14	104.42	88.26	67.12	45.53	25.91	37.59	75.11	20.41	69.52	25.54	21.32	23.59	4.58	7.51	2.05	1.07	6.21	5.23	3.0	5.77	10.71	40.64	2.01	8.92	4.28	10.0	2.68	3.38	1.5	6.52	1.53	8.92	0.0	0.52	2.56	11.91	0.56	2.84	3.41	3.89
PPARGC1B	24.63	29.27	84.04	53.19	83.45	18.16	11.91	18.97	35.0	20.71	23.59	11.91	16.88	15.45	6.41	7.51	4.82	3.29	4.98	6.84	4.13	6.01	8.51	12.09	2.1	8.38	2.76	4.03	8.06	4.24	2.61	13.62	4.78	5.92	2.01	0.88	3.72	5.73	7.34	4.58	3.03	5.92
PPP1R18	2701.35	5479.15	2758.13	3235.01	2148.82	2075.59	1359.57	2148.82	2090.03	941.27	2303.12	1417.35	1733.13	988.12	381.68	368.65	392.44	353.59	503.95	316.37	395.18	346.29	414.87	718.08	555.41	718.08	291.04	432.53	426.57	279.14	339.14	497.0	343.89	1008.9	242.88	251.48	246.28	674.59	204.07	327.56	583.07	275.28
PREX1	769.69	1259.69	866.07	967.76	679.29	693.58	603.67	796.86	679.29	429.54	915.51	511.0	571.05	591.22	389.72	363.56	231.32	134.3	332.14	346.29	395.18	316.37	189.02	379.04	187.71	323.03	189.02	351.14	647.07	291.04	221.86	309.83	325.29	376.41	242.88	144.01	228.13	426.57	206.94	403.5	149.12	111.21
RAB3C	39.5	20.71	48.18	14.56	105.89	24.11	9.48	19.39	27.64	0.71	29.06	27.44	25.54	16.63	0.16	1.83	15.0	6.21	1.58	12.55	3.86	0.92	10.55	20.71	16.27	1.87	6.06	2.86	5.96	4.21	0.0	0.39	8.25	10.79	0.16	7.06	4.17	6.84	0.65	0.67	5.19	0.0
RELT	412.0	1191.69	400.71	536.45	161.02	215.77	138.1	256.78	356.05	134.3	275.28	86.43	146.03	164.42	39.5	33.54	81.14	84.04	42.71	43.32	51.71	22.75	32.59	121.79	62.12	48.52	24.46	50.27	36.01	47.84	17.51	52.45	28.04	68.07	15.34	28.04	15.22	49.21	17.77	35.0	55.1	47.17
RGS19	591.22	1923.14	723.08	1437.15	780.44	409.15	480.04	703.28	693.58	371.22	703.28	332.14	567.1	358.54	146.03	236.21	163.28	92.05	182.55	167.9	239.52	223.41	201.25	353.59	121.79	309.83	98.04	293.07	332.14	146.03	253.23	218.79	113.56	229.72	118.43	183.82	133.36	457.25	121.79	232.94	123.5	175.07
RHBDF2	902.89	1870.53	1135.2	981.29	1104.13	525.39	525.39	651.58	947.83	457.25	713.11	420.68	563.18	540.19	373.81	412.0	120.94	420.68	285.03	305.55	307.69	253.23	285.03	507.46	256.78	336.79	241.19	301.33	336.79	287.01	226.54	256.78	297.17	435.55	283.05	198.47	241.19	379.04	221.86	221.86	325.29	181.28
RIN3	490.14	426.57	536.45	575.03	693.58	314.17	229.72	291.04	409.15	218.79	417.77	223.41	314.17	244.57	126.12	94.01	52.45	86.43	141.02	131.51	95.34	88.26	132.44	177.53	87.65	129.69	99.43	145.02	99.43	99.43	52.08	106.63	43.94	169.07	46.18	53.95	58.3	178.77	78.34	125.24	88.26	48.18
RP11-196G11.1	36.53	21.63	35.0	31.0	48.52	23.76	23.76	34.26	31.0	38.12	43.32	27.25	46.18	39.5	5.15	24.99	29.06	13.72	25.54	31.0	20.86	17.77	29.7	33.54	0.0	14.14	4.66	20.11	16.75	16.63	16.51	16.39	8.71	12.64	5.87	4.7	11.04	17.13	16.88	10.88	6.46	9.2
RPS6KA4	660.68	860.08	638.15	764.36	836.53	547.75	511.0	679.29	665.29	490.14	612.11	429.54	356.05	486.75	297.17	389.72	267.73	94.01	279.14	248.0	414.87	351.14	316.37	409.15	169.07	341.51	273.37	329.84	400.71	234.57	234.57	358.54	251.48	283.05	264.03	285.03	303.44	343.89	253.23	307.69	291.04	271.48
SASH3	967.76	3235.01	878.17	2573.36	866.07	583.07	438.59	624.99	848.22	353.59	1073.91	525.39	660.68	470.14	60.39	67.12	41.22	29.7	76.71	72.01	58.71	58.3	127.89	1313.23	42.41	279.14	62.56	153.34	42.41	55.49	15.68	90.14	32.59	198.47	11.3	29.91	17.0	343.89	48.52	106.63	105.15	25.91
SECTM1	460.44	327.56	563.18	1662.49	703.28	260.38	244.57	283.05	503.95	246.28	361.04	242.88	237.86	165.57	77.79	44.25	154.42	19.11	34.51	73.03	28.04	24.28	264.03	119.26	180.02	202.66	51.35	80.57	17.51	44.57	16.27	31.22	13.12	109.66	19.97	19.39	15.45	133.36	15.22	43.63	44.57	18.16
SELPLG	1015.93	1208.34	1104.13	1950.0	669.92	693.58	384.34	629.35	915.51	242.88	896.64	395.18	551.56	371.22	75.11	102.97	24.28	25.91	120.94	98.04	96.01	73.54	85.22	395.18	54.72	218.79	33.06	193.01	65.72	56.68	31.0	87.03	38.67	237.86	26.28	45.53	45.85	305.55	47.84	113.56	35.76	27.64
SH3BP2	825.0	1697.45	1233.75	1088.92	1008.9	764.36	674.59	878.17	1183.45	595.34	995.0	454.09	587.13	514.56	220.32	279.14	163.28	198.47	303.44	490.14	301.33	400.71	403.5	447.82	447.82	318.57	253.23	260.38	518.15	253.23	164.42	265.87	209.84	351.14	167.9	131.51	208.38	239.52	325.29	339.14	265.87	232.94
SLC17A9	480.04	1561.89	693.58	346.29	346.29	287.01	341.51	540.19	395.18	148.09	363.56	111.21	201.25	140.04	27.05	87.03	19.97	71.0	91.41	44.25	87.03	88.88	101.54	234.57	99.43	59.55	38.12	30.78	100.13	17.25	93.35	205.5	16.27	115.16	52.82	104.42	13.22	127.0	25.72	31.22	143.01	38.4
SLC2A6	212.78	591.22	244.57	500.46	105.15	101.54	101.54	182.55	212.78	102.97	180.02	66.18	107.38	99.43	20.86	43.02	27.25	13.22	17.77	46.5	35.76	19.25	23.93	85.22	20.86	37.05	15.68	42.41	64.8	21.94	18.03	28.45	18.16	24.99	10.47	25.17	16.51	39.22	27.64	42.71	11.64	21.94
SLC46A2	117.6	15.0	167.9	312.0	3.89	5.59	2.53	8.38	11.47	1.27	12.93	3.03	2.97	2.56	2.92	0.53	0.78	2.94	0.52	0.0	0.0	1.11	0.0	3.5	1.03	0.0	0.0	2.23	0.58	2.97	0.0	2.41	0.0	0.0	0.23	0.48	0.55	3.47	1.36	3.06	1.25	0.51
SPN	264.03	665.29	381.68	1044.52	595.34	256.78	145.02	175.07	441.64	134.3	312.0	206.94	218.79	156.59	20.56	35.76	27.25	11.73	30.34	28.86	23.93	7.88	40.07	409.15	21.32	103.69	18.84	29.06	13.12	15.56	7.57	27.64	12.0	101.54	2.18	8.25	2.78	111.99	18.7	16.15	25.17	14.45
SYNGR3	56.68	130.6	70.01	27.25	76.17	19.97	20.56	39.22	22.26	12.36	30.12	24.81	31.45	15.91	5.19	7.51	9.78	1.1	28.24	18.7	6.78	1.08	7.94	17.9	2.73	18.84	6.06	9.7	2.25	2.61	3.72	5.23	2.71	16.15	4.78	2.66	4.82	33.78	7.51	1.38	3.63	1.23
TFR2	73.03	60.82	32.82	31.67	63.45	18.16	27.44	31.0	28.65	19.53	32.82	15.11	23.93	18.7	8.58	4.98	4.06	1.46	3.69	7.22	12.45	5.87	5.5	15.0	7.0	5.41	10.79	6.94	13.32	4.06	2.53	7.57	4.17	4.5	0.51	5.41	1.08	7.82	1.01	5.68	4.86	1.77
