	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
BMS1	356.05	595.34	381.68	316.37	139.07	101.54	287.01	176.29	148.09	161.02	101.54	148.09	135.24	126.12	166.73	249.73	171.45	109.66	159.9	127.89	273.37	133.36	180.02	120.94	223.41	135.24	117.6	162.14	197.09	211.31	123.5	220.32	122.64	92.05	186.4	209.84	244.57	291.04	147.06	197.09	88.88	167.9	183.82	131.51	172.65	131.51	190.34	163.28	172.65	114.36	166.73	163.28	143.01	193.01	169.07	166.73	125.24	98.73	175.07	242.88	137.14	214.27	100.13	100.13	66.18	116.78	105.89	92.05	68.55	101.54	136.19	149.12	122.64	96.68	110.43	123.5	88.88	65.26	119.26	102.25	75.64	102.25	119.26	98.73	96.01	117.6	98.04	103.69	120.1	75.11	103.69	102.97	136.19	123.5	49.21	77.25	106.63	318.57	441.64
BPTF	1001.93	2627.46	1397.83	1216.75	376.41	271.48	830.75	1096.5	409.15	507.46	248.0	511.0	334.46	373.81	417.77	785.88	500.46	212.78	400.71	447.82	775.05	429.54	497.0	555.41	728.11	493.56	346.29	392.44	698.41	921.88	607.87	473.41	241.19	242.88	507.46	529.06	825.0	435.55	454.09	974.5	231.32	500.46	651.58	389.72	231.32	258.57	518.15	529.06	665.29	299.25	397.93	444.72	486.75	529.06	559.28	595.34	258.57	297.17	638.15	802.41	426.57	708.18	229.72	236.21	80.57	289.02	246.28	205.5	220.32	244.57	149.12	567.1	209.84	171.45	406.31	358.54	249.73	144.01	392.44	195.72	148.09	260.38	341.51	242.88	371.22	529.06	283.05	358.54	323.03	147.06	420.68	339.14	307.69	325.29	167.9	135.24	301.33	1044.52	961.07
BTBD10	473.41	507.46	392.44	305.55	139.07	107.38	532.74	312.0	214.27	248.0	122.64	169.07	162.14	150.17	189.02	175.07	249.73	115.16	536.45	198.47	420.68	171.45	132.44	128.79	299.25	312.0	150.17	202.66	214.27	339.14	129.69	165.57	156.59	148.09	255.0	211.31	371.22	246.28	208.38	260.38	99.43	214.27	234.57	162.14	159.9	118.43	237.86	197.09	144.01	111.21	182.55	208.38	212.78	190.34	167.9	316.37	87.65	137.14	186.4	291.04	169.07	228.13	78.34	66.18	77.25	128.79	109.66	105.89	63.89	135.24	58.3	170.25	141.02	104.42	80.57	177.53	134.3	75.64	167.9	63.45	100.83	71.5	117.6	109.66	151.22	124.37	77.79	167.9	182.55	69.03	189.02	108.9	92.05	127.0	30.56	99.43	140.04	607.87	423.61
BUB3	2075.59	4298.64	3395.89	1477.58	796.86	647.07	1781.89	909.17	961.07	1242.34	748.61	1407.55	1295.13	890.44	1096.5	2384.37	1769.57	642.59	854.13	872.1	2047.0	890.44	1295.13	743.43	1388.16	1277.29	974.5	1769.57	954.43	2485.67	1037.29	1331.57	1175.27	872.1	1208.34	1427.22	2119.22	1088.92	1208.34	1844.76	775.05	1806.78	1572.76	1044.52	995.0	674.59	1199.98	1313.23	1437.15	1037.29	961.07	1151.06	954.43	1508.65	1259.69	1498.22	551.56	1073.91	1498.22	1617.0	435.55	2090.03	651.58	493.56	514.56	629.35	638.15	595.34	723.08	693.58	409.15	854.13	470.14	397.93	624.99	791.35	708.18	567.1	693.58	575.03	642.59	518.15	769.69	447.82	733.19	728.11	753.83	713.11	665.29	791.35	830.75	607.87	536.45	872.1	329.84	656.11	713.11	1794.29	3018.3
C10orf88	165.57	318.57	180.02	167.9	50.27	57.08	129.69	89.51	57.08	87.65	53.57	90.77	73.03	78.89	106.63	182.55	115.16	47.84	100.13	81.71	153.34	108.9	125.24	52.45	159.9	84.63	48.87	112.77	74.06	138.1	89.51	115.97	77.79	81.71	100.13	102.25	201.25	82.29	88.88	194.36	56.28	144.01	151.22	75.11	46.5	68.07	134.3	129.69	211.31	70.51	96.68	105.89	118.43	164.42	85.82	110.43	31.22	45.85	208.38	175.07	40.36	136.19	71.5	34.51	43.32	68.07	70.51	40.64	37.59	48.52	82.29	63.45	66.18	53.19	70.01	89.51	77.25	41.52	38.95	54.33	52.82	56.68	60.82	53.19	48.52	58.3	78.89	29.06	54.33	79.45	55.49	49.56	42.11	109.66	16.39	38.4	47.84	165.57	173.85
C19orf55	890.44	417.77	435.55	575.03	56.28	46.84	223.41	205.5	87.65	101.54	26.1	93.35	104.42	92.7	85.22	540.19	122.64	27.25	82.29	118.43	228.13	96.68	137.14	60.82	166.73	104.42	65.72	63.0	146.03	157.68	58.3	106.63	50.27	112.77	81.14	66.65	126.12	103.69	68.07	198.47	29.27	131.51	217.27	61.68	73.54	46.5	212.78	131.51	96.01	38.4	39.79	51.71	124.37	77.79	150.17	173.85	47.5	67.12	113.56	112.77	60.82	197.09	28.24	30.12	29.7	59.13	30.56	24.63	31.22	33.54	22.75	48.87	15.45	23.59	36.27	51.71	42.41	21.63	39.22	17.9	22.43	23.08	63.89	27.25	49.21	48.87	38.12	30.78	78.34	25.91	87.03	41.81	47.17	69.52	18.84	72.01	25.35	334.46	684.02
C3orf17	909.17	1088.92	713.11	543.96	318.57	279.14	698.41	454.09	341.51	384.34	327.56	412.0	212.78	264.03	507.46	426.57	435.55	198.47	660.68	316.37	647.07	325.29	283.05	361.04	669.92	532.74	271.48	379.04	348.71	518.15	363.56	325.29	423.61	177.53	497.0	417.77	642.59	248.0	325.29	447.82	228.13	490.14	432.53	368.65	251.48	262.2	368.65	343.89	454.09	318.57	368.65	429.54	379.04	305.55	426.57	395.18	255.0	242.88	575.03	507.46	412.0	460.44	277.2	201.25	133.36	218.79	253.23	229.72	199.85	241.19	291.04	406.31	309.83	256.78	295.11	215.77	232.94	172.65	228.13	373.81	172.65	277.2	339.14	258.57	202.66	334.46	256.78	226.54	253.23	197.09	183.82	301.33	325.29	500.46	115.97	232.94	187.71	647.07	620.67
CALU	3060.45	5913.33	2417.67	3955.48	718.08	466.88	5672.41	1991.0	825.0	1059.11	651.58	1242.34	414.87	825.0	1208.34	575.03	1487.87	392.44	2287.2	1111.82	4388.98	674.59	808.0	518.15	954.43	1572.76	400.71	921.88	2047.0	1437.15	486.75	587.13	728.11	1561.89	1304.15	1467.37	1551.09	872.1	1674.06	2119.22	684.02	1487.87	1662.49	836.53	921.88	896.64	1340.84	1135.2	890.44	1044.52	2178.83	1081.39	2148.82	1733.13	967.76	1183.45	595.34	603.67	1143.1	1617.0	1051.79	1617.0	450.94	444.72	525.39	638.15	571.05	587.13	480.04	429.54	397.93	595.34	366.09	301.33	379.04	713.11	703.28	454.09	536.45	486.75	486.75	368.65	409.15	457.25	743.43	426.57	444.72	595.34	612.11	346.29	961.07	447.82	603.67	356.05	460.44	708.18	555.41	2047.0	1991.0
CAMK2G	529.06	802.41	500.46	607.87	275.28	206.94	341.51	253.23	199.85	336.79	258.57	281.09	231.32	387.02	318.57	293.07	387.02	171.45	363.56	307.69	532.74	325.29	414.87	232.94	571.05	281.09	253.23	426.57	486.75	470.14	316.37	277.2	262.2	275.28	414.87	314.17	441.64	277.2	260.38	457.25	181.28	332.14	287.01	265.87	231.32	236.21	371.22	376.41	356.05	170.25	316.37	251.48	435.55	356.05	409.15	323.03	199.85	185.11	242.88	376.41	309.83	457.25	124.37	127.0	124.37	194.36	120.1	156.59	112.77	151.22	127.89	271.48	255.0	229.72	246.28	191.67	175.07	102.25	189.02	96.01	189.02	171.45	239.52	173.85	209.84	202.66	185.11	194.36	197.09	157.68	126.12	231.32	139.07	206.94	94.01	113.56	142.01	493.56	775.05
CAND1	1936.53	2384.37	1191.69	1628.26	540.19	361.04	1857.6	1023.0	447.82	444.72	269.6	624.99	309.83	346.29	500.46	785.88	802.41	293.07	638.15	547.75	1001.93	497.0	575.03	373.81	703.28	693.58	119.26	974.5	679.29	934.76	316.37	563.18	366.09	260.38	764.36	638.15	1044.52	483.38	896.64	896.64	299.25	607.87	674.59	521.76	346.29	368.65	555.41	947.83	638.15	361.04	1059.11	525.39	460.44	406.31	500.46	842.36	346.29	275.28	743.43	836.53	521.76	713.11	301.33	325.29	265.87	518.15	332.14	412.0	389.72	351.14	242.88	629.35	351.14	301.33	318.57	693.58	525.39	373.81	780.44	363.56	242.88	273.37	447.82	277.2	473.41	612.11	361.04	624.99	490.14	341.51	624.99	473.41	423.61	473.41	208.38	260.38	728.11	1467.37	1605.83
CASP2	571.05	1119.56	571.05	529.06	88.88	76.17	688.78	356.05	137.14	194.36	70.01	246.28	142.01	120.1	117.6	119.26	177.53	54.33	187.71	137.14	307.69	117.6	163.28	66.65	327.56	226.54	84.04	204.07	384.34	353.59	181.28	137.14	96.01	133.36	208.38	165.57	379.04	120.94	249.73	669.92	77.79	220.32	260.38	167.9	126.12	73.03	178.77	194.36	115.97	98.73	146.03	123.5	226.54	241.19	176.29	191.67	66.18	81.71	239.52	329.84	105.89	301.33	75.11	46.84	57.49	86.43	72.52	44.89	64.8	70.51	49.91	130.6	44.25	64.8	99.43	106.63	59.97	37.85	89.51	55.49	36.01	45.85	127.0	54.72	78.34	43.94	105.89	72.52	105.15	68.55	125.24	63.0	45.85	121.79	10.47	56.28	66.65	624.99	738.29
CCDC93	381.68	483.38	336.79	447.82	114.36	89.51	329.84	480.04	275.28	156.59	97.36	141.02	169.07	152.28	137.14	414.87	194.36	88.88	197.09	166.73	303.44	150.17	178.77	134.3	397.93	186.4	133.36	53.95	236.21	368.65	154.42	206.94	69.03	138.1	244.57	234.57	234.57	146.03	158.79	283.05	51.35	123.5	208.38	115.97	78.34	100.13	287.01	303.44	283.05	73.03	205.5	153.34	223.41	212.78	144.01	363.56	110.43	90.77	256.78	170.25	107.38	460.44	62.56	61.68	38.67	105.89	66.18	110.43	92.05	75.11	38.67	199.85	41.81	63.45	75.64	123.5	137.14	73.54	69.03	46.18	58.71	43.02	98.04	85.82	73.54	66.18	82.87	69.03	53.19	54.72	131.51	92.05	132.44	73.54	41.81	59.55	101.54	361.04	417.77
