	GTEX.WRHU.0326.SM.3MJFY	GTEX.WZTO.1726.SM.4PQYV	TCGA.A3.3378.01A.02R.1325.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.Q2AG.1026.SM.33HBW	GTEX.QEG4.0526.SM.48TZD	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WH7G.1726.SM.4LVKY	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.1399R.0526.SM.5IJEF	GTEX.11TUW.2126.SM.5GU7B	GTEX.QV31.1026.SM.4R1K3	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD	TCGA.IN.AB1V.11A.11R.A414.31
MSMB	49.91	31.9	0.0	98.04	24.99	0.0	32.13	800198.39	158046.64	228208.61	502929.67	151608.43	391864.76	894051.48	360589.03	350728.68	299043.36	602247.76	179048.63	121448.75	136637.07	509950.32	453265.5	288856.81	783730.52	569761.05	419990.32	322736.12	434801.29	558035.51	381149.17	290865.98	311742.51	267651.2	215898.44	711250.37	322736.12	322736.12	1019901.63	434801.29	811368.76	778316.89	691801.16	706337.4	659036.03	282912.21	292889.12	845824.19	453265.5	431797.89	1212874.47	341137.96	92040.7	431797.89	172949.54	554180.87	778316.89	307450.64	431797.89	1264380.15	242898.5	1308968.45	1139523.1	81809.59	1171559.48	237899.7	919186.72	70727.3	581732.96	958220.73	368165.8	437825.58	400098.69	577714.63	919186.72	565825.41	417089.23	542775.98	211455.3	370726.6	509950.32	402881.61	509950.32	1645391.11	894051.48	619179.28	654483.73	211455.3	251464.33	350728.68	397335.0	573724.06	642.59
MTX1	866.07	583.07	1081.39	336.79	460.44	283.05	466.88	1304.15	934.76	802.41	1225.22	902.89	1322.37	1572.76	1135.2	1304.15	896.64	1030.12	1295.13	928.3	842.36	941.27	1151.06	1508.65	1119.56	1199.98	1208.34	1259.69	1923.14	1175.27	1008.9	1096.5	1167.14	802.41	1709.26	1427.22	1286.18	1119.56	1199.98	1096.5	981.29	988.12	1369.04	1457.23	1498.22	1015.93	802.41	1233.75	1651.0	1295.13	1304.15	1030.12	802.41	1233.75	791.35	884.29	1191.69	1023.0	1191.69	1477.58	988.12	1304.15	1350.18	708.18	1081.39	808.0	1044.52	813.63	921.88	1397.83	1417.35	1015.93	1407.55	1313.23	1277.29	1447.15	1561.89	1551.09	1331.57	1697.45	1044.52	934.76	1832.01	1529.73	1417.35	1617.0	1199.98	1015.93	1304.15	1369.04	753.83	1697.45	769.69
NDUFA2	1594.73	1467.37	1806.78	769.69	842.36	656.11	1721.16	4268.94	2468.49	1896.65	2451.44	2434.5	3847.29	4066.71	2976.74	2976.74	2591.27	2956.17	3665.02	2209.26	2645.74	2609.3	3280.18	4298.64	3372.43	3443.31	1697.45	2997.45	3955.48	3280.18	2555.58	2796.65	2758.13	2178.83	6337.83	3540.14	3639.7	2875.3	3491.39	2682.69	2645.74	2335.28	3639.7	4607.24	4358.66	2319.15	2178.83	3103.19	4181.07	3540.14	4358.66	3665.02	1819.35	2796.65	1832.01	2178.83	3794.3	3349.13	3212.66	6561.36	2645.74	3982.99	4328.55	1685.71	2645.74	2384.37	2645.74	1757.34	2319.15	3901.01	5183.54	2537.92	4607.24	2895.31	3515.68	3768.09	3955.48	3955.48	3690.52	5006.93	2758.13	4010.71	3874.05	4066.71	2609.3	4268.94	3928.15	2609.3	3901.01	3665.02	3060.45	3874.05	1359.57
NDUFC2	4010.71	2104.58	2816.11	1709.26	2400.97	1286.18	2835.7	5913.33	4010.71	4066.71	4181.07	3372.43	5147.73	6037.61	4736.79	4123.49	3768.09	4802.93	5441.3	3716.2	4239.45	3742.05	4769.75	5791.62	5076.84	5672.41	3982.99	4575.41	5872.48	5006.93	3982.99	4543.8	3742.05	3820.7	8840.04	5292.48	5403.7	4543.8	6652.97	3690.52	4512.4	3982.99	5403.7	6887.62	6037.61	3874.05	3491.39	5441.3	5006.93	7180.15	5633.22	4903.87	3589.58	4575.41	3124.78	4010.71	5594.3	5183.54	4450.27	6840.04	4066.71	5441.3	5995.9	3190.46	4736.79	3665.02	4268.94	3372.43	3901.01	5479.15	6983.79	4328.55	6079.61	4869.99	6337.83	5006.93	6207.38	7589.61	4512.4	6207.38	5633.22	5403.7	7032.37	6935.54	5751.61	6426.31	5594.3	4450.27	5831.91	7433.4	4736.79	8134.41	3103.19
NDUFS3	1819.35	1417.35	1457.23	802.41	967.76	928.3	995.0	2895.31	1769.57	1561.89	2163.77	1295.13	2627.46	2351.53	2209.26	2018.8	1674.06	2090.03	2255.7	1806.78	1674.06	1844.76	2075.59	2520.38	2485.67	2287.2	2090.03	2209.26	2835.7	2319.15	1857.6	2193.99	1819.35	1697.45	3039.3	2485.67	2133.97	2319.15	2075.59	1757.34	1733.13	1628.26	2485.67	2777.33	2855.44	1870.53	2090.03	2209.26	2178.83	1467.37	2664.15	2335.28	1757.34	2119.22	1561.89	1870.53	2451.44	2609.3	2502.97	4066.71	2104.58	2609.3	2915.45	1832.01	2004.85	2133.97	2018.8	1896.65	1950.0	2537.92	2739.08	2061.24	2537.92	2004.85	2591.27	2645.74	3443.31	3467.27	3419.52	2758.13	2434.5	1781.89	2701.35	2758.13	2255.7	2915.45	1977.24	1923.14	2555.58	2816.11	1733.13	2915.45	1498.22
NDUFS8	1551.09	2895.31	1819.35	1427.22	2075.59	748.61	1651.0	6121.9	3039.3	2061.24	4671.57	2133.97	5076.84	6381.92	4607.24	4736.79	2417.67	3794.3	4972.34	3146.52	3212.66	3982.99	4869.99	6561.36	4298.64	4358.66	3955.48	2627.46	5711.87	4481.23	3280.18	3515.68	3847.29	2193.99	9740.98	6381.92	4450.27	4152.18	5913.33	3491.39	3146.52	2835.7	4152.18	6983.79	6164.49	2682.69	2682.69	4802.93	7130.55	4802.93	5995.9	4268.94	2468.49	4066.71	2835.7	2935.74	5292.48	4358.66	5183.54	5711.87	3742.05	6935.54	4181.07	2816.11	3820.7	4972.34	3768.09	2855.44	3257.52	4671.57	6516.03	3928.15	6652.97	4869.99	5255.91	4903.87	4836.35	5913.33	4358.66	8421.31	3614.55	4450.27	6840.04	5366.37	3103.19	6792.79	4481.23	3124.78	7537.18	4769.75	3349.13	5255.91	2855.44
NELFE	1119.56	1044.52	1250.98	967.76	1359.57	660.68	1605.83	2047.0	1340.84	1388.16	1909.85	1259.69	1936.53	1639.59	1806.78	1674.06	1286.18	1757.34	1870.53	1369.04	1457.23	1617.0	1605.83	2075.59	1794.29	1909.85	1819.35	1757.34	2400.97	2090.03	1883.54	1447.15	1508.65	1313.23	2367.9	1781.89	1832.01	1806.78	1806.78	1628.26	1295.13	1388.16	1883.54	2224.63	2133.97	1457.23	1417.35	1806.78	1781.89	1832.01	1806.78	1709.26	1709.26	1757.34	1467.37	1487.87	1794.29	2018.8	1721.16	2520.38	1757.34	1605.83	2367.9	1583.71	1540.37	1721.16	1617.0	1572.76	1781.89	1857.6	1896.65	1594.73	2209.26	1651.0	1745.2	1540.37	1844.76	1769.57	2835.7	2163.77	1721.16	1519.15	1721.16	1733.13	1594.73	1639.59	1745.2	1594.73	2400.97	1407.55	1857.6	2061.24	1183.45
NHP2L1	2148.82	2090.03	1721.16	1447.15	1605.83	1674.06	2255.7	4181.07	3419.52	2555.58	3589.58	2915.45	4388.98	4543.8	3564.78	3443.31	2777.33	3257.52	3982.99	2664.15	3124.78	3467.27	3982.99	5041.77	3820.7	3847.29	3467.27	3982.99	4123.49	4239.45	3060.45	3716.2	3491.39	2701.35	5366.37	4869.99	3847.29	3847.29	3419.52	3280.18	2777.33	2816.11	4671.57	4512.4	4937.99	3280.18	3349.13	3419.52	4152.18	4123.49	4298.64	3564.78	2796.65	3103.19	2720.15	3235.01	3768.09	3614.55	4095.0	5076.84	3589.58	4298.64	4095.0	2537.92	3349.13	3419.52	3349.13	3039.3	3146.52	4152.18	4607.24	2915.45	3349.13	3589.58	4152.18	3103.19	3690.52	5329.3	5329.3	5076.84	3639.7	4123.49	4181.07	4512.4	2502.97	4210.15	5147.73	3257.52	3614.55	3589.58	4298.64	4512.4	1769.57
NUDC	1397.83	1437.15	1191.69	1277.29	1277.29	842.36	1594.73	3103.19	1819.35	1709.26	2485.67	1639.59	2451.44	2935.74	2915.45	2645.74	1870.53	2075.59	2537.92	1781.89	2193.99	2224.63	2502.97	3212.66	2384.37	2609.3	1950.0	2485.67	3491.39	2777.33	2400.97	2075.59	2119.22	1594.73	3103.19	2997.45	2468.49	2335.28	2351.53	2104.58	1936.53	2018.8	2645.74	3060.45	3443.31	1662.49	1769.57	2451.44	2682.69	2004.85	2664.15	1651.0	1896.65	2148.82	1819.35	1806.78	2119.22	1977.24	2664.15	1819.35	2047.0	3103.19	1594.73	2047.0	2075.59	2664.15	2004.85	1757.34	2004.85	2434.5	2895.31	2224.63	2739.08	2163.77	3280.18	2537.92	2555.58	2835.7	3146.52	3060.45	2537.92	1963.57	2591.27	2434.5	1745.2	2485.67	2193.99	2119.22	2835.7	1870.53	2335.28	3168.41	1191.69
OXLD1	204.07	395.18	438.59	129.69	395.18	220.32	441.64	1477.58	733.19	438.59	961.07	551.56	1331.57	1286.18	981.29	1551.09	460.44	819.3	1066.48	703.28	759.08	616.37	934.76	1191.69	961.07	1119.56	1001.93	796.86	1685.71	1001.93	866.07	769.69	872.1	607.87	1806.78	1437.15	909.17	1030.12	1388.16	915.51	412.0	624.99	1167.14	2915.45	1477.58	595.34	447.82	1023.0	1963.57	941.27	1304.15	954.43	669.92	1127.35	532.74	651.58	961.07	884.29	813.63	1199.98	902.89	1268.46	1127.35	480.04	802.41	629.35	909.17	591.22	674.59	947.83	1350.18	738.29	1167.14	934.76	813.63	884.29	836.53	1008.9	1044.52	1175.27	764.36	842.36	1037.29	860.08	896.64	1127.35	896.64	713.11	1950.0	974.5	679.29	1340.84	397.93
PFDN2	1447.15	1277.29	921.88	2224.63	1674.06	1322.37	1242.34	3060.45	1519.15	1331.57	1529.73	1250.98	2255.7	2537.92	1883.54	1781.89	1286.18	2004.85	1977.24	1572.76	1662.49	1529.73	1757.34	1572.76	2224.63	2119.22	1733.13	1757.34	2434.5	2047.0	1909.85	1427.22	1467.37	1397.83	2875.3	2047.0	2004.85	1991.0	1977.24	1651.0	1322.37	1508.65	1977.24	2645.74	2335.28	1304.15	1359.57	2075.59	2047.0	1991.0	3124.78	1697.45	1498.22	1369.04	1477.58	1561.89	1617.0	1844.76	1923.14	2271.4	1651.0	2178.83	2224.63	1477.58	1467.37	1936.53	1674.06	1388.16	1498.22	1963.57	2148.82	1697.45	2018.8	1313.23	2104.58	1519.15	1896.65	2485.67	3103.19	1977.24	1697.45	1551.09	2255.7	1806.78	1159.07	1844.76	2061.24	1572.76	2178.83	1457.23	2956.17	2148.82	921.88
PFDN6	872.1	753.83	1233.75	890.44	915.51	629.35	728.11	3257.52	1674.06	1551.09	1617.0	1427.22	2148.82	2400.97	2335.28	1674.06	1388.16	2133.97	2485.67	1551.09	1639.59	1709.26	2163.77	3564.78	2224.63	2148.82	1909.85	1963.57	3395.89	2434.5	2104.58	1540.37	1639.59	1674.06	3820.7	2061.24	2271.4	1991.0	2417.67	1769.57	1551.09	1605.83	1963.57	2835.7	2609.3	1639.59	1225.22	2148.82	2224.63	2451.44	3257.52	1909.85	1457.23	1757.34	1397.83	1605.83	1923.14	1781.89	1857.6	2319.15	1832.01	2163.77	2384.37	1519.15	1617.0	1697.45	1757.34	1457.23	1529.73	2133.97	2148.82	1340.84	3235.01	1651.0	2240.11	1857.6	2664.15	2468.49	3874.05	3124.78	1991.0	1757.34	2875.3	1896.65	1350.18	1870.53	1286.18	1794.29	2537.92	2104.58	1498.22	2417.67	708.18
PHF5A	603.67	543.96	518.15	392.44	409.15	381.68	351.14	819.3	521.76	616.37	688.78	603.67	733.19	656.11	612.11	595.34	575.03	674.59	769.69	503.95	651.58	642.59	647.07	738.29	718.08	587.13	607.87	684.02	651.58	878.17	769.69	563.18	521.76	559.28	825.0	607.87	688.78	780.44	674.59	563.18	612.11	669.92	693.58	759.08	665.29	547.75	647.07	674.59	713.11	688.78	796.86	830.75	647.07	620.67	587.13	679.29	785.88	866.07	684.02	1277.29	753.83	738.29	1268.46	583.07	575.03	688.78	629.35	728.11	669.92	854.13	759.08	579.04	934.76	656.11	884.29	785.88	759.08	981.29	1066.48	988.12	651.58	567.1	791.35	684.02	612.11	743.43	688.78	591.22	775.05	791.35	651.58	872.1	339.14
PQBP1	1259.69	1331.57	1143.1	1519.15	2018.8	909.17	1175.27	3081.75	1991.0	1709.26	1977.24	1685.71	2434.5	2664.15	2178.83	2133.97	1662.49	2255.7	2400.97	1794.29	1857.6	2434.5	1794.29	2351.53	2271.4	2090.03	2319.15	2367.9	2520.38	2758.13	2627.46	2047.0	2061.24	1529.73	2796.65	2104.58	2502.97	2303.12	2209.26	1883.54	1437.15	1651.0	2720.15	2758.13	2645.74	1628.26	1883.54	2209.26	2520.38	2520.38	2739.08	1697.45	1936.53	2271.4	1651.0	1757.34	2609.3	2758.13	2163.77	2875.3	2178.83	2351.53	2367.9	1870.53	1963.57	2451.44	2047.0	1977.24	2133.97	2209.26	2664.15	1963.57	3303.0	1896.65	2224.63	2090.03	3303.0	2417.67	4937.99	2895.31	2835.7	1745.2	2997.45	1487.87	2032.85	2148.82	1844.76	2090.03	2796.65	1857.6	1857.6	3168.41	1551.09
PRELID1	1709.26	1617.0	2434.5	1651.0	1745.2	1388.16	1583.71	3395.89	2090.03	1977.24	2485.67	2032.85	3081.75	3257.52	2664.15	3257.52	1709.26	2627.46	2777.33	1991.0	2133.97	2367.9	2777.33	3491.39	2701.35	2664.15	2502.97	2485.67	4038.61	2835.7	2434.5	2255.7	2682.69	1819.35	4328.55	3540.14	2400.97	2997.45	2485.67	2417.67	2178.83	1896.65	3103.19	4268.94	3395.89	2075.59	1923.14	2739.08	3515.68	3124.78	3212.66	2555.58	1896.65	2555.58	1662.49	2075.59	2701.35	2240.11	2758.13	3443.31	2400.97	2895.31	2895.31	1662.49	2193.99	2255.7	2133.97	1781.89	2319.15	2835.7	3515.68	2061.24	2555.58	2367.9	2796.65	2335.28	3168.41	3467.27	4903.87	4328.55	1977.24	2303.12	3235.01	3018.3	1832.01	2915.45	2855.44	1806.78	3146.52	2739.08	2163.77	3168.41	2240.11
PSMA7	3060.45	3081.75	3349.13	2816.11	3742.05	2627.46	3212.66	5517.27	3303.0	3467.27	4298.64	3847.29	4298.64	4704.07	4268.94	4869.99	3349.13	4903.87	4181.07	3794.3	4010.71	3235.01	4704.07	4328.55	4937.99	4869.99	4298.64	3349.13	6207.38	3901.01	4066.71	3564.78	4010.71	3665.02	5255.91	4481.23	3847.29	4937.99	4328.55	3564.78	3716.2	3768.09	4769.75	3874.05	4972.34	3419.52	3794.3	4512.4	5255.91	5076.84	5112.16	5441.3	3589.58	3901.01	3419.52	3847.29	4388.98	5006.93	4802.93	7032.37	3847.29	4543.8	5672.41	3540.14	4038.61	4181.07	4181.07	3491.39	3395.89	4481.23	4836.35	3820.7	4328.55	3491.39	5479.15	3847.29	4736.79	5183.54	4450.27	4181.07	3928.15	3794.3	5751.61	4836.35	3540.14	4419.52	3955.48	3665.02	4575.41	4704.07	4210.15	5329.3	3212.66
PSMB1	5555.65	3146.52	3716.2	3325.99	3515.68	4152.18	3303.0	5995.9	3847.29	5076.84	4802.93	4972.34	4450.27	5791.62	5041.77	5403.7	5366.37	5329.3	5594.3	4038.61	4298.64	4123.49	5441.3	5751.61	5479.15	5329.3	4704.07	5403.7	5672.41	4769.75	5006.93	4607.24	2720.15	4639.29	6745.86	5292.48	5633.22	5366.37	4607.24	4123.49	5041.77	4210.15	6207.38	4066.71	6516.03	4671.57	5183.54	4543.8	6516.03	4869.99	6792.79	5594.3	4066.71	4512.4	3820.7	4512.4	5329.3	5872.48	5112.16	8479.89	4512.4	5076.84	7485.11	4481.23	4736.79	4607.24	4450.27	4450.27	4481.23	5292.48	5913.33	4575.41	5479.15	4239.45	6207.38	5112.16	5366.37	5872.48	5751.61	5633.22	4328.55	4736.79	6426.31	5913.33	5147.73	5112.16	4328.55	3928.15	7081.29	5594.3	3955.48	6250.56	3303.0
PSMB3	2895.31	1857.6	3325.99	2240.11	2720.15	1651.0	1963.57	4802.93	2682.69	2855.44	3768.09	3280.18	4512.4	5076.84	3928.15	5041.77	2758.13	2555.58	3982.99	3235.01	3190.46	3039.3	4481.23	4903.87	4575.41	3820.7	4066.71	3564.78	6250.56	4181.07	3467.27	3146.52	3190.46	2956.17	5517.27	4903.87	4123.49	4937.99	4010.71	3190.46	3039.3	2956.17	4450.27	5076.84	5403.7	2645.74	2855.44	3742.05	5403.7	3847.29	5041.77	4450.27	3039.3	3901.01	2502.97	2895.31	4123.49	3982.99	4607.24	7230.1	4010.71	4512.4	4736.79	2895.31	3146.52	3665.02	3303.0	3081.75	2915.45	4869.99	5403.7	3235.01	4869.99	3349.13	4450.27	4181.07	4358.66	4937.99	5329.3	4903.87	3190.46	3820.7	5219.6	5329.3	3212.66	4210.15	4010.71	2935.74	6294.04	3564.78	3060.45	5751.61	2645.74
PSMB4	6516.03	5219.6	4802.93	3742.05	4769.75	2682.69	4123.49	7911.95	5441.3	5995.9	7230.1	6037.61	7911.95	9876.98	6983.79	7749.1	6079.61	7642.41	7331.05	5672.41	6561.36	6079.61	8191.0	8134.41	7857.29	7803.01	9409.14	7032.37	7331.05	6983.79	6607.01	6561.36	5954.47	5594.3	11504.21	7966.99	6745.86	8247.98	6935.54	5751.61	6381.92	5672.41	8363.13	6337.83	7966.99	5555.65	6294.04	7642.41	8963.45	6840.04	9673.69	8305.36	5791.62	7230.1	5872.48	6294.04	8247.98	8191.0	7485.11	11992.79	7081.29	8840.04	9606.86	6037.61	6745.86	7032.37	6840.04	6037.61	6471.02	8305.36	9673.69	7382.04	8363.13	6381.92	9540.5	6840.04	6745.86	8078.22	6983.79	8305.36	6037.61	6792.79	9279.58	7081.29	8191.0	7331.05	6207.38	5147.73	9409.14	7803.01	6699.25	9215.48	3235.01
PSMB6	2434.5	1709.26	2627.46	1467.37	1617.0	1407.55	1909.85	3874.05	2627.46	2163.77	3742.05	3081.75	3847.29	4802.93	3419.52	3690.52	2627.46	3168.41	3928.15	1909.85	2720.15	2915.45	3847.29	4181.07	3874.05	2915.45	3540.14	3639.7	2915.45	3614.55	2682.69	3303.0	3018.3	2609.3	5594.3	4419.52	2997.45	3235.01	2591.27	2758.13	2997.45	2777.33	3349.13	3794.3	4152.18	2701.35	2976.74	3372.43	4123.49	3419.52	4481.23	3901.01	2720.15	3467.27	2591.27	2935.74	3847.29	3716.2	3901.01	5183.54	3515.68	4328.55	4671.57	3039.3	3372.43	3564.78	3081.75	2796.65	2956.17	4268.94	4607.24	3257.52	4512.4	3124.78	4639.29	3589.58	4481.23	4704.07	4181.07	4769.75	3325.99	2682.69	4671.57	4903.87	3018.3	4181.07	3874.05	3060.45	4010.71	4010.71	2720.15	4736.79	2485.67
PSMC4	1183.45	934.76	1397.83	854.13	616.37	379.04	555.41	2193.99	1757.34	1639.59	1950.0	1467.37	1857.6	2319.15	1709.26	1977.24	1709.26	1806.78	1923.14	1844.76	1651.0	1721.16	2287.2	2075.59	1923.14	2075.59	1870.53	1427.22	2148.82	1662.49	1844.76	1605.83	1794.29	1605.83	1832.01	1857.6	2004.85	1745.2	1286.18	1639.59	1487.87	1832.01	1844.76	1639.59	1844.76	1519.15	1662.49	1674.06	1844.76	1844.76	2271.4	2004.85	1477.58	1685.71	1519.15	1572.76	1896.65	1870.53	1923.14	2061.24	1674.06	2163.77	1781.89	1583.71	1733.13	1757.34	1674.06	1551.09	1540.37	1733.13	1936.53	1781.89	1950.0	1674.06	2303.12	1685.71	2119.22	1857.6	2417.67	2224.63	1628.26	1313.23	2240.11	1991.0	1674.06	1963.57	1617.0	1487.87	2451.44	2224.63	1498.22	2163.77	1313.23
PSMC5	1757.34	2451.44	2209.26	1870.53	2004.85	836.53	1781.89	4239.45	3081.75	2997.45	4038.61	3303.0	3928.15	4512.4	4038.61	3928.15	2855.44	3928.15	4210.15	3060.45	3349.13	3349.13	3639.7	4298.64	4358.66	3794.3	3614.55	3690.52	4543.8	4181.07	4038.61	3589.58	3212.66	3257.52	4095.0	4210.15	3847.29	3614.55	3665.02	2997.45	3443.31	3124.78	4038.61	4010.71	4937.99	3235.01	3515.68	3955.48	4639.29	3325.99	4575.41	3395.89	3081.75	3742.05	3419.52	3589.58	3372.43	3467.27	4358.66	3303.0	3372.43	4575.41	3540.14	3349.13	3589.58	3690.52	3443.31	3280.18	3515.68	4328.55	4419.52	3491.39	5366.37	3639.7	4736.79	4575.41	4210.15	4802.93	4736.79	4736.79	3443.31	2777.33	4239.45	3742.05	4123.49	5006.93	3081.75	3168.41	3742.05	3303.0	3515.68	5112.16	2739.08
PUF60	1923.14	1167.14	1477.58	947.83	1111.82	890.44	1572.76	2956.17	2163.77	2193.99	3325.99	2351.53	2816.11	2796.65	2739.08	3039.3	1977.24	2591.27	3168.41	2520.38	2502.97	2645.74	3018.3	3257.52	2875.3	2777.33	3018.3	2303.12	3235.01	2895.31	2573.36	2255.7	2485.67	2090.03	3928.15	2875.3	2816.11	4095.0	2627.46	2520.38	2090.03	2468.49	2875.3	1561.89	3235.01	2119.22	2287.2	2537.92	3325.99	3614.55	2591.27	2720.15	2367.9	2875.3	2224.63	2485.67	2835.7	2720.15	3103.19	3039.3	2555.58	2739.08	2739.08	2351.53	2609.3	2816.11	2796.65	2451.44	2351.53	2777.33	2701.35	2720.15	3325.99	2997.45	3349.13	3235.01	3491.39	3190.46	3901.01	3874.05	2451.44	2133.97	3395.89	3395.89	2645.74	3190.46	2627.46	2573.36	3235.01	3235.01	1639.59	3419.52	1806.78
RBM42	738.29	1008.9	629.35	555.41	669.92	281.09	1662.49	1832.01	1096.5	854.13	2032.85	860.08	1950.0	1794.29	2047.0	1806.78	813.63	1467.37	1781.89	1277.29	1447.15	1216.75	1605.83	1870.53	1594.73	1950.0	1605.83	1322.37	2915.45	1896.65	1487.87	1191.69	1519.15	961.07	2645.74	2537.92	1540.37	1508.65	1340.84	1508.65	921.88	1331.57	1963.57	1936.53	2485.67	988.12	1059.11	1870.53	1519.15	1857.6	2240.11	1498.22	1583.71	1963.57	1417.35	1268.46	1233.75	1388.16	1832.01	1477.58	1407.55	2335.28	1378.57	1388.16	1551.09	2047.0	1806.78	1529.73	981.29	1487.87	1794.29	1594.73	2573.36	1963.57	1674.06	2090.03	1909.85	1936.53	3589.58	3540.14	1417.35	1508.65	2018.8	2018.8	1617.0	1909.85	1870.53	1407.55	2319.15	1594.73	1001.93	2193.99	872.1
RNPS1	2303.12	2351.53	1923.14	1832.01	2287.2	2004.85	1794.29	4903.87	3168.41	3491.39	3982.99	2976.74	4066.71	3874.05	4181.07	4769.75	2701.35	3928.15	3928.15	3146.52	3614.55	3874.05	3794.3	4010.71	3847.29	3901.01	3955.48	3690.52	4388.98	4181.07	4038.61	3639.7	2816.11	3325.99	5255.91	4704.07	3690.52	3928.15	3901.01	3928.15	3419.52	3257.52	3690.52	4388.98	4268.94	3081.75	3146.52	4010.71	4639.29	3614.55	3639.7	3564.78	3443.31	3742.05	3280.18	3690.52	3419.52	3742.05	4358.66	3257.52	3820.7	3955.48	3280.18	3257.52	3690.52	3742.05	3794.3	3395.89	3419.52	4388.98	3768.09	3820.7	4239.45	3146.52	3467.27	3540.14	3794.3	4671.57	4639.29	5441.3	2915.45	3303.0	3690.52	3768.09	3349.13	3768.09	4512.4	3018.3	4575.41	3928.15	2915.45	3742.05	2520.38
