	GTEX.WRHU.0326.SM.3MJFY	GTEX.WZTO.1726.SM.4PQYV	TCGA.A3.3378.01A.02R.1325.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.Q2AG.1026.SM.33HBW	GTEX.QEG4.0526.SM.48TZD	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WH7G.1726.SM.4LVKY	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.1399R.0526.SM.5IJEF	GTEX.11TUW.2126.SM.5GU7B	GTEX.QV31.1026.SM.4R1K3	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD	TCGA.IN.AB1V.11A.11R.A414.31
GPN2	348.71	316.37	363.56	242.88	262.2	201.25	336.79	454.09	406.31	426.57	587.13	361.04	698.41	575.03	536.45	616.37	486.75	665.29	555.41	441.64	438.59	483.38	629.35	607.87	490.14	587.13	656.11	379.04	802.41	703.28	563.18	406.31	536.45	327.56	693.58	842.36	540.19	457.25	447.82	457.25	417.77	470.14	563.18	571.05	665.29	470.14	457.25	490.14	728.11	525.39	642.59	368.65	551.56	486.75	414.87	429.54	457.25	454.09	486.75	480.04	500.46	521.76	476.71	470.14	387.02	532.74	490.14	583.07	379.04	518.15	483.38	420.68	583.07	500.46	543.96	493.56	587.13	607.87	728.11	684.02	417.77	473.41	497.0	514.56	473.41	444.72	693.58	409.15	642.59	555.41	387.02	591.22	493.56
HSD17B10	1617.0	1081.39	1233.75	551.56	854.13	567.1	1088.92	2502.97	2018.8	1733.13	2451.44	1769.57	2303.12	3103.19	2193.99	2645.74	1529.73	2163.77	2664.15	1883.54	1745.2	2075.59	2384.37	2875.3	2664.15	2502.97	2555.58	2335.28	2915.45	2434.5	1870.53	2434.5	2319.15	1605.83	3467.27	2555.58	2417.67	2555.58	2193.99	2075.59	1628.26	1674.06	2956.17	3060.45	2758.13	1769.57	1883.54	2148.82	3168.41	2915.45	2796.65	2193.99	1540.37	2209.26	1605.83	1733.13	2303.12	2018.8	2664.15	2682.69	1936.53	2682.69	2434.5	1340.84	1819.35	1819.35	2119.22	1651.0	1745.2	2555.58	2895.31	1977.24	2627.46	1781.89	2400.97	2303.12	3124.78	3060.45	3146.52	3190.46	1923.14	2240.11	3018.3	2915.45	1950.0	2591.27	2303.12	1498.22	2468.49	2303.12	1397.83	2875.3	1857.6
LAMTOR1	2061.24	1508.65	2956.17	1225.22	1745.2	1721.16	2178.83	3928.15	2758.13	2591.27	3874.05	2875.3	3955.48	4639.29	4095.0	3540.14	2935.74	3235.01	3794.3	2956.17	2976.74	3589.58	4210.15	4736.79	3540.14	3589.58	3928.15	3325.99	5751.61	3665.02	3146.52	3257.52	3443.31	2796.65	4972.34	4704.07	4038.61	3257.52	5006.93	3039.3	3168.41	2758.13	4607.24	3901.01	5329.3	3039.3	3349.13	3395.89	4543.8	3443.31	4038.61	4095.0	2591.27	3395.89	2573.36	3257.52	4328.55	4239.45	4210.15	7589.61	3614.55	4298.64	4937.99	2573.36	3690.52	3018.3	3515.68	2816.11	3018.3	4152.18	4736.79	3589.58	4512.4	3768.09	4210.15	3901.01	4268.94	4607.24	4038.61	5147.73	3146.52	3589.58	4210.15	4152.18	3395.89	4268.94	3768.09	3018.3	3820.7	4358.66	2468.49	4450.27	2004.85
LSM1	587.13	748.61	748.61	379.04	309.83	279.14	260.38	753.83	723.08	884.29	785.88	656.11	928.3	995.0	961.07	947.83	860.08	802.41	961.07	620.67	825.0	759.08	909.17	1051.79	1044.52	836.53	591.22	928.3	1159.07	1030.12	698.41	860.08	708.18	854.13	1199.98	890.44	878.17	1572.76	1081.39	480.04	896.64	884.29	802.41	1697.45	1167.14	780.44	848.22	1044.52	1167.14	684.02	954.43	1051.79	775.05	764.36	802.41	836.53	1030.12	1159.07	1059.11	1674.06	1044.52	1066.48	1304.15	872.1	860.08	1030.12	854.13	802.41	802.41	1369.04	1119.56	961.07	1286.18	723.08	1447.15	878.17	842.36	1313.23	1709.26	1322.37	718.08	698.41	1175.27	1088.92	909.17	1059.11	813.63	988.12	1127.35	1088.92	796.86	1111.82	563.18
LSM4	1044.52	1191.69	1457.23	1143.1	967.76	1216.75	1857.6	3257.52	1844.76	1359.57	2555.58	1769.57	2816.11	2895.31	2451.44	2303.12	1605.83	2224.63	2555.58	2119.22	2004.85	2047.0	2520.38	3212.66	2468.49	2758.13	2485.67	2209.26	3614.55	2468.49	1963.57	2255.7	2384.37	1844.76	4607.24	3168.41	2451.44	2591.27	3491.39	2855.44	1709.26	1757.34	3060.45	4972.34	3303.0	1819.35	1662.49	2664.15	3349.13	2417.67	2855.44	2591.27	1883.54	2609.3	1487.87	1844.76	2400.97	2434.5	2555.58	3742.05	2047.0	3303.0	2875.3	1457.23	2485.67	2090.03	2224.63	1721.16	1674.06	2627.46	3443.31	2148.82	3124.78	2384.37	2573.36	2627.46	3257.52	3491.39	3018.3	3235.01	1950.0	1870.53	3039.3	3190.46	1909.85	3349.13	2976.74	1781.89	2855.44	2997.45	1794.29	2875.3	1135.2
MED27	438.59	299.25	204.07	198.47	211.31	185.11	346.29	414.87	387.02	392.44	483.38	389.72	366.09	532.74	529.06	521.76	346.29	397.93	507.46	381.68	329.84	389.72	511.0	624.99	450.94	480.04	500.46	395.18	518.15	432.53	403.5	403.5	423.61	387.02	521.76	536.45	387.02	529.06	403.5	476.71	379.04	358.54	486.75	341.51	567.1	299.25	435.55	503.95	571.05	775.05	540.19	543.96	438.59	435.55	540.19	470.14	579.04	612.11	536.45	808.0	563.18	616.37	620.67	483.38	493.56	493.56	500.46	507.46	441.64	521.76	473.41	521.76	718.08	511.0	583.07	607.87	607.87	624.99	791.35	860.08	332.14	441.64	624.99	529.06	500.46	470.14	486.75	387.02	733.19	563.18	305.55	583.07	384.34
MPV17L2	173.85	197.09	132.44	258.57	183.82	171.45	88.88	529.06	271.48	148.09	381.68	211.31	327.56	450.94	303.44	334.46	181.28	301.33	420.68	299.25	226.54	236.21	368.65	460.44	381.68	336.79	376.41	265.87	493.56	454.09	400.71	277.2	267.73	226.54	583.07	432.53	423.61	414.87	348.71	307.69	251.48	323.03	353.59	361.04	384.34	217.27	217.27	309.83	457.25	420.68	457.25	281.09	265.87	336.79	214.27	256.78	341.51	283.05	387.02	361.04	293.07	521.76	283.05	223.41	403.5	381.68	332.14	271.48	273.37	325.29	486.75	334.46	450.94	293.07	432.53	348.71	371.22	525.39	555.41	480.04	262.2	314.17	493.56	447.82	341.51	414.87	312.0	253.23	583.07	490.14	279.14	503.95	193.01
MRPL20	2720.15	1721.16	1832.01	1407.55	1250.98	819.3	1561.89	6250.56	3491.39	3742.05	3820.7	3515.68	5329.3	5255.91	5041.77	5555.65	3515.68	4639.29	4937.99	3540.14	4181.07	3847.29	5076.84	5329.3	5041.77	4639.29	4328.55	4239.45	6037.61	5219.6	4181.07	4066.71	4010.71	3303.0	6250.56	4802.93	5403.7	4704.07	4575.41	3235.01	4123.49	3349.13	5366.37	6699.25	6792.79	3060.45	3564.78	4543.8	6561.36	4066.71	5791.62	4903.87	2976.74	4152.18	3257.52	3491.39	4543.8	4481.23	4769.75	6381.92	3874.05	5255.91	5633.22	3419.52	4123.49	4095.0	3928.15	2895.31	3874.05	5791.62	6037.61	4038.61	5183.54	3303.0	5441.3	4704.07	4972.34	5831.91	5112.16	6294.04	3372.43	4736.79	5913.33	5112.16	4210.15	4903.87	4450.27	3419.52	5913.33	5403.7	3564.78	5711.87	2004.85
MRPL27	974.5	974.5	1159.07	567.1	595.34	540.19	866.07	2573.36	1508.65	1397.83	2061.24	1628.26	2367.9	2520.38	2451.44	2335.28	1583.71	2047.0	2384.37	1639.59	1757.34	1508.65	2119.22	3124.78	2502.97	2193.99	2148.82	2004.85	3124.78	2400.97	1832.01	1857.6	1674.06	1417.35	3190.46	2555.58	1870.53	2032.85	2193.99	1583.71	1721.16	1651.0	2434.5	2895.31	3190.46	1519.15	1583.71	2193.99	3124.78	2119.22	2682.69	2303.12	1477.58	1909.85	1313.23	1733.13	2303.12	2271.4	2468.49	3820.7	2004.85	2485.67	2609.3	1540.37	1857.6	1883.54	1819.35	1397.83	1909.85	2976.74	3280.18	1651.0	2835.7	2303.12	2451.44	2591.27	2609.3	2609.3	2895.31	3146.52	1977.24	1594.73	2609.3	2645.74	1721.16	2573.36	2163.77	1709.26	1781.89	1977.24	1519.15	3018.3	1159.07
MRPL52	1369.04	1313.23	1008.9	2178.83	1340.84	796.86	1674.06	4095.0	2240.11	1870.53	2935.74	1594.73	3212.66	3372.43	3212.66	3212.66	1487.87	2555.58	3325.99	1857.6	2004.85	1909.85	3124.78	3768.09	2997.45	2935.74	2777.33	3303.0	4095.0	3419.52	2193.99	2573.36	2255.7	1857.6	4450.27	3395.89	2591.27	3124.78	3103.19	2303.12	2075.59	2148.82	3190.46	4972.34	4481.23	1896.65	1572.76	3081.75	4123.49	2701.35	3303.0	2875.3	2271.4	3235.01	2090.03	2400.97	3395.89	3146.52	3303.0	5517.27	3103.19	3303.0	3690.52	2061.24	2400.97	2915.45	2502.97	1991.0	2520.38	3639.7	4123.49	2468.49	4419.52	2351.53	3955.48	2720.15	3901.01	4639.29	4450.27	3742.05	2855.44	1977.24	3928.15	3589.58	1896.65	3589.58	2664.15	2915.45	4543.8	2520.38	3372.43	4836.35	1427.22
MRPL54	1295.13	819.3	1199.98	454.09	780.44	684.02	1081.39	3146.52	2018.8	1674.06	2133.97	1662.49	2816.11	3146.52	2240.11	2875.3	1857.6	2032.85	2835.7	2047.0	1651.0	2119.22	2609.3	3955.48	2502.97	2417.67	2485.67	2287.2	3235.01	2835.7	1857.6	2163.77	2255.7	1447.15	2627.46	3190.46	2645.74	2720.15	3039.3	2047.0	1769.57	1709.26	3212.66	3280.18	3212.66	1651.0	2004.85	2682.69	3372.43	2739.08	3212.66	2956.17	1757.34	2645.74	1427.22	2032.85	2720.15	2956.17	2627.46	5006.93	2555.58	2796.65	3982.99	1594.73	2255.7	1936.53	2255.7	2032.85	2119.22	2956.17	3589.58	2520.38	3820.7	2645.74	2720.15	2367.9	3103.19	3589.58	2956.17	4450.27	1757.34	2720.15	3280.18	3540.14	2417.67	2895.31	2997.45	2163.77	2855.44	2240.11	1674.06	3395.89	796.86
MRPS11	890.44	651.58	860.08	312.0	420.68	299.25	497.0	1498.22	981.29	728.11	1073.91	842.36	1313.23	1417.35	1119.56	1175.27	808.0	1119.56	1286.18	941.27	967.76	961.07	1111.82	1498.22	1250.98	1191.69	1277.29	1044.52	1427.22	1051.79	967.76	1119.56	1119.56	830.75	1721.16	1295.13	1208.34	1250.98	1059.11	909.17	915.51	854.13	1242.34	1605.83	1447.15	961.07	842.36	1151.06	1572.76	1277.29	1350.18	1135.2	808.0	1008.9	785.88	848.22	1268.46	1119.56	1191.69	1963.57	1135.2	1378.57	1286.18	902.89	954.43	995.0	988.12	872.1	878.17	1259.69	1437.15	1073.91	1397.83	1081.39	1143.1	1183.45	1199.98	1369.04	1639.59	1427.22	1104.13	769.69	1088.92	1199.98	759.08	1304.15	842.36	981.29	1088.92	1322.37	743.43	1427.22	842.36
