	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.13O21.3026.SM.5J2NI	GTEX.WHPG.1426.SM.3NMBB	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.PLZ5.0726.SM.2I5F9	GTEX.RM2N.0426.SM.2TF4T
ARFGAP3	384.34	212.78	397.93	309.83	305.55	236.21	1950.0	633.73	688.78	529.06	1340.84	665.29	638.15	540.19	830.75	961.07	540.19	961.07	514.56	866.07	1008.9	743.43	1369.04	1605.83	2400.97	612.11	836.53
ARHGDIG	5.87	2.73	0.0	4.78	0.0	0.0	27.25	2.58	2.01	8.19	21.32	0.95	0.28	8.78	2.1	28.24	1.69	19.11	4.98	1.06	15.68	6.73	10.63	9.93	24.63	6.94	6.67
ARL5B	40.93	67.12	82.87	73.54	124.37	60.82	182.55	96.68	125.24	236.21	332.14	141.02	150.17	127.89	134.3	277.2	118.43	177.53	96.01	170.25	162.14	244.57	279.14	269.6	603.67	133.36	197.09
ATP2B4	154.42	170.25	191.67	206.94	69.52	89.51	2434.5	947.83	1268.46	1277.29	2047.0	1350.18	1427.22	1991.0	1844.76	1674.06	974.5	1950.0	995.0	1388.16	1340.84	1081.39	2739.08	2287.2	3690.52	1896.65	2468.49
B4GALT1	397.93	507.46	759.08	412.0	616.37	1359.57	3235.01	2061.24	1175.27	2976.74	4736.79	703.28	1259.69	1662.49	1819.35	3212.66	915.51	2451.44	1008.9	1583.71	2451.44	1583.71	4972.34	4038.61	5147.73	1159.07	1388.16
BACH1	108.14	82.87	77.25	105.15	126.12	69.52	703.28	305.55	289.02	309.83	599.49	381.68	301.33	320.8	356.05	571.05	279.14	591.22	255.0	348.71	314.17	318.57	974.5	769.69	890.44	412.0	543.96
BAG5	218.79	139.07	135.24	98.73	106.63	100.13	866.07	457.25	384.34	679.29	961.07	429.54	356.05	493.56	738.29	1088.92	314.17	612.11	463.65	387.02	536.45	521.76	656.11	629.35	698.41	638.15	647.07
BICD1	7.06	27.44	6.57	36.53	17.25	6.62	90.14	82.29	81.14	143.01	127.0	83.45	49.56	50.63	109.66	108.9	46.18	74.06	72.52	76.71	52.08	25.72	239.52	156.59	231.32	136.19	50.27
BLOC1S6	223.41	229.72	217.27	205.5	187.71	150.17	616.37	480.04	486.75	361.04	1605.83	435.55	409.15	518.15	629.35	878.17	409.15	679.29	323.03	511.0	540.19	591.22	796.86	1250.98	1628.26	708.18	638.15
BRMS1L	176.29	52.08	49.56	38.4	32.59	43.94	182.55	87.03	126.12	105.15	253.23	95.34	119.26	104.42	154.42	547.75	90.14	150.17	83.45	236.21	199.85	180.02	205.5	346.29	132.44	190.34	264.03
C12orf23	775.05	232.94	183.82	486.75	212.78	151.22	503.95	239.52	444.72	318.57	518.15	387.02	234.57	450.94	389.72	860.08	248.0	525.39	173.85	457.25	384.34	470.14	312.0	802.41	1359.57	660.68	490.14
CACHD1	21.63	23.76	11.38	25.17	9.56	25.35	842.36	329.84	150.17	591.22	417.77	638.15	161.02	669.92	493.56	255.0	368.65	1350.18	176.29	764.36	647.07	915.51	967.76	1242.34	2061.24	457.25	480.04
CAMSAP2	253.23	39.22	98.04	78.89	99.43	21.94	397.93	249.73	255.0	403.5	353.59	255.0	234.57	217.27	305.55	483.38	206.94	279.14	181.28	220.32	265.87	262.2	366.09	454.09	348.71	332.14	389.72
CASP7	144.01	186.4	180.02	195.72	151.22	208.38	389.72	540.19	651.58	483.38	656.11	866.07	454.09	796.86	713.11	703.28	426.57	860.08	406.31	669.92	463.65	441.64	1331.57	915.51	1407.55	884.29	723.08
CCDC6	159.9	158.79	93.35	145.02	267.73	96.68	1008.9	412.0	514.56	1015.93	1008.9	543.96	454.09	483.38	842.36	2075.59	334.46	507.46	361.04	525.39	579.04	547.75	902.89	1286.18	1119.56	665.29	660.68
CCNYL1	31.9	99.43	115.97	112.77	55.89	76.71	769.69	435.55	486.75	460.44	612.11	551.56	483.38	579.04	536.45	629.35	417.77	708.18	356.05	409.15	571.05	571.05	808.0	974.5	785.88	532.74	708.18
CD44	854.13	93.35	251.48	536.45	368.65	180.02	17681.08	5831.91	3018.3	4869.99	17681.08	7695.57	2591.27	8247.98	4450.27	5292.48	2758.13	11424.74	3060.45	5555.65	6037.61	7130.55	16269.83	9409.14	31215.04	4123.49	9151.82
CEP70	232.94	175.07	316.37	348.71	154.42	103.69	651.58	327.56	336.79	341.51	575.03	371.22	332.14	303.44	563.18	1175.27	420.68	361.04	191.67	521.76	420.68	395.18	872.1	713.11	1378.57	490.14	791.35
CHSY1	59.97	80.01	59.13	17.13	24.81	67.12	1135.2	361.04	336.79	503.95	1447.15	262.2	356.05	397.93	409.15	947.83	218.79	1023.0	327.56	368.65	607.87	389.72	1388.16	656.11	1674.06	403.5	718.08
CPD	267.73	255.0	299.25	224.97	351.14	275.28	463.65	616.37	507.46	769.69	954.43	166.73	218.79	224.97	450.94	1529.73	226.54	444.72	199.85	441.64	403.5	343.89	559.28	1397.83	1225.22	688.78	633.73
CSNK2A3	0.0	3.23	3.0	0.0	2.32	2.53	23.93	7.34	6.78	20.71	73.03	18.16	16.39	15.45	12.55	51.71	22.1	14.89	9.06	10.71	19.11	17.13	24.46	37.32	8.99	40.93	12.18
CTAGE8	1.91	33.3	0.0	12.64	17.13	0.91	95.34	73.03	15.56	108.9	121.79	64.34	90.77	72.01	16.75	195.72	97.36	106.63	48.52	87.03	0.0	31.22	112.77	195.72	94.67	35.5	20.86
CTNNB1	921.88	848.22	3212.66	1286.18	1498.22	1151.06	10659.59	3372.43	2855.44	6607.01	5995.9	4836.35	3124.78	4836.35	5791.62	8078.22	3235.01	5995.9	2573.36	4903.87	9409.14	3928.15	5633.22	6652.97	6745.86	6337.83	13968.57
CUL3	1066.48	1242.34	896.64	718.08	928.3	361.04	1844.76	769.69	1268.46	1059.11	3039.3	974.5	941.27	1242.34	1378.57	1388.16	836.53	1216.75	981.29	1340.84	1051.79	1044.52	1628.26	2018.8	1583.71	1322.37	1561.89
DCBLD2	108.14	40.64	69.03	55.89	98.04	64.8	1044.52	325.29	351.14	555.41	830.75	457.25	291.04	466.88	775.05	1044.52	497.0	325.29	249.73	555.41	633.73	493.56	967.76	2335.28	1066.48	651.58	954.43
DCUN1D3	9.06	46.18	47.84	21.63	30.56	68.07	356.05	119.26	138.1	397.93	400.71	175.07	127.89	151.22	158.79	420.68	166.73	244.57	130.6	228.13	318.57	178.77	262.2	212.78	397.93	236.21	212.78
DDX5	2018.8	4512.4	4419.52	3928.15	8078.22	2627.46	14361.31	7032.37	8078.22	9474.59	24490.61	12076.21	12160.22	13681.08	10225.32	19348.38	12160.22	17927.91	10368.08	15285.81	12160.22	19214.73	16960.78	14765.09	19348.38	15075.35	15607.02
ELK3	94.01	28.45	127.0	53.95	65.72	23.93	854.13	521.76	450.94	511.0	674.59	647.07	339.14	947.83	825.0	830.75	332.14	947.83	507.46	947.83	665.29	503.95	1417.35	1359.57	2384.37	819.3	684.02
ENDOU	0.8	0.92	1.89	0.0	0.42	0.0	38.4	9.06	12.93	8.71	109.66	0.34	4.5	13.32	1.27	52.82	15.34	10.39	4.78	19.82	31.67	14.45	35.25	26.86	63.0	8.85	14.78
ERI1	17.51	34.26	36.79	42.11	31.45	51.35	251.48	55.49	123.5	39.5	151.22	118.43	99.43	146.03	95.34	281.09	121.79	215.77	74.06	130.6	130.6	77.25	199.85	325.29	353.59	209.84	189.02
ETS2	178.77	3124.78	1135.2	808.0	579.04	3443.31	6381.92	2935.74	2104.58	4388.98	12764.83	2485.67	3190.46	2796.65	2240.11	4836.35	1781.89	3491.39	2303.12	3515.68	3982.99	2777.33	8022.41	4388.98	8022.41	1594.73	5517.27
FAM171B	2.29	1.58	2.84	3.2	1.62	0.49	46.84	12.93	8.92	10.55	52.45	14.24	3.63	15.11	16.15	31.45	17.64	19.68	12.55	7.82	9.78	51.71	46.84	55.49	31.0	64.34	25.72
FOXJ3	47.5	78.34	148.09	194.36	142.01	121.79	748.61	371.22	414.87	532.74	974.5	351.14	429.54	384.34	423.61	656.11	327.56	500.46	312.0	417.77	457.25	450.94	674.59	836.53	866.07	536.45	559.28
G3BP2	872.1	260.38	620.67	336.79	366.09	532.74	2240.11	1697.45	1159.07	1662.49	2468.49	1457.23	915.51	1199.98	1674.06	2645.74	967.76	1745.2	848.22	1322.37	1397.83	1662.49	2104.58	2777.33	5366.37	1963.57	1769.57
GCSAM	3.86	1.48	2.34	0.0	2.66	4.13	154.42	33.06	40.07	70.51	295.11	35.5	68.07	47.5	37.32	149.12	50.63	63.0	34.02	47.5	75.11	42.11	191.67	130.6	480.04	39.5	53.95
GNA13	111.99	162.14	137.14	186.4	142.01	131.51	638.15	414.87	432.53	551.56	1167.14	525.39	444.72	438.59	629.35	941.27	275.28	579.04	368.65	463.65	426.57	417.77	890.44	941.27	1447.15	547.75	753.83
HELB	0.78	2.71	1.06	4.43	4.66	4.98	13.03	10.39	5.59	11.3	21.01	10.63	14.14	8.45	5.06	32.59	11.73	21.94	5.73	15.45	10.63	16.88	17.13	29.06	31.9	14.78	15.34
IFNAR2	178.77	209.84	262.2	480.04	389.72	231.32	884.29	400.71	466.88	269.6	1437.15	559.28	426.57	842.36	463.65	466.88	241.19	1015.93	587.13	583.07	444.72	406.31	1259.69	1233.75	1674.06	647.07	660.68
IFRG15	0.0	0.0	0.0	0.0	0.0	8.45	258.57	177.53	0.0	206.94	947.83	70.51	146.03	33.3	170.25	470.14	88.88	102.25	93.35	153.34	82.87	127.0	291.04	507.46	170.25	253.23	244.57
KCTD10	279.14	113.56	194.36	183.82	153.34	140.04	1427.22	1191.69	1096.5	1378.57	1977.24	954.43	878.17	954.43	902.89	1457.23	723.08	1417.35	961.07	921.88	1304.15	791.35	1135.2	1540.37	1781.89	1015.93	1350.18
KDM5B	69.52	62.12	100.13	119.26	127.89	45.85	363.56	206.94	208.38	314.17	493.56	236.21	193.01	229.72	249.73	341.51	212.78	267.73	186.4	214.27	217.27	392.44	381.68	346.29	693.58	307.69	318.57
KIAA0247	208.38	106.63	141.02	60.39	98.73	124.37	1662.49	808.0	679.29	1111.82	2796.65	836.53	808.0	878.17	890.44	1551.09	633.73	1477.58	753.83	896.64	1059.11	775.05	2209.26	1044.52	1397.83	848.22	1030.12
KLHL15	24.63	55.49	71.0	14.24	19.39	69.52	118.43	55.1	45.53	81.14	167.9	76.17	56.28	76.17	99.43	253.23	52.45	109.66	43.02	100.13	90.14	97.36	120.1	212.78	215.77	79.45	108.14
LAMA4	325.29	43.63	100.83	84.04	132.44	21.32	500.46	902.89	713.11	629.35	567.1	587.13	483.38	1030.12	438.59	616.37	536.45	1015.93	497.0	555.41	599.49	403.5	1151.06	1088.92	1359.57	738.29	679.29
LSMEM2	0.79	0.91	2.78	2.71	0.75	1.13	5.96	0.09	3.44	1.27	12.93	3.82	3.06	6.36	0.8	14.56	3.06	6.01	2.76	5.06	7.63	1.06	8.51	4.06	5.28	4.39	2.78
MAP2K4	62.56	93.35	185.11	85.82	81.14	175.07	921.88	260.38	379.04	351.14	733.19	264.03	273.37	341.51	642.59	679.29	241.19	466.88	371.22	392.44	571.05	339.14	796.86	902.89	718.08	567.1	503.95
MAP4K4	26.86	273.37	493.56	414.87	381.68	299.25	674.59	620.67	441.64	521.76	928.3	633.73	540.19	420.68	551.56	579.04	356.05	607.87	397.93	426.57	521.76	327.56	961.07	1183.45	1059.11	599.49	603.67
MAT2A	303.44	1819.35	480.04	802.41	529.06	780.44	7857.29	2609.3	2758.13	3235.01	4419.52	3212.66	3349.13	2163.77	3081.75	3639.7	2502.97	3491.39	2224.63	3395.89	3419.52	3540.14	5479.15	6699.25	3928.15	3257.52	4769.75
MCTP2	0.0	2.1	2.18	13.83	1.39	25.35	199.85	106.63	108.9	97.36	403.5	106.63	148.09	99.43	140.04	154.42	84.04	223.41	173.85	185.11	119.26	147.06	441.64	325.29	599.49	157.68	246.28
MED13	35.76	98.73	120.94	89.51	77.79	62.56	420.68	194.36	253.23	373.81	633.73	190.34	186.4	177.53	332.14	463.65	198.47	283.05	155.5	226.54	267.73	309.83	406.31	368.65	693.58	332.14	400.71
MED26	35.0	108.14	132.44	76.71	82.29	66.18	275.28	175.07	125.24	366.09	647.07	164.42	181.28	173.85	155.5	423.61	164.42	211.31	159.9	229.72	289.02	264.03	314.17	234.57	483.38	122.64	214.27
NBPF10	10.0	144.01	157.68	156.59	113.56	80.57	708.18	221.86	277.2	275.28	620.67	229.72	223.41	450.94	387.02	493.56	303.44	381.68	384.34	291.04	532.74	353.59	493.56	532.74	1259.69	392.44	536.45
NRIP1	50.63	46.18	106.63	43.02	59.97	37.59	1151.06	187.71	163.28	241.19	567.1	185.11	114.36	202.66	303.44	1183.45	157.68	575.03	123.5	211.31	389.72	251.48	660.68	698.41	551.56	460.44	532.74
NUP153	25.54	103.69	166.73	125.24	108.9	144.01	1030.12	183.82	273.37	432.53	1216.75	305.55	314.17	264.03	343.89	633.73	248.0	426.57	248.0	384.34	483.38	332.14	947.83	860.08	909.17	466.88	500.46
PIP5K1A	242.88	161.02	432.53	208.38	318.57	198.47	1159.07	497.0	669.92	748.61	1617.0	540.19	540.19	633.73	497.0	921.88	486.75	921.88	414.87	529.06	718.08	638.15	1295.13	780.44	1651.0	607.87	796.86
PLAUR	27.84	57.89	34.51	59.97	24.99	137.14	3982.99	1322.37	1340.84	1030.12	2209.26	1674.06	1008.9	1697.45	753.83	1540.37	624.99	2271.4	669.92	1175.27	1119.56	1023.0	3349.13	1806.78	4388.98	563.18	1540.37
PNP	954.43	941.27	392.44	1143.1	323.03	1685.71	3124.78	854.13	928.3	934.76	1909.85	733.19	1250.98	1259.69	748.61	2061.24	629.35	2434.5	974.5	842.36	988.12	1467.37	3564.78	1583.71	2997.45	1167.14	1551.09
PNRC2	878.17	314.17	339.14	1096.5	603.67	283.05	2468.49	1540.37	1819.35	2555.58	1936.53	2047.0	1745.2	1662.49	2240.11	3081.75	1709.26	1605.83	1685.71	1529.73	1519.15	2004.85	2075.59	2255.7	2701.35	2758.13	2287.2
PP2D1	1.53	0.0	0.51	0.38	0.75	0.59	8.71	7.57	3.56	8.25	34.02	7.06	9.63	10.47	6.36	28.65	5.45	8.51	5.73	13.62	14.56	7.46	16.27	9.93	14.45	5.92	14.67
PPP2R3A	90.14	7.51	4.31	16.15	5.06	2.43	249.73	92.7	67.12	171.45	107.38	87.65	48.18	88.26	96.01	198.47	66.18	94.67	50.27	141.02	125.24	197.09	183.82	348.71	283.05	113.56	295.11
PPP4R2	287.01	275.28	450.94	351.14	260.38	214.27	587.13	305.55	371.22	476.71	813.63	358.54	341.51	387.02	567.1	947.83	316.37	642.59	309.83	435.55	387.02	511.0	775.05	743.43	1023.0	579.04	718.08
PRRC2C	43.94	353.59	521.76	532.74	417.77	224.97	1572.76	947.83	954.43	1159.07	3768.09	1023.0	1015.93	947.83	1277.29	1447.15	866.07	1397.83	941.27	1295.13	1304.15	1233.75	3060.45	2119.22	2796.65	1225.22	2090.03
RAB22A	122.64	65.72	90.14	65.26	78.89	60.82	346.29	147.06	253.23	218.79	583.07	202.66	142.01	194.36	299.25	500.46	134.3	297.17	151.22	181.28	167.9	215.77	301.33	381.68	281.09	316.37	334.46
RBBP6	212.78	223.41	358.54	218.79	277.2	133.36	647.07	450.94	497.0	543.96	1183.45	563.18	620.67	620.67	567.1	1037.29	532.74	624.99	507.46	775.05	775.05	860.08	703.28	748.61	1037.29	503.95	551.56
REL	0.78	9.41	11.3	3.35	7.88	9.93	264.03	101.54	37.59	127.89	309.83	110.43	98.73	71.0	147.06	232.94	49.56	189.02	47.17	76.17	111.99	105.89	199.85	205.5	147.06	102.97	123.5
RLIM	59.13	59.55	58.3	47.84	53.57	51.35	334.46	186.4	180.02	248.0	507.46	186.4	180.02	183.82	193.01	329.84	175.07	232.94	175.07	178.77	246.28	187.71	363.56	348.71	555.41	228.13	237.86
RNF138	99.43	142.01	88.88	111.21	82.29	140.04	457.25	131.51	248.0	325.29	599.49	275.28	269.6	229.72	312.0	921.88	146.03	384.34	139.07	341.51	366.09	368.65	476.71	728.11	1081.39	325.29	339.14
RNF145	358.54	108.14	136.19	647.07	665.29	187.71	7589.61	4181.07	4123.49	6471.02	7642.41	4450.27	3303.0	3928.15	7331.05	6207.38	3820.7	7280.4	3716.2	7081.29	6516.03	7230.1	8247.98	8421.31	9945.68	5479.15	7331.05
RPRD1B	117.6	221.86	218.79	133.36	201.25	332.14	490.14	262.2	361.04	273.37	1407.55	339.14	301.33	412.0	361.04	497.0	366.09	497.0	281.09	339.14	444.72	361.04	343.89	447.82	748.61	426.57	651.58
SEC24A	61.68	127.0	99.43	143.01	143.01	172.65	384.34	89.51	176.29	187.71	256.78	154.42	142.01	135.24	212.78	384.34	134.3	275.28	82.29	169.07	110.43	190.34	220.32	312.0	791.35	279.14	244.57
SFPQ	334.46	2163.77	1322.37	4239.45	2417.67	723.08	5954.47	2193.99	2835.7	2451.44	11424.74	3768.09	2997.45	4181.07	3257.52	5791.62	2739.08	5329.3	2935.74	4836.35	5292.48	3589.58	5633.22	6164.49	5292.48	3257.52	3515.68
SFTPA1	0.0	0.0	0.0	0.0	0.0	13.72	5809569.18	4987895.16	1703415.74	4495342.72	3028138.0	4252853.3	2039804.27	3576208.94	4252853.3	1171559.48	2581895.97	2599854.48	1567462.05	2581895.97	3832885.91	3968052.37	2691538.19	2710259.32	1903204.61	2546350.23	2904784.09
SLC41A1	26.86	9.85	43.94	95.34	9.85	37.32	1447.15	579.04	511.0	638.15	1806.78	511.0	511.0	703.28	698.41	1037.29	497.0	836.53	476.71	603.67	961.07	629.35	1628.26	1081.39	1583.71	647.07	842.36
SMARCA1	58.71	423.61	73.03	281.09	185.11	341.51	708.18	237.86	201.25	518.15	178.77	323.03	158.79	215.77	251.48	698.41	154.42	444.72	131.51	353.59	318.57	624.99	638.15	961.07	825.0	599.49	414.87
SOCS2	825.0	473.41	172.65	9.48	60.82	242.88	4239.45	1233.75	860.08	1143.1	9540.5	518.15	1286.18	723.08	988.12	2351.53	591.22	1561.89	412.0	728.11	1963.57	1963.57	6337.83	3716.2	3190.46	769.69	1617.0
STK17B	23.42	14.89	11.3	17.9	17.64	20.41	775.05	341.51	403.5	830.75	2255.7	336.79	575.03	543.96	551.56	2061.24	320.8	961.07	688.78	860.08	540.19	753.83	612.11	1583.71	1457.23	961.07	1529.73
SYAP1	323.03	323.03	339.14	177.53	295.11	205.5	620.67	417.77	414.87	406.31	633.73	236.21	273.37	325.29	309.83	525.39	201.25	325.29	323.03	429.54	429.54	264.03	423.61	417.77	961.07	265.87	387.02
TIFA	43.02	73.54	190.34	43.63	161.02	42.11	273.37	199.85	173.85	164.42	490.14	205.5	199.85	303.44	323.03	733.19	189.02	507.46	209.84	202.66	361.04	532.74	638.15	438.59	698.41	305.55	237.86
TMEM200A	0.83	16.75	0.0	1.89	1.36	2.39	191.67	78.89	37.32	68.07	61.25	42.41	29.91	96.68	49.91	81.14	48.87	105.89	29.27	34.26	50.27	134.3	142.01	258.57	299.25	53.57	108.14
TROVE2	40.64	84.04	103.69	107.38	88.88	44.25	329.84	154.42	197.09	237.86	435.55	172.65	177.53	156.59	204.07	373.81	193.01	162.14	139.07	214.27	156.59	194.36	320.8	314.17	438.59	297.17	291.04
TTF2	20.71	19.39	15.91	86.43	47.5	29.48	126.12	100.13	77.25	138.1	400.71	143.01	123.5	127.0	117.6	329.84	77.79	115.97	72.01	206.94	115.97	50.63	297.17	246.28	473.41	271.48	121.79
TWISTNB	102.25	96.68	66.18	99.43	114.36	34.75	351.14	147.06	185.11	155.5	559.28	165.57	164.42	211.31	201.25	353.59	189.02	343.89	155.5	237.86	223.41	212.78	309.83	490.14	295.11	251.48	289.02
UBE2J1	127.89	87.03	182.55	414.87	180.02	151.22	1216.75	447.82	703.28	384.34	1551.09	669.92	486.75	819.3	842.36	2104.58	395.18	1685.71	466.88	981.29	507.46	743.43	1259.69	1806.78	1605.83	890.44	759.08
UBXN4	314.17	559.28	748.61	493.56	466.88	334.46	1233.75	848.22	974.5	703.28	2701.35	947.83	1073.91	954.43	1175.27	1605.83	854.13	1350.18	688.78	1208.34	1096.5	1001.93	1936.53	3419.52	2573.36	1594.73	1498.22
UGCG	267.73	209.84	80.01	163.28	171.45	212.78	961.07	325.29	476.71	361.04	1208.34	426.57	414.87	457.25	503.95	961.07	289.02	1151.06	293.07	518.15	616.37	583.07	1388.16	934.76	1819.35	435.55	591.22
USO1	432.53	312.0	674.59	493.56	693.58	264.03	1757.34	1081.39	1331.57	1225.22	791.35	1378.57	1151.06	1487.87	1397.83	2816.11	1159.07	1745.2	759.08	1508.65	915.51	1191.69	1030.12	1857.6	1175.27	1427.22	1199.98
USP38	64.8	99.43	99.43	44.89	88.88	105.15	571.05	197.09	218.79	361.04	743.43	214.27	167.9	190.34	395.18	748.61	175.07	348.71	134.3	289.02	289.02	255.0	743.43	507.46	507.46	381.68	356.05
VTI1A	177.53	127.0	84.63	99.43	148.09	98.73	183.82	204.07	201.25	237.86	599.49	199.85	201.25	152.28	223.41	353.59	148.09	231.32	185.11	244.57	153.34	125.24	305.55	334.46	206.94	253.23	177.53
WAPAL	242.88	295.11	353.59	387.02	470.14	152.28	674.59	406.31	540.19	480.04	1104.13	414.87	387.02	447.82	563.18	780.44	373.81	679.29	379.04	497.0	480.04	503.95	567.1	629.35	1088.92	571.05	620.67
YTHDF2	368.65	381.68	620.67	1111.82	567.1	384.34	2119.22	1175.27	1143.1	1199.98	2417.67	1277.29	1044.52	1519.15	1359.57	1757.34	1037.29	1819.35	1183.45	1447.15	1594.73	1304.15	2148.82	1844.76	2178.83	1447.15	1685.71
ZNF410	1225.22	414.87	325.29	379.04	432.53	218.79	1540.37	603.67	633.73	703.28	1397.83	764.36	603.67	769.69	674.59	1378.57	571.05	1721.16	612.11	660.68	1096.5	728.11	1051.79	1183.45	1540.37	1008.9	1037.29
ZNF800	106.63	98.04	106.63	89.51	163.28	47.5	400.71	125.24	197.09	256.78	587.13	256.78	234.57	218.79	281.09	368.65	170.25	295.11	215.77	318.57	224.97	232.94	316.37	366.09	329.84	343.89	353.59
