	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.139TS.1426.SM.5IFJD	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.11NUK.0826.SM.5HL4U	GTEX.11P81.0226.SM.5HL5M	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	TCGA.43.6143.01A.11R.1820.07	TCGA.77.8007.11A.01R.2187.07	TCGA.51.4081.11A.01R.1758.07
ARID4A	323.03	76.17	62.56	9.27	92.7	47.84	52.45	75.11	133.36	57.89	64.8	102.25	51.35	38.67	26.67	115.16	105.15	153.34	199.85	114.36	115.16	113.56	249.73	612.11	279.14	540.19	291.04	277.2	466.88	214.27	150.17	173.85
ATG14	334.46	164.42	113.56	65.72	158.79	70.01	70.51	70.51	148.09	67.12	72.01	140.04	95.34	68.55	57.89	77.79	64.34	49.21	228.13	143.01	104.42	149.12	182.55	334.46	161.02	229.72	177.53	287.01	251.48	224.97	145.02	151.22
BBS1	967.76	551.56	583.07	647.07	163.28	127.0	129.69	101.54	172.65	108.9	92.05	232.94	154.42	135.24	113.56	194.36	204.07	295.11	392.44	353.59	293.07	514.56	450.94	1242.34	642.59	791.35	753.83	591.22	400.71	493.56	339.14	599.49
BIVM-ERCC5	158.79	40.36	33.78	6.16	9.78	0.0	0.0	37.05	6.84	0.0	15.34	0.0	0.0	0.0	0.0	25.72	0.0	60.82	7.69	0.0	26.47	54.72	133.36	218.79	78.89	82.87	94.01	112.77	48.18	150.17	32.82	50.98
BMPER	99.43	2.23	5.45	10.63	2.71	4.74	1.66	3.26	0.0	0.73	1.3	0.0	2.16	2.07	0.53	9.2	25.54	109.66	71.5	2.78	100.13	21.94	75.64	339.14	217.27	167.9	64.8	312.0	11.73	52.82	100.83	87.65
BTG2	3955.48	3303.0	4181.07	1467.37	336.79	373.81	193.01	108.14	1030.12	244.57	229.72	51.71	258.57	303.44	129.69	220.32	285.03	140.04	6652.97	748.61	2104.58	3124.78	8658.09	4903.87	5751.61	3515.68	6652.97	6561.36	15499.21	3820.7	2855.44	5292.48
C10orf88	191.67	92.7	94.67	54.72	63.0	75.11	69.03	37.05	84.63	57.89	46.18	54.33	70.01	61.68	52.82	55.49	52.82	47.84	125.24	122.64	106.63	180.02	100.13	136.19	141.02	100.83	127.0	97.36	80.57	183.82	116.78	86.43
C11orf45	43.94	66.65	77.25	66.65	60.82	14.35	20.86	3.82	2.94	24.11	9.41	1.62	10.55	18.97	21.01	0.0	2.2	28.45	96.01	22.75	98.04	217.27	122.64	46.18	139.07	177.53	211.31	142.01	48.52	147.06	79.45	75.11
CAMK4	20.26	9.41	31.0	15.22	15.22	1.48	11.13	3.66	5.23	7.34	2.86	0.37	7.0	5.63	0.89	24.99	41.52	9.56	35.0	10.71	49.91	15.0	69.03	60.39	29.91	52.82	65.26	49.21	68.55	135.24	33.54	37.59
CARF	231.32	59.97	37.05	15.68	22.59	16.63	19.97	14.14	26.47	10.08	16.39	25.35	10.79	12.0	7.11	25.54	26.86	38.95	86.43	44.89	79.45	48.52	105.15	202.66	114.36	105.15	132.44	123.5	92.7	114.36	106.63	64.34
CBX7	1350.18	536.45	633.73	551.56	253.23	218.79	197.09	76.71	211.31	223.41	231.32	432.53	283.05	287.01	159.9	318.57	406.31	320.8	603.67	226.54	486.75	237.86	351.14	1498.22	1977.24	1487.87	808.0	1378.57	1359.57	323.03	320.8	1008.9
CDH23	189.02	171.45	175.07	70.01	133.36	77.79	77.79	115.16	95.34	102.97	98.73	133.36	71.0	131.51	53.95	71.0	217.27	241.19	161.02	13.72	72.01	323.03	176.29	713.11	89.51	190.34	90.77	316.37	80.57	237.86	165.57	172.65
CEP120	384.34	124.37	131.51	16.15	72.52	59.97	48.18	46.5	67.12	45.21	55.89	49.56	64.34	36.53	25.72	55.1	64.34	78.34	137.14	54.33	127.0	109.66	215.77	363.56	283.05	262.2	224.97	249.73	320.8	301.33	136.19	164.42
CLEC16A	412.0	358.54	301.33	301.33	325.29	267.73	269.6	228.13	141.02	242.88	303.44	329.84	164.42	198.47	152.28	148.09	100.13	137.14	400.71	314.17	318.57	703.28	251.48	237.86	358.54	368.65	361.04	301.33	320.8	353.59	320.8	395.18
CNN3	4802.93	2468.49	2451.44	3018.3	2627.46	3874.05	1977.24	2739.08	1216.75	1857.6	2976.74	1167.14	3018.3	2133.97	1733.13	1242.34	1051.79	2777.33	2816.11	1159.07	4736.79	4388.98	6607.01	7485.11	3515.68	6792.79	3349.13	3395.89	6887.62	8247.98	5995.9	3639.7
CNTN4	140.04	108.14	47.17	3.69	32.36	2.05	14.35	7.17	8.58	17.0	12.74	9.56	20.71	4.46	3.99	9.34	50.98	23.25	47.17	14.56	13.72	31.9	80.57	189.02	159.9	33.3	57.89	55.49	40.64	54.72	40.93	49.56
CPEB4	426.57	269.6	209.84	107.38	271.48	202.66	173.85	218.79	214.27	79.45	145.02	153.34	135.24	96.68	71.5	267.73	339.14	555.41	239.52	149.12	236.21	161.02	301.33	447.82	412.0	521.76	329.84	854.13	620.67	239.52	209.84	392.44
CREB1	780.44	177.53	221.86	67.12	132.44	208.38	170.25	130.6	169.07	77.79	175.07	119.26	148.09	96.01	98.73	120.94	133.36	295.11	279.14	348.71	381.68	551.56	409.15	500.46	480.04	493.56	529.06	493.56	316.37	967.76	454.09	423.61
CREBRF	551.56	218.79	145.02	40.93	82.29	71.0	70.01	31.22	77.79	42.41	47.84	80.01	53.95	51.71	38.95	171.45	111.21	90.77	166.73	69.03	170.25	105.89	476.71	525.39	271.48	339.14	251.48	325.29	514.56	267.73	158.79	158.79
DAPK1	190.34	703.28	769.69	476.71	239.52	289.02	214.27	275.28	151.22	105.89	147.06	320.8	142.01	161.02	161.02	273.37	215.77	460.44	1073.91	551.56	543.96	466.88	890.44	2720.15	1896.65	8022.41	3060.45	2271.4	2935.74	1073.91	540.19	1159.07
DCAF5	785.88	426.57	414.87	251.48	463.65	202.66	205.5	204.07	454.09	244.57	226.54	392.44	275.28	253.23	205.5	438.59	358.54	441.64	587.13	351.14	463.65	669.92	698.41	941.27	693.58	1639.59	629.35	769.69	1044.52	764.36	567.1	703.28
DCP2	351.14	273.37	223.41	74.06	127.0	127.89	89.51	73.03	108.9	96.01	70.01	70.51	80.57	80.01	124.37	73.54	81.14	88.88	275.28	94.01	249.73	180.02	244.57	339.14	181.28	356.05	269.6	226.54	387.02	409.15	244.57	189.02
DDX46	890.44	346.29	303.44	98.73	336.79	392.44	301.33	327.56	353.59	165.57	204.07	275.28	309.83	327.56	265.87	281.09	126.12	265.87	480.04	417.77	384.34	500.46	543.96	1104.13	651.58	688.78	579.04	679.29	902.89	1135.2	438.59	473.41
DMXL1	460.44	384.34	244.57	75.64	167.9	267.73	115.16	113.56	173.85	135.24	122.64	181.28	96.01	92.7	111.21	144.01	136.19	91.41	323.03	158.79	400.71	277.2	438.59	389.72	262.2	480.04	314.17	514.56	872.1	543.96	351.14	241.19
DNAJC27	137.14	39.79	40.07	18.43	24.46	16.27	14.24	10.63	10.96	8.92	16.88	17.64	9.85	10.0	5.28	17.0	13.83	19.82	71.0	29.91	55.89	102.25	85.22	115.16	91.41	112.77	89.51	88.26	45.21	70.01	44.89	81.71
DOPEY2	249.73	204.07	226.54	155.5	71.5	82.87	108.9	115.97	262.2	29.7	48.18	96.68	35.5	72.52	31.45	69.03	52.45	543.96	189.02	158.79	87.65	258.57	151.22	211.31	262.2	189.02	287.01	120.1	176.29	460.44	101.54	155.5
DRD5	0.0	0.38	0.0	0.0	0.0	0.45	0.0	0.0	1.51	0.48	0.0	0.0	0.0	0.0	0.0	0.19	0.2	0.0	1.27	0.83	0.0	34.02	12.55	5.11	0.0	6.26	2.27	9.48	0.0	7.28	3.35	5.87
ELF2	902.89	220.32	273.37	73.54	242.88	204.07	191.67	149.12	186.4	141.02	146.03	209.84	191.67	161.02	134.3	246.28	169.07	186.4	417.77	316.37	373.81	361.04	409.15	941.27	563.18	688.78	603.67	521.76	591.22	748.61	395.18	483.38
EPC2	624.99	169.07	205.5	44.89	100.83	145.02	151.22	87.65	127.0	77.25	85.22	120.94	106.63	78.89	47.17	120.94	79.45	111.21	246.28	275.28	267.73	244.57	285.03	460.44	397.93	368.65	447.82	376.41	271.48	563.18	231.32	318.57
FAM114A2	429.54	283.05	237.86	151.22	253.23	158.79	178.77	139.07	137.14	157.68	143.01	177.53	169.07	253.23	273.37	162.14	125.24	256.78	208.38	91.41	366.09	616.37	423.61	684.02	447.82	358.54	334.46	299.25	172.65	435.55	392.44	173.85
FAM179B	293.07	122.64	112.77	19.68	61.68	46.5	36.01	37.85	101.54	46.84	39.79	68.55	65.72	54.33	11.64	35.5	42.41	120.94	105.15	148.09	158.79	151.22	215.77	223.41	226.54	113.56	177.53	145.02	116.78	132.44	115.16	140.04
FAM71A	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.48	0.74	0.0	0.0	2.76	1.6	2.39	3.69	0.0	0.0	1.97	1.39	2.48	11.73
FBXL17	361.04	212.78	175.07	68.55	187.71	138.1	157.68	56.28	122.64	105.15	136.19	151.22	119.26	98.04	136.19	81.71	144.01	197.09	152.28	53.57	199.85	147.06	432.53	353.59	228.13	248.0	242.88	244.57	199.85	320.8	185.11	204.07
FBXO38	624.99	329.84	287.01	145.02	293.07	176.29	262.2	214.27	329.84	201.25	246.28	229.72	221.86	293.07	156.59	190.34	158.79	332.14	460.44	164.42	301.33	629.35	363.56	612.11	642.59	902.89	579.04	878.17	642.59	435.55	429.54	480.04
FNIP1	318.57	155.5	141.02	47.84	169.07	169.07	133.36	119.26	143.01	104.42	120.1	110.43	105.89	90.77	104.42	173.85	71.0	113.56	176.29	136.19	182.55	156.59	167.9	447.82	173.85	211.31	202.66	329.84	229.72	320.8	143.01	153.34
FOXO1	438.59	99.43	158.79	170.25	107.38	34.51	104.42	86.43	68.55	70.01	90.77	55.49	59.97	64.34	19.82	1104.13	759.08	275.28	226.54	50.98	246.28	285.03	397.93	808.0	211.31	305.55	159.9	723.08	624.99	567.1	190.34	397.93
FOXP1	1037.29	181.28	212.78	71.5	206.94	187.71	201.25	144.01	267.73	180.02	231.32	194.36	242.88	166.73	163.28	239.52	191.67	163.28	400.71	414.87	366.09	493.56	1008.9	1111.82	638.15	1143.1	638.15	540.19	463.65	441.64	420.68	660.68
FTL	48982.22	1422501.74	1355129.16	1422501.74	1123834.93	2111737.85	1327240.99	1452391.55	1393227.06	875652.15	1055868.42	1514068.5	746611.43	932018.1	1493223.86	2294899.22	1374046.07	2326934.84	998912.34	1273174.62	1204496.53	1336472.68	875652.15	169390.27	531605.79	499455.67	535303.41	443937.41	1179708.33	234624.45	971597.0	496005.67
FTO	2682.69	587.13	457.25	417.77	217.27	154.42	208.38	190.34	109.66	108.9	101.54	60.39	175.07	72.52	58.71	171.45	119.26	400.71	351.14	432.53	579.04	647.07	872.1	1119.56	738.29	995.0	902.89	764.36	679.29	660.68	540.19	629.35
GCSAML	15.11	10.96	2.51	1.48	0.0	6.31	0.49	0.0	1.51	0.53	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	13.22	0.67	19.97	25.54	18.56	12.83	66.18	40.64	19.82	25.35	21.47	18.29	13.42	25.91
GOLGA2	1519.15	909.17	733.19	607.87	688.78	866.07	438.59	693.58	775.05	323.03	305.55	543.96	376.41	463.65	283.05	791.35	397.93	571.05	961.07	1216.75	480.04	2178.83	1674.06	2537.92	1066.48	1628.26	1175.27	1037.29	753.83	1044.52	723.08	981.29
GPATCH8	620.67	165.57	178.77	57.89	106.63	111.99	94.67	57.49	154.42	68.07	61.68	111.99	82.29	81.14	49.91	124.37	54.33	69.03	273.37	248.0	140.04	175.07	273.37	591.22	403.5	327.56	341.51	463.65	253.23	483.38	182.55	314.17
GPBP1L1	1870.53	890.44	934.76	651.58	819.3	974.5	1088.92	915.51	764.36	595.34	656.11	1685.71	974.5	813.63	941.27	1250.98	1143.1	860.08	1304.15	1199.98	1250.98	1313.23	1199.98	1639.59	1685.71	2119.22	1407.55	1594.73	1883.54	1794.29	1191.69	1259.69
GPR156	12.83	5.11	2.1	6.21	0.54	0.45	0.46	0.0	0.55	0.49	1.22	0.0	0.0	0.0	3.44	0.0	0.0	0.2	0.88	2.05	1.85	1.51	27.44	13.12	0.0	8.58	2.25	33.06	6.41	68.55	6.57	2.32
HMGXB3	638.15	371.22	303.44	379.04	450.94	414.87	255.0	239.52	299.25	226.54	246.28	318.57	226.54	297.17	332.14	132.44	87.65	100.13	490.14	241.19	281.09	429.54	397.93	444.72	215.77	540.19	329.84	651.58	518.15	651.58	327.56	575.03
IGF2R	896.64	995.0	1407.55	3257.52	743.43	1242.34	802.41	902.89	679.29	366.09	698.41	860.08	728.11	674.59	503.95	540.19	470.14	1143.1	1529.73	902.89	819.3	1104.13	743.43	1417.35	1159.07	934.76	1605.83	1268.46	1199.98	830.75	612.11	1277.29
IK	2682.69	2075.59	1721.16	1023.0	1605.83	1467.37	1781.89	1350.18	1447.15	1437.15	1529.73	1104.13	1277.29	1963.57	2351.53	1015.93	1183.45	1378.57	1457.23	1259.69	1427.22	1572.76	1870.53	2682.69	2915.45	2915.45	3257.52	2351.53	2351.53	2835.7	1651.0	1781.89
IKZF5	480.04	98.04	95.34	33.06	111.99	56.68	100.13	76.17	147.06	76.17	74.06	72.01	117.6	60.82	64.34	202.66	159.9	194.36	224.97	129.69	267.73	133.36	223.41	426.57	249.73	299.25	218.79	281.09	323.03	379.04	204.07	185.11
IMPG2	1.48	1.08	1.23	0.36	1.2	1.04	0.61	0.0	1.22	0.0	1.85	0.0	0.99	0.64	0.85	0.0	0.09	1.3	2.66	1.58	0.96	2.89	1.14	2.23	2.16	1.36	1.75	4.62	1.45	4.06	1.77	1.91
KAT6B	423.61	80.01	102.25	37.32	46.84	37.85	41.81	37.59	43.94	29.06	34.02	31.9	31.22	29.91	19.25	55.49	48.87	77.79	132.44	63.45	80.01	114.36	258.57	466.88	301.33	208.38	264.03	351.14	169.07	231.32	89.51	155.5
KCNIP2	1242.34	28.65	9.13	11.04	10.31	29.91	5.68	4.46	33.06	14.56	12.74	7.34	4.9	7.06	5.92	4.98	14.78	7.06	43.32	22.59	5.5	49.56	19.53	72.52	57.49	93.35	22.1	55.1	17.0	63.89	13.42	65.72
KCNQ4	24.99	3.03	44.89	25.91	5.54	1.3	3.06	1.41	3.11	3.29	3.03	7.51	6.46	2.76	20.86	2.07	4.03	4.06	20.71	6.06	9.27	15.0	5.11	30.12	56.28	33.78	29.91	64.8	5.15	52.82	15.56	28.45
KIAA0226	291.04	189.02	234.57	136.19	90.77	150.17	80.57	63.0	121.79	49.91	54.72	87.65	69.03	67.59	74.06	60.82	71.5	76.17	289.02	249.73	133.36	275.28	244.57	346.29	293.07	348.71	204.07	318.57	366.09	808.0	195.72	409.15
KIAA0430	1191.69	447.82	441.64	283.05	239.52	239.52	217.27	202.66	175.07	208.38	187.71	271.48	185.11	228.13	106.63	277.2	242.88	283.05	579.04	332.14	323.03	363.56	633.73	1540.37	854.13	753.83	656.11	583.07	674.59	708.18	314.17	480.04
KIAA1324L	231.32	14.03	30.12	22.43	15.68	6.06	8.32	7.63	24.81	10.96	30.56	3.23	17.64	10.24	5.19	17.77	20.71	11.47	438.59	59.55	392.44	954.43	830.75	679.29	511.0	660.68	848.22	1572.76	1936.53	381.68	775.05	563.18
KIAA1328	173.85	51.71	54.33	16.27	39.5	43.94	35.5	31.22	46.18	22.92	23.93	61.25	36.79	33.54	28.24	29.06	37.32	12.45	86.43	51.71	104.42	59.55	169.07	299.25	123.5	239.52	178.77	127.89	131.51	156.59	109.66	129.69
KIAA1456	234.57	22.26	9.85	10.88	14.78	36.53	2.73	0.0	1.93	2.92	2.71	6.26	3.56	2.84	16.88	4.54	36.27	48.52	55.89	2.12	37.05	19.39	52.45	183.82	70.01	35.0	80.57	28.24	16.51	85.22	41.81	56.68
KIDINS220	941.27	265.87	312.0	132.44	181.28	228.13	195.72	172.65	208.38	120.94	118.43	131.51	122.64	100.83	82.87	187.71	114.36	232.94	551.56	463.65	348.71	299.25	540.19	1551.09	872.1	775.05	708.18	587.13	417.77	728.11	325.29	660.68
KIF1B	406.31	195.72	211.31	204.07	161.02	236.21	134.3	223.41	81.71	121.79	111.21	212.78	88.26	90.14	177.53	158.79	125.24	358.54	253.23	218.79	173.85	275.28	246.28	633.73	267.73	289.02	198.47	420.68	197.09	297.17	161.02	267.73
KIF3A	185.11	108.14	59.97	17.51	44.89	80.01	27.64	17.51	18.03	25.72	35.5	29.7	15.91	21.94	60.82	15.22	10.16	53.95	107.38	87.65	65.72	118.43	182.55	159.9	125.24	127.89	220.32	98.04	84.04	161.02	88.88	85.82
KLF11	723.08	178.77	281.09	202.66	163.28	236.21	258.57	291.04	264.03	92.7	185.11	223.41	167.9	167.9	59.97	819.3	703.28	728.11	287.01	130.6	295.11	98.73	463.65	612.11	500.46	293.07	414.87	599.49	204.07	595.34	297.17	353.59
KLHL28	226.54	55.1	65.72	24.28	45.21	31.22	40.07	25.17	29.91	22.43	28.24	40.64	42.71	18.16	12.93	75.11	48.87	62.12	83.45	96.68	87.65	70.01	111.99	189.02	156.59	144.01	159.9	119.26	80.01	136.19	98.04	105.15
KLHL33	17.13	2.2	4.62	1.1	0.54	0.0	0.45	0.0	0.0	0.49	0.0	0.0	0.84	0.48	0.0	0.6	0.62	0.62	5.54	0.0	3.5	6.26	7.28	19.53	13.72	5.54	8.06	9.56	4.54	9.7	4.13	7.22
KMT2A	688.78	120.1	155.5	40.64	74.06	111.99	59.97	55.1	80.01	38.95	34.75	73.54	42.71	35.25	60.82	60.39	49.21	112.77	214.27	146.03	102.97	149.12	281.09	595.34	309.83	540.19	246.28	353.59	423.61	607.87	130.6	307.69
LDHAL6B	4.46	1.48	1.69	1.11	4.17	2.12	0.71	0.77	0.0	0.75	0.0	1.11	0.0	1.23	0.0	0.37	0.0	0.0	3.86	0.0	24.46	8.51	6.46	7.63	2.61	3.69	2.43	1.73	3.38	8.58	17.51	3.63
LIFR	748.61	183.82	88.88	123.5	26.67	38.67	12.18	2.29	77.25	17.9	16.51	1.58	8.99	21.78	3.99	56.28	87.03	287.01	244.57	80.01	332.14	55.89	457.25	2645.74	1457.23	1059.11	529.06	1313.23	1832.01	536.45	198.47	228.13
LINC00999	89.51	39.22	25.54	25.35	24.11	28.04	13.93	14.89	76.17	9.7	3.82	46.5	1.68	15.56	3.63	15.22	9.41	15.22	41.22	17.64	20.26	18.03	77.79	82.87	71.5	70.01	61.25	100.13	40.07	87.03	23.59	66.18
MAML3	171.45	37.85	59.13	23.08	48.87	37.32	31.9	66.18	21.94	15.45	43.63	108.9	35.0	21.47	28.65	65.72	26.86	58.3	74.58	75.64	57.49	48.87	121.79	551.56	119.26	154.42	143.01	211.31	155.5	173.85	56.68	143.01
MAP3K1	759.08	490.14	264.03	65.72	120.1	127.0	128.79	81.71	87.65	115.16	147.06	80.01	106.63	99.43	81.14	76.17	83.45	52.82	279.14	88.88	212.78	236.21	275.28	307.69	267.73	361.04	251.48	239.52	237.86	638.15	191.67	182.55
MEX3B	68.55	24.63	62.12	9.27	13.32	10.0	7.46	5.36	0.87	5.19	6.01	10.96	25.35	14.56	11.04	4.9	3.92	3.11	54.33	62.12	20.26	38.4	61.25	43.94	30.34	36.79	51.35	20.71	15.11	107.38	27.05	31.0
MFAP3	638.15	193.01	211.31	131.51	137.14	112.77	127.0	104.42	137.14	107.38	109.66	159.9	180.02	113.56	85.22	129.69	124.37	291.04	253.23	209.84	262.2	336.79	444.72	775.05	363.56	283.05	314.17	307.69	193.01	420.68	279.14	301.33
MPP5	392.44	209.84	154.42	90.14	181.28	156.59	114.36	138.1	157.68	99.43	136.19	204.07	127.0	89.51	100.83	132.44	124.37	205.5	223.41	199.85	271.48	223.41	229.72	438.59	381.68	417.77	490.14	236.21	327.56	262.2	228.13	215.77
NFATC3	480.04	228.13	205.5	91.41	98.04	78.34	131.51	127.89	128.79	94.01	130.6	86.43	269.6	55.49	73.54	123.5	118.43	379.04	323.03	269.6	343.89	414.87	329.84	656.11	808.0	351.14	543.96	723.08	353.59	603.67	329.84	412.0
NLRP1	532.74	356.05	444.72	105.15	363.56	738.29	114.36	244.57	82.87	312.0	232.94	43.02	110.43	94.67	31.22	67.12	125.24	38.67	665.29	69.52	191.67	215.77	753.83	2178.83	928.3	1583.71	591.22	1769.57	718.08	718.08	435.55	775.05
NR2C2	432.53	87.03	59.13	28.45	71.5	88.26	52.45	42.11	42.11	59.97	54.33	52.08	46.18	37.59	60.39	53.57	32.59	51.71	149.12	74.58	81.71	95.34	218.79	314.17	226.54	295.11	171.45	285.03	221.86	305.55	109.66	150.17
NUMB	1088.92	679.29	728.11	559.28	785.88	384.34	381.68	563.18	633.73	387.02	457.25	743.43	493.56	406.31	260.38	620.67	511.0	728.11	1183.45	928.3	981.29	1073.91	921.88	1685.71	1819.35	1757.34	1617.0	1397.83	1143.1	1015.93	981.29	1199.98
NYNRIN	295.11	54.33	105.15	62.56	33.54	11.04	48.18	17.0	145.02	15.45	57.08	86.43	22.1	67.12	12.93	8.51	24.99	73.54	173.85	73.03	74.06	507.46	316.37	507.46	473.41	249.73	387.02	283.05	65.26	796.86	130.6	228.13
PAPOLB	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.47	0.0	0.23	0.69	0.0	0.0	0.68	0.0	0.46
PCMTD1	1286.18	432.53	423.61	82.87	507.46	323.03	356.05	417.77	507.46	260.38	258.57	185.11	153.34	529.06	265.87	229.72	277.2	723.08	651.58	521.76	698.41	551.56	723.08	2178.83	1208.34	1066.48	1175.27	954.43	902.89	728.11	665.29	674.59
PCMTD2	1709.26	674.59	518.15	183.82	381.68	232.94	307.69	253.23	532.74	363.56	229.72	647.07	175.07	220.32	115.97	381.68	392.44	486.75	703.28	728.11	423.61	703.28	647.07	1498.22	1159.07	551.56	884.29	638.15	457.25	1250.98	511.0	483.38
