	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.Y3IK.2326.SM.4WWDT	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.MA.AA3Y.01A.11R.A38B.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.CN.4734.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07	GTEX.13OVI.1026.SM.5L3EM
CTD-2368P22.1	5.77	18.03	69.03	30.12	30.78	135.24	49.21	30.12	142.01	177.53	59.55	65.26	87.03	145.02	44.89	57.08	63.89	53.57	81.14	78.89	39.5	156.59	51.71	51.71	24.63	197.09	85.82	81.71	194.36	29.48	81.14	61.68	170.25	19.53	39.79	82.29	29.48	108.14	67.59	77.79	9.56	6.26	43.32	42.41	6.57	14.67	3.11	3.89	8.78	0.0	0.62	21.32	1.08	234.57
DCUN1D2	126.12	156.59	226.54	193.01	202.66	291.04	193.01	185.11	356.05	353.59	291.04	249.73	309.83	361.04	253.23	273.37	262.2	273.37	232.94	206.94	277.2	363.56	241.19	271.48	195.72	563.18	395.18	158.79	420.68	176.29	262.2	104.42	265.87	244.57	273.37	447.82	215.77	237.86	395.18	460.44	114.36	135.24	157.68	129.69	70.51	50.63	105.15	103.69	119.26	0.0	0.75	201.25	81.14	575.03
DHX40	237.86	529.06	842.36	450.94	728.11	909.17	688.78	476.71	954.43	1127.35	708.18	738.29	854.13	1030.12	674.59	679.29	941.27	733.19	941.27	743.43	612.11	1295.13	941.27	764.36	511.0	1594.73	1605.83	1225.22	1268.46	397.93	400.71	363.56	1268.46	301.33	358.54	684.02	412.0	728.11	1088.92	1066.48	223.41	291.04	500.46	323.03	215.77	297.17	287.01	334.46	420.68	0.0	0.48	366.09	208.38	1605.83
DNHD1	25.54	16.75	77.25	47.5	86.43	143.01	78.89	47.17	169.07	143.01	93.35	115.16	157.68	218.79	105.89	77.79	115.97	68.07	67.12	140.04	85.22	145.02	55.89	93.35	102.97	171.45	82.87	60.82	120.94	36.79	49.56	51.71	131.51	73.03	94.01	56.68	109.66	97.36	50.98	181.28	68.55	53.19	53.95	58.3	18.84	14.24	12.93	23.42	15.68	0.0	1.06	90.77	7.46	275.28
DYNLRB2	1.51	35.25	138.1	30.56	26.1	94.01	22.1	41.52	158.79	214.27	74.06	43.63	102.97	260.38	13.72	36.79	41.52	61.25	76.71	13.42	43.63	780.44	30.56	57.08	18.43	525.39	119.26	241.19	133.36	5.68	36.27	0.83	423.61	2.81	9.06	8.19	30.34	28.04	96.68	24.11	16.15	11.91	16.88	3.76	0.0	3.86	9.06	13.32	0.0	0.0	0.0	112.77	7.82	785.88
EFHC1	62.12	152.28	293.07	145.02	131.51	414.87	212.78	87.65	348.71	414.87	231.32	241.19	281.09	438.59	165.57	199.85	215.77	269.6	283.05	218.79	120.1	525.39	212.78	144.01	124.37	612.11	500.46	379.04	232.94	80.57	217.27	175.07	361.04	55.49	62.56	134.3	82.29	221.86	234.57	239.52	98.73	50.27	118.43	94.67	53.19	36.53	22.1	53.95	55.89	0.0	0.22	204.07	164.42	500.46
EPC2	169.07	363.56	599.49	248.0	466.88	674.59	457.25	351.14	738.29	616.37	457.25	429.54	503.95	738.29	444.72	397.93	688.78	414.87	595.34	438.59	412.0	896.64	432.53	473.41	348.71	656.11	679.29	713.11	457.25	309.83	323.03	265.87	620.67	271.48	241.19	432.53	293.07	460.44	603.67	529.06	208.38	206.94	395.18	312.0	186.4	146.03	172.65	198.47	236.21	0.0	0.38	305.55	92.05	470.14
FABP4	36.53	313910.86	217400.14	365622.68	253213.41	92680.9	386469.83	394590.4	104996.83	68318.04	225066.78	348306.01	279017.26	24660.96	327241.36	358098.26	370726.6	263966.36	205673.01	489177.0	292889.12	2502.97	447025.24	716197.51	602247.76	825.0	198667.0	284880.02	324980.94	184082.4	345900.08	569761.05	130165.62	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	394590.4	263966.36	67.12	636586.81	292889.12	27.44	6840.04	143430.26	76330.98	160252.91	0.0	0.15	408505.64	3564.78	114103.8
FAM171B	11.64	73.03	104.42	43.02	58.71	180.02	70.51	26.47	198.47	221.86	94.67	94.67	132.44	271.48	67.59	42.41	134.3	78.34	131.51	78.34	49.56	180.02	59.13	132.44	61.25	346.29	205.5	177.53	100.83	10.24	35.25	42.71	246.28	10.24	19.11	18.03	68.07	55.49	111.21	99.43	67.59	9.06	33.3	28.04	15.45	36.53	7.11	15.0	23.42	37.05	60.39	30.78	10.08	791.35
FMR1	441.64	395.18	503.95	241.19	470.14	629.35	529.06	363.56	764.36	629.35	536.45	486.75	555.41	708.18	540.19	497.0	595.34	551.56	563.18	532.74	476.71	860.08	395.18	500.46	307.69	599.49	753.83	532.74	551.56	251.48	320.8	348.71	693.58	309.83	236.21	343.89	409.15	476.71	551.56	620.67	713.11	403.5	400.71	229.72	356.05	361.04	583.07	353.59	269.6	0.0	0.73	395.18	265.87	1259.69
GLTSCR1L	49.21	132.44	285.03	111.21	218.79	438.59	295.11	131.51	473.41	414.87	264.03	249.73	305.55	486.75	275.28	204.07	334.46	260.38	406.31	255.0	232.94	571.05	277.2	356.05	212.78	543.96	490.14	591.22	314.17	121.79	175.07	143.01	381.68	106.63	133.36	130.6	169.07	241.19	341.51	358.54	67.59	110.43	215.77	153.34	89.51	67.12	94.67	72.52	107.38	63.0	57.08	84.04	15.11	348.71
GOLGA8R	1.22	15.22	22.43	22.43	62.12	55.49	28.86	16.51	63.0	100.83	69.52	43.02	34.02	74.06	42.11	77.79	43.02	72.01	36.79	37.05	87.65	102.97	1.36	88.88	10.96	70.51	70.51	64.8	65.26	24.11	12.45	23.93	47.17	25.35	34.75	22.75	69.03	43.94	25.17	93.35	13.42	7.82	25.17	36.01	4.43	4.13	4.66	7.4	8.38	0.0	0.52	43.32	0.0	163.28
GPRASP1	1.83	84.63	116.78	81.71	155.5	295.11	88.26	81.14	303.44	251.48	211.31	170.25	228.13	406.31	121.79	98.04	229.72	151.22	220.32	147.06	126.12	511.0	82.29	127.0	41.22	248.0	197.09	223.41	195.72	18.29	58.3	49.91	289.02	27.64	31.45	73.03	191.67	106.63	182.55	339.14	11.55	8.19	51.71	57.49	4.21	10.79	8.99	4.31	5.36	0.0	0.31	63.0	0.71	1037.29
GPRASP2	30.34	183.82	248.0	211.31	264.03	457.25	153.34	161.02	358.54	400.71	301.33	281.09	409.15	507.46	197.09	211.31	336.79	226.54	366.09	242.88	199.85	878.17	182.55	314.17	112.77	848.22	540.19	444.72	395.18	79.45	135.24	234.57	559.28	51.35	120.1	143.01	358.54	211.31	232.94	397.93	151.22	29.91	92.7	88.26	29.7	22.1	52.08	35.76	76.17	0.0	0.28	88.26	6.11	1350.18
HECTD2	59.97	115.97	158.79	50.27	97.36	211.31	142.01	74.58	249.73	220.32	132.44	117.6	151.22	273.37	150.17	91.41	166.73	132.44	154.42	134.3	99.43	346.29	139.07	116.78	65.26	361.04	262.2	186.4	185.11	47.17	105.89	73.03	206.94	40.64	40.64	94.01	63.45	109.66	226.54	147.06	42.41	45.85	135.24	75.11	43.63	33.06	23.93	43.02	76.17	0.0	0.48	57.89	39.79	269.6
HGSNAT	206.94	813.63	1104.13	713.11	947.83	1208.34	1457.23	842.36	1304.15	1081.39	1073.91	1216.75	1127.35	1286.18	1331.57	1216.75	1216.75	1233.75	1208.34	1175.27	1030.12	1304.15	791.35	941.27	583.07	1487.87	1242.34	1159.07	1208.34	629.35	808.0	389.72	1651.0	785.88	808.0	1015.93	764.36	1191.69	1030.12	2555.58	490.14	211.31	1008.9	660.68	866.07	500.46	429.54	417.77	563.18	0.0	0.77	693.58	128.79	2701.35
HLF	2.97	96.68	638.15	180.02	540.19	896.64	295.11	483.38	599.49	819.3	444.72	651.58	713.11	733.19	275.28	457.25	497.0	242.88	348.71	1322.37	607.87	1008.9	417.77	283.05	80.01	674.59	660.68	583.07	753.83	202.66	41.52	12.0	567.1	16.51	38.95	126.12	45.85	145.02	412.0	218.79	1.91	3.2	142.01	65.26	17.25	13.12	14.14	78.34	50.63	0.0	0.13	29.06	2.32	1651.0
IQCK	106.63	334.46	507.46	204.07	232.94	441.64	295.11	193.01	540.19	486.75	384.34	329.84	336.79	591.22	223.41	281.09	287.01	426.57	457.25	283.05	195.72	669.92	323.03	214.27	255.0	708.18	463.65	371.22	295.11	133.36	358.54	241.19	830.75	111.99	185.11	291.04	279.14	579.04	318.57	825.0	157.68	63.45	332.14	190.34	53.95	80.01	55.1	40.07	94.01	0.0	0.22	178.77	76.71	1417.35
L3MBTL3	61.25	103.69	102.25	70.01	135.24	167.9	116.78	117.6	164.42	141.02	127.89	113.56	120.94	150.17	94.01	125.24	169.07	118.43	187.71	111.99	126.12	170.25	65.72	170.25	58.71	366.09	193.01	144.01	95.34	36.01	122.64	99.43	116.78	58.3	51.35	88.88	187.71	114.36	110.43	218.79	85.22	61.68	79.45	63.45	64.34	105.89	53.19	67.59	51.35	0.0	0.41	112.77	19.53	470.14
LCA5	18.03	89.51	131.51	57.49	124.37	163.28	128.79	71.0	244.57	228.13	111.21	111.99	177.53	262.2	87.65	87.65	167.9	102.25	202.66	100.83	91.41	387.02	112.77	193.01	89.51	521.76	325.29	256.78	163.28	65.72	87.03	53.19	218.79	26.1	57.08	59.13	82.29	106.63	149.12	201.25	31.67	12.55	43.32	26.47	18.97	18.97	4.28	9.93	30.34	0.0	0.14	44.89	8.19	297.17
LPAR4	0.6	28.24	8.58	4.98	8.51	30.56	12.55	6.31	18.7	14.35	16.27	21.78	25.17	24.28	11.3	23.59	31.0	11.55	23.59	21.16	7.63	65.26	8.92	18.56	1.22	61.25	42.41	16.51	6.46	1.17	5.06	4.46	37.05	1.45	3.66	0.0	6.84	5.87	9.41	20.71	1.57	0.67	9.56	3.89	3.0	8.25	2.46	0.0	2.43	0.0	0.0	0.99	1.16	127.0
LRP6	68.55	173.85	239.52	137.14	303.44	450.94	325.29	158.79	493.56	450.94	258.57	320.8	295.11	473.41	267.73	253.23	320.8	299.25	486.75	258.57	228.13	693.58	256.78	323.03	121.79	567.1	397.93	579.04	409.15	73.54	150.17	126.12	536.45	105.89	76.71	120.94	173.85	262.2	358.54	212.78	58.71	67.12	180.02	102.25	92.7	75.11	32.59	61.25	45.85	0.0	0.55	166.73	24.28	642.59
MAP3K4	220.32	258.57	356.05	234.57	327.56	447.82	309.83	258.57	555.41	483.38	392.44	332.14	363.56	547.75	258.57	277.2	356.05	371.22	429.54	339.14	283.05	733.19	325.29	356.05	228.13	543.96	647.07	387.02	285.03	169.07	285.03	303.44	563.18	154.42	136.19	187.71	332.14	361.04	543.96	403.5	353.59	224.97	264.03	170.25	260.38	273.37	212.78	312.0	325.29	0.0	0.78	260.38	99.43	785.88
MBTD1	65.72	115.97	258.57	91.41	251.48	379.04	201.25	177.53	389.72	363.56	212.78	187.71	279.14	356.05	146.03	157.68	363.56	215.77	320.8	248.0	154.42	679.29	205.5	253.23	132.44	540.19	511.0	307.69	346.29	128.79	148.09	109.66	384.34	80.57	115.16	175.07	133.36	241.19	309.83	267.73	61.68	66.18	138.1	87.03	59.13	57.08	82.29	99.43	57.89	83.45	84.04	141.02	46.18	291.04
MDM1	64.8	120.94	291.04	75.11	212.78	366.09	208.38	147.06	389.72	387.02	226.54	229.72	275.28	384.34	190.34	185.11	244.57	248.0	269.6	244.57	148.09	463.65	220.32	231.32	195.72	361.04	381.68	366.09	323.03	118.43	251.48	171.45	400.71	95.34	127.0	164.42	111.21	127.0	237.86	277.2	141.02	82.87	111.99	115.16	75.11	27.84	34.26	57.89	89.51	0.0	0.21	100.13	29.91	470.14
MFAP3L	5.45	33.06	176.29	26.28	63.89	199.85	41.22	49.56	258.57	191.67	105.89	50.63	155.5	159.9	43.63	66.65	105.15	57.08	269.6	28.24	48.18	260.38	48.18	136.19	48.52	323.03	172.65	323.03	116.78	43.63	25.35	42.41	348.71	35.25	32.59	56.28	76.17	95.34	96.01	21.94	4.62	9.41	50.98	55.49	5.02	9.78	19.25	23.93	29.7	0.0	0.0	19.68	27.05	1268.46
MLH3	180.02	205.5	293.07	183.82	204.07	423.61	358.54	166.73	395.18	392.44	346.29	241.19	224.97	529.06	239.52	218.79	201.25	346.29	339.14	198.47	190.34	669.92	202.66	305.55	190.34	441.64	358.54	299.25	309.83	299.25	255.0	246.28	540.19	373.81	150.17	279.14	211.31	307.69	312.0	353.59	100.13	202.66	173.85	199.85	186.4	111.21	122.64	156.59	186.4	0.0	0.39	209.84	117.6	660.68
MYLK4	4.78	4.94	13.93	5.23	8.85	15.22	8.99	8.19	24.28	21.94	20.11	9.85	11.21	20.86	7.22	9.63	9.63	10.88	14.78	16.27	10.0	24.63	9.7	8.19	3.59	20.56	30.12	17.64	23.76	11.55	11.13	2.48	24.81	4.82	4.62	18.97	3.23	9.48	23.25	36.01	5.54	6.21	14.67	7.28	7.17	1.39	4.43	8.85	6.41	0.0	0.16	12.09	2.01	69.52
NPAS3	0.31	21.78	40.07	17.0	11.47	53.95	32.36	13.32	65.26	44.25	32.59	34.75	36.53	85.22	25.35	23.76	45.21	34.02	46.5	34.02	17.13	120.94	16.63	39.5	8.78	90.77	35.0	94.01	94.67	12.27	7.11	6.16	111.21	5.73	8.45	20.86	31.45	20.86	51.71	47.17	7.4	1.62	10.47	6.41	0.99	1.03	3.76	1.31	2.18	0.0	0.12	11.3	0.0	435.55
NUDT17	32.82	57.49	85.82	65.26	75.11	120.1	48.87	88.26	84.63	112.77	73.54	81.14	97.36	135.24	42.41	85.22	92.05	71.0	81.71	90.14	55.1	204.07	46.5	63.45	23.76	208.38	115.97	113.56	87.03	35.0	49.91	64.34	143.01	31.22	70.01	51.35	99.43	73.03	84.04	55.89	62.56	34.75	40.64	32.36	15.68	18.56	31.9	36.53	37.05	0.0	0.33	39.79	39.79	201.25
PAIP2B	25.54	50.98	97.36	77.25	151.22	183.82	91.41	68.07	130.6	152.28	114.36	133.36	199.85	163.28	55.1	107.38	228.13	100.13	187.71	181.28	148.09	231.32	220.32	217.27	86.43	181.28	229.72	151.22	307.69	61.25	54.33	61.68	126.12	18.29	114.36	76.71	44.89	88.88	60.39	51.71	46.5	26.28	38.12	44.89	1.36	49.56	54.72	25.72	35.25	0.0	0.12	28.24	23.59	287.01
PCDH11X	0.0	0.73	1.85	1.77	1.27	17.13	1.17	0.79	7.06	3.56	7.17	2.12	5.5	7.69	2.51	1.99	2.18	2.68	2.81	4.17	3.17	11.13	0.73	5.87	1.77	3.44	2.71	17.77	1.55	0.72	1.57	0.0	10.0	0.0	0.29	0.0	3.86	1.58	2.68	4.82	0.0	0.39	3.32	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	39.5
PHF12	251.48	199.85	463.65	249.73	327.56	713.11	332.14	253.23	684.02	698.41	470.14	348.71	473.41	785.88	403.5	287.01	368.65	371.22	450.94	332.14	307.69	660.68	334.46	397.93	267.73	713.11	444.72	514.56	583.07	190.34	314.17	242.88	791.35	307.69	232.94	273.37	368.65	389.72	463.65	441.64	309.83	229.72	423.61	341.51	228.13	260.38	346.29	323.03	316.37	0.0	0.87	307.69	60.39	1331.57
PIGL	134.3	120.94	295.11	161.02	194.36	463.65	318.57	228.13	476.71	486.75	273.37	305.55	299.25	543.96	287.01	273.37	353.59	327.56	260.38	332.14	301.33	450.94	249.73	264.03	185.11	476.71	406.31	309.83	444.72	248.0	231.32	70.01	483.38	293.07	212.78	301.33	202.66	332.14	285.03	381.68	145.02	189.02	293.07	293.07	204.07	88.88	201.25	112.77	136.19	0.0	0.53	412.0	397.93	780.44
PLCB1	89.51	107.38	205.5	84.04	143.01	236.21	165.57	95.34	234.57	387.02	205.5	175.07	186.4	363.56	139.07	166.73	199.85	148.09	241.19	157.68	96.68	373.81	49.21	255.0	144.01	320.8	162.14	366.09	159.9	9.48	175.07	50.98	403.5	14.24	43.32	67.12	96.68	260.38	198.47	244.57	202.66	17.25	94.67	28.04	32.82	54.72	95.34	173.85	73.03	0.0	0.27	116.78	68.55	848.22
PLEKHH2	18.16	76.71	165.57	74.06	165.57	206.94	314.17	147.06	297.17	232.94	204.07	177.53	237.86	371.22	181.28	123.5	403.5	149.12	303.44	239.52	175.07	660.68	59.55	281.09	20.11	583.07	343.89	454.09	353.59	27.44	51.71	24.11	255.0	29.06	38.12	85.22	85.82	111.99	128.79	669.92	52.08	5.15	140.04	84.63	5.32	16.03	11.04	26.47	25.91	0.0	0.47	211.31	6.52	878.17
PPIL6	2.41	51.35	80.01	38.67	52.45	108.14	62.12	34.75	128.79	88.88	62.56	62.56	64.8	120.94	73.54	49.21	77.25	100.13	82.29	28.86	70.51	181.28	138.1	80.57	22.1	175.07	126.12	144.01	74.58	36.27	27.05	82.87	151.22	23.25	23.93	26.86	84.63	103.69	131.51	50.98	16.03	5.82	48.87	23.42	2.89	8.25	14.35	3.38	8.25	0.0	0.0	132.44	8.85	341.51
PPP1R32	7.22	52.08	62.12	55.49	44.89	78.34	39.79	36.53	88.88	85.22	71.0	53.57	56.68	110.43	29.7	52.08	59.97	55.89	38.4	43.32	48.18	108.9	44.57	17.77	25.72	86.43	96.01	66.65	102.97	27.64	24.99	12.18	68.55	36.01	22.26	51.35	44.57	74.06	77.25	80.01	24.11	12.83	53.57	31.0	11.64	17.13	5.32	17.0	35.25	0.0	0.24	107.38	13.83	150.17
