	TCGA.BC.A10U.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.13O3O.1826.SM.5IFGW	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.1192X.1126.SM.5EGGU	GTEX.131XH.0526.SM.5DUX7	GTEX.SN8G.1526.SM.4DM79	GTEX.13X6J.0826.SM.5LU32	GTEX.11DZ1.2726.SM.5A5KH	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.PLZ4.1226.SM.2I5FE
GLCCI1	49.56	45.21	57.49	13.83	51.35	0.0	0.32	84.04	75.64	102.25	61.25	85.22	61.25	124.37	130.6	2061.24	603.67	1437.15	403.5	1104.13	2627.46	802.41	3349.13
GPRIN2	10.39	30.12	3.41	9.7	2.68	0.0	0.26	40.36	11.91	32.13	61.68	29.06	26.28	50.63	90.14	329.84	153.34	99.43	76.71	155.5	223.41	191.67	99.43
GRIK5	4.98	7.51	9.63	0.88	4.17	0.0	0.41	379.04	287.01	137.14	172.65	253.23	226.54	211.31	323.03	684.02	665.29	409.15	327.56	813.63	514.56	420.68	713.11
HELQ	87.65	100.83	130.6	50.98	94.01	0.0	0.01	215.77	133.36	246.28	236.21	189.02	185.11	221.86	214.27	379.04	318.57	314.17	287.01	384.34	295.11	237.86	400.71
HIATL2	62.56	34.26	32.36	18.29	33.78	0.0	0.37	153.34	89.51	67.59	75.64	85.22	101.54	110.43	103.69	271.48	145.02	172.65	87.03	147.06	124.37	112.77	181.28
IKBKAP	177.53	209.84	106.63	138.1	208.38	0.0	0.6	353.59	314.17	351.14	348.71	299.25	323.03	361.04	497.0	423.61	429.54	620.67	403.5	532.74	447.82	438.59	684.02
KIAA0430	239.52	267.73	176.29	126.12	218.79	0.0	0.6	728.11	493.56	684.02	521.76	723.08	638.15	738.29	616.37	941.27	723.08	718.08	764.36	769.69	679.29	764.36	1088.92
LCA5	16.27	17.0	12.09	3.72	8.65	0.0	0.14	98.04	59.97	145.02	84.04	112.77	97.36	156.59	98.73	301.33	110.43	155.5	119.26	271.48	76.71	103.69	429.54
LETMD1	693.58	896.64	665.29	599.49	1008.9	878.17	1135.2	1242.34	1044.52	1199.98	1073.91	1313.23	1183.45	1331.57	1617.0	2573.36	1794.29	2835.7	1923.14	2400.97	2451.44	1733.13	2875.3
LTA4H	529.06	743.43	607.87	305.55	521.76	0.0	0.39	1259.69	1111.82	1487.87	1794.29	1015.93	1073.91	1304.15	1295.13	2537.92	1745.2	1806.78	1733.13	2627.46	1769.57	1572.76	2720.15
MBTPS1	575.03	583.07	532.74	307.69	954.43	819.3	108.14	1388.16	1199.98	1199.98	1199.98	1242.34	1369.04	1359.57	1135.2	2104.58	1832.01	1519.15	2004.85	1896.65	1936.53	1806.78	1857.6
MCM3AP	403.5	454.09	336.79	198.47	563.18	0.0	1.03	738.29	791.35	698.41	775.05	860.08	775.05	808.0	981.29	928.3	1066.48	1159.07	988.12	860.08	934.76	934.76	1151.06
MRPL10	438.59	624.99	414.87	454.09	579.04	0.0	0.51	1191.69	595.34	884.29	825.0	802.41	866.07	791.35	995.0	1388.16	988.12	1199.98	934.76	1304.15	1259.69	860.08	1437.15
NPRL3	271.48	309.83	314.17	237.86	329.84	0.0	0.49	497.0	555.41	529.06	379.04	518.15	638.15	595.34	638.15	1059.11	703.28	941.27	753.83	1081.39	1015.93	753.83	1167.14
PI4KB	420.68	493.56	358.54	279.14	271.48	0.0	1.03	1127.35	1023.0	954.43	1073.91	1127.35	1044.52	1001.93	1417.35	1447.15	1529.73	1757.34	1417.35	1295.13	2032.85	1583.71	1781.89
SALL4	6.11	17.51	0.79	7.63	1.31	0.0	0.22	9.93	33.54	16.39	15.0	16.03	29.7	52.45	59.97	323.03	50.27	343.89	120.1	262.2	186.4	136.19	547.75
SEMG1	0.59	0.51	0.0	0.0	11.21	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNED1	64.8	61.25	26.86	57.08	40.36	0.0	0.72	267.73	97.36	155.5	97.36	139.07	129.69	154.42	255.0	1936.53	334.46	1295.13	571.05	1030.12	1073.91	616.37	2520.38
SPATS2	71.5	111.21	66.18	12.36	190.34	0.0	0.6	204.07	231.32	253.23	208.38	194.36	197.09	339.14	239.52	470.14	320.8	403.5	312.0	414.87	392.44	314.17	409.15
TAF4B	12.45	4.78	2.29	10.96	15.68	0.0	0.32	28.86	16.88	21.16	25.35	26.28	16.27	30.12	32.13	69.52	33.3	59.97	42.41	57.89	50.63	34.75	90.77
TAF5	30.56	33.54	32.82	12.36	25.72	0.0	0.12	52.08	22.43	32.82	32.36	48.87	33.3	46.18	48.52	47.17	42.71	63.45	54.33	51.35	50.98	40.36	61.25
TMEM121	28.24	10.0	2.05	16.88	22.26	0.0	0.27	87.65	52.08	59.55	51.35	52.82	64.34	33.78	64.8	131.51	80.01	83.45	66.65	163.28	53.19	65.26	55.89
TMEM54	217.27	450.94	173.85	80.01	1167.14	0.0	0.43	1628.26	1331.57	1313.23	1628.26	1369.04	1457.23	1769.57	2351.53	2367.9	1540.37	1674.06	1572.76	3060.45	2400.97	1651.0	2104.58
TUB	12.93	6.26	8.85	0.0	0.0	0.0	0.46	158.79	43.63	110.43	80.57	115.97	78.34	137.14	199.85	480.04	260.38	775.05	195.72	525.39	224.97	246.28	769.69
UAP1L1	13.22	36.27	35.0	4.17	9.13	0.0	0.56	157.68	162.14	105.15	95.34	194.36	169.07	165.57	429.54	429.54	195.72	307.69	269.6	262.2	575.03	199.85	587.13
UGT2B11	11.13	12.64	3.32	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	41.81	46.84	55.1	19.97	64.34	15.45	16.39	53.19
VSIG10	153.34	181.28	90.77	116.78	162.14	299.25	819.3	293.07	353.59	339.14	323.03	351.14	258.57	318.57	470.14	1015.93	514.56	629.35	420.68	703.28	521.76	351.14	988.12
WBSCR27	22.1	61.68	8.06	2.94	16.63	0.0	0.0	81.71	59.55	81.14	297.17	146.03	60.39	115.97	246.28	211.31	237.86	473.41	57.49	620.67	339.14	69.52	543.96
XPC	305.55	500.46	206.94	217.27	236.21	0.0	0.65	921.88	612.11	884.29	813.63	785.88	759.08	785.88	808.0	1044.52	941.27	1183.45	808.0	1073.91	1023.0	842.36	1242.34
XRCC1	197.09	209.84	177.53	80.01	204.07	0.0	0.61	791.35	656.11	525.39	603.67	607.87	665.29	669.92	738.29	1250.98	954.43	860.08	713.11	928.3	1096.5	915.51	848.22
ZDHHC1	98.04	131.51	53.57	14.24	223.41	0.0	0.4	490.14	234.57	384.34	332.14	291.04	373.81	395.18	432.53	1977.24	947.83	1143.1	718.08	1369.04	1066.48	780.44	1286.18
ZFAND1	511.0	629.35	325.29	389.72	412.0	0.0	0.71	703.28	651.58	748.61	728.11	703.28	669.92	928.3	759.08	1639.59	1250.98	1397.83	1051.79	1447.15	1331.57	1059.11	2133.97
ZNF33B	58.71	104.42	48.18	23.08	51.35	0.0	0.16	214.27	186.4	299.25	248.0	285.03	269.6	273.37	269.6	559.28	353.59	463.65	341.51	480.04	368.65	297.17	738.29
ZNF497	17.51	25.54	14.56	5.15	24.63	0.0	0.13	26.1	65.26	49.56	61.25	38.4	28.86	55.49	66.18	139.07	117.6	116.78	71.0	126.12	103.69	111.99	96.68
ZNF544	180.02	149.12	163.28	37.05	490.14	0.0	0.42	435.55	389.72	420.68	366.09	339.14	325.29	417.77	463.65	842.36	507.46	571.05	497.0	769.69	447.82	381.68	669.92
ZNF765	31.22	30.56	16.63	12.83	50.63	0.0	0.15	58.71	44.25	76.17	56.28	75.11	66.18	75.64	134.3	138.1	94.01	108.9	78.89	180.02	96.68	92.05	162.14
ZNF793	9.93	8.45	8.99	4.1	10.31	0.0	0.54	70.01	39.79	53.57	46.84	56.68	37.32	71.5	81.71	173.85	156.59	157.68	113.56	162.14	149.12	144.01	226.54
