	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.VS.A8EH.01A.11R.A36F.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.67.3771.01A.01R.0946.07	TCGA.55.A4DF.01A.11R.A24H.07	TCGA.05.4384.01A.01R.1755.07	TCGA.05.4422.01A.01R.1206.07	TCGA.86.8358.01A.11R.2326.07	TCGA.55.7995.01A.11R.2187.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.145MF.0726.SM.5Q5BT	TCGA.22.5485.01A.01R.1635.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.46.3768.01A.01R.0980.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.33.6738.01A.11R.1949.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.22.5473.01A.01R.1635.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	GTEX.11DXX.1326.SM.5GIDZ	TCGA.BJ.A28X.11A.11R.A22L.07
CCR5	21.63	152.28	1.51	14.45	3.26	7.82	4.74	14.24	13.22	16.27	11.82	2.34	5.73	190.34	12.36	153.34	41.81	7.11	47.5	68.07	95.34	194.36	85.22	147.06	62.12	312.0	48.18	165.57	82.29	152.28	67.59	45.53	26.28	45.53	28.45	66.18	6.31	24.99	26.28	24.99	43.32	35.25	4.13	220.32	111.21	129.69	201.25
CCRL2	29.27	75.11	28.86	10.39	9.78	14.45	10.79	36.01	14.24	20.86	11.82	4.43	20.86	135.24	15.11	163.28	74.58	28.65	76.71	76.17	82.29	118.43	155.5	244.57	113.56	116.78	59.55	2047.0	1023.0	366.09	115.16	54.33	56.28	46.5	69.03	71.0	11.47	27.44	56.28	34.51	111.21	40.93	5.73	189.02	153.34	309.83	98.73
CD84	31.67	105.89	0.93	7.63	5.87	13.22	4.46	15.56	13.72	17.64	2.73	0.59	11.73	780.44	14.35	171.45	40.64	7.46	72.01	147.06	224.97	214.27	206.94	205.5	76.17	318.57	39.5	38.67	105.15	299.25	265.87	45.21	40.07	61.25	86.43	96.01	6.52	31.9	40.07	16.51	106.63	37.59	1.79	336.79	579.04	199.85	205.5
CHFR	457.25	551.56	368.65	244.57	256.78	260.38	384.34	239.52	329.84	197.09	35.0	299.25	353.59	1037.29	218.79	607.87	348.71	348.71	185.11	529.06	629.35	555.41	412.0	463.65	669.92	500.46	256.78	309.83	356.05	444.72	536.45	426.57	260.38	246.28	420.68	400.71	134.3	346.29	260.38	295.11	395.18	277.2	255.0	536.45	660.68	967.76	514.56
CLCN6	136.19	150.17	125.24	93.35	113.56	115.97	103.69	80.57	108.14	46.5	78.89	88.88	80.57	521.76	152.28	167.9	146.03	94.01	137.14	65.26	223.41	242.88	234.57	113.56	183.82	237.86	89.51	141.02	112.77	301.33	202.66	80.57	48.18	77.79	57.89	77.25	56.28	94.67	48.18	59.97	99.43	47.5	33.78	229.72	351.14	204.07	336.79
CREBL2	463.65	444.72	201.25	291.04	228.13	395.18	137.14	279.14	293.07	373.81	145.02	161.02	197.09	567.1	348.71	567.1	301.33	275.28	796.86	316.37	454.09	665.29	819.3	825.0	406.31	791.35	454.09	1001.93	1175.27	1369.04	718.08	281.09	301.33	395.18	447.82	384.34	314.17	329.84	301.33	454.09	363.56	420.68	224.97	728.11	808.0	236.21	954.43
CYTH4	137.14	297.17	16.15	28.45	16.88	64.8	28.65	55.89	58.3	53.57	92.7	9.34	44.57	836.53	98.04	323.03	116.78	38.95	178.77	283.05	258.57	353.59	295.11	384.34	175.07	563.18	84.63	587.13	327.56	242.88	432.53	131.51	157.68	185.11	89.51	165.57	33.54	109.66	157.68	61.25	177.53	127.89	20.26	493.56	791.35	363.56	669.92
DMXL2	242.88	351.14	532.74	134.3	265.87	195.72	24.99	150.17	153.34	83.45	89.51	117.6	190.34	1088.92	151.22	708.18	307.69	264.03	334.46	1295.13	802.41	1023.0	536.45	518.15	954.43	1073.91	684.02	353.59	785.88	432.53	764.36	183.82	156.59	320.8	232.94	248.0	226.54	167.9	156.59	69.52	265.87	173.85	25.17	684.02	866.07	480.04	532.74
DOCK2	84.04	251.48	10.24	33.06	26.28	62.12	15.22	63.89	42.41	47.17	21.94	7.34	26.1	1015.93	55.49	412.0	105.15	30.78	116.78	265.87	260.38	346.29	269.6	309.83	129.69	473.41	123.5	555.41	1199.98	796.86	1066.48	106.63	68.55	146.03	100.13	204.07	24.81	73.03	68.55	57.49	147.06	73.54	22.75	830.75	1286.18	249.73	688.78
EIF4E3	142.01	145.02	23.93	128.79	90.77	100.13	31.0	102.97	116.78	60.39	21.16	55.49	49.91	178.77	14.89	153.34	134.3	78.89	241.19	65.26	132.44	271.48	265.87	208.38	307.69	154.42	204.07	480.04	232.94	241.19	454.09	53.95	75.11	142.01	105.89	141.02	10.88	48.87	75.11	102.97	167.9	74.58	291.04	312.0	320.8	178.77	403.5
FAM122C	37.85	43.02	33.3	34.02	26.67	81.71	27.25	46.84	38.12	25.91	21.47	15.68	24.46	111.21	55.49	91.41	60.82	82.29	50.98	62.12	59.55	163.28	92.7	79.45	153.34	140.04	53.57	76.17	57.08	61.68	95.34	33.54	88.26	55.1	46.5	93.35	44.57	39.5	88.26	78.89	50.98	47.84	11.3	141.02	138.1	74.58	121.79
FAM179A	4.86	32.59	20.41	5.54	5.5	14.03	3.17	9.34	6.06	3.79	0.73	3.38	4.1	38.12	13.42	48.18	49.56	2.86	20.26	31.22	16.75	44.25	28.86	41.81	41.22	50.63	13.62	507.46	72.52	140.04	698.41	4.86	7.0	5.59	4.06	12.36	8.06	6.89	7.0	7.34	8.45	8.13	8.58	64.8	42.11	20.56	61.68
FAM65B	33.78	88.26	17.0	14.56	9.7	14.45	7.94	9.7	9.34	13.93	2.89	2.92	13.32	723.08	9.7	111.21	56.68	31.22	47.5	138.1	75.11	173.85	297.17	108.14	281.09	221.86	45.53	339.14	343.89	251.48	139.07	25.54	43.94	73.03	33.54	108.14	40.93	25.54	43.94	14.78	66.18	61.68	27.05	567.1	1857.6	228.13	642.59
FAM78A	27.25	87.65	8.38	13.12	10.0	15.0	8.25	17.64	21.16	16.63	15.56	9.93	45.21	314.17	18.29	144.01	54.72	7.82	63.89	69.03	70.01	106.63	103.69	117.6	62.12	206.94	31.0	842.36	363.56	295.11	43.63	48.87	28.24	50.98	45.21	61.68	9.13	53.19	28.24	20.56	46.84	27.25	14.78	195.72	403.5	185.11	316.37
FCRL6	5.15	34.51	0.6	3.44	1.62	0.92	0.0	2.18	1.2	3.96	0.0	0.0	1.75	163.28	3.03	41.52	16.88	3.82	12.0	50.27	18.56	37.85	70.51	61.68	30.34	108.14	16.27	466.88	37.59	135.24	56.28	6.36	11.13	8.65	11.13	15.68	2.84	3.23	11.13	2.25	12.83	9.34	1.13	114.36	59.55	8.85	96.68
FGD2	61.68	361.04	15.91	27.44	42.41	57.49	31.67	60.39	101.54	19.53	38.4	9.78	18.84	2148.82	57.89	265.87	77.79	77.25	115.97	159.9	258.57	264.03	260.38	283.05	166.73	435.55	63.45	463.65	1551.09	607.87	293.07	87.65	62.56	104.42	77.25	157.68	16.03	34.75	62.56	78.89	145.02	39.22	32.36	536.45	1143.1	463.65	665.29
FLT1	80.57	48.87	138.1	62.56	24.28	29.27	32.82	53.19	29.06	175.07	29.91	17.25	70.51	563.18	35.5	85.82	197.09	78.34	74.58	64.34	253.23	271.48	153.34	98.73	182.55	191.67	205.5	199.85	314.17	236.21	466.88	119.26	26.86	67.12	82.29	42.41	78.34	57.89	26.86	18.84	45.21	59.97	18.84	358.54	409.15	147.06	473.41
GAB3	24.46	62.12	2.12	5.92	5.54	12.64	2.89	8.45	11.64	13.32	3.44	2.39	8.51	285.03	18.84	89.51	24.28	11.73	23.59	72.01	46.84	98.04	73.03	79.45	83.45	94.01	21.16	185.11	483.38	164.42	48.87	32.82	18.7	46.18	23.59	46.18	32.59	15.22	18.7	11.55	41.52	41.52	9.48	131.51	183.82	95.34	198.47
GABRR2	1.06	26.28	0.0	2.43	1.31	0.32	0.96	0.95	3.92	0.73	0.62	0.0	1.33	31.9	5.28	6.06	5.63	11.47	1.93	3.53	100.13	21.16	12.0	13.12	13.93	15.91	3.5	4.31	3.5	1.55	2.23	4.7	9.93	7.06	4.58	4.21	2.25	2.81	9.93	3.72	6.89	1.28	0.13	18.7	17.25	9.27	18.97
GNG2	53.95	114.36	57.89	48.52	98.73	56.68	78.89	28.04	38.67	145.02	37.85	136.19	56.68	463.65	71.5	264.03	121.79	33.54	126.12	108.9	177.53	158.79	185.11	141.02	279.14	224.97	136.19	624.99	148.09	267.73	150.17	55.1	81.14	98.73	49.21	183.82	21.78	84.63	81.14	46.84	87.65	44.89	36.01	684.02	759.08	204.07	450.94
HCG27	13.52	93.35	17.9	2.81	8.45	13.62	8.25	17.38	9.48	1.38	3.56	3.59	16.39	521.76	10.96	95.34	21.01	43.94	34.51	46.18	92.05	228.13	39.79	130.6	194.36	163.28	18.56	53.19	80.57	27.44	48.52	16.51	22.59	30.78	10.39	9.27	13.72	17.9	22.59	16.88	13.42	8.25	0.0	69.03	141.02	48.87	167.9
IFFO1	101.54	185.11	22.26	27.84	26.67	55.89	23.59	58.3	37.32	72.01	23.59	16.27	80.57	1477.58	318.57	316.37	105.89	48.52	107.38	46.18	218.79	269.6	248.0	242.88	180.02	332.14	65.72	599.49	753.83	409.15	77.25	57.49	43.63	117.6	98.04	104.42	20.86	56.28	43.63	38.95	73.54	62.56	31.0	258.57	381.68	236.21	543.96
IKZF1	30.34	156.59	3.32	15.91	19.97	18.29	5.11	17.13	14.35	35.5	9.48	3.03	8.92	551.56	18.97	167.9	52.82	13.52	50.63	138.1	151.22	167.9	105.89	181.28	75.64	255.0	64.34	403.5	211.31	363.56	493.56	40.07	40.07	88.88	72.01	130.6	14.45	50.63	40.07	35.0	84.63	41.22	3.82	563.18	1407.55	525.39	432.53
IKZF4	62.56	85.22	61.25	70.51	53.19	63.89	24.63	38.67	36.79	26.28	21.78	24.63	30.34	116.78	37.05	77.79	63.0	55.89	55.89	91.41	96.68	134.3	139.07	150.17	141.02	120.1	39.79	150.17	96.01	186.4	208.38	45.85	20.86	45.53	37.05	49.21	37.59	25.54	20.86	25.35	58.3	32.82	26.28	128.79	267.73	81.71	211.31
IL10RA	155.5	358.54	11.13	21.94	15.34	53.57	16.15	53.19	43.02	82.87	25.54	4.98	38.67	1697.45	91.41	591.22	167.9	57.49	189.02	363.56	503.95	532.74	406.31	543.96	305.55	848.22	149.12	848.22	1233.75	769.69	785.88	142.01	128.79	301.33	157.68	241.19	19.53	127.0	128.79	76.71	201.25	135.24	22.92	915.51	890.44	866.07	934.76
IL12RB1	31.9	94.01	10.16	17.25	4.24	12.64	9.13	24.11	13.42	18.43	15.45	1.13	9.85	221.86	41.81	129.69	36.01	7.22	40.93	69.03	87.65	85.22	47.5	120.1	56.68	175.07	28.86	309.83	514.56	325.29	154.42	36.01	46.18	55.49	24.81	61.68	4.74	25.72	46.18	18.16	47.5	33.54	5.87	139.07	255.0	198.47	157.68
IL18RAP	4.86	21.78	10.63	6.52	1.95	15.56	1.28	5.59	8.06	1.93	1.57	0.88	1.16	143.01	8.38	70.01	8.51	48.52	14.03	64.34	40.64	79.45	13.83	60.82	29.91	46.84	18.56	37.05	120.1	56.68	14.03	5.87	21.94	22.43	8.58	39.5	4.35	10.55	21.94	8.25	26.86	15.22	5.82	65.72	66.65	74.58	78.89
IPCEF1	34.75	30.56	1.81	52.45	2.92	20.11	4.1	20.41	7.0	7.28	3.72	0.67	8.92	87.03	4.1	80.57	40.07	25.72	9.7	60.82	53.19	43.02	76.17	57.49	40.36	48.18	23.93	43.94	11.55	16.75	75.64	11.73	22.92	23.93	10.16	30.12	16.75	15.68	22.92	16.39	15.22	14.35	10.16	102.97	289.02	94.67	397.93
JAK3	92.7	209.84	51.35	18.97	16.51	25.54	26.67	45.21	42.11	49.56	19.39	15.34	54.72	1159.07	14.89	447.82	102.97	62.12	92.7	175.07	389.72	426.57	149.12	262.2	159.9	629.35	94.67	178.77	105.15	50.98	117.6	59.13	102.25	144.01	65.72	167.9	23.59	208.38	102.25	43.02	96.68	73.03	21.32	543.96	1605.83	258.57	808.0
KCNA3	1.04	9.7	1.77	0.35	0.33	0.6	0.0	0.62	0.0	2.39	0.0	0.0	0.52	34.75	0.31	18.16	8.58	4.5	7.0	37.05	28.65	23.76	17.9	40.07	21.78	35.0	12.09	55.1	82.29	178.77	164.42	3.96	5.5	13.03	2.81	5.28	1.23	5.96	5.5	3.69	11.21	4.43	0.0	163.28	183.82	137.14	90.77
KLHL3	31.45	49.56	49.21	55.1	19.97	7.0	16.75	26.1	23.42	31.45	2.34	0.56	26.1	145.02	17.25	78.34	19.53	13.22	15.91	59.97	46.84	157.68	70.51	57.08	54.33	78.89	29.48	53.57	25.72	54.33	27.44	24.63	15.34	21.16	18.97	36.53	40.07	14.78	15.34	12.18	18.56	31.22	10.39	82.29	185.11	82.87	256.78
KLRB1	18.16	55.1	2.39	9.63	4.82	31.22	2.84	5.59	28.04	11.73	2.58	6.62	7.0	165.57	42.41	130.6	30.78	37.05	84.63	99.43	172.65	128.79	69.03	239.52	43.63	87.03	84.63	153.34	48.18	194.36	209.84	15.56	86.43	68.07	39.79	102.97	4.39	62.12	86.43	38.95	63.0	14.45	1.45	457.25	159.9	260.38	269.6
LAT	181.28	395.18	149.12	76.71	68.07	124.37	56.68	115.97	244.57	71.5	44.57	16.63	169.07	995.0	48.18	454.09	134.3	189.02	159.9	178.77	253.23	518.15	244.57	441.64	493.56	723.08	94.67	1259.69	503.95	674.59	234.57	102.25	198.47	198.47	120.1	312.0	66.65	186.4	198.47	63.0	221.86	124.37	26.86	802.41	1498.22	217.27	1991.0
LILRB1	38.95	205.5	7.82	13.52	13.32	20.71	11.73	32.13	12.64	22.92	13.93	3.96	6.46	1096.5	56.68	232.94	72.52	25.17	60.82	165.57	303.44	287.01	189.02	231.32	127.89	547.75	47.84	473.41	221.86	146.03	176.29	85.82	71.5	103.69	44.89	105.89	13.32	45.21	71.5	31.0	87.03	43.32	1.1	283.05	595.34	295.11	497.0
MADD	616.37	514.56	351.14	327.56	242.88	260.38	177.53	291.04	223.41	289.02	189.02	197.09	169.07	866.07	244.57	511.0	327.56	137.14	277.2	275.28	463.65	988.12	500.46	480.04	1331.57	947.83	423.61	769.69	497.0	420.68	299.25	486.75	98.04	265.87	307.69	277.2	202.66	214.27	98.04	273.37	316.37	258.57	182.55	961.07	1340.84	825.0	842.36
MAP4K1	90.77	412.0	28.04	49.91	40.07	55.49	20.56	77.25	90.14	68.07	27.44	21.94	56.28	2047.0	32.82	454.09	85.22	161.02	84.63	173.85	368.65	441.64	112.77	412.0	780.44	698.41	102.97	297.17	532.74	205.5	201.25	114.36	111.99	255.0	334.46	339.14	72.01	232.94	111.99	148.09	183.82	312.0	25.91	808.0	1322.37	713.11	890.44
MICAL1	241.19	511.0	287.01	147.06	444.72	178.77	123.5	253.23	173.85	231.32	153.34	81.71	215.77	2956.17	182.55	1340.84	307.69	327.56	332.14	497.0	500.46	902.89	941.27	769.69	947.83	878.17	137.14	406.31	2032.85	1119.56	599.49	189.02	74.58	226.54	217.27	316.37	77.79	130.6	74.58	105.15	251.48	176.29	103.69	988.12	1350.18	1199.98	1508.65
MYO1F	151.22	348.71	69.52	38.67	34.75	76.71	30.34	82.87	71.5	67.12	36.01	10.79	59.13	1216.75	81.14	603.67	190.34	76.17	152.28	351.14	397.93	460.44	521.76	536.45	255.0	921.88	152.28	909.17	1175.27	693.58	336.79	185.11	82.87	208.38	121.79	199.85	36.79	113.56	82.87	77.25	173.85	116.78	28.24	748.61	1001.93	490.14	836.53
N4BP2L1	182.55	120.94	117.6	143.01	98.04	215.77	18.84	106.63	158.79	115.16	33.54	5.11	87.03	1066.48	152.28	271.48	102.25	153.34	99.43	173.85	218.79	647.07	279.14	279.14	318.57	358.54	85.82	842.36	563.18	514.56	1216.75	109.66	262.2	176.29	150.17	279.14	54.72	143.01	262.2	221.86	218.79	86.43	162.14	486.75	444.72	215.77	703.28
NAALAD2	5.54	11.47	1.51	5.19	8.99	6.01	5.68	8.99	1.83	5.5	0.87	1.23	1.17	38.4	9.41	15.11	5.32	4.58	8.06	18.16	15.11	10.08	12.45	14.56	16.03	10.88	11.73	49.21	24.99	23.08	19.25	3.79	3.08	6.26	4.03	11.38	6.52	1.71	3.08	4.1	3.2	2.12	2.89	67.12	37.32	17.13	24.63
NAALADL1	88.88	109.66	19.11	33.78	27.64	72.01	17.51	39.79	15.45	60.39	26.28	9.06	74.58	327.56	144.01	134.3	64.8	125.24	190.34	94.67	301.33	193.01	119.26	98.04	62.56	141.02	57.89	769.69	307.69	170.25	52.45	52.45	102.25	121.79	36.01	75.11	42.71	60.39	102.25	23.59	80.01	116.78	48.52	150.17	176.29	258.57	269.6
NAIP	75.11	206.94	70.01	98.73	59.97	57.89	28.24	24.99	84.04	46.5	39.22	6.01	41.22	753.83	63.89	246.28	94.01	119.26	221.86	638.15	195.72	348.71	384.34	232.94	346.29	226.54	76.71	147.06	220.32	113.56	98.73	134.3	113.56	142.01	57.08	113.56	62.56	42.71	113.56	22.92	107.38	56.68	49.56	769.69	460.44	241.19	603.67
NHLRC3	226.54	389.72	343.89	144.01	305.55	239.52	117.6	241.19	180.02	127.89	59.13	45.85	92.05	848.22	236.21	450.94	223.41	166.73	265.87	518.15	934.76	616.37	460.44	389.72	307.69	371.22	244.57	318.57	547.75	660.68	511.0	125.24	269.6	139.07	316.37	420.68	172.65	154.42	269.6	126.12	176.29	169.07	67.12	595.34	387.02	269.6	575.03
P2RY8	7.57	23.93	15.0	4.82	1.62	2.41	1.28	5.87	1.83	9.2	1.83	1.17	5.45	105.15	15.45	38.4	11.38	5.36	12.64	13.42	32.59	28.86	21.32	41.22	22.1	59.97	10.71	77.25	67.12	52.82	19.39	4.17	8.38	23.08	9.27	15.22	1.45	14.78	8.38	4.74	13.32	7.06	1.22	114.36	212.78	121.79	246.28
PBX4	27.05	34.02	279.14	18.03	35.5	30.78	29.7	57.08	39.79	20.26	40.64	44.89	58.71	281.09	43.32	260.38	69.03	124.37	23.25	76.71	74.06	150.17	59.97	70.51	121.79	117.6	81.71	157.68	96.68	54.33	76.17	10.31	80.57	44.57	13.32	33.78	11.91	34.26	80.57	8.19	18.43	33.78	10.79	291.04	669.92	125.24	1051.79
PIK3R5	38.95	92.7	14.67	7.69	17.13	20.56	6.36	22.43	21.47	24.46	16.15	2.71	14.03	559.28	15.56	256.78	65.26	21.94	66.65	80.01	249.73	127.0	186.4	153.34	135.24	228.13	53.57	104.42	813.63	376.41	175.07	62.56	22.92	69.03	96.68	69.52	10.88	49.91	22.92	33.3	74.06	37.85	24.63	281.09	532.74	373.81	348.71
PLCB2	122.64	397.93	117.6	74.58	38.12	97.36	39.79	94.67	152.28	99.43	40.93	17.77	173.85	2875.3	96.01	599.49	183.82	48.52	158.79	209.84	332.14	866.07	1044.52	1151.06	400.71	915.51	220.32	1447.15	2148.82	698.41	460.44	166.73	108.9	223.41	82.29	218.79	84.63	178.77	108.9	68.55	175.07	130.6	31.0	665.29	1216.75	463.65	1350.18
