	TCGA.CK.4948.01B.11R.1653.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.WFJO.0326.SM.3GIL3	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.147F3.0726.SM.5NQ9U	GTEX.13VXT.1426.SM.5LU4B	GTEX.WRHU.0226.SM.3MJFV	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.13OW8.1726.SM.5L3GO	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.EO.A3B0.01A.12R.A19W.07
MRPL12	5672.41	0.27	1051.79	921.88	2417.67	2104.58	684.02	1936.53	563.18	1508.65	1417.35	2047.0	1685.71	872.1	1073.91	2004.85	791.35	1572.76	713.11	708.18	1151.06	511.0	629.35	1143.1	1896.65	3168.41	318.57	791.35	1350.18	2400.97	2573.36	1427.22	1583.71	785.88	457.25	1119.56	759.08	4181.07
MRPL27	2777.33	0.0	1417.35	1477.58	2255.7	2209.26	1277.29	2271.4	470.14	2004.85	1896.65	2119.22	2047.0	1313.23	1572.76	2163.77	1183.45	2032.85	842.36	1397.83	1447.15	547.75	1023.0	1721.16	1936.53	2935.74	540.19	1331.57	1896.65	2627.46	2119.22	1794.29	1397.83	1572.76	674.59	1191.69	921.88	2720.15
MRPL52	4481.23	1250.98	1477.58	1467.37	5112.16	4639.29	1322.37	3540.14	884.29	2875.3	2835.7	2915.45	3372.43	2075.59	2627.46	3395.89	1651.0	2682.69	1508.65	1909.85	2104.58	1111.82	1104.13	2417.67	3168.41	6792.79	796.86	2104.58	3257.52	5633.22	4802.93	3589.58	2287.2	1639.59	1250.98	2148.82	1594.73	7081.29
NDUFS6	2075.59	0.77	884.29	1233.75	2537.92	3018.3	915.51	2485.67	785.88	1977.24	1340.84	2178.83	1963.57	1008.9	2047.0	1745.2	884.29	2148.82	934.76	1487.87	1127.35	693.58	896.64	1769.57	2193.99	3716.2	277.2	1268.46	1561.89	3564.78	2178.83	1617.0	1583.71	775.05	878.17	620.67	878.17	2895.31
NHP2	6121.9	0.39	1781.89	1662.49	5403.7	3847.29	1388.16	3564.78	1950.0	2777.33	3103.19	3018.3	3103.19	1757.34	1963.57	3349.13	1304.15	2758.13	1963.57	1721.16	2468.49	1023.0	1427.22	1819.35	3349.13	5517.27	748.61	1819.35	2816.11	6164.49	4543.8	3124.78	2351.53	1628.26	1023.0	2609.3	1397.83	5219.6
NUDC	4298.64	0.66	1639.59	1639.59	3540.14	2816.11	1594.73	3146.52	1529.73	1551.09	1259.69	1819.35	2224.63	1216.75	1963.57	2997.45	1127.35	2163.77	1685.71	1277.29	2739.08	1313.23	1008.9	1794.29	2047.0	2796.65	842.36	1909.85	1819.35	4210.15	2335.28	1870.53	954.43	1127.35	1286.18	1135.2	1340.84	4481.23
PAFAH1B3	1104.13	0.27	329.84	379.04	713.11	759.08	289.02	909.17	73.03	575.03	521.76	603.67	457.25	201.25	381.68	1044.52	281.09	703.28	155.5	336.79	441.64	177.53	220.32	480.04	454.09	1175.27	153.34	376.41	567.1	723.08	941.27	444.72	387.02	231.32	212.78	323.03	167.9	4903.87
PDAP1	4972.34	376.41	2720.15	3124.78	5366.37	4736.79	2351.53	4210.15	1757.34	2956.17	2835.7	3794.3	3491.39	2303.12	3103.19	4239.45	1757.34	2609.3	2209.26	2758.13	3419.52	1617.0	2682.69	3639.7	3982.99	5041.77	934.76	1883.54	2997.45	5672.41	3395.89	3540.14	2303.12	2075.59	1832.01	2178.83	2609.3	5751.61
PFDN2	3589.58	0.6	1794.29	1233.75	2485.67	2384.37	1081.39	2119.22	2209.26	1561.89	1628.26	1977.24	1697.45	1457.23	1498.22	1617.0	1378.57	1388.16	3235.01	1242.34	1757.34	1159.07	759.08	1651.0	2875.3	2739.08	1322.37	1870.53	1529.73	3639.7	1977.24	1977.24	1313.23	1023.0	1304.15	1561.89	1044.52	4210.15
POP1	113.56	0.0	89.51	40.07	96.01	117.6	28.04	80.01	35.76	68.55	66.65	70.01	84.04	50.63	41.52	83.45	57.89	64.8	28.45	39.22	75.64	15.8	22.43	78.34	91.41	84.04	10.71	33.54	58.71	133.36	126.12	75.11	58.71	49.21	24.99	46.5	18.29	78.89
PPP1R14B	4066.71	0.35	921.88	748.61	3564.78	3039.3	718.08	2451.44	555.41	1923.14	1639.59	1977.24	2335.28	854.13	995.0	2875.3	928.3	1819.35	785.88	1044.52	1059.11	1088.92	679.29	836.53	2555.58	4836.35	915.51	974.5	1662.49	3168.41	4328.55	2018.8	1639.59	909.17	571.05	1369.04	571.05	3901.01
PSMA7	12076.21	1.28	3419.52	4095.0	9215.48	12502.12	2627.46	7485.11	3419.52	6887.62	7642.41	8778.97	7081.29	5112.16	5831.91	7331.05	4268.94	6983.79	5751.61	5633.22	4298.64	4181.07	3820.7	6652.97	10733.74	15499.21	2627.46	4481.23	5995.9	11992.79	8247.98	8022.41	8022.41	5329.3	5147.73	7589.61	3515.68	9673.69
RBM10	1051.79	0.87	387.02	429.54	1023.0	571.05	490.14	708.18	303.44	616.37	591.22	660.68	698.41	518.15	486.75	674.59	379.04	423.61	283.05	429.54	616.37	170.25	368.65	665.29	733.19	551.56	237.86	684.02	540.19	860.08	896.64	567.1	303.44	376.41	389.72	400.71	532.74	1259.69
RUVBL1	1745.2	0.47	665.29	587.13	1857.6	1369.04	497.0	2502.97	301.33	785.88	647.07	854.13	759.08	583.07	647.07	1437.15	438.59	961.07	483.38	392.44	1242.34	480.04	429.54	540.19	1119.56	1331.57	307.69	384.34	878.17	2627.46	1685.71	780.44	591.22	406.31	384.34	753.83	343.89	1674.06
RUVBL2	2133.97	0.35	1167.14	1175.27	2895.31	2178.83	1216.75	3190.46	738.29	1208.34	1331.57	1583.71	1437.15	941.27	1417.35	2682.69	995.0	1745.2	842.36	1023.0	2255.7	819.3	995.0	1159.07	1551.09	2335.28	441.64	1242.34	1806.78	2997.45	2367.9	1605.83	1216.75	743.43	684.02	1508.65	915.51	3716.2
SFTPB	2.53	50709.61	3383299.76	3049200.37	1864037.21	1556634.79	3290783.22	958220.73	2965819.8	1668359.93	1890058.21	1890058.21	1155430.26	2025714.3	1929772.37	2111737.85	2343119.96	2767207.65	3007221.12	1355129.16	2884719.27	1155430.26	1943195.01	3223059.86	2845004.48	381149.17	126606.21	3156730.23	5057523.59	762299.34	2493947.08	2068278.89	3245478.02	2359417.65	1255646.43	2546350.23	1656835.72	0.0
SLC52A2	4836.35	0.54	748.61	624.99	1819.35	1350.18	842.36	1467.37	669.92	1001.93	1059.11	1242.34	1037.29	612.11	713.11	1781.89	665.29	1096.5	595.34	748.61	988.12	503.95	547.75	896.64	1175.27	2075.59	185.11	769.69	1081.39	1639.59	2163.77	1322.37	796.86	836.53	490.14	718.08	483.38	2956.17
SLX4	65.72	0.39	69.03	34.75	53.57	76.17	45.53	70.01	23.08	78.89	59.13	82.29	84.63	49.21	64.34	69.03	43.02	85.82	14.24	50.27	73.03	25.91	39.5	49.56	78.34	60.39	21.16	29.7	57.08	96.01	92.05	63.0	53.95	25.35	24.28	36.01	47.17	98.73
SNRPG	4095.0	0.73	2119.22	2061.24	4481.23	6121.9	836.53	3928.15	1651.0	2240.11	3349.13	2018.8	3081.75	2855.44	3515.68	3874.05	1857.6	3060.45	2133.97	2417.67	2537.92	1030.12	961.07	3742.05	4736.79	6652.97	954.43	1225.22	3124.78	7433.4	3820.7	2816.11	2047.0	1225.22	1167.14	896.64	1427.22	4450.27
STOML2	4298.64	0.73	1605.83	1605.83	4181.07	3257.52	1268.46	3103.19	1295.13	1757.34	2485.67	3257.52	2119.22	1277.29	1794.29	3190.46	1583.71	2119.22	1088.92	1508.65	1857.6	769.69	1191.69	1936.53	2468.49	3665.02	412.0	1437.15	2520.38	4512.4	4388.98	2520.38	2224.63	1605.83	872.1	2075.59	1135.2	4419.52
TRIM28	9151.82	1.2	9088.59	3820.7	14765.09	5329.3	8538.88	8479.89	5006.93	5831.91	6471.02	8840.04	6745.86	3589.58	5147.73	13586.57	5292.48	8305.36	3190.46	3081.75	6561.36	3614.55	3257.52	5791.62	6699.25	8363.13	3690.52	4038.61	6164.49	9540.5	16383.0	6935.54	1781.89	2816.11	2956.17	2701.35	3395.89	13968.57
TRMT112	7433.4	444.72	3928.15	5633.22	6652.97	7180.15	4239.45	6607.01	1594.73	5751.61	5913.33	5183.54	5913.33	4268.94	4181.07	4869.99	3742.05	5112.16	5555.65	4639.29	5594.3	2915.45	4210.15	5995.9	6516.03	8538.88	2591.27	5041.77	7081.29	8191.0	6935.54	5872.48	4512.4	4802.93	3515.68	5791.62	3665.02	10440.2
TTI1	507.46	0.37	190.34	187.71	212.78	307.69	297.17	420.68	79.45	275.28	307.69	283.05	309.83	237.86	215.77	297.17	153.34	323.03	154.42	156.59	264.03	136.19	182.55	231.32	264.03	269.6	121.79	177.53	277.2	438.59	441.64	397.93	260.38	182.55	159.9	283.05	138.1	323.03
UBA1	4481.23	954.43	4010.71	2384.37	4210.15	4543.8	3039.3	3491.39	1151.06	3325.99	2133.97	3443.31	3395.89	2287.2	4239.45	4239.45	2935.74	4239.45	2976.74	2915.45	3794.3	3349.13	2163.77	3443.31	2555.58	4298.64	3103.19	1857.6	2895.31	5751.61	4123.49	3443.31	2178.83	2537.92	3372.43	2895.31	2119.22	5147.73
WRAP53	297.17	0.0	211.31	153.34	297.17	318.57	169.07	476.71	101.54	221.86	208.38	226.54	212.78	206.94	256.78	381.68	120.1	351.14	67.59	173.85	351.14	155.5	145.02	201.25	194.36	312.0	82.87	139.07	251.48	432.53	279.14	218.79	125.24	144.01	111.99	187.71	161.02	669.92
