	GTEX.11P81.1026.SM.5GU54	GTEX.XGQ4.1626.SM.4AT6J	GTEX.11DYG.1926.SM.5H12I	GTEX.13O61.1226.SM.5KM21	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.QEL4.1526.SM.447AB	GTEX.T8EM.0626.SM.4DM62	GTEX.X5EB.1426.SM.46MVW	GTEX.S95S.0326.SM.4B66U	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L	TCGA.VQ.A927.01A.12R.A414.31	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.ZVP2.1626.SM.5GU5D	GTEX.13FTW.1726.SM.5KM2B	GTEX.S95S.0826.SM.4B64N	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	GTEX.ZVT3.2126.SM.59HL2
CCDC14	860.08	1037.29	934.76	599.49	1167.14	967.76	1242.34	708.18	785.88	559.28	15.68	48.52	59.55	753.83	961.07	199.85	339.14	228.13	224.97	108.14	178.77	228.13	183.82	120.1	295.11	273.37	226.54	169.07	525.39	135.24	323.03	116.78	205.5	414.87
CCP110	299.25	264.03	273.37	190.34	281.09	223.41	202.66	214.27	279.14	195.72	18.56	10.24	21.78	212.78	260.38	123.5	187.71	105.15	138.1	59.13	90.14	108.14	84.04	67.12	85.82	125.24	42.41	52.82	147.06	83.45	69.52	64.8	82.87	144.01
CDAN1	343.89	466.88	341.51	249.73	444.72	373.81	470.14	327.56	351.14	208.38	30.56	96.68	68.55	162.14	215.77	158.79	239.52	110.43	147.06	77.79	132.44	129.69	113.56	52.82	69.52	164.42	68.55	47.17	127.0	104.42	120.94	82.29	65.26	147.06
CDK11B	1685.71	1662.49	1477.58	1529.73	1508.65	1909.85	2224.63	1605.83	1832.01	1781.89	78.34	555.41	392.44	1242.34	1127.35	1304.15	1467.37	915.51	995.0	1008.9	1159.07	1143.1	1119.56	295.11	954.43	1023.0	1044.52	651.58	1051.79	1259.69	1127.35	540.19	575.03	1340.84
CLK2	1350.18	1991.0	1359.57	1127.35	2193.99	1651.0	1639.59	1135.2	1417.35	1143.1	43.02	234.57	87.65	1023.0	1159.07	743.43	808.0	607.87	624.99	450.94	412.0	665.29	567.1	450.94	476.71	802.41	497.0	158.79	1066.48	669.92	748.61	438.59	406.31	669.92
COLGALT1	1322.37	1477.58	1259.69	1191.69	1757.34	2032.85	2485.67	872.1	1037.29	1388.16	96.68	518.15	253.23	1073.91	703.28	759.08	890.44	796.86	470.14	327.56	559.28	638.15	511.0	325.29	406.31	575.03	361.04	351.14	595.34	511.0	551.56	339.14	624.99	543.96
CRYGS	105.15	147.06	154.42	111.99	173.85	139.07	194.36	114.36	128.79	103.69	4.13	8.78	2.66	128.79	90.77	9.2	33.54	14.78	21.16	27.44	6.16	27.44	37.59	11.04	14.78	19.39	29.91	4.35	58.3	16.88	65.72	3.99	17.77	43.32
DENND4B	981.29	1216.75	1001.93	728.11	1639.59	1151.06	1605.83	759.08	878.17	796.86	52.08	154.42	55.49	612.11	878.17	395.18	595.34	503.95	435.55	249.73	289.02	567.1	438.59	162.14	295.11	463.65	271.48	189.02	432.53	363.56	351.14	339.14	291.04	480.04
DMTF1	2303.12	2777.33	2384.37	1498.22	3146.52	2018.8	2417.67	1651.0	1806.78	1594.73	75.11	31.22	49.56	1561.89	1191.69	426.57	679.29	389.72	450.94	197.09	303.44	466.88	429.54	441.64	316.37	529.06	441.64	507.46	511.0	264.03	536.45	551.56	547.75	1175.27
DOPEY1	503.95	417.77	329.84	303.44	295.11	536.45	420.68	409.15	567.1	420.68	9.78	39.5	22.1	376.41	381.68	178.77	217.27	175.07	165.57	102.25	138.1	126.12	96.68	57.08	96.68	218.79	63.89	135.24	325.29	115.97	173.85	62.12	74.06	170.25
DSTYK	208.38	139.07	139.07	169.07	136.19	167.9	115.16	195.72	190.34	182.55	13.93	13.03	1.89	97.36	166.73	66.65	134.3	95.34	81.71	33.78	60.82	99.43	66.65	30.12	74.58	67.59	31.9	27.64	74.58	65.72	78.89	38.4	29.7	81.14
EIF4ENIF1	723.08	551.56	616.37	490.14	656.11	693.58	738.29	642.59	830.75	599.49	78.34	106.63	39.22	412.0	314.17	414.87	447.82	503.95	358.54	253.23	381.68	435.55	376.41	166.73	320.8	567.1	314.17	148.09	336.79	376.41	420.68	156.59	258.57	432.53
ENTHD2	854.13	1378.57	764.36	872.1	1437.15	1104.13	1721.16	967.76	1340.84	890.44	35.25	180.02	103.69	624.99	426.57	497.0	703.28	450.94	389.72	343.89	214.27	432.53	387.02	232.94	208.38	490.14	447.82	94.01	693.58	389.72	486.75	223.41	202.66	384.34
EP400	341.51	291.04	281.09	253.23	291.04	329.84	339.14	293.07	329.84	287.01	7.88	36.53	12.55	320.8	363.56	156.59	255.0	239.52	183.82	94.67	182.55	217.27	172.65	23.08	135.24	133.36	99.43	87.65	158.79	127.89	127.89	108.9	96.68	175.07
ERCC3	884.29	1295.13	1143.1	884.29	1044.52	1127.35	1037.29	878.17	974.5	753.83	104.42	258.57	139.07	607.87	638.15	599.49	713.11	555.41	547.75	234.57	414.87	551.56	392.44	368.65	371.22	651.58	417.77	371.22	571.05	412.0	470.14	267.73	239.52	703.28
EXD3	764.36	819.3	607.87	536.45	866.07	738.29	884.29	1096.5	616.37	521.76	226.54	178.77	147.06	400.71	281.09	329.84	307.69	343.89	248.0	406.31	206.94	327.56	281.09	226.54	165.57	336.79	232.94	167.9	371.22	221.86	429.54	173.85	173.85	387.02
EZH1	1519.15	1447.15	1216.75	1191.69	1487.87	1487.87	1685.71	1277.29	921.88	988.12	66.65	100.13	112.77	366.09	842.36	381.68	961.07	423.61	406.31	181.28	251.48	486.75	249.73	153.34	253.23	392.44	234.57	262.2	551.56	277.2	420.68	299.25	500.46	708.18
FAM156A	599.49	642.59	718.08	490.14	1191.69	647.07	728.11	438.59	525.39	406.31	9.78	37.85	18.56	400.71	183.82	157.68	152.28	185.11	165.57	135.24	124.37	123.5	116.78	87.65	139.07	147.06	113.56	67.12	251.48	114.36	167.9	88.26	90.14	178.77
FAM178A	384.34	454.09	297.17	209.84	376.41	273.37	356.05	295.11	299.25	267.73	62.12	36.27	12.55	320.8	320.8	149.12	164.42	166.73	127.0	49.21	59.97	97.36	117.6	128.79	99.43	173.85	67.12	33.54	173.85	82.87	197.09	28.04	57.89	159.9
FAM229A	193.01	309.83	291.04	218.79	334.46	307.69	381.68	251.48	241.19	150.17	212.78	7.06	39.5	262.2	98.04	68.07	94.67	48.52	52.82	43.63	36.79	53.19	85.82	64.34	35.25	77.79	74.06	38.67	167.9	58.71	129.69	25.72	46.18	165.57
FAM65C	231.32	563.18	239.52	277.2	575.03	291.04	575.03	309.83	323.03	291.04	13.52	47.17	30.34	124.37	72.01	57.89	183.82	71.5	50.98	28.65	62.56	102.25	60.82	12.93	56.28	37.85	39.5	25.54	110.43	70.51	85.82	23.76	47.5	89.51
GKN1	41.81	122.64	101420.22	80683.28	102.25	31.22	32.59	403.5	20.71	280957.98	0.0	0.0	1.73	414208.18	751804.53	985160.01	229795.93	1255646.43	1273174.62	687022.54	492579.5	535303.41	1838374.44	4987895.16	1116072.03	585779.24	506427.83	459592.86	539026.74	485798.0	602247.76	506427.83	721179.07	408505.64
HNRNPUL2	1350.18	1096.5	836.53	808.0	1081.39	1175.27	1088.92	974.5	1183.45	1066.48	95.34	273.37	108.9	674.59	693.58	651.58	808.0	738.29	748.61	551.56	753.83	647.07	848.22	206.94	748.61	934.76	332.14	185.11	836.53	693.58	684.02	343.89	249.73	607.87
INPP5B	713.11	665.29	796.86	642.59	1088.92	728.11	813.63	616.37	703.28	780.44	15.8	118.43	127.0	279.14	353.59	253.23	483.38	226.54	204.07	85.82	187.71	260.38	183.82	97.36	121.79	194.36	187.71	171.45	224.97	143.01	242.88	157.68	127.0	264.03
INPP5E	242.88	371.22	387.02	218.79	480.04	265.87	363.56	318.57	305.55	224.97	46.84	77.25	78.34	118.43	134.3	176.29	334.46	172.65	120.94	72.01	108.9	164.42	120.1	48.87	51.35	96.68	66.65	50.27	146.03	89.51	128.79	50.98	55.49	199.85
INTS3	2400.97	2090.03	2209.26	1519.15	2609.3	1977.24	2133.97	1529.73	1487.87	1407.55	71.5	291.04	163.28	1081.39	884.29	808.0	1331.57	703.28	638.15	403.5	486.75	890.44	543.96	175.07	460.44	733.19	395.18	241.19	808.0	525.39	780.44	373.81	543.96	769.69
KANSL1L	450.94	435.55	392.44	332.14	483.38	348.71	376.41	423.61	295.11	307.69	62.56	43.32	94.67	279.14	249.73	228.13	279.14	159.9	249.73	60.39	100.83	144.01	148.09	215.77	148.09	376.41	80.01	82.87	244.57	99.43	178.77	94.01	131.51	244.57
KAT2A	1498.22	1529.73	1832.01	941.27	2451.44	1457.23	2240.11	1104.13	1175.27	1127.35	64.34	148.09	180.02	738.29	674.59	629.35	748.61	503.95	460.44	371.22	429.54	500.46	454.09	241.19	348.71	435.55	490.14	236.21	525.39	287.01	571.05	307.69	412.0	633.73
KATNAL1	220.32	178.77	237.86	157.68	164.42	199.85	234.57	241.19	228.13	229.72	7.0	23.25	55.49	73.54	62.56	67.12	166.73	68.07	36.53	13.03	38.95	59.97	36.01	21.63	40.93	35.76	40.36	29.7	37.32	31.9	53.19	51.35	52.08	73.54
KIAA1009	140.04	158.79	161.02	102.25	186.4	149.12	177.53	109.66	150.17	127.0	7.46	3.41	18.7	161.02	148.09	124.37	115.16	65.26	100.13	49.21	52.08	106.63	74.58	72.52	55.49	138.1	34.75	20.11	82.29	60.39	113.56	28.86	48.52	89.51
KIAA1109	1175.27	1437.15	1191.69	866.07	1081.39	836.53	785.88	743.43	915.51	764.36	54.33	84.04	96.68	902.89	775.05	307.69	620.67	403.5	435.55	256.78	339.14	363.56	325.29	119.26	285.03	356.05	265.87	507.46	389.72	287.01	412.0	417.77	314.17	733.19
KIAA1731	236.21	251.48	389.72	195.72	237.86	208.38	201.25	178.77	358.54	164.42	17.64	5.02	16.63	228.13	205.5	94.01	135.24	90.77	78.89	34.02	57.08	92.7	57.08	54.72	69.52	129.69	37.85	31.45	96.68	53.57	76.71	25.17	22.75	115.16
KIDINS220	890.44	698.41	743.43	688.78	698.41	660.68	638.15	607.87	660.68	638.15	33.06	76.17	76.71	599.49	748.61	348.71	616.37	441.64	400.71	190.34	320.8	348.71	269.6	150.17	271.48	414.87	295.11	293.07	397.93	279.14	341.51	281.09	318.57	579.04
KLHL17	457.25	483.38	248.0	260.38	525.39	358.54	848.22	244.57	253.23	239.52	9.34	25.72	21.01	260.38	171.45	139.07	229.72	98.73	80.01	43.32	36.01	136.19	85.22	28.04	36.27	108.14	195.72	29.48	175.07	115.16	154.42	76.17	189.02	137.14
KLHL33	24.81	27.44	16.75	6.78	22.1	15.45	18.29	9.7	17.25	14.89	1.16	0.0	0.0	2.32	2.94	3.66	24.46	4.1	0.47	0.0	1.33	4.03	0.0	5.77	0.0	1.77	2.51	0.0	4.58	0.0	4.31	0.0	2.32	14.03
L3MBTL1	563.18	476.71	563.18	197.09	703.28	559.28	559.28	343.89	409.15	327.56	19.97	14.78	5.41	170.25	176.29	67.59	228.13	109.66	40.93	25.72	34.75	88.26	74.06	32.13	47.17	175.07	48.52	16.39	178.77	38.4	147.06	40.36	34.26	96.68
LRP2BP	56.68	65.26	131.51	38.12	126.12	71.0	92.7	58.71	61.25	47.5	12.93	3.53	3.72	32.82	20.26	9.48	30.78	9.85	8.58	6.62	4.7	12.64	11.13	14.14	14.67	10.31	11.73	12.27	11.55	5.41	8.92	10.47	12.64	22.43
LUC7L	1923.14	2573.36	2520.38	1745.2	2537.92	2335.28	2816.11	1769.57	1819.35	1721.16	114.36	148.09	293.07	1250.98	1001.93	808.0	974.5	351.14	579.04	620.67	426.57	775.05	616.37	583.07	579.04	796.86	633.73	361.04	872.1	429.54	866.07	665.29	341.51	1015.93
MLH3	305.55	435.55	444.72	295.11	587.13	346.29	473.41	414.87	255.0	348.71	52.08	53.57	88.88	305.55	441.64	134.3	208.38	141.02	127.0	98.73	86.43	146.03	100.13	189.02	95.34	205.5	98.73	104.42	119.26	97.36	118.43	96.68	91.41	175.07
MORC2	674.59	693.58	555.41	473.41	587.13	599.49	718.08	476.71	497.0	660.68	129.69	277.2	229.72	441.64	376.41	255.0	351.14	295.11	244.57	220.32	194.36	303.44	253.23	190.34	277.2	314.17	153.34	172.65	182.55	149.12	336.79	150.17	142.01	297.17
MPHOSPH8	1674.06	2119.22	1023.0	1369.04	1697.45	1605.83	1806.78	1250.98	1066.48	1175.27	78.89	98.73	164.42	921.88	941.27	595.34	896.64	642.59	825.0	624.99	547.75	775.05	674.59	348.71	813.63	791.35	473.41	218.79	813.63	447.82	819.3	392.44	363.56	890.44
MSS51	74.58	77.25	92.05	34.51	75.11	60.39	80.57	56.28	43.63	47.5	1.25	2.92	0.95	55.49	56.28	11.21	15.91	10.31	11.82	6.52	6.52	18.97	24.46	11.3	29.27	23.25	8.99	4.35	14.78	10.88	28.86	2.58	6.84	48.52
MUM1	967.76	1304.15	872.1	848.22	1794.29	1250.98	1119.56	915.51	1066.48	780.44	90.14	371.22	267.73	518.15	521.76	450.94	764.36	490.14	450.94	231.32	329.84	497.0	387.02	144.01	353.59	351.14	283.05	185.11	543.96	327.56	486.75	295.11	356.05	591.22
MYO9A	435.55	361.04	480.04	267.73	285.03	320.8	279.14	273.37	497.0	373.81	21.94	12.93	14.56	204.07	231.32	97.36	273.37	171.45	144.01	45.85	102.25	127.89	78.89	45.21	92.05	107.38	63.89	77.79	106.63	71.5	89.51	116.78	78.89	185.11
NAPB	221.86	341.51	348.71	208.38	265.87	287.01	253.23	269.6	305.55	231.32	19.53	37.32	37.85	166.73	156.59	120.94	176.29	97.36	106.63	57.49	92.05	122.64	62.56	50.27	52.82	106.63	73.03	48.87	130.6	66.18	102.97	94.01	59.97	140.04
NAT9	819.3	813.63	954.43	708.18	1259.69	878.17	1277.29	684.02	728.11	802.41	98.73	201.25	170.25	532.74	595.34	480.04	555.41	543.96	454.09	381.68	297.17	429.54	551.56	356.05	329.84	373.81	289.02	246.28	438.59	329.84	293.07	426.57	426.57	336.79
NBPF15	764.36	567.1	808.0	551.56	988.12	848.22	813.63	890.44	738.29	665.29	12.74	145.02	124.37	511.0	226.54	211.31	420.68	161.02	214.27	57.49	167.9	258.57	146.03	63.0	86.43	129.69	171.45	99.43	127.89	101.54	144.01	199.85	208.38	417.77
NBPF20	111.21	145.02	121.79	63.89	107.38	123.5	120.94	93.35	172.65	117.6	0.42	5.59	10.55	76.17	63.89	17.9	61.68	32.59	29.91	11.73	37.59	25.54	25.35	4.78	10.0	21.78	22.1	21.78	30.12	13.72	16.75	18.84	24.63	70.01
NBPF9	571.05	1059.11	1051.79	587.13	860.08	733.19	872.1	669.92	915.51	660.68	4.06	220.32	189.02	351.14	356.05	104.42	358.54	150.17	153.34	88.88	126.12	193.01	153.34	70.01	120.94	295.11	154.42	80.01	253.23	83.45	115.16	150.17	73.03	237.86
NEK9	1447.15	1313.23	1467.37	1037.29	1540.37	1322.37	1457.23	1304.15	1427.22	1216.75	115.97	376.41	258.57	579.04	848.22	490.14	928.3	595.34	529.06	211.31	426.57	518.15	323.03	130.6	206.94	567.1	279.14	169.07	463.65	327.56	483.38	283.05	256.78	500.46
NISCH	3467.27	2997.45	2520.38	2537.92	4123.49	4010.71	3982.99	3303.0	2855.44	2451.44	126.12	454.09	220.32	1167.14	878.17	775.05	1639.59	1030.12	890.44	480.04	728.11	928.3	780.44	249.73	563.18	981.29	490.14	265.87	1051.79	555.41	1081.39	463.65	595.34	1023.0
NPHP3	854.13	660.68	476.71	341.51	493.56	780.44	674.59	463.65	493.56	412.0	31.67	21.78	27.05	255.0	339.14	100.13	343.89	84.63	95.34	87.65	59.55	108.14	85.82	65.72	113.56	150.17	111.21	49.21	169.07	60.82	212.78	86.43	56.68	264.03
NPIPA1	4328.55	4481.23	4512.4	2645.74	6887.62	4802.93	7537.18	3257.52	3325.99	3081.75	77.79	133.36	104.42	1295.13	1991.0	591.22	1781.89	529.06	450.94	199.85	182.55	902.89	454.09	139.07	231.32	466.88	403.5	153.34	591.22	267.73	620.67	242.88	348.71	718.08
NR2C1	791.35	954.43	1037.29	961.07	890.44	1183.45	1001.93	1304.15	995.0	728.11	165.57	158.79	202.66	860.08	808.0	406.31	423.61	480.04	323.03	258.57	318.57	332.14	366.09	476.71	351.14	514.56	283.05	463.65	392.44	275.28	291.04	329.84	305.55	708.18
NUDCD3	1832.01	1167.14	1277.29	1457.23	1447.15	1844.76	1340.84	1551.09	1651.0	1594.73	708.18	791.35	738.29	1167.14	1208.34	1447.15	1628.26	1487.87	1277.29	493.56	1081.39	1225.22	785.88	738.29	642.59	1088.92	529.06	406.31	854.13	764.36	866.07	624.99	674.59	780.44
NXPE3	256.78	173.85	212.78	173.85	251.48	177.53	218.79	201.25	260.38	253.23	10.39	13.12	8.85	90.77	146.03	131.51	164.42	148.09	197.09	72.01	139.07	170.25	149.12	57.49	104.42	123.5	53.57	68.07	104.42	53.57	77.79	41.81	43.02	161.02
OR5K2	4.74	12.45	8.0	4.54	16.75	11.91	13.62	12.27	9.63	11.73	0.0	0.0	0.0	1.48	3.06	1.83	7.06	5.19	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.91	0.0	0.0	0.61	1.93	3.56	1.17	0.77	5.41
OTUD3	281.09	251.48	249.73	95.34	231.32	255.0	218.79	190.34	239.52	215.77	3.99	4.39	10.88	96.68	177.53	56.28	83.45	46.5	52.82	41.22	34.51	68.55	30.12	14.89	38.67	55.1	49.91	15.56	66.18	31.22	57.49	22.43	64.34	99.43
PACS2	1936.53	1806.78	1909.85	1359.57	2090.03	1529.73	2178.83	1216.75	1407.55	1268.46	173.85	262.2	166.73	995.0	915.51	753.83	1487.87	1081.39	780.44	638.15	693.58	995.0	733.19	339.14	713.11	688.78	638.15	325.29	947.83	674.59	860.08	417.77	660.68	988.12
PAN3	429.54	514.56	450.94	356.05	432.53	409.15	336.79	432.53	563.18	351.14	59.13	29.27	59.13	414.87	665.29	265.87	371.22	212.78	253.23	115.16	165.57	201.25	178.77	100.83	144.01	279.14	183.82	312.0	368.65	140.04	316.37	144.01	165.57	417.77
PAXBP1	759.08	642.59	967.76	555.41	713.11	785.88	813.63	599.49	723.08	669.92	35.0	39.22	26.86	567.1	454.09	283.05	318.57	187.71	187.71	143.01	144.01	159.9	159.9	149.12	132.44	229.72	193.01	183.82	438.59	152.28	214.27	197.09	128.79	514.56
PIAS3	1572.76	2133.97	1216.75	941.27	2287.2	1437.15	1769.57	1388.16	1295.13	1199.98	34.02	86.43	28.24	842.36	713.11	1001.93	1051.79	866.07	633.73	281.09	406.31	624.99	616.37	281.09	483.38	813.63	395.18	183.82	607.87	616.37	764.36	327.56	356.05	599.49
PIP4K2B	759.08	769.69	743.43	599.49	825.0	723.08	759.08	665.29	660.68	591.22	28.45	148.09	67.59	309.83	532.74	316.37	743.43	575.03	312.0	178.77	336.79	412.0	325.29	162.14	379.04	356.05	190.34	91.41	353.59	218.79	403.5	148.09	155.5	406.31
PLCG1	2047.0	2133.97	1936.53	1561.89	3820.7	2090.03	3928.15	1950.0	1883.54	1191.69	73.03	217.27	93.35	941.27	1059.11	490.14	1037.29	642.59	438.59	392.44	647.07	591.22	438.59	100.13	295.11	656.11	429.54	329.84	567.1	293.07	395.18	476.71	361.04	872.1
PNISR	6337.83	5292.48	4972.34	4123.49	6337.83	5517.27	7966.99	3794.3	4328.55	3146.52	111.99	66.18	256.78	2537.92	1896.65	848.22	1498.22	842.36	1159.07	1119.56	620.67	1119.56	1066.48	591.22	1819.35	1378.57	1183.45	1030.12	1378.57	599.49	988.12	1572.76	1427.22	2502.97
POGZ	2609.3	2075.59	2255.7	1397.83	2701.35	2335.28	2468.49	1594.73	1697.45	1295.13	38.12	158.79	111.99	1216.75	1551.09	651.58	1104.13	698.41	733.19	305.55	470.14	665.29	559.28	172.65	358.54	583.07	435.55	260.38	941.27	412.0	660.68	529.06	438.59	1304.15
POLG2	348.71	275.28	318.57	224.97	507.46	301.33	277.2	255.0	215.77	232.94	16.75	65.26	34.51	224.97	314.17	110.43	137.14	102.25	95.34	113.56	71.5	108.14	147.06	123.5	89.51	138.1	92.7	53.19	136.19	95.34	172.65	68.55	115.16	167.9
POMT2	287.01	432.53	429.54	316.37	480.04	532.74	703.28	363.56	480.04	379.04	87.65	217.27	71.0	242.88	256.78	181.28	234.57	239.52	237.86	80.01	194.36	164.42	180.02	131.51	118.43	171.45	111.21	47.84	169.07	154.42	237.86	99.43	130.6	141.02
PPP3CB	1359.57	1030.12	1233.75	915.51	915.51	915.51	988.12	988.12	1104.13	1030.12	775.05	204.07	167.9	616.37	825.0	579.04	961.07	417.77	536.45	283.05	454.09	579.04	389.72	595.34	361.04	540.19	403.5	318.57	392.44	423.61	429.54	379.04	264.03	583.07
