	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.CH.5743.01A.21R.1580.07	TCGA.HC.8264.01B.11R.2403.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.EJ.A46E.01A.31R.A250.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.J4.AATV.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.HC.A631.01A.11R.A29R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.S95S.1026.SM.4B64M	GTEX.11TT1.2026.SM.5EQM8	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11NSD.0826.SM.5986S	GTEX.1399T.1226.SM.5P9J5	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.13OW8.0426.SM.5J2NR	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.117YW.1426.SM.5EGGO	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD
DUSP5	20.41	21.78	269.6	212.78	201.25	102.97	109.66	830.75	2664.15	121.79	178.77	356.05	133.36	73.54	525.39	114.36	76.17	124.37	170.25	180.02	92.7	101.54	2537.92	1909.85	547.75	218.79	170.25	693.58	54.33	753.83	1051.79	1806.78	76.17	74.58	256.78	255.0	59.97	231.32	305.55	81.14	132.44	145.02	54.72	1388.16	1096.5	56.28	198.47	503.95	150.17	387.02	137.14	49.91	47.17	629.35	287.01	1135.2	244.57	118.43	58.3	2104.58	26.47	226.54	532.74	126.12	143.01	343.89	25.35	33.3	1963.57	339.14	1096.5	616.37	105.89	2335.28	189.02	141.02	728.11	808.0	158.79	591.22	189.02	575.03	748.61	587.13	3146.52	269.6	500.46	251.48	166.73	155.5	395.18	848.22	848.22	260.38	353.59	518.15	896.64	612.11	220.32	1551.09	511.0	603.67	483.38	1104.13	58.3	119.26	287.01	961.07	3820.7	2573.36	197.09
EGR3	0.43	0.95	131.51	86.43	68.07	23.25	42.41	703.28	1030.12	87.65	111.99	351.14	9.93	29.06	473.41	28.65	46.18	43.94	50.63	80.57	41.22	63.89	1051.79	1551.09	120.94	94.67	33.06	563.18	65.26	764.36	346.29	684.02	49.91	16.88	122.64	54.72	26.86	53.95	78.89	28.45	66.18	64.34	16.51	1151.06	579.04	20.56	143.01	848.22	70.01	148.09	35.0	24.63	7.75	713.11	145.02	204.07	117.6	43.32	34.75	1175.27	10.71	65.72	540.19	52.08	30.56	206.94	12.27	40.64	563.18	103.69	674.59	122.64	35.25	718.08	82.87	49.56	136.19	796.86	48.87	518.15	66.18	249.73	420.68	599.49	1806.78	117.6	51.35	148.09	113.56	195.72	96.01	148.09	237.86	224.97	169.07	191.67	1073.91	759.08	264.03	138.1	134.3	104.42	2133.97	688.78	373.81	303.44	148.09	813.63	941.27	1081.39	45.85
EVX1	0.0	0.0	77.79	147.06	149.12	74.58	36.27	66.65	171.45	25.35	30.34	87.03	15.0	92.05	37.85	63.89	11.64	21.78	65.26	86.43	37.05	38.4	87.65	79.45	23.76	56.68	87.65	217.27	14.45	37.85	59.55	148.09	11.13	14.67	130.6	237.86	172.65	87.03	26.67	58.3	53.57	35.25	31.67	90.14	127.0	1.85	41.81	154.42	67.59	41.22	53.19	30.56	3.41	90.77	31.22	80.57	177.53	22.75	78.89	100.83	8.99	71.0	60.39	47.17	28.65	63.45	31.9	43.32	181.28	94.67	96.01	153.34	39.5	115.16	62.56	75.64	169.07	153.34	57.49	58.3	54.33	124.37	164.42	120.1	171.45	53.57	57.89	66.65	51.35	71.5	90.14	42.11	128.79	51.71	78.89	88.26	208.38	336.79	100.83	71.0	26.47	116.78	244.57	353.59	99.43	35.5	193.01	412.0	127.89	30.56	178.77
FOSB	3.17	18.84	529.06	429.54	503.95	148.09	1447.15	10959.3	12676.65	248.0	447.82	6079.61	27.25	180.02	5791.62	159.9	264.03	34.51	287.01	567.1	47.17	50.63	4152.18	56657.31	353.59	336.79	141.02	4575.41	90.14	4268.94	3515.68	8421.31	28.24	24.63	131.51	134.3	50.63	872.1	267.73	117.6	211.31	209.84	19.53	5954.47	7537.18	75.64	521.76	4802.93	507.46	723.08	73.54	44.89	5.28	8479.89	624.99	1008.9	246.28	183.82	35.0	10512.82	13.42	412.0	3794.3	81.14	60.39	2351.53	16.03	63.0	1832.01	1583.71	4095.0	1359.57	242.88	17558.94	283.05	1088.92	780.44	5183.54	265.87	4388.98	237.86	1119.56	5517.27	5633.22	29124.6	896.64	896.64	334.46	1008.9	244.57	107.38	1037.29	1159.07	967.76	1498.22	921.88	4671.57	5041.77	110.43	4736.79	260.38	718.08	30785.28	17927.91	45.85	120.1	607.87	34635.37	22850.48	2119.22	30.78
FOSL1	10.47	0.78	67.12	38.67	27.84	10.0	56.68	947.83	748.61	13.72	15.56	43.32	4.66	9.27	186.4	17.38	5.54	12.27	12.18	43.32	13.72	8.32	848.22	559.28	58.3	21.78	23.42	120.1	4.35	96.68	45.85	460.44	6.84	9.63	108.9	34.75	18.43	29.91	26.47	8.45	24.99	25.54	4.1	176.29	450.94	7.0	20.41	444.72	22.43	71.5	8.0	4.54	4.66	107.38	19.53	599.49	74.58	37.85	20.26	674.59	1.75	20.71	150.17	25.35	13.52	55.49	3.14	8.51	325.29	35.5	403.5	108.9	13.72	1268.46	30.34	26.1	551.56	299.25	19.25	507.46	8.85	194.36	130.6	283.05	2047.0	41.52	75.64	45.53	39.5	45.53	122.64	96.01	412.0	73.03	105.15	371.22	2255.7	316.37	33.78	22.1	17.25	114.36	366.09	114.36	18.29	30.34	9.2	79.45	37.59	251.48	72.52
FOSL2	218.79	551.56	728.11	1437.15	698.41	665.29	591.22	1991.0	3467.27	743.43	733.19	967.76	476.71	242.88	1685.71	902.89	514.56	529.06	1015.93	1191.69	351.14	753.83	3212.66	2537.92	825.0	775.05	796.86	2075.59	679.29	1111.82	1135.2	2997.45	466.88	205.5	961.07	974.5	500.46	693.58	878.17	647.07	521.76	343.89	733.19	1697.45	2682.69	366.09	642.59	3124.78	511.0	974.5	507.46	473.41	587.13	1529.73	1051.79	1561.89	884.29	647.07	665.29	2434.5	480.04	1073.91	1127.35	389.72	896.64	836.53	287.01	392.44	2351.53	1208.34	3124.78	2047.0	693.58	3419.52	221.86	967.76	791.35	1508.65	896.64	2163.77	941.27	2240.11	2061.24	2287.2	3982.99	587.13	674.59	915.51	684.02	698.41	753.83	981.29	1605.83	825.0	961.07	890.44	3467.27	1127.35	684.02	1950.0	1313.23	1044.52	2573.36	1350.18	543.96	253.23	785.88	3589.58	3589.58	3665.02	738.29
GEM	6.57	12.55	723.08	234.57	214.27	172.65	206.94	579.04	890.44	591.22	214.27	420.68	155.5	124.37	708.18	186.4	80.57	178.77	142.01	334.46	115.16	185.11	1088.92	896.64	395.18	217.27	161.02	587.13	65.26	406.31	808.0	1561.89	65.26	77.25	587.13	412.0	231.32	242.88	258.57	118.43	329.84	159.9	163.28	616.37	1030.12	118.43	309.83	642.59	161.02	242.88	97.36	84.63	91.41	587.13	164.42	379.04	497.0	209.84	202.66	571.05	48.52	329.84	633.73	163.28	195.72	346.29	27.64	96.68	802.41	165.57	2104.58	332.14	283.05	1378.57	368.65	376.41	629.35	1369.04	289.02	866.07	267.73	1437.15	480.04	1023.0	921.88	363.56	187.71	583.07	214.27	165.57	186.4	414.87	470.14	320.8	194.36	226.54	2451.44	460.44	536.45	1015.93	909.17	287.01	1143.1	563.18	154.42	151.22	287.01	1225.22	1437.15	1651.0	161.02
GPR3	0.45	0.42	16.88	24.28	6.31	10.08	3.76	43.32	19.39	6.57	16.03	8.13	1.16	1.89	24.28	3.63	2.07	7.63	7.94	5.36	2.89	6.78	70.01	43.02	15.68	4.43	6.36	15.56	2.76	6.94	13.32	65.72	3.56	1.58	27.05	27.05	4.9	6.11	4.9	2.36	8.45	3.06	4.39	17.51	43.02	4.94	6.73	46.5	2.03	11.91	4.17	3.06	2.92	12.93	8.32	16.75	22.92	10.31	5.23	19.25	0.46	15.22	25.54	8.51	4.58	15.11	1.41	3.69	21.78	6.31	57.89	17.77	4.7	45.85	6.26	7.51	14.03	34.75	4.31	49.56	7.57	42.11	19.97	41.22	38.4	9.2	5.23	12.36	9.27	6.84	20.86	9.56	35.0	8.58	8.99	22.43	150.17	39.5	4.94	10.47	6.36	15.91	63.0	20.11	6.52	7.4	5.92	23.93	12.64	26.67	7.46
GZF1	69.03	86.43	157.68	161.02	114.36	150.17	122.64	197.09	212.78	128.79	167.9	177.53	151.22	113.56	189.02	135.24	122.64	118.43	136.19	169.07	180.02	157.68	221.86	156.59	116.78	141.02	165.57	209.84	110.43	118.43	195.72	209.84	96.01	64.34	153.34	170.25	125.24	128.79	169.07	145.02	131.51	97.36	120.94	178.77	157.68	123.5	146.03	218.79	106.63	124.37	92.05	145.02	82.87	156.59	167.9	205.5	147.06	98.04	129.69	191.67	80.01	132.44	185.11	129.69	144.01	125.24	103.69	156.59	217.27	153.34	177.53	177.53	137.14	189.02	100.83	139.07	164.42	195.72	164.42	171.45	132.44	251.48	239.52	208.38	209.84	173.85	127.0	223.41	127.0	157.68	218.79	141.02	156.59	169.07	149.12	197.09	185.11	320.8	199.85	202.66	166.73	182.55	226.54	287.01	133.36	136.19	96.68	397.93	281.09	156.59	161.02
HAS1	0.0	0.0	0.42	1.16	1.22	6.11	0.0	4.03	2.48	0.42	3.2	2.05	1.45	0.4	2.86	1.22	0.0	1.17	3.44	0.0	0.44	2.66	10.96	10.96	3.44	0.44	1.91	3.11	0.0	1.58	4.28	62.56	0.0	3.41	0.0	0.83	0.0	0.0	0.41	0.0	0.0	4.58	1.22	2.39	3.96	0.0	0.0	7.46	0.0	3.14	1.53	0.0	1.1	3.89	0.0	6.57	2.34	0.0	1.14	1.3	0.0	0.0	2.73	0.0	0.0	1.95	0.0	0.0	1.2	0.77	3.63	0.42	1.19	4.9	0.82	0.0	2.25	2.94	0.0	4.7	0.41	3.82	0.41	4.46	7.34	0.42	0.0	2.36	0.0	1.69	1.0	1.35	0.31	3.23	3.0	2.2	11.21	4.24	0.75	2.1	5.73	1.93	2.89	0.73	0.0	0.0	0.99	12.55	3.92	4.9	0.0
HBEGF	33.3	24.28	318.57	152.28	191.67	138.1	262.2	1417.35	2061.24	223.41	171.45	529.06	71.5	55.49	447.82	117.6	211.31	119.26	133.36	265.87	187.71	143.01	954.43	3982.99	202.66	162.14	157.68	647.07	136.19	547.75	493.56	967.76	141.02	45.21	334.46	205.5	125.24	162.14	152.28	122.64	181.28	112.77	130.6	775.05	1111.82	217.27	234.57	551.56	138.1	529.06	151.22	86.43	37.85	647.07	229.72	656.11	202.66	133.36	155.5	1081.39	15.34	135.24	723.08	127.0	226.54	262.2	63.0	146.03	764.36	295.11	921.88	412.0	142.01	1832.01	253.23	305.55	638.15	872.1	139.07	674.59	148.09	373.81	647.07	587.13	3257.52	277.2	332.14	423.61	339.14	143.01	759.08	260.38	412.0	339.14	212.78	470.14	2319.15	665.29	198.47	723.08	212.78	244.57	1111.82	371.22	114.36	361.04	143.01	878.17	2816.11	1369.04	214.27
IL6	0.0	1.81	100.13	49.91	27.44	16.03	13.32	813.63	381.68	7.46	24.99	161.02	6.89	9.06	175.07	5.32	3.0	23.42	198.47	1.36	20.86	3.47	1781.89	323.03	229.72	19.11	52.82	575.03	4.21	193.01	358.54	1909.85	6.21	5.63	100.83	82.87	20.56	18.43	9.13	1.57	69.52	9.13	1.3	595.34	1977.24	7.0	36.27	412.0	13.52	381.68	8.85	1.87	6.26	563.18	57.89	473.41	49.21	34.26	2.16	201.25	2.71	39.79	206.94	18.84	4.13	70.51	1.66	4.58	540.19	33.54	1001.93	283.05	7.88	1583.71	46.5	11.3	1151.06	878.17	64.8	460.44	25.91	142.01	231.32	1277.29	518.15	55.49	23.76	32.59	26.28	26.86	35.5	154.42	323.03	56.28	52.45	182.55	4388.98	162.14	66.65	603.67	154.42	112.77	169.07	587.13	3.17	8.38	19.53	361.04	406.31	1529.73	131.51
JOSD1	327.56	343.89	450.94	703.28	490.14	532.74	403.5	921.88	1250.98	543.96	521.76	629.35	503.95	299.25	629.35	454.09	348.71	420.68	559.28	438.59	483.38	583.07	1015.93	1183.45	470.14	493.56	759.08	1159.07	417.77	612.11	693.58	921.88	441.64	346.29	669.92	490.14	429.54	567.1	665.29	514.56	463.65	363.56	397.93	669.92	796.86	403.5	521.76	1030.12	414.87	503.95	438.59	400.71	470.14	665.29	551.56	813.63	507.46	507.46	447.82	819.3	389.72	493.56	764.36	429.54	497.0	490.14	387.02	392.44	928.3	638.15	830.75	642.59	507.46	1167.14	389.72	392.44	733.19	647.07	429.54	624.99	470.14	567.1	674.59	633.73	1081.39	521.76	490.14	521.76	420.68	457.25	571.05	532.74	571.05	532.74	543.96	647.07	947.83	1183.45	603.67	638.15	540.19	514.56	988.12	698.41	450.94	490.14	483.38	1286.18	854.13	769.69	414.87
JUNB	177.53	258.57	4736.79	4704.07	4671.57	1733.13	7230.1	27363.16	12160.22	1199.98	3103.19	18178.19	2319.15	1313.23	8901.53	2163.77	1191.69	1617.0	2061.24	2287.2	1175.27	1359.57	8134.41	35856.82	5041.77	1508.65	1883.54	14163.58	587.13	18304.63	14065.74	24832.5	934.76	854.13	4152.18	5183.54	1127.35	4972.34	2335.28	819.3	2664.15	2777.33	454.09	32994.92	26431.04	1268.46	1051.79	12160.22	8479.89	5479.15	2502.97	1015.93	583.07	17078.76	3928.15	4298.64	4239.45	1561.89	559.28	15285.81	1216.75	4972.34	17197.56	2119.22	1617.0	10225.32	575.03	785.88	11267.44	5711.87	12502.12	6561.36	2075.59	40621.74	4512.4	1721.16	7537.18	14971.21	2935.74	7130.55	1369.04	6699.25	11504.21	14765.09	22225.61	2875.3	2796.65	2701.35	1259.69	2193.99	684.02	2915.45	4972.34	2271.4	1909.85	7230.1	27174.14	9409.14	2271.4	14765.09	5183.54	3614.55	24832.5	14971.21	981.29	1819.35	6607.01	34396.12	40062.48	27553.49	1991.0
JUND	2178.83	1073.91	3325.99	3124.78	3081.75	3820.7	3491.39	14461.21	8078.22	3395.89	2915.45	5913.33	3280.18	2193.99	4869.99	2451.44	2758.13	2682.69	1733.13	4704.07	1023.0	2777.33	2777.33	18689.27	2591.27	2061.24	2384.37	4328.55	1605.83	7180.15	5219.6	11424.74	1923.14	2758.13	3820.7	3742.05	1639.59	2739.08	1857.6	1417.35	4607.24	3060.45	1583.71	8658.09	10084.54	3060.45	1350.18	5112.16	4639.29	5672.41	3928.15	1977.24	1447.15	8840.04	2047.0	1991.0	3820.7	3280.18	2075.59	8022.41	1977.24	4704.07	6516.03	1909.85	3874.05	9409.14	2119.22	1199.98	4481.23	4869.99	4802.93	3515.68	1225.22	18819.27	1936.53	3847.29	2537.92	4512.4	2701.35	5954.47	2664.15	4066.71	7537.18	5366.37	7230.1	2178.83	2645.74	1639.59	3901.01	2609.3	1662.49	2875.3	2178.83	2502.97	2451.44	3124.78	6121.9	6037.61	3372.43	5711.87	4298.64	3168.41	9606.86	5041.77	1519.15	2075.59	5183.54	12076.21	11112.3	4543.8	2627.46
KLF10	113.56	94.67	400.71	447.82	379.04	195.72	318.57	1806.78	2701.35	189.02	389.72	759.08	348.71	101.54	1467.37	191.67	86.43	232.94	164.42	228.13	295.11	164.42	3235.01	2148.82	435.55	497.0	267.73	813.63	128.79	693.58	890.44	1857.6	139.07	178.77	808.0	728.11	217.27	395.18	389.72	223.41	265.87	379.04	229.72	884.29	1350.18	93.35	536.45	2303.12	256.78	325.29	197.09	101.54	166.73	708.18	441.64	688.78	674.59	201.25	246.28	1104.13	139.07	271.48	988.12	283.05	177.53	236.21	130.6	189.02	1313.23	638.15	1794.29	620.67	463.65	2090.03	397.93	470.14	848.22	1225.22	303.44	2502.97	171.45	1259.69	638.15	1369.04	3716.2	575.03	400.71	620.67	381.68	473.41	1030.12	363.56	1259.69	656.11	299.25	1023.0	3103.19	967.76	708.18	830.75	283.05	669.92	2976.74	1295.13	198.47	224.97	273.37	934.76	2209.26	1529.73	371.22
KLF2	64.8	77.25	532.74	447.82	420.68	420.68	307.69	674.59	830.75	483.38	466.88	819.3	120.94	258.57	444.72	232.94	429.54	507.46	381.68	320.8	103.69	363.56	567.1	2061.24	351.14	307.69	651.58	1037.29	155.5	583.07	961.07	1923.14	180.02	237.86	1044.52	651.58	186.4	363.56	325.29	142.01	332.14	256.78	94.67	796.86	2090.03	140.04	232.94	426.57	325.29	693.58	633.73	180.02	115.16	1001.93	336.79	656.11	358.54	299.25	209.84	796.86	106.63	775.05	981.29	299.25	395.18	624.99	68.07	132.44	1030.12	332.14	848.22	563.18	279.14	1896.65	277.2	423.61	547.75	1378.57	209.84	395.18	620.67	563.18	759.08	866.07	1199.98	483.38	248.0	348.71	397.93	497.0	559.28	518.15	447.82	447.82	191.67	397.93	287.01	262.2	1051.79	684.02	660.68	579.04	441.64	954.43	395.18	764.36	460.44	4066.71	1685.71	547.75	854.13
KLF4	15.68	37.32	759.08	1051.79	591.22	656.11	638.15	2956.17	2591.27	607.87	409.15	1721.16	169.07	234.57	1397.83	551.56	511.0	305.55	518.15	450.94	332.14	483.38	808.0	6887.62	764.36	551.56	607.87	1427.22	651.58	753.83	1159.07	1572.76	358.54	293.07	466.88	497.0	348.71	356.05	647.07	336.79	679.29	642.59	264.03	1359.57	2502.97	135.24	563.18	1388.16	679.29	785.88	507.46	583.07	285.03	1529.73	1001.93	884.29	497.0	432.53	409.15	1950.0	264.03	679.29	1111.82	454.09	397.93	713.11	198.47	400.71	1183.45	1909.85	967.76	1313.23	444.72	3395.89	341.51	738.29	902.89	1447.15	473.41	769.69	607.87	651.58	1936.53	1127.35	3491.39	514.56	447.82	356.05	603.67	723.08	684.02	1183.45	503.95	1359.57	698.41	954.43	624.99	1561.89	1096.5	400.71	638.15	1096.5	1259.69	1127.35	660.68	314.17	555.41	2956.17	2591.27	638.15	540.19
KLHL15	44.89	48.18	81.71	108.9	52.82	62.56	53.19	175.07	193.01	58.3	55.49	82.87	54.33	43.02	102.97	52.08	50.27	51.35	53.95	73.54	53.57	65.72	255.0	137.14	68.07	87.65	70.51	183.82	71.5	60.39	68.07	130.6	45.53	35.76	126.12	100.83	56.28	60.82	68.07	91.41	91.41	76.17	58.71	153.34	99.43	58.3	138.1	351.14	43.94	62.12	42.71	40.64	65.26	87.03	106.63	149.12	111.99	90.77	86.43	100.83	46.5	69.03	108.14	50.27	67.12	75.11	37.85	65.72	136.19	81.14	249.73	115.16	69.03	96.01	48.52	81.14	114.36	135.24	87.65	119.26	77.25	173.85	107.38	186.4	249.73	82.29	81.71	165.57	76.71	65.26	120.94	88.26	88.88	85.82	84.04	114.36	217.27	198.47	82.87	120.94	64.8	123.5	320.8	154.42	95.34	65.72	55.49	387.02	113.56	105.15	70.51
MAFF	65.26	32.13	480.04	703.28	525.39	447.82	607.87	3325.99	3257.52	536.45	361.04	1143.1	429.54	211.31	1313.23	647.07	341.51	346.29	500.46	397.93	237.86	759.08	3589.58	6792.79	642.59	438.59	547.75	1605.83	194.36	1794.29	1096.5	2520.38	242.88	202.66	638.15	490.14	559.28	529.06	603.67	483.38	281.09	376.41	242.88	1991.0	1844.76	167.9	281.09	1806.78	476.71	1037.29	379.04	629.35	281.09	1397.83	603.67	802.41	518.15	543.96	234.57	1551.09	262.2	532.74	1167.14	389.72	559.28	1088.92	231.32	212.78	1662.49	1023.0	1923.14	995.0	366.09	5441.3	318.57	389.72	974.5	896.64	507.46	1757.34	438.59	1081.39	2018.8	1605.83	4239.45	483.38	511.0	325.29	503.95	450.94	466.88	567.1	669.92	567.1	493.56	860.08	4038.61	1259.69	486.75	974.5	1015.93	638.15	3235.01	848.22	309.83	209.84	620.67	5791.62	4419.52	2148.82	511.0
MSMB	14.03	0.0	800198.39	502929.67	411347.03	391864.76	894051.48	195931.88	123144.13	453265.5	331809.5	602247.76	363097.14	290865.98	509950.32	453265.5	220434.95	288856.81	783730.52	358098.26	214407.12	569761.05	149521.18	184082.4	253213.41	322736.12	558035.51	381149.17	290865.98	311742.51	193234.41	47642.77	20593.91	215898.44	509950.32	711250.37	370726.6	434801.29	322736.12	233003.78	1019901.63	324980.94	292889.12	434801.29	345900.08	28723.62	811368.76	778316.89	691801.16	706337.4	659036.03	363097.14	4671.57	311742.51	282912.21	292889.12	456418.21	226632.25	554180.87	290865.98	253213.41	845824.19	236256.4	453265.5	431797.89	1212874.47	10296.45	459592.86	92040.7	431797.89	172949.54	554180.87	778316.89	400098.69	1264380.15	1308968.45	1139523.1	169390.27	397335.0	636586.81	1171559.48	237899.7	919186.72	133825.1	581732.96	958220.73	368165.8	437825.58	479109.86	577714.63	919186.72	402881.61	334117.42	565825.41	417089.23	542775.98	56265.94	211455.3	509950.32	260332.24	402881.61	509950.32	112532.89	1645391.11	894051.48	619179.28	762299.34	654483.73	85876.94	397335.0	573724.06
NDEL1	309.83	447.82	764.36	813.63	616.37	785.88	656.11	1104.13	1030.12	629.35	669.92	728.11	417.77	616.37	890.44	748.61	591.22	559.28	825.0	669.92	679.29	842.36	1143.1	1151.06	728.11	587.13	915.51	981.29	525.39	780.44	669.92	928.3	587.13	642.59	909.17	665.29	651.58	587.13	642.59	693.58	507.46	450.94	723.08	954.43	842.36	540.19	693.58	1208.34	450.94	575.03	642.59	684.02	323.03	769.69	753.83	708.18	764.36	595.34	759.08	825.0	312.0	743.43	836.53	647.07	738.29	595.34	579.04	620.67	981.29	703.28	896.64	860.08	656.11	1066.48	607.87	656.11	836.53	808.0	748.61	808.0	656.11	848.22	921.88	819.3	1051.79	764.36	674.59	728.11	567.1	612.11	848.22	836.53	603.67	718.08	813.63	890.44	1447.15	954.43	728.11	743.43	665.29	733.19	1427.22	819.3	693.58	575.03	454.09	1572.76	1023.0	825.0	551.56
NFIL3	171.45	409.15	1467.37	1628.26	759.08	967.76	921.88	3443.31	3467.27	896.64	665.29	1639.59	444.72	532.74	1819.35	848.22	656.11	813.63	836.53	1001.93	536.45	633.73	3564.78	4388.98	1806.78	954.43	1447.15	2555.58	684.02	1119.56	1508.65	2682.69	909.17	460.44	902.89	1268.46	438.59	878.17	934.76	995.0	547.75	642.59	674.59	2224.63	2976.74	334.46	1051.79	3639.7	733.19	988.12	1015.93	728.11	232.94	1832.01	934.76	1096.5	961.07	1151.06	764.36	1498.22	457.25	1037.29	1397.83	988.12	819.3	1304.15	353.59	409.15	1183.45	1721.16	2816.11	1909.85	928.3	3103.19	928.3	1225.22	1857.6	1936.53	1030.12	2895.31	1030.12	1794.29	2502.97	2047.0	4481.23	1191.69	703.28	743.43	995.0	642.59	1127.35	1378.57	1216.75	1143.1	1015.93	1233.75	3235.01	2193.99	406.31	1104.13	1977.24	954.43	2193.99	1540.37	1051.79	480.04	575.03	3280.18	1745.2	4095.0	896.64
