	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.RWS6.1926.SM.47JXY	GTEX.S341.1526.SM.4AD6K	GTEX.X15G.1626.SM.3NMB3	GTEX.14E6E.1726.SM.5S2R6	GTEX.Y114.1626.SM.4TT7I	GTEX.11DXX.1926.SM.5EGJK	GTEX.ZPIC.1926.SM.57WFQ	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.ZE7O.0826.SM.57WCP	GTEX.YJ8O.1826.SM.5HL82	GTEX.132QS.1126.SM.5P9GC	GTEX.XGQ4.1826.SM.4AT6F	GTEX.117YX.1526.SM.5H12T
KLHL9	738.29	764.36	769.69	1331.57	1127.35	791.35	493.56	571.05	420.68	325.29	285.03	463.65	86.43	157.68	81.71	470.14	115.16	258.57	93.35	176.29	234.57	43.94	92.7	154.42	116.78	101.54	96.68	106.63	217.27	55.49	603.67	575.03	301.33	463.65	616.37
LCA5	186.4	242.88	264.03	387.02	521.76	299.25	232.94	186.4	52.45	55.1	37.85	98.73	2.53	17.64	3.99	20.11	9.27	35.25	5.06	19.68	9.2	8.85	7.34	12.27	12.09	12.0	13.03	3.76	27.25	4.06	429.54	217.27	53.57	93.35	73.54
MSL2	567.1	684.02	599.49	688.78	713.11	603.67	579.04	497.0	299.25	291.04	281.09	361.04	80.57	185.11	151.22	223.41	166.73	217.27	144.01	148.09	162.14	141.02	154.42	124.37	215.77	156.59	199.85	159.9	260.38	102.25	341.51	376.41	299.25	325.29	314.17
MTHFSD	392.44	417.77	518.15	583.07	497.0	301.33	379.04	412.0	232.94	204.07	195.72	366.09	127.0	85.82	127.0	121.79	139.07	134.3	128.79	88.88	163.28	71.0	100.13	115.16	96.01	134.3	133.36	69.03	107.38	52.08	438.59	271.48	181.28	246.28	242.88
PAK7	56.68	47.17	130.6	65.72	43.94	57.89	21.78	41.81	2.32	1.3	0.49	73.54	0.88	3.32	0.49	3.56	0.53	14.89	0.44	0.6	1.93	0.0	0.52	0.59	0.0	3.5	5.19	1.55	1.55	2.01	3.86	6.41	27.64	11.38	19.97
PDGFD	934.76	638.15	738.29	1519.15	2090.03	1540.37	476.71	1304.15	123.5	127.89	107.38	616.37	25.72	97.36	56.28	98.04	15.8	90.77	22.75	22.26	48.52	5.32	46.18	49.91	62.56	58.3	77.79	25.17	100.83	8.85	47.5	265.87	511.0	229.72	559.28
PHIP	356.05	688.78	599.49	769.69	529.06	403.5	450.94	366.09	220.32	236.21	149.12	381.68	9.63	77.79	29.7	159.9	40.07	82.87	24.28	55.89	46.18	22.92	115.16	28.45	78.34	32.13	78.89	54.72	114.36	14.45	249.73	273.37	189.02	195.72	281.09
PI4KB	1233.75	1096.5	1313.23	1745.2	1487.87	1477.58	1457.23	1388.16	854.13	866.07	981.29	1268.46	339.14	343.89	473.41	258.57	587.13	358.54	400.71	368.65	389.72	285.03	728.11	351.14	503.95	395.18	529.06	346.29	486.75	177.53	1572.76	1457.23	1127.35	1277.29	1605.83
PIK3C3	1175.27	1286.18	1313.23	1508.65	1467.37	1331.57	1167.14	1199.98	909.17	769.69	713.11	866.07	325.29	595.34	616.37	796.86	234.57	518.15	567.1	420.68	591.22	514.56	660.68	563.18	444.72	318.57	371.22	327.56	536.45	420.68	860.08	1359.57	718.08	981.29	1259.69
PPIL3	703.28	1044.52	1135.2	1397.83	1529.73	995.0	743.43	896.64	441.64	753.83	361.04	866.07	154.42	351.14	417.77	591.22	507.46	555.41	514.56	441.64	228.13	281.09	217.27	397.93	536.45	353.59	387.02	332.14	500.46	295.11	1437.15	842.36	511.0	493.56	525.39
RUFY2	295.11	447.82	400.71	483.38	351.14	323.03	260.38	279.14	176.29	215.77	134.3	312.0	13.03	59.13	61.25	99.43	47.17	89.51	47.5	68.55	66.18	40.07	72.52	48.87	47.17	58.71	52.45	50.27	105.15	32.36	336.79	314.17	154.42	172.65	218.79
SLC25A21-AS1	138.1	132.44	123.5	220.32	157.68	130.6	86.43	325.29	56.28	94.01	29.27	146.03	7.69	23.59	26.1	7.57	15.56	14.56	34.26	25.17	16.75	7.75	5.68	13.52	15.22	7.57	20.41	5.92	59.55	3.0	232.94	125.24	65.26	84.04	90.14
SPAG16	688.78	638.15	733.19	2047.0	1104.13	432.53	708.18	1030.12	567.1	423.61	366.09	493.56	232.94	226.54	258.57	813.63	463.65	193.01	293.07	346.29	145.02	237.86	285.03	251.48	620.67	363.56	299.25	161.02	1023.0	212.78	1662.49	1096.5	444.72	587.13	532.74
TBPL1	759.08	633.73	571.05	703.28	612.11	679.29	607.87	819.3	525.39	483.38	463.65	651.58	215.77	387.02	351.14	420.68	244.57	376.41	392.44	343.89	329.84	329.84	412.0	356.05	314.17	525.39	470.14	314.17	872.1	157.68	1745.2	1051.79	460.44	642.59	974.5
TF	1551.09	934.76	1721.16	2271.4	1023.0	1015.93	170.25	3847.29	61.25	40.36	12.18	563.18	301123.38	2786455.11	3406832.48	2039804.27	2825352.59	2068278.89	1739208.14	1.271475112E7	1864037.21	2279047.19	2617937.91	4165330.83	8273118.55	3007221.12	2232145.06	2011721.67	2375828.71	1355129.16	718.08	176.29	371.22	231.32	135.24
TFAP4	195.72	368.65	379.04	318.57	264.03	312.0	346.29	450.94	151.22	147.06	218.79	208.38	54.72	78.34	105.89	80.01	80.57	92.05	74.58	60.39	94.67	86.43	26.47	41.52	79.45	56.68	125.24	64.8	118.43	36.01	236.21	163.28	199.85	186.4	297.17
TRNP1	447.82	348.71	567.1	314.17	239.52	878.17	366.09	441.64	356.05	161.02	339.14	591.22	60.39	65.26	29.7	64.8	23.76	206.94	14.24	55.49	153.34	66.18	53.19	115.16	88.88	49.91	16.15	56.68	39.79	62.12	1073.91	1059.11	205.5	371.22	180.02
WARS2	241.19	423.61	392.44	476.71	339.14	334.46	447.82	214.27	169.07	194.36	173.85	320.8	89.51	121.79	88.26	329.84	99.43	231.32	186.4	285.03	189.02	85.22	151.22	171.45	109.66	115.97	191.67	88.88	170.25	158.79	305.55	343.89	309.83	193.01	249.73
WDR35	211.31	275.28	320.8	293.07	334.46	295.11	260.38	221.86	100.13	120.94	92.05	253.23	13.93	18.43	11.91	59.55	15.11	39.5	26.67	48.87	36.53	6.36	29.27	25.54	40.64	5.15	24.63	18.56	44.89	7.17	218.79	198.47	117.6	186.4	167.9
ZBTB41	193.01	255.0	195.72	387.02	493.56	206.94	224.97	175.07	92.05	78.89	68.07	102.97	9.56	31.45	18.97	81.14	37.59	62.12	47.84	51.71	48.52	23.25	43.63	32.59	61.68	49.56	48.18	24.11	68.07	25.91	119.26	117.6	78.89	86.43	98.04
ZC2HC1A	373.81	463.65	703.28	981.29	866.07	447.82	269.6	444.72	153.34	209.84	150.17	316.37	4.94	42.41	15.22	36.79	10.0	28.24	25.54	12.64	21.16	12.09	43.94	14.67	27.44	12.74	8.06	5.32	55.49	7.63	819.3	708.18	197.09	226.54	239.52
ZMYM1	170.25	251.48	279.14	314.17	176.29	171.45	255.0	180.02	101.54	96.01	65.26	143.01	7.28	56.28	33.78	70.01	30.78	59.55	38.4	53.57	39.22	15.68	56.68	31.67	44.89	51.71	36.79	30.56	78.34	27.84	120.1	118.43	59.55	84.63	82.29
ZNF212	205.5	279.14	309.83	341.51	309.83	232.94	253.23	262.2	164.42	167.9	201.25	183.82	95.34	149.12	130.6	82.29	140.04	130.6	105.89	117.6	100.83	113.56	133.36	122.64	145.02	193.01	141.02	120.94	166.73	49.56	289.02	218.79	204.07	211.31	244.57
ZNF425	52.45	85.22	80.01	100.83	155.5	108.14	96.68	150.17	57.89	48.52	24.11	84.63	8.38	7.88	10.71	25.91	12.18	22.26	7.22	19.97	21.01	24.99	10.47	17.9	17.64	14.24	14.78	12.74	19.53	0.64	59.55	55.1	53.19	63.45	67.12
ZNF433	193.01	242.88	236.21	223.41	205.5	137.14	165.57	221.86	54.72	127.0	59.55	113.56	18.84	48.52	40.36	57.89	34.26	38.95	59.55	36.79	23.59	10.88	45.21	46.5	68.55	117.6	46.18	28.04	38.95	25.54	178.77	115.97	137.14	103.69	147.06
ZNF442	53.57	85.22	53.57	116.78	66.18	75.11	36.01	82.29	33.06	67.59	22.26	84.63	4.62	24.99	18.97	23.08	20.71	13.32	4.43	20.11	10.63	16.63	10.55	17.0	20.41	15.45	17.13	14.56	13.42	5.63	50.27	124.37	29.48	57.49	43.94
ZNF501	122.64	164.42	163.28	339.14	178.77	153.34	198.47	215.77	111.99	84.04	61.68	105.89	0.68	14.35	6.67	49.56	15.68	20.71	3.38	5.28	14.89	2.43	3.23	41.81	18.03	14.24	6.89	4.82	20.56	4.82	130.6	108.9	64.34	87.65	81.71
ZNF502	138.1	190.34	223.41	395.18	190.34	211.31	152.28	348.71	92.05	105.89	78.34	100.13	4.06	20.86	24.99	59.13	25.91	14.78	19.39	21.16	8.32	12.64	17.64	35.5	22.1	36.01	34.02	24.28	28.86	1.64	187.71	138.1	70.01	90.14	111.99
ZNF607	152.28	125.24	145.02	231.32	199.85	138.1	143.01	181.28	51.35	31.9	60.39	75.11	2.03	21.32	7.34	3.76	5.23	30.12	6.26	3.96	4.39	4.43	6.62	14.67	8.19	8.92	13.62	1.31	16.75	1.93	187.71	121.79	47.5	70.51	71.5
ZNF616	154.42	218.79	253.23	325.29	307.69	320.8	234.57	205.5	104.42	83.45	77.25	129.69	32.36	43.94	32.82	62.56	37.05	78.89	43.32	71.5	41.22	30.12	48.18	58.3	40.36	38.4	40.64	32.82	47.84	31.45	220.32	153.34	85.22	109.66	129.69
ZNF625-ZNF20	117.6	116.78	78.89	111.99	120.1	97.36	100.13	107.38	32.59	57.49	43.94	46.18	0.0	8.13	3.5	9.41	13.12	13.52	25.91	6.78	12.09	17.77	13.93	7.69	27.44	5.15	15.22	3.76	18.16	8.45	220.32	42.71	37.32	44.57	40.64
