	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BR.8060.01A.11R.2343.13	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8686.01A.11R.2402.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13
CEP95	435.55	511.0	466.88	199.85	409.15	205.5	642.59	389.72	403.5	540.19	165.57	75.64	162.14	277.2	202.66	348.71	164.42	450.94	426.57	221.86	571.05	159.9	400.71	334.46	265.87	493.56	271.48	450.94	1008.9	1066.48	728.11	616.37	915.51	1096.5	733.19	796.86	866.07	819.3	1023.0
CHERP	503.95	435.55	575.03	323.03	361.04	466.88	723.08	642.59	450.94	406.31	289.02	87.03	343.89	409.15	234.57	381.68	260.38	486.75	314.17	275.28	470.14	264.03	381.68	500.46	305.55	587.13	575.03	764.36	780.44	878.17	934.76	759.08	1023.0	1388.16	819.3	921.88	1001.93	728.11	915.51
CLASRP	547.75	532.74	651.58	202.66	363.56	303.44	575.03	567.1	353.59	412.0	180.02	87.03	255.0	224.97	234.57	201.25	139.07	480.04	329.84	423.61	723.08	137.14	490.14	392.44	221.86	583.07	329.84	1008.9	1857.6	1991.0	1059.11	1151.06	1721.16	2061.24	1572.76	2255.7	3018.3	1388.16	1819.35
CLK1	1322.37	1313.23	1427.22	902.89	1977.24	547.75	1794.29	733.19	1037.29	2209.26	470.14	629.35	497.0	1417.35	395.18	780.44	215.77	1081.39	1081.39	934.76	1008.9	381.68	1183.45	559.28	703.28	2004.85	981.29	1540.37	4038.61	6250.56	1498.22	2537.92	3491.39	1896.65	2417.67	2997.45	2895.31	1781.89	2997.45
CSNK2B-LY6G5B-1181	19.53	14.45	29.06	1.69	20.26	5.68	16.63	19.68	13.62	28.65	7.94	0.0	2.56	10.0	1.51	10.16	3.86	23.93	10.39	11.3	30.56	10.0	13.62	9.93	11.82	60.82	23.93	114.36	57.49	381.68	81.71	73.03	18.97	70.51	56.68	183.82	205.5	124.37	80.57
CSTF3	480.04	595.34	486.75	379.04	500.46	406.31	633.73	470.14	500.46	738.29	348.71	295.11	392.44	457.25	438.59	529.06	480.04	518.15	518.15	454.09	603.67	432.53	493.56	420.68	708.18	435.55	412.0	759.08	723.08	819.3	1081.39	551.56	629.35	713.11	616.37	1519.15	1143.1	507.46	748.61
CWC25	343.89	325.29	363.56	153.34	277.2	301.33	258.57	309.83	307.69	279.14	209.84	25.54	239.52	265.87	260.38	303.44	242.88	353.59	255.0	301.33	353.59	232.94	291.04	251.48	314.17	373.81	262.2	348.71	616.37	669.92	403.5	312.0	414.87	813.63	476.71	688.78	444.72	438.59	575.03
DENND4B	289.02	241.19	406.31	113.56	249.73	249.73	447.82	316.37	327.56	260.38	164.42	52.08	221.86	232.94	180.02	299.25	155.5	336.79	223.41	206.94	329.84	183.82	267.73	283.05	180.02	438.59	327.56	1135.2	1617.0	1529.73	1127.35	713.11	2555.58	1277.29	921.88	1015.93	1745.2	842.36	961.07
DGCR8	293.07	201.25	353.59	126.12	218.79	312.0	325.29	373.81	228.13	232.94	208.38	24.11	273.37	265.87	221.86	269.6	237.86	301.33	264.03	193.01	269.6	253.23	281.09	312.0	209.84	339.14	320.8	353.59	551.56	460.44	674.59	447.82	575.03	1044.52	532.74	543.96	583.07	518.15	435.55
DHX34	273.37	186.4	217.27	106.63	147.06	122.64	258.57	309.83	153.34	141.02	98.73	10.71	105.89	107.38	57.49	116.78	51.71	164.42	118.43	100.13	148.09	80.57	151.22	176.29	85.82	208.38	164.42	279.14	400.71	334.46	429.54	314.17	529.06	813.63	341.51	547.75	476.71	303.44	713.11
DRD4	1.39	7.46	9.63	1.75	7.4	2.68	10.16	1.04	1.99	12.18	1.01	0.0	4.54	0.39	0.74	2.2	1.71	7.57	0.77	0.78	3.06	2.81	2.51	6.89	2.27	11.82	7.57	8.13	24.99	26.86	11.04	13.72	23.93	26.67	23.25	27.44	38.95	25.91	19.25
ENTHD2	191.67	191.67	264.03	57.08	186.4	128.79	356.05	229.72	145.02	214.27	97.36	35.25	173.85	120.1	81.14	125.24	73.54	193.01	115.16	87.65	185.11	94.67	135.24	214.27	63.0	307.69	199.85	497.0	830.75	995.0	493.56	616.37	1001.93	1832.01	896.64	1159.07	791.35	540.19	1183.45
EP400NL	70.01	128.79	97.36	23.59	62.12	78.34	69.03	66.18	59.97	85.82	33.06	13.52	61.25	50.27	29.7	39.5	34.02	60.82	73.54	64.8	87.03	27.44	61.68	38.67	37.05	91.41	93.35	189.02	260.38	151.22	212.78	177.53	241.19	234.57	258.57	307.69	249.73	190.34	124.37
FAM102B	57.49	65.72	64.8	37.32	71.0	58.71	77.79	62.56	144.01	94.01	17.25	4.66	40.93	63.0	40.07	59.55	44.89	43.63	97.36	50.98	45.85	88.88	52.82	29.48	94.01	35.76	38.95	507.46	503.95	199.85	171.45	384.34	483.38	395.18	454.09	353.59	115.16	389.72	144.01
FAM160B2	551.56	435.55	583.07	229.72	348.71	400.71	679.29	599.49	409.15	435.55	171.45	53.19	423.61	339.14	341.51	332.14	312.0	500.46	307.69	334.46	414.87	279.14	473.41	426.57	271.48	713.11	450.94	947.83	1498.22	1651.0	808.0	1519.15	1477.58	2032.85	1628.26	1151.06	1417.35	1572.76	1745.2
FBRS	928.3	718.08	915.51	341.51	759.08	543.96	981.29	723.08	830.75	698.41	559.28	129.69	551.56	647.07	426.57	507.46	363.56	791.35	536.45	575.03	830.75	412.0	629.35	890.44	473.41	947.83	967.76	1096.5	1340.84	1583.71	974.5	1295.13	2018.8	1883.54	1519.15	1757.34	1991.0	1388.16	1540.37
FBXL12	432.53	358.54	381.68	181.28	224.97	269.6	343.89	318.57	312.0	323.03	194.36	159.9	275.28	232.94	208.38	206.94	191.67	303.44	255.0	314.17	297.17	180.02	303.44	255.0	295.11	397.93	320.8	323.03	447.82	595.34	285.03	476.71	432.53	429.54	466.88	698.41	486.75	529.06	543.96
FBXO46	307.69	175.07	251.48	99.43	129.69	176.29	256.78	269.6	185.11	202.66	115.97	31.9	150.17	161.02	92.05	134.3	75.64	164.42	138.1	198.47	202.66	92.7	141.02	151.22	95.34	206.94	242.88	507.46	412.0	450.94	476.71	397.93	591.22	688.78	348.71	651.58	703.28	373.81	423.61
FNBP4	660.68	638.15	629.35	199.85	417.77	395.18	450.94	476.71	476.71	547.75	291.04	41.52	339.14	432.53	264.03	384.34	201.25	660.68	620.67	381.68	571.05	220.32	698.41	368.65	466.88	563.18	389.72	1135.2	2816.11	1977.24	1617.0	1397.83	2739.08	1870.53	1572.76	2468.49	2255.7	1757.34	1639.59
FOXP4	599.49	575.03	444.72	269.6	332.14	368.65	403.5	353.59	395.18	249.73	447.82	61.25	271.48	295.11	189.02	289.02	161.02	387.02	279.14	293.07	351.14	182.55	400.71	460.44	287.01	497.0	503.95	1628.26	1477.58	1143.1	1806.78	1208.34	1508.65	3768.09	1277.29	2591.27	1540.37	1183.45	2591.27
GRIPAP1	563.18	497.0	567.1	329.84	291.04	497.0	480.04	703.28	480.04	417.77	332.14	53.19	473.41	476.71	403.5	371.22	376.41	536.45	426.57	450.94	493.56	403.5	514.56	521.76	366.09	603.67	507.46	974.5	878.17	669.92	981.29	587.13	981.29	1477.58	698.41	967.76	693.58	674.59	796.86
KCTD13	206.94	223.41	224.97	138.1	159.9	120.1	242.88	295.11	195.72	256.78	100.13	67.59	175.07	164.42	140.04	104.42	88.88	206.94	170.25	199.85	189.02	111.99	186.4	182.55	113.56	262.2	191.67	583.07	723.08	703.28	305.55	389.72	896.64	529.06	429.54	728.11	708.18	403.5	511.0
KIAA0895L	142.01	171.45	201.25	35.0	55.1	175.07	131.51	175.07	239.52	125.24	87.03	15.68	51.71	63.0	50.63	70.01	45.85	164.42	86.43	102.25	177.53	74.06	112.77	110.43	67.59	325.29	145.02	376.41	295.11	285.03	507.46	277.2	287.01	575.03	536.45	612.11	327.56	299.25	733.19
KIAA1211	12.74	11.55	27.64	32.36	0.87	8.65	12.0	4.46	30.78	17.25	4.5	0.0	13.03	17.9	11.21	8.38	5.54	11.73	13.03	8.58	7.0	8.13	10.24	5.15	10.79	41.22	8.19	205.5	84.63	29.48	60.39	121.79	195.72	103.69	144.01	159.9	35.25	108.9	24.63
KLHL17	79.45	73.03	147.06	17.25	86.43	33.78	120.1	106.63	65.26	82.87	38.12	9.34	33.54	41.22	43.94	37.59	18.16	77.79	31.0	45.53	75.11	34.75	44.89	52.82	16.63	135.24	78.34	307.69	253.23	236.21	269.6	164.42	303.44	529.06	171.45	351.14	229.72	215.77	366.09
LRP5L	99.43	120.1	94.67	54.33	165.57	46.84	172.65	114.36	180.02	151.22	18.29	43.02	47.17	58.71	16.27	74.06	20.41	108.14	103.69	22.59	118.43	27.64	77.79	73.03	44.25	125.24	102.97	146.03	181.28	205.5	201.25	177.53	173.85	175.07	208.38	267.73	283.05	136.19	264.03
LUC7L	769.69	607.87	830.75	353.59	698.41	218.79	961.07	575.03	642.59	915.51	221.86	114.36	426.57	525.39	417.77	444.72	318.57	571.05	283.05	329.84	759.08	536.45	500.46	684.02	303.44	1008.9	599.49	1119.56	1923.14	1639.59	1191.69	785.88	1167.14	988.12	1233.75	1721.16	1119.56	1081.39	1662.49
LY6G5B	20.11	27.84	47.84	3.23	43.94	26.86	64.34	29.48	28.04	33.06	13.72	2.97	10.0	17.51	8.71	40.07	1.81	55.49	14.56	6.52	50.63	12.18	21.01	41.52	13.03	109.66	41.81	246.28	503.95	493.56	248.0	198.47	450.94	503.95	325.29	295.11	406.31	318.57	248.0
MAN2C1	1081.39	1304.15	1417.35	830.75	915.51	540.19	1044.52	1447.15	698.41	1781.89	339.14	698.41	684.02	796.86	595.34	854.13	603.67	1051.79	748.61	669.92	1167.14	642.59	890.44	1111.82	559.28	1977.24	1066.48	1477.58	3190.46	2555.58	2061.24	2090.03	3146.52	4239.45	2367.9	2816.11	3467.27	2209.26	1757.34
MAP3K10	264.03	175.07	287.01	105.15	157.68	172.65	373.81	176.29	281.09	152.28	133.36	25.17	134.3	161.02	144.01	100.13	127.0	176.29	76.17	199.85	182.55	159.9	128.79	198.47	75.64	258.57	239.52	366.09	346.29	323.03	161.02	353.59	384.34	323.03	363.56	384.34	432.53	265.87	400.71
MAPK7	297.17	303.44	346.29	108.14	171.45	253.23	285.03	406.31	267.73	214.27	159.9	30.12	169.07	249.73	151.22	177.53	110.43	260.38	195.72	182.55	201.25	158.79	228.13	223.41	128.79	356.05	265.87	348.71	351.14	343.89	368.65	493.56	368.65	323.03	463.65	536.45	353.59	379.04	460.44
MAPK8IP3	239.52	334.46	432.53	66.18	258.57	236.21	366.09	392.44	181.28	414.87	72.01	18.84	132.44	173.85	66.65	141.02	56.28	334.46	211.31	145.02	325.29	69.52	228.13	232.94	114.36	679.29	285.03	624.99	1936.53	1605.83	521.76	825.0	2209.26	981.29	1242.34	1225.22	1617.0	1015.93	1233.75
MAU2	336.79	441.64	571.05	228.13	395.18	429.54	629.35	521.76	454.09	490.14	346.29	37.59	384.34	423.61	244.57	343.89	283.05	466.88	389.72	249.73	341.51	309.83	403.5	376.41	269.6	629.35	503.95	642.59	1151.06	1159.07	723.08	1015.93	1977.24	1023.0	954.43	974.5	1268.46	1037.29	728.11
MBD6	1096.5	878.17	674.59	346.29	961.07	521.76	769.69	555.41	490.14	753.83	356.05	112.77	318.57	500.46	194.36	473.41	124.37	718.08	543.96	267.73	591.22	139.07	703.28	629.35	287.01	764.36	813.63	1208.34	1183.45	1447.15	1259.69	1781.89	1350.18	2090.03	1427.22	1674.06	1757.34	981.29	921.88
MDM4	118.43	104.42	112.77	82.29	97.36	107.38	117.6	144.01	170.25	149.12	75.64	15.8	94.67	83.45	73.03	138.1	52.45	218.79	111.21	67.59	162.14	59.13	164.42	100.83	84.63	182.55	157.68	389.72	915.51	915.51	353.59	473.41	1225.22	444.72	547.75	624.99	954.43	629.35	551.56
MED15	785.88	703.28	842.36	426.57	647.07	620.67	796.86	693.58	603.67	748.61	441.64	165.57	603.67	660.68	403.5	514.56	384.34	688.78	603.67	476.71	684.02	423.61	679.29	769.69	358.54	813.63	802.41	981.29	1519.15	1529.73	909.17	1477.58	2319.15	2417.67	1572.76	1781.89	1896.65	1225.22	1477.58
MED26	130.6	118.43	135.24	44.89	84.63	96.68	114.36	81.71	97.36	115.97	65.72	35.0	80.57	90.14	56.28	65.72	52.45	102.97	80.01	61.25	110.43	60.39	83.45	96.01	69.03	115.97	123.5	152.28	182.55	223.41	172.65	171.45	208.38	189.02	189.02	246.28	309.83	178.77	204.07
MICAL1	204.07	195.72	211.31	89.51	107.38	165.57	125.24	212.78	152.28	109.66	94.01	18.16	151.22	102.97	87.03	105.15	76.17	155.5	129.69	145.02	145.02	121.79	132.44	208.38	115.97	285.03	153.34	1044.52	1457.23	995.0	381.68	371.22	1350.18	417.77	656.11	728.11	1583.71	507.46	848.22
MTA1	563.18	540.19	728.11	171.45	591.22	503.95	860.08	780.44	490.14	753.83	205.5	115.16	351.14	395.18	187.71	373.81	190.34	555.41	301.33	223.41	616.37	237.86	373.81	599.49	182.55	878.17	633.73	1963.57	1709.26	1883.54	1250.98	1806.78	1844.76	2255.7	1819.35	1628.26	2384.37	1605.83	1674.06
MZF1	312.0	271.48	291.04	189.02	169.07	195.72	420.68	356.05	178.77	279.14	81.71	18.56	181.28	180.02	80.01	155.5	106.63	236.21	145.02	134.3	228.13	129.69	169.07	206.94	87.65	435.55	239.52	457.25	738.29	764.36	583.07	486.75	1250.98	612.11	647.07	769.69	1135.2	575.03	432.53
NPIPA7	551.56	190.34	297.17	117.6	825.0	122.64	258.57	226.54	220.32	154.42	76.17	68.55	95.34	47.84	13.03	123.5	35.25	107.38	49.21	121.79	934.76	50.63	105.89	733.19	11.47	555.41	417.77	780.44	1059.11	2119.22	563.18	1467.37	743.43	2163.77	1037.29	1359.57	2384.37	1437.15	2018.8
OGFR	713.11	647.07	679.29	293.07	507.46	400.71	780.44	476.71	435.55	490.14	316.37	115.16	629.35	514.56	371.22	318.57	435.55	503.95	395.18	417.77	547.75	470.14	447.82	909.17	368.65	688.78	656.11	1191.69	1225.22	1167.14	1437.15	884.29	1304.15	1175.27	928.3	1388.16	1167.14	934.76	1923.14
PIAS4	293.07	334.46	403.5	232.94	242.88	343.89	339.14	412.0	353.59	262.2	312.0	35.0	297.17	366.09	189.02	316.37	267.73	429.54	251.48	193.01	244.57	246.28	287.01	379.04	197.09	299.25	384.34	525.39	277.2	423.61	493.56	775.05	366.09	503.95	656.11	651.58	665.29	529.06	493.56
PILRB	406.31	500.46	713.11	242.88	607.87	125.24	1088.92	312.0	426.57	373.81	144.01	31.45	105.89	125.24	47.17	265.87	34.51	473.41	185.11	66.65	417.77	67.12	353.59	466.88	76.71	1359.57	426.57	1073.91	1721.16	1769.57	1208.34	928.3	1819.35	1369.04	988.12	1794.29	2367.9	967.76	2061.24
PLA2G6	371.22	454.09	525.39	171.45	325.29	256.78	547.75	420.68	218.79	497.0	147.06	29.27	98.73	127.0	54.33	170.25	48.18	312.0	187.71	62.56	312.0	83.45	223.41	262.2	71.0	642.59	269.6	665.29	624.99	890.44	540.19	529.06	860.08	769.69	703.28	1268.46	1044.52	665.29	1175.27
PLCG1	466.88	529.06	616.37	291.04	403.5	532.74	633.73	620.67	567.1	669.92	295.11	73.03	460.44	435.55	312.0	503.95	323.03	698.41	507.46	218.79	567.1	514.56	540.19	441.64	275.28	679.29	490.14	1030.12	1896.65	1286.18	2224.63	1199.98	2855.44	1721.16	1909.85	1819.35	1561.89	1709.26	3847.29
PLOD3	890.44	713.11	679.29	332.14	454.09	796.86	603.67	1104.13	665.29	460.44	718.08	579.04	836.53	591.22	525.39	728.11	518.15	665.29	507.46	679.29	651.58	518.15	684.02	921.88	483.38	928.3	848.22	2645.74	2047.0	1572.76	2451.44	1457.23	2956.17	2240.11	1340.84	3018.3	2351.53	1487.87	5041.77
PLXNA3	103.69	68.07	177.53	47.17	42.41	88.26	146.03	126.12	121.79	68.55	27.25	17.64	104.42	116.78	55.89	90.14	61.25	95.34	77.79	115.16	91.41	78.34	123.5	117.6	43.32	140.04	67.59	551.56	764.36	381.68	764.36	500.46	1030.12	1088.92	397.93	1857.6	836.53	500.46	1572.76
POLR2J3	1529.73	1313.23	1242.34	507.46	1242.34	536.45	1417.35	1242.34	791.35	954.43	571.05	473.41	836.53	1191.69	563.18	769.69	718.08	764.36	674.59	1242.34	1216.75	629.35	624.99	176.29	764.36	1487.87	967.76	2090.03	3103.19	3515.68	1781.89	3146.52	2367.9	1551.09	2609.3	2895.31	6337.83	2018.8	3443.31
PRR12	128.79	164.42	295.11	136.19	248.0	206.94	301.33	224.97	175.07	204.07	135.24	14.35	186.4	251.48	83.45	137.14	105.89	244.57	157.68	59.55	154.42	125.24	157.68	228.13	98.04	221.86	318.57	325.29	525.39	511.0	334.46	536.45	819.3	624.99	571.05	559.28	713.11	480.04	368.65
PRR14	693.58	665.29	703.28	262.2	698.41	358.54	872.1	591.22	529.06	624.99	409.15	221.86	420.68	384.34	279.14	511.0	336.79	532.74	332.14	309.83	532.74	397.93	420.68	674.59	258.57	703.28	660.68	909.17	1225.22	1757.34	738.29	1304.15	1350.18	1617.0	1295.13	1096.5	1457.23	1143.1	1350.18
PRR24	563.18	339.14	236.21	99.43	183.82	218.79	229.72	299.25	305.55	204.07	93.35	197.09	320.8	169.07	151.22	209.84	125.24	269.6	223.41	384.34	309.83	133.36	267.73	358.54	191.67	371.22	281.09	291.04	400.71	954.43	473.41	1135.2	532.74	728.11	1030.12	647.07	988.12	860.08	909.17
REXO1	285.03	262.2	299.25	100.83	161.02	258.57	339.14	312.0	221.86	202.66	228.13	25.91	182.55	226.54	67.12	167.9	97.36	228.13	172.65	133.36	209.84	57.08	195.72	281.09	122.64	329.84	285.03	1183.45	796.86	785.88	559.28	703.28	1151.06	1963.57	620.67	921.88	1407.55	612.11	708.18
RGPD5	171.45	100.13	146.03	42.11	88.88	102.25	82.87	244.57	185.11	98.04	75.11	37.59	67.12	131.51	88.26	68.55	56.28	85.22	117.6	94.01	83.45	78.34	111.99	100.13	107.38	170.25	120.94	373.81	283.05	463.65	267.73	346.29	403.5	429.54	248.0	379.04	241.19	363.56	236.21
RNF44	514.56	454.09	642.59	224.97	403.5	460.44	651.58	642.59	555.41	463.65	316.37	112.77	358.54	463.65	224.97	417.77	237.86	493.56	444.72	314.17	417.77	262.2	444.72	543.96	323.03	669.92	708.18	1286.18	1487.87	1651.0	748.61	872.1	2384.37	1268.46	1023.0	1388.16	1991.0	728.11	796.86
RTEL1-TNFRSF6B	35.5	32.82	41.52	6.62	27.05	15.91	40.07	23.93	11.55	36.01	8.25	0.0	10.96	6.11	4.7	9.27	3.5	28.45	14.03	10.16	25.72	5.36	17.51	27.05	5.77	69.52	26.1	87.65	215.77	206.94	130.6	157.68	346.29	325.29	223.41	229.72	253.23	154.42	293.07
SIMC1	101.54	120.94	131.51	40.36	151.22	201.25	127.0	98.73	143.01	186.4	100.83	67.59	98.04	151.22	125.24	110.43	103.69	130.6	136.19	90.14	155.5	98.04	152.28	119.26	129.69	110.43	107.38	612.11	312.0	500.46	339.14	612.11	493.56	256.78	571.05	480.04	392.44	395.18	229.72
