	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AZ.6608.01A.11R.1839.07	TCGA.CA.5256.01A.01R.1410.07	TCGA.G4.6315.01A.11R.1723.07	TCGA.CM.4747.01A.01R.1410.07	TCGA.AA.3685.01A.02R.A32Z.07	TCGA.A6.6141.01A.11R.1774.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.L5.A88V.01A.11R.A354.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7423.11A.01R.2081.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.4110.01A.02R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MAP2K4	1286.18	147.06	147.06	183.82	176.29	195.72	224.97	120.1	187.71	412.0	500.46	473.41	575.03	420.68	403.5	547.75	363.56	62.56	0.0	0.54	175.07	854.13	409.15	808.0	551.56	1044.52	669.92	1143.1
MFSD11	665.29	237.86	289.02	323.03	262.2	237.86	273.37	291.04	336.79	417.77	521.76	563.18	490.14	384.34	318.57	559.28	389.72	101.54	0.0	0.6	363.56	674.59	480.04	620.67	547.75	669.92	808.0	1066.48
PARD3	4358.66	460.44	591.22	713.11	463.65	264.03	713.11	351.14	1268.46	1467.37	1794.29	1757.34	2520.38	1844.76	1977.24	2520.38	1030.12	71.5	0.0	0.66	599.49	2400.97	878.17	4736.79	2384.37	7382.04	3614.55	5633.22
PLEKHM2	915.51	441.64	226.54	486.75	438.59	441.64	665.29	490.14	723.08	915.51	1242.34	1225.22	1208.34	1001.93	974.5	1259.69	1277.29	82.29	0.0	0.92	500.46	1417.35	1457.23	1991.0	1359.57	1883.54	1662.49	1923.14
PPM1D	223.41	94.01	135.24	108.14	98.04	91.41	140.04	92.05	114.36	170.25	156.59	177.53	189.02	153.34	105.89	187.71	127.89	28.45	0.0	0.06	120.94	193.01	96.68	148.09	178.77	156.59	175.07	256.78
RALGPS2	679.29	56.28	86.43	124.37	155.5	70.01	97.36	88.26	148.09	518.15	358.54	441.64	642.59	334.46	246.28	559.28	187.71	62.56	0.0	0.27	178.77	571.05	242.88	1259.69	392.44	698.41	575.03	896.64
RXRA	2032.85	215.77	221.86	525.39	314.17	283.05	536.45	460.44	1044.52	1143.1	1498.22	1313.23	1685.71	1529.73	941.27	1950.0	1023.0	108.14	194.36	77.79	460.44	1977.24	1008.9	3325.99	1487.87	3419.52	2485.67	2384.37
SDR16C5	741454.2	41.22	9.63	39.22	115.16	14.24	89.51	0.0	86.43	1143.1	1304.15	1233.75	1322.37	2004.85	444.72	1457.23	1709.26	0.0	0.0	0.0	403.5	5872.48	1015.93	13399.51	4388.98	7857.29	5517.27	9540.5
SEPT5	2682.69	43.94	63.89	76.17	163.28	66.65	78.34	31.45	295.11	1001.93	1806.78	1044.52	2335.28	1295.13	595.34	2335.28	802.41	9.27	0.0	0.91	173.85	2240.11	1175.27	9409.14	1674.06	2682.69	3349.13	3257.52
SERTAD2	4268.94	95.34	73.03	114.36	170.25	64.8	165.57	81.71	202.66	583.07	656.11	555.41	954.43	708.18	660.68	813.63	480.04	9.78	0.0	0.55	126.12	748.61	361.04	1437.15	748.61	1001.93	775.05	1151.06
SH3PXD2A	244.57	211.31	164.42	232.94	291.04	114.36	473.41	191.67	599.49	540.19	819.3	764.36	902.89	743.43	444.72	1044.52	368.65	8.32	0.0	0.71	368.65	941.27	559.28	1388.16	769.69	1378.57	723.08	1111.82
SLAIN2	1561.89	438.59	224.97	476.71	603.67	314.17	607.87	521.76	651.58	890.44	1216.75	1322.37	1350.18	1066.48	1135.2	1709.26	1721.16	199.85	0.0	0.38	500.46	2875.3	1561.89	3874.05	2384.37	2816.11	2591.27	3103.19
SLK	3303.0	346.29	246.28	287.01	265.87	173.85	356.05	277.2	450.94	1467.37	1175.27	1583.71	1883.54	1427.22	808.0	1594.73	616.37	139.07	301.33	251.48	307.69	1936.53	723.08	2915.45	1561.89	2400.97	2047.0	3443.31
SPRR2B	217400.14	3.79	0.0	0.0	4.06	0.0	0.0	0.0	242.88	7749.1	753.83	1519.15	3614.55	1857.6	1037.29	264.03	3665.02	0.0	0.0	0.0	0.0	131982.68	878.17	74243.68	22380.2	125731.67	106462.55	794671.01
STXBP5	684.02	67.12	56.68	129.69	120.94	71.5	124.37	48.87	89.51	381.68	403.5	406.31	521.76	336.79	176.29	447.82	220.32	12.74	0.0	0.54	154.42	775.05	206.94	872.1	529.06	555.41	759.08	860.08
TGM3	654483.73	9.48	34.26	1.97	21.63	8.99	9.56	3.35	785.88	237899.7	475800.4	234624.45	2053992.24	368165.8	71714.63	1147449.11	21468.49	0.0	0.0	0.16	15.11	1442359.14	28132.47	2425749.94	1374046.07	5534416.31	2945333.38	4495342.72
TMEM63B	1397.83	358.54	143.01	579.04	384.34	279.14	555.41	563.18	703.28	878.17	934.76	775.05	954.43	1008.9	1015.93	896.64	748.61	100.83	0.0	0.33	514.56	785.88	836.53	1467.37	988.12	1388.16	1233.75	1388.16
TOM1L2	1991.0	239.52	68.55	318.57	368.65	199.85	435.55	211.31	346.29	902.89	1529.73	1397.83	1870.53	1199.98	1051.79	2645.74	878.17	47.84	0.0	0.57	301.33	1572.76	819.3	4358.66	1685.71	5147.73	2895.31	3742.05
TP53INP2	3690.52	87.65	50.27	231.32	185.11	102.97	251.48	87.03	406.31	1304.15	1950.0	1073.91	2193.99	2104.58	1259.69	2351.53	647.07	256.78	0.0	0.4	301.33	4607.24	759.08	2451.44	1369.04	2591.27	3124.78	11504.21
TRIP12	1963.57	521.76	395.18	921.88	813.63	555.41	836.53	595.34	1015.93	1313.23	1250.98	1233.75	1369.04	1216.75	674.59	1225.22	854.13	129.69	0.0	0.71	791.35	1111.82	954.43	1457.23	1015.93	1733.13	1594.73	1427.22
UBAP1	3146.52	426.57	928.3	733.19	825.0	679.29	728.11	384.34	902.89	1594.73	1757.34	1628.26	2271.4	1936.53	1388.16	2468.49	1286.18	595.34	0.0	0.64	1001.93	2701.35	1167.14	2816.11	2400.97	3419.52	3146.52	4095.0
UGT1A4	34.75	0.09	0.0	0.0	0.0	1.28	1.38	0.0	2.36	6.78	2.78	4.66	4.1	5.36	1.87	4.62	2.32	0.0	0.0	0.0	0.61	13.22	3.99	12.36	10.0	14.89	10.16	46.18
USP8	503.95	358.54	403.5	341.51	316.37	334.46	384.34	226.54	476.71	493.56	490.14	651.58	470.14	412.0	384.34	503.95	432.53	376.41	0.0	0.64	395.18	567.1	435.55	587.13	583.07	470.14	444.72	884.29
VPS4B	4769.75	273.37	426.57	381.68	406.31	336.79	555.41	218.79	567.1	2701.35	2485.67	2720.15	4152.18	2835.7	1447.15	3190.46	974.5	356.05	0.0	0.21	483.38	3564.78	1199.98	4736.79	3060.45	5183.54	3081.75	4298.64
WDR47	836.53	38.67	38.95	50.98	159.9	44.25	74.06	72.01	88.26	231.32	283.05	316.37	403.5	212.78	180.02	441.64	232.94	19.39	0.0	0.48	88.88	486.75	190.34	743.43	291.04	603.67	454.09	830.75
ZBTB7C	14262.1	39.5	0.14	46.5	58.71	11.21	194.36	8.13	59.97	273.37	902.89	563.18	1059.11	476.71	579.04	1088.92	647.07	1.57	0.0	0.39	63.89	1977.24	68.55	6337.83	3103.19	3491.39	3190.46	5633.22
