	TCGA.AR.A2LE.01A.11R.A180.07	GTEX.YFC4.1426.SM.5IFJG	TCGA.CV.7421.01A.11R.2081.07	TCGA.CQ.7072.01A.21R.A30B.07	GTEX.RN64.1626.SM.48FD7	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EP.1026.SM.4QAS5	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	TCGA.55.8614.01A.11R.2403.07	TCGA.50.6591.01A.11R.1755.07	TCGA.33.4589.01A.01R.1443.07	TCGA.56.7580.01A.11R.2045.07	TCGA.94.A5I4.01A.11R.A26W.07	TCGA.77.8145.01A.11R.2247.07	TCGA.85.8071.01A.11R.2247.07	TCGA.21.5782.01A.01R.1635.07	TCGA.60.2695.01A.01R.0851.07	TCGA.68.A59I.01A.11R.A262.07	TCGA.43.6770.01A.11R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.NC.A5HT.01A.11R.A26W.07	TCGA.33.4587.01A.11R.2125.07	TCGA.58.8388.01A.11R.2326.07	TCGA.34.5929.01A.11R.1820.07	TCGA.43.7657.01A.31R.2125.07	TCGA.85.6798.01A.11R.1949.07	TCGA.56.8628.01A.11R.2403.07	TCGA.43.7656.01A.11R.2125.07	TCGA.66.2789.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.AJ.A23N.01A.11R.A22K.07	TCGA.N6.A4V9.01A.11R.A28V.07	TCGA.N6.A4VG.01A.31R.A28V.07	GTEX.PWN1.2026.SM.48TD9
BRAP	329.84	256.78	220.32	366.09	253.23	212.78	189.02	229.72	141.02	158.79	176.29	113.56	193.01	136.19	155.5	167.9	186.4	205.5	301.33	204.07	141.02	220.32	193.01	186.4	161.02	118.43	186.4	202.66	273.37	101.54	379.04	277.2	255.0	312.0	493.56	381.68	218.79	353.59	229.72	287.01	395.18	307.69	547.75	358.54	253.23	314.17	397.93	285.03	318.57	571.05	363.56	301.33	432.53	264.03
BRD8	1233.75	2004.85	332.14	463.65	1745.2	361.04	808.0	785.88	878.17	287.01	470.14	170.25	406.31	232.94	157.68	171.45	176.29	255.0	559.28	185.11	218.79	260.38	181.28	435.55	450.94	197.09	237.86	638.15	1286.18	212.78	575.03	599.49	432.53	473.41	373.81	1073.91	764.36	583.07	603.67	642.59	934.76	1030.12	332.14	503.95	258.57	769.69	1119.56	521.76	2104.58	884.29	1388.16	1359.57	1651.0	356.05
C12orf65	307.69	525.39	447.82	279.14	624.99	454.09	435.55	379.04	384.34	165.57	267.73	86.43	269.6	171.45	251.48	175.07	242.88	96.68	226.54	153.34	283.05	127.89	157.68	218.79	287.01	77.79	221.86	454.09	490.14	297.17	348.71	629.35	287.01	665.29	493.56	813.63	361.04	432.53	412.0	703.28	909.17	759.08	591.22	460.44	525.39	507.46	629.35	450.94	293.07	595.34	332.14	497.0	571.05	463.65
C3orf62	163.28	185.11	34.02	41.52	108.14	36.27	82.29	164.42	67.12	54.33	73.54	37.32	68.07	32.82	33.3	27.64	24.63	40.93	113.56	27.25	48.87	50.98	20.56	57.49	43.02	44.25	53.19	242.88	63.45	36.27	129.69	127.89	65.26	81.14	109.66	124.37	121.79	62.56	136.19	100.83	106.63	146.03	111.99	82.29	99.43	103.69	138.1	212.78	102.25	152.28	94.01	45.21	122.64	178.77
CBFA2T2	389.72	490.14	180.02	457.25	283.05	104.42	159.9	111.99	115.16	37.05	68.07	46.18	53.57	61.25	74.58	21.01	19.82	17.51	97.36	58.3	144.01	30.34	26.47	60.82	50.98	45.21	75.64	316.37	297.17	21.01	353.59	285.03	426.57	303.44	267.73	579.04	536.45	239.52	242.88	420.68	486.75	483.38	503.95	457.25	195.72	353.59	327.56	239.52	748.61	201.25	285.03	271.48	318.57	82.29
DDX27	713.11	967.76	1119.56	1104.13	583.07	476.71	698.41	423.61	379.04	525.39	483.38	218.79	595.34	301.33	271.48	518.15	414.87	387.02	902.89	435.55	318.57	620.67	547.75	480.04	287.01	559.28	265.87	928.3	3564.78	555.41	591.22	1427.22	1037.29	438.59	825.0	1159.07	842.36	1388.16	1295.13	1498.22	2468.49	860.08	825.0	620.67	961.07	878.17	1991.0	483.38	2351.53	1529.73	1313.23	1119.56	1551.09	460.44
DHX37	165.57	211.31	239.52	191.67	172.65	260.38	303.44	176.29	159.9	92.7	124.37	122.64	148.09	106.63	95.34	93.35	87.03	177.53	129.69	108.14	80.57	279.14	135.24	111.21	72.52	131.51	111.99	256.78	305.55	76.71	366.09	297.17	251.48	275.28	358.54	420.68	285.03	339.14	241.19	223.41	269.6	358.54	316.37	241.19	497.0	289.02	397.93	161.02	414.87	536.45	320.8	387.02	638.15	275.28
DLG3	890.44	698.41	175.07	307.69	791.35	8.06	98.04	27.25	8.92	31.67	37.85	20.26	59.97	27.64	7.57	31.9	11.47	17.13	142.01	39.79	27.84	0.73	12.55	30.34	96.01	22.1	21.32	368.65	532.74	111.99	316.37	490.14	384.34	616.37	473.41	563.18	497.0	620.67	301.33	567.1	974.5	547.75	967.76	237.86	88.26	389.72	769.69	237.86	723.08	121.79	674.59	575.03	307.69	642.59
EP400	277.2	303.44	141.02	178.77	255.0	133.36	115.97	141.02	91.41	47.84	63.45	36.53	64.34	56.28	42.41	36.27	38.12	63.45	82.29	58.3	109.66	107.38	75.64	59.97	61.68	64.34	40.93	206.94	293.07	16.51	287.01	170.25	186.4	241.19	180.02	279.14	208.38	244.57	158.79	198.47	341.51	387.02	260.38	185.11	183.82	271.48	316.37	125.24	423.61	351.14	166.73	258.57	199.85	133.36
EPC1	616.37	921.88	262.2	258.57	995.0	169.07	248.0	366.09	191.67	325.29	239.52	84.63	224.97	136.19	177.53	139.07	102.25	162.14	221.86	232.94	161.02	98.04	231.32	277.2	299.25	271.48	209.84	301.33	289.02	173.85	226.54	231.32	346.29	262.2	241.19	454.09	371.22	275.28	356.05	470.14	651.58	555.41	384.34	239.52	136.19	490.14	595.34	190.34	221.86	447.82	371.22	343.89	543.96	426.57
EZH1	660.68	1268.46	206.94	348.71	915.51	84.04	329.84	301.33	189.02	115.16	198.47	100.13	156.59	140.04	136.19	59.13	60.82	75.64	204.07	82.87	142.01	61.68	90.77	193.01	221.86	84.63	111.21	301.33	356.05	43.32	379.04	417.77	271.48	283.05	221.86	441.64	356.05	318.57	341.51	529.06	457.25	860.08	199.85	218.79	175.07	450.94	563.18	237.86	351.14	320.8	208.38	158.79	258.57	309.83
FAM193A	463.65	500.46	180.02	265.87	343.89	112.77	234.57	260.38	145.02	109.66	140.04	106.63	135.24	116.78	133.36	91.41	72.52	90.77	172.65	95.34	131.51	94.01	76.71	169.07	138.1	187.71	159.9	275.28	651.58	21.47	320.8	202.66	277.2	262.2	178.77	679.29	332.14	435.55	183.82	309.83	490.14	718.08	234.57	229.72	289.02	450.94	307.69	218.79	358.54	301.33	629.35	387.02	403.5	198.47
FCHSD1	145.02	624.99	56.68	293.07	320.8	15.91	134.3	44.25	26.67	53.19	74.58	20.41	80.01	26.67	51.35	29.27	12.93	10.47	103.69	11.04	115.97	17.25	16.27	16.03	54.33	21.78	157.68	244.57	307.69	27.64	258.57	264.03	193.01	251.48	199.85	262.2	409.15	242.88	361.04	295.11	208.38	406.31	220.32	224.97	46.84	463.65	312.0	209.84	417.77	100.83	414.87	327.56	483.38	128.79
FLJ00104	14.35	114.36	15.0	37.59	62.12	10.16	17.38	17.13	7.69	4.54	8.58	5.92	8.99	8.25	11.21	0.45	2.32	5.45	17.38	1.01	5.73	7.11	1.23	4.35	16.88	5.06	4.39	66.65	26.28	1.55	46.5	39.5	39.22	33.78	29.91	57.89	47.5	47.17	53.57	36.53	87.03	69.52	15.34	15.8	8.32	61.68	76.17	13.93	83.45	55.49	37.59	20.56	36.01	14.56
FNBP1L	1277.29	1594.73	215.77	457.25	1051.79	130.6	208.38	205.5	271.48	97.36	130.6	96.01	209.84	144.01	226.54	120.1	178.77	92.05	231.32	115.97	197.09	63.89	77.79	217.27	129.69	59.97	143.01	571.05	854.13	115.16	232.94	215.77	423.61	493.56	329.84	684.02	514.56	258.57	460.44	480.04	1437.15	551.56	587.13	262.2	273.37	476.71	540.19	336.79	995.0	348.71	842.36	1295.13	1159.07	229.72
GCN1L1	872.1	884.29	718.08	688.78	802.41	738.29	323.03	607.87	269.6	271.48	267.73	285.03	289.02	320.8	139.07	277.2	373.81	454.09	264.03	414.87	187.71	497.0	444.72	341.51	151.22	341.51	156.59	866.07	1030.12	178.77	1143.1	567.1	629.35	769.69	1662.49	1191.69	830.75	1119.56	555.41	884.29	981.29	1159.07	693.58	559.28	1340.84	928.3	961.07	679.29	1594.73	1628.26	703.28	934.76	1674.06	438.59
GGA3	555.41	961.07	258.57	420.68	693.58	279.14	361.04	307.69	301.33	140.04	206.94	194.36	190.34	176.29	164.42	83.45	120.94	153.34	223.41	177.53	223.41	283.05	153.34	167.9	147.06	144.01	126.12	514.56	748.61	67.12	363.56	591.22	507.46	476.71	503.95	543.96	1233.75	633.73	559.28	909.17	607.87	743.43	438.59	373.81	293.07	521.76	688.78	423.61	954.43	551.56	896.64	723.08	890.44	275.28
GIGYF1	441.64	616.37	336.79	447.82	733.19	206.94	214.27	429.54	412.0	126.12	295.11	111.21	195.72	139.07	197.09	67.12	114.36	90.14	249.73	83.45	323.03	175.07	175.07	183.82	186.4	180.02	248.0	638.15	444.72	40.93	351.14	647.07	384.34	713.11	289.02	559.28	563.18	329.84	412.0	450.94	587.13	1199.98	265.87	332.14	299.25	651.58	616.37	212.78	738.29	532.74	323.03	629.35	1081.39	325.29
GON4L	825.0	733.19	246.28	397.93	529.06	124.37	406.31	258.57	303.44	150.17	198.47	108.9	242.88	89.51	109.66	48.52	84.63	114.36	239.52	173.85	260.38	246.28	125.24	163.28	164.42	205.5	182.55	612.11	791.35	49.91	603.67	521.76	753.83	529.06	460.44	995.0	688.78	463.65	529.06	486.75	791.35	902.89	480.04	320.8	379.04	591.22	748.61	361.04	738.29	567.1	703.28	493.56	934.76	305.55
HINFP	387.02	890.44	264.03	420.68	503.95	175.07	279.14	220.32	133.36	198.47	211.31	102.25	202.66	79.45	175.07	76.71	57.49	95.34	212.78	86.43	133.36	190.34	65.72	135.24	211.31	98.04	125.24	438.59	435.55	151.22	220.32	438.59	392.44	318.57	389.72	656.11	441.64	400.71	426.57	785.88	466.88	718.08	429.54	309.83	155.5	579.04	612.11	497.0	748.61	454.09	629.35	301.33	525.39	241.19
HIP1R	1183.45	536.45	486.75	483.38	1819.35	563.18	384.34	316.37	532.74	236.21	363.56	381.68	503.95	249.73	301.33	190.34	283.05	260.38	301.33	244.57	638.15	277.2	363.56	444.72	218.79	229.72	327.56	703.28	603.67	244.57	529.06	753.83	638.15	764.36	543.96	961.07	1015.93	511.0	669.92	1242.34	974.5	1073.91	356.05	314.17	616.37	1008.9	1151.06	441.64	1001.93	3419.52	988.12	796.86	981.29	193.01
IGFBP2	177811.84	8840.04	80683.28	88291.3	27553.49	42937.97	103551.29	143430.26	84109.6	78476.96	117311.73	5112.16	75803.72	51062.33	88291.3	10154.69	77934.88	164758.26	338781.54	30999.42	129266.49	124000.67	135693.24	71714.63	124863.17	13968.57	135693.24	56265.94	47974.16	5995.9	82378.63	163620.18	161367.56	71219.26	153724.82	8479.89	94628.34	90773.53	50709.61	102836.01	27363.16	6207.38	117311.73	65990.84	62431.08	126606.21	8778.97	110983.6	9151.82	46986.85	55877.28	52497.92	18178.19	158046.64
IKZF4	88.88	157.68	44.25	94.01	182.55	34.26	31.67	42.41	34.51	12.0	27.25	6.06	28.24	17.77	31.0	12.0	7.17	13.22	10.47	17.38	20.71	9.78	21.16	22.43	31.67	8.85	11.73	86.43	129.69	8.06	41.81	71.0	50.27	60.82	60.39	102.25	98.73	60.39	57.08	73.54	98.73	116.78	86.43	36.53	29.06	110.43	84.04	57.49	204.07	107.38	87.65	88.26	143.01	84.04
KAZN	384.34	872.1	356.05	146.03	1806.78	9.41	28.04	21.01	6.89	122.64	96.68	40.93	95.34	71.5	86.43	58.71	21.78	55.1	54.72	29.91	18.16	10.31	84.63	47.17	142.01	61.25	31.45	201.25	336.79	52.08	271.48	228.13	366.09	229.72	409.15	595.34	220.32	68.07	432.53	423.61	518.15	551.56	239.52	178.77	35.0	269.6	507.46	224.97	262.2	323.03	339.14	361.04	305.55	169.07
LSM14B	785.88	769.69	902.89	1044.52	620.67	260.38	1088.92	423.61	297.17	258.57	353.59	279.14	246.28	353.59	208.38	264.03	289.02	122.64	239.52	277.2	258.57	154.42	285.03	323.03	536.45	202.66	264.03	921.88	2796.65	295.11	571.05	1030.12	1540.37	764.36	1242.34	1617.0	1096.5	1175.27	1233.75	1857.6	1991.0	1427.22	1151.06	967.76	1044.52	1023.0	2061.24	819.3	2004.85	1208.34	1191.69	1561.89	1819.35	753.83
MDM4	486.75	543.96	66.65	285.03	339.14	40.93	178.77	81.71	132.44	88.26	98.04	32.59	138.1	42.11	89.51	20.86	20.86	49.56	226.54	49.21	209.84	62.12	86.43	89.51	82.29	124.37	169.07	226.54	376.41	37.85	307.69	218.79	376.41	289.02	177.53	426.57	260.38	297.17	163.28	150.17	460.44	571.05	141.02	90.77	97.36	281.09	283.05	171.45	575.03	279.14	178.77	336.79	366.09	63.45
MED12	429.54	878.17	312.0	262.2	713.11	170.25	341.51	258.57	159.9	108.14	146.03	105.89	118.43	120.94	102.25	54.33	101.54	81.71	218.79	120.94	108.14	153.34	77.25	204.07	140.04	115.16	85.82	547.75	629.35	32.82	432.53	285.03	525.39	728.11	432.53	536.45	607.87	733.19	285.03	507.46	802.41	769.69	450.94	206.94	258.57	866.07	693.58	480.04	1191.69	543.96	518.15	591.22	503.95	231.32
MGA	273.37	366.09	94.01	114.36	287.01	38.95	73.54	61.25	37.32	35.5	36.79	16.63	41.81	36.53	24.28	15.45	27.25	23.42	80.01	82.87	35.0	28.45	67.59	49.56	54.72	41.52	28.45	106.63	159.9	18.7	140.04	159.9	105.15	152.28	111.21	197.09	127.89	123.5	101.54	96.01	198.47	234.57	132.44	90.77	59.55	158.79	237.86	120.1	281.09	193.01	120.94	164.42	151.22	111.99
MSH5	115.97	361.04	129.69	251.48	343.89	96.01	136.19	44.57	255.0	26.86	90.14	40.93	134.3	42.41	46.18	29.27	60.82	19.39	57.08	17.51	155.5	23.76	71.5	131.51	91.41	41.81	87.65	358.54	371.22	58.3	132.44	312.0	185.11	476.71	190.34	325.29	217.27	312.0	312.0	733.19	718.08	808.0	201.25	237.86	147.06	273.37	507.46	175.07	1628.26	473.41	172.65	162.14	309.83	70.51
NCOA5	688.78	660.68	327.56	507.46	674.59	173.85	287.01	289.02	228.13	273.37	208.38	100.83	262.2	151.22	67.59	125.24	137.14	178.77	267.73	178.77	152.28	220.32	167.9	177.53	145.02	289.02	99.43	684.02	1540.37	120.94	447.82	518.15	642.59	473.41	567.1	866.07	500.46	595.34	616.37	381.68	1183.45	830.75	780.44	381.68	454.09	486.75	1015.93	287.01	967.76	599.49	791.35	813.63	1208.34	532.74
OTUD3	81.14	271.48	31.22	135.24	150.17	10.55	15.0	18.43	24.81	9.2	18.29	4.39	23.25	11.04	11.47	6.21	2.86	11.55	17.9	7.63	24.63	32.82	3.86	11.47	13.22	7.75	6.78	172.65	275.28	7.0	132.44	131.51	126.12	57.89	114.36	255.0	305.55	55.89	87.65	149.12	171.45	172.65	152.28	64.8	42.11	163.28	151.22	98.73	214.27	223.41	138.1	105.89	497.0	75.11
PGBD2	164.42	234.57	67.59	65.72	167.9	25.72	53.19	77.79	94.01	57.89	57.49	34.02	63.0	47.17	53.57	13.93	46.84	28.04	61.68	32.59	55.89	39.22	20.71	63.89	59.13	41.22	54.72	105.89	125.24	22.26	72.52	73.03	134.3	108.14	100.83	94.01	281.09	91.41	264.03	60.39	237.86	183.82	120.1	41.81	50.27	98.73	146.03	68.07	65.26	251.48	87.65	120.94	173.85	113.56
PHACTR4	406.31	438.59	373.81	371.22	551.56	150.17	341.51	343.89	175.07	136.19	155.5	138.1	164.42	154.42	157.68	146.03	132.44	209.84	109.66	197.09	125.24	90.14	260.38	241.19	262.2	165.57	132.44	392.44	525.39	27.05	450.94	206.94	237.86	244.57	371.22	473.41	285.03	423.61	303.44	269.6	412.0	426.57	447.82	211.31	271.48	412.0	363.56	277.2	620.67	567.1	511.0	236.21	295.11	178.77
PHIP	633.73	470.14	124.37	220.32	346.29	32.82	74.58	93.35	68.07	34.75	48.18	9.63	73.03	40.64	40.07	44.57	39.79	27.84	144.01	75.11	49.91	27.84	63.0	53.57	67.12	27.64	36.27	186.4	334.46	34.51	307.69	194.36	185.11	307.69	92.05	293.07	151.22	198.47	197.09	368.65	480.04	395.18	224.97	143.01	116.78	190.34	363.56	228.13	500.46	316.37	212.78	279.14	547.75	96.01
PLCG1	490.14	1870.53	785.88	1519.15	1369.04	244.57	480.04	470.14	299.25	165.57	204.07	217.27	158.79	153.34	57.49	110.43	77.79	101.54	255.0	102.25	130.6	48.52	115.97	178.77	155.5	186.4	86.43	1936.53	5183.54	167.9	718.08	1477.58	2119.22	884.29	928.3	2485.67	2178.83	1331.57	2047.0	1991.0	3190.46	3325.99	1143.1	934.76	723.08	1651.0	2739.08	842.36	3589.58	802.41	1313.23	2018.8	4671.57	438.59
POGZ	1594.73	2520.38	279.14	540.19	1628.26	169.07	587.13	460.44	441.64	164.42	273.37	158.79	293.07	176.29	239.52	64.34	98.73	100.83	195.72	131.51	258.57	85.22	145.02	241.19	361.04	187.71	173.85	713.11	1447.15	58.3	759.08	438.59	878.17	629.35	579.04	1561.89	836.53	624.99	579.04	836.53	1259.69	1819.35	679.29	441.64	483.38	890.44	813.63	567.1	1304.15	1313.23	1159.07	890.44	1662.49	392.44
PPP1R12A	651.58	1135.2	323.03	624.99	769.69	119.26	236.21	223.41	118.43	101.54	109.66	30.34	136.19	111.21	132.44	138.1	74.06	117.6	169.07	172.65	75.64	95.34	155.5	144.01	177.53	141.02	85.82	392.44	457.25	273.37	669.92	381.68	356.05	547.75	423.61	660.68	575.03	624.99	521.76	366.09	414.87	738.29	366.09	234.57	177.53	587.13	642.59	460.44	1088.92	1286.18	450.94	575.03	703.28	1023.0
PRMT7	688.78	1216.75	728.11	854.13	915.51	830.75	708.18	1081.39	409.15	432.53	518.15	435.55	353.59	486.75	567.1	214.27	500.46	500.46	307.69	258.57	291.04	271.48	373.81	486.75	679.29	307.69	376.41	981.29	718.08	379.04	603.67	651.58	813.63	454.09	848.22	1111.82	718.08	802.41	633.73	346.29	1369.04	842.36	450.94	563.18	536.45	1167.14	1674.06	463.65	748.61	743.43	579.04	551.56	1950.0	414.87
PRPF4B	1030.12	1037.29	316.37	878.17	995.0	190.34	525.39	379.04	281.09	260.38	224.97	85.22	327.56	202.66	309.83	171.45	181.28	223.41	438.59	287.01	253.23	289.02	194.36	237.86	256.78	124.37	167.9	713.11	1127.35	155.5	819.3	511.0	684.02	775.05	387.02	842.36	599.49	612.11	738.29	1037.29	1233.75	1081.39	743.43	423.61	379.04	669.92	1081.39	480.04	909.17	656.11	769.69	748.61	1023.0	473.41
PUM1	1216.75	1104.13	728.11	872.1	1081.39	309.83	536.45	567.1	283.05	201.25	307.69	228.13	387.02	318.57	376.41	206.94	275.28	287.01	432.53	351.14	358.54	223.41	371.22	457.25	334.46	262.2	285.03	769.69	1119.56	191.67	796.86	647.07	642.59	669.92	733.19	1340.84	733.19	921.88	647.07	688.78	1295.13	1447.15	1030.12	540.19	441.64	896.64	896.64	532.74	1304.15	921.88	860.08	708.18	1044.52	753.83
RALGAPB	624.99	791.35	258.57	563.18	638.15	100.83	226.54	218.79	136.19	79.45	87.03	63.45	119.26	102.97	79.45	74.06	55.89	108.9	130.6	126.12	141.02	149.12	118.43	80.57	110.43	223.41	121.79	595.34	518.15	102.97	231.32	348.71	466.88	197.09	228.13	511.0	536.45	348.71	447.82	371.22	607.87	463.65	318.57	303.44	148.09	423.61	493.56	295.11	1250.98	312.0	363.56	371.22	559.28	241.19
