	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
CDC7	182.55	35.25	123.5	95.34	126.12	165.57	61.25	189.02	246.28	133.36	64.8	79.45	70.51	191.67	86.43	141.02	199.85	56.68	86.43	518.15	201.25	37.59	183.82	110.43	98.04	85.22	111.99	98.73	197.09	547.75	132.44	41.81	62.12	32.36	15.8	18.43	29.7	20.56	32.13	31.22	14.89	8.99	11.55	55.89	36.53	6.01
CEP97	155.5	90.14	156.59	70.51	107.38	72.52	72.01	165.57	58.3	129.69	73.03	114.36	39.79	84.63	102.97	111.99	181.28	84.63	50.27	246.28	65.72	42.11	158.79	137.14	149.12	167.9	57.49	108.9	107.38	185.11	98.73	42.71	19.68	12.27	6.57	7.11	10.16	10.24	12.27	8.13	8.92	11.82	10.55	20.41	14.56	3.66
CLOCK	329.84	236.21	387.02	121.79	346.29	134.3	153.34	320.8	176.29	314.17	123.5	183.82	92.05	183.82	339.14	348.71	441.64	224.97	138.1	486.75	181.28	157.68	209.84	267.73	318.57	271.48	141.02	265.87	163.28	400.71	198.47	137.14	74.06	43.02	34.26	47.17	62.56	42.71	68.55	53.95	33.78	62.56	69.03	71.0	53.19	14.67
COMMD10	728.11	518.15	339.14	836.53	708.18	356.05	529.06	500.46	1277.29	764.36	909.17	819.3	764.36	651.58	1037.29	703.28	1806.78	934.76	775.05	947.83	563.18	599.49	1313.23	476.71	902.89	1277.29	1023.0	551.56	547.75	642.59	813.63	341.51	379.04	303.44	392.44	301.33	231.32	265.87	251.48	348.71	251.48	231.32	228.13	473.41	463.65	242.88
COX6C	168220.2	223512.12	256748.15	331809.5	194578.47	209994.66	201440.3	198667.0	355624.68	265802.39	263966.36	242898.5	140478.49	228208.61	391864.76	425853.18	97965.44	320506.81	177811.84	269512.87	191899.64	195931.88	253213.41	437825.58	527933.71	200048.85	228208.61	286861.53	205673.01	223512.12	492579.5	204252.32	61146.25	59887.86	19892.37	37639.55	38430.46	29531.18	33688.23	59063.35	13033.07	28328.16	34396.12	48643.87	55491.3	12589.08
CTDSPL2	470.14	376.41	366.09	231.32	575.03	153.34	156.59	551.56	218.79	368.65	228.13	314.17	115.16	392.44	387.02	384.34	728.11	346.29	198.47	447.82	269.6	149.12	206.94	397.93	305.55	395.18	139.07	389.72	660.68	480.04	195.72	145.02	93.35	45.21	52.45	43.63	50.63	77.79	46.5	40.93	50.98	68.07	74.06	87.03	78.89	37.59
DCUN1D1	525.39	414.87	466.88	253.23	543.96	169.07	293.07	775.05	363.56	551.56	356.05	426.57	157.68	612.11	483.38	547.75	733.19	426.57	295.11	463.65	470.14	224.97	679.29	361.04	460.44	559.28	234.57	346.29	248.0	450.94	320.8	293.07	151.22	111.21	162.14	197.09	191.67	208.38	146.03	110.43	133.36	167.9	164.42	221.86	133.36	125.24
DDX18	1073.91	934.76	1199.98	612.11	1023.0	532.74	674.59	1674.06	669.92	915.51	587.13	728.11	395.18	684.02	1259.69	567.1	1119.56	1044.52	595.34	2133.97	836.53	392.44	890.44	928.3	728.11	514.56	753.83	759.08	511.0	934.76	423.61	473.41	336.79	303.44	297.17	297.17	312.0	212.78	244.57	332.14	316.37	277.2	371.22	376.41	256.78	214.27
DDX23	1991.0	1674.06	1508.65	1674.06	1950.0	1359.57	1628.26	1991.0	1674.06	2090.03	921.88	2400.97	1551.09	1407.55	2240.11	1617.0	872.1	1628.26	1662.49	2075.59	1963.57	1151.06	2061.24	2591.27	1572.76	1721.16	1388.16	1407.55	1427.22	1561.89	884.29	1417.35	1023.0	723.08	796.86	866.07	743.43	703.28	559.28	878.17	775.05	693.58	785.88	748.61	684.02	633.73
DDX50	872.1	629.35	529.06	718.08	540.19	579.04	669.92	733.19	688.78	660.68	603.67	426.57	363.56	389.72	629.35	679.29	981.29	567.1	669.92	718.08	624.99	511.0	435.55	825.0	603.67	708.18	500.46	579.04	466.88	703.28	376.41	400.71	279.14	256.78	237.86	185.11	264.03	191.67	262.2	236.21	312.0	215.77	297.17	273.37	198.47	107.38
DEK	1417.35	961.07	1487.87	1617.0	1191.69	974.5	753.83	2047.0	909.17	1757.34	1208.34	981.29	521.76	1572.76	1059.11	1331.57	2682.69	1304.15	848.22	2701.35	890.44	470.14	791.35	1936.53	866.07	1044.52	1066.48	1388.16	1407.55	1059.11	961.07	603.67	595.34	397.93	346.29	246.28	373.81	579.04	444.72	525.39	587.13	674.59	518.15	559.28	575.03	150.17
DLG1	723.08	921.88	647.07	395.18	603.67	521.76	480.04	878.17	674.59	674.59	432.53	669.92	275.28	638.15	595.34	808.0	1794.29	493.56	409.15	934.76	688.78	336.79	595.34	547.75	688.78	780.44	466.88	713.11	612.11	426.57	591.22	486.75	348.71	151.22	135.24	171.45	187.71	255.0	173.85	183.82	205.5	343.89	246.28	269.6	260.38	162.14
DPP8	466.88	318.57	231.32	204.07	480.04	166.73	185.11	384.34	187.71	291.04	224.97	273.37	100.83	277.2	305.55	301.33	483.38	180.02	153.34	575.03	149.12	117.6	241.19	279.14	283.05	332.14	226.54	275.28	316.37	525.39	171.45	205.5	92.05	59.97	62.12	65.26	88.26	79.45	59.55	51.71	40.64	78.34	70.51	98.04	78.34	29.7
DR1	698.41	532.74	656.11	633.73	836.53	476.71	575.03	1127.35	470.14	511.0	532.74	571.05	358.54	532.74	759.08	599.49	878.17	813.63	503.95	947.83	429.54	368.65	703.28	312.0	476.71	633.73	470.14	679.29	679.29	928.3	371.22	289.02	426.57	236.21	170.25	334.46	291.04	255.0	208.38	262.2	198.47	194.36	246.28	343.89	242.88	209.84
DVL3	941.27	934.76	961.07	728.11	872.1	1044.52	854.13	775.05	802.41	848.22	713.11	819.3	713.11	753.83	629.35	896.64	961.07	802.41	728.11	693.58	974.5	785.88	961.07	1447.15	902.89	633.73	866.07	1073.91	1119.56	902.89	909.17	1015.93	507.46	358.54	356.05	551.56	583.07	384.34	417.77	583.07	438.59	457.25	540.19	454.09	587.13	358.54
EIF1AX	1991.0	1508.65	909.17	1709.26	2047.0	1001.93	1388.16	1896.65	884.29	1322.37	2090.03	1733.13	1340.84	1561.89	1407.55	1651.0	3716.2	1104.13	1519.15	2520.38	1191.69	1216.75	1844.76	1313.23	1617.0	1819.35	1081.39	1457.23	928.3	1561.89	896.64	825.0	607.87	947.83	688.78	647.07	638.15	563.18	466.88	403.5	551.56	612.11	791.35	1242.34	575.03	379.04
EIF2B5	1216.75	1008.9	796.86	954.43	1088.92	1159.07	921.88	896.64	1529.73	1199.98	1242.34	1167.14	802.41	872.1	854.13	1487.87	1151.06	769.69	1295.13	1030.12	1233.75	1167.14	1268.46	1250.98	1059.11	1242.34	1051.79	1023.0	1151.06	921.88	934.76	1037.29	866.07	738.29	802.41	860.08	679.29	660.68	674.59	684.02	679.29	723.08	723.08	796.86	733.19	571.05
FAM210A	214.27	162.14	255.0	127.0	232.94	173.85	175.07	223.41	211.31	293.07	285.03	232.94	187.71	201.25	251.48	291.04	457.25	194.36	118.43	289.02	191.67	130.6	246.28	221.86	503.95	327.56	320.8	204.07	182.55	323.03	127.89	197.09	158.79	119.26	166.73	172.65	161.02	83.45	111.21	74.06	140.04	108.9	157.68	164.42	44.89	128.79
FIP1L1	1304.15	1183.45	1417.35	1111.82	1191.69	921.88	825.0	1216.75	866.07	1674.06	743.43	1037.29	540.19	743.43	1111.82	988.12	1088.92	1127.35	813.63	1127.35	1059.11	854.13	1745.2	878.17	1066.48	872.1	954.43	1397.83	825.0	1286.18	1551.09	769.69	500.46	567.1	397.93	381.68	426.57	366.09	343.89	412.0	432.53	373.81	500.46	591.22	483.38	258.57
FUBP1	2047.0	2090.03	1639.59	1030.12	2163.77	1457.23	1685.71	1769.57	1529.73	1721.16	1242.34	1605.83	1233.75	1350.18	2018.8	1583.71	1340.84	2075.59	1286.18	1819.35	1605.83	902.89	2209.26	1806.78	1216.75	1806.78	1407.55	1572.76	1242.34	1844.76	1896.65	638.15	769.69	791.35	191.67	466.88	567.1	423.61	409.15	703.28	348.71	373.81	620.67	796.86	813.63	289.02
FXR1	2997.45	2104.58	2075.59	1662.49	1819.35	1857.6	1769.57	2384.37	2075.59	2090.03	2335.28	2319.15	1378.57	2271.4	2627.46	2591.27	2384.37	2835.7	2240.11	2047.0	2367.9	1870.53	3103.19	2384.37	2915.45	2075.59	1709.26	3395.89	2895.31	3589.58	2209.26	1378.57	1037.29	928.3	660.68	1183.45	1081.39	947.83	669.92	1096.5	934.76	1073.91	1199.98	1051.79	836.53	616.37
GBAS	1685.71	1313.23	1685.71	890.44	1331.57	753.83	1769.57	1583.71	2255.7	830.75	2075.59	1359.57	1883.54	1268.46	1594.73	1685.71	2701.35	1051.79	1617.0	2537.92	1111.82	2018.8	2384.37	1001.93	1295.13	1991.0	1088.92	1407.55	1008.9	1519.15	1378.57	1059.11	674.59	426.57	291.04	224.97	379.04	620.67	265.87	463.65	182.55	214.27	241.19	532.74	223.41	66.65
HNRNPR	3146.52	3018.3	2367.9	1844.76	2573.36	1529.73	1950.0	2720.15	2061.24	1963.57	2104.58	1883.54	1605.83	1896.65	2468.49	2133.97	2895.31	2271.4	1662.49	2777.33	1896.65	1369.04	2335.28	1268.46	1529.73	2075.59	2537.92	2209.26	1794.29	2061.24	1757.34	1030.12	1259.69	974.5	688.78	713.11	902.89	878.17	830.75	660.68	981.29	1023.0	967.76	1199.98	1127.35	607.87
KDM5A	435.55	392.44	392.44	205.5	420.68	141.02	265.87	620.67	293.07	547.75	208.38	281.09	180.02	339.14	848.22	323.03	486.75	271.48	251.48	444.72	314.17	215.77	275.28	392.44	435.55	260.38	148.09	305.55	142.01	476.71	228.13	170.25	144.01	96.68	105.15	93.35	127.0	105.89	85.82	109.66	118.43	120.1	130.6	130.6	74.58	78.89
KIAA0226	279.14	293.07	414.87	232.94	229.72	186.4	265.87	320.8	208.38	183.82	151.22	267.73	162.14	218.79	228.13	327.56	239.52	241.19	166.73	204.07	299.25	158.79	363.56	309.83	221.86	262.2	220.32	232.94	281.09	285.03	248.0	166.73	90.77	49.91	42.71	56.28	55.49	73.03	40.36	67.59	47.5	43.02	54.33	92.05	57.89	39.5
KIAA1468	351.14	336.79	444.72	249.73	438.59	181.28	279.14	376.41	271.48	323.03	291.04	334.46	223.41	153.34	303.44	226.54	480.04	303.44	194.36	198.47	175.07	144.01	260.38	351.14	149.12	381.68	262.2	271.48	260.38	866.07	281.09	221.86	143.01	92.7	67.12	96.68	90.14	120.1	55.1	80.01	63.0	74.06	93.35	120.1	68.55	84.63
KIAA1715	199.85	323.03	543.96	198.47	332.14	151.22	191.67	470.14	177.53	366.09	229.72	264.03	149.12	314.17	476.71	267.73	429.54	262.2	206.94	470.14	215.77	166.73	251.48	198.47	291.04	166.73	176.29	373.81	341.51	450.94	180.02	159.9	136.19	78.89	108.9	125.24	110.43	153.34	111.99	80.01	70.51	194.36	108.9	176.29	137.14	80.01
KIF2A	759.08	249.73	403.5	198.47	403.5	143.01	285.03	896.64	409.15	384.34	164.42	197.09	194.36	293.07	447.82	470.14	1081.39	414.87	206.94	748.61	239.52	208.38	473.41	293.07	277.2	417.77	224.97	316.37	256.78	591.22	256.78	159.9	106.63	55.49	48.18	49.56	64.34	42.41	35.76	64.8	30.78	52.45	36.27	111.99	39.79	18.16
KNTC1	480.04	299.25	669.92	669.92	373.81	567.1	165.57	329.84	318.57	376.41	172.65	366.09	194.36	466.88	351.14	457.25	466.88	185.11	312.0	450.94	351.14	176.29	291.04	842.36	256.78	389.72	332.14	281.09	511.0	438.59	423.61	143.01	181.28	346.29	129.69	70.01	128.79	144.01	88.26	100.13	73.54	90.14	80.57	142.01	314.17	55.1
KRR1	1088.92	813.63	753.83	909.17	896.64	656.11	500.46	1498.22	1313.23	1127.35	620.67	830.75	651.58	813.63	1304.15	718.08	1508.65	842.36	1127.35	1427.22	1151.06	579.04	1030.12	1313.23	764.36	1111.82	656.11	902.89	759.08	1119.56	928.3	397.93	447.82	297.17	400.71	291.04	281.09	232.94	204.07	241.19	289.02	291.04	273.37	339.14	305.55	82.87
LRRC40	137.14	199.85	130.6	100.13	195.72	130.6	142.01	156.59	118.43	105.15	176.29	138.1	78.89	231.32	163.28	255.0	265.87	169.07	108.14	189.02	182.55	100.13	178.77	97.36	105.15	221.86	149.12	95.34	137.14	234.57	124.37	70.51	138.1	80.57	68.07	97.36	97.36	70.51	82.29	48.52	68.55	97.36	86.43	185.11	120.1	60.82
LRRC8B	91.41	99.43	171.45	63.0	223.41	94.67	114.36	201.25	102.97	88.88	137.14	145.02	61.68	201.25	146.03	138.1	262.2	77.79	105.89	336.79	128.79	55.89	236.21	58.3	95.34	98.04	97.36	125.24	117.6	329.84	94.01	56.28	36.01	18.84	22.92	14.56	28.24	16.51	13.93	18.56	16.27	3.56	27.64	27.84	14.14	14.03
LSG1	642.59	493.56	563.18	679.29	547.75	830.75	450.94	555.41	521.76	743.43	358.54	748.61	379.04	603.67	796.86	633.73	642.59	665.29	547.75	1127.35	995.0	301.33	1001.93	684.02	642.59	775.05	412.0	525.39	713.11	733.19	571.05	638.15	435.55	327.56	275.28	503.95	361.04	327.56	202.66	271.48	327.56	305.55	299.25	287.01	363.56	175.07
MAP3K2	555.41	297.17	303.44	119.26	348.71	115.97	153.34	559.28	177.53	325.29	182.55	173.85	126.12	159.9	316.37	206.94	435.55	204.07	172.65	532.74	166.73	125.24	303.44	218.79	260.38	214.27	163.28	255.0	215.77	409.15	76.71	171.45	138.1	80.57	99.43	67.59	107.38	104.42	98.04	73.03	103.69	103.69	114.36	141.02	122.64	43.94
MAPK8	703.28	1104.13	759.08	392.44	1572.76	423.61	438.59	947.83	638.15	633.73	514.56	429.54	265.87	351.14	521.76	521.76	1857.6	595.34	397.93	1977.24	500.46	348.71	884.29	1081.39	450.94	723.08	616.37	629.35	381.68	1259.69	470.14	336.79	241.19	110.43	98.04	215.77	231.32	197.09	141.02	194.36	161.02	234.57	239.52	279.14	248.0	246.28
MFN1	665.29	583.07	571.05	379.04	532.74	406.31	414.87	647.07	529.06	438.59	420.68	454.09	269.6	400.71	518.15	603.67	808.0	339.14	336.79	629.35	525.39	251.48	624.99	318.57	454.09	620.67	406.31	432.53	473.41	521.76	353.59	409.15	178.77	82.29	129.69	169.07	143.01	134.3	113.56	112.77	94.67	110.43	140.04	181.28	134.3	81.71
MOB1A	1081.39	1073.91	1594.73	651.58	825.0	1008.9	674.59	2148.82	954.43	1008.9	988.12	775.05	669.92	836.53	1127.35	728.11	1733.13	1030.12	703.28	2119.22	1208.34	493.56	830.75	1225.22	1331.57	1487.87	872.1	1199.98	974.5	1015.93	791.35	703.28	429.54	260.38	185.11	215.77	297.17	267.73	269.6	256.78	244.57	256.78	356.05	441.64	271.48	228.13
MSL2	444.72	384.34	397.93	244.57	429.54	251.48	287.01	583.07	305.55	397.93	368.65	325.29	163.28	214.27	285.03	417.77	688.78	293.07	231.32	454.09	323.03	229.72	403.5	371.22	323.03	358.54	209.84	381.68	221.86	441.64	289.02	262.2	156.59	104.42	84.63	66.18	100.13	118.43	89.51	86.43	97.36	106.63	142.01	115.97	125.24	80.57
MTF2	202.66	180.02	239.52	249.73	334.46	289.02	202.66	426.57	231.32	170.25	198.47	178.77	138.1	267.73	170.25	175.07	341.51	211.31	180.02	289.02	186.4	124.37	323.03	194.36	162.14	241.19	197.09	156.59	224.97	366.09	181.28	102.97	126.12	85.82	54.72	63.0	63.89	92.7	63.89	56.68	67.12	57.08	66.18	108.14	136.19	29.7
NAA50	2335.28	1417.35	1508.65	896.64	1594.73	808.0	884.29	2335.28	1605.83	1605.83	1208.34	660.68	665.29	1806.78	1757.34	2178.83	7032.37	1388.16	723.08	1378.57	1487.87	995.0	2193.99	1340.84	1457.23	1806.78	1135.2	1304.15	1073.91	1781.89	915.51	1233.75	624.99	406.31	242.88	525.39	500.46	417.77	269.6	435.55	363.56	397.93	450.94	514.56	301.33	423.61
NARS	3467.27	2664.15	2935.74	2303.12	3820.7	1059.11	1870.53	2739.08	2417.67	3039.3	2451.44	3039.3	1896.65	1870.53	3540.14	2701.35	3257.52	2240.11	1397.83	2335.28	2303.12	1781.89	2720.15	2627.46	1498.22	3235.01	2645.74	1923.14	1674.06	4903.87	2209.26	1991.0	1268.46	1340.84	642.59	1295.13	1119.56	1151.06	1008.9	902.89	753.83	1151.06	947.83	1331.57	633.73	796.86
NCBP2	1685.71	1104.13	1135.2	1037.29	1340.84	1991.0	1304.15	1508.65	1819.35	1721.16	1733.13	1991.0	1277.29	1639.59	1225.22	2004.85	2004.85	1844.76	1388.16	2209.26	1709.26	915.51	1572.76	2004.85	1991.0	2319.15	1397.83	1605.83	1143.1	1977.24	1991.0	1572.76	780.44	571.05	476.71	514.56	660.68	536.45	450.94	620.67	409.15	406.31	669.92	698.41	599.49	279.14
NDC1	215.77	363.56	450.94	187.71	395.18	269.6	156.59	381.68	460.44	191.67	165.57	226.54	158.79	802.41	444.72	493.56	547.75	193.01	195.72	348.71	241.19	121.79	466.88	371.22	132.44	339.14	211.31	205.5	215.77	218.79	127.89	108.9	130.6	100.83	77.79	115.16	95.34	96.68	99.43	127.0	62.56	77.25	87.65	93.35	101.54	85.82
NFYB	1059.11	684.02	819.3	769.69	651.58	547.75	633.73	1015.93	723.08	934.76	733.19	703.28	669.92	529.06	825.0	669.92	1457.23	656.11	718.08	1259.69	603.67	454.09	555.41	915.51	563.18	947.83	718.08	884.29	490.14	785.88	981.29	412.0	503.95	460.44	791.35	426.57	507.46	381.68	688.78	346.29	307.69	651.58	521.76	633.73	679.29	320.8
NUP155	387.02	273.37	414.87	400.71	320.8	190.34	163.28	387.02	379.04	279.14	241.19	291.04	197.09	525.39	473.41	381.68	708.18	307.69	283.05	540.19	193.01	144.01	376.41	432.53	376.41	361.04	211.31	269.6	242.88	521.76	295.11	145.02	161.02	221.86	124.37	87.03	100.83	108.9	87.03	131.51	58.71	126.12	114.36	127.0	126.12	81.14
NUP37	457.25	358.54	384.34	660.68	389.72	656.11	358.54	447.82	769.69	848.22	447.82	490.14	417.77	591.22	679.29	381.68	647.07	444.72	470.14	547.75	536.45	273.37	363.56	616.37	323.03	567.1	457.25	463.65	206.94	343.89	567.1	241.19	269.6	392.44	220.32	197.09	166.73	253.23	212.78	275.28	198.47	236.21	187.71	229.72	175.07	167.9
NUPL1	529.06	414.87	813.63	444.72	629.35	214.27	379.04	748.61	346.29	414.87	281.09	638.15	133.36	275.28	616.37	353.59	1991.0	281.09	251.48	995.0	518.15	241.19	229.72	536.45	269.6	343.89	414.87	728.11	221.86	389.72	316.37	320.8	314.17	142.01	61.25	109.66	156.59	223.41	126.12	97.36	96.68	106.63	170.25	173.85	98.73	87.65
OPA1	1023.0	1059.11	1359.57	525.39	896.64	299.25	521.76	1044.52	688.78	941.27	656.11	587.13	281.09	802.41	1127.35	759.08	1639.59	854.13	555.41	2271.4	669.92	708.18	967.76	947.83	738.29	743.43	466.88	802.41	473.41	1697.45	555.41	420.68	392.44	202.66	366.09	341.51	262.2	267.73	178.77	209.84	217.27	316.37	279.14	379.04	199.85	234.57
PAK2	915.51	753.83	1001.93	476.71	890.44	642.59	490.14	1388.16	620.67	1037.29	656.11	642.59	497.0	854.13	872.1	825.0	1277.29	872.1	595.34	1639.59	988.12	346.29	860.08	698.41	1015.93	921.88	432.53	802.41	579.04	1051.79	698.41	460.44	450.94	301.33	226.54	423.61	363.56	441.64	256.78	312.0	234.57	231.32	305.55	397.93	299.25	264.03
