	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	GTEX.QV44.1526.SM.4R1KI	GTEX.13N2G.1826.SM.5KM1I	GTEX.13G51.2326.SM.5LZXV	GTEX.XGQ4.1826.SM.4AT6F	GTEX.11ZUS.2126.SM.5N9E6	GTEX.11OF3.1726.SM.5GU5Q	GTEX.13CF2.2426.SM.5LZYL	TCGA.RD.A7BW.01A.11R.A32D.31
FEZ1	420.68	190.34	44.57	31.9	164.42	11.13	90.14	42.41	186.4	80.01	356.05	23.42	447.82	79.45	327.56	10.24	66.18	20.26	0.0	769.69	988.12	866.07	638.15	651.58	1051.79	1030.12	547.75	647.07	603.67	848.22
FRMD6	329.84	33.06	17.9	44.89	49.56	30.34	8.06	21.01	27.84	29.91	106.63	8.45	88.88	25.72	105.15	31.67	14.45	18.29	0.0	1175.27	1417.35	1519.15	1417.35	860.08	1143.1	1909.85	1081.39	753.83	1359.57	409.15
GDPD4	0.0	5.68	0.41	0.51	11.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	8.51	0.0	0.0	0.0	14.56	8.85	2.39	1.58	9.93	20.86	10.08	0.82	5.77	0.0	5.11
GIPC3	80.01	22.26	9.56	16.27	10.88	2.66	10.24	5.59	24.63	4.78	17.51	5.63	8.58	7.75	81.71	7.88	3.86	7.75	0.0	66.65	94.67	204.07	107.38	52.08	217.27	98.73	91.41	42.71	27.05	98.73
GLI2	50.98	3.11	3.35	2.05	5.23	0.36	1.99	1.0	10.08	0.45	3.32	0.0	6.31	1.97	36.27	1.2	0.4	0.67	0.0	67.59	113.56	152.28	139.07	205.5	228.13	142.01	57.89	124.37	98.73	139.07
GLT8D2	123.5	19.97	23.76	25.54	38.4	6.52	2.76	14.14	46.18	3.44	101.54	7.4	74.06	20.26	195.72	3.92	7.17	8.32	0.0	361.04	432.53	392.44	361.04	759.08	802.41	444.72	450.94	896.64	283.05	540.19
GNB1L	81.71	45.85	60.39	55.89	102.25	43.02	67.12	79.45	71.5	50.27	68.07	53.95	112.77	96.01	124.37	61.68	80.57	65.72	0.0	120.1	125.24	142.01	138.1	111.99	195.72	148.09	146.03	164.42	100.13	130.6
GRAPL	51.71	4.46	5.06	3.63	3.69	0.0	3.99	3.32	6.94	2.2	10.71	0.0	10.47	6.26	3.76	0.0	3.11	0.0	0.0	19.39	20.86	12.64	14.24	40.07	52.08	23.93	19.97	21.78	1.81	53.95
IGSF9B	76.17	20.11	3.35	3.59	9.63	9.13	1.2	6.16	26.28	28.45	1.87	0.0	34.51	4.28	18.97	7.06	17.0	8.38	0.0	63.0	117.6	130.6	133.36	43.02	88.88	89.51	55.1	46.18	67.59	173.85
IL20RA	12.93	1.71	6.41	0.49	6.57	26.47	6.41	0.32	4.43	0.0	2.84	2.53	126.12	44.89	8.51	1.14	7.28	4.66	0.0	460.44	381.68	351.14	204.07	351.14	660.68	438.59	320.8	387.02	50.27	105.89
IRAK3	232.94	55.49	12.55	3.63	51.35	4.62	15.68	5.28	26.1	1.77	82.87	4.17	6.01	24.46	32.59	8.25	5.36	20.86	0.0	96.68	135.24	138.1	77.25	198.47	132.44	94.01	80.01	128.79	7.94	234.57
ISL2	0.0	1.73	1.23	1.51	0.0	0.33	0.0	0.0	1.81	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	57.49	90.14	49.21	86.43	35.25	52.08	76.71	37.32	20.11	6.06	81.71
KCTD17	262.2	176.29	55.89	28.45	241.19	156.59	67.12	318.57	206.94	232.94	665.29	22.43	283.05	85.82	441.64	24.28	108.14	224.97	0.0	373.81	620.67	688.78	780.44	603.67	860.08	769.69	595.34	567.1	214.27	334.46
KLHL42	142.01	154.42	142.01	29.27	269.6	122.64	56.68	287.01	86.43	150.17	191.67	53.57	115.97	70.01	132.44	95.34	173.85	167.9	156.59	368.65	412.0	521.76	387.02	253.23	295.11	283.05	299.25	229.72	113.56	571.05
LOXL4	90.14	138.1	46.84	41.22	403.5	34.26	26.86	214.27	88.88	165.57	327.56	50.27	94.67	49.56	129.69	8.85	52.08	58.3	0.0	128.79	199.85	183.82	256.78	255.0	438.59	182.55	353.59	447.82	29.06	167.9
LPHN3	13.03	14.35	4.43	1.97	1.55	0.32	0.38	12.83	11.04	1.66	5.32	0.0	7.17	6.36	98.73	0.75	0.73	3.11	0.0	37.85	63.0	114.36	13.52	8.99	151.22	59.55	35.76	25.72	50.27	88.26
LRRC3B	7.94	0.0	5.63	1.97	0.0	0.0	1.91	1.58	0.44	0.0	0.0	1.81	0.36	3.0	1.07	0.38	0.0	0.0	0.0	12.0	23.93	34.26	5.77	3.2	5.92	11.04	6.94	14.03	26.47	40.64
LRRN3	41.81	2.16	0.0	1.99	1.97	1.28	0.77	0.64	4.03	1.27	6.41	0.0	4.35	1.89	11.82	4.21	0.38	2.51	0.0	69.52	87.03	157.68	112.77	287.01	497.0	389.72	98.73	202.66	10.08	29.06
LY6G5C	218.79	50.98	13.62	27.25	50.63	29.06	21.47	87.03	52.08	23.08	91.41	8.92	32.13	32.59	33.54	67.59	37.85	80.01	0.0	181.28	169.07	157.68	171.45	223.41	199.85	211.31	158.79	185.11	52.82	139.07
MAML3	63.0	34.02	14.67	21.47	13.42	17.64	18.84	15.0	23.76	21.47	40.07	12.83	43.63	30.34	40.36	18.84	25.54	34.02	0.0	140.04	123.5	163.28	172.65	169.07	194.36	193.01	165.57	139.07	36.53	154.42
MOB3C	579.04	277.2	122.64	136.19	167.9	199.85	181.28	137.14	190.34	253.23	209.84	167.9	186.4	156.59	358.54	109.66	74.58	231.32	0.0	341.51	460.44	457.25	559.28	454.09	775.05	412.0	473.41	583.07	318.57	287.01
MST4	16.88	149.12	46.18	14.35	208.38	5.41	75.11	56.68	128.79	110.43	141.02	17.0	51.71	50.27	42.71	21.63	46.5	15.34	0.0	476.71	500.46	688.78	368.65	483.38	457.25	693.58	638.15	348.71	90.14	156.59
MYT1L	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.44	1.43	3.47	0.0	0.06	0.61	0.99	1.81	0.06	0.0	9.85
NAALADL1	403.5	34.26	69.03	32.59	22.1	13.12	25.54	9.56	47.5	1.36	85.22	15.0	53.95	33.54	92.05	9.85	5.41	5.54	0.0	540.19	669.92	543.96	884.29	708.18	1183.45	599.49	921.88	802.41	228.13	343.89
NDST2	264.03	400.71	129.69	116.78	301.33	134.3	114.36	137.14	165.57	153.34	295.11	138.1	220.32	127.89	159.9	120.94	72.52	199.85	0.0	318.57	316.37	258.57	244.57	366.09	379.04	368.65	244.57	371.22	157.68	435.55
NOG	0.0	15.56	0.0	1.53	2.01	8.99	0.8	5.15	0.93	0.0	2.56	0.0	1.5	0.0	1.11	0.0	6.36	0.0	0.0	11.47	8.99	33.06	22.26	23.76	23.59	11.64	32.13	10.24	26.1	217.27
OR7C1	0.0	1.3	0.82	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	5.11	0.0	1.81	0.0	0.0	0.0	0.0	12.93	2.78	12.27	8.06	12.64	4.28	11.21	8.99	10.31	0.33	2.68
P2RY1	42.41	7.75	2.48	1.53	3.17	0.34	5.02	0.99	8.58	2.97	5.41	1.85	3.32	2.68	7.57	2.32	0.77	2.23	0.0	205.5	155.5	53.57	43.02	101.54	112.77	34.26	120.1	37.85	267.73	18.97
PAX5	4.43	10.0	3.26	3.0	4.74	0.32	0.39	0.0	9.06	0.0	0.36	0.0	2.2	1.53	0.73	0.0	0.0	0.0	0.0	5.77	6.16	6.21	10.16	16.27	17.25	17.0	2.23	12.45	0.51	12.09
PPARGC1B	47.84	21.78	25.91	9.63	23.93	1.64	16.27	13.52	21.32	8.13	13.83	17.77	33.54	5.41	13.93	11.64	13.12	10.55	7.82	36.27	59.97	61.25	39.5	30.56	40.93	42.41	82.29	29.27	239.52	55.1
PPP1R12A	507.46	356.05	147.06	113.56	473.41	403.5	85.82	215.77	101.54	212.78	218.79	151.22	361.04	217.27	348.71	387.02	86.43	244.57	423.61	1745.2	1923.14	2758.13	1331.57	947.83	802.41	1519.15	1015.93	629.35	595.34	2895.31
PPP3CA	457.25	231.32	175.07	175.07	239.52	293.07	105.89	241.19	129.69	220.32	285.03	218.79	239.52	197.09	217.27	325.29	122.64	242.88	384.34	2075.59	1561.89	1417.35	2193.99	1437.15	1359.57	1277.29	2591.27	1191.69	417.77	417.77
PRKG1	41.52	6.57	12.27	7.06	9.56	1.97	2.36	2.92	12.64	6.41	3.99	1.13	71.5	9.56	144.01	4.28	4.9	6.06	0.0	130.6	205.5	258.57	75.11	110.43	264.03	183.82	154.42	74.58	435.55	325.29
PYGM	61.25	7.11	6.26	11.21	14.89	0.69	1.62	2.97	27.44	2.2	7.0	3.79	4.9	5.06	46.84	2.01	0.42	1.97	0.0	486.75	417.77	854.13	417.77	236.21	483.38	323.03	2956.17	775.05	65990.84	258.57
RASGRP2	103.69	109.66	60.82	40.36	64.34	6.06	32.59	22.92	78.34	12.36	105.15	12.18	51.35	96.01	134.3	19.97	31.67	72.52	0.0	441.64	497.0	769.69	420.68	460.44	547.75	616.37	1175.27	438.59	143.01	808.0
RBFOX2	974.5	450.94	279.14	204.07	262.2	629.35	209.84	521.76	248.0	224.97	389.72	387.02	346.29	341.51	486.75	547.75	212.78	460.44	842.36	1023.0	1313.23	1477.58	995.0	1023.0	1388.16	1233.75	1008.9	1127.35	2701.35	1304.15
RBM38	242.88	275.28	258.57	190.34	511.0	368.65	246.28	262.2	329.84	346.29	470.14	228.13	547.75	211.31	395.18	273.37	248.0	414.87	0.0	848.22	1096.5	1286.18	1015.93	543.96	1051.79	738.29	1350.18	723.08	1963.57	1059.11
RBPJ	785.88	743.43	273.37	420.68	432.53	353.59	248.0	400.71	249.73	195.72	802.41	242.88	473.41	500.46	567.1	297.17	426.57	518.15	813.63	1059.11	1250.98	1199.98	1111.82	848.22	1417.35	733.19	1331.57	1008.9	579.04	1709.26
RCVRN	16.15	0.0	0.0	0.0	0.0	0.34	0.39	0.0	0.46	0.0	3.29	2.25	0.38	1.55	1.11	0.0	0.0	0.0	0.0	1.45	3.53	1.6	3.44	6.67	8.45	2.07	0.89	2.56	4.82	20.86
RFESD	135.24	70.51	18.97	28.24	39.22	35.76	38.12	15.8	33.06	40.93	94.01	41.22	62.12	48.87	46.5	36.79	67.59	25.35	0.0	129.69	68.07	53.57	98.73	60.39	105.15	82.29	96.01	72.52	46.84	79.45
RNASEH2C	1685.71	780.44	860.08	571.05	616.37	612.11	1208.34	1066.48	808.0	1857.6	1617.0	785.88	1023.0	921.88	1304.15	318.57	909.17	693.58	0.0	1340.84	1628.26	1617.0	2018.8	1498.22	2224.63	2018.8	1594.73	1685.71	921.88	1781.89
ROR2	43.32	8.19	7.75	5.5	14.14	1.62	8.06	0.34	40.93	33.06	287.01	0.75	17.38	15.11	205.5	10.71	3.72	1.6	0.0	403.5	563.18	674.59	638.15	429.54	543.96	638.15	624.99	497.0	53.95	674.59
RP11-351M8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.0	15.8	0.0	1.33	2.18	7.57	7.06	2.14	9.7	10.24	8.0	4.82
SH3PXD2A	563.18	58.71	65.72	30.56	293.07	32.82	25.54	27.64	96.68	11.73	51.35	27.25	85.82	54.33	199.85	42.11	27.25	47.17	0.0	318.57	599.49	447.82	343.89	447.82	497.0	387.02	543.96	384.34	507.46	454.09
SLC10A3	412.0	521.76	414.87	769.69	466.88	563.18	642.59	497.0	432.53	500.46	802.41	642.59	463.65	423.61	836.53	435.55	507.46	511.0	0.0	571.05	769.69	708.18	802.41	693.58	961.07	988.12	693.58	780.44	616.37	748.61
SNAI2	830.75	42.11	35.25	11.82	8.13	4.66	17.25	7.57	46.18	14.67	31.45	7.51	10.47	9.34	128.79	6.31	2.73	4.24	0.0	728.11	688.78	1088.92	575.03	2485.67	2163.77	1551.09	555.41	1407.55	303.44	356.05
SNCAIP	32.36	15.11	4.9	4.5	5.15	1.3	1.93	1.93	7.63	2.97	20.41	1.48	8.0	4.58	15.45	3.08	1.87	3.79	0.0	99.43	153.34	137.14	75.11	151.22	77.25	66.18	136.19	193.01	125.24	202.66
ST8SIA1	66.65	20.26	3.26	8.0	15.8	0.64	13.83	2.86	31.0	15.56	63.0	5.5	6.21	10.63	16.63	4.58	3.35	2.53	0.0	329.84	346.29	366.09	473.41	176.29	414.87	366.09	161.02	295.11	223.41	141.02
SYT1	0.2	0.42	0.4	3.96	9.34	0.32	2.29	1.58	4.46	3.35	17.0	1.08	0.36	7.88	1.43	0.0	0.37	1.87	0.0	152.28	177.53	223.41	59.13	166.73	323.03	98.73	172.65	187.71	10.31	120.1
TCL1A	0.0	10.79	4.86	0.0	40.07	1.91	1.91	0.0	8.06	0.0	18.29	0.0	9.06	3.79	9.7	3.06	0.0	1.57	0.0	19.68	12.74	10.71	25.72	63.45	63.45	74.58	11.38	11.73	31.67	23.42
TGFB3	221.86	98.04	44.25	66.18	40.93	12.74	27.84	52.82	145.02	64.34	78.34	12.36	149.12	90.77	647.07	69.03	23.08	72.52	0.0	1977.24	3955.48	2855.44	2384.37	2485.67	10014.87	6792.79	1794.29	3039.3	896.64	1605.83
TIFAB	0.0	8.13	0.82	0.51	5.45	0.65	2.68	0.96	6.26	0.0	2.51	1.46	0.73	0.77	0.73	0.39	0.0	0.32	0.0	2.86	3.86	2.58	12.55	7.57	15.34	2.92	5.36	10.0	5.96	7.57
TNFRSF13B	0.0	3.47	5.32	16.03	1.99	0.0	3.47	0.0	9.48	0.0	17.25	0.0	5.5	4.58	3.99	0.0	0.0	0.0	0.0	6.21	13.52	5.92	31.45	23.25	20.26	49.91	0.0	31.45	4.13	23.93
TRAF5	145.02	214.27	28.45	40.36	226.54	46.5	24.46	32.13	47.5	42.71	102.97	24.46	208.38	60.82	142.01	43.94	63.0	96.68	0.0	229.72	264.03	281.09	262.2	248.0	460.44	279.14	423.61	269.6	56.28	497.0
TRERF1	128.79	33.78	16.39	10.55	55.1	20.56	17.0	26.86	32.59	8.92	34.51	7.75	38.95	24.46	27.64	57.08	1.89	25.72	0.0	140.04	182.55	249.73	305.55	435.55	414.87	316.37	175.07	325.29	104.42	100.83
TSKS	47.17	0.89	0.42	1.53	2.41	0.34	14.03	0.66	12.36	0.0	7.28	0.0	0.39	0.0	3.32	0.0	0.0	2.89	0.0	7.4	23.93	26.28	13.12	10.96	12.83	12.0	9.63	8.99	273.37	12.83
UFM1	808.0	1340.84	1331.57	738.29	1119.56	723.08	599.49	866.07	583.07	759.08	1030.12	884.29	934.76	748.61	1015.93	896.64	571.05	813.63	961.07	1883.54	1304.15	1135.2	1477.58	1991.0	2255.7	1183.45	1757.34	1936.53	470.14	1088.92
USP27X	52.82	82.87	47.17	51.71	71.0	51.71	34.02	67.59	44.89	81.71	54.72	37.85	78.89	46.84	114.36	48.18	73.54	35.76	57.49	75.64	101.54	111.21	232.94	127.89	201.25	153.34	108.9	145.02	19.82	54.33
USP47	432.53	511.0	248.0	246.28	511.0	346.29	157.68	457.25	187.71	301.33	555.41	325.29	559.28	269.6	435.55	366.09	186.4	387.02	273.37	733.19	872.1	1119.56	890.44	1037.29	1001.93	796.86	825.0	718.08	854.13	769.69
VAMP3	2502.97	1883.54	1685.71	764.36	884.29	1721.16	1733.13	1369.04	1832.01	1870.53	1617.0	1769.57	2193.99	1551.09	2047.0	2090.03	723.08	1199.98	1487.87	2271.4	2148.82	2119.22	2255.7	2591.27	2367.9	1883.54	2032.85	2018.8	2032.85	2163.77
VPS26B	890.44	660.68	420.68	409.15	435.55	309.83	435.55	438.59	529.06	563.18	579.04	457.25	567.1	379.04	423.61	447.82	435.55	341.51	0.0	748.61	872.1	819.3	1151.06	934.76	796.86	836.53	941.27	775.05	466.88	703.28
WNT16	0.57	0.88	0.83	0.0	0.0	0.33	0.0	1.62	0.0	0.0	0.0	0.0	0.38	0.0	0.38	0.0	0.0	0.65	0.0	22.26	9.27	13.52	9.93	39.79	47.17	15.22	37.59	32.13	6.41	3.69
ZFP69	149.12	60.39	21.01	26.1	29.06	32.59	32.59	31.45	31.67	57.08	35.76	40.36	67.12	47.5	31.67	34.02	19.82	49.56	0.0	73.03	65.72	88.26	61.25	77.79	144.01	65.26	164.42	86.43	23.93	63.89
