	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07
ESRRA	229.72	185.11	206.94	314.17	175.07	150.17	171.45	1936.53	1685.71	1594.73	1781.89	1745.2	1883.54	1733.13	2193.99	1073.91	1359.57	1044.52	1628.26	1277.29	1477.58	1540.37	1008.9	1407.55	1529.73	909.17	358.54	1369.04	1378.57	1208.34	1073.91	2061.24	1225.22	2148.82	1806.78	2502.97	1909.85	1991.0	1721.16	1819.35
FAM173A	170.25	120.94	149.12	111.21	55.1	32.13	56.28	733.19	995.0	743.43	587.13	1378.57	514.56	1081.39	688.78	351.14	620.67	329.84	444.72	497.0	525.39	521.76	353.59	346.29	718.08	368.65	228.13	603.67	447.82	486.75	361.04	1037.29	246.28	988.12	1030.12	878.17	738.29	808.0	693.58	616.37
FASTK	669.92	420.68	587.13	536.45	426.57	339.14	320.8	1697.45	2451.44	1529.73	1709.26	2935.74	1322.37	2816.11	2271.4	775.05	2018.8	825.0	1127.35	1081.39	1111.82	1268.46	813.63	1183.45	1407.55	915.51	392.44	1286.18	995.0	1081.39	1088.92	1467.37	921.88	2591.27	1617.0	2739.08	1832.01	1151.06	1540.37	1487.87
FDX1L	264.03	231.32	258.57	356.05	151.22	262.2	334.46	915.51	1175.27	947.83	813.63	1457.23	860.08	988.12	866.07	457.25	1073.91	559.28	665.29	684.02	836.53	629.35	511.0	708.18	785.88	426.57	358.54	743.43	796.86	684.02	656.11	1143.1	624.99	1051.79	1151.06	1135.2	775.05	748.61	995.0	890.44
FKBP8	2193.99	2537.92	2018.8	3665.02	1233.75	1757.34	1794.29	6337.83	7966.99	6516.03	6607.01	8840.04	4095.0	8078.22	4836.35	4836.35	7695.57	3639.7	5147.73	3103.19	4769.75	4704.07	2664.15	4704.07	5292.48	3039.3	2537.92	5872.48	5517.27	4704.07	5112.16	7130.55	3901.01	7081.29	6887.62	7485.11	5594.3	5954.47	6887.62	6426.31
FLYWCH2	361.04	241.19	244.57	376.41	267.73	193.01	373.81	1037.29	1259.69	915.51	890.44	1628.26	947.83	743.43	447.82	708.18	791.35	493.56	743.43	460.44	540.19	708.18	381.68	698.41	743.43	514.56	454.09	1030.12	366.09	669.92	684.02	866.07	536.45	974.5	1051.79	1378.57	802.41	633.73	866.07	1119.56
GPS2	1008.9	1023.0	1183.45	1151.06	1286.18	921.88	579.04	1781.89	1709.26	1519.15	1870.53	1936.53	1295.13	2119.22	3639.7	1340.84	1437.15	1191.69	1199.98	1594.73	1059.11	1551.09	1369.04	995.0	1340.84	1378.57	669.92	1733.13	1397.83	1216.75	1277.29	1781.89	1001.93	1709.26	1857.6	2163.77	1769.57	1447.15	1674.06	1709.26
HGS	1175.27	1135.2	1127.35	1127.35	967.76	723.08	796.86	2351.53	1950.0	1605.83	1639.59	1378.57	1159.07	2193.99	1844.76	1397.83	1242.34	1268.46	1340.84	1498.22	1167.14	1628.26	1119.56	1417.35	1572.76	1350.18	1159.07	1721.16	1008.9	1540.37	1487.87	1857.6	1081.39	1819.35	1781.89	2303.12	1936.53	1628.26	1781.89	2061.24
HIGD2A	2485.67	3419.52	4123.49	2502.97	2591.27	2224.63	2193.99	5076.84	6207.38	5076.84	5076.84	8305.36	4298.64	5555.65	5183.54	3325.99	6037.61	3257.52	3928.15	5255.91	4095.0	3928.15	2875.3	4481.23	4575.41	3847.29	1883.54	5913.33	3874.05	3901.01	4704.07	6079.61	3690.52	5711.87	6381.92	5995.9	4671.57	3820.7	4869.99	4512.4
HRAS	529.06	381.68	454.09	825.0	226.54	341.51	543.96	1628.26	1605.83	1268.46	1268.46	1572.76	738.29	1277.29	1208.34	718.08	1044.52	759.08	1037.29	748.61	759.08	967.76	543.96	1081.39	1051.79	651.58	486.75	1417.35	1023.0	995.0	1073.91	1529.73	890.44	1583.71	1322.37	2004.85	1487.87	934.76	1259.69	1407.55
