	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.E9.A1RI.11A.41R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.S32W.2026.SM.4AD6E	GTEX.Y114.2026.SM.4TT7L	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B0.5695.01A.11R.1541.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.HE.7129.01A.11R.1965.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15
C2orf62	2.2	0.65	1.73	6.46	22.26	1.19	15.11	2.81	1.64	4.86	9.34	0.71	0.0	0.77	1.51	0.0	3.79	0.82	2.03	2.43	0.0	0.48	1.5	0.0	0.0	1.57	0.0	1.81	75.64	32.59	12.18	56.68	41.22	21.47	226.54	38.12	14.35	4.78	51.35	429.54	305.55	353.59	228.13	353.59	68.55	32.36	246.28	201.25	264.03	320.8	361.04	142.01	400.71	312.0	116.78	211.31	181.28	189.02	500.46	31.22	242.88	368.65	279.14	503.95	197.09	392.44	289.02	253.23	47.84	371.22	197.09	248.0	329.84	307.69	123.5	255.0	18.7	249.73	169.07	167.9	75.11	204.07	63.89	157.68	217.27	242.88	269.6	223.41	242.88	718.08	18.03	518.15	90.14	224.97	381.68	295.11	78.89	237.86	74.06	220.32	493.56	108.9	301.33	236.21	171.45	38.67	119.26	299.25	42.11	371.22	57.08	32.82	316.37	206.94	234.57	312.0	59.97	253.23	271.48	180.02	183.82	26.67	178.77	381.68	181.28	426.57	20.11	171.45	190.34	26.1	361.04	476.71	320.8	351.14	60.39	289.02	301.33	0.0	0.18	3.14	0.0	5.41	2.97	4.28	156.59
C2orf81	21.32	5.77	13.32	51.35	32.13	57.08	48.18	24.63	45.21	7.82	71.0	5.92	32.82	26.86	20.86	38.4	26.47	128.79	48.87	36.53	12.83	27.05	9.34	17.0	19.39	33.3	28.65	38.95	87.03	100.13	18.29	101.54	80.57	73.03	99.43	100.83	54.33	13.52	56.68	486.75	291.04	251.48	221.86	397.93	91.41	66.65	201.25	206.94	387.02	339.14	253.23	343.89	361.04	220.32	231.32	332.14	211.31	281.09	447.82	16.15	339.14	339.14	215.77	316.37	217.27	127.89	267.73	204.07	226.54	153.34	325.29	209.84	371.22	173.85	127.89	348.71	76.17	164.42	164.42	204.07	381.68	176.29	98.04	291.04	163.28	194.36	242.88	384.34	206.94	251.48	61.68	642.59	158.79	241.19	332.14	169.07	40.93	172.65	105.89	307.69	358.54	175.07	187.71	291.04	195.72	73.03	85.82	226.54	35.25	146.03	159.9	109.66	204.07	114.36	185.11	223.41	137.14	320.8	256.78	154.42	165.57	46.5	327.56	438.59	185.11	246.28	40.64	114.36	143.01	156.59	163.28	387.02	94.67	397.93	120.1	102.25	323.03	0.0	0.0	37.85	10.96	22.92	48.18	25.91	170.25
C7orf31	62.56	13.62	102.97	137.14	86.43	91.41	42.71	41.81	71.5	26.86	98.04	88.26	67.59	43.94	41.81	29.7	48.18	36.53	46.18	19.11	37.85	62.12	18.03	17.38	45.53	47.5	34.02	69.03	127.89	42.71	66.65	96.01	202.66	126.12	135.24	84.63	122.64	86.43	118.43	246.28	77.79	113.56	379.04	163.28	42.11	88.26	111.21	121.79	181.28	175.07	217.27	115.16	209.84	127.0	169.07	115.97	143.01	229.72	164.42	109.66	291.04	125.24	85.22	190.34	146.03	72.01	165.57	150.17	204.07	127.0	133.36	198.47	115.16	114.36	57.89	122.64	111.99	157.68	181.28	104.42	131.51	191.67	98.04	176.29	172.65	142.01	205.5	120.1	106.63	255.0	46.84	181.28	56.68	133.36	218.79	116.78	18.7	159.9	83.45	102.25	115.16	143.01	176.29	166.73	155.5	37.59	51.71	148.09	73.03	153.34	78.34	42.41	118.43	62.56	127.0	130.6	98.04	163.28	136.19	122.64	72.01	77.79	120.94	114.36	178.77	123.5	105.89	142.01	92.05	80.01	218.79	105.15	59.97	132.44	107.38	108.14	183.82	0.0	0.25	111.99	14.14	42.41	40.36	18.16	127.0
C7orf50	1617.0	669.92	466.88	830.75	961.07	708.18	457.25	291.04	1268.46	507.46	490.14	389.72	1427.22	954.43	1119.56	1135.2	1721.16	1259.69	1896.65	1111.82	1397.83	1059.11	1594.73	1617.0	1639.59	1457.23	961.07	1923.14	1745.2	1991.0	2148.82	1447.15	1127.35	1909.85	1388.16	2004.85	1909.85	2573.36	1721.16	5147.73	2004.85	2520.38	4038.61	3768.09	1844.76	2417.67	2018.8	2434.5	3081.75	2240.11	2997.45	2032.85	4181.07	3794.3	2400.97	2367.9	2816.11	4298.64	1295.13	5041.77	4010.71	3190.46	3190.46	3820.7	2303.12	1923.14	3690.52	4543.8	1697.45	1896.65	2976.74	2758.13	2573.36	2119.22	2855.44	2032.85	2502.97	2758.13	1628.26	1896.65	651.58	3419.52	1467.37	2271.4	2047.0	3124.78	2193.99	3257.52	2520.38	5147.73	1685.71	3690.52	2976.74	2119.22	3874.05	2682.69	2047.0	2520.38	1322.37	2047.0	3168.41	2777.33	1977.24	2502.97	2664.15	3955.48	2148.82	3018.3	1819.35	3589.58	3039.3	1909.85	2451.44	2682.69	3124.78	3665.02	2682.69	2367.9	3874.05	3515.68	2875.3	3564.78	1508.65	3146.52	2502.97	2895.31	1457.23	2895.31	2537.92	2627.46	2682.69	3060.45	2875.3	3124.78	2193.99	2875.3	2758.13	0.0	0.52	1605.83	974.5	842.36	884.29	2537.92	3491.39
C9orf116	45.53	14.14	73.03	104.42	48.87	103.69	19.82	129.69	40.93	120.1	37.32	248.0	43.32	11.73	16.51	21.78	38.67	50.27	45.53	17.77	24.63	10.55	52.82	35.76	53.57	74.06	34.26	66.65	1519.15	733.19	295.11	318.57	165.57	262.2	591.22	269.6	121.79	435.55	242.88	909.17	607.87	780.44	2178.83	1397.83	493.56	260.38	1208.34	713.11	878.17	1183.45	748.61	915.51	1037.29	1037.29	334.46	1286.18	988.12	921.88	693.58	633.73	656.11	679.29	825.0	1081.39	532.74	733.19	785.88	679.29	406.31	612.11	633.73	1104.13	753.83	830.75	679.29	1447.15	279.14	1111.82	214.27	503.95	356.05	872.1	146.03	769.69	651.58	819.3	1037.29	358.54	961.07	738.29	316.37	525.39	612.11	591.22	1208.34	656.11	473.41	466.88	395.18	507.46	1151.06	674.59	1378.57	947.83	988.12	457.25	529.06	1023.0	105.89	890.44	769.69	493.56	591.22	878.17	651.58	808.0	1322.37	1208.34	780.44	514.56	860.08	420.68	1001.93	1015.93	684.02	860.08	325.29	567.1	642.59	698.41	473.41	878.17	679.29	902.89	236.21	872.1	743.43	0.0	0.0	50.98	21.16	53.95	7.94	18.7	454.09
CASC1	9.27	4.31	14.89	50.27	4.35	37.32	5.96	16.51	3.11	0.29	19.39	1.85	4.94	0.46	0.85	0.93	3.89	2.41	3.32	0.0	0.47	3.59	1.13	4.78	7.63	14.35	7.4	6.11	61.68	56.28	54.33	27.05	8.45	40.64	82.29	26.1	24.11	20.26	88.26	117.6	151.22	57.08	119.26	118.43	29.06	41.22	124.37	75.11	78.34	161.02	129.69	100.13	94.67	89.51	87.65	141.02	116.78	88.88	205.5	40.64	88.26	88.26	35.25	199.85	85.22	32.13	75.64	42.41	64.8	78.34	102.97	105.89	46.5	67.12	45.53	209.84	16.15	102.97	86.43	84.63	93.35	92.05	51.71	94.01	171.45	99.43	131.51	154.42	87.03	125.24	47.17	86.43	35.25	59.13	110.43	59.13	73.54	40.64	35.0	63.89	103.69	45.53	134.3	111.21	57.49	6.62	27.64	96.01	13.22	42.41	46.5	22.75	75.64	72.01	52.82	96.68	48.52	209.84	71.0	46.5	75.11	15.45	98.04	98.04	59.55	103.69	22.43	77.79	76.71	40.93	82.29	110.43	67.12	127.0	24.46	57.08	127.89	0.0	0.0	1.87	4.06	1.62	1.46	12.18	177.53
CBY1	1277.29	470.14	890.44	1208.34	633.73	575.03	941.27	511.0	988.12	414.87	909.17	896.64	819.3	423.61	500.46	395.18	540.19	669.92	679.29	473.41	503.95	409.15	441.64	665.29	693.58	543.96	616.37	733.19	1250.98	1331.57	629.35	896.64	713.11	1572.76	836.53	1127.35	1008.9	988.12	759.08	1561.89	954.43	791.35	2119.22	1844.76	967.76	934.76	1191.69	1135.2	1819.35	1427.22	1277.29	753.83	1268.46	1216.75	830.75	1529.73	1359.57	1844.76	1304.15	1417.35	1216.75	981.29	1001.93	1322.37	1388.16	934.76	679.29	1208.34	521.76	974.5	1183.45	1225.22	842.36	1167.14	941.27	1721.16	1111.82	1208.34	813.63	1104.13	769.69	1781.89	848.22	1427.22	1073.91	1073.91	1304.15	1378.57	1733.13	1369.04	759.08	1369.04	802.41	967.76	1508.65	884.29	1023.0	733.19	397.93	872.1	1583.71	1304.15	1369.04	1583.71	1369.04	813.63	1081.39	1883.54	511.0	1331.57	1242.34	967.76	1015.93	1427.22	1001.93	954.43	1096.5	1457.23	1909.85	1191.69	1151.06	780.44	665.29	1437.15	743.43	1639.59	417.77	941.27	743.43	426.57	961.07	1427.22	1369.04	1662.49	1191.69	1015.93	1519.15	0.0	0.34	603.67	775.05	753.83	866.07	753.83	1277.29
CCDC11	4.9	15.0	4.03	28.86	6.73	5.63	31.22	5.32	13.72	7.0	31.67	0.79	7.51	4.43	20.71	3.38	6.36	2.41	3.32	1.85	9.93	7.4	5.36	10.96	5.36	5.15	6.73	12.09	53.57	51.71	59.55	59.97	11.3	40.07	46.84	31.0	21.47	10.0	51.71	125.24	51.35	52.82	100.13	70.01	42.41	24.99	108.14	64.34	119.26	97.36	136.19	74.06	161.02	91.41	76.17	128.79	100.13	116.78	60.39	25.54	128.79	56.28	92.7	140.04	96.01	16.03	60.39	60.39	84.63	67.59	136.19	96.01	50.27	55.1	49.21	102.97	21.16	152.28	49.21	75.64	124.37	123.5	37.85	167.9	206.94	23.93	119.26	51.35	110.43	172.65	38.12	74.58	31.0	95.34	72.52	68.07	19.97	76.17	37.85	190.34	90.14	98.04	115.97	144.01	90.14	4.82	49.91	108.9	25.72	75.64	45.21	20.11	96.68	35.5	54.72	67.59	40.36	130.6	70.01	85.22	66.65	6.21	47.84	127.0	52.45	115.97	41.52	54.33	63.89	57.89	62.56	134.3	48.18	123.5	24.28	49.91	110.43	0.0	0.0	33.06	28.65	23.08	44.89	16.39	123.5
CCDC135	0.0	0.0	0.39	0.0	9.41	0.0	2.78	0.0	0.0	0.4	1.68	0.0	0.0	0.33	2.39	1.51	0.0	0.0	1.48	0.32	0.0	3.59	0.0	0.0	0.0	0.48	0.45	0.0	14.35	20.71	37.32	53.57	10.47	17.77	78.34	28.04	3.82	1.69	44.57	368.65	64.34	173.85	262.2	269.6	85.22	29.27	291.04	191.67	559.28	507.46	555.41	269.6	457.25	197.09	15.91	389.72	202.66	307.69	285.03	51.35	420.68	206.94	223.41	454.09	128.79	65.72	198.47	237.86	74.06	92.05	334.46	642.59	180.02	267.73	74.06	412.0	5.68	258.57	43.02	190.34	47.84	327.56	8.13	536.45	457.25	189.02	514.56	124.37	299.25	220.32	12.0	332.14	19.25	277.2	271.48	138.1	22.26	124.37	16.27	211.31	236.21	71.5	389.72	384.34	127.0	18.84	19.25	435.55	10.16	137.14	55.49	45.53	392.44	36.79	127.0	336.79	41.81	473.41	229.72	97.36	101.54	5.41	262.2	358.54	209.84	255.0	33.06	101.54	187.71	43.32	166.73	351.14	22.75	409.15	19.25	164.42	334.46	0.0	0.0	0.49	0.0	0.54	7.28	0.0	12.0
CCDC24	74.58	12.64	43.63	162.14	66.18	71.5	57.08	39.79	58.71	71.0	120.94	30.34	111.21	214.27	211.31	143.01	148.09	128.79	173.85	271.48	153.34	162.14	67.59	61.25	43.02	152.28	71.0	96.68	176.29	297.17	260.38	255.0	134.3	295.11	275.28	277.2	142.01	64.34	178.77	1059.11	429.54	514.56	500.46	796.86	265.87	215.77	521.76	460.44	785.88	660.68	775.05	769.69	723.08	688.78	559.28	591.22	503.95	836.53	872.1	175.07	612.11	525.39	417.77	791.35	414.87	403.5	366.09	420.68	525.39	656.11	748.61	497.0	457.25	624.99	587.13	591.22	206.94	738.29	312.0	309.83	1104.13	507.46	361.04	490.14	518.15	486.75	470.14	1030.12	629.35	543.96	214.27	1059.11	389.72	429.54	902.89	417.77	236.21	432.53	373.81	497.0	753.83	273.37	532.74	490.14	420.68	248.0	295.11	587.13	511.0	532.74	454.09	212.78	674.59	500.46	460.44	460.44	295.11	633.73	764.36	551.56	435.55	211.31	316.37	693.58	376.41	571.05	249.73	457.25	379.04	642.59	647.07	733.19	299.25	1088.92	201.25	540.19	616.37	0.0	0.16	82.87	66.18	87.65	61.25	78.89	1259.69
CCDC40	62.56	6.01	18.84	107.38	22.92	44.57	64.34	20.71	74.58	53.57	49.91	96.68	21.63	13.42	19.53	21.94	17.9	36.27	23.25	25.35	4.1	21.47	22.59	17.51	38.12	24.81	22.43	38.12	85.82	115.97	165.57	460.44	136.19	101.54	291.04	180.02	53.57	70.51	145.02	490.14	150.17	301.33	334.46	341.51	128.79	182.55	414.87	379.04	612.11	603.67	642.59	124.37	638.15	269.6	171.45	348.71	358.54	620.67	884.29	371.22	387.02	301.33	256.78	334.46	571.05	329.84	164.42	178.77	137.14	723.08	325.29	187.71	353.59	406.31	94.67	785.88	126.12	547.75	363.56	208.38	1427.22	208.38	249.73	547.75	381.68	307.69	480.04	376.41	420.68	262.2	117.6	366.09	120.1	325.29	521.76	336.79	191.67	177.53	121.79	244.57	603.67	171.45	395.18	379.04	162.14	100.13	105.89	426.57	85.22	327.56	138.1	68.07	334.46	197.09	212.78	325.29	223.41	420.68	406.31	303.44	148.09	70.01	162.14	426.57	246.28	351.14	105.15	142.01	256.78	129.69	320.8	309.83	172.65	392.44	135.24	202.66	417.77	0.0	0.33	24.28	17.38	26.86	8.85	28.45	269.6
CCDC65	2.68	0.62	21.78	37.59	25.54	3.86	16.03	16.27	15.34	6.94	42.41	9.78	14.56	6.06	5.82	8.0	3.17	5.63	7.06	4.03	6.21	3.72	5.15	8.99	1.83	11.04	14.78	1.38	37.32	80.01	25.54	77.79	24.28	45.53	127.89	42.11	20.56	31.67	132.44	212.78	127.0	115.16	291.04	220.32	51.35	46.84	176.29	167.9	166.73	316.37	148.09	139.07	180.02	175.07	120.1	249.73	198.47	102.25	400.71	49.56	114.36	135.24	75.64	412.0	68.07	63.45	117.6	82.29	71.5	131.51	163.28	221.86	88.88	129.69	63.45	412.0	22.43	180.02	67.59	147.06	122.64	117.6	50.27	171.45	185.11	140.04	220.32	163.28	129.69	176.29	32.13	171.45	72.01	74.58	236.21	137.14	27.05	81.71	47.17	57.89	237.86	78.89	271.48	186.4	153.34	17.0	69.52	199.85	33.54	93.35	85.22	32.36	101.54	122.64	96.68	220.32	111.99	363.56	126.12	71.5	154.42	31.22	72.52	215.77	87.03	177.53	33.3	83.45	94.67	40.64	119.26	283.05	66.18	139.07	22.43	147.06	158.79	0.0	0.0	3.26	34.02	24.28	12.0	4.5	90.14
CDHR2	3.5	2.18	1.6	4.03	1.51	0.64	0.0	0.28	2.01	2.84	4.54	1.58	0.27	3.53	1.13	5.54	3.72	11.04	4.7	7.34	8.25	7.63	0.96	1.5	0.55	0.0	5.54	1.73	198.47	281.09	45.53	2.29	6.67	120.94	98.73	221.86	45.85	878.17	764.36	563.18	1605.83	312.0	981.29	1159.07	1540.37	189.02	2520.38	1208.34	447.82	463.65	633.73	1819.35	532.74	1950.0	429.54	1950.0	2915.45	693.58	836.53	95.34	514.56	854.13	679.29	1143.1	1015.93	205.5	1199.98	214.27	1167.14	187.71	1427.22	2367.9	283.05	884.29	579.04	412.0	236.21	4903.87	1662.49	105.15	435.55	2520.38	37.32	638.15	738.29	1066.48	591.22	497.0	1950.0	759.08	1111.82	759.08	81.14	934.76	813.63	1388.16	743.43	150.17	961.07	1733.13	915.51	73.03	3190.46	2004.85	1135.2	5.32	303.44	1242.34	1457.23	87.65	212.78	293.07	514.56	1331.57	1143.1	830.75	46.18	934.76	327.56	825.0	748.61	25.91	3039.3	830.75	312.0	128.79	12.64	165.57	587.13	1259.69	1242.34	432.53	665.29	325.29	43.63	353.59	392.44	0.0	0.2	14.89	1.73	3.72	0.16	6.73	0.2
CDK10	395.18	343.89	255.0	723.08	813.63	363.56	842.36	363.56	473.41	409.15	954.43	432.53	521.76	417.77	836.53	403.5	400.71	441.64	555.41	583.07	346.29	457.25	392.44	493.56	379.04	493.56	454.09	368.65	1111.82	2075.59	1617.0	1277.29	1088.92	1183.45	1437.15	1936.53	1508.65	633.73	988.12	5594.3	2485.67	1883.54	3060.45	2915.45	1378.57	2777.33	2090.03	2682.69	6652.97	5292.48	4010.71	3325.99	4802.93	4095.0	1088.92	4066.71	2895.31	3614.55	5831.91	1447.15	2303.12	3235.01	2255.7	2935.74	2319.15	1639.59	3515.68	1857.6	2255.7	3901.01	2178.83	1936.53	2255.7	5329.3	1857.6	2271.4	1896.65	2935.74	2915.45	1963.57	1721.16	2796.65	830.75	3955.48	5219.6	2468.49	2451.44	2061.24	3540.14	4123.49	1697.45	5913.33	1757.34	2816.11	5329.3	2018.8	1023.0	1923.14	1051.79	1936.53	5517.27	1286.18	3982.99	2976.74	2520.38	1037.29	2240.11	4869.99	854.13	2485.67	1594.73	607.87	3190.46	2224.63	2645.74	2555.58	1651.0	4450.27	2417.67	3515.68	2485.67	813.63	3491.39	3794.3	1216.75	3955.48	854.13	2303.12	1073.91	2434.5	2875.3	2209.26	3190.46	5555.65	2400.97	1991.0	4769.75	0.0	1.0	540.19	764.36	529.06	738.29	500.46	2485.67
CDK5	128.79	123.5	108.14	281.09	229.72	193.01	366.09	231.32	133.36	199.85	295.11	103.69	248.0	334.46	285.03	255.0	403.5	264.03	305.55	305.55	299.25	271.48	201.25	273.37	141.02	204.07	361.04	221.86	460.44	532.74	780.44	351.14	514.56	476.71	358.54	373.81	358.54	529.06	314.17	884.29	514.56	825.0	947.83	764.36	540.19	444.72	638.15	555.41	620.67	551.56	718.08	466.88	947.83	775.05	525.39	476.71	660.68	1111.82	571.05	525.39	830.75	525.39	463.65	928.3	543.96	438.59	928.3	848.22	507.46	547.75	718.08	563.18	708.18	497.0	457.25	514.56	567.1	802.41	423.61	497.0	423.61	1073.91	429.54	748.61	447.82	947.83	669.92	651.58	607.87	967.76	447.82	769.69	591.22	759.08	738.29	698.41	463.65	708.18	647.07	884.29	620.67	679.29	551.56	723.08	612.11	567.1	447.82	624.99	555.41	748.61	647.07	373.81	723.08	476.71	785.88	941.27	587.13	854.13	629.35	808.0	395.18	1143.1	373.81	660.68	660.68	669.92	591.22	633.73	450.94	595.34	638.15	748.61	559.28	563.18	514.56	543.96	638.15	0.0	0.0	239.52	218.79	246.28	329.84	204.07	277.2
CDPF1	185.11	161.02	140.04	189.02	279.14	177.53	217.27	65.26	229.72	101.54	167.9	206.94	127.89	126.12	182.55	92.7	121.79	141.02	151.22	110.43	99.43	81.14	94.67	153.34	195.72	133.36	123.5	197.09	376.41	248.0	82.29	269.6	185.11	205.5	209.84	381.68	295.11	329.84	237.86	353.59	249.73	277.2	363.56	423.61	193.01	297.17	281.09	351.14	395.18	323.03	323.03	256.78	406.31	336.79	170.25	303.44	248.0	341.51	279.14	353.59	275.28	341.51	303.44	264.03	283.05	271.48	137.14	314.17	167.9	260.38	246.28	260.38	262.2	351.14	204.07	339.14	275.28	325.29	228.13	361.04	175.07	351.14	267.73	318.57	214.27	358.54	307.69	275.28	325.29	368.65	171.45	358.54	167.9	249.73	426.57	228.13	111.99	248.0	163.28	177.53	329.84	346.29	285.03	329.84	279.14	269.6	189.02	466.88	171.45	287.01	236.21	193.01	289.02	289.02	248.0	283.05	318.57	314.17	412.0	363.56	185.11	205.5	180.02	327.56	189.02	327.56	100.83	173.85	182.55	138.1	242.88	348.71	271.48	444.72	289.02	237.86	384.34	0.0	0.15	283.05	126.12	89.51	100.13	169.07	353.59
COLEC10	0.0	0.0	0.77	1.97	1.91	0.0	8.51	0.0	1.95	0.0	0.0	0.0	1.83	0.36	0.0	0.0	2.81	0.0	4.94	0.0	0.0	1.27	7.28	0.97	0.0	1.46	0.46	0.0	173.85	4.9	13.22	1.55	6.36	170.25	20.41	1.71	16.03	0.66	23.93	11.38	29.7	15.91	15.11	53.57	4.82	15.34	36.01	9.93	12.18	49.91	52.08	1.2	21.47	21.78	21.01	14.14	55.49	37.32	43.63	4.98	96.01	25.72	10.16	104.42	35.76	8.85	58.71	17.13	2.73	6.31	34.26	3.79	4.46	18.03	2.27	13.32	3.35	27.44	13.72	9.63	14.45	56.28	3.17	31.22	33.54	19.39	24.46	29.06	16.88	24.46	33.78	28.24	5.32	5.41	13.52	2.71	5.73	5.36	15.8	10.0	12.36	47.84	182.55	28.24	674.59	16.27	3.26	23.59	2.01	10.16	2.66	6.94	19.53	0.65	5.87	12.45	8.65	17.0	29.06	11.55	8.65	10.0	11.13	33.54	14.35	10.71	4.28	7.94	30.56	33.54	14.45	42.71	12.09	14.35	13.93	3.79	11.38	0.0	0.0	7.4	0.0	1.2	2.53	0.0	52.08
