	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C
DDX49	511.0	1066.48	860.08	1651.0	1175.27	1051.79	1051.79	995.0	896.64	928.3	848.22	974.5	1135.2	571.05	532.74	775.05	595.34	575.03	684.02	647.07	647.07	521.76	616.37	409.15	551.56	470.14	0.0	0.52	277.2	234.57	309.83	244.57	285.03
DEXI	1447.15	1519.15	796.86	1457.23	1350.18	1594.73	1508.65	1427.22	1015.93	1369.04	1540.37	1208.34	1721.16	995.0	1159.07	1540.37	1104.13	1397.83	1037.29	1268.46	1268.46	902.89	1066.48	1350.18	470.14	1044.52	0.0	0.71	708.18	743.43	921.88	660.68	909.17
DUSP28	67.59	108.14	75.64	103.69	147.06	94.67	108.9	87.65	97.36	75.11	88.26	84.04	116.78	78.89	57.08	100.13	69.52	66.18	77.79	67.12	53.95	55.89	102.25	48.52	52.08	50.98	0.0	0.24	59.13	37.32	47.17	36.79	67.59
ERI3	819.3	1233.75	1051.79	1561.89	1183.45	1639.59	1233.75	1477.58	1143.1	896.64	1127.35	1175.27	1617.0	1030.12	791.35	1008.9	785.88	909.17	974.5	928.3	1081.39	723.08	921.88	373.81	872.1	934.76	0.0	0.72	376.41	351.14	293.07	583.07	348.71
GALE	1651.0	1923.14	1427.22	2758.13	2875.3	1561.89	2319.15	1857.6	2119.22	1457.23	1447.15	2090.03	3589.58	1498.22	1277.29	1769.57	1477.58	1397.83	1594.73	2004.85	1447.15	1073.91	1322.37	518.15	1143.1	718.08	0.0	0.31	507.46	348.71	511.0	507.46	395.18
IFRD2	1498.22	2224.63	2240.11	2163.77	2485.67	2417.67	2018.8	1909.85	1340.84	1378.57	2032.85	1991.0	1583.71	1819.35	825.0	2178.83	1519.15	1397.83	1295.13	1605.83	1594.73	1331.57	1250.98	1023.0	1369.04	1277.29	0.0	0.35	1066.48	1583.71	1127.35	1359.57	1477.58
JMJD4	260.38	339.14	373.81	928.3	521.76	738.29	316.37	483.38	267.73	303.44	447.82	336.79	595.34	279.14	236.21	279.14	291.04	248.0	336.79	239.52	291.04	181.28	208.38	198.47	189.02	115.16	0.0	0.0	74.58	115.97	78.89	120.1	74.58
KLHDC9	131.51	175.07	303.44	490.14	361.04	199.85	387.02	234.57	215.77	130.6	191.67	384.34	371.22	258.57	133.36	126.12	187.71	122.64	189.02	121.79	167.9	110.43	211.31	49.91	39.5	23.25	0.0	0.22	62.12	39.5	18.43	100.83	13.83
LAMTOR1	1572.76	1794.29	2163.77	2816.11	2627.46	2976.74	2075.59	2319.15	1662.49	1896.65	2075.59	2240.11	2209.26	1923.14	1806.78	1844.76	1832.01	1529.73	1794.29	1561.89	1709.26	1457.23	1685.71	1369.04	1639.59	1233.75	0.0	0.39	1388.16	1191.69	1225.22	1407.55	825.0
LAMTOR2	3419.52	3874.05	3768.09	8718.32	6699.25	5403.7	5672.41	7537.18	2895.31	3564.78	3716.2	7589.61	9151.82	3467.27	2956.17	3614.55	2997.45	3614.55	3467.27	3614.55	4066.71	2609.3	3639.7	2004.85	3146.52	2502.97	0.0	0.53	1167.14	503.95	902.89	1388.16	759.08
LSM4	1685.71	3124.78	3081.75	5329.3	4268.94	4671.57	4239.45	5872.48	2119.22	2287.2	1963.57	2796.65	3847.29	1628.26	1427.22	2240.11	1167.14	1936.53	1651.0	1977.24	2047.0	1322.37	1896.65	1051.79	1407.55	1304.15	0.0	0.85	1059.11	674.59	1143.1	1617.0	802.41
MLST8	599.49	733.19	802.41	1437.15	928.3	1073.91	967.76	1135.2	660.68	633.73	819.3	988.12	961.07	693.58	583.07	693.58	674.59	624.99	718.08	633.73	665.29	490.14	450.94	381.68	579.04	743.43	0.0	0.09	316.37	176.29	239.52	271.48	180.02
MRPL12	2720.15	3146.52	3039.3	4869.99	5633.22	4903.87	4736.79	6471.02	2451.44	2351.53	2555.58	3146.52	4095.0	2224.63	2451.44	2935.74	2193.99	2777.33	2701.35	3491.39	3491.39	2209.26	2468.49	1733.13	1769.57	1991.0	0.0	0.27	480.04	400.71	389.72	426.57	616.37
MRPL24	2664.15	3146.52	4210.15	11035.54	4736.79	5831.91	6037.61	5711.87	2796.65	1594.73	2075.59	5791.62	6164.49	2739.08	2224.63	2915.45	2627.46	2895.31	2739.08	3190.46	3081.75	2319.15	2875.3	2400.97	2609.3	1369.04	0.0	0.43	647.07	620.67	409.15	819.3	460.44
MRPL28	1651.0	2855.44	2004.85	3665.02	2104.58	3168.41	1963.57	3103.19	1733.13	1662.49	1427.22	1651.0	2240.11	1617.0	1242.34	1709.26	1388.16	1605.83	1605.83	1651.0	1832.01	1143.1	1519.15	1001.93	1407.55	1277.29	0.0	0.89	607.87	521.76	665.29	825.0	603.67
MRPL55	1909.85	2367.9	2502.97	5517.27	4481.23	3955.48	3794.3	3955.48	2178.83	2271.4	2303.12	5006.93	5751.61	2224.63	1407.55	2240.11	1745.2	1909.85	1936.53	2209.26	2133.97	1447.15	1674.06	981.29	769.69	1498.22	2956.17	1662.49	902.89	1233.75	1111.82	836.53	547.75
MRPS21	1127.35	1733.13	1923.14	4123.49	2178.83	2400.97	819.3	2520.38	1277.29	620.67	1175.27	2777.33	2384.37	1350.18	785.88	1119.56	974.5	967.76	1322.37	1111.82	1119.56	842.36	1340.84	748.61	476.71	435.55	0.0	0.89	638.15	438.59	679.29	759.08	309.83
MRPS34	2090.03	1806.78	2384.37	4095.0	2796.65	3146.52	3257.52	3060.45	1733.13	1733.13	2367.9	2255.7	2664.15	1963.57	1745.2	2468.49	1685.71	1883.54	1923.14	2148.82	2367.9	1467.37	1662.49	1286.18	1111.82	1909.85	0.0	0.36	836.53	466.88	796.86	718.08	825.0
MTX1	1023.0	1104.13	1295.13	2520.38	1286.18	1628.26	1991.0	1286.18	1159.07	872.1	1008.9	1651.0	2133.97	1199.98	796.86	1242.34	1023.0	842.36	1030.12	1143.1	1001.93	890.44	1015.93	1059.11	1359.57	1225.22	0.0	0.52	441.64	490.14	336.79	466.88	314.17
NARFL	224.97	500.46	454.09	733.19	551.56	587.13	703.28	497.0	447.82	444.72	563.18	473.41	559.28	426.57	273.37	432.53	287.01	366.09	412.0	312.0	414.87	295.11	281.09	260.38	309.83	332.14	0.0	0.64	289.02	251.48	536.45	232.94	175.07
NCLN	1159.07	1487.87	995.0	1896.65	1437.15	1794.29	1143.1	1832.01	1119.56	1127.35	1268.46	1159.07	2004.85	981.29	1001.93	1199.98	1008.9	1111.82	1313.23	1199.98	1477.58	961.07	1088.92	1073.91	830.75	872.1	0.0	0.43	493.56	438.59	486.75	368.65	525.39
NDUFA7	2193.99	3443.31	3515.68	4419.52	4575.41	3847.29	3955.48	4328.55	2485.67	2335.28	1819.35	3372.43	3491.39	1870.53	1447.15	2645.74	1250.98	2133.97	1950.0	1950.0	2520.38	1388.16	2271.4	1857.6	1583.71	1388.16	0.0	0.52	723.08	497.0	409.15	1051.79	466.88
NDUFS8	2935.74	4769.75	4152.18	5076.84	5006.93	4736.79	4836.35	6840.04	3665.02	2701.35	2915.45	3928.15	4328.55	2976.74	2163.77	3639.7	1806.78	2956.17	2701.35	3235.01	3820.7	2271.4	2875.3	2163.77	1870.53	2816.11	0.0	0.75	1519.15	785.88	1427.22	1529.73	1242.34
NHP2	1572.76	3212.66	4639.29	4450.27	5403.7	3060.45	5219.6	2875.3	1870.53	1561.89	1781.89	2915.45	4298.64	1870.53	1286.18	1832.01	1561.89	1340.84	1697.45	1745.2	1794.29	1540.37	1781.89	1745.2	1832.01	1467.37	0.0	0.39	896.64	1135.2	718.08	1191.69	1111.82
NR2C2AP	166.73	353.59	356.05	642.59	651.58	514.56	435.55	339.14	242.88	283.05	218.79	395.18	521.76	211.31	122.64	226.54	148.09	130.6	176.29	191.67	182.55	167.9	202.66	83.45	131.51	131.51	0.0	0.42	96.01	90.14	96.01	146.03	140.04
NUBP2	1135.2	1388.16	1268.46	2573.36	1561.89	1857.6	2319.15	1844.76	1340.84	1407.55	1487.87	1304.15	1857.6	1151.06	1030.12	1467.37	1304.15	1250.98	1322.37	1242.34	1508.65	1081.39	1051.79	775.05	848.22	1066.48	0.0	0.78	450.94	269.6	435.55	371.22	314.17
OXLD1	447.82	872.1	819.3	1066.48	954.43	1104.13	866.07	825.0	753.83	587.13	723.08	525.39	974.5	521.76	376.41	642.59	381.68	476.71	656.11	389.72	473.41	325.29	460.44	260.38	329.84	277.2	0.0	0.56	215.77	143.01	129.69	181.28	136.19
PEX16	915.51	1322.37	878.17	1662.49	2004.85	1498.22	1697.45	1119.56	1151.06	909.17	995.0	1001.93	1950.0	988.12	703.28	981.29	954.43	961.07	921.88	819.3	961.07	540.19	928.3	684.02	808.0	536.45	0.0	0.39	182.55	172.65	164.42	244.57	157.68
POLRMT	1044.52	1806.78	1896.65	2739.08	2303.12	2224.63	2047.0	2335.28	1407.55	1477.58	1709.26	2224.63	2193.99	1359.57	878.17	1857.6	1159.07	1183.45	1286.18	1369.04	1304.15	902.89	1208.34	743.43	674.59	830.75	0.0	0.8	403.5	260.38	624.99	251.48	379.04
POP5	947.83	1331.57	1135.2	1529.73	2133.97	941.27	1066.48	928.3	934.76	1175.27	872.1	1259.69	1963.57	836.53	872.1	884.29	748.61	759.08	884.29	967.76	928.3	647.07	1044.52	420.68	651.58	525.39	0.0	0.04	444.72	236.21	376.41	490.14	208.38
PSMD4	2816.11	4512.4	5147.73	11909.94	4802.93	7911.95	7081.29	7589.61	4095.0	3443.31	4328.55	6337.83	5672.41	4298.64	3235.01	3665.02	3146.52	3081.75	3103.19	3874.05	3349.13	2609.3	3372.43	2485.67	2303.12	2224.63	0.0	1.08	1268.46	1397.83	1757.34	1561.89	896.64
PSMG4	500.46	819.3	713.11	902.89	890.44	759.08	629.35	633.73	616.37	633.73	967.76	368.65	1529.73	406.31	450.94	551.56	511.0	376.41	490.14	587.13	575.03	269.6	518.15	325.29	162.14	285.03	0.0	0.46	155.5	138.1	116.78	267.73	155.5
RNF220	638.15	1096.5	1151.06	1081.39	842.36	1008.9	1304.15	1030.12	708.18	1059.11	1111.82	1277.29	1721.16	915.51	684.02	769.69	934.76	629.35	866.07	878.17	698.41	563.18	612.11	633.73	435.55	503.95	0.0	0.3	559.28	500.46	684.02	529.06	521.76
RP4-758J18.2	373.81	1183.45	567.1	426.57	540.19	713.11	567.1	532.74	511.0	490.14	909.17	1015.93	954.43	518.15	356.05	518.15	412.0	262.2	612.11	426.57	450.94	164.42	291.04	239.52	223.41	190.34	0.0	0.14	170.25	133.36	154.42	187.71	139.07
RPP21	825.0	967.76	884.29	1745.2	1487.87	1322.37	1216.75	1051.79	1008.9	708.18	1135.2	1183.45	1304.15	713.11	518.15	1096.5	642.59	703.28	764.36	802.41	909.17	647.07	802.41	493.56	460.44	551.56	0.0	0.54	525.39	191.67	376.41	587.13	397.93
RPUSD1	172.65	253.23	373.81	511.0	237.86	368.65	351.14	249.73	208.38	273.37	260.38	348.71	397.93	244.57	141.02	171.45	156.59	155.5	215.77	186.4	186.4	129.69	140.04	113.56	151.22	267.73	0.0	0.01	133.36	84.63	110.43	53.19	107.38
RUVBL2	1015.93	1662.49	1457.23	1781.89	1369.04	1322.37	1721.16	1242.34	1199.98	1001.93	890.44	1208.34	1950.0	1044.52	967.76	1151.06	967.76	780.44	1143.1	1175.27	1135.2	819.3	1119.56	1051.79	915.51	660.68	0.0	0.35	563.18	813.63	497.0	660.68	438.59
SAA2	932018.1	1800541.22	1108362.75	170568.48	764.36	386469.83	6381.92	425853.18	1903204.61	450134.56	1048575.0	10733.74	10368.08	2691538.19	3601083.44	5076.84	1813064.98	822695.06	569761.05	2335.28	1402917.72	2425749.94	3049200.37	520665.48	1041331.96	805764.22	0.0	0.24	6.57	34.51	24.11	32.82	18.84
SAC3D1	182.55	307.69	256.78	633.73	384.34	518.15	381.68	426.57	161.02	285.03	279.14	346.29	320.8	223.41	164.42	193.01	165.57	154.42	182.55	246.28	155.5	107.38	166.73	125.24	98.73	249.73	0.0	0.0	87.65	24.81	65.26	48.18	45.85
SLC25A39	2319.15	2875.3	2573.36	5913.33	3303.0	5555.65	4704.07	4575.41	2609.3	2591.27	2835.7	4010.71	5913.33	2240.11	2104.58	2935.74	1857.6	2739.08	2468.49	2303.12	3124.78	1794.29	2400.97	1651.0	1417.35	2537.92	0.0	0.92	1304.15	1191.69	1369.04	860.08	1051.79
SNAPC4	78.34	164.42	82.87	131.51	141.02	221.86	115.16	102.25	112.77	116.78	153.34	163.28	204.07	85.22	60.39	72.52	101.54	67.59	83.45	78.89	53.19	72.01	50.63	49.21	40.36	57.49	0.0	0.64	41.52	29.48	96.68	26.86	44.25
STUB1	2209.26	2090.03	2400.97	3742.05	3614.55	3349.13	3372.43	2976.74	2133.97	2335.28	2133.97	2720.15	2915.45	2271.4	2004.85	2758.13	1819.35	2047.0	2287.2	2240.11	2895.31	1709.26	2032.85	1183.45	1572.76	1819.35	0.0	0.89	1923.14	872.1	1721.16	1819.35	1923.14
THEM6	514.56	1277.29	1088.92	2271.4	1397.83	2271.4	1477.58	3280.18	620.67	748.61	995.0	1340.84	1769.57	447.82	603.67	890.44	612.11	674.59	536.45	872.1	612.11	457.25	486.75	283.05	275.28	543.96	0.0	0.1	138.1	99.43	269.6	199.85	70.51
TMEM161A	693.58	902.89	995.0	1628.26	1733.13	1183.45	1044.52	1709.26	909.17	607.87	848.22	995.0	1540.37	642.59	476.71	921.88	454.09	567.1	836.53	753.83	796.86	493.56	540.19	358.54	307.69	785.88	0.0	0.61	176.29	125.24	164.42	293.07	114.36
TMEM222	723.08	1216.75	780.44	947.83	780.44	1030.12	961.07	1605.83	764.36	878.17	941.27	1250.98	1030.12	830.75	733.19	1051.79	796.86	819.3	808.0	934.76	819.3	679.29	642.59	551.56	656.11	642.59	0.0	0.39	384.34	376.41	371.22	450.94	346.29
TSR3	1015.93	1037.29	1295.13	2417.67	1923.14	1870.53	1896.65	1605.83	1044.52	1175.27	1225.22	1216.75	1378.57	1175.27	928.3	1242.34	981.29	974.5	1051.79	995.0	1167.14	759.08	915.51	796.86	791.35	1030.12	0.0	0.34	483.38	358.54	318.57	642.59	348.71
UROD	2520.38	3124.78	2090.03	3039.3	2555.58	2997.45	4152.18	3540.14	3060.45	2090.03	2739.08	2816.11	3768.09	3081.75	2163.77	3039.3	2720.15	2434.5	2609.3	3018.3	2796.65	1909.85	2351.53	2502.97	2148.82	1857.6	0.0	0.51	1073.91	825.0	536.45	967.76	679.29
YIF1A	2777.33	3768.09	3372.43	4298.64	4769.75	4210.15	4704.07	6337.83	3325.99	3467.27	3491.39	3794.3	4239.45	2502.97	2468.49	3690.52	2468.49	3168.41	3280.18	3395.89	3443.31	2319.15	2701.35	2895.31	3124.78	2875.3	2796.65	2133.97	819.3	775.05	616.37	981.29	518.15
ZNF780A	323.03	493.56	299.25	599.49	612.11	412.0	368.65	460.44	273.37	271.48	432.53	579.04	808.0	392.44	358.54	366.09	353.59	339.14	339.14	283.05	323.03	195.72	423.61	201.25	275.28	217.27	0.0	0.22	93.35	43.32	161.02	41.22	163.28
