	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8432.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.J4.AATV.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.SJXC.2026.SM.4DM6N	TCGA.AG.3725.11A.01R.1736.07	TCGA.BR.6802.11A.01R.1884.13
FBXO41	104.42	3.66	8.99	7.0	0.43	17.77	17.25	102.25	78.89	36.01	54.72	55.1	53.57	47.5	57.08	79.45	80.01	58.71	53.57	43.94	61.68	49.21	82.87	54.72	48.18	16.27	35.5	49.56	56.28	80.01	28.04	23.93	85.22	18.16	18.16	7.88
FKRP	420.68	209.84	163.28	253.23	224.97	93.35	100.13	406.31	366.09	356.05	371.22	305.55	466.88	307.69	197.09	432.53	205.5	392.44	260.38	348.71	476.71	363.56	305.55	281.09	312.0	132.44	358.54	228.13	376.41	397.93	244.57	244.57	368.65	277.2	173.85	262.2
H6PD	624.99	90.14	102.97	142.01	20.56	77.79	89.51	830.75	775.05	334.46	587.13	397.93	521.76	551.56	435.55	620.67	503.95	647.07	244.57	400.71	775.05	343.89	860.08	483.38	371.22	127.0	447.82	366.09	551.56	595.34	381.68	277.2	361.04	195.72	140.04	91.41
HCFC1	802.41	153.34	146.03	221.86	67.12	108.9	120.94	921.88	967.76	629.35	854.13	521.76	836.53	866.07	738.29	878.17	638.15	848.22	483.38	738.29	769.69	638.15	1044.52	563.18	358.54	183.82	775.05	336.79	733.19	708.18	497.0	511.0	688.78	435.55	214.27	100.13
IP6K1	679.29	497.0	358.54	518.15	115.97	417.77	211.31	902.89	656.11	387.02	529.06	358.54	595.34	679.29	518.15	567.1	486.75	607.87	441.64	441.64	543.96	371.22	616.37	591.22	368.65	329.84	518.15	476.71	579.04	532.74	351.14	417.77	493.56	323.03	339.14	228.13
ITFG3	1963.57	890.44	1286.18	1295.13	796.86	511.0	612.11	1832.01	2133.97	2018.8	1617.0	1437.15	2303.12	1896.65	1605.83	1617.0	1437.15	1259.69	1551.09	1427.22	1447.15	1407.55	1977.24	1806.78	1304.15	890.44	2255.7	1073.91	1662.49	1551.09	1467.37	1286.18	1709.26	1467.37	1183.45	583.07
KDM5C	1208.34	248.0	376.41	343.89	53.19	231.32	204.07	995.0	866.07	555.41	813.63	743.43	896.64	915.51	753.83	759.08	599.49	842.36	503.95	555.41	703.28	603.67	759.08	629.35	521.76	258.57	567.1	518.15	698.41	884.29	575.03	660.68	651.58	571.05	438.59	175.07
KHSRP	3982.99	1242.34	791.35	1745.2	215.77	947.83	909.17	3847.29	3690.52	2855.44	3325.99	2627.46	3955.48	3847.29	3665.02	2682.69	2061.24	2777.33	1651.0	2451.44	3124.78	2835.7	3280.18	2758.13	1819.35	1331.57	2935.74	1883.54	3039.3	3349.13	1628.26	3372.43	3235.01	2682.69	1651.0	723.08
KMT2B	190.34	26.86	26.47	35.0	3.96	35.5	17.64	175.07	132.44	69.03	138.1	127.0	140.04	150.17	109.66	130.6	72.01	107.38	86.43	70.01	131.51	87.65	119.26	95.34	70.01	31.45	76.17	64.34	107.38	147.06	85.22	104.42	96.68	73.03	46.84	29.7
KMT2D	718.08	109.66	93.35	131.51	31.22	56.68	49.91	1059.11	540.19	341.51	500.46	406.31	591.22	599.49	493.56	540.19	409.15	642.59	265.87	248.0	473.41	497.0	486.75	327.56	194.36	88.26	339.14	246.28	460.44	567.1	309.83	412.0	490.14	229.72	127.0	39.79
MAML1	579.04	99.43	94.01	123.5	16.88	82.29	129.69	624.99	403.5	327.56	392.44	336.79	417.77	438.59	376.41	356.05	301.33	348.71	239.52	281.09	366.09	289.02	387.02	318.57	253.23	137.14	318.57	236.21	323.03	406.31	275.28	334.46	260.38	221.86	197.09	85.22
MGRN1	1111.82	441.64	392.44	633.73	132.44	156.59	287.01	1044.52	974.5	1096.5	995.0	723.08	1059.11	1159.07	902.89	878.17	559.28	785.88	674.59	703.28	890.44	854.13	961.07	808.0	616.37	381.68	1044.52	559.28	802.41	1059.11	507.46	995.0	819.3	890.44	392.44	307.69
MKL1	647.07	137.14	181.28	215.77	111.21	191.67	275.28	470.14	473.41	409.15	567.1	299.25	497.0	595.34	376.41	412.0	253.23	309.83	368.65	420.68	486.75	275.28	529.06	409.15	279.14	239.52	423.61	249.73	444.72	507.46	267.73	348.71	325.29	327.56	209.84	141.02
MSMB	29.06	0.0	0.0	0.0	3.56	0.0	103.69	100023.92	502929.67	894051.48	360589.03	783730.52	419990.32	171754.88	1019901.63	345900.08	811368.76	778316.89	706337.4	659036.03	845824.19	1212874.47	431797.89	778316.89	249727.34	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	958220.73	919186.72	1645391.11	654483.73	0.0	51775.15
NLE1	381.68	193.01	197.09	201.25	115.97	212.78	127.89	381.68	305.55	271.48	307.69	289.02	514.56	384.34	251.48	341.51	159.9	211.31	329.84	307.69	231.32	195.72	329.84	368.65	226.54	185.11	232.94	177.53	228.13	236.21	209.84	199.85	242.88	176.29	202.66	194.36
NLRX1	299.25	138.1	232.94	255.0	61.68	58.71	74.58	366.09	426.57	293.07	387.02	251.48	373.81	314.17	303.44	329.84	248.0	275.28	253.23	303.44	325.29	221.86	384.34	353.59	285.03	149.12	361.04	214.27	293.07	348.71	289.02	281.09	341.51	242.88	157.68	111.99
NUP62	1135.2	285.03	318.57	379.04	87.65	466.88	412.0	1023.0	902.89	819.3	785.88	698.41	921.88	1023.0	708.18	718.08	642.59	633.73	529.06	620.67	753.83	612.11	890.44	764.36	563.18	460.44	808.0	579.04	775.05	775.05	583.07	733.19	902.89	476.71	435.55	325.29
PCDHGC3	555.41	50.63	66.18	117.6	12.09	98.73	106.63	409.15	620.67	420.68	450.94	249.73	412.0	490.14	493.56	384.34	269.6	392.44	253.23	178.77	406.31	287.01	417.77	403.5	379.04	185.11	463.65	246.28	389.72	423.61	316.37	403.5	444.72	277.2	163.28	96.01
PHRF1	503.95	97.36	66.18	126.12	29.27	63.0	95.34	497.0	454.09	353.59	400.71	327.56	412.0	444.72	376.41	400.71	232.94	381.68	316.37	358.54	381.68	381.68	444.72	275.28	220.32	88.88	318.57	190.34	361.04	463.65	237.86	231.32	297.17	287.01	153.34	88.26
PLEKHM2	967.76	295.11	297.17	366.09	82.29	414.87	400.71	791.35	830.75	718.08	808.0	669.92	802.41	995.0	791.35	802.41	525.39	651.58	599.49	703.28	802.41	669.92	769.69	688.78	624.99	307.69	733.19	507.46	620.67	753.83	638.15	470.14	579.04	563.18	406.31	395.18
PPP1R26	507.46	138.1	86.43	133.36	84.63	44.57	82.87	457.25	316.37	264.03	341.51	226.54	336.79	366.09	323.03	318.57	199.85	223.41	204.07	275.28	332.14	301.33	366.09	236.21	211.31	80.01	251.48	159.9	251.48	291.04	212.78	186.4	262.2	121.79	100.13	70.51
PPP1R9B	854.13	164.42	201.25	281.09	44.25	237.86	244.57	540.19	518.15	441.64	559.28	387.02	669.92	780.44	457.25	651.58	320.8	500.46	289.02	460.44	647.07	406.31	599.49	348.71	325.29	142.01	493.56	305.55	409.15	480.04	389.72	466.88	400.71	327.56	202.66	143.01
PPP6R1	934.76	366.09	420.68	514.56	281.09	379.04	409.15	723.08	808.0	651.58	684.02	620.67	785.88	878.17	842.36	688.78	507.46	607.87	629.35	665.29	728.11	669.92	748.61	607.87	529.06	309.83	698.41	460.44	723.08	743.43	525.39	669.92	660.68	511.0	400.71	363.56
PTPN23	679.29	206.94	145.02	264.03	70.51	125.24	94.01	660.68	684.02	432.53	595.34	438.59	698.41	674.59	579.04	483.38	400.71	532.74	417.77	503.95	500.46	529.06	638.15	457.25	303.44	214.27	483.38	318.57	567.1	624.99	341.51	376.41	543.96	460.44	217.27	120.94
RAVER1	647.07	176.29	177.53	325.29	41.22	126.12	144.01	651.58	785.88	518.15	612.11	356.05	902.89	651.58	587.13	490.14	312.0	514.56	351.14	447.82	412.0	518.15	674.59	463.65	273.37	185.11	521.76	312.0	525.39	575.03	258.57	423.61	607.87	353.59	208.38	150.17
RBM15B	551.56	118.43	108.14	167.9	55.49	136.19	100.13	688.78	551.56	426.57	414.87	384.34	559.28	518.15	480.04	511.0	412.0	435.55	392.44	438.59	426.57	429.54	507.46	379.04	312.0	148.09	397.93	293.07	406.31	420.68	353.59	397.93	438.59	223.41	212.78	151.22
RFX1	301.33	66.18	66.65	112.77	27.64	59.97	48.52	223.41	228.13	156.59	217.27	154.42	197.09	198.47	180.02	204.07	90.14	185.11	121.79	166.73	204.07	181.28	205.5	139.07	113.56	88.88	214.27	107.38	170.25	244.57	94.01	121.79	183.82	149.12	55.89	52.82
RNF26	595.34	262.2	334.46	329.84	265.87	224.97	209.84	563.18	733.19	480.04	674.59	460.44	629.35	547.75	693.58	555.41	532.74	454.09	457.25	503.95	567.1	403.5	743.43	575.03	435.55	289.02	642.59	387.02	587.13	587.13	532.74	567.1	647.07	389.72	358.54	236.21
RNF44	1066.48	237.86	237.86	318.57	112.77	175.07	231.32	1044.52	500.46	409.15	591.22	529.06	555.41	521.76	624.99	612.11	273.37	457.25	529.06	376.41	525.39	423.61	665.29	406.31	281.09	193.01	361.04	336.79	341.51	587.13	301.33	351.14	447.82	389.72	409.15	246.28
SCAP	1350.18	473.41	457.25	612.11	620.67	212.78	209.84	1183.45	1183.45	791.35	954.43	743.43	1159.07	1331.57	941.27	896.64	647.07	753.83	981.29	988.12	791.35	674.59	1135.2	954.43	698.41	307.69	909.17	567.1	780.44	848.22	660.68	603.67	947.83	624.99	507.46	438.59
SEPT9	3901.01	1340.84	1119.56	1709.26	836.53	1250.98	1259.69	3491.39	4095.0	3665.02	2935.74	2739.08	4095.0	2976.74	2133.97	3039.3	1923.14	2319.15	1639.59	2434.5	3081.75	2537.92	3124.78	2758.13	2777.33	1447.15	3018.3	2178.83	2287.2	2758.13	1923.14	2682.69	2701.35	1322.37	1551.09	1628.26
SETD1A	297.17	62.12	47.5	92.05	15.22	42.71	44.25	289.02	273.37	190.34	239.52	172.65	265.87	265.87	228.13	229.72	171.45	176.29	158.79	186.4	232.94	195.72	267.73	180.02	129.69	72.52	236.21	127.0	199.85	232.94	154.42	214.27	161.02	100.83	84.04	58.3
SETD1B	265.87	49.21	76.71	61.25	19.39	39.5	46.18	441.64	325.29	177.53	309.83	253.23	323.03	309.83	341.51	299.25	206.94	299.25	141.02	197.09	256.78	205.5	291.04	182.55	120.94	74.06	201.25	181.28	269.6	325.29	228.13	273.37	265.87	121.79	72.01	43.02
SPEN	866.07	177.53	166.73	217.27	17.0	109.66	138.1	1191.69	703.28	551.56	624.99	497.0	591.22	808.0	642.59	733.19	470.14	543.96	361.04	514.56	642.59	511.0	698.41	483.38	312.0	111.99	559.28	366.09	518.15	583.07	420.68	616.37	470.14	438.59	189.02	88.26
SRCAP	915.51	232.94	262.2	299.25	91.41	170.25	674.59	1208.34	884.29	420.68	698.41	591.22	896.64	961.07	647.07	669.92	599.49	796.86	457.25	368.65	620.67	460.44	802.41	587.13	341.51	229.72	503.95	444.72	718.08	791.35	423.61	514.56	607.87	400.71	260.38	246.28
TAF4	202.66	82.87	60.82	94.67	29.27	59.13	105.15	244.57	170.25	120.94	169.07	119.26	189.02	185.11	176.29	150.17	138.1	127.0	112.77	120.94	161.02	128.79	148.09	127.89	99.43	72.01	115.97	106.63	158.79	194.36	92.7	143.01	108.9	95.34	121.79	100.83
TBC1D10B	848.22	295.11	249.73	366.09	167.9	316.37	291.04	624.99	656.11	555.41	660.68	521.76	703.28	728.11	595.34	660.68	423.61	432.53	624.99	559.28	603.67	525.39	674.59	497.0	403.5	358.54	688.78	392.44	490.14	563.18	507.46	435.55	441.64	457.25	470.14	312.0
TCOF1	559.28	88.26	100.83	139.07	34.51	90.77	100.83	483.38	363.56	450.94	423.61	379.04	412.0	483.38	403.5	361.04	353.59	281.09	381.68	356.05	343.89	314.17	379.04	301.33	289.02	150.17	486.75	178.77	307.69	339.14	343.89	351.14	264.03	314.17	176.29	246.28
TICAM1	470.14	141.02	145.02	166.73	48.52	111.99	177.53	301.33	356.05	307.69	283.05	232.94	371.22	346.29	336.79	536.45	180.02	318.57	353.59	279.14	264.03	232.94	373.81	226.54	189.02	135.24	307.69	251.48	239.52	320.8	214.27	307.69	287.01	246.28	198.47	237.86
TNRC18	1313.23	241.19	269.6	384.34	47.17	197.09	127.0	1806.78	1639.59	612.11	1175.27	808.0	1417.35	1295.13	1127.35	1225.22	915.51	1477.58	511.0	791.35	1369.04	1191.69	1225.22	796.86	595.34	193.01	769.69	638.15	1225.22	1529.73	651.58	928.3	1359.57	738.29	318.57	92.05
TRIM39	325.29	151.22	186.4	194.36	33.3	77.79	75.11	287.01	281.09	186.4	275.28	253.23	231.32	269.6	232.94	264.03	246.28	285.03	256.78	224.97	273.37	193.01	265.87	237.86	212.78	147.06	224.97	220.32	229.72	265.87	218.79	295.11	275.28	202.66	107.38	59.13
UBE2O	514.56	78.89	65.72	103.69	14.45	91.41	95.34	518.15	432.53	351.14	376.41	323.03	473.41	473.41	363.56	356.05	293.07	346.29	269.6	277.2	329.84	325.29	353.59	314.17	190.34	111.21	305.55	167.9	341.51	381.68	224.97	279.14	297.17	229.72	110.43	51.71
UBIAD1	295.11	165.57	221.86	204.07	132.44	115.16	96.68	348.71	316.37	325.29	281.09	260.38	366.09	348.71	246.28	248.0	283.05	260.38	277.2	255.0	246.28	241.19	279.14	309.83	202.66	197.09	246.28	244.57	271.48	253.23	226.54	295.11	318.57	197.09	132.44	181.28
UBN1	500.46	169.07	115.97	180.02	28.04	95.34	110.43	571.05	460.44	299.25	336.79	361.04	470.14	511.0	363.56	414.87	389.72	466.88	314.17	299.25	384.34	289.02	400.71	356.05	251.48	112.77	318.57	309.83	381.68	463.65	291.04	353.59	318.57	237.86	226.54	136.19
WDR81	713.11	275.28	61.68	234.57	30.56	101.54	74.06	426.57	733.19	466.88	511.0	529.06	493.56	603.67	392.44	497.0	351.14	409.15	332.14	457.25	665.29	381.68	599.49	381.68	323.03	127.0	665.29	336.79	454.09	551.56	356.05	409.15	463.65	366.09	132.44	67.12
WDTC1	1216.75	521.76	476.71	674.59	136.19	182.55	209.84	988.12	1199.98	785.88	909.17	616.37	995.0	1135.2	785.88	890.44	785.88	780.44	718.08	703.28	753.83	713.11	1199.98	836.53	559.28	384.34	981.29	575.03	890.44	934.76	642.59	684.02	718.08	656.11	432.53	325.29
WIZ	738.29	176.29	190.34	262.2	72.52	97.36	141.02	753.83	669.92	555.41	656.11	476.71	579.04	674.59	872.1	571.05	356.05	435.55	493.56	529.06	587.13	543.96	571.05	463.65	423.61	214.27	638.15	295.11	486.75	551.56	426.57	438.59	529.06	389.72	198.47	147.06
ZBED1	356.05	211.31	141.02	206.94	29.48	167.9	178.77	473.41	387.02	336.79	351.14	251.48	450.94	361.04	277.2	348.71	323.03	303.44	169.07	336.79	303.44	242.88	435.55	320.8	248.0	190.34	269.6	267.73	293.07	327.56	264.03	239.52	265.87	234.57	226.54	142.01
ZBTB22	532.74	275.28	224.97	316.37	124.37	255.0	205.5	500.46	511.0	339.14	444.72	361.04	529.06	483.38	490.14	497.0	373.81	334.46	325.29	409.15	473.41	403.5	571.05	403.5	454.09	348.71	379.04	454.09	457.25	529.06	420.68	389.72	493.56	406.31	264.03	239.52
ZC3H3	417.77	132.44	90.14	159.9	50.27	145.02	124.37	307.69	339.14	323.03	336.79	202.66	329.84	356.05	287.01	237.86	166.73	206.94	198.47	275.28	297.17	327.56	314.17	248.0	181.28	153.34	341.51	169.07	283.05	293.07	172.65	202.66	249.73	197.09	155.5	96.68
ZDHHC8	909.17	244.57	620.67	339.14	92.05	339.14	291.04	579.04	638.15	417.77	669.92	595.34	796.86	679.29	743.43	642.59	329.84	389.72	595.34	473.41	679.29	497.0	591.22	521.76	420.68	199.85	547.75	356.05	563.18	633.73	473.41	376.41	429.54	486.75	258.57	229.72
ZFP41	152.28	64.34	68.07	74.58	9.34	27.44	36.79	205.5	189.02	100.13	176.29	140.04	193.01	180.02	145.02	153.34	108.9	125.24	81.14	113.56	158.79	111.21	170.25	124.37	82.29	46.18	100.83	81.14	146.03	149.12	89.51	81.14	145.02	80.01	67.59	21.94
ZNF324B	105.15	34.02	42.71	33.78	4.98	27.84	25.72	106.63	84.04	63.0	80.57	64.8	85.22	98.04	108.14	75.11	58.3	61.25	68.07	71.5	73.03	37.05	81.14	79.45	47.84	40.93	59.55	62.56	73.54	66.18	52.45	76.71	75.64	40.64	44.57	39.79
ZNF48	182.55	81.14	76.17	102.25	61.68	98.73	84.04	187.71	145.02	145.02	149.12	100.13	198.47	178.77	128.79	157.68	125.24	87.65	139.07	140.04	131.51	85.22	167.9	143.01	116.78	81.14	144.01	105.15	106.63	111.21	98.04	135.24	108.14	82.87	112.77	89.51
ZNF500	400.71	81.71	99.43	111.21	24.11	47.17	90.14	420.68	232.94	173.85	334.46	244.57	291.04	305.55	267.73	237.86	153.34	163.28	148.09	260.38	256.78	180.02	251.48	236.21	182.55	140.04	198.47	187.71	215.77	246.28	211.31	198.47	244.57	156.59	96.01	90.77
ZNF512B	429.54	96.68	52.45	105.15	8.71	56.28	64.34	339.14	314.17	172.65	293.07	229.72	334.46	277.2	242.88	279.14	169.07	220.32	217.27	237.86	289.02	208.38	299.25	201.25	202.66	56.28	199.85	155.5	239.52	320.8	195.72	186.4	237.86	153.34	41.81	39.5
ZNF592	341.51	115.16	87.65	143.01	21.78	44.89	59.97	387.02	303.44	211.31	253.23	232.94	277.2	348.71	239.52	256.78	239.52	258.57	183.82	198.47	232.94	158.79	253.23	237.86	193.01	82.87	212.78	171.45	253.23	289.02	194.36	206.94	229.72	142.01	134.3	84.63
ZNF646	267.73	40.36	48.18	46.84	16.63	26.47	33.3	299.25	186.4	120.94	173.85	162.14	209.84	231.32	161.02	126.12	92.7	132.44	126.12	117.6	151.22	111.99	199.85	122.64	73.54	38.4	156.59	100.13	157.68	193.01	115.16	104.42	145.02	62.12	45.85	43.63
ZNF747	271.48	158.79	163.28	204.07	98.73	68.55	102.97	255.0	303.44	256.78	246.28	215.77	269.6	293.07	231.32	214.27	185.11	195.72	187.71	220.32	248.0	208.38	242.88	236.21	229.72	229.72	287.01	232.94	234.57	260.38	241.19	248.0	224.97	190.34	178.77	183.82
ZSWIM4	248.0	29.06	51.71	78.89	7.75	97.36	60.82	169.07	136.19	85.82	105.89	95.34	101.54	190.34	118.43	204.07	50.98	72.52	65.72	84.04	113.56	59.97	182.55	70.51	46.84	27.64	81.14	78.89	64.34	122.64	59.55	66.65	69.03	77.79	32.82	17.77
ZXDC	403.5	232.94	186.4	275.28	31.9	108.9	116.78	518.15	312.0	202.66	334.46	281.09	379.04	351.14	307.69	332.14	267.73	283.05	269.6	248.0	323.03	277.2	332.14	320.8	251.48	151.22	231.32	303.44	275.28	327.56	229.72	202.66	351.14	265.87	154.42	104.42
