	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.FC.7961.01A.11R.A29R.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07
DEK	457.25	1844.76	1605.83	775.05	1096.5	409.15	1208.34	480.04	603.67	638.15	1119.56	1051.79	409.15	466.88	1662.49	532.74	802.41	624.99	743.43	1183.45	591.22	1304.15	1572.76	500.46	651.58	607.87	733.19	738.29	1015.93	830.75	540.19	633.73	612.11	1183.45
ELMOD2	353.59	400.71	450.94	327.56	392.44	126.12	414.87	285.03	262.2	403.5	363.56	473.41	277.2	253.23	540.19	371.22	316.37	163.28	348.71	438.59	327.56	525.39	540.19	358.54	283.05	325.29	353.59	595.34	438.59	417.77	320.8	332.14	291.04	435.55
FAIM	470.14	536.45	748.61	514.56	470.14	221.86	1066.48	387.02	353.59	518.15	860.08	490.14	387.02	547.75	624.99	397.93	447.82	500.46	432.53	514.56	325.29	764.36	599.49	441.64	438.59	409.15	387.02	376.41	536.45	429.54	457.25	450.94	511.0	441.64
FAM160B1	78.34	329.84	265.87	134.3	228.13	75.64	244.57	111.99	132.44	118.43	202.66	236.21	104.42	102.97	251.48	153.34	175.07	228.13	142.01	185.11	119.26	269.6	242.88	114.36	120.1	93.35	176.29	172.65	202.66	187.71	132.44	118.43	126.12	161.02
FAM220A	251.48	275.28	291.04	241.19	232.94	209.84	507.46	171.45	249.73	249.73	323.03	273.37	285.03	218.79	320.8	208.38	309.83	251.48	242.88	248.0	180.02	329.84	295.11	220.32	214.27	258.57	285.03	239.52	256.78	246.28	246.28	220.32	208.38	275.28
FAM91A1	169.07	780.44	638.15	277.2	511.0	114.36	497.0	271.48	241.19	234.57	356.05	473.41	214.27	180.02	579.04	237.86	325.29	329.84	353.59	507.46	202.66	543.96	559.28	241.19	260.38	262.2	444.72	291.04	426.57	297.17	170.25	291.04	251.48	371.22
FYTTD1	343.89	1175.27	1313.23	579.04	1135.2	256.78	1594.73	486.75	733.19	583.07	728.11	1081.39	371.22	412.0	1208.34	447.82	703.28	703.28	728.11	1044.52	460.44	1135.2	1159.07	463.65	713.11	356.05	791.35	708.18	854.13	642.59	543.96	575.03	624.99	890.44
GNRHR	0.0	1.31	1.31	0.87	2.51	0.0	2.56	1.39	0.88	2.41	1.27	0.52	0.0	0.0	3.69	0.0	0.89	1.68	3.26	6.21	1.66	4.43	4.62	0.48	1.62	0.47	1.3	0.48	4.1	1.31	0.51	0.89	0.93	2.36
GTF2A1	149.12	454.09	470.14	239.52	454.09	84.63	507.46	161.02	211.31	237.86	295.11	373.81	78.34	126.12	420.68	187.71	251.48	212.78	226.54	368.65	191.67	450.94	435.55	161.02	202.66	190.34	301.33	236.21	339.14	287.01	140.04	178.77	177.53	320.8
HIATL1	341.51	723.08	688.78	567.1	587.13	142.01	603.67	353.59	387.02	429.54	532.74	563.18	336.79	277.2	612.11	470.14	647.07	540.19	473.41	629.35	358.54	563.18	728.11	466.88	395.18	400.71	507.46	567.1	612.11	540.19	470.14	348.71	339.14	728.11
HIPK1	170.25	633.73	656.11	356.05	607.87	156.59	688.78	269.6	356.05	316.37	435.55	518.15	166.73	186.4	669.92	258.57	356.05	397.93	381.68	503.95	303.44	647.07	616.37	229.72	332.14	291.04	438.59	368.65	507.46	444.72	239.52	265.87	265.87	490.14
HIPK3	161.02	665.29	775.05	432.53	638.15	107.38	595.34	314.17	329.84	283.05	579.04	647.07	130.6	182.55	693.58	249.73	379.04	454.09	409.15	540.19	253.23	769.69	764.36	201.25	273.37	309.83	473.41	325.29	483.38	417.77	246.28	237.86	251.48	514.56
HPS3	204.07	466.88	473.41	220.32	400.71	111.99	612.11	220.32	260.38	269.6	406.31	348.71	166.73	295.11	432.53	218.79	329.84	373.81	277.2	371.22	246.28	384.34	470.14	318.57	211.31	217.27	211.31	373.81	343.89	260.38	220.32	289.02	269.6	275.28
JAK2	37.05	132.44	127.89	64.34	91.41	16.15	178.77	48.18	43.63	64.8	91.41	72.01	26.67	31.0	142.01	26.67	84.63	78.89	88.26	90.77	41.22	119.26	136.19	45.85	55.89	27.84	59.55	59.13	88.88	69.03	45.21	47.17	49.21	111.99
KLHL15	40.07	70.01	115.97	53.19	95.34	14.35	144.01	94.67	56.28	52.45	107.38	143.01	24.81	33.06	74.06	35.76	85.82	78.89	105.89	91.41	39.5	83.45	138.1	39.79	46.84	38.4	90.77	54.33	84.04	98.73	51.35	49.56	37.05	65.72
KLK3	1345768.59	573724.06	350728.68	1212874.47	585779.24	373305.21	223512.12	1255646.43	1187913.85	1139523.1	746611.43	1327240.99	887875.81	1147449.11	394590.4	1412675.8	1238359.56	1327240.99	1196176.45	542775.98	869603.57	381149.17	767601.56	1212874.47	1238359.56	985160.01	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	938500.81	800198.39	894051.48
KPNA4	171.45	511.0	567.1	358.54	414.87	116.78	543.96	231.32	297.17	239.52	507.46	438.59	177.53	189.02	473.41	244.57	341.51	277.2	303.44	373.81	239.52	497.0	507.46	211.31	246.28	287.01	426.57	271.48	381.68	318.57	285.03	223.41	197.09	426.57
LCA5	6.36	88.26	79.45	30.56	63.0	4.58	52.45	12.93	26.1	19.39	48.52	53.19	6.67	13.22	63.45	11.13	28.86	26.86	39.22	37.05	26.86	75.64	59.13	10.88	30.56	14.35	27.64	16.03	42.11	45.21	16.27	24.11	25.54	52.08
LEPR	14.89	215.77	309.83	76.17	181.28	4.24	287.01	66.18	51.35	60.82	137.14	180.02	5.59	37.05	226.54	21.47	59.13	107.38	98.04	89.51	48.18	226.54	202.66	18.56	47.84	26.47	90.77	44.25	96.01	80.57	36.01	34.02	37.59	71.0
MBNL1	336.79	1167.14	1572.76	713.11	1015.93	231.32	1417.35	395.18	470.14	447.82	1167.14	1030.12	212.78	325.29	1059.11	343.89	470.14	521.76	769.69	743.43	389.72	1167.14	1286.18	409.15	514.56	373.81	551.56	400.71	813.63	438.59	575.03	403.5	409.15	753.83
MIER1	157.68	480.04	486.75	251.48	441.64	76.17	376.41	220.32	236.21	242.88	301.33	423.61	96.01	151.22	503.95	197.09	241.19	291.04	281.09	381.68	190.34	483.38	463.65	180.02	198.47	204.07	279.14	244.57	395.18	303.44	189.02	198.47	195.72	363.56
MUM1L1	3.23	316.37	139.07	40.36	123.5	6.73	332.14	66.65	34.02	18.03	90.77	73.54	0.0	23.08	55.1	20.11	13.03	9.06	47.5	104.42	7.69	186.4	26.86	14.24	14.78	70.51	47.84	5.28	109.66	5.23	31.45	62.12	39.22	15.22
NEDD1	53.95	353.59	305.55	147.06	258.57	45.53	258.57	156.59	116.78	126.12	193.01	201.25	63.89	72.01	327.56	101.54	159.9	186.4	162.14	223.41	101.54	264.03	273.37	85.22	141.02	96.01	145.02	137.14	221.86	153.34	87.65	111.99	101.54	264.03
NEK7	117.6	723.08	688.78	303.44	490.14	83.45	723.08	279.14	301.33	312.0	591.22	679.29	93.35	166.73	633.73	246.28	275.28	332.14	381.68	429.54	220.32	669.92	674.59	176.29	262.2	221.86	371.22	289.02	473.41	316.37	220.32	236.21	217.27	476.71
NFE2L2	454.09	1674.06	1697.45	1437.15	1427.22	265.87	1870.53	785.88	928.3	791.35	1477.58	1437.15	429.54	819.3	1508.65	974.5	1037.29	1417.35	1350.18	1191.69	723.08	1745.2	1572.76	785.88	1119.56	988.12	1191.69	988.12	1175.27	1151.06	896.64	915.51	813.63	1417.35
OSBPL11	49.21	154.42	201.25	84.63	88.26	26.1	176.29	57.08	81.71	64.8	148.09	149.12	32.59	57.49	164.42	40.64	92.7	80.57	69.52	108.14	64.34	131.51	153.34	68.55	76.17	67.12	97.36	88.26	104.42	81.14	73.03	72.52	54.33	114.36
PAFAH1B1	476.71	1030.12	1508.65	599.49	921.88	493.56	954.43	616.37	638.15	651.58	954.43	909.17	567.1	575.03	1250.98	470.14	813.63	733.19	728.11	902.89	595.34	1286.18	1191.69	607.87	647.07	571.05	599.49	728.11	934.76	819.3	607.87	612.11	511.0	854.13
PARPBP	13.32	90.77	34.02	20.56	24.11	14.78	115.16	25.91	21.94	11.55	26.67	32.82	48.52	20.86	59.13	12.18	55.1	30.78	26.47	33.06	14.56	47.17	35.25	17.0	18.97	8.78	26.86	24.99	34.26	29.27	10.24	20.71	23.76	23.25
PI4K2B	269.6	540.19	575.03	371.22	521.76	135.24	785.88	185.11	409.15	511.0	532.74	808.0	182.55	432.53	759.08	256.78	249.73	155.5	591.22	595.34	363.56	830.75	624.99	305.55	511.0	503.95	540.19	387.02	493.56	376.41	555.41	371.22	287.01	514.56
PIK3CB	591.22	656.11	988.12	493.56	708.18	253.23	819.3	551.56	521.76	688.78	1023.0	884.29	633.73	305.55	802.41	529.06	684.02	660.68	447.82	698.41	507.46	718.08	780.44	679.29	447.82	426.57	647.07	555.41	669.92	733.19	543.96	389.72	373.81	884.29
PLEKHA1	93.35	426.57	460.44	228.13	255.0	69.52	389.72	187.71	206.94	214.27	348.71	346.29	55.1	127.89	387.02	127.0	249.73	218.79	287.01	323.03	173.85	379.04	412.0	141.02	186.4	194.36	229.72	239.52	346.29	249.73	164.42	166.73	180.02	273.37
PPM1D	66.65	197.09	212.78	117.6	157.68	48.52	237.86	108.14	132.44	105.89	172.65	156.59	44.89	80.57	183.82	70.51	139.07	132.44	133.36	147.06	94.01	189.02	149.12	73.03	105.15	92.05	130.6	113.56	135.24	157.68	117.6	123.5	93.35	121.79
PPP1R12A	154.42	1295.13	1104.13	480.04	872.1	105.89	819.3	281.09	384.34	414.87	848.22	988.12	134.3	248.0	1135.2	264.03	412.0	567.1	616.37	679.29	323.03	872.1	1322.37	144.01	642.59	236.21	525.39	301.33	647.07	309.83	420.68	314.17	348.71	660.68
PPP2R3A	34.75	93.35	193.01	64.34	112.77	21.32	126.12	55.49	51.71	51.71	149.12	89.51	23.42	37.59	122.64	57.08	65.72	36.79	50.27	83.45	84.63	111.99	109.66	42.71	59.13	44.57	81.71	34.02	70.51	88.88	38.67	46.84	35.76	94.01
PRKAB2	102.25	242.88	209.84	97.36	187.71	61.68	237.86	112.77	109.66	175.07	318.57	186.4	79.45	106.63	226.54	102.97	149.12	122.64	133.36	173.85	158.79	228.13	229.72	80.01	187.71	80.57	187.71	108.9	271.48	101.54	131.51	110.43	115.16	220.32
PRKAR1A	1111.82	3639.7	3847.29	1923.14	3103.19	934.76	2502.97	1191.69	1745.2	1508.65	2335.28	2664.15	775.05	988.12	3443.31	1322.37	1963.57	1909.85	1819.35	2701.35	1242.34	3212.66	3443.31	1233.75	1697.45	1551.09	1936.53	1794.29	2133.97	2224.63	1250.98	1529.73	1467.37	2451.44
PSMD12	438.59	718.08	848.22	511.0	718.08	287.01	802.41	395.18	450.94	423.61	684.02	684.02	447.82	406.31	813.63	503.95	480.04	559.28	497.0	693.58	351.14	848.22	733.19	466.88	497.0	470.14	543.96	503.95	603.67	555.41	438.59	507.46	420.68	563.18
RAB11FIP2	52.82	249.73	256.78	108.14	215.77	46.84	172.65	85.82	90.14	106.63	161.02	212.78	45.21	68.07	224.97	56.68	117.6	108.9	142.01	208.38	87.65	221.86	285.03	66.65	101.54	81.71	132.44	88.26	185.11	110.43	81.14	100.13	92.05	150.17
RAP2C	86.43	248.0	277.2	170.25	255.0	59.97	248.0	170.25	101.54	138.1	221.86	246.28	49.56	100.83	293.07	70.51	169.07	190.34	186.4	181.28	145.02	217.27	262.2	129.69	132.44	102.25	143.01	175.07	193.01	157.68	119.26	124.37	128.79	214.27
RNF217	11.82	123.5	139.07	59.55	119.26	15.8	115.16	42.41	47.5	43.94	77.25	66.65	34.02	25.91	135.24	20.11	45.21	68.07	69.52	66.65	55.49	111.99	82.29	23.59	58.71	39.22	52.82	40.64	130.6	64.8	32.36	40.36	63.89	74.06
ROCK1	92.05	551.56	718.08	190.34	409.15	87.65	351.14	177.53	180.02	244.57	314.17	289.02	59.13	96.01	514.56	99.43	295.11	285.03	253.23	339.14	223.41	480.04	470.14	115.16	248.0	189.02	283.05	251.48	341.51	264.03	155.5	186.4	157.68	332.14
ROCK2	83.45	417.77	320.8	142.01	295.11	49.91	295.11	105.89	127.89	220.32	291.04	267.73	65.26	82.87	361.04	107.38	159.9	177.53	198.47	201.25	151.22	339.14	346.29	104.42	128.79	95.34	175.07	133.36	244.57	157.68	170.25	102.97	110.43	237.86
RP2	56.28	204.07	211.31	165.57	208.38	31.9	161.02	89.51	116.78	85.22	143.01	190.34	37.59	56.68	231.32	59.13	100.13	104.42	113.56	171.45	69.52	229.72	186.4	73.03	92.05	104.42	138.1	96.01	163.28	128.79	95.34	98.04	97.36	176.29
RYK	444.72	1088.92	1175.27	620.67	769.69	457.25	1340.84	476.71	647.07	540.19	1295.13	759.08	493.56	483.38	974.5	679.29	947.83	759.08	708.18	878.17	656.11	941.27	954.43	591.22	698.41	555.41	733.19	633.73	878.17	796.86	460.44	674.59	698.41	842.36
SCYL2	153.34	802.41	743.43	299.25	595.34	108.14	603.67	466.88	299.25	327.56	490.14	547.75	131.51	220.32	748.61	277.2	358.54	414.87	356.05	571.05	237.86	743.43	620.67	186.4	366.09	242.88	473.41	299.25	567.1	400.71	229.72	283.05	239.52	518.15
SEC62	1081.39	3395.89	4543.8	2739.08	2816.11	981.29	2555.58	974.5	2047.0	2075.59	4066.71	2976.74	921.88	830.75	2895.31	1008.9	1819.35	1467.37	1697.45	2875.3	1639.59	4038.61	4607.24	1369.04	1721.16	2645.74	2287.2	1199.98	2502.97	2400.97	1709.26	1540.37	1378.57	2895.31
SKIL	63.0	441.64	503.95	162.14	466.88	57.49	432.53	182.55	119.26	130.6	251.48	271.48	43.63	74.06	409.15	69.03	159.9	211.31	251.48	312.0	59.55	426.57	379.04	118.43	137.14	120.94	170.25	170.25	231.32	146.03	77.25	147.06	122.64	224.97
SLC30A1	214.27	221.86	297.17	138.1	256.78	31.9	366.09	164.42	161.02	181.28	287.01	255.0	49.56	80.01	242.88	100.83	126.12	258.57	221.86	176.29	125.24	231.32	221.86	94.67	99.43	148.09	208.38	84.63	204.07	194.36	224.97	106.63	77.79	212.78
SLC35B3	348.71	629.35	521.76	392.44	417.77	204.07	775.05	329.84	363.56	529.06	591.22	547.75	221.86	343.89	591.22	353.59	480.04	387.02	438.59	417.77	409.15	435.55	511.0	325.29	409.15	379.04	403.5	563.18	555.41	447.82	435.55	325.29	281.09	466.88
SMIM13	64.8	153.34	171.45	89.51	106.63	42.11	143.01	87.65	84.63	98.04	149.12	151.22	52.82	66.18	142.01	59.55	92.7	86.43	105.89	134.3	63.45	150.17	148.09	65.72	80.01	61.25	113.56	87.03	147.06	73.03	85.82	87.65	79.45	73.03
STK38	265.87	543.96	457.25	297.17	361.04	164.42	507.46	309.83	285.03	420.68	567.1	450.94	166.73	318.57	470.14	246.28	356.05	201.25	463.65	353.59	381.68	438.59	318.57	229.72	297.17	339.14	318.57	215.77	403.5	395.18	450.94	293.07	273.37	279.14
TGFB2	7.94	466.88	273.37	126.12	224.97	17.77	343.89	40.64	191.67	96.68	303.44	490.14	1.57	80.01	186.4	65.72	224.97	173.85	165.57	241.19	132.44	253.23	281.09	88.26	102.25	54.33	323.03	43.02	218.79	61.25	248.0	88.26	69.03	119.26
TGFBR1	101.54	368.65	417.77	205.5	334.46	53.19	285.03	155.5	218.79	277.2	283.05	432.53	58.71	117.6	387.02	98.04	202.66	277.2	271.48	214.27	220.32	371.22	514.56	129.69	111.99	90.14	303.44	241.19	307.69	314.17	165.57	97.36	94.67	307.69
TMCC1	258.57	738.29	813.63	384.34	620.67	129.69	884.29	555.41	406.31	480.04	872.1	503.95	187.71	229.72	642.59	376.41	435.55	329.84	698.41	591.22	435.55	571.05	595.34	423.61	503.95	358.54	532.74	583.07	563.18	616.37	387.02	371.22	348.71	497.0
TMX1	239.52	708.18	728.11	406.31	483.38	150.17	684.02	314.17	525.39	432.53	679.29	684.02	121.79	275.28	698.41	346.29	283.05	241.19	409.15	543.96	258.57	674.59	665.29	258.57	297.17	353.59	409.15	275.28	674.59	314.17	271.48	395.18	281.09	483.38
UBE2H	660.68	1628.26	1457.23	1104.13	1359.57	571.05	1551.09	1073.91	928.3	947.83	1350.18	1304.15	974.5	872.1	1477.58	775.05	1088.92	1015.93	1208.34	1233.75	813.63	1963.57	1111.82	775.05	1175.27	884.29	1199.98	1030.12	1151.06	995.0	1233.75	796.86	890.44	941.27
USP12	84.04	320.8	366.09	151.22	258.57	76.71	267.73	135.24	159.9	183.82	283.05	262.2	119.26	104.42	341.51	159.9	223.41	161.02	193.01	249.73	124.37	323.03	343.89	120.94	159.9	152.28	232.94	159.9	248.0	183.82	163.28	143.01	144.01	208.38
VAMP7	166.73	325.29	403.5	264.03	341.51	108.9	351.14	312.0	301.33	228.13	279.14	351.14	145.02	214.27	417.77	368.65	260.38	348.71	275.28	343.89	275.28	366.09	379.04	218.79	223.41	253.23	287.01	271.48	327.56	271.48	291.04	199.85	197.09	379.04
WDHD1	14.78	56.68	46.18	14.14	50.27	27.84	73.54	11.21	16.39	19.97	21.01	23.93	44.57	20.71	71.5	11.82	45.21	29.7	24.63	49.56	15.22	36.27	26.47	18.43	24.46	21.01	30.78	29.06	32.59	26.28	16.27	25.54	20.86	43.94
YES1	201.25	665.29	785.88	432.53	733.19	194.36	620.67	314.17	373.81	301.33	511.0	476.71	79.45	228.13	647.07	262.2	368.65	320.8	320.8	629.35	279.14	813.63	595.34	273.37	348.71	470.14	379.04	387.02	547.75	412.0	260.38	329.84	334.46	521.76
ZBTB38	128.79	674.59	890.44	361.04	1088.92	36.53	457.25	165.57	265.87	387.02	607.87	547.75	89.51	130.6	764.36	155.5	285.03	224.97	373.81	540.19	307.69	842.36	703.28	191.67	314.17	162.14	463.65	221.86	595.34	325.29	204.07	183.82	267.73	785.88
ZNF654	34.51	221.86	209.84	96.01	154.42	34.02	234.57	71.5	110.43	100.83	135.24	170.25	26.47	73.03	218.79	71.0	84.04	79.45	113.56	154.42	79.45	218.79	201.25	62.12	80.01	59.97	112.77	115.97	185.11	123.5	76.71	92.7	90.14	150.17
