	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07
BDH2	395.18	753.83	808.0	674.59	438.59	48.87	397.93	954.43	301.33	275.28	312.0	183.82	480.04	438.59	361.04	366.09	1304.15	915.51	1350.18	1225.22	651.58	1233.75	1233.75
BST2	71219.26	1268.46	842.36	1794.29	651.58	182.55	1417.35	3168.41	884.29	518.15	1015.93	476.71	1023.0	1427.22	329.84	1008.9	4298.64	2935.74	3235.01	4607.24	2935.74	2855.44	3982.99
C10orf54	1313.23	616.37	303.44	669.92	348.71	138.1	503.95	1233.75	476.71	334.46	343.89	152.28	450.94	563.18	137.14	211.31	1709.26	1896.65	1651.0	1709.26	1044.52	2032.85	1322.37
C10orf55	30.34	72.01	0.65	2.25	0.68	0.31	1.36	5.68	3.14	2.34	1.03	1.68	4.9	3.03	0.0	3.5	12.09	6.84	12.83	6.36	4.35	10.0	2.12
C16orf98	38.67	37.59	5.82	6.73	0.72	2.2	1.39	21.78	2.84	6.67	8.85	0.71	5.96	11.73	0.64	6.31	23.76	10.47	20.41	25.91	10.96	27.84	11.38
C2orf42	92.7	237.86	167.9	226.54	205.5	114.36	176.29	234.57	189.02	146.03	124.37	176.29	201.25	224.97	129.69	156.59	237.86	199.85	267.73	265.87	223.41	297.17	251.48
C8orf31	0.0	20.11	4.31	31.22	6.46	1.35	18.43	25.91	9.34	4.86	3.0	8.58	10.88	20.41	2.71	9.7	56.28	74.58	80.57	66.18	56.68	47.84	41.52
C9orf24	153.34	7.11	9.63	92.7	34.51	4.06	11.47	35.76	25.54	47.17	40.64	10.71	69.52	77.79	1.48	25.35	54.72	77.79	109.66	177.53	92.05	70.01	88.26
CABS1	0.0	0.73	0.0	0.69	0.0	0.0	0.0	8.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	2.32	0.17	0.17	3.89	0.84	3.76
CARD16	1044.52	1066.48	164.42	283.05	99.43	35.76	95.34	718.08	260.38	117.6	110.43	48.18	258.57	172.65	48.52	131.51	555.41	271.48	332.14	591.22	231.32	532.74	291.04
CCDC148	10.63	52.08	22.59	15.8	5.19	21.94	9.41	10.16	17.38	14.67	8.13	8.32	10.08	20.71	4.86	8.99	20.11	21.16	46.5	25.72	34.75	32.36	23.76
CCNJL	10.79	145.02	3.32	43.02	5.77	0.43	18.97	27.64	15.91	6.94	16.15	10.71	13.42	33.78	2.53	8.85	61.25	46.5	32.59	43.94	37.59	67.59	38.67
CD1C	49.21	214.27	9.13	40.64	11.55	1.06	11.55	223.41	24.46	13.72	8.32	15.22	26.86	8.78	5.63	26.47	50.98	46.5	98.73	102.25	76.17	312.0	77.25
CD207	17.51	854.13	5.32	102.25	17.51	0.38	12.45	153.34	49.21	15.34	17.0	14.24	82.87	25.91	8.06	97.36	53.95	37.05	48.18	78.89	119.26	256.78	92.05
CD59	15285.81	9215.48	4419.52	7695.57	5441.3	2537.92	4802.93	6426.31	4836.35	3303.0	4575.41	4450.27	6121.9	5594.3	4066.71	3874.05	8840.04	8658.09	8421.31	10585.95	7695.57	10225.32	8078.22
CEACAM21	88.26	119.26	5.06	5.5	3.38	1.55	15.22	45.21	16.88	2.66	7.34	3.66	11.64	11.82	2.12	6.52	46.18	32.82	34.75	34.02	30.78	92.05	16.27
CEACAM4	0.78	12.36	3.06	3.53	0.0	0.97	1.91	32.36	1.51	0.0	4.98	1.89	2.86	6.73	1.71	3.29	25.91	25.17	12.0	17.0	3.86	29.91	10.31
CHRAC1	438.59	514.56	281.09	466.88	397.93	366.09	334.46	559.28	373.81	361.04	412.0	366.09	466.88	389.72	371.22	332.14	511.0	563.18	575.03	599.49	555.41	551.56	429.54
CHRNB2	6.36	1.87	0.93	1.79	0.35	0.31	0.35	0.69	0.68	0.0	0.34	0.0	1.35	0.66	0.3	0.35	1.71	2.76	2.89	3.56	2.1	2.07	2.05
CLCA2	3.801327429E7	3.15251512E7	2.86	57.08	0.59	0.0	0.33	49.21	16.03	10.31	0.32	0.05	3.14	8.51	16.03	2.86	318.57	39.22	146.03	122.64	147.06	133.36	19.53
CLEC4E	5.19	29.27	80.57	39.22	4.66	3.86	13.42	69.03	22.92	22.26	14.45	8.13	11.13	45.53	4.74	4.74	34.51	255.0	24.63	53.95	57.89	55.49	67.12
CLUAP1	152.28	198.47	363.56	490.14	368.65	329.84	426.57	346.29	460.44	329.84	320.8	483.38	409.15	376.41	346.29	271.48	638.15	656.11	802.41	698.41	633.73	571.05	583.07
CPA2	50.98	9.63	0.0	3.17	1.48	0.0	0.0	5.5	1.51	0.0	0.84	0.83	3.76	1.46	0.0	1.51	0.64	2.56	3.44	0.67	2.58	2.53	6.26
CPT1C	45.21	115.16	37.05	71.5	25.54	7.51	55.49	112.77	52.82	28.24	41.22	25.91	51.71	66.65	13.83	40.07	114.36	176.29	260.38	166.73	98.73	150.17	102.97
CTSB	23169.48	28525.2	3847.29	9088.59	3639.7	2502.97	5441.3	13033.07	5751.61	4038.61	4481.23	4152.18	6337.83	7911.95	2061.24	4123.49	14163.58	13123.73	13776.25	21026.65	12160.22	19892.37	12943.04
CUL1	441.64	753.83	507.46	647.07	532.74	497.0	665.29	713.11	679.29	514.56	591.22	595.34	718.08	620.67	587.13	543.96	947.83	947.83	1216.75	947.83	860.08	1030.12	848.22
CYBA	3467.27	5995.9	872.1	1594.73	470.14	291.04	703.28	5292.48	1001.93	759.08	563.18	361.04	1081.39	934.76	249.73	764.36	2935.74	2303.12	2468.49	3146.52	1498.22	3235.01	2004.85
CYP2A6	3.79	12.27	9.34	5.45	0.44	0.0	2.89	10.24	8.99	2.84	1.5	4.58	8.32	4.24	0.0	2.25	17.25	28.65	10.24	10.55	24.99	26.47	14.67
DAPL1	397335.0	581732.96	10.08	246.28	29.7	3.08	24.46	115.97	49.21	32.36	30.56	28.04	40.64	28.24	1.23	12.09	93.35	376.41	170.25	432.53	420.68	190.34	454.09
DDIT4	29943.43	14163.58	974.5	4802.93	928.3	1963.57	915.51	2835.7	1551.09	1081.39	2148.82	669.92	1529.73	4358.66	1322.37	830.75	2520.38	4010.71	1242.34	2701.35	4239.45	7485.11	1697.45
DDX50	438.59	728.11	490.14	480.04	432.53	414.87	563.18	708.18	559.28	493.56	490.14	525.39	587.13	483.38	406.31	470.14	759.08	738.29	884.29	825.0	713.11	854.13	660.68
DEC1	27.05	5.59	1.2	8.13	0.26	0.22	1.27	5.41	4.21	0.58	0.59	0.25	1.66	4.06	0.0	2.01	5.5	4.86	2.78	8.19	7.17	4.06	4.74
DHX8	759.08	808.0	493.56	624.99	460.44	409.15	480.04	559.28	521.76	486.75	312.0	500.46	529.06	507.46	379.04	480.04	620.67	629.35	603.67	514.56	616.37	688.78	633.73
DMC1	98.73	0.87	3.08	19.82	12.93	0.88	20.41	50.27	10.63	0.0	3.23	4.46	27.25	5.77	1.14	10.96	43.94	31.67	48.18	80.01	21.63	48.52	31.0
DOK4	825.0	1088.92	69.03	353.59	108.14	72.01	158.79	432.53	211.31	147.06	147.06	100.13	307.69	265.87	68.55	113.56	532.74	480.04	486.75	507.46	438.59	525.39	387.02
DSC3	1.09164457E7	1.018540392E7	13.72	146.03	45.85	0.0	31.67	137.14	72.01	38.95	38.4	18.43	66.65	74.06	10.39	57.49	441.64	208.38	217.27	318.57	450.94	167.9	212.78
DSG3	4.7062411207E8	1.846220966E8	3.23	13.62	1.1	0.0	0.21	21.16	6.41	0.51	1.1	0.0	1.43	2.81	0.18	1.43	86.43	6.57	32.82	55.89	34.51	21.63	1.83
ETNK2	314.17	15180.22	46.84	309.83	73.03	9.34	142.01	279.14	150.17	53.57	127.0	73.54	228.13	255.0	60.82	63.0	363.56	387.02	348.71	426.57	279.14	351.14	309.83
ETV5	251.48	54.33	28.04	157.68	59.97	14.35	78.34	138.1	68.55	40.93	65.26	18.56	111.99	81.14	22.59	54.33	253.23	334.46	346.29	341.51	316.37	412.0	384.34
EXOC4	1259.69	1167.14	656.11	743.43	543.96	480.04	540.19	713.11	591.22	575.03	647.07	587.13	713.11	688.78	575.03	532.74	836.53	753.83	780.44	825.0	733.19	848.22	825.0
FAM215A	3.35	0.0	0.0	1.68	1.53	0.0	0.0	7.75	0.55	0.0	0.0	0.0	0.89	0.0	0.0	0.0	2.86	3.63	1.97	4.17	0.0	2.89	1.83
FCER1A	211.31	1051.79	7.57	139.07	21.32	0.83	49.91	151.22	112.77	13.62	12.09	25.72	63.89	37.59	16.39	72.52	108.9	111.99	166.73	277.2	176.29	547.75	301.33
FCN1	70.51	6.46	28.65	16.63	9.06	19.68	29.7	264.03	27.05	36.27	16.75	9.2	14.67	13.22	13.42	10.24	389.72	285.03	165.57	438.59	114.36	249.73	162.14
FLT3LG	77.79	346.29	134.3	323.03	139.07	28.45	260.38	708.18	165.57	223.41	202.66	87.65	269.6	218.79	181.28	143.01	547.75	392.44	587.13	607.87	343.89	698.41	466.88
FOXI2	0.0	2.03	0.27	3.06	0.29	0.0	0.29	2.92	0.66	2.01	0.29	0.64	0.3	1.33	0.0	0.3	18.43	2.36	2.86	10.79	6.89	5.68	3.38
FPR1	13.83	8.78	25.91	5.06	13.93	10.79	52.45	124.37	25.54	16.27	24.99	10.08	26.67	20.71	10.55	33.06	267.73	356.05	55.1	343.89	109.66	89.51	133.36
FSBP	53.95	197.09	6.67	12.93	6.41	9.27	16.03	8.65	16.75	7.82	16.88	12.64	21.01	34.75	13.03	15.11	52.08	42.11	64.34	36.53	43.32	44.57	27.05
FZD10	8658.09	4575.41	6.73	28.45	21.16	8.0	52.08	78.34	52.45	12.36	21.78	22.92	103.69	38.67	9.34	38.4	113.56	69.52	111.21	123.5	49.91	88.88	50.63
FZD2	24.63	40.93	8.58	77.79	19.97	7.34	29.27	91.41	46.5	13.03	20.86	38.12	44.89	36.27	15.8	24.28	90.14	86.43	91.41	79.45	37.05	125.24	94.01
GABRA3	150.17	9.85	0.0	1.93	0.19	0.0	0.0	0.53	0.2	0.48	0.0	0.18	0.84	0.49	0.0	0.2	6.31	9.48	4.98	12.0	7.17	3.69	3.99
HDHD1	450.94	525.39	172.65	318.57	186.4	111.99	224.97	215.77	127.89	204.07	193.01	150.17	248.0	258.57	161.02	141.02	279.14	217.27	189.02	260.38	229.72	271.48	267.73
HEMGN	0.57	0.55	0.0	0.0	0.43	0.0	0.0	9.78	0.0	0.0	0.85	0.0	0.44	0.0	0.0	0.0	1.31	0.88	0.45	1.39	0.0	1.79	0.87
HIGD1A	8658.09	5292.48	1685.71	2271.4	1883.54	974.5	1769.57	2178.83	1936.53	1685.71	1697.45	1457.23	2271.4	1977.24	1216.75	1662.49	3257.52	3589.58	4769.75	4972.34	3467.27	3257.52	3372.43
HPCAL4	0.0	0.34	0.57	3.03	0.96	0.0	3.5	3.26	0.0	0.93	0.0	0.26	1.35	0.0	0.22	0.62	2.63	17.25	13.03	14.24	10.08	24.28	12.55
ICAM4	31.0	2.41	3.69	5.36	3.92	0.13	2.94	37.05	1.43	1.66	4.86	2.92	2.73	2.29	1.2	6.67	14.14	12.0	23.42	34.26	16.27	29.7	10.39
IKBKE	392.44	406.31	48.52	81.14	21.94	9.34	40.64	211.31	59.13	48.52	29.7	24.11	81.14	60.39	28.45	37.05	164.42	66.65	82.87	107.38	85.22	169.07	72.01
IL34	583.07	540.19	61.68	75.64	63.45	21.32	36.53	312.0	88.88	63.45	48.18	43.94	88.26	70.51	13.62	70.51	206.94	176.29	155.5	186.4	114.36	412.0	204.07
ITGB6	866.07	1857.6	18.97	75.64	14.24	0.26	34.51	136.19	62.12	22.59	22.59	10.0	40.36	63.0	10.79	31.9	529.06	224.97	185.11	271.48	182.55	514.56	141.02
KCNJ15	3081.75	1977.24	9.78	61.68	7.4	1.79	10.88	94.67	12.0	19.25	1.17	0.0	12.0	10.47	1.27	3.99	194.36	114.36	75.64	164.42	198.47	105.89	38.12
KIAA1549L	69.52	50.63	0.0	0.72	0.0	0.3	0.33	1.01	0.67	0.33	0.33	0.33	1.0	0.33	0.29	0.34	1.04	3.08	3.59	6.36	4.13	4.1	4.03
KLRC1	100.13	267.73	9.13	16.75	6.11	0.41	1.87	26.1	9.93	1.48	7.51	4.66	21.94	10.24	4.17	1.91	36.01	14.35	19.39	30.56	22.43	16.88	7.51
KRT6A	2.01760973986E9	2.41604469791E9	19.11	43.02	3.56	0.54	14.45	50.63	32.36	13.12	4.31	3.89	23.93	15.34	1.53	8.51	120.94	37.05	54.72	332.14	30.12	37.59	20.26
KSR1	339.14	346.29	14.89	161.02	32.36	15.45	64.8	255.0	108.14	94.01	75.64	39.79	150.17	123.5	35.76	51.71	575.03	454.09	470.14	339.14	334.46	460.44	301.33
LAPTM4B	1950.0	802.41	141.02	463.65	176.29	87.65	346.29	620.67	256.78	187.71	191.67	120.94	435.55	305.55	309.83	199.85	1135.2	988.12	1242.34	1135.2	813.63	1199.98	981.29
LGR6	2303.12	813.63	12.27	157.68	18.29	1.57	62.56	36.53	15.56	10.88	15.45	8.06	57.89	38.67	1.81	2.43	162.14	293.07	327.56	258.57	237.86	153.34	269.6
LOXL1	514.56	651.58	303.44	890.44	447.82	205.5	656.11	1286.18	647.07	348.71	466.88	470.14	603.67	476.71	403.5	332.14	1268.46	1407.55	1977.24	1487.87	1183.45	1572.76	1417.35
LPAR5	3794.3	1551.09	7.94	18.7	9.63	3.17	13.83	94.01	10.55	11.04	12.55	4.1	13.62	12.09	5.11	4.28	88.26	42.71	57.89	56.68	42.41	102.97	49.56
LPCAT4	6079.61	1388.16	201.25	253.23	152.28	102.97	204.07	525.39	244.57	325.29	198.47	159.9	287.01	299.25	191.67	190.34	961.07	447.82	417.77	591.22	395.18	563.18	339.14
LRRTM2	1.11	2.39	1.51	0.0	0.46	0.42	1.58	0.87	1.23	0.45	2.34	1.19	1.64	0.0	0.41	1.62	2.84	5.32	1.33	3.0	4.13	15.91	3.63
MECOM	403.5	182.55	15.8	104.42	27.25	13.62	51.71	164.42	88.88	58.71	45.85	14.78	53.19	80.57	27.05	34.02	656.11	253.23	239.52	358.54	301.33	395.18	162.14
MED30	343.89	381.68	148.09	262.2	197.09	323.03	237.86	432.53	194.36	220.32	212.78	194.36	242.88	197.09	146.03	281.09	371.22	381.68	351.14	403.5	323.03	361.04	248.0
MED6	532.74	915.51	297.17	395.18	348.71	291.04	403.5	525.39	389.72	361.04	329.84	353.59	432.53	412.0	303.44	343.89	551.56	379.04	507.46	514.56	397.93	536.45	438.59
MFAP2	128.79	1208.34	123.5	273.37	169.07	10.0	285.03	567.1	221.86	97.36	182.55	82.87	316.37	201.25	111.21	121.79	629.35	718.08	759.08	802.41	457.25	791.35	791.35
MPPE1	1191.69	860.08	647.07	723.08	507.46	249.73	733.19	785.88	753.83	473.41	490.14	660.68	947.83	878.17	457.25	713.11	928.3	884.29	1167.14	921.88	866.07	988.12	884.29
MYLK4	17.64	16.27	2.18	4.66	4.66	1.73	7.46	10.71	6.36	5.68	11.04	12.93	8.92	7.75	5.5	7.22	10.16	8.99	13.52	10.71	6.94	17.9	10.88
NDRG4	4639.29	4575.41	67.59	92.7	30.78	34.02	42.11	91.41	43.63	42.41	64.8	34.51	47.5	69.52	28.04	49.21	186.4	123.5	79.45	76.17	127.89	56.28	49.91
NFKBIA	6250.56	10368.08	1794.29	2758.13	1950.0	1447.15	1651.0	4152.18	1794.29	2701.35	2119.22	1519.15	2004.85	2956.17	1721.16	3039.3	3515.68	3639.7	2573.36	3146.52	3614.55	4972.34	2609.3
NLRP6	0.67	6.52	1.48	0.87	0.4	0.38	0.79	6.41	0.41	0.39	3.17	0.4	1.62	0.4	1.39	2.43	4.62	7.4	3.08	3.53	2.53	5.54	4.17
NR0B2	3.41	0.0	0.0	0.0	0.0	0.8	0.0	2.71	0.25	2.18	0.0	0.0	0.0	3.56	0.0	0.0	5.82	1.6	0.96	5.02	0.58	1.6	0.56
NRBP1	3235.01	2209.26	1467.37	1709.26	1359.57	1369.04	1417.35	1896.65	1487.87	1259.69	1183.45	1322.37	1551.09	1508.65	1175.27	1233.75	1745.2	1819.35	2133.97	1977.24	1991.0	2163.77	1950.0
NRG2	371.22	483.38	5.73	113.56	15.8	2.92	29.06	85.22	16.15	16.51	35.0	6.94	70.01	74.06	5.96	28.86	149.12	115.16	135.24	176.29	110.43	152.28	124.37
PAQR5	507.46	127.0	4.66	7.17	1.97	5.32	6.21	10.55	5.02	6.06	3.26	1.95	5.73	4.86	2.03	2.68	24.46	27.25	22.1	12.36	24.81	18.56	10.88
PCSK1	8.25	12.55	1.71	1.99	1.1	0.34	0.73	5.36	3.38	0.72	1.45	2.51	1.13	2.89	0.34	1.11	14.45	6.21	2.78	6.06	6.26	11.3	3.0
PERP	492579.5	469249.9	896.64	2271.4	1378.57	616.37	961.07	1572.76	1259.69	1191.69	1119.56	718.08	1551.09	1639.59	1225.22	620.67	2319.15	1437.15	1427.22	2351.53	1909.85	1651.0	1639.59
PEX2	981.29	1340.84	1001.93	1151.06	1135.2	1313.23	1104.13	1143.1	1151.06	1066.48	1143.1	1051.79	1208.34	967.76	934.76	1175.27	1529.73	1191.69	1295.13	1350.18	1447.15	1407.55	1277.29
PGLYRP1	0.0	0.0	0.0	1.27	0.0	0.0	0.0	10.0	0.0	1.51	0.0	1.14	1.19	1.93	0.0	0.0	13.03	3.69	1.23	7.57	3.29	5.41	5.77
PIK3C2G	2.1	1457.23	0.0	7.51	0.97	0.0	2.66	4.54	0.72	1.77	2.92	0.4	3.59	1.23	0.84	1.0	39.79	27.84	18.03	17.9	19.39	5.19	33.3
PIP5K1B	7.34	3.99	9.48	126.12	28.86	10.16	14.24	73.54	32.82	16.39	36.53	14.03	36.53	67.59	7.75	21.63	164.42	48.87	92.05	55.1	81.14	80.57	56.28
PLP2	15075.35	27363.16	1001.93	2573.36	1119.56	896.64	616.37	2148.82	1417.35	473.41	954.43	599.49	1991.0	1870.53	902.89	612.11	2520.38	1896.65	2555.58	3716.2	2193.99	2255.7	2178.83
PRODH	186.4	1477.58	52.45	47.84	18.16	6.84	28.86	116.78	27.25	35.76	31.22	10.16	32.82	55.89	7.06	15.34	177.53	92.05	43.94	111.21	57.89	82.87	49.56
PRRX2	450.94	954.43	41.22	392.44	85.82	16.03	149.12	406.31	110.43	68.55	104.42	69.03	234.57	201.25	31.0	96.68	579.04	236.21	490.14	525.39	281.09	339.14	281.09
PTGDS	26431.04	375901.76	6607.01	21172.91	4736.79	18.16	10659.59	30999.42	5441.3	4328.55	6426.31	4836.35	18178.19	13306.94	941.27	7749.1	55877.28	34158.52	35118.87	42937.97	25708.25	30999.42	35856.82
PTPLAD2	110.43	223.41	47.17	120.94	34.26	31.0	51.71	127.0	50.98	38.95	42.71	28.86	97.36	72.52	12.55	42.41	153.34	134.3	204.07	161.02	120.94	206.94	108.14
PYCARD	9740.98	5711.87	126.12	543.96	87.65	37.59	171.45	1081.39	223.41	258.57	297.17	99.43	339.14	368.65	142.01	177.53	825.0	665.29	532.74	1008.9	473.41	1015.93	595.34
RAB38	5711.87	3491.39	16.51	68.55	12.55	4.78	22.75	59.97	27.25	16.39	11.04	5.19	16.63	44.89	4.66	15.34	120.94	49.56	84.04	92.05	56.28	80.01	40.93
RAG1	4.21	5.63	0.26	5.15	3.14	0.0	3.14	6.89	6.11	5.87	2.16	0.89	8.45	3.41	4.17	2.89	17.77	8.0	11.91	15.0	7.46	19.97	15.45
RASL11B	20.41	493.56	9.56	79.45	12.18	17.13	45.21	142.01	46.18	16.15	19.11	15.8	75.64	26.47	12.83	14.56	134.3	95.34	96.01	82.29	53.95	82.87	84.63
RILPL2	251.48	1225.22	447.82	866.07	476.71	193.01	629.35	1175.27	612.11	473.41	651.58	540.19	819.3	651.58	403.5	595.34	1304.15	1183.45	1037.29	1259.69	830.75	1119.56	836.53
RNASE2	2.73	8.85	0.0	2.03	2.66	0.95	6.57	57.08	4.46	2.61	4.35	1.81	1.08	1.83	3.06	0.0	38.4	119.26	15.45	48.87	8.32	21.32	21.01
RNF8	441.64	878.17	232.94	303.44	236.21	236.21	241.19	392.44	334.46	293.07	234.57	218.79	275.28	291.04	249.73	220.32	356.05	332.14	376.41	371.22	346.29	406.31	314.17
ROBO1	1286.18	2287.2	39.5	348.71	124.37	3.5	183.82	447.82	215.77	122.64	165.57	144.01	223.41	190.34	71.0	93.35	1977.24	629.35	825.0	743.43	988.12	909.17	486.75
RPL39L	708.18	909.17	152.28	423.61	104.42	8.92	87.03	387.02	112.77	39.22	189.02	127.89	170.25	212.78	129.69	122.64	368.65	267.73	454.09	532.74	361.04	384.34	341.51
S100A13	2502.97	2835.7	753.83	1733.13	1242.34	514.56	1806.78	2664.15	915.51	872.1	1111.82	1417.35	1216.75	1781.89	1081.39	1407.55	2537.92	2537.92	2609.3	4210.15	2075.59	3280.18	2148.82
S100A5	21.63	12.36	2.18	2.94	0.0	0.0	0.0	7.4	0.6	2.61	0.0	0.0	0.0	0.0	0.0	0.0	11.21	7.17	17.77	8.25	4.54	7.11	4.06
SESN2	764.36	75.64	99.43	152.28	92.7	85.82	88.88	150.17	119.26	114.36	59.97	57.08	102.97	115.97	83.45	92.7	140.04	120.94	116.78	170.25	152.28	182.55	151.22
SGK1	3419.52	16157.44	376.41	3820.7	156.59	974.5	299.25	1175.27	2018.8	1583.71	2335.28	194.36	529.06	2739.08	389.72	470.14	1286.18	3018.3	915.51	2739.08	7749.1	4903.87	373.81
SIGLEC14	5.63	15.68	6.26	14.03	11.38	3.69	16.88	104.42	13.52	11.47	11.38	2.23	13.22	4.03	6.21	14.67	35.0	45.85	27.64	0.0	28.65	123.5	35.5
SP6	928.3	463.65	13.32	47.84	11.47	20.86	17.13	110.43	31.22	27.25	17.64	25.17	34.51	32.13	11.64	12.36	94.01	44.25	29.27	71.0	48.52	78.34	37.59
SPRED1	217.27	197.09	26.28	115.16	60.82	8.25	74.06	105.15	103.69	40.36	56.28	35.25	105.89	78.89	22.59	42.11	281.09	236.21	320.8	249.73	211.31	341.51	211.31
STAR	98.04	51.71	0.0	7.82	0.84	1.11	1.6	12.45	6.89	2.71	2.76	1.2	4.86	12.64	0.75	3.23	4.35	23.25	8.92	13.72	3.26	8.92	12.45
SYPL1	8538.88	5633.22	1447.15	2701.35	1909.85	854.13	1857.6	2384.37	2271.4	2047.0	1870.53	1295.13	2090.03	2400.97	1721.16	1697.45	3325.99	2537.92	2627.46	2720.15	2573.36	2720.15	2555.58
TAX1BP3	5555.65	13492.72	1037.29	2004.85	1030.12	599.49	1407.55	2384.37	1322.37	1073.91	1331.57	796.86	1721.16	1605.83	1135.2	928.3	2956.17	2627.46	2573.36	3443.31	2485.67	2645.74	2485.67
TBX19	62.56	38.67	22.59	36.79	20.11	14.35	21.78	51.71	23.08	38.4	31.9	23.93	34.51	35.5	11.73	25.35	51.71	58.71	61.25	36.27	27.84	68.07	34.26
TDGF1	0.0	65.26	3.56	0.59	2.14	0.0	0.0	1.55	1.53	2.07	0.21	1.46	5.96	1.79	0.45	3.53	17.0	8.06	9.56	3.35	17.77	13.22	8.25
TGFBR3L	30.12	224.97	15.45	111.21	16.39	17.25	20.71	33.3	19.68	9.85	9.34	3.66	57.49	48.52	0.0	16.75	43.02	44.57	84.04	166.73	102.97	33.3	61.25
TICAM2	4.35	69.03	30.78	56.28	48.18	19.53	64.8	100.83	31.0	58.71	52.82	22.59	52.08	40.93	30.78	27.25	70.51	74.06	97.36	77.25	63.0	125.24	94.01
TIMP1	2645.74	3690.52	2915.45	13399.51	3060.45	3419.52	5872.48	11504.21	4972.34	3280.18	4575.41	3018.3	11112.3	9215.48	1883.54	3212.66	9740.98	12329.98	12329.98	21919.61	10014.87	16727.26	15180.22
