	TCGA.38.7271.01A.11R.2039.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11DZ1.0426.SM.5H11A	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2697.01A.11R.2125.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.43.6773.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.QLQ7.1326.SM.4R1JY	GTEX.11O72.2726.SM.5HL6K	TCGA.EL.A3CY.01A.11R.A19O.07
CDK18	353.59	363.56	1950.0	802.41	429.54	356.05	412.0	457.25	366.09	201.25	43.94	42.41	60.39	90.77	153.34	96.01	98.04	152.28	16.63	69.52	70.51	103.69	115.16	102.97	87.65	122.64	185.11	80.57	63.45	397.93	239.52	185.11	132.44	73.54	217.27	143.01	87.03	211.31	108.9	181.28	293.07	265.87	115.97	206.94	281.09	127.89	115.97	297.17	147.06	387.02	94.01	241.19	287.01	305.55	248.0	500.46	384.34
CEBPB	2915.45	1870.53	7081.29	4210.15	3212.66	3614.55	2047.0	2573.36	3060.45	713.11	334.46	232.94	384.34	629.35	497.0	420.68	915.51	447.82	283.05	307.69	878.17	543.96	1008.9	743.43	318.57	400.71	1167.14	1127.35	228.13	1143.1	1457.23	1242.34	417.77	414.87	934.76	684.02	708.18	1268.46	450.94	1119.56	1081.39	1709.26	529.06	521.76	819.3	651.58	688.78	309.83	708.18	1896.65	320.8	441.64	318.57	1143.1	1295.13	1594.73	2178.83
CH25H	2434.5	232.94	718.08	223.41	1457.23	769.69	555.41	1096.5	299.25	52.08	2.92	5.32	14.78	18.43	70.51	11.64	50.98	64.34	4.43	18.7	115.97	30.78	102.25	20.41	13.52	1.87	47.84	52.82	14.89	384.34	457.25	60.82	22.43	64.8	77.79	10.79	318.57	379.04	24.81	139.07	295.11	136.19	88.26	81.71	41.81	26.1	19.82	56.68	111.21	323.03	28.24	28.24	85.22	111.21	178.77	320.8	1216.75
CLEC4G	8.32	74.06	279.14	35.0	13.93	15.34	82.29	37.85	100.13	2.25	0.0	0.0	0.0	1.06	0.0	1.07	2.36	1.22	0.0	2.73	2.68	3.53	1.73	6.21	5.36	4.13	5.87	0.72	2.03	11.73	4.66	2.18	3.38	9.13	3.53	1.45	7.11	5.32	0.0	1.73	5.06	1.55	1.03	10.0	3.23	0.0	4.98	0.0	2.71	3.0	2.39	3.82	2.84	2.86	10.31	12.93	78.89
COL8A1	1030.12	314.17	1313.23	15285.81	753.83	607.87	665.29	1572.76	1350.18	387.02	76.71	12.09	165.57	95.34	214.27	134.3	124.37	409.15	77.25	158.79	161.02	190.34	154.42	67.12	82.87	78.34	145.02	50.27	78.34	473.41	1191.69	151.22	177.53	56.68	332.14	68.07	85.82	256.78	182.55	246.28	1008.9	133.36	187.71	373.81	204.07	218.79	130.6	73.03	102.97	218.79	36.27	64.8	108.14	142.01	500.46	529.06	1757.34
CSF3	53.19	435.55	157.68	75.64	36357.37	1359.57	255.0	2255.7	1001.93	17.77	0.0	4.54	1.89	0.97	15.11	0.0	10.71	1.11	0.57	3.44	49.91	8.51	75.11	0.0	0.0	0.0	2.84	16.88	0.33	102.25	463.65	46.5	0.0	4.13	32.13	1.39	132.44	178.77	5.02	73.03	22.75	89.51	11.13	11.64	24.63	2.14	6.26	9.63	37.59	13.93	8.06	4.06	7.69	186.4	57.49	264.03	293.07
DARC	4038.61	2240.11	5479.15	3303.0	10154.69	3901.01	3060.45	6887.62	8421.31	1277.29	124.37	132.44	221.86	974.5	1216.75	435.55	1059.11	954.43	38.67	343.89	791.35	1096.5	1806.78	954.43	316.37	521.76	1233.75	423.61	267.73	3124.78	2119.22	941.27	961.07	723.08	1519.15	872.1	1304.15	1806.78	791.35	1225.22	2384.37	642.59	366.09	1551.09	1159.07	603.67	780.44	217.27	1369.04	1096.5	457.25	297.17	836.53	1572.76	2502.97	2997.45	4639.29
DOC2B	39.79	60.39	27.64	591.22	152.28	74.06	63.45	72.52	83.45	13.52	24.46	17.25	7.06	7.94	23.25	25.72	14.14	22.26	1.38	10.88	32.59	16.63	14.14	7.06	4.31	11.3	41.52	3.35	14.78	111.21	96.01	52.82	38.95	20.41	54.72	4.66	24.11	69.03	25.17	26.86	87.03	14.56	25.17	57.89	69.03	30.56	21.16	6.84	42.71	66.18	10.96	10.79	6.84	36.79	61.25	42.41	74.06
DSE	339.14	314.17	1159.07	555.41	743.43	318.57	432.53	624.99	567.1	107.38	30.12	54.72	63.89	86.43	162.14	102.25	102.25	175.07	48.52	167.9	185.11	147.06	127.89	69.52	85.22	98.04	171.45	74.06	151.22	435.55	412.0	320.8	182.55	181.28	332.14	129.69	248.0	329.84	158.79	205.5	507.46	255.0	171.45	323.03	195.72	229.72	144.01	110.43	123.5	591.22	77.25	118.43	112.77	155.5	346.29	403.5	457.25
ECSCR	1594.73	1857.6	4095.0	4903.87	4268.94	2018.8	1857.6	4575.41	3443.31	842.36	104.42	85.22	361.04	269.6	603.67	529.06	466.88	743.43	291.04	253.23	511.0	307.69	909.17	642.59	224.97	412.0	1030.12	395.18	279.14	1242.34	1023.0	543.96	878.17	813.63	1242.34	279.14	1467.37	1572.76	540.19	674.59	1417.35	647.07	902.89	738.29	503.95	518.15	341.51	819.3	679.29	866.07	320.8	417.77	567.1	1111.82	1407.55	1662.49	2133.97
ELK3	1044.52	941.27	1191.69	1540.37	669.92	808.0	1081.39	1143.1	866.07	264.03	65.72	53.19	104.42	175.07	214.27	237.86	205.5	343.89	120.94	204.07	275.28	204.07	287.01	185.11	124.37	143.01	423.61	133.36	193.01	679.29	651.58	373.81	318.57	241.19	624.99	209.84	429.54	642.59	251.48	269.6	836.53	295.11	287.01	555.41	312.0	285.03	171.45	229.72	229.72	447.82	185.11	251.48	186.4	251.48	616.37	525.39	1250.98
EMR3	21.32	12.55	13.03	55.89	55.49	26.47	26.86	36.27	43.32	0.99	0.0	0.0	0.0	0.0	6.57	1.53	1.04	0.8	0.35	2.78	12.64	5.68	2.51	0.42	0.69	0.69	3.17	0.42	1.5	23.93	7.57	8.85	3.63	3.96	8.0	1.35	23.25	11.3	4.66	5.45	24.11	5.23	3.89	11.73	0.0	3.44	2.66	2.63	11.04	6.11	0.0	0.0	21.78	2.53	11.82	31.67	21.63
ENTPD1	1001.93	463.65	1437.15	1259.69	1081.39	896.64	571.05	1199.98	780.44	218.79	36.01	70.51	113.56	98.04	215.77	154.42	171.45	265.87	87.65	144.01	228.13	172.65	249.73	126.12	85.22	134.3	291.04	100.13	134.3	473.41	633.73	371.22	262.2	356.05	563.18	173.85	441.64	563.18	204.07	217.27	780.44	232.94	339.14	540.19	269.6	201.25	220.32	260.38	173.85	376.41	149.12	169.07	170.25	273.37	703.28	447.82	2502.97
EPAS1	4481.23	7642.41	20310.37	15180.22	60304.42	4736.79	4903.87	14461.21	10440.2	1081.39	198.47	525.39	791.35	1427.22	1286.18	1594.73	2104.58	1572.76	529.06	1242.34	1844.76	1081.39	1950.0	1295.13	738.29	1674.06	2468.49	1242.34	928.3	3419.52	4123.49	2163.77	2335.28	813.63	2701.35	2434.5	1259.69	3060.45	1662.49	1745.2	3124.78	2591.27	1529.73	3124.78	1697.45	1605.83	1551.09	1617.0	1437.15	3395.89	2193.99	1331.57	1104.13	2061.24	2319.15	7032.37	6561.36
ETS1	4010.71	1023.0	2627.46	2417.67	5791.62	2319.15	1340.84	2090.03	2018.8	392.44	43.32	84.63	113.56	180.02	316.37	312.0	244.57	371.22	127.0	283.05	368.65	271.48	567.1	189.02	194.36	182.55	536.45	161.02	162.14	1008.9	808.0	620.67	373.81	163.28	854.13	232.94	511.0	674.59	305.55	476.71	1572.76	457.25	318.57	620.67	412.0	493.56	246.28	403.5	339.14	713.11	248.0	316.37	201.25	287.01	1286.18	1487.87	4066.71
FAM89A	258.57	220.32	947.83	713.11	1135.2	189.02	450.94	651.58	525.39	153.34	55.49	59.55	70.01	115.16	115.16	65.26	128.79	96.68	40.36	98.73	143.01	115.16	167.9	90.14	85.22	93.35	133.36	98.73	91.41	224.97	209.84	152.28	153.34	228.13	232.94	129.69	193.01	237.86	102.97	136.19	237.86	169.07	120.1	182.55	114.36	132.44	84.63	95.34	115.16	226.54	87.65	111.99	76.71	112.77	217.27	384.34	248.0
FCAR	46.5	15.45	52.08	82.29	28.45	51.35	30.34	476.71	40.93	3.08	0.0	0.0	1.48	1.51	4.62	1.17	0.44	0.47	0.0	4.39	19.53	0.0	3.59	1.91	0.0	0.0	0.0	0.0	4.7	16.39	41.81	3.86	0.0	3.11	3.99	0.0	9.34	20.41	1.14	7.11	16.03	9.78	2.68	1.17	2.23	4.06	1.99	0.0	1.66	7.51	2.78	0.79	14.67	1.62	17.25	10.71	27.44
FLI1	872.1	497.0	1135.2	616.37	1498.22	753.83	555.41	1051.79	967.76	138.1	29.48	32.59	57.08	60.82	102.97	110.43	100.13	187.71	54.72	91.41	142.01	127.89	221.86	101.54	57.08	90.14	167.9	78.89	83.45	343.89	384.34	224.97	140.04	111.99	356.05	69.52	204.07	301.33	133.36	171.45	688.78	141.02	183.82	289.02	98.73	112.77	104.42	138.1	102.25	201.25	130.6	109.66	143.01	154.42	363.56	395.18	915.51
FLOT1	4010.71	4066.71	5954.47	5555.65	5711.87	5041.77	4210.15	4575.41	5995.9	2976.74	3018.3	2090.03	3124.78	3212.66	3235.01	3564.78	3303.0	3103.19	1844.76	2485.67	2468.49	3665.02	3039.3	3349.13	2835.7	2956.17	3901.01	3039.3	2796.65	3716.2	3103.19	2997.45	3280.18	4298.64	3690.52	2875.3	3257.52	4298.64	2555.58	2915.45	3491.39	3491.39	3467.27	3103.19	2976.74	2855.44	2645.74	2816.11	3146.52	4038.61	2287.2	3060.45	3491.39	2758.13	4481.23	4972.34	3614.55
FPR1	463.65	412.0	884.29	878.17	323.03	336.79	397.93	2664.15	1208.34	66.65	17.0	3.63	10.79	7.82	37.59	17.25	14.03	42.41	12.36	38.95	95.34	103.69	129.69	18.03	24.99	20.71	48.87	9.06	17.9	267.73	356.05	139.07	38.95	84.04	209.84	8.99	96.01	343.89	63.0	103.69	89.51	134.3	48.87	133.36	38.67	87.03	82.29	13.52	59.55	204.07	21.01	39.22	63.89	41.52	255.0	102.25	928.3
FPR2	80.01	34.26	273.37	279.14	191.67	37.59	34.51	1936.53	193.01	2.76	0.85	0.0	2.61	0.0	2.73	0.0	0.0	2.29	0.0	3.92	23.42	6.06	4.86	2.03	0.67	3.38	1.1	0.34	3.92	35.5	53.95	10.24	1.38	5.28	13.72	0.0	23.93	39.5	10.71	6.41	16.63	4.98	10.16	26.47	5.36	6.11	5.19	0.0	6.62	14.56	0.0	4.86	7.0	1.31	20.56	5.96	60.39
FYN	1896.65	1088.92	2502.97	2047.0	4575.41	1844.76	1359.57	2032.85	1674.06	244.57	51.35	57.89	124.37	154.42	201.25	180.02	273.37	297.17	197.09	208.38	194.36	242.88	368.65	224.97	124.37	190.34	343.89	173.85	189.02	591.22	629.35	454.09	334.46	180.02	583.07	291.04	444.72	575.03	232.94	318.57	988.12	312.0	339.14	503.95	201.25	307.69	191.67	258.57	217.27	642.59	175.07	249.73	202.66	332.14	583.07	1044.52	4152.18
GPR97	52.08	53.57	33.3	46.18	56.68	175.07	77.25	226.54	167.9	3.23	2.71	1.04	7.0	6.36	6.11	4.82	12.0	9.13	0.64	9.78	6.62	3.72	10.47	6.89	2.34	11.64	8.32	1.55	7.11	34.75	28.86	6.73	8.45	3.32	19.53	4.66	7.69	18.56	9.06	8.13	10.71	16.51	5.82	17.0	4.9	10.47	4.9	9.34	2.84	24.99	6.52	4.24	40.07	21.78	48.18	63.0	29.7
GPRIN3	102.97	73.03	167.9	198.47	283.05	115.97	73.54	131.51	92.05	9.78	2.03	1.53	3.35	4.17	10.79	7.51	4.46	14.45	2.73	12.0	26.67	12.64	21.78	6.78	6.01	4.9	15.8	4.28	10.39	49.91	33.54	28.04	10.39	8.92	32.36	4.43	33.54	36.27	9.41	18.56	78.34	20.56	8.45	23.08	9.93	13.52	11.21	7.0	12.55	41.22	13.22	6.73	6.06	8.19	42.71	43.63	124.37
IFI16	3212.66	1936.53	3515.68	2434.5	2351.53	3467.27	3874.05	5219.6	3372.43	559.28	71.0	55.89	123.5	457.25	878.17	312.0	368.65	684.02	130.6	417.77	620.67	753.83	909.17	607.87	273.37	253.23	860.08	297.17	314.17	2047.0	1561.89	1529.73	728.11	595.34	1407.55	532.74	1088.92	1529.73	473.41	1088.92	2148.82	1268.46	579.04	974.5	612.11	371.22	316.37	329.84	616.37	1857.6	291.04	178.77	540.19	571.05	1733.13	1832.01	3847.29
IRF2	1111.82	902.89	1561.89	866.07	1037.29	941.27	915.51	902.89	718.08	503.95	466.88	299.25	376.41	660.68	583.07	599.49	571.05	624.99	387.02	743.43	571.05	629.35	507.46	497.0	503.95	575.03	703.28	567.1	698.41	896.64	764.36	921.88	785.88	733.19	813.63	665.29	679.29	738.29	713.11	796.86	967.76	660.68	633.73	718.08	679.29	624.99	616.37	599.49	738.29	743.43	693.58	518.15	563.18	579.04	563.18	890.44	769.69
IRGM	10.0	1.95	3.59	3.89	3.82	5.32	4.06	3.86	4.1	0.0	0.0	0.75	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.44	0.45	0.0	1.19	0.0	1.17	0.46	0.44	0.42	3.26	0.0	2.01	0.0	1.23	1.53	0.0	3.08	2.16	0.0	1.57	1.25	0.91	0.0	2.43	3.69	1.46	0.0	0.0	1.73	1.31	0.66	0.41	0.24	0.0	3.44	2.73	11.55
ITGA11	96.68	99.43	117.6	417.77	60.82	237.86	303.44	100.83	258.57	106.63	17.25	4.5	48.18	32.59	61.25	73.03	87.65	77.79	17.77	36.01	45.53	57.08	101.54	57.08	23.76	41.22	92.7	35.0	20.86	189.02	406.31	70.01	98.04	22.43	183.82	92.7	37.05	108.14	84.63	162.14	279.14	104.42	45.53	145.02	71.5	248.0	37.05	59.13	45.21	80.57	52.45	70.01	102.25	105.15	193.01	190.34	119.26
KIF19	13.72	660.68	212.78	56.28	167.9	36.79	379.04	186.4	32.82	10.55	0.62	2.23	1.08	3.59	9.7	4.1	15.56	16.51	4.7	2.48	4.62	4.24	12.27	7.06	4.06	5.32	12.64	3.29	2.73	26.86	22.43	10.39	7.28	1.58	12.74	2.94	6.16	13.93	5.87	12.09	23.93	6.46	5.06	10.0	7.0	11.04	7.11	3.41	4.06	15.0	3.72	7.22	10.08	12.83	17.0	13.32	7.94
KSR1	423.61	1769.57	1832.01	1127.35	1183.45	1175.27	1199.98	967.76	981.29	100.13	6.89	17.38	24.28	49.91	231.32	126.12	144.01	187.71	18.97	130.6	189.02	71.0	146.03	82.29	75.64	123.5	327.56	80.57	111.21	575.03	454.09	376.41	169.07	71.0	366.09	144.01	255.0	339.14	193.01	341.51	460.44	414.87	226.54	301.33	275.28	157.68	115.16	166.73	253.23	470.14	221.86	127.89	195.72	151.22	518.15	718.08	620.67
LBH	3168.41	1977.24	2148.82	3515.68	2875.3	1721.16	1923.14	1709.26	3639.7	679.29	201.25	563.18	287.01	525.39	713.11	559.28	409.15	2193.99	497.0	775.05	967.76	587.13	503.95	1572.76	902.89	392.44	660.68	323.03	525.39	1111.82	974.5	909.17	679.29	629.35	934.76	325.29	1088.92	656.11	961.07	954.43	1457.23	1369.04	1286.18	591.22	493.56	444.72	981.29	769.69	2104.58	612.11	651.58	529.06	660.68	595.34	2287.2	921.88	1923.14
LIPC	13.52	14.24	44.25	73.54	13.03	10.63	17.64	12.09	22.75	1.53	0.99	1.38	1.43	3.0	1.2	4.9	3.89	9.34	0.77	2.23	2.81	1.89	8.0	1.2	2.43	2.71	3.32	0.0	4.17	22.26	16.75	4.82	12.83	6.11	8.45	3.56	8.0	10.96	5.02	4.31	15.0	6.26	2.84	10.96	3.72	6.46	12.45	5.96	4.28	13.03	0.0	5.15	10.88	14.24	10.79	17.13	9.63
MAP3K8	493.56	813.63	620.67	679.29	3982.99	830.75	536.45	1044.52	896.64	103.69	15.0	23.25	28.65	34.75	69.03	38.95	58.71	57.08	22.59	52.45	198.47	84.63	102.25	53.19	22.26	32.59	102.97	88.26	17.13	376.41	389.72	166.73	63.45	81.14	172.65	27.05	336.79	279.14	69.52	151.22	215.77	591.22	50.98	78.89	115.16	67.12	105.89	34.75	80.01	221.86	66.65	19.97	41.81	248.0	457.25	406.31	981.29
MB21D2	87.03	59.97	157.68	71.0	237.86	80.01	91.41	135.24	117.6	21.01	4.24	5.92	6.11	17.77	16.88	16.39	16.63	37.05	11.73	23.08	48.87	19.82	23.93	19.39	12.09	14.67	30.12	10.63	18.43	78.89	78.89	40.93	27.64	30.78	53.57	21.01	57.89	55.1	32.13	31.67	63.89	36.79	41.22	41.52	17.38	31.22	22.59	23.08	22.59	116.78	16.51	23.42	31.0	43.94	102.97	76.71	142.01
MEFV	20.56	13.52	45.53	25.54	22.43	35.25	47.17	204.07	68.07	5.68	2.73	1.57	1.99	2.81	4.86	3.26	1.79	2.76	2.16	4.66	18.03	3.79	7.06	2.07	3.23	1.68	3.92	1.31	4.28	20.86	21.94	8.65	7.0	0.93	11.3	2.18	11.04	15.0	8.45	5.59	9.2	7.63	9.78	5.82	2.68	5.28	3.79	2.61	1.81	6.94	7.88	2.58	10.71	4.24	14.14	12.93	78.89
