	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A2FK.01A.12R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07
DNAH10OS	25.91	20.71	0.39	0.04	5.92	3.82	6.16	2.71	2.07	22.26	41.81	16.63	14.35	15.68	15.56	8.25
DNAJC21	775.05	878.17	525.39	748.61	444.72	384.34	307.69	329.84	85.82	909.17	921.88	563.18	813.63	665.29	426.57	713.11
DOCK11	148.09	127.89	8.45	32.36	8.51	4.31	12.45	3.38	3.76	44.89	61.25	11.64	29.48	42.41	15.45	37.85
DUSP12	514.56	366.09	202.66	323.03	181.28	186.4	194.36	129.69	96.68	397.93	426.57	297.17	406.31	283.05	256.78	246.28
EIF2AK2	414.87	381.68	941.27	63.45	173.85	90.77	181.28	73.54	50.63	438.59	587.13	277.2	356.05	256.78	190.34	265.87
EPC2	500.46	587.13	78.34	323.03	110.43	75.11	67.12	89.51	55.1	441.64	529.06	158.79	269.6	314.17	202.66	309.83
FAT1	1883.54	2148.82	559.28	674.59	688.78	1331.57	1073.91	208.38	555.41	3081.75	4769.75	1242.34	2701.35	2148.82	1081.39	1369.04
FOXB2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	13.83	4.46	12.36	1.79	4.24	10.0
FOXD1	0.39	3.56	0.0	0.8	0.0	0.0	0.0	0.0	0.0	12.27	16.88	0.0	8.13	2.89	0.43	31.67
FSIP2	56.68	30.12	2.81	0.15	0.0	1.16	0.0	0.78	0.0	30.34	10.79	1.68	21.01	12.45	4.86	3.53
