	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.131XG.1026.SM.5GCMX	GTEX.XMK1.1326.SM.4B65Q	TCGA.CV.7437.11A.01R.2132.07	TCGA.44.6146.11A.01R.1858.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.145LU.0526.SM.5O9AT	TCGA.56.8082.11A.01R.2247.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
C19orf70	1909.85	1447.15	1963.57	1757.34	1407.55	1857.6	1066.48	954.43	2075.59	2591.27	1037.29	802.41	532.74	397.93	785.88	518.15	518.15	775.05	693.58	1151.06	3901.01	2061.24	2287.2	1674.06	2537.92	2351.53
C1QBP	4095.0	3515.68	3515.68	2895.31	2104.58	3491.39	2537.92	2777.33	4937.99	4836.35	1519.15	842.36	791.35	423.61	723.08	718.08	656.11	854.13	1151.06	1540.37	11992.79	6745.86	5441.3	5517.27	6840.04	8901.53
CDC123	1572.76	1369.04	2018.8	1572.76	1030.12	1437.15	1159.07	1143.1	1806.78	1757.34	961.07	511.0	536.45	457.25	447.82	406.31	400.71	463.65	825.0	947.83	2875.3	2335.28	1467.37	1832.01	1909.85	2591.27
CHCHD5	967.76	1322.37	860.08	759.08	642.59	813.63	674.59	698.41	1605.83	1417.35	591.22	373.81	264.03	187.71	341.51	253.23	279.14	291.04	237.86	532.74	2384.37	1286.18	1191.69	1304.15	1427.22	1447.15
CINP	753.83	909.17	728.11	723.08	514.56	669.92	490.14	536.45	1111.82	836.53	583.07	460.44	211.31	366.09	253.23	211.31	283.05	318.57	356.05	503.95	1487.87	866.07	854.13	981.29	656.11	825.0
COA1	733.19	759.08	616.37	571.05	595.34	575.03	567.1	620.67	1151.06	995.0	698.41	497.0	264.03	420.68	612.11	406.31	346.29	353.59	559.28	656.11	1697.45	624.99	743.43	595.34	796.86	718.08
COMMD9	723.08	947.83	728.11	723.08	591.22	674.59	532.74	603.67	1639.59	941.27	928.3	802.41	307.69	406.31	514.56	483.38	529.06	473.41	540.19	547.75	1359.57	1216.75	988.12	1059.11	1369.04	1059.11
COQ3	273.37	271.48	255.0	236.21	206.94	204.07	130.6	187.71	417.77	384.34	87.03	73.54	18.97	38.4	42.11	28.86	42.11	43.32	46.18	88.26	438.59	368.65	454.09	293.07	323.03	297.17
COX5B	6426.31	7589.61	5831.91	4972.34	5403.7	6607.01	5913.33	6121.9	10225.32	7642.41	2384.37	2796.65	1551.09	1015.93	2104.58	1498.22	1844.76	981.29	1896.65	2351.53	11664.82	8479.89	6652.97	7589.61	7695.57	10225.32
COX6A1	17078.76	21026.65	10808.41	10585.95	9606.86	13123.73	11345.82	13399.51	22380.2	19618.49	7230.1	4298.64	4123.49	3303.0	3928.15	3349.13	5112.16	3515.68	3665.02	7485.11	22225.61	24832.5	18052.61	25354.3	18819.27	26067.14
COX6B1	12589.08	13033.07	8305.36	8022.41	5633.22	8778.97	7032.37	6935.54	15392.14	14065.74	4010.71	2777.33	1709.26	1407.55	2090.03	1991.0	2796.65	2682.69	2018.8	4419.52	20030.74	18689.27	12502.12	13215.02	14971.21	14163.58
COX6C	9409.14	6250.56	9279.58	8658.09	7280.4	9474.59	5831.91	7280.4	14663.09	11504.21	4972.34	3716.2	4123.49	4543.8	4903.87	3955.48	5954.47	3419.52	3716.2	4736.79	16960.78	15075.35	9344.14	12329.98	10512.82	18819.27
COX7A2	8305.36	8191.0	5479.15	5517.27	5255.91	6471.02	5112.16	5517.27	10883.59	10585.95	4836.35	2835.7	3982.99	2148.82	3039.3	4066.71	4388.98	4543.8	1794.29	5711.87	18178.19	11035.54	8022.41	12244.81	8718.32	14663.09
COX8A	18560.17	18560.17	13399.51	12502.12	10084.54	15285.81	13123.73	13033.07	26067.14	23656.34	6471.02	4575.41	4328.55	3103.19	3589.58	4736.79	5555.65	3564.78	3665.02	7382.04	27553.49	27174.14	20881.4	23009.42	20737.16	27363.16
DDB1	2701.35	2178.83	2271.4	1991.0	2104.58	2193.99	2287.2	2148.82	3060.45	2976.74	2224.63	995.0	1697.45	1322.37	1794.29	1639.59	1457.23	2255.7	1745.2	1936.53	1977.24	2777.33	2591.27	2935.74	3168.41	2351.53
DDX41	1268.46	1304.15	1628.26	1529.73	1008.9	1397.83	1268.46	723.08	1745.2	1551.09	961.07	981.29	836.53	665.29	500.46	490.14	575.03	988.12	1051.79	1001.93	1781.89	2047.0	1051.79	1883.54	1733.13	1487.87
DNPH1	1350.18	1175.27	1857.6	1277.29	1167.14	1051.79	1159.07	1167.14	2032.85	1304.15	665.29	470.14	403.5	228.13	269.6	366.09	463.65	318.57	409.15	753.83	2591.27	2018.8	1407.55	1583.71	2090.03	2004.85
EIF3K	11035.54	5219.6	7180.15	6337.83	5255.91	8022.41	5517.27	5076.84	10440.2	12764.83	4769.75	5292.48	4481.23	1359.57	4575.41	3124.78	2367.9	4123.49	3303.0	5441.3	17804.06	10084.54	10585.95	8778.97	10154.69	10154.69
ELP6	503.95	607.87	486.75	444.72	463.65	457.25	348.71	473.41	759.08	616.37	447.82	312.0	223.41	204.07	351.14	206.94	208.38	295.11	361.04	277.2	693.58	470.14	669.92	651.58	493.56	447.82
EXOSC1	902.89	1001.93	878.17	961.07	647.07	733.19	493.56	616.37	1199.98	848.22	532.74	432.53	269.6	536.45	353.59	389.72	521.76	444.72	595.34	567.1	1519.15	728.11	738.29	1313.23	1008.9	791.35
FBXW9	177.53	273.37	314.17	231.32	182.55	376.41	215.77	220.32	325.29	348.71	116.78	85.82	43.32	38.4	50.27	55.49	70.01	50.63	77.79	118.43	193.01	239.52	400.71	258.57	318.57	318.57
FH	1572.76	1233.75	1111.82	1001.93	1059.11	1127.35	967.76	1388.16	1844.76	2061.24	825.0	532.74	473.41	275.28	447.82	379.04	503.95	438.59	532.74	703.28	2682.69	2502.97	1617.0	1721.16	1977.24	1733.13
GSS	1073.91	1477.58	1331.57	981.29	656.11	1233.75	836.53	896.64	1191.69	1427.22	567.1	309.83	341.51	329.84	532.74	575.03	547.75	571.05	591.22	555.41	1151.06	1651.0	1295.13	1277.29	1369.04	1015.93
GTF3C6	1857.6	1167.14	1277.29	1175.27	1008.9	1135.2	1008.9	1191.69	2627.46	1936.53	785.88	612.11	435.55	447.82	423.61	466.88	423.61	511.0	595.34	961.07	4836.35	1936.53	1561.89	1617.0	2451.44	2193.99
HAUS1	368.65	521.76	414.87	397.93	329.84	309.83	260.38	256.78	872.1	529.06	332.14	183.82	136.19	220.32	271.48	105.15	177.53	155.5	309.83	255.0	1111.82	624.99	417.77	361.04	518.15	511.0
HSD17B10	3515.68	2335.28	3540.14	3794.3	1498.22	4239.45	1883.54	2367.9	4152.18	4671.57	1508.65	684.02	825.0	551.56	854.13	713.11	848.22	934.76	708.18	1519.15	6207.38	8078.22	4268.94	4736.79	5041.77	5751.61
ISOC2	1331.57	1127.35	1617.0	1175.27	1096.5	1350.18	921.88	703.28	1844.76	2664.15	813.63	341.51	414.87	669.92	1037.29	769.69	974.5	543.96	642.59	660.68	2163.77	1529.73	1167.14	1583.71	1286.18	1870.53
KRT4	569761.05	3.697379928E7	1.810644424E7	2.276004283E7	84109.6	3.109113511E7	397335.0	365622.68	172949.54	475800.4	500.46	480.04	145.02	135.24	209.84	693.58	112.77	269.6	334.46	669.92	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LRR1	214.27	206.94	193.01	153.34	140.04	191.67	130.6	137.14	339.14	373.81	108.14	43.63	105.15	105.15	111.21	176.29	142.01	111.99	149.12	152.28	463.65	231.32	285.03	226.54	228.13	332.14
LSM3	312.0	332.14	303.44	343.89	232.94	289.02	244.57	260.38	587.13	366.09	242.88	186.4	119.26	108.14	132.44	135.24	108.14	159.9	141.02	221.86	759.08	511.0	329.84	426.57	371.22	633.73
LSM5	1208.34	1477.58	1104.13	928.3	733.19	902.89	651.58	934.76	2224.63	1350.18	872.1	591.22	551.56	473.41	603.67	497.0	559.28	493.56	669.92	753.83	3540.14	1447.15	1295.13	748.61	1143.1	1313.23
MDH2	5292.48	5076.84	6516.03	5183.54	3639.7	5831.91	4298.64	4575.41	7433.4	7911.95	2319.15	1030.12	1369.04	759.08	1583.71	1350.18	1208.34	1769.57	1295.13	2104.58	9088.59	10014.87	7966.99	8363.13	8191.0	8078.22
MINOS1	3901.01	4543.8	3768.09	3349.13	3212.66	3794.3	2609.3	2720.15	6426.31	4836.35	2451.44	2178.83	2335.28	1594.73	2555.58	2104.58	2451.44	2061.24	2178.83	2520.38	8022.41	7749.1	4298.64	4903.87	4388.98	6294.04
MMADHC	2400.97	2384.37	1963.57	2303.12	1781.89	2351.53	1936.53	2287.2	2835.7	2573.36	1540.37	1417.35	1037.29	791.35	1096.5	1037.29	967.76	791.35	941.27	1540.37	5041.77	3280.18	2664.15	2816.11	3081.75	4066.71
MRPL15	1508.65	1447.15	872.1	764.36	669.92	796.86	872.1	941.27	1417.35	1685.71	555.41	241.19	208.38	226.54	327.56	275.28	287.01	412.0	454.09	698.41	3303.0	1225.22	1583.71	1437.15	2209.26	1651.0
MRPL22	1008.9	764.36	860.08	819.3	748.61	866.07	698.41	607.87	1508.65	1059.11	629.35	540.19	599.49	447.82	571.05	412.0	466.88	409.15	490.14	693.58	1909.85	884.29	872.1	830.75	656.11	909.17
MRPL23	2400.97	3742.05	2502.97	2255.7	1923.14	2816.11	1923.14	1745.2	3820.7	3419.52	1572.76	1407.55	836.53	764.36	1104.13	728.11	1143.1	819.3	1127.35	1551.09	2701.35	2758.13	2434.5	2777.33	2777.33	3212.66
MRPL37	1721.16	2032.85	1923.14	1651.0	1183.45	1883.54	1250.98	1508.65	2645.74	2209.26	796.86	518.15	435.55	303.44	551.56	470.14	435.55	503.95	450.94	743.43	3325.99	2739.08	2163.77	2468.49	2384.37	2816.11
MRPL40	802.41	1407.55	728.11	665.29	575.03	713.11	363.56	470.14	1073.91	988.12	497.0	460.44	318.57	162.14	291.04	170.25	194.36	244.57	293.07	514.56	1870.53	988.12	1001.93	974.5	1397.83	830.75
MRPS16	1923.14	2075.59	1662.49	1477.58	1242.34	1467.37	1295.13	1417.35	2758.13	2485.67	1030.12	759.08	500.46	693.58	718.08	780.44	733.19	842.36	633.73	954.43	4903.87	2956.17	2335.28	2502.97	3124.78	2573.36
MRPS18C	1259.69	825.0	791.35	928.3	723.08	902.89	656.11	974.5	1923.14	1233.75	796.86	567.1	334.46	463.65	571.05	599.49	460.44	490.14	521.76	723.08	1870.53	2133.97	1073.91	1594.73	1561.89	2451.44
MRPS28	1313.23	1594.73	941.27	941.27	669.92	764.36	728.11	896.64	1923.14	1467.37	921.88	813.63	397.93	371.22	241.19	325.29	379.04	518.15	708.18	791.35	3742.05	1378.57	1286.18	1369.04	1674.06	1519.15
MTCH2	2915.45	2133.97	2796.65	2537.92	1183.45	3103.19	1331.57	1896.65	3303.0	4010.71	1096.5	540.19	633.73	417.77	518.15	450.94	371.22	656.11	660.68	1104.13	5329.3	5147.73	3564.78	4210.15	5112.16	5183.54
MTX1	915.51	1066.48	1427.22	872.1	819.3	825.0	825.0	896.64	1487.87	1467.37	718.08	571.05	490.14	336.79	460.44	529.06	412.0	366.09	480.04	884.29	1457.23	1143.1	1350.18	941.27	1467.37	1096.5
NDUFA12	2627.46	2855.44	2645.74	2240.11	1936.53	2573.36	1697.45	1806.78	3060.45	2468.49	1806.78	1819.35	1369.04	1127.35	796.86	921.88	693.58	759.08	1135.2	1561.89	4038.61	3515.68	2956.17	3018.3	3124.78	3665.02
NDUFA13	7485.11	5006.93	5183.54	5076.84	4123.49	5995.9	4419.52	3768.09	8421.31	8134.41	3794.3	3665.02	2400.97	3540.14	3060.45	4481.23	5403.7	3235.01	2758.13	4066.71	10512.82	8658.09	7642.41	7911.95	7803.01	9673.69
NDUFA6	2255.7	1819.35	1745.2	1594.73	1498.22	2303.12	1561.89	1477.58	4769.75	2895.31	1208.34	902.89	2240.11	819.3	890.44	583.07	638.15	1651.0	866.07	1233.75	3589.58	3690.52	1896.65	2119.22	1991.0	3280.18
NDUFA7	1794.29	2976.74	1883.54	1662.49	1551.09	1870.53	1250.98	1286.18	3168.41	2537.92	1225.22	836.53	497.0	409.15	612.11	575.03	518.15	470.14	647.07	1175.27	3515.68	3190.46	2609.3	2400.97	2758.13	2224.63
NDUFAF2	941.27	500.46	872.1	759.08	651.58	848.22	660.68	748.61	1295.13	981.29	532.74	387.02	493.56	412.0	796.86	642.59	525.39	332.14	444.72	511.0	2915.45	1030.12	1044.52	563.18	836.53	1151.06
NDUFB6	1340.84	1388.16	941.27	796.86	890.44	813.63	575.03	830.75	2032.85	1427.22	941.27	633.73	540.19	293.07	417.77	441.64	376.41	497.0	620.67	947.83	5366.37	2271.4	1733.13	1437.15	1709.26	2573.36
NDUFB7	5112.16	4038.61	5403.7	4903.87	3955.48	5329.3	3665.02	3716.2	7081.29	6935.54	3103.19	2935.74	872.1	1135.2	1540.37	1268.46	2119.22	1477.58	1388.16	3395.89	9344.14	6516.03	5791.62	5751.61	6516.03	7230.1
NDUFB8	6294.04	4038.61	3820.7	3794.3	3467.27	4836.35	3124.78	3614.55	6207.38	5633.22	3372.43	1950.0	2758.13	1529.73	2645.74	2224.63	2956.17	2555.58	2417.67	3325.99	7803.01	6337.83	5633.22	5479.15	5913.33	5633.22
NDUFB9	6983.79	4512.4	5006.93	4038.61	3768.09	4358.66	4543.8	4123.49	8421.31	8191.0	3768.09	2271.4	3103.19	1135.2	2240.11	1991.0	1397.83	2004.85	2915.45	3589.58	15285.81	7803.01	7857.29	7857.29	8778.97	9215.48
NDUFC1	3901.01	4038.61	2915.45	3372.43	2720.15	3515.68	2367.9	3018.3	6164.49	4903.87	2417.67	2133.97	1331.57	1378.57	1199.98	1617.0	2148.82	1208.34	1498.22	2720.15	7803.01	6294.04	4298.64	5403.7	4704.07	6840.04
NDUFC2	5403.7	4010.71	4543.8	4181.07	3146.52	3794.3	2502.97	2835.7	6471.02	5711.87	3395.89	1896.65	1242.34	1709.26	2400.97	1909.85	2178.83	1819.35	2163.77	2956.17	6381.92	3847.29	4704.07	4095.0	4704.07	5112.16
NDUFS7	2997.45	2367.9	3039.3	2537.92	2104.58	3280.18	2090.03	2209.26	3820.7	3901.01	1417.35	884.29	476.71	836.53	1233.75	954.43	1322.37	454.09	928.3	1417.35	4181.07	4152.18	3614.55	3665.02	3690.52	5041.77
NDUFV2	3639.7	4802.93	3280.18	3395.89	2777.33	3564.78	2816.11	3212.66	4836.35	4268.94	2485.67	2816.11	3768.09	1721.16	2645.74	2777.33	2104.58	2400.97	3146.52	2777.33	10512.82	6079.61	4268.94	5672.41	4736.79	7331.05
NUDT8	397.93	2400.97	2075.59	2627.46	679.29	5219.6	884.29	802.41	1583.71	1498.22	170.25	82.87	49.91	56.68	98.04	104.42	143.01	42.11	66.65	129.69	1467.37	2209.26	967.76	1551.09	1794.29	1721.16
PLGRKT	713.11	1259.69	480.04	387.02	473.41	450.94	353.59	426.57	967.76	775.05	457.25	447.82	264.03	101.54	149.12	226.54	132.44	173.85	164.42	476.71	2758.13	1572.76	1208.34	909.17	1037.29	941.27
POLR2G	1487.87	1923.14	2061.24	1991.0	1359.57	1733.13	1030.12	1088.92	2997.45	2319.15	1498.22	1175.27	547.75	780.44	947.83	872.1	884.29	819.3	1096.5	1175.27	2956.17	1857.6	1508.65	2255.7	1617.0	1991.0
POP7	713.11	954.43	1088.92	981.29	603.67	813.63	684.02	738.29	1304.15	1167.14	587.13	297.17	197.09	145.02	301.33	332.14	283.05	214.27	220.32	412.0	1594.73	1304.15	1015.93	1015.93	1259.69	1369.04
PPIA	62431.08	68318.04	72715.74	76861.91	31650.8	87681.42	37901.36	42641.37	74243.68	61571.56	28923.41	21172.91	26800.01	19348.38	23169.48	28132.47	32540.65	27938.14	24321.43	30572.63	109455.64	113315.62	67846.12	78476.96	76330.98	97288.74
PSMA2	3540.14	4038.61	2468.49	2591.27	1977.24	2047.0	1819.35	2400.97	5594.3	3372.43	2119.22	1437.15	2935.74	2032.85	2032.85	2224.63	1769.57	1745.2	2255.7	2609.3	6887.62	4038.61	2739.08	3982.99	3665.02	5403.7
PSMA4	3257.52	2997.45	2976.74	3018.3	2502.97	2384.37	2319.15	2240.11	4388.98	3491.39	2384.37	1674.06	1340.84	1832.01	1388.16	2133.97	1781.89	1950.0	1721.16	2335.28	6983.79	5112.16	3564.78	4239.45	3847.29	5479.15
PSMA5	2915.45	2816.11	2335.28	2303.12	2520.38	2451.44	1651.0	1819.35	3515.68	3235.01	1594.73	995.0	1127.35	1183.45	1175.27	1674.06	1388.16	1208.34	1407.55	1685.71	6294.04	3443.31	2796.65	2875.3	3395.89	4095.0
PSMA6	3768.09	5255.91	3639.7	3768.09	2664.15	2720.15	2133.97	2627.46	4607.24	4095.0	3124.78	2032.85	3768.09	1870.53	1709.26	3742.05	2209.26	3060.45	2555.58	3901.01	12502.12	6079.61	4152.18	6471.02	5831.91	5711.87
PSMA7	5183.54	3589.58	6652.97	6079.61	3928.15	5329.3	3515.68	3639.7	7180.15	6652.97	3794.3	2351.53	2895.31	2816.11	3742.05	3820.7	5076.84	3372.43	3212.66	4869.99	10368.08	7537.18	6037.61	5555.65	6294.04	7537.18
PSMB6	5594.3	4937.99	4210.15	3874.05	2485.67	4095.0	2720.15	3303.0	6516.03	6337.83	2682.69	1832.01	2075.59	1467.37	1617.0	1923.14	2287.2	1977.24	1963.57	3212.66	9876.98	8421.31	6607.01	7230.1	8538.88	8598.28
PSMB7	3901.01	3124.78	3847.29	3515.68	2997.45	3280.18	3039.3	2796.65	5183.54	4769.75	2645.74	1991.0	1870.53	723.08	1457.23	1159.07	1457.23	1662.49	1977.24	2956.17	10154.69	5517.27	3901.01	4268.94	4607.24	4972.34
PSMD9	1617.0	1286.18	1340.84	1242.34	1088.92	1259.69	1051.79	1295.13	1963.57	1662.49	1081.39	748.61	457.25	420.68	551.56	463.65	567.1	825.0	660.68	1208.34	3235.01	1733.13	1709.26	1594.73	2090.03	1757.34
PYCARD	1225.22	9740.98	1662.49	1963.57	860.08	1977.24	825.0	1037.29	2178.83	2758.13	915.51	866.07	150.17	267.73	417.77	221.86	361.04	223.41	351.14	743.43	4575.41	4575.41	2090.03	2224.63	2163.77	3124.78
RBX1	1819.35	2061.24	1427.22	1477.58	1066.48	1417.35	1167.14	1135.2	2400.97	1769.57	1304.15	579.04	743.43	563.18	974.5	995.0	890.44	896.64	796.86	1340.84	3716.2	3325.99	1832.01	2271.4	2148.82	2682.69
RNF26	400.71	454.09	674.59	507.46	555.41	500.46	480.04	547.75	599.49	612.11	486.75	183.82	316.37	229.72	312.0	186.4	228.13	291.04	307.69	295.11	708.18	579.04	884.29	713.11	890.44	684.02
ROMO1	5831.91	4769.75	5594.3	5791.62	2855.44	5831.91	3419.52	2573.36	8247.98	5954.47	2485.67	2224.63	1487.87	1369.04	1844.76	1991.0	2555.58	2075.59	1359.57	2875.3	12329.98	12244.81	5594.3	7382.04	7803.01	9215.48
RPL26L1	896.64	988.12	866.07	769.69	583.07	688.78	571.05	708.18	1662.49	1331.57	571.05	423.61	379.04	279.14	273.37	336.79	309.83	226.54	423.61	603.67	2367.9	1639.59	1551.09	1059.11	1662.49	1199.98
SAC3D1	124.37	318.57	305.55	269.6	139.07	248.0	131.51	198.47	403.5	332.14	163.28	85.82	24.81	65.26	75.11	54.72	54.72	65.72	57.08	55.49	329.84	285.03	262.2	265.87	376.41	318.57
SLIRP	4450.27	4869.99	3928.15	3874.05	2609.3	4038.61	2271.4	2520.38	8305.36	4937.99	2004.85	1322.37	1111.82	642.59	1242.34	1286.18	1183.45	1073.91	1359.57	2335.28	10512.82	7081.29	3794.3	4481.23	5255.91	6652.97
SMARCB1	1508.65	2004.85	1322.37	1111.82	1066.48	1259.69	1350.18	1378.57	1709.26	1709.26	1088.92	647.07	591.22	514.56	507.46	395.18	366.09	624.99	848.22	1167.14	1819.35	1781.89	1870.53	1977.24	2061.24	1551.09
SNRPC	2287.2	2417.67	3257.52	2537.92	1832.01	1883.54	1340.84	1268.46	3820.7	3257.52	1605.83	1286.18	629.35	532.74	909.17	733.19	796.86	703.28	954.43	1572.76	6250.56	2485.67	3018.3	2627.46	2895.31	3280.18
SNRPE	2627.46	2997.45	2287.2	1870.53	1745.2	1685.71	1427.22	1359.57	4769.75	3060.45	1781.89	1477.58	1183.45	718.08	1427.22	1015.93	941.27	1233.75	1225.22	1769.57	5831.91	2193.99	2400.97	2739.08	2816.11	2367.9
SSBP1	3716.2	4512.4	3443.31	3491.39	2485.67	2915.45	2816.11	2816.11	5183.54	4543.8	2090.03	1477.58	909.17	890.44	1191.69	1037.29	1059.11	1081.39	1350.18	2178.83	8840.04	6294.04	4358.66	4769.75	4802.93	7130.55
STOML2	2163.77	2555.58	2351.53	2047.0	1794.29	2075.59	1685.71	1950.0	3467.27	3212.66	1081.39	819.3	665.29	379.04	728.11	435.55	403.5	665.29	890.44	1313.23	7695.57	4328.55	4181.07	3303.0	4419.52	4328.55
TIMM8B	2255.7	2271.4	2451.44	2417.67	954.43	2701.35	1572.76	1322.37	3018.3	2537.92	612.11	551.56	273.37	389.72	403.5	387.02	301.33	403.5	409.15	612.11	7382.04	4512.4	2935.74	4123.49	3928.15	4123.49
TOMM22	2119.22	1331.57	1427.22	1111.82	775.05	1104.13	1127.35	1088.92	1950.0	2104.58	1008.9	738.29	567.1	463.65	503.95	420.68	348.71	616.37	688.78	1066.48	4358.66	2720.15	2075.59	2627.46	2335.28	3103.19
TPRKB	1001.93	1088.92	941.27	981.29	638.15	915.51	703.28	813.63	1540.37	928.3	665.29	476.71	314.17	454.09	435.55	353.59	392.44	314.17	409.15	503.95	1936.53	1151.06	669.92	813.63	884.29	1096.5
TRAPPC2L	1583.71	785.88	1119.56	1081.39	909.17	1143.1	941.27	921.88	1977.24	1498.22	1096.5	733.19	543.96	718.08	743.43	567.1	624.99	728.11	733.19	830.75	2627.46	1572.76	967.76	1143.1	1583.71	1781.89
TTC1	934.76	1183.45	988.12	967.76	890.44	780.44	718.08	764.36	1350.18	1143.1	967.76	819.3	591.22	493.56	595.34	432.53	441.64	603.67	599.49	872.1	2193.99	1208.34	1259.69	1313.23	1286.18	1447.15
UBE2L3	2193.99	2485.67	2367.9	2335.28	1639.59	1923.14	1519.15	1769.57	2997.45	2816.11	1457.23	679.29	1143.1	860.08	1066.48	1199.98	802.41	836.53	1216.75	1662.49	4543.8	3665.02	2758.13	3303.0	3190.46	4095.0
UQCR11	4836.35	4239.45	4066.71	3716.2	3794.3	4450.27	3742.05	3639.7	6699.25	4239.45	2816.11	1662.49	1225.22	1639.59	2240.11	1950.0	2004.85	2119.22	1397.83	2591.27	8598.28	5041.77	3614.55	5872.48	4869.99	5791.62
UQCRQ	10296.45	10959.3	5479.15	5366.37	5441.3	7081.29	6337.83	7537.18	16496.96	10154.69	3716.2	3325.99	2451.44	1896.65	2720.15	2240.11	2935.74	2468.49	2224.63	3349.13	14867.79	10883.59	7803.01	11345.82	9808.75	10296.45
