	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PWOO.0726.SM.2I3EB	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
ARHGAP18	50.63	44.57	84.04	48.18	50.63	34.02	54.33	10.96	76.17	45.85	39.5	237.86	14.45	406.31	392.44	246.28	212.78	366.09	599.49	599.49	703.28	866.07	486.75	551.56	190.34	567.1	563.18	346.29	633.73	277.2	928.3	470.14	500.46	260.38	718.08	414.87	297.17	358.54	728.11	595.34	195.72	262.2	624.99	387.02	638.15	536.45	429.54	612.11	708.18	183.82	591.22	738.29	403.5	591.22	599.49	684.02	563.18	591.22	688.78	366.09	441.64	902.89	412.0	836.53	476.71
ASAP2	55.1	6.16	15.56	51.35	13.52	8.45	16.63	8.71	14.56	8.51	18.43	45.85	10.39	22.1	295.11	193.01	208.38	229.72	547.75	514.56	665.29	854.13	351.14	358.54	180.02	316.37	665.29	186.4	629.35	166.73	902.89	567.1	540.19	171.45	660.68	303.44	275.28	244.57	830.75	616.37	283.05	98.73	420.68	376.41	591.22	532.74	260.38	629.35	866.07	173.85	595.34	733.19	209.84	567.1	251.48	656.11	507.46	660.68	532.74	341.51	251.48	769.69	218.79	583.07	532.74
ATG16L1	277.2	395.18	202.66	301.33	277.2	226.54	237.86	211.31	205.5	148.09	256.78	295.11	199.85	323.03	395.18	447.82	348.71	293.07	547.75	511.0	460.44	591.22	460.44	323.03	197.09	438.59	486.75	318.57	555.41	346.29	587.13	563.18	521.76	486.75	507.46	470.14	373.81	409.15	759.08	629.35	297.17	234.57	397.93	447.82	450.94	432.53	379.04	420.68	532.74	208.38	397.93	503.95	466.88	429.54	397.93	493.56	607.87	624.99	493.56	400.71	441.64	595.34	281.09	500.46	599.49
B3GALNT1	6.62	35.76	33.78	12.83	19.39	16.15	8.92	3.32	20.86	58.71	14.56	110.43	2.71	57.49	323.03	211.31	260.38	271.48	215.77	299.25	295.11	444.72	260.38	189.02	212.78	162.14	500.46	277.2	289.02	134.3	713.11	406.31	293.07	293.07	363.56	384.34	412.0	195.72	438.59	395.18	279.14	167.9	206.94	287.01	373.81	224.97	129.69	228.13	334.46	226.54	351.14	267.73	305.55	242.88	197.09	285.03	336.79	318.57	253.23	224.97	297.17	507.46	205.5	253.23	265.87
B4GALT1	1159.07	1277.29	1023.0	967.76	1427.22	1397.83	1457.23	738.29	1044.52	412.0	1331.57	1594.73	1359.57	2682.69	1322.37	738.29	825.0	988.12	2193.99	1757.34	1529.73	1936.53	1572.76	2255.7	1135.2	1674.06	3467.27	1594.73	2224.63	902.89	2816.11	2367.9	2090.03	1191.69	2434.5	1447.15	1617.0	1059.11	2956.17	2875.3	2287.2	1199.98	1572.76	1896.65	1977.24	1447.15	1008.9	2075.59	1936.53	1487.87	2224.63	1605.83	1277.29	1857.6	1896.65	1870.53	2319.15	1819.35	1457.23	2047.0	1059.11	2591.27	1651.0	1909.85	1769.57
BACE1	287.01	189.02	125.24	236.21	249.73	281.09	209.84	237.86	287.01	351.14	181.28	361.04	435.55	299.25	183.82	629.35	397.93	414.87	435.55	423.61	320.8	583.07	305.55	334.46	299.25	264.03	483.38	325.29	518.15	351.14	514.56	563.18	450.94	353.59	441.64	336.79	397.93	329.84	476.71	525.39	417.77	392.44	341.51	341.51	457.25	493.56	285.03	447.82	503.95	244.57	376.41	379.04	229.72	373.81	303.44	387.02	438.59	500.46	320.8	371.22	775.05	490.14	343.89	514.56	389.72
BDP1	107.38	73.54	67.59	85.22	69.52	54.72	61.68	81.14	65.26	58.71	72.01	116.78	23.42	40.07	152.28	429.54	251.48	224.97	323.03	293.07	214.27	358.54	159.9	94.01	312.0	157.68	275.28	253.23	307.69	244.57	303.44	264.03	244.57	234.57	329.84	228.13	244.57	122.64	291.04	231.32	204.07	137.14	199.85	221.86	297.17	264.03	190.34	309.83	267.73	255.0	237.86	253.23	316.37	218.79	187.71	199.85	305.55	283.05	351.14	140.04	211.31	339.14	154.42	312.0	253.23
BTBD10	152.28	127.0	162.14	155.5	148.09	127.89	112.77	109.66	151.22	136.19	144.01	242.88	77.25	301.33	303.44	325.29	457.25	327.56	507.46	392.44	493.56	525.39	379.04	303.44	303.44	327.56	507.46	285.03	490.14	291.04	507.46	409.15	463.65	358.54	483.38	376.41	348.71	301.33	483.38	387.02	312.0	224.97	392.44	438.59	423.61	346.29	275.28	412.0	532.74	293.07	358.54	435.55	267.73	420.68	432.53	447.82	483.38	486.75	432.53	327.56	318.57	470.14	275.28	466.88	460.44
CAND1	397.93	189.02	363.56	381.68	260.38	281.09	246.28	177.53	293.07	269.6	518.15	547.75	265.87	688.78	819.3	921.88	1191.69	808.0	1175.27	1437.15	1167.14	2555.58	1199.98	684.02	954.43	813.63	1359.57	961.07	1733.13	616.37	2720.15	1457.23	1487.87	981.29	1806.78	902.89	884.29	854.13	2240.11	1477.58	791.35	802.41	775.05	878.17	1733.13	1191.69	713.11	1175.27	1697.45	928.3	1167.14	1857.6	1073.91	1135.2	961.07	1340.84	1295.13	1268.46	1051.79	848.22	878.17	1977.24	660.68	1697.45	1286.18
CARD6	9.85	36.53	46.18	85.22	40.93	28.86	72.01	4.28	31.0	40.93	57.08	118.43	30.34	232.94	242.88	158.79	117.6	56.28	169.07	145.02	158.79	132.44	108.14	135.24	87.03	126.12	204.07	83.45	159.9	167.9	187.71	217.27	153.34	102.25	176.29	119.26	173.85	78.34	171.45	205.5	202.66	80.01	137.14	127.89	156.59	234.57	133.36	264.03	133.36	100.13	138.1	202.66	90.14	175.07	136.19	199.85	124.37	134.3	206.94	114.36	234.57	145.02	100.83	211.31	153.34
CAV2	353.59	802.41	1199.98	70.51	928.3	201.25	395.18	118.43	703.28	98.04	583.07	848.22	309.83	346.29	400.71	813.63	1594.73	1250.98	3491.39	4869.99	4512.4	8421.31	3467.27	2240.11	1250.98	4903.87	3928.15	1397.83	4210.15	1051.79	9673.69	1923.14	3690.52	988.12	5147.73	2163.77	2796.65	2485.67	6652.97	4419.52	791.35	1088.92	4152.18	2555.58	4181.07	2796.65	1583.71	2451.44	3794.3	1697.45	3742.05	4836.35	1096.5	3303.0	2255.7	3639.7	3146.52	2434.5	3564.78	2701.35	1096.5	6745.86	1037.29	4575.41	2104.58
CCDC181	0.87	1.69	3.79	0.0	1.87	1.3	1.69	0.45	0.93	1.0	2.32	5.92	0.0	80.57	9.34	76.17	12.18	1.73	22.75	7.0	17.77	6.11	23.76	11.55	9.06	9.06	27.64	11.13	34.51	15.34	17.0	39.22	6.36	62.56	22.1	1.57	5.68	23.42	6.57	27.44	14.35	3.76	31.67	46.84	18.03	13.62	65.26	5.73	38.4	16.63	18.29	47.84	4.17	37.32	13.93	23.08	10.63	10.79	17.64	16.88	15.45	11.73	10.47	20.71	14.35
CCDC85A	1.07	0.77	1.17	4.58	2.41	0.39	1.13	1.0	2.63	0.3	2.84	5.28	0.43	9.34	1.75	29.06	11.91	11.21	21.63	24.11	12.64	53.95	15.45	15.22	10.96	16.75	37.59	38.67	71.5	23.76	66.18	39.5	40.64	29.91	29.91	88.88	90.77	20.41	34.02	111.99	36.79	23.76	9.34	38.67	27.64	35.5	15.91	36.27	24.99	18.29	24.28	43.63	53.57	14.78	12.64	22.59	32.13	11.82	18.56	24.99	37.85	51.35	22.26	52.08	16.15
CD200	12.93	70.01	141.02	38.4	17.9	39.22	52.82	13.03	36.53	10.79	37.85	181.28	4.17	154.42	242.88	332.14	182.55	305.55	915.51	473.41	988.12	764.36	785.88	503.95	358.54	808.0	780.44	665.29	796.86	723.08	1268.46	733.19	738.29	1127.35	575.03	470.14	941.27	432.53	808.0	775.05	693.58	825.0	603.67	728.11	842.36	483.38	688.78	961.07	1023.0	500.46	532.74	802.41	395.18	775.05	381.68	587.13	708.18	642.59	796.86	748.61	559.28	603.67	575.03	688.78	612.11
CDC42BPG	10.24	2.71	15.22	1.93	8.58	19.68	22.75	19.97	4.62	45.85	24.63	11.64	9.56	182.55	121.79	406.31	271.48	346.29	540.19	473.41	423.61	642.59	395.18	463.65	195.72	348.71	493.56	220.32	583.07	220.32	612.11	507.46	470.14	178.77	575.03	236.21	198.47	339.14	723.08	493.56	334.46	223.41	450.94	429.54	547.75	420.68	351.14	529.06	457.25	132.44	423.61	486.75	121.79	470.14	336.79	441.64	323.03	486.75	476.71	353.59	336.79	497.0	248.0	432.53	480.04
CDK14	150.17	89.51	40.64	68.55	101.54	80.57	82.29	150.17	132.44	209.84	75.64	165.57	84.04	78.34	66.65	157.68	438.59	144.01	363.56	316.37	314.17	281.09	183.82	170.25	616.37	212.78	301.33	265.87	400.71	138.1	275.28	309.83	283.05	198.47	260.38	339.14	299.25	205.5	241.19	476.71	217.27	100.13	211.31	289.02	327.56	368.65	118.43	351.14	301.33	277.2	314.17	406.31	381.68	223.41	191.67	295.11	209.84	195.72	285.03	156.59	209.84	318.57	208.38	381.68	197.09
CEP170	141.02	112.77	175.07	97.36	215.77	123.5	91.41	97.36	120.1	95.34	166.73	379.04	48.52	559.28	323.03	595.34	503.95	872.1	587.13	603.67	620.67	733.19	441.64	231.32	299.25	351.14	693.58	728.11	651.58	536.45	988.12	733.19	521.76	1583.71	665.29	988.12	669.92	476.71	480.04	748.61	480.04	291.04	400.71	532.74	612.11	521.76	327.56	514.56	444.72	307.69	665.29	579.04	363.56	638.15	521.76	507.46	563.18	665.29	463.65	503.95	316.37	693.58	406.31	525.39	743.43
CMTM6	348.71	454.09	457.25	708.18	1104.13	1030.12	507.46	289.02	536.45	521.76	679.29	1350.18	791.35	575.03	4903.87	854.13	483.38	500.46	1242.34	1340.84	1322.37	1594.73	1127.35	802.41	575.03	988.12	1378.57	1051.79	1233.75	759.08	1733.13	1037.29	1183.45	941.27	1304.15	808.0	660.68	759.08	1331.57	1135.2	1088.92	1135.2	1044.52	1073.91	1407.55	1030.12	890.44	1175.27	1437.15	587.13	974.5	1295.13	738.29	1250.98	947.83	1551.09	1551.09	1313.23	1378.57	830.75	1119.56	1286.18	825.0	1242.34	995.0
COL8A1	7.17	28.45	75.64	58.71	42.41	23.42	54.33	7.11	45.21	12.09	32.13	193.01	7.88	412.0	260.38	860.08	343.89	934.76	4268.94	1883.54	3081.75	3467.27	1963.57	1697.45	444.72	1277.29	2609.3	1191.69	2816.11	748.61	3146.52	4095.0	2434.5	1015.93	2434.5	1081.39	1191.69	1119.56	2163.77	4836.35	1519.15	441.64	1806.78	2287.2	3039.3	2573.36	1066.48	2627.46	3419.52	412.0	2133.97	2758.13	1605.83	1870.53	1757.34	2485.67	2609.3	3235.01	2090.03	1936.53	1242.34	2485.67	1397.83	2976.74	2796.65
CREB3L2	287.01	142.01	145.02	153.34	220.32	130.6	159.9	145.02	165.57	151.22	149.12	373.81	127.0	209.84	392.44	587.13	684.02	825.0	934.76	884.29	890.44	1378.57	866.07	902.89	954.43	1088.92	1111.82	2178.83	1096.5	718.08	1331.57	954.43	954.43	934.76	1378.57	1870.53	961.07	656.11	1447.15	1250.98	525.39	941.27	698.41	612.11	1066.48	808.0	536.45	738.29	954.43	1322.37	872.1	866.07	1639.59	759.08	463.65	878.17	1127.35	921.88	723.08	813.63	708.18	1216.75	796.86	947.83	825.0
CTSB	73730.83	27938.14	9409.14	36357.37	21768.19	13215.02	15180.22	11584.24	10225.32	6337.83	14163.58	82378.63	22535.88	184082.4	193234.41	378516.38	365622.68	228208.61	301123.38	267651.2	253213.41	145432.49	221968.2	215898.44	307450.64	198667.0	197294.7	290865.98	189257.69	311742.51	154794.07	174152.51	214407.12	389157.95	182810.84	282912.21	220434.95	242898.5	201440.3	204252.32	327241.36	391864.76	200048.85	200048.85	168220.2	201440.3	185362.8	299043.36	180294.02	428815.23	197294.7	208544.12	260332.24	218912.29	175363.84	226632.25	212926.09	241220.67	209994.66	208544.12	288856.81	214407.12	180294.02	163620.18	236256.4
CTTNBP2NL	21.32	25.54	69.03	30.78	28.86	29.27	38.95	14.78	28.86	38.95	39.79	153.34	15.34	109.66	163.28	186.4	198.47	136.19	269.6	189.02	185.11	341.51	158.79	134.3	98.04	120.1	262.2	121.79	277.2	165.57	271.48	325.29	229.72	169.07	265.87	204.07	158.79	105.89	237.86	293.07	194.36	105.15	144.01	205.5	205.5	199.85	155.5	206.94	253.23	144.01	169.07	202.66	162.14	173.85	124.37	198.47	256.78	199.85	223.41	149.12	251.48	285.03	156.59	265.87	208.38
CX3CL1	110.43	97.36	599.49	76.71	146.03	201.25	114.36	53.19	214.27	147.06	119.26	373.81	511.0	209.84	194.36	1111.82	1561.89	1561.89	1529.73	1870.53	1199.98	2502.97	1674.06	1437.15	688.78	802.41	2520.38	1183.45	2335.28	1529.73	2417.67	2224.63	1963.57	1350.18	1662.49	1322.37	813.63	1127.35	2400.97	2119.22	1617.0	1104.13	1427.22	1529.73	1923.14	1259.69	753.83	1242.34	1304.15	995.0	1277.29	934.76	866.07	1540.37	540.19	1359.57	954.43	1447.15	819.3	1857.6	825.0	1467.37	1991.0	1208.34	1437.15
DCBLD2	96.01	105.15	52.45	82.29	66.18	75.64	43.94	77.25	70.01	55.89	56.68	108.14	64.8	312.0	78.89	497.0	420.68	417.77	1175.27	708.18	1295.13	967.76	954.43	612.11	466.88	669.92	866.07	417.77	669.92	361.04	896.64	981.29	1059.11	486.75	1437.15	373.81	447.82	420.68	1417.35	791.35	543.96	379.04	902.89	854.13	848.22	587.13	438.59	967.76	1151.06	429.54	708.18	947.83	454.09	890.44	435.55	1008.9	1378.57	1427.22	693.58	599.49	567.1	769.69	426.57	1066.48	1259.69
DOCK11	29.7	13.83	35.0	4.7	12.74	12.45	16.88	39.79	25.17	3.69	7.88	112.77	3.76	127.0	66.18	343.89	113.56	120.1	389.72	320.8	387.02	423.61	204.07	239.52	95.34	275.28	275.28	153.34	376.41	205.5	438.59	341.51	244.57	283.05	329.84	217.27	275.28	241.19	253.23	363.56	275.28	143.01	191.67	258.57	387.02	381.68	206.94	339.14	376.41	98.04	381.68	371.22	163.28	287.01	169.07	409.15	273.37	273.37	273.37	224.97	185.11	426.57	170.25	503.95	234.57
DPYSL3	36.79	36.79	138.1	22.75	52.82	42.41	76.17	22.26	42.11	15.91	21.47	358.54	34.02	723.08	314.17	1037.29	70.51	157.68	2895.31	995.0	848.22	2573.36	1457.23	1674.06	69.52	669.92	3039.3	150.17	1378.57	1242.34	2240.11	3103.19	2209.26	460.44	2287.2	155.5	1639.59	165.57	2004.85	2255.7	3768.09	3146.52	1685.71	1806.78	1963.57	1199.98	791.35	1781.89	1870.53	151.22	842.36	1457.23	169.07	1073.91	162.14	1286.18	2417.67	1991.0	1781.89	1794.29	3280.18	2090.03	376.41	2351.53	1844.76
ELK3	134.3	125.24	299.25	141.02	134.3	135.24	154.42	17.64	153.34	53.95	154.42	447.82	23.93	249.73	346.29	555.41	629.35	460.44	1183.45	909.17	802.41	954.43	928.3	718.08	265.87	540.19	1250.98	412.0	1119.56	684.02	718.08	1467.37	1119.56	559.28	1350.18	802.41	463.65	476.71	1295.13	981.29	638.15	341.51	878.17	1059.11	988.12	967.76	860.08	1143.1	988.12	381.68	647.07	1066.48	480.04	941.27	543.96	1250.98	1369.04	1088.92	967.76	607.87	830.75	954.43	629.35	1081.39	1127.35
EPHA4	12.55	16.15	28.04	28.04	10.31	6.26	13.62	5.96	27.44	1.75	21.32	66.65	8.85	84.63	46.5	122.64	83.45	155.5	1199.98	791.35	988.12	2537.92	1119.56	764.36	56.28	612.11	1498.22	178.77	1088.92	150.17	2240.11	1233.75	1651.0	98.04	1561.89	195.72	255.0	429.54	1477.58	1044.52	161.02	137.14	1259.69	1088.92	2004.85	591.22	406.31	1066.48	1896.65	109.66	708.18	915.51	105.89	1001.93	612.11	1096.5	1369.04	1487.87	921.88	540.19	759.08	1467.37	153.34	1477.58	1127.35
