	TCGA.BP.4974.01A.01R.1334.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
CC2D2B	34.26	95.34	147.06	125.24	97.36	208.38	129.69	190.34	75.11	150.17	96.68	37.32	226.54	134.3	8.99	7.17	25.91	11.47	9.63	4.46	10.16	8.06	21.01	6.57	1.79	9.06	9.7	3.5	6.84	7.88	3.44	8.51	9.93	6.94	4.94	3.59	5.11	5.06	9.41
CDH13	1870.53	143.01	595.34	258.57	361.04	353.59	356.05	575.03	423.61	175.07	395.18	890.44	258.57	123.5	64.8	50.27	38.95	147.06	36.01	14.35	75.11	45.85	77.79	19.25	144.01	38.95	39.79	17.77	12.83	47.17	13.22	42.71	33.78	45.85	10.96	67.12	31.22	32.36	100.83
CDH6	854.13	120.1	379.04	95.34	129.69	165.57	112.77	128.79	170.25	120.1	165.57	175.07	141.02	70.01	27.25	23.25	40.93	77.25	16.15	13.83	108.9	10.96	103.69	39.5	51.35	94.01	9.85	17.25	7.17	20.86	11.04	23.08	15.8	8.58	9.27	67.59	6.73	16.51	26.67
CDR2L	368.65	121.79	180.02	72.52	162.14	162.14	156.59	111.21	221.86	127.0	116.78	146.03	147.06	110.43	60.82	58.71	28.24	78.89	53.19	59.97	118.43	53.19	70.51	60.39	81.14	57.08	38.67	63.45	43.63	47.17	39.22	36.79	32.13	33.3	43.32	90.77	63.0	60.82	80.01
CHRM3	175.07	73.03	99.43	64.8	82.29	106.63	72.01	104.42	126.12	74.06	63.0	111.99	158.79	53.95	18.56	30.78	14.24	141.02	45.53	7.88	73.03	23.76	18.7	31.0	36.01	17.13	11.91	8.92	9.34	25.17	6.11	11.55	9.7	7.88	9.85	33.78	28.45	3.5	63.45
COL15A1	3491.39	1286.18	1583.71	708.18	1208.34	974.5	988.12	660.68	1313.23	651.58	412.0	872.1	693.58	616.37	189.02	241.19	72.01	587.13	140.04	237.86	854.13	198.47	620.67	229.72	460.44	336.79	143.01	295.11	128.79	271.48	126.12	154.42	87.65	175.07	137.14	273.37	166.73	111.99	693.58
COL21A1	79.45	82.87	126.12	64.34	108.9	136.19	220.32	129.69	120.1	100.13	83.45	281.09	146.03	46.18	29.06	75.64	21.01	166.73	18.03	10.79	121.79	27.44	68.55	34.75	34.02	55.1	12.09	17.77	10.96	14.56	16.27	5.36	19.53	15.91	31.0	39.5	15.56	44.57	69.52
COL5A3	836.53	255.0	348.71	285.03	303.44	271.48	583.07	417.77	358.54	262.2	166.73	406.31	373.81	246.28	153.34	176.29	33.54	237.86	112.77	94.67	283.05	105.15	106.63	53.95	87.03	61.68	120.94	99.43	63.89	78.34	135.24	53.95	58.3	56.68	63.0	112.77	149.12	29.7	150.17
COX4I2	3716.2	1340.84	1457.23	607.87	718.08	1572.76	1721.16	1286.18	2061.24	780.44	753.83	1111.82	941.27	769.69	267.73	366.09	447.82	493.56	158.79	67.12	387.02	189.02	450.94	381.68	327.56	221.86	114.36	199.85	423.61	198.47	69.03	166.73	141.02	529.06	112.77	318.57	204.07	143.01	376.41
DGKB	11.3	4.54	8.99	1.73	7.11	5.19	2.43	8.06	3.06	7.34	4.17	8.06	5.77	5.92	1.03	1.68	0.15	7.69	1.85	0.6	3.99	0.42	1.68	0.37	2.53	4.03	1.04	3.17	0.62	2.66	2.73	1.07	0.39	1.55	2.39	1.66	0.42	0.56	0.58
DOCK4	547.75	94.67	239.52	144.01	158.79	158.79	167.9	156.59	295.11	138.1	140.04	164.42	164.42	100.83	57.89	69.03	118.43	150.17	92.7	68.55	132.44	82.87	92.7	74.06	105.89	81.71	78.89	48.87	27.84	105.15	82.87	52.82	77.25	26.47	44.89	96.01	43.94	67.12	61.68
DUSP6	4575.41	1519.15	9215.48	4937.99	3955.48	3395.89	3467.27	2835.7	8191.0	1733.13	1628.26	2434.5	4298.64	2758.13	1388.16	473.41	536.45	2537.92	412.0	239.52	3349.13	698.41	1662.49	5872.48	2255.7	2319.15	403.5	848.22	483.38	1135.2	327.56	884.29	890.44	244.57	228.13	1233.75	896.64	1242.34	1030.12
DYSF	2591.27	414.87	1008.9	563.18	769.69	988.12	748.61	961.07	1096.5	656.11	764.36	954.43	796.86	283.05	142.01	343.89	82.29	500.46	246.28	258.57	441.64	181.28	267.73	131.51	423.61	177.53	195.72	178.77	128.79	275.28	88.26	121.79	145.02	214.27	120.1	297.17	215.77	94.67	346.29
ENG	9945.68	6164.49	8305.36	3372.43	6887.62	11345.82	6471.02	4450.27	7081.29	6983.79	4836.35	5255.91	6516.03	5517.27	1883.54	1923.14	358.54	3794.3	961.07	2591.27	3589.58	2384.37	1806.78	1159.07	2816.11	1628.26	1594.73	2485.67	1561.89	1407.55	1242.34	2739.08	1183.45	1030.12	1135.2	5112.16	1844.76	1304.15	2032.85
EXOC3L1	769.69	264.03	426.57	217.27	339.14	463.65	343.89	249.73	351.14	287.01	295.11	246.28	341.51	248.0	131.51	197.09	21.01	316.37	139.07	114.36	267.73	152.28	162.14	98.04	163.28	167.9	97.36	124.37	112.77	112.77	113.56	39.22	75.64	118.43	88.26	163.28	152.28	119.26	183.82
EXOC3L2	1936.53	921.88	848.22	802.41	1119.56	1963.57	1030.12	1331.57	1487.87	1015.93	1051.79	842.36	1304.15	1015.93	583.07	669.92	80.57	1437.15	234.57	470.14	688.78	669.92	642.59	189.02	728.11	307.69	466.88	353.59	363.56	368.65	201.25	80.57	218.79	406.31	334.46	665.29	314.17	277.2	981.29
FLT1	2777.33	947.83	1183.45	1331.57	954.43	1427.22	872.1	1259.69	1769.57	941.27	1331.57	1388.16	1697.45	902.89	363.56	486.75	470.14	896.64	318.57	246.28	995.0	441.64	325.29	1151.06	743.43	397.93	228.13	441.64	325.29	426.57	323.03	457.25	334.46	209.84	400.71	728.11	490.14	454.09	620.67
FOXD2	39.79	7.75	18.43	1.22	9.34	8.0	10.39	7.82	12.55	7.11	8.51	13.52	8.65	5.28	2.58	4.86	3.66	3.44	1.99	1.36	3.76	2.94	5.45	0.92	5.32	3.41	2.2	2.51	2.23	2.01	0.58	2.48	1.38	0.91	2.56	7.34	2.07	2.03	4.03
FUT1	106.63	42.11	44.57	54.33	71.0	94.67	85.82	89.51	164.42	101.54	76.71	64.8	82.29	74.06	36.79	34.26	17.77	94.01	31.0	32.36	59.55	27.44	44.89	19.97	45.53	51.71	25.35	26.1	26.47	31.67	27.44	15.91	32.36	27.84	27.05	37.05	33.54	22.92	33.06
GIPC3	371.22	231.32	228.13	178.77	187.71	246.28	123.5	190.34	244.57	208.38	144.01	175.07	186.4	116.78	35.0	55.89	9.48	89.51	49.56	24.81	84.04	35.25	59.55	22.26	74.58	63.0	32.59	29.06	43.02	35.25	26.1	16.03	26.86	25.72	30.56	81.71	43.02	29.91	59.13
GNG10	1477.58	1175.27	1143.1	1277.29	1151.06	1662.49	1250.98	1781.89	1359.57	1143.1	1225.22	2148.82	1135.2	954.43	915.51	902.89	551.56	1233.75	647.07	830.75	1143.1	780.44	642.59	1023.0	866.07	1096.5	813.63	1030.12	902.89	890.44	748.61	753.83	679.29	791.35	884.29	775.05	860.08	1143.1	884.29
GPR176	921.88	260.38	260.38	220.32	232.94	218.79	242.88	161.02	265.87	212.78	157.68	395.18	244.57	152.28	62.12	50.98	76.17	112.77	82.87	47.17	165.57	71.5	95.34	76.17	139.07	98.04	30.34	45.21	27.44	80.57	61.68	52.82	49.56	28.24	47.17	155.5	53.95	69.52	61.68
GUCY1B3	1457.23	214.27	277.2	177.53	183.82	244.57	239.52	253.23	466.88	211.31	170.25	291.04	256.78	159.9	55.89	90.14	50.63	128.79	50.98	48.18	202.66	120.1	94.67	81.14	157.68	87.65	42.71	83.45	50.63	171.45	33.78	96.01	89.51	37.85	41.81	183.82	82.29	53.19	105.89
HSPG2	12160.22	4123.49	4903.87	2573.36	5147.73	5555.65	3874.05	3665.02	5872.48	4239.45	3419.52	4419.52	4152.18	3280.18	2163.77	2178.83	1008.9	4388.98	1350.18	1561.89	3639.7	2193.99	2777.33	1322.37	2075.59	2287.2	1561.89	1487.87	1242.34	1208.34	1806.78	1159.07	1233.75	1191.69	1583.71	2976.74	2209.26	2047.0	2627.46
ITGA6	2319.15	819.3	1331.57	555.41	743.43	796.86	629.35	866.07	1277.29	473.41	642.59	1096.5	872.1	429.54	271.48	356.05	172.65	540.19	400.71	206.94	620.67	361.04	438.59	264.03	540.19	387.02	325.29	303.44	221.86	371.22	353.59	223.41	339.14	228.13	212.78	279.14	285.03	264.03	511.0
KCNN3	236.21	57.49	89.51	46.84	51.35	100.13	43.94	94.01	127.0	62.56	63.45	88.88	72.52	45.53	24.28	43.32	34.75	47.17	13.62	17.51	60.39	30.34	52.45	24.99	72.52	25.35	19.97	20.11	13.22	35.0	26.67	4.82	23.93	10.31	10.08	53.19	18.7	32.13	55.49
KDR	3690.52	1183.45	1340.84	1572.76	1183.45	1628.26	1250.98	1991.0	2090.03	1242.34	1295.13	2018.8	2061.24	1322.37	825.0	1037.29	47.5	2148.82	669.92	395.18	1225.22	896.64	1233.75	543.96	1081.39	633.73	540.19	780.44	490.14	728.11	988.12	656.11	332.14	551.56	532.74	1427.22	684.02	256.78	1295.13
LAMA4	2609.3	559.28	961.07	642.59	836.53	884.29	915.51	1051.79	1096.5	674.59	624.99	1015.93	743.43	423.61	223.41	256.78	198.47	575.03	218.79	279.14	934.76	249.73	571.05	287.01	387.02	507.46	228.13	206.94	152.28	351.14	197.09	166.73	130.6	159.9	103.69	285.03	277.2	165.57	454.09
LPAR6	1407.55	728.11	579.04	599.49	753.83	738.29	1073.91	684.02	890.44	780.44	830.75	921.88	988.12	764.36	366.09	397.93	260.38	890.44	281.09	236.21	638.15	371.22	447.82	599.49	490.14	392.44	249.73	346.29	353.59	536.45	264.03	275.28	389.72	248.0	332.14	435.55	381.68	371.22	718.08
LRRC4B	116.78	102.97	36.27	63.45	87.65	78.89	108.14	86.43	52.08	63.89	55.89	52.08	84.63	56.28	11.82	43.32	29.91	33.3	18.97	17.64	55.89	16.51	44.89	7.88	102.97	11.55	14.78	23.59	13.52	7.69	9.27	13.22	11.55	10.24	10.88	66.18	17.51	8.45	30.56
LYSMD2	848.22	336.79	277.2	265.87	346.29	490.14	490.14	444.72	366.09	339.14	353.59	341.51	450.94	287.01	185.11	112.77	116.78	379.04	127.0	194.36	289.02	197.09	189.02	159.9	307.69	217.27	82.87	206.94	277.2	273.37	92.7	108.9	144.01	147.06	115.16	341.51	189.02	246.28	176.29
MAP3K11	1551.09	1191.69	1447.15	1023.0	1295.13	1561.89	1250.98	1015.93	1331.57	1119.56	1143.1	1051.79	1388.16	1143.1	947.83	796.86	638.15	1081.39	651.58	688.78	1233.75	743.43	1023.0	988.12	1023.0	890.44	713.11	819.3	1030.12	674.59	878.17	718.08	583.07	995.0	660.68	1066.48	813.63	866.07	1008.9
MAP4K4	2271.4	629.35	866.07	647.07	674.59	457.25	616.37	785.88	854.13	595.34	480.04	1088.92	665.29	493.56	287.01	400.71	316.37	346.29	403.5	547.75	536.45	361.04	273.37	223.41	423.61	392.44	307.69	384.34	128.79	460.44	353.59	356.05	287.01	307.69	291.04	387.02	525.39	236.21	255.0
MRVI1	785.88	212.78	283.05	90.77	161.02	287.01	120.1	136.19	251.48	191.67	157.68	220.32	185.11	138.1	82.29	77.79	43.02	82.87	74.58	46.84	149.12	102.97	76.71	84.63	113.56	59.13	35.0	52.45	24.81	95.34	45.53	105.89	51.35	32.13	44.25	101.54	46.84	85.82	41.81
NDUFA4L2	20170.07	2468.49	2855.44	1286.18	1896.65	3081.75	3639.7	2104.58	3467.27	1745.2	1832.01	2895.31	2384.37	1963.57	543.96	480.04	1242.34	1467.37	309.83	303.44	1111.82	624.99	866.07	775.05	961.07	607.87	348.71	426.57	500.46	563.18	289.02	305.55	154.42	896.64	470.14	684.02	540.19	395.18	915.51
NHSL2	139.07	85.82	123.5	149.12	65.26	44.25	50.27	59.55	82.29	53.19	48.52	48.18	73.03	66.65	12.27	39.5	27.25	73.54	18.97	10.39	67.12	30.12	37.32	31.22	52.45	39.79	19.11	16.63	10.0	26.1	37.85	19.53	15.56	4.39	19.25	23.59	17.9	17.64	34.26
NOTCH1	836.53	305.55	409.15	271.48	318.57	341.51	239.52	327.56	454.09	269.6	248.0	301.33	336.79	260.38	122.64	143.01	60.39	325.29	181.28	84.04	273.37	148.09	211.31	100.83	260.38	109.66	120.94	131.51	97.36	156.59	111.21	108.9	108.9	63.45	94.67	189.02	115.97	99.43	180.02
NOTCH3	4268.94	947.83	1487.87	684.02	981.29	1059.11	1119.56	902.89	1467.37	1242.34	860.08	1295.13	1250.98	708.18	289.02	435.55	241.19	476.71	447.82	229.72	718.08	490.14	454.09	329.84	738.29	307.69	172.65	301.33	153.34	339.14	217.27	279.14	231.32	151.22	172.65	703.28	327.56	224.97	444.72
NOTCH4	3146.52	591.22	1242.34	665.29	1127.35	1268.46	915.51	1066.48	1073.91	872.1	854.13	934.76	1151.06	713.11	327.56	343.89	307.69	967.76	438.59	212.78	559.28	397.93	339.14	476.71	559.28	381.68	189.02	217.27	426.57	500.46	208.38	248.0	275.28	206.94	303.44	529.06	221.86	384.34	403.5
NOVA2	555.41	122.64	229.72	109.66	201.25	246.28	182.55	193.01	234.57	147.06	173.85	172.65	212.78	126.12	28.86	63.0	21.01	147.06	61.25	55.89	111.21	47.5	69.52	30.34	118.43	66.18	26.67	41.81	21.94	75.64	25.35	24.63	29.7	25.35	37.32	62.12	44.57	55.1	55.89
NRARP	995.0	123.5	181.28	206.94	426.57	193.01	316.37	155.5	429.54	301.33	339.14	420.68	281.09	169.07	29.48	70.51	175.07	297.17	33.3	46.18	209.84	106.63	57.08	61.25	105.89	34.26	47.5	53.95	78.34	123.5	33.3	44.25	57.89	37.05	32.36	163.28	37.05	43.63	80.01
NRP1	6471.02	1159.07	1487.87	1467.37	1268.46	1651.0	1191.69	1769.57	2133.97	1242.34	1498.22	1870.53	1697.45	902.89	633.73	775.05	289.02	1359.57	713.11	612.11	1733.13	909.17	1015.93	567.1	1651.0	759.08	642.59	884.29	373.81	813.63	656.11	547.75	316.37	323.03	463.65	775.05	785.88	376.41	1143.1
NRP2	1199.98	981.29	1143.1	567.1	830.75	684.02	1127.35	642.59	1331.57	988.12	567.1	1119.56	1896.65	476.71	93.35	124.37	166.73	603.67	376.41	158.79	1583.71	228.13	454.09	157.68	476.71	409.15	190.34	253.23	50.63	193.01	262.2	77.25	89.51	83.45	50.98	204.07	332.14	67.59	295.11
OAZ2	5183.54	3515.68	3018.3	3515.68	3235.01	3168.41	3349.13	3540.14	3060.45	3419.52	3794.3	3742.05	3540.14	3303.0	2739.08	2895.31	2758.13	3820.7	2777.33	2502.97	4328.55	2434.5	3124.78	3018.3	3257.52	3190.46	2178.83	3018.3	2796.65	2915.45	2319.15	2664.15	2739.08	2502.97	2209.26	3928.15	2645.74	3103.19	2956.17
PCDH12	1073.91	279.14	441.64	283.05	420.68	403.5	420.68	406.31	642.59	384.34	397.93	543.96	409.15	232.94	83.45	111.99	28.24	135.24	101.54	84.04	140.04	107.38	88.26	45.53	368.65	103.69	72.52	85.82	58.3	157.68	44.89	25.35	97.36	63.89	83.45	130.6	87.65	68.07	102.25
PDE7B	242.88	348.71	248.0	265.87	164.42	176.29	273.37	191.67	314.17	194.36	145.02	142.01	251.48	181.28	111.21	72.52	123.5	470.14	28.04	77.25	265.87	64.34	143.01	226.54	151.22	118.43	60.82	56.68	49.21	43.32	26.28	37.05	30.78	38.95	35.76	151.22	68.55	69.52	133.36
PDGFRB	6037.61	2061.24	2287.2	1268.46	1304.15	1322.37	1857.6	1709.26	2163.77	1551.09	1059.11	1769.57	1769.57	1183.45	669.92	947.83	860.08	947.83	579.04	718.08	1286.18	791.35	1008.9	265.87	1519.15	567.1	669.92	981.29	264.03	872.1	363.56	363.56	629.35	271.48	291.04	1037.29	1008.9	583.07	802.41
PIK3C2B	842.36	211.31	236.21	273.37	279.14	204.07	199.85	327.56	237.86	239.52	283.05	361.04	287.01	199.85	165.57	217.27	88.26	312.0	194.36	198.47	279.14	214.27	208.38	158.79	341.51	87.65	121.79	113.56	102.25	368.65	137.14	98.73	143.01	94.67	164.42	236.21	157.68	142.01	205.5
PLVAP	32767.0	13968.57	16496.96	14262.1	13872.08	25005.23	16269.83	21768.19	22225.61	14163.58	16843.62	11504.21	18052.61	12853.63	10368.08	7642.41	2319.15	16727.26	5954.47	4268.94	11189.6	6426.31	10154.69	7911.95	16383.0	4972.34	3716.2	4607.24	5403.7	5831.91	3235.01	3540.14	4268.94	6337.83	4639.29	11189.6	6935.54	4869.99	12160.22
PLXND1	10959.3	3443.31	5913.33	2739.08	3639.7	4358.66	4010.71	4298.64	6561.36	3820.7	3124.78	8078.22	4869.99	2816.11	1340.84	1617.0	371.22	2591.27	1081.39	1208.34	2451.44	1651.0	1757.34	723.08	2090.03	1745.2	1143.1	1001.93	872.1	1397.83	915.51	607.87	854.13	674.59	928.3	1487.87	1233.75	1175.27	1709.26
RAPGEF4	764.36	204.07	209.84	236.21	264.03	346.29	314.17	314.17	336.79	201.25	320.8	267.73	264.03	194.36	49.21	113.56	34.26	162.14	98.73	70.51	172.65	82.87	90.77	102.97	106.63	98.04	76.17	48.52	27.05	125.24	61.68	77.79	42.41	29.91	57.08	107.38	96.68	83.45	128.79
RAPGEF5	1721.16	226.54	457.25	253.23	417.77	256.78	358.54	450.94	802.41	209.84	348.71	426.57	255.0	189.02	94.67	49.91	158.79	144.01	103.69	64.8	204.07	81.14	156.59	143.01	162.14	182.55	91.41	80.57	29.91	131.51	50.27	89.51	129.69	32.13	70.51	120.1	72.52	134.3	82.87
RARG	764.36	674.59	967.76	651.58	665.29	733.19	813.63	796.86	1242.34	866.07	713.11	708.18	988.12	830.75	595.34	507.46	358.54	934.76	299.25	299.25	791.35	441.64	981.29	361.04	532.74	629.35	500.46	346.29	493.56	366.09	353.59	366.09	265.87	255.0	323.03	703.28	264.03	540.19	1008.9
RASL12	480.04	256.78	361.04	97.36	190.34	242.88	269.6	197.09	277.2	204.07	127.89	273.37	244.57	173.85	50.98	127.0	48.52	77.79	44.89	19.53	209.84	87.65	111.99	65.26	142.01	75.11	27.05	46.5	67.59	84.63	32.13	113.56	31.0	29.91	37.59	127.89	43.32	47.5	118.43
RDH5	567.1	764.36	2209.26	688.78	373.81	616.37	1417.35	301.33	1388.16	674.59	226.54	165.57	1023.0	466.88	15.45	102.25	7.88	165.57	149.12	29.91	156.59	209.84	91.41	121.79	125.24	81.71	82.29	55.1	126.12	211.31	109.66	66.65	76.71	58.3	25.35	123.5	120.94	72.52	215.77
RGCC	5831.91	5995.9	3124.78	3901.01	3820.7	15824.9	5479.15	6983.79	7081.29	5791.62	4972.34	3589.58	6079.61	4769.75	3491.39	3212.66	616.37	4095.0	1457.23	3540.14	5711.87	2875.3	2956.17	3349.13	3168.41	3794.3	1674.06	2573.36	3639.7	1030.12	1883.54	2047.0	1208.34	2163.77	2664.15	5403.7	2935.74	3081.75	4010.71
RGS5	54727.32	8191.0	9279.58	8840.04	7382.04	9876.98	10014.87	8363.13	16611.71	8191.0	9540.5	13399.51	10808.41	6745.86	3257.52	2400.97	2701.35	8022.41	2367.9	1437.15	6516.03	3874.05	2018.8	2645.74	6381.92	3768.09	1304.15	1819.35	1437.15	1991.0	1331.57	1781.89	941.27	1561.89	1233.75	5831.91	2627.46	1662.49	2591.27
RP11-248J23.6	12.27	28.04	56.68	57.89	24.28	39.22	28.86	60.82	23.93	29.91	14.56	19.11	82.87	42.41	3.08	5.5	13.12	2.94	2.1	0.21	7.69	2.73	4.7	0.62	0.24	0.0	2.12	1.2	1.16	2.86	0.47	3.76	0.22	0.0	7.46	3.38	3.5	1.69	4.17
RP11-248J23.7	17.64	27.84	71.0	47.84	20.26	34.26	32.82	41.81	45.85	23.08	31.22	16.03	106.63	36.79	0.0	0.0	7.57	2.97	0.0	2.36	8.85	8.38	3.38	2.51	3.44	0.0	0.0	0.0	0.0	1.69	0.0	0.0	3.08	2.01	4.78	3.11	12.18	3.76	0.0
RP11-690P14.4	15.56	24.28	42.71	31.45	23.08	40.64	35.5	52.82	21.63	33.54	25.72	11.04	66.18	33.3	5.36	3.2	9.34	4.13	0.0	3.06	6.31	4.98	2.89	0.54	0.0	2.53	1.95	2.34	1.68	1.38	0.37	2.94	3.72	0.06	0.93	4.43	3.96	3.41	3.26
SEPT4	3257.52	698.41	748.61	466.88	638.15	718.08	1127.35	603.67	733.19	624.99	473.41	854.13	620.67	638.15	318.57	400.71	173.85	620.67	283.05	297.17	454.09	336.79	435.55	269.6	629.35	346.29	314.17	312.0	215.77	226.54	197.09	291.04	212.78	164.42	212.78	624.99	208.38	241.19	483.38
SH2B3	1662.49	271.48	444.72	309.83	316.37	283.05	318.57	339.14	563.18	293.07	323.03	480.04	320.8	256.78	164.42	173.85	120.94	303.44	136.19	143.01	356.05	201.25	239.52	121.79	341.51	180.02	173.85	232.94	97.36	180.02	142.01	109.66	99.43	133.36	81.71	265.87	157.68	164.42	199.85
