	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.MP.A4T9.01A.11R.A24X.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.98.A53C.01A.11R.A262.07
C22orf43	5.59	1.3	13.03	3.72	15.22	36.79	6.62	15.0	19.82	4.86	65.26	33.54	8.65	35.5	16.88	0.38	6.94	4.82	3.14	3.29	10.0	2.25	3.2	4.5	1.58	1.77	0.06	4.54	6.73	7.4	0.09	3.38	4.78	0.82	3.66	0.0	3.44	2.78	2.66	0.69	0.95	3.26	6.52	4.54	21.32	10.0	10.31	9.56	15.34
CACNA1D	33.78	105.15	40.07	231.32	39.79	76.71	23.59	59.97	51.35	49.91	71.5	91.41	27.05	273.37	55.1	67.12	3.17	4.06	34.26	15.45	20.86	5.19	15.22	7.57	8.92	4.5	8.85	2.36	9.34	41.22	3.38	7.94	17.25	15.45	38.95	0.48	6.06	6.94	15.56	12.18	2.63	21.01	3.06	5.63	48.52	187.71	46.5	62.56	71.5
CCDC84	738.29	902.89	759.08	1159.07	651.58	555.41	1857.6	633.73	1447.15	842.36	1529.73	1378.57	660.68	2163.77	387.02	195.72	297.17	353.59	265.87	323.03	414.87	248.0	389.72	246.28	309.83	204.07	206.94	232.94	371.22	346.29	140.04	273.37	476.71	221.86	432.53	277.2	241.19	312.0	283.05	400.71	124.37	237.86	289.02	316.37	1151.06	1023.0	896.64	902.89	1143.1
CENPT	802.41	1457.23	1350.18	1242.34	693.58	669.92	2502.97	743.43	1175.27	802.41	1617.0	1594.73	860.08	1427.22	620.67	283.05	346.29	320.8	389.72	293.07	708.18	348.71	660.68	255.0	607.87	271.48	305.55	438.59	414.87	447.82	265.87	314.17	497.0	387.02	511.0	327.56	387.02	371.22	381.68	540.19	194.36	301.33	480.04	332.14	902.89	753.83	967.76	981.29	1259.69
CEP164	412.0	406.31	329.84	603.67	249.73	267.73	703.28	277.2	543.96	332.14	497.0	591.22	287.01	656.11	157.68	99.43	159.9	130.6	146.03	128.79	255.0	151.22	208.38	106.63	269.6	140.04	92.7	97.36	202.66	251.48	125.24	195.72	183.82	153.34	343.89	122.64	132.44	125.24	150.17	253.23	32.36	72.52	133.36	138.1	343.89	406.31	320.8	473.41	423.61
CEP89	255.0	420.68	361.04	483.38	92.7	305.55	353.59	305.55	283.05	295.11	277.2	279.14	129.69	403.5	127.89	81.14	67.59	28.24	59.55	43.32	69.52	53.19	48.52	54.33	65.26	51.35	32.36	48.18	75.11	50.63	23.25	50.27	38.95	83.45	53.57	112.77	34.26	47.5	71.0	43.63	56.28	17.64	62.56	63.45	305.55	432.53	591.22	314.17	221.86
CHKB-CPT1B	59.55	248.0	260.38	228.13	178.77	124.37	307.69	87.65	90.14	169.07	283.05	400.71	217.27	400.71	368.65	75.11	81.71	12.45	35.25	71.0	141.02	31.9	51.71	21.16	18.29	40.36	59.97	73.54	52.45	10.88	16.51	36.01	64.8	17.64	94.01	58.71	107.38	101.54	49.21	165.57	4.78	58.71	27.44	24.11	202.66	176.29	122.64	132.44	297.17
CLCN2	176.29	249.73	199.85	209.84	73.03	69.03	110.43	78.89	108.9	87.65	111.99	185.11	154.42	417.77	74.06	55.1	52.45	32.82	34.51	21.63	88.26	50.27	56.68	10.63	24.28	22.92	21.01	36.01	43.94	38.12	137.14	73.03	48.18	42.41	76.71	39.79	25.72	54.72	52.45	63.45	7.82	77.25	70.51	31.45	117.6	110.43	142.01	109.66	109.66
CLEC18A	42.71	18.43	16.39	44.57	23.08	1628.26	389.72	1167.14	2720.15	1963.57	2004.85	2915.45	6.67	50.27	35.0	0.39	8.38	3.2	4.78	13.52	12.27	5.77	7.63	3.66	3.72	7.75	3.99	10.08	1.57	11.47	0.58	9.85	2.73	10.88	15.0	12.36	0.0	7.06	10.39	2.51	2.18	1.0	6.31	6.94	16.27	71.0	64.8	23.42	19.97
CLEC18B	38.95	43.94	27.64	29.06	14.56	2555.58	432.53	571.05	4836.35	2485.67	4512.4	3820.7	10.88	82.87	37.85	4.98	14.56	0.2	6.26	11.64	8.19	7.63	5.73	4.86	0.57	4.66	5.32	2.73	16.51	17.77	3.06	10.88	16.39	7.88	8.25	5.23	8.99	20.86	8.0	5.5	0.0	1.69	1.83	4.24	68.55	223.41	27.25	27.64	11.04
CLHC1	88.26	198.47	201.25	140.04	76.17	169.07	146.03	108.9	119.26	156.59	221.86	177.53	55.1	199.85	89.51	12.93	17.77	4.03	37.05	49.56	29.91	19.97	35.5	36.53	18.7	38.67	9.34	13.03	25.17	30.78	11.73	33.06	33.54	39.79	17.13	35.5	38.67	21.78	73.54	66.18	9.85	13.52	15.45	54.72	145.02	163.28	102.25	253.23	111.99
CLK2	1151.06	3874.05	1594.73	2047.0	819.3	988.12	2468.49	1331.57	1857.6	1175.27	2075.59	1685.71	1304.15	3303.0	1104.13	305.55	273.37	423.61	595.34	329.84	896.64	438.59	616.37	253.23	780.44	346.29	358.54	366.09	480.04	595.34	341.51	595.34	591.22	444.72	830.75	229.72	441.64	389.72	656.11	819.3	87.65	208.38	514.56	376.41	1159.07	1540.37	1651.0	1151.06	1369.04
CPT1B	329.84	1417.35	1617.0	854.13	785.88	454.09	1745.2	406.31	620.67	703.28	1233.75	1498.22	819.3	2319.15	1119.56	205.5	197.09	124.37	215.77	218.79	693.58	110.43	312.0	132.44	123.5	178.77	198.47	231.32	231.32	50.63	86.43	244.57	336.79	100.13	224.97	275.28	279.14	303.44	187.71	490.14	31.67	279.14	148.09	136.19	536.45	660.68	563.18	674.59	941.27
CTC-236F12.4	14.35	19.53	4.5	10.16	5.92	21.63	15.22	14.03	9.27	17.64	10.0	17.25	4.9	35.25	3.66	0.0	0.0	0.0	0.0	0.0	0.0	6.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.55	0.0	0.0	0.0	0.0	0.0	5.92	0.0	0.0	0.0	0.0	0.0	0.0	4.1	6.46	10.55	1.93	2.34
DMPK	769.69	1096.5	921.88	1001.93	400.71	825.0	1540.37	559.28	1259.69	674.59	1870.53	830.75	656.11	1540.37	703.28	70.01	141.02	151.22	120.94	87.03	339.14	108.14	204.07	158.79	151.22	92.05	62.12	189.02	133.36	348.71	78.34	127.89	221.86	115.16	256.78	98.04	164.42	166.73	199.85	269.6	39.5	85.82	217.27	94.67	1277.29	915.51	529.06	1135.2	1023.0
DMTF1	718.08	1242.34	723.08	1104.13	595.34	1081.39	2573.36	1639.59	1605.83	1073.91	2645.74	2133.97	780.44	1044.52	669.92	205.5	212.78	164.42	312.0	221.86	343.89	183.82	265.87	205.5	237.86	223.41	197.09	135.24	173.85	435.55	62.12	285.03	255.0	285.03	309.83	195.72	318.57	384.34	353.59	429.54	49.56	181.28	255.0	154.42	1313.23	1127.35	1225.22	1008.9	1540.37
E2F5	218.79	379.04	218.79	339.14	73.54	115.16	231.32	212.78	108.14	94.67	77.79	91.41	92.05	450.94	69.52	25.35	41.81	32.13	31.67	45.85	41.52	21.01	55.89	64.8	35.0	20.56	73.03	96.68	22.26	29.48	25.17	34.75	75.64	30.56	19.97	34.51	41.81	26.67	75.11	28.86	12.74	21.32	86.43	58.3	181.28	223.41	178.77	144.01	197.09
EID2B	43.94	70.01	68.55	42.71	21.01	50.98	98.04	49.91	89.51	59.97	64.8	89.51	25.72	185.11	36.53	27.25	5.36	21.16	4.7	17.64	27.25	14.89	12.93	8.51	9.63	17.38	21.32	16.27	15.34	31.9	9.85	12.09	10.55	13.93	23.93	6.67	1.89	5.82	19.11	29.7	2.86	12.74	18.29	16.27	63.45	50.98	84.63	66.18	42.71
EML2	1030.12	1044.52	1359.57	1119.56	389.72	486.75	1487.87	432.53	802.41	579.04	842.36	769.69	563.18	2104.58	363.56	149.12	199.85	110.43	234.57	221.86	253.23	112.77	236.21	232.94	149.12	163.28	181.28	215.77	229.72	152.28	133.36	228.13	178.77	180.02	289.02	231.32	287.01	143.01	224.97	194.36	242.88	117.6	104.42	96.68	698.41	607.87	780.44	1088.92	836.53
FAM118A	587.13	708.18	353.59	1340.84	1088.92	1250.98	642.59	346.29	674.59	497.0	656.11	3443.31	379.04	3039.3	1044.52	567.1	100.83	202.66	214.27	81.14	183.82	708.18	162.14	158.79	107.38	134.3	205.5	587.13	116.78	218.79	420.68	872.1	185.11	165.57	205.5	95.34	140.04	273.37	152.28	1111.82	358.54	201.25	218.79	88.26	507.46	1286.18	1662.49	854.13	3874.05
FAM135A	223.41	126.12	293.07	366.09	102.97	206.94	295.11	397.93	154.42	105.89	371.22	202.66	100.83	346.29	122.64	51.71	48.87	67.12	82.87	77.25	43.94	54.72	85.22	90.77	29.48	49.56	52.08	92.7	48.87	94.01	34.75	38.95	58.3	86.43	33.78	110.43	48.52	59.13	73.03	50.63	29.91	45.21	57.08	55.1	295.11	180.02	283.05	232.94	218.79
FLJ00104	48.52	70.51	55.1	78.89	31.9	51.35	175.07	44.89	79.45	44.57	126.12	80.57	32.82	60.82	29.48	11.21	7.46	6.78	7.82	6.06	27.25	11.38	16.63	8.38	12.93	9.34	8.71	6.57	15.8	29.48	5.68	12.64	5.41	16.88	31.67	7.34	9.78	14.03	19.25	23.08	2.76	5.06	12.36	6.36	50.27	44.89	42.71	54.33	85.82
GALNT18	406.31	603.67	454.09	780.44	217.27	915.51	426.57	759.08	669.92	884.29	518.15	669.92	295.11	1015.93	224.97	76.71	82.87	133.36	123.5	409.15	69.03	34.51	115.16	178.77	108.9	65.72	258.57	94.67	51.35	138.1	102.97	55.89	343.89	45.53	73.54	830.75	107.38	88.88	120.94	165.57	70.01	147.06	325.29	201.25	591.22	909.17	733.19	616.37	674.59
GPC2	123.5	137.14	45.21	36.27	17.0	22.75	76.71	20.71	57.89	29.27	56.68	64.34	29.27	84.63	13.03	0.0	4.28	0.41	2.86	2.18	2.58	3.72	0.0	0.07	1.51	0.01	0.84	5.77	2.2	4.98	0.0	3.23	2.81	5.63	1.19	4.82	4.5	7.88	15.45	7.82	0.0	2.78	1.79	0.06	147.06	84.63	325.29	120.1	88.26
IFFO2	208.38	137.14	205.5	343.89	96.68	295.11	283.05	211.31	208.38	224.97	279.14	214.27	139.07	599.49	201.25	67.59	64.8	27.84	21.16	24.46	66.65	32.13	47.17	55.49	24.28	28.45	34.26	68.55	18.16	35.0	54.72	32.59	49.56	42.71	40.64	17.9	46.18	56.68	43.32	31.67	17.13	127.0	35.5	25.35	223.41	145.02	109.66	379.04	204.07
IFT80	444.72	429.54	379.04	775.05	228.13	327.56	490.14	366.09	435.55	291.04	441.64	575.03	265.87	836.53	348.71	50.63	84.04	42.11	87.65	107.38	88.26	17.64	88.88	72.52	33.3	82.87	51.71	29.27	39.79	269.6	14.24	96.01	66.18	67.59	80.01	34.26	53.19	61.68	135.24	99.43	11.55	16.03	38.4	63.89	316.37	361.04	518.15	551.56	432.53
IGSF3	208.38	239.52	234.57	295.11	30.78	171.45	85.82	169.07	82.87	143.01	67.12	98.73	53.19	373.81	236.21	0.18	12.09	3.35	4.28	4.7	5.15	33.06	3.06	26.86	4.98	2.29	4.78	10.39	3.89	4.54	1.11	1.48	4.39	9.41	0.71	12.09	10.55	2.32	3.0	2.16	1.11	0.0	2.51	8.0	297.17	309.83	232.94	309.83	275.28
IMPG2	2.73	11.38	1.83	2.92	0.77	4.78	11.3	2.76	4.86	6.41	5.45	3.76	1.53	11.21	5.87	0.39	0.52	0.62	1.2	2.16	0.51	0.17	0.0	0.17	0.16	0.75	0.68	0.09	0.14	0.89	1.71	0.54	0.74	1.2	1.1	0.28	0.16	2.46	0.77	1.36	0.0	0.0	0.24	0.16	2.32	1.66	1.64	4.58	2.66
INTS3	693.58	4869.99	1359.57	1437.15	836.53	1059.11	3039.3	1225.22	1583.71	1242.34	1857.6	2047.0	921.88	2271.4	830.75	412.0	343.89	339.14	723.08	444.72	890.44	403.5	591.22	490.14	638.15	389.72	329.84	493.56	607.87	836.53	332.14	493.56	563.18	624.99	571.05	406.31	514.56	348.71	525.39	547.75	163.28	249.73	587.13	420.68	1051.79	1467.37	1073.91	1044.52	1322.37
INTS8	514.56	1159.07	703.28	743.43	329.84	466.88	780.44	587.13	713.11	753.83	688.78	607.87	503.95	1437.15	651.58	176.29	212.78	120.1	189.02	249.73	334.46	94.01	309.83	265.87	262.2	131.51	150.17	131.51	279.14	384.34	139.07	165.57	332.14	217.27	265.87	170.25	323.03	193.01	262.2	373.81	96.01	56.68	193.01	173.85	684.02	616.37	708.18	638.15	703.28
KIAA1407	136.19	221.86	193.01	140.04	51.35	127.89	414.87	90.14	228.13	128.79	356.05	291.04	96.01	101.54	53.57	19.82	31.67	24.28	38.95	23.93	58.71	23.59	51.71	19.82	24.28	20.11	7.57	32.82	34.51	48.18	16.75	22.75	28.65	34.26	26.47	17.25	33.54	25.91	42.41	33.54	3.26	11.04	30.34	22.26	85.82	139.07	94.67	199.85	129.69
KLHL17	224.97	559.28	312.0	226.54	173.85	124.37	389.72	134.3	241.19	147.06	329.84	277.2	214.27	830.75	209.84	53.57	59.97	45.85	69.03	40.64	119.26	52.82	93.35	28.86	100.13	48.87	40.36	100.13	55.1	84.63	44.57	52.82	72.52	51.71	80.01	60.39	80.01	60.39	73.54	74.58	21.01	27.64	58.3	49.56	242.88	307.69	234.57	379.04	432.53
KLHL29	153.34	148.09	89.51	327.56	45.85	64.34	111.21	88.88	82.87	111.21	131.51	150.17	113.56	559.28	198.47	9.85	8.71	3.92	64.8	20.86	19.11	1.38	10.0	16.15	5.15	7.75	7.51	4.9	3.66	33.06	11.47	7.63	7.69	16.03	3.08	105.89	3.63	13.62	36.53	10.08	1.13	28.45	8.38	10.63	58.3	86.43	72.01	98.04	90.14
L3MBTL1	132.44	291.04	161.02	205.5	89.51	98.73	518.15	151.22	231.32	171.45	301.33	414.87	85.82	356.05	156.59	12.74	23.25	23.93	27.84	23.08	49.56	24.63	41.22	19.97	44.89	25.72	23.08	25.54	35.5	28.86	19.39	27.05	27.64	59.13	60.39	26.67	34.26	22.26	36.53	29.7	5.41	6.41	44.57	16.15	181.28	151.22	176.29	217.27	180.02
LRRC37B	166.73	323.03	226.54	307.69	98.73	249.73	511.0	248.0	312.0	275.28	373.81	301.33	99.43	366.09	151.22	65.72	66.65	52.82	71.0	45.85	124.37	25.72	84.63	38.95	101.54	29.91	41.81	49.21	40.36	116.78	33.3	41.52	62.56	65.72	59.55	50.27	60.82	36.79	64.34	95.34	22.26	29.7	42.11	58.3	189.02	397.93	466.88	201.25	312.0
LUC7L3	1844.76	2451.44	1909.85	2351.53	1583.71	1769.57	4769.75	2209.26	4038.61	2193.99	4123.49	4298.64	1427.22	2935.74	1457.23	698.41	902.89	872.1	1119.56	1008.9	1628.26	988.12	1388.16	660.68	1199.98	825.0	728.11	633.73	813.63	1225.22	444.72	915.51	1111.82	928.3	1286.18	890.44	1242.34	947.83	1369.04	1572.76	412.0	368.65	1359.57	1208.34	1963.57	2520.38	3665.02	2193.99	3060.45
MAP3K10	277.2	753.83	314.17	551.56	146.03	232.94	414.87	133.36	351.14	246.28	363.56	318.57	218.79	759.08	231.32	57.08	82.87	89.51	76.17	61.68	147.06	60.39	191.67	61.68	71.0	53.95	64.34	127.89	90.14	77.25	139.07	55.1	96.01	72.01	98.73	67.59	102.25	110.43	75.11	98.73	43.94	107.38	181.28	55.49	316.37	480.04	275.28	285.03	299.25
MAPK8IP3	941.27	1832.01	1331.57	1909.85	688.78	759.08	3982.99	941.27	1628.26	1551.09	4836.35	2956.17	693.58	1685.71	518.15	121.79	149.12	145.02	226.54	66.18	303.44	162.14	221.86	95.34	441.64	107.38	91.41	154.42	157.68	226.54	217.27	212.78	205.5	180.02	351.14	109.66	209.84	339.14	237.86	406.31	32.13	154.42	115.97	102.25	947.83	1268.46	802.41	1313.23	1551.09
METTL3	612.11	921.88	785.88	854.13	543.96	684.02	1832.01	759.08	1030.12	836.53	1127.35	1199.98	713.11	1023.0	860.08	275.28	341.51	346.29	336.79	221.86	532.74	327.56	423.61	277.2	400.71	285.03	234.57	287.01	327.56	493.56	287.01	348.71	486.75	395.18	486.75	277.2	403.5	358.54	432.53	532.74	142.01	134.3	366.09	251.48	1127.35	1225.22	1104.13	872.1	1151.06
MGAT5	291.04	164.42	198.47	547.75	60.82	429.54	232.94	316.37	269.6	341.51	312.0	177.53	127.0	454.09	147.06	33.3	33.78	10.96	17.38	17.9	23.08	13.22	15.0	27.05	9.27	33.54	17.9	102.97	13.03	24.63	28.86	14.78	20.86	22.43	26.1	13.93	17.38	51.35	27.84	17.77	12.45	27.25	16.27	16.27	525.39	283.05	595.34	447.82	332.14
MLLT6	825.0	1540.37	988.12	1322.37	432.53	1175.27	2645.74	1073.91	1819.35	1119.56	2520.38	1359.57	836.53	1407.55	567.1	134.3	299.25	144.01	220.32	86.43	521.76	204.07	246.28	121.79	309.83	193.01	165.57	234.57	249.73	423.61	119.26	175.07	279.14	312.0	500.46	162.14	221.86	158.79	279.14	339.14	55.1	159.9	307.69	139.07	1242.34	1322.37	1662.49	1369.04	1709.26
MOK	860.08	346.29	356.05	819.3	215.77	299.25	480.04	299.25	543.96	246.28	353.59	470.14	275.28	830.75	215.77	75.64	108.14	128.79	93.35	96.68	320.8	55.1	162.14	93.35	110.43	82.87	51.71	115.97	170.25	152.28	55.1	101.54	102.25	114.36	118.43	94.01	159.9	110.43	103.69	135.24	52.45	164.42	98.73	96.01	211.31	444.72	320.8	723.08	264.03
MSANTD2	256.78	198.47	170.25	248.0	120.94	226.54	400.71	293.07	392.44	241.19	348.71	287.01	161.02	397.93	89.51	41.52	59.55	44.25	56.28	51.35	96.01	46.18	84.04	55.49	56.28	36.01	47.84	56.68	53.19	92.7	41.22	55.49	71.0	47.84	76.71	55.1	52.82	68.07	50.98	74.58	14.35	39.5	67.12	58.3	187.71	231.32	146.03	186.4	244.57
MZF1	400.71	796.86	518.15	890.44	420.68	307.69	967.76	373.81	642.59	329.84	872.1	728.11	457.25	1059.11	438.59	131.51	129.69	152.28	197.09	163.28	361.04	102.97	289.02	92.7	244.57	145.02	105.15	173.85	232.94	253.23	86.43	120.1	143.01	198.47	293.07	109.66	173.85	145.02	166.73	236.21	84.04	96.01	178.77	125.24	400.71	454.09	361.04	551.56	599.49
NAA40	343.89	249.73	305.55	348.71	120.1	211.31	656.11	201.25	202.66	269.6	341.51	325.29	204.07	536.45	189.02	42.11	80.57	56.28	72.01	51.71	59.97	68.07	74.06	56.28	78.89	51.71	36.79	59.13	84.04	80.01	32.13	71.0	64.8	96.01	55.89	71.0	79.45	81.71	91.41	95.34	13.22	18.16	61.25	63.0	341.51	476.71	521.76	466.88	395.18
NPEPPS	1015.93	1268.46	981.29	1909.85	536.45	1199.98	1651.0	1674.06	1183.45	1331.57	2018.8	1583.71	921.88	2303.12	785.88	395.18	303.44	161.02	521.76	305.55	599.49	361.04	698.41	320.8	941.27	279.14	231.32	246.28	403.5	473.41	563.18	255.0	267.73	454.09	497.0	273.37	438.59	412.0	674.59	684.02	229.72	158.79	638.15	323.03	2502.97	1733.13	1268.46	1225.22	1359.57
