	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.W5.AA2U.11A.11R.A41I.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CW.6088.01A.11R.1672.07	TCGA.A3.3322.01A.02R.1325.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B2.4102.01A.02R.1325.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.4R.AA8I.01A.11R.A38B.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GZ.01A.11R.A39D.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.AADL.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.SL.A6J9.01A.11R.A31O.07
EP300	71.5	88.88	65.72	107.38	185.11	961.07	718.08	543.96	536.45	599.49	518.15	267.73	323.03	95.34	99.43	78.89	209.84	126.12	332.14	371.22	271.48	314.17	62.56	100.13	167.9	64.8	279.14	220.32	409.15	309.83	127.89	117.6	122.64	120.94	163.28	155.5	215.77	172.65	105.15	229.72	204.07	178.77	150.17	218.79	106.63	277.2	199.85	65.72	164.42	204.07	141.02	217.27	201.25	137.14	76.17	194.36	269.6	158.79	101.54	98.73	183.82	149.12	127.0	249.73	150.17	49.21	98.73	191.67	231.32	81.14	303.44	67.12	56.28
FAM179B	61.68	36.27	26.47	33.54	77.79	223.41	265.87	279.14	334.46	299.25	224.97	81.71	137.14	66.18	55.89	44.89	114.36	51.35	99.43	182.55	180.02	150.17	11.64	48.18	28.65	29.06	132.44	110.43	177.53	126.12	80.01	52.45	60.82	79.45	111.21	65.72	98.73	92.7	46.18	94.67	46.18	88.26	50.98	85.82	50.63	129.69	127.89	42.41	62.12	153.34	68.55	85.22	61.25	99.43	96.68	102.97	141.02	54.72	58.3	29.7	93.35	99.43	60.82	150.17	100.83	48.18	14.24	95.34	130.6	51.71	0.0	46.18	31.22
FAN1	74.06	45.53	49.56	60.39	157.68	511.0	307.69	329.84	381.68	289.02	358.54	293.07	279.14	76.71	71.0	105.89	329.84	214.27	412.0	329.84	423.61	426.57	63.45	187.71	122.64	149.12	334.46	514.56	351.14	271.48	119.26	61.25	161.02	163.28	167.9	167.9	221.86	91.41	47.17	237.86	173.85	149.12	128.79	229.72	154.42	149.12	176.29	111.99	126.12	323.03	170.25	123.5	226.54	102.97	75.11	193.01	215.77	351.14	76.17	74.06	193.01	96.68	132.44	182.55	327.56	32.36	54.72	163.28	151.22	90.14	0.0	66.18	63.0
FBXL17	43.94	61.68	65.72	50.63	127.0	603.67	381.68	343.89	241.19	356.05	435.55	215.77	191.67	100.13	52.08	68.07	198.47	113.56	221.86	136.19	248.0	197.09	136.19	122.64	159.9	144.01	258.57	197.09	212.78	195.72	127.0	132.44	105.15	186.4	134.3	88.26	123.5	253.23	97.36	114.36	143.01	217.27	182.55	122.64	124.37	202.66	94.67	144.01	159.9	183.82	143.01	117.6	115.97	194.36	108.14	181.28	223.41	67.59	180.02	152.28	186.4	175.07	118.43	218.79	137.14	63.45	129.69	211.31	237.86	118.43	86.43	71.0	98.73
FOXJ2	80.01	105.15	107.38	78.89	72.01	381.68	351.14	351.14	368.65	256.78	287.01	96.68	151.22	53.95	50.98	45.53	80.57	67.12	100.83	94.67	115.97	150.17	20.41	64.8	72.01	54.72	115.97	115.16	202.66	85.22	64.34	59.97	72.01	74.06	69.52	48.87	73.54	77.25	59.13	105.89	54.72	61.68	40.64	90.14	55.1	62.56	85.82	25.72	64.34	80.01	54.72	70.51	46.84	64.34	42.11	94.67	92.7	87.03	82.29	42.11	68.55	50.98	32.13	96.68	79.45	26.1	60.39	65.72	56.68	40.07	172.65	62.12	53.19
GABPA	95.34	85.22	161.02	94.67	199.85	713.11	551.56	343.89	358.54	435.55	327.56	202.66	281.09	151.22	111.21	93.35	234.57	124.37	211.31	251.48	305.55	231.32	70.01	153.34	125.24	81.14	194.36	206.94	334.46	236.21	152.28	165.57	152.28	165.57	277.2	138.1	166.73	343.89	151.22	212.78	180.02	234.57	287.01	158.79	140.04	248.0	189.02	186.4	163.28	269.6	199.85	118.43	154.42	229.72	135.24	180.02	281.09	185.11	198.47	167.9	258.57	158.79	102.25	316.37	164.42	112.77	71.5	220.32	366.09	110.43	0.0	108.14	127.89
GLTSCR1L	40.93	39.79	37.59	12.36	88.88	417.77	285.03	224.97	239.52	264.03	320.8	67.59	139.07	52.08	18.03	23.59	162.14	45.53	128.79	88.88	77.25	142.01	39.22	80.57	61.25	43.32	98.04	183.82	208.38	105.15	52.08	48.52	56.28	72.01	94.67	53.57	65.26	77.79	30.56	107.38	72.52	134.3	70.51	90.77	62.56	76.17	71.0	52.08	68.55	113.56	68.07	52.08	82.87	74.06	29.7	77.79	130.6	90.14	61.68	70.01	109.66	65.26	45.53	94.67	94.01	11.82	25.72	67.59	94.01	51.35	63.0	15.11	48.52
GOLGA8M	1.62	0.0	1.5	2.32	24.81	86.43	34.26	403.5	64.34	26.67	31.67	19.97	44.57	9.27	12.83	11.47	52.45	13.42	61.68	88.88	104.42	67.59	1.2	37.59	25.17	28.65	12.09	114.36	34.51	61.25	29.06	21.32	14.35	40.64	7.75	9.41	11.82	16.63	7.94	24.63	13.52	14.03	21.47	9.93	13.93	14.24	8.32	9.7	15.91	8.99	12.64	4.7	29.91	15.91	19.97	19.68	54.72	50.27	26.86	4.28	78.89	30.56	15.0	76.17	31.22	0.0	3.41	15.22	10.79	20.26	0.0	0.0	0.0
GOLGA8N	1.64	0.32	1.23	1.31	33.78	228.13	90.14	281.09	249.73	209.84	239.52	49.56	18.84	5.77	9.56	4.86	180.02	0.0	147.06	146.03	55.89	96.01	1.95	2.78	38.12	23.76	17.51	133.36	93.35	30.56	5.63	38.95	8.32	9.48	10.55	1.71	55.1	10.79	6.94	23.76	15.34	64.34	16.75	30.78	27.64	24.46	43.02	9.27	15.91	27.44	3.92	22.75	145.02	13.32	15.91	27.84	43.32	21.32	2.66	33.06	46.18	85.82	45.21	208.38	35.25	9.06	3.86	20.26	42.11	11.38	0.0	2.03	2.78
GOLGA8Q	0.0	0.0	0.0	3.29	14.03	53.57	42.71	120.94	119.26	22.43	89.51	10.31	0.0	16.51	0.0	0.0	48.87	4.28	31.22	30.56	42.11	45.53	0.0	0.0	0.0	2.78	0.0	42.11	20.26	0.0	36.79	0.0	0.0	15.68	6.46	0.69	9.27	4.94	1.83	12.45	21.32	13.93	4.98	13.22	4.13	4.78	9.27	15.91	10.63	3.99	21.94	6.01	7.88	9.85	0.0	1.77	8.85	0.0	0.0	1.08	5.32	1.89	4.17	13.12	3.89	0.0	9.2	3.56	6.67	4.54	0.0	0.0	0.0
GOLGA8R	0.0	2.01	0.0	0.0	19.82	178.77	45.53	110.43	96.01	77.79	82.29	8.85	12.0	13.22	0.0	0.0	30.56	14.67	56.28	63.0	31.67	28.45	1.68	2.43	8.71	0.0	5.02	54.72	42.71	18.16	0.0	0.0	21.32	3.26	3.82	2.1	39.22	5.32	2.12	7.11	16.15	15.8	7.4	7.06	5.02	5.87	4.86	3.41	4.35	29.91	3.26	1.95	53.57	29.48	3.38	51.71	29.48	29.91	0.0	6.41	23.25	18.56	28.04	35.0	36.27	6.21	2.25	22.26	8.25	1.01	0.0	0.0	2.2
GOLGA8S	0.97	0.3	0.31	1.23	7.57	12.83	11.73	35.76	29.7	13.83	24.99	3.89	2.71	9.56	3.17	2.05	16.51	5.28	11.82	17.64	18.97	8.0	1.28	3.41	10.39	2.16	4.24	13.83	6.16	5.77	2.78	3.23	4.17	1.97	4.13	0.61	9.7	5.59	1.04	7.4	4.35	4.94	6.52	3.32	3.23	4.43	3.96	7.28	3.38	7.82	2.18	1.31	8.25	7.11	1.95	8.0	11.13	11.91	1.6	4.7	9.2	4.5	6.31	10.47	11.04	1.33	2.36	5.77	5.11	5.82	0.0	0.71	0.83
HERC1	163.28	130.6	157.68	189.02	336.79	1167.14	934.76	872.1	1044.52	915.51	934.76	995.0	1407.55	251.48	190.34	432.53	769.69	447.82	551.56	616.37	651.58	555.41	112.77	314.17	221.86	275.28	1073.91	1745.2	497.0	669.92	198.47	191.67	339.14	368.65	486.75	435.55	299.25	343.89	329.84	454.09	336.79	312.0	249.73	412.0	457.25	395.18	339.14	202.66	287.01	559.28	246.28	878.17	432.53	275.28	167.9	392.44	503.95	312.0	198.47	414.87	299.25	376.41	314.17	583.07	417.77	114.36	148.09	358.54	339.14	143.01	0.0	103.69	202.66
HMG20A	190.34	162.14	146.03	218.79	325.29	718.08	651.58	547.75	743.43	785.88	693.58	373.81	559.28	281.09	205.5	256.78	341.51	303.44	336.79	444.72	476.71	490.14	193.01	271.48	206.94	258.57	511.0	518.15	579.04	486.75	214.27	289.02	297.17	293.07	417.77	224.97	291.04	343.89	325.29	366.09	285.03	379.04	376.41	429.54	392.44	395.18	323.03	228.13	307.69	476.71	314.17	291.04	253.23	379.04	348.71	379.04	473.41	397.93	325.29	389.72	303.44	260.38	371.22	525.39	406.31	231.32	289.02	373.81	420.68	316.37	234.57	92.7	253.23
IREB2	116.78	100.83	86.43	85.82	205.5	728.11	693.58	525.39	571.05	563.18	486.75	358.54	438.59	111.21	80.57	124.37	256.78	218.79	231.32	371.22	432.53	318.57	74.06	153.34	146.03	125.24	267.73	312.0	444.72	457.25	148.09	155.5	158.79	191.67	220.32	155.5	117.6	289.02	224.97	211.31	156.59	190.34	215.77	251.48	193.01	289.02	177.53	117.6	256.78	205.5	166.73	199.85	178.77	289.02	118.43	232.94	325.29	267.73	131.51	156.59	234.57	164.42	163.28	334.46	195.72	138.1	106.63	255.0	234.57	137.14	166.73	72.52	164.42
KANK2	171.45	733.19	555.41	543.96	660.68	4481.23	3564.78	3768.09	2895.31	1467.37	1617.0	934.76	2555.58	896.64	381.68	518.15	1757.34	620.67	941.27	2682.69	1096.5	2240.11	297.17	575.03	532.74	295.11	2061.24	1437.15	1950.0	1143.1	693.58	457.25	748.61	878.17	1127.35	1639.59	1322.37	723.08	301.33	1397.83	1519.15	1111.82	1277.29	947.83	371.22	1313.23	1015.93	387.02	571.05	1304.15	708.18	470.14	1508.65	1870.53	358.54	872.1	1259.69	878.17	802.41	902.89	780.44	616.37	450.94	961.07	785.88	178.77	559.28	1551.09	1651.0	397.93	854.13	91.41	173.85
KLHDC10	109.66	175.07	129.69	141.02	283.05	587.13	607.87	1001.93	974.5	780.44	688.78	395.18	414.87	217.27	111.99	262.2	389.72	260.38	819.3	371.22	591.22	660.68	241.19	500.46	138.1	336.79	1088.92	1167.14	412.0	450.94	206.94	171.45	299.25	221.86	420.68	279.14	470.14	507.46	129.69	525.39	395.18	341.51	226.54	334.46	320.8	376.41	476.71	332.14	414.87	616.37	283.05	454.09	368.65	353.59	169.07	376.41	423.61	536.45	187.71	318.57	289.02	241.19	123.5	540.19	320.8	91.41	111.99	507.46	536.45	209.84	236.21	89.51	69.03
LARGE	10.71	43.63	65.72	9.13	142.01	161.02	115.97	94.01	161.02	183.82	118.43	215.77	293.07	111.21	131.51	123.5	301.33	198.47	486.75	316.37	457.25	158.79	45.85	197.09	90.77	194.36	423.61	234.57	176.29	218.79	115.16	96.68	231.32	161.02	126.12	206.94	217.27	120.94	82.29	244.57	332.14	148.09	111.99	136.19	334.46	223.41	85.82	105.15	202.66	438.59	99.43	183.82	100.13	228.13	85.22	142.01	172.65	262.2	127.0	156.59	187.71	92.05	98.73	140.04	237.86	92.05	127.0	262.2	209.84	64.34	0.0	22.59	101.54
MPPE1	392.44	363.56	1096.5	403.5	543.96	1950.0	1304.15	902.89	808.0	1605.83	1519.15	1447.15	1135.2	684.02	967.76	651.58	896.64	1073.91	921.88	934.76	748.61	1143.1	536.45	633.73	579.04	567.1	890.44	884.29	1508.65	981.29	483.38	583.07	651.58	660.68	753.83	612.11	457.25	599.49	441.64	1127.35	403.5	748.61	698.41	463.65	688.78	934.76	571.05	532.74	591.22	753.83	629.35	507.46	587.13	660.68	392.44	1081.39	1151.06	599.49	579.04	1167.14	884.29	785.88	346.29	842.36	555.41	395.18	209.84	638.15	890.44	493.56	0.0	336.79	332.14
MTMR10	77.79	63.0	82.29	92.05	395.18	1733.13	738.29	688.78	698.41	713.11	785.88	466.88	698.41	232.94	123.5	260.38	373.81	236.21	607.87	460.44	511.0	444.72	127.89	371.22	185.11	248.0	607.87	708.18	420.68	733.19	281.09	236.21	295.11	265.87	457.25	417.77	438.59	551.56	275.28	679.29	438.59	647.07	379.04	624.99	320.8	438.59	476.71	299.25	412.0	703.28	249.73	363.56	403.5	395.18	297.17	435.55	651.58	454.09	248.0	325.29	356.05	387.02	265.87	438.59	429.54	116.78	205.5	480.04	551.56	232.94	0.0	56.28	73.54
PAXIP1-AS2	19.82	48.87	35.0	16.75	74.58	209.84	312.0	283.05	224.97	175.07	224.97	114.36	139.07	52.08	24.11	27.05	144.01	48.18	127.89	100.13	111.21	102.25	24.63	80.57	18.16	45.21	99.43	153.34	122.64	120.1	63.0	60.82	55.49	80.01	49.91	85.22	99.43	86.43	37.05	111.99	52.08	88.26	46.5	85.82	53.57	102.97	60.82	54.72	77.79	120.1	68.07	41.52	65.26	47.5	38.67	105.15	111.21	148.09	55.1	89.51	90.14	71.0	47.84	129.69	102.25	28.04	7.0	67.12	63.89	66.18	0.0	9.13	20.56
PCMTD2	151.22	156.59	146.03	107.38	429.54	1417.35	1427.22	1477.58	1397.83	1295.13	1304.15	708.18	536.45	490.14	241.19	224.97	532.74	312.0	656.11	698.41	1437.15	567.1	115.97	518.15	493.56	232.94	633.73	753.83	902.89	785.88	397.93	366.09	283.05	426.57	403.5	316.37	457.25	417.77	309.83	813.63	400.71	575.03	379.04	579.04	400.71	291.04	379.04	392.44	435.55	575.03	297.17	242.88	503.95	395.18	376.41	718.08	753.83	591.22	356.05	291.04	629.35	450.94	265.87	878.17	599.49	105.89	116.78	518.15	591.22	214.27	447.82	198.47	305.55
PDE8A	128.79	165.57	121.79	66.65	679.29	830.75	669.92	753.83	813.63	616.37	890.44	748.61	995.0	420.68	171.45	368.65	441.64	255.0	559.28	591.22	525.39	460.44	262.2	460.44	153.34	204.07	775.05	688.78	579.04	1023.0	426.57	460.44	616.37	395.18	872.1	500.46	567.1	480.04	518.15	1159.07	665.29	1008.9	638.15	974.5	412.0	480.04	435.55	466.88	733.19	854.13	432.53	521.76	616.37	629.35	334.46	723.08	1088.92	638.15	497.0	575.03	476.71	540.19	466.88	808.0	713.11	334.46	738.29	842.36	825.0	476.71	0.0	157.68	108.14
