	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.ZF29.1926.SM.5S2P1	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.11ONC.1426.SM.5N9F4	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	GTEX.WI4N.2426.SM.4OOSC
QTRTD1	698.41	384.34	438.59	190.34	150.17	249.73	224.97	171.45	187.71	157.68	124.37	76.71	78.34	100.13	74.06	171.45	214.27	343.89	279.14	63.89
RABEP1	1250.98	12415.75	2061.24	559.28	555.41	684.02	679.29	638.15	616.37	457.25	454.09	358.54	353.59	384.34	417.77	447.82	665.29	703.28	679.29	281.09
RAE1	848.22	1407.55	679.29	409.15	466.88	836.53	483.38	438.59	423.61	281.09	279.14	309.83	314.17	248.0	267.73	332.14	536.45	543.96	595.34	162.14
RBBP5	387.02	371.22	279.14	156.59	143.01	146.03	143.01	123.5	129.69	98.73	93.35	57.49	108.9	87.65	67.12	109.66	198.47	226.54	229.72	60.39
RBM22	1427.22	1242.34	1073.91	616.37	583.07	525.39	595.34	511.0	583.07	457.25	426.57	358.54	447.82	563.18	379.04	457.25	728.11	902.89	802.41	532.74
RPL7L1	2303.12	1540.37	1870.53	1015.93	780.44	947.83	961.07	928.3	860.08	454.09	483.38	450.94	441.64	392.44	327.56	518.15	1030.12	1225.22	1519.15	397.93
RRP1B	450.94	327.56	454.09	253.23	269.6	237.86	283.05	209.84	258.57	181.28	175.07	121.79	132.44	169.07	128.79	191.67	256.78	447.82	409.15	121.79
SCAF8	1059.11	718.08	1044.52	417.77	429.54	432.53	429.54	412.0	414.87	228.13	265.87	187.71	275.28	248.0	251.48	295.11	500.46	521.76	629.35	172.65
SENP1	397.93	285.03	353.59	126.12	170.25	197.09	173.85	131.51	142.01	110.43	94.01	66.18	80.01	95.34	61.25	107.38	190.34	271.48	253.23	40.93
SHQ1	368.65	400.71	327.56	175.07	164.42	144.01	153.34	121.79	127.0	140.04	130.6	93.35	132.44	102.97	145.02	148.09	204.07	191.67	232.94	91.41
SLC30A6	493.56	356.05	480.04	186.4	169.07	180.02	185.11	163.28	165.57	143.01	150.17	86.43	106.63	139.07	129.69	149.12	226.54	287.01	307.69	55.1
SNIP1	242.88	236.21	246.28	127.0	155.5	163.28	164.42	183.82	159.9	96.68	83.45	98.04	108.9	102.97	77.25	109.66	176.29	147.06	194.36	70.51
STAM	476.71	432.53	490.14	237.86	231.32	289.02	246.28	212.78	269.6	232.94	214.27	173.85	253.23	231.32	275.28	258.57	291.04	320.8	395.18	105.89
TBCCD1	346.29	327.56	289.02	145.02	156.59	244.57	170.25	146.03	164.42	169.07	165.57	102.97	102.97	127.89	118.43	161.02	166.73	229.72	186.4	34.51
TERF2	679.29	872.1	769.69	403.5	423.61	420.68	476.71	438.59	476.71	334.46	400.71	275.28	351.14	379.04	234.57	329.84	438.59	684.02	753.83	397.93
TEX2	967.76	808.0	1111.82	409.15	457.25	361.04	441.64	441.64	423.61	279.14	343.89	211.31	336.79	228.13	297.17	316.37	473.41	483.38	547.75	152.28
TGFBRAP1	341.51	289.02	417.77	269.6	255.0	166.73	221.86	185.11	269.6	186.4	212.78	148.09	161.02	135.24	124.37	195.72	253.23	444.72	497.0	90.14
TMEM41A	500.46	426.57	486.75	236.21	231.32	234.57	167.9	102.25	224.97	197.09	231.32	164.42	176.29	199.85	143.01	198.47	241.19	356.05	339.14	63.0
TRAPPC10	579.04	476.71	559.28	525.39	249.73	305.55	343.89	269.6	514.56	217.27	325.29	190.34	202.66	273.37	265.87	318.57	507.46	575.03	476.71	109.66
UBE4A	830.75	785.88	884.29	371.22	361.04	283.05	384.34	334.46	381.68	193.01	239.52	177.53	206.94	262.2	232.94	234.57	414.87	438.59	587.13	57.49
UBR7	674.59	738.29	1044.52	395.18	417.77	397.93	403.5	466.88	358.54	285.03	265.87	251.48	223.41	231.32	281.09	318.57	470.14	426.57	426.57	89.51
UTP3	698.41	842.36	825.0	473.41	466.88	454.09	483.38	547.75	420.68	180.02	189.02	190.34	218.79	146.03	120.94	190.34	473.41	450.94	470.14	336.79
VWA9	981.29	915.51	954.43	500.46	356.05	366.09	441.64	314.17	389.72	336.79	293.07	314.17	253.23	234.57	209.84	332.14	583.07	559.28	638.15	161.02
WDR36	480.04	334.46	395.18	156.59	144.01	183.82	187.71	120.1	156.59	111.99	134.3	74.58	109.66	127.89	88.88	120.1	180.02	307.69	295.11	84.04
WDR89	435.55	312.0	165.57	115.97	102.97	144.01	113.56	75.11	66.65	54.33	98.04	43.02	80.01	55.1	31.67	85.22	181.28	123.5	119.26	118.43
XPO4	334.46	249.73	392.44	142.01	150.17	167.9	158.79	147.06	155.5	94.67	100.13	51.71	72.52	96.68	138.1	114.36	157.68	218.79	312.0	24.11
YTHDF2	2075.59	1709.26	1883.54	764.36	633.73	921.88	808.0	708.18	642.59	466.88	420.68	423.61	341.51	460.44	463.65	457.25	961.07	981.29	1199.98	540.19
ZBTB24	232.94	199.85	226.54	66.65	68.55	80.57	78.89	47.17	79.45	30.56	44.57	25.35	47.84	28.24	21.16	43.63	94.67	151.22	148.09	23.08
ZBTB49	241.19	229.72	126.12	61.68	67.59	97.36	98.73	90.14	73.54	65.72	66.65	68.07	60.39	64.8	48.18	104.42	108.14	118.43	159.9	28.45
ZKSCAN2	73.03	81.71	94.67	35.5	57.49	26.28	49.91	28.45	44.57	20.41	25.17	21.01	13.62	13.83	14.24	33.78	44.25	48.18	47.84	14.78
ZNF131	1044.52	896.64	1051.79	343.89	356.05	633.73	417.77	406.31	447.82	269.6	327.56	283.05	285.03	587.13	256.78	341.51	507.46	486.75	591.22	248.0
ZNF202	287.01	185.11	281.09	139.07	147.06	158.79	165.57	143.01	163.28	111.99	130.6	120.1	92.7	100.13	72.52	154.42	169.07	223.41	232.94	62.56
ZNF275	206.94	161.02	229.72	149.12	167.9	108.14	169.07	182.55	172.65	89.51	79.45	80.57	94.67	89.51	108.14	102.25	166.73	258.57	291.04	52.08
ZNF35	151.22	191.67	182.55	84.63	111.21	110.43	180.02	135.24	130.6	87.03	101.54	86.43	85.82	85.82	73.54	110.43	87.03	139.07	144.01	23.08
ZNF398	239.52	231.32	269.6	127.89	158.79	156.59	163.28	127.89	138.1	78.34	122.64	80.57	70.51	59.13	54.72	106.63	140.04	224.97	191.67	36.27
ZNF45	269.6	435.55	406.31	134.3	150.17	86.43	155.5	95.34	129.69	62.56	85.22	47.84	66.65	47.84	57.89	88.26	189.02	162.14	169.07	30.12
ZNF502	248.0	190.34	111.21	77.25	113.56	68.55	106.63	89.51	98.73	46.18	59.55	45.85	32.13	34.75	32.13	64.8	120.94	95.34	83.45	0.77
ZNHIT6	480.04	376.41	441.64	281.09	312.0	307.69	339.14	314.17	273.37	218.79	171.45	133.36	246.28	221.86	119.26	191.67	332.14	264.03	258.57	115.97
ZSCAN25	363.56	289.02	285.03	162.14	166.73	170.25	164.42	158.79	166.73	85.82	117.6	68.55	88.26	72.52	68.55	140.04	215.77	170.25	195.72	58.71
