	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.E2.A15I.01A.21R.A137.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.AN.A0XL.01A.11R.A10J.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AZ.4313.01A.01R.1410.07	TCGA.D5.6540.01A.11R.1723.07	TCGA.F4.6856.01A.11R.1928.07	TCGA.CM.5861.01A.01R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6930.01A.11R.1928.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.AA.3663.01A.01R.1723.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.CM.6674.01A.11R.1839.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6882.01A.11R.1928.07	TCGA.VQ.A91V.01A.11R.A414.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6802.11A.01R.1884.13
BMPR2	1397.83	624.99	836.53	551.56	616.37	432.53	470.14	819.3	723.08	599.49	647.07	473.41	470.14	89.51	117.6	154.42	147.06	135.24	87.65	62.12	159.9	105.15	60.39	153.34	209.84	85.82	32.59	0.0	0.13	223.41	201.25	248.0	157.68	316.37	119.26
BTBD10	764.36	532.74	988.12	514.56	400.71	441.64	612.11	518.15	532.74	563.18	642.59	271.48	363.56	356.05	389.72	450.94	366.09	279.14	301.33	397.93	376.41	384.34	318.57	384.34	466.88	127.0	136.19	0.0	0.44	525.39	486.75	384.34	483.38	503.95	432.53
BTBD9	309.83	228.13	289.02	167.9	181.28	265.87	123.5	197.09	273.37	281.09	265.87	90.77	194.36	29.91	75.64	65.72	85.82	63.89	57.08	57.49	55.1	37.59	47.5	54.72	93.35	26.28	26.1	56.68	42.11	92.7	114.36	143.01	127.0	131.51	27.44
C10orf88	260.38	186.4	169.07	156.59	176.29	104.42	167.9	191.67	283.05	223.41	232.94	109.66	140.04	131.51	108.14	77.25	92.7	98.73	60.39	115.16	50.63	105.15	57.08	115.97	72.01	40.36	52.82	0.0	0.0	121.79	111.21	84.04	81.71	164.42	90.14
C4orf32	312.0	376.41	281.09	318.57	470.14	260.38	212.78	373.81	183.82	102.25	232.94	27.44	23.59	42.41	35.5	35.0	48.87	16.63	40.93	20.41	48.87	57.49	31.0	36.27	46.84	19.11	23.08	0.0	0.3	48.18	105.89	57.49	98.04	85.82	182.55
C5orf15	1794.29	1685.71	1963.57	1477.58	1857.6	2178.83	1721.16	1806.78	1844.76	1832.01	2997.45	1030.12	1991.0	532.74	813.63	583.07	884.29	211.31	595.34	713.11	684.02	896.64	540.19	842.36	693.58	607.87	836.53	0.0	0.56	759.08	688.78	674.59	713.11	1030.12	1896.65
CACNA2D2	122.64	221.86	103.69	293.07	197.09	275.28	291.04	50.27	98.73	246.28	988.12	27.84	16.63	60.39	11.21	94.67	11.04	75.11	11.38	3.86	84.04	27.05	9.2	22.75	11.64	2.2	0.71	0.0	0.09	41.22	26.28	13.72	49.91	144.01	41.52
CAPN7	738.29	624.99	764.36	470.14	587.13	629.35	395.18	684.02	974.5	1066.48	624.99	480.04	473.41	279.14	301.33	379.04	435.55	289.02	251.48	212.78	392.44	323.03	275.28	353.59	493.56	153.34	164.42	0.0	0.18	638.15	299.25	480.04	312.0	392.44	231.32
CASC3	5751.61	1551.09	738.29	1250.98	1322.37	1467.37	1304.15	2400.97	1605.83	2240.11	1757.34	1277.29	1313.23	733.19	974.5	1001.93	878.17	813.63	909.17	665.29	796.86	713.11	808.0	967.76	1225.22	497.0	444.72	791.35	483.38	1167.14	961.07	902.89	921.88	1183.45	476.71
CDK12	12329.98	813.63	708.18	571.05	748.61	753.83	642.59	921.88	988.12	1407.55	1127.35	318.57	616.37	220.32	490.14	435.55	224.97	334.46	339.14	400.71	384.34	318.57	309.83	297.17	769.69	193.01	94.67	327.56	59.55	665.29	629.35	532.74	503.95	591.22	112.77
CDKL5	111.99	49.56	248.0	37.85	61.68	47.5	34.51	84.04	80.57	45.53	86.43	4.62	11.13	1.48	14.67	13.12	3.86	5.63	3.96	3.41	10.63	2.84	3.17	8.45	25.54	0.85	0.66	0.0	0.04	18.84	23.93	21.32	24.63	43.02	9.78
CELF1	1561.89	1697.45	1721.16	1167.14	1331.57	1322.37	1119.56	1127.35	1225.22	1159.07	1208.34	679.29	775.05	366.09	909.17	780.44	669.92	698.41	642.59	825.0	780.44	423.61	514.56	718.08	1073.91	343.89	397.93	518.15	447.82	1088.92	1059.11	981.29	836.53	1216.75	224.97
CHD6	872.1	934.76	2384.37	392.44	591.22	473.41	500.46	521.76	825.0	718.08	802.41	295.11	327.56	88.26	231.32	255.0	146.03	135.24	186.4	166.73	239.52	87.03	253.23	124.37	432.53	61.25	25.35	0.0	0.39	271.48	318.57	343.89	190.34	166.73	115.16
CHM	441.64	361.04	713.11	256.78	336.79	273.37	293.07	379.04	334.46	358.54	307.69	214.27	277.2	137.14	145.02	165.57	170.25	120.94	115.16	121.79	141.02	139.07	98.04	161.02	181.28	119.26	89.51	0.0	0.45	201.25	305.55	220.32	187.71	299.25	228.13
CHMP1B	866.07	848.22	1286.18	775.05	753.83	928.3	753.83	1008.9	934.76	995.0	878.17	947.83	1233.75	454.09	819.3	444.72	414.87	718.08	521.76	417.77	733.19	878.17	532.74	518.15	642.59	406.31	206.94	616.37	341.51	728.11	470.14	896.64	417.77	1225.22	813.63
CHST15	1304.15	1119.56	1008.9	612.11	559.28	518.15	656.11	493.56	591.22	392.44	1216.75	684.02	988.12	26.28	226.54	37.32	212.78	45.85	173.85	262.2	95.34	62.56	56.68	107.38	150.17	94.01	134.3	0.0	0.82	170.25	45.85	115.97	318.57	186.4	90.14
CNOT6L	796.86	616.37	1073.91	332.14	521.76	368.65	361.04	587.13	713.11	466.88	389.72	251.48	206.94	99.43	119.26	212.78	187.71	140.04	155.5	165.57	152.28	120.1	108.14	181.28	255.0	43.02	37.59	115.97	169.07	255.0	332.14	299.25	214.27	397.93	102.97
CPEB4	665.29	848.22	2075.59	339.14	403.5	785.88	334.46	555.41	796.86	503.95	403.5	189.02	232.94	47.84	60.39	98.04	90.14	53.95	61.25	107.38	85.22	87.03	81.14	66.18	271.48	145.02	71.5	0.0	0.46	163.28	228.13	218.79	392.44	624.99	111.99
CTB-58E17.5	53.95	37.59	28.24	24.46	30.34	37.85	25.91	26.1	9.27	17.64	49.91	29.7	17.9	12.18	8.38	8.58	9.85	4.9	17.25	5.63	13.52	11.47	7.69	4.28	2.39	6.62	5.96	0.0	0.08	17.64	7.94	8.51	7.82	10.55	2.73
CTSO	587.13	703.28	420.68	674.59	1030.12	559.28	738.29	1304.15	1096.5	1225.22	1561.89	921.88	1066.48	135.24	147.06	267.73	466.88	92.05	236.21	151.22	265.87	153.34	90.77	389.72	154.42	242.88	141.02	0.0	0.36	271.48	195.72	353.59	187.71	373.81	341.51
DIP2B	633.73	444.72	764.36	262.2	389.72	361.04	343.89	571.05	441.64	536.45	432.53	127.0	165.57	116.78	208.38	208.38	157.68	114.36	147.06	165.57	186.4	135.24	141.02	182.55	595.34	78.34	80.01	0.0	0.71	343.89	251.48	194.36	182.55	208.38	72.52
DIP2C	242.88	339.14	299.25	193.01	237.86	77.79	198.47	307.69	258.57	303.44	435.55	169.07	232.94	66.65	145.02	170.25	85.22	68.07	146.03	65.26	38.95	65.26	96.68	140.04	234.57	74.58	30.12	0.0	0.44	113.56	181.28	145.02	104.42	277.2	47.17
DMXL1	1295.13	454.09	2997.45	320.8	503.95	518.15	363.56	607.87	780.44	872.1	759.08	232.94	366.09	171.45	130.6	152.28	189.02	84.63	140.04	183.82	176.29	144.01	142.01	148.09	305.55	144.01	111.21	0.0	0.46	112.77	246.28	277.2	295.11	327.56	244.57
DOCK7	660.68	285.03	555.41	332.14	285.03	226.54	198.47	575.03	432.53	921.88	688.78	239.52	297.17	214.27	182.55	248.0	234.57	152.28	197.09	194.36	201.25	186.4	241.19	198.47	309.83	177.53	327.56	0.0	0.4	339.14	212.78	246.28	293.07	429.54	162.14
DTWD2	228.13	131.51	303.44	111.21	218.79	138.1	111.21	163.28	202.66	214.27	211.31	70.01	147.06	42.11	27.25	74.06	38.12	11.47	33.3	52.08	36.27	44.25	28.24	30.12	82.87	37.59	46.5	0.0	0.0	134.3	61.68	98.04	85.22	90.14	78.89
DYRK1A	1617.0	1111.82	1529.73	743.43	1073.91	921.88	669.92	961.07	947.83	1030.12	1044.52	785.88	967.76	236.21	299.25	397.93	429.54	466.88	336.79	450.94	373.81	248.0	376.41	400.71	718.08	135.24	104.42	0.0	0.77	684.02	529.06	651.58	503.95	825.0	287.01
EFCAB14	2303.12	2255.7	1594.73	1674.06	1936.53	2061.24	1583.71	2255.7	2271.4	1208.34	2178.83	848.22	967.76	373.81	647.07	642.59	743.43	490.14	579.04	616.37	642.59	603.67	518.15	669.92	961.07	356.05	249.73	0.0	0.6	1127.35	1268.46	1437.15	1508.65	1963.57	1151.06
ELMOD2	1044.52	587.13	995.0	718.08	759.08	371.22	718.08	567.1	769.69	830.75	854.13	251.48	395.18	117.6	201.25	172.65	332.14	176.29	169.07	275.28	246.28	244.57	169.07	224.97	234.57	197.09	269.6	0.0	0.32	283.05	291.04	248.0	163.28	356.05	353.59
EPB41L5	1277.29	733.19	1806.78	591.22	928.3	769.69	420.68	595.34	616.37	620.67	708.18	363.56	320.8	256.78	171.45	194.36	169.07	332.14	94.67	199.85	246.28	228.13	191.67	205.5	563.18	460.44	145.02	0.0	0.2	262.2	483.38	358.54	255.0	353.59	323.03
EPS15	1322.37	620.67	708.18	567.1	718.08	551.56	571.05	1015.93	915.51	872.1	665.29	473.41	536.45	273.37	327.56	476.71	389.72	287.01	265.87	287.01	358.54	256.78	242.88	334.46	490.14	212.78	215.77	406.31	187.71	587.13	571.05	376.41	463.65	423.61	414.87
FAM151B	89.51	59.97	178.77	28.04	51.71	38.95	35.5	36.53	40.64	41.81	70.01	27.84	68.07	12.74	16.27	21.63	20.86	12.45	16.63	12.0	10.08	20.56	7.4	17.25	15.56	10.79	31.9	0.0	0.16	20.11	29.91	15.56	9.56	18.56	30.34
FAM160A1	543.96	108.9	476.71	96.68	107.38	197.09	36.27	103.69	244.57	143.01	135.24	20.26	38.67	11.91	47.84	47.17	7.88	13.62	17.51	37.59	24.63	19.39	14.56	60.39	65.72	1.93	2.76	68.07	75.64	148.09	118.43	93.35	46.5	111.21	9.7
FAM174A	403.5	575.03	785.88	629.35	947.83	1066.48	825.0	599.49	866.07	454.09	563.18	603.67	1388.16	316.37	185.11	309.83	361.04	162.14	329.84	285.03	420.68	69.03	325.29	348.71	363.56	389.72	303.44	0.0	0.34	264.03	201.25	366.09	267.73	457.25	486.75
FAM73A	476.71	384.34	603.67	273.37	647.07	346.29	244.57	376.41	633.73	579.04	808.0	88.26	220.32	41.22	85.22	74.58	74.58	42.41	53.95	51.35	59.97	94.01	62.56	53.95	139.07	35.5	34.75	0.0	0.21	139.07	146.03	159.9	118.43	215.77	90.77
FAR1	1832.01	1143.1	2032.85	791.35	1159.07	1268.46	825.0	954.43	915.51	1015.93	1191.69	358.54	363.56	466.88	454.09	579.04	521.76	316.37	406.31	403.5	503.95	435.55	409.15	476.71	769.69	22.59	7.63	665.29	166.73	842.36	872.1	819.3	1350.18	775.05	785.88
FBXO8	583.07	493.56	723.08	518.15	473.41	366.09	525.39	559.28	567.1	1159.07	583.07	361.04	409.15	279.14	371.22	251.48	409.15	264.03	226.54	242.88	231.32	291.04	251.48	291.04	368.65	195.72	182.55	0.0	0.14	363.56	429.54	293.07	265.87	248.0	688.78
FMR1	825.0	780.44	915.51	395.18	529.06	555.41	409.15	764.36	896.64	860.08	599.49	698.41	775.05	301.33	417.77	336.79	438.59	403.5	312.0	348.71	423.61	267.73	289.02	395.18	547.75	248.0	148.09	0.0	0.73	547.75	473.41	423.61	297.17	447.82	251.48
FNIP1	954.43	429.54	1340.84	293.07	389.72	500.46	246.28	327.56	497.0	346.29	323.03	162.14	256.78	76.71	110.43	105.89	132.44	54.33	85.22	102.97	127.0	113.56	72.52	82.29	226.54	88.88	104.42	127.0	575.03	271.48	258.57	221.86	129.69	256.78	97.36
FRS2	1023.0	743.43	1015.93	679.29	708.18	1447.15	511.0	647.07	2417.67	1001.93	2335.28	242.88	320.8	72.01	112.77	100.83	93.35	69.52	78.34	85.22	86.43	111.99	71.0	111.21	246.28	37.85	36.79	0.0	0.4	223.41	135.24	152.28	141.02	1540.37	139.07
GAB1	669.92	651.58	954.43	429.54	466.88	356.05	412.0	567.1	529.06	884.29	713.11	157.68	172.65	71.5	75.64	205.5	77.79	82.87	88.26	70.51	234.57	100.83	137.14	99.43	255.0	14.67	10.55	0.0	0.3	305.55	237.86	161.02	133.36	169.07	102.25
HDHD2	555.41	928.3	769.69	830.75	1008.9	928.3	638.15	753.83	915.51	1081.39	1277.29	490.14	830.75	316.37	497.0	392.44	470.14	547.75	341.51	457.25	450.94	343.89	395.18	289.02	500.46	384.34	289.02	0.0	0.29	507.46	395.18	412.0	392.44	447.82	607.87
HEATR5B	567.1	466.88	563.18	348.71	414.87	432.53	309.83	420.68	463.65	669.92	656.11	209.84	264.03	95.34	167.9	170.25	156.59	128.79	111.21	113.56	135.24	108.9	108.14	131.51	275.28	67.59	36.27	0.0	0.27	215.77	161.02	231.32	239.52	241.19	103.69
HIP1	1044.52	688.78	547.75	595.34	743.43	1081.39	718.08	529.06	559.28	242.88	460.44	409.15	392.44	108.9	211.31	144.01	154.42	38.67	201.25	108.14	64.34	69.52	60.39	198.47	123.5	134.3	42.71	0.0	0.66	93.35	103.69	119.26	212.78	346.29	61.68
IGF1R	1277.29	2367.9	2271.4	988.12	890.44	967.76	902.89	571.05	915.51	890.44	2739.08	791.35	514.56	106.63	185.11	217.27	169.07	119.26	201.25	153.34	201.25	100.83	95.34	133.36	371.22	6.36	25.72	61.25	40.07	237.86	112.77	209.84	239.52	214.27	57.49
IKZF5	351.14	638.15	438.59	368.65	497.0	454.09	392.44	507.46	647.07	559.28	525.39	277.2	277.2	150.17	136.19	155.5	132.44	121.79	166.73	109.66	66.65	190.34	118.43	115.16	256.78	46.84	64.34	0.0	0.39	209.84	348.71	158.79	231.32	267.73	228.13
IMPACT	860.08	961.07	1088.92	775.05	981.29	1135.2	607.87	764.36	967.76	1191.69	988.12	376.41	358.54	191.67	301.33	420.68	463.65	327.56	361.04	265.87	299.25	361.04	246.28	334.46	583.07	275.28	146.03	271.48	120.1	332.14	161.02	444.72	287.01	395.18	480.04
KAT6B	825.0	848.22	1844.76	587.13	579.04	432.53	423.61	363.56	463.65	928.3	1233.75	265.87	376.41	73.03	133.36	223.41	152.28	101.54	115.16	121.79	75.64	67.59	110.43	122.64	271.48	28.04	19.25	53.95	57.08	212.78	248.0	279.14	205.5	314.17	78.89
KDM5A	1295.13	529.06	1233.75	384.34	447.82	246.28	329.84	473.41	698.41	500.46	571.05	102.97	320.8	105.15	253.23	218.79	177.53	158.79	190.34	180.02	144.01	125.24	156.59	163.28	473.41	47.84	36.53	0.0	0.58	267.73	191.67	376.41	239.52	483.38	87.65
KIAA1109	2061.24	1159.07	2434.5	796.86	915.51	629.35	698.41	1508.65	1519.15	1697.45	1757.34	583.07	624.99	183.82	366.09	314.17	366.09	267.73	273.37	256.78	366.09	140.04	260.38	309.83	490.14	97.36	81.14	0.0	0.77	476.71	536.45	490.14	285.03	575.03	119.26
KIF13A	738.29	1208.34	1437.15	559.28	733.19	656.11	753.83	995.0	1001.93	1295.13	1674.06	305.55	363.56	291.04	457.25	536.45	426.57	738.29	417.77	406.31	262.2	476.71	353.59	733.19	327.56	176.29	223.41	0.0	0.56	651.58	153.34	314.17	209.84	476.71	163.28
KITLG	1159.07	808.0	3901.01	1286.18	1583.71	836.53	780.44	915.51	305.55	679.29	521.76	99.43	217.27	182.55	323.03	279.14	154.42	133.36	299.25	500.46	329.84	563.18	169.07	381.68	318.57	22.75	34.02	0.0	0.42	429.54	165.57	587.13	267.73	316.37	435.55
LATS1	665.29	417.77	575.03	305.55	397.93	264.03	255.0	423.61	503.95	460.44	406.31	149.12	287.01	96.01	153.34	152.28	142.01	110.43	106.63	113.56	149.12	106.63	80.57	128.79	244.57	45.85	46.5	94.67	53.19	293.07	194.36	217.27	173.85	234.57	87.03
MARVELD2	808.0	470.14	796.86	249.73	624.99	733.19	220.32	299.25	483.38	289.02	397.93	221.86	351.14	36.79	102.25	80.01	218.79	115.97	48.18	114.36	145.02	108.9	42.71	100.13	336.79	154.42	260.38	102.97	215.77	236.21	595.34	483.38	312.0	1037.29	444.72
MBTPS2	426.57	287.01	387.02	255.0	301.33	346.29	229.72	336.79	356.05	314.17	379.04	124.37	193.01	91.41	209.84	116.78	182.55	74.06	201.25	170.25	115.16	142.01	59.55	141.02	151.22	109.66	71.5	318.57	197.09	199.85	249.73	115.16	140.04	260.38	115.97
MFSD8	332.14	236.21	381.68	202.66	231.32	171.45	191.67	312.0	361.04	305.55	301.33	195.72	221.86	144.01	138.1	128.79	95.34	149.12	89.51	148.09	120.1	150.17	128.79	138.1	183.82	69.03	127.0	0.0	0.2	215.77	283.05	197.09	223.41	169.07	136.19
MGA	638.15	320.8	995.0	193.01	281.09	150.17	163.28	287.01	358.54	466.88	409.15	140.04	211.31	80.57	70.01	178.77	78.89	94.67	72.01	76.71	16.63	74.06	48.87	127.89	149.12	28.65	24.63	73.03	66.65	167.9	142.01	149.12	116.78	229.72	40.07
MKL2	1457.23	1769.57	1977.24	536.45	1594.73	941.27	688.78	802.41	954.43	521.76	830.75	287.01	237.86	49.56	155.5	182.55	80.57	69.03	114.36	67.59	103.69	93.35	60.39	101.54	265.87	39.5	11.3	0.0	0.11	309.83	285.03	237.86	214.27	264.03	87.03
MOAP1	642.59	872.1	1313.23	612.11	1073.91	785.88	595.34	603.67	656.11	1119.56	1037.29	1832.01	1721.16	435.55	277.2	353.59	463.65	466.88	406.31	283.05	642.59	358.54	406.31	361.04	607.87	206.94	141.02	0.0	0.41	669.92	463.65	376.41	275.28	665.29	466.88
MOB1B	483.38	612.11	587.13	248.0	193.01	514.56	251.48	336.79	521.76	447.82	432.53	171.45	229.72	52.08	107.38	120.94	140.04	100.13	82.87	87.65	135.24	61.25	116.78	119.26	162.14	33.78	35.5	0.0	0.46	167.9	112.77	99.43	64.8	291.04	48.87
MTF1	167.9	269.6	93.35	150.17	215.77	148.09	149.12	262.2	336.79	226.54	264.03	53.19	126.12	35.25	82.29	102.25	53.95	53.19	70.01	75.64	67.59	50.98	67.59	77.25	84.63	34.26	36.53	69.03	46.18	141.02	84.04	96.01	133.36	130.6	39.5
NBR1	1870.53	1721.16	2061.24	1769.57	2133.97	1781.89	1857.6	2018.8	2193.99	2835.7	2701.35	1388.16	1651.0	529.06	947.83	1066.48	1277.29	769.69	830.75	902.89	723.08	607.87	743.43	633.73	1183.45	884.29	460.44	0.0	0.56	1159.07	1437.15	1111.82	738.29	1322.37	503.95
NEK9	878.17	967.76	748.61	780.44	1639.59	733.19	825.0	1208.34	1051.79	1651.0	1477.58	1286.18	974.5	395.18	633.73	738.29	842.36	591.22	703.28	603.67	607.87	656.11	543.96	791.35	743.43	532.74	297.17	0.0	0.79	764.36	633.73	629.35	371.22	595.34	130.6
NFAT5	432.53	253.23	575.03	155.5	277.2	244.57	114.36	480.04	406.31	642.59	896.64	271.48	480.04	31.0	89.51	87.03	77.79	86.43	56.68	109.66	138.1	43.94	72.52	82.29	198.47	5.02	18.97	0.0	0.48	189.02	262.2	239.52	94.67	145.02	33.3
NR2C2	525.39	432.53	348.71	199.85	293.07	332.14	135.24	301.33	318.57	255.0	412.0	125.24	123.5	53.95	136.19	93.35	67.12	116.78	116.78	84.04	148.09	120.1	117.6	98.04	253.23	50.98	60.39	0.0	0.48	211.31	187.71	220.32	198.47	141.02	61.25
OSBPL1A	1277.29	1844.76	2384.37	1551.09	1159.07	802.41	1088.92	1844.76	1388.16	813.63	1259.69	1008.9	1733.13	22.43	197.09	165.57	358.54	279.14	332.14	204.07	191.67	269.6	265.87	279.14	536.45	229.72	77.79	0.0	0.51	251.48	71.5	295.11	275.28	466.88	325.29
PBRM1	1378.57	884.29	1250.98	500.46	836.53	629.35	435.55	967.76	753.83	669.92	1044.52	262.2	470.14	171.45	258.57	277.2	234.57	204.07	226.54	202.66	209.84	158.79	154.42	234.57	483.38	85.82	101.54	0.0	0.57	575.03	249.73	392.44	339.14	409.15	138.1
PCMTD1	2018.8	1477.58	3768.09	2287.2	1709.26	2119.22	2485.67	1709.26	1936.53	3146.52	3039.3	1159.07	1259.69	368.65	660.68	334.46	1135.2	503.95	307.69	229.72	356.05	607.87	332.14	358.54	450.94	217.27	265.87	332.14	309.83	775.05	620.67	607.87	447.82	825.0	571.05
PGBD4	67.12	32.13	47.84	20.86	38.4	45.21	28.04	50.27	40.64	46.18	51.35	34.75	69.03	8.51	10.16	6.57	6.94	25.17	7.4	8.25	14.24	31.45	4.74	5.82	15.0	14.14	17.9	0.0	0.0	7.06	38.67	29.27	27.84	40.07	24.46
PHF20	780.44	665.29	1127.35	480.04	607.87	503.95	457.25	612.11	651.58	620.67	612.11	220.32	309.83	132.44	163.28	206.94	201.25	154.42	156.59	202.66	206.94	115.16	134.3	195.72	246.28	72.01	69.52	0.0	0.34	327.56	202.66	237.86	199.85	220.32	102.25
PIKFYVE	483.38	248.0	371.22	162.14	205.5	154.42	151.22	343.89	348.71	279.14	285.03	169.07	194.36	55.49	94.01	93.35	82.29	73.03	74.58	87.65	88.26	70.01	68.55	69.52	195.72	50.27	19.97	0.0	0.61	169.07	182.55	132.44	102.25	122.64	47.17
POLA1	547.75	234.57	599.49	162.14	154.42	208.38	173.85	204.07	215.77	186.4	275.28	62.56	154.42	126.12	165.57	130.6	112.77	136.19	163.28	120.94	134.3	106.63	106.63	147.06	183.82	27.25	29.48	0.0	0.42	218.79	162.14	94.67	119.26	183.82	56.68
PRKCE	376.41	158.79	163.28	110.43	156.59	154.42	105.15	146.03	161.02	85.22	76.71	128.79	221.86	13.83	50.27	52.82	44.89	37.85	61.68	52.08	57.49	43.94	47.5	55.1	68.07	63.45	20.86	0.0	0.02	116.78	141.02	84.04	131.51	90.14	89.51
PRTG	29.06	13.93	212.78	18.29	44.89	7.22	11.13	29.27	52.08	67.59	48.52	18.29	21.94	1.08	1.11	1.99	1.69	0.0	5.41	0.0	1.68	4.24	2.03	3.99	2.63	1.01	0.0	0.0	0.09	1.13	3.44	6.78	16.51	23.76	4.62
