	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.2Z.A9JG.01A.11R.A42S.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
CCDC91	629.35	603.67	256.78	255.0	941.27	567.1	703.28	255.0	583.07	775.05	896.64	124.37	435.55	525.39	511.0	406.31	373.81	232.94	435.55	279.14	361.04	251.48	139.07	63.0
CCNT1	142.01	218.79	141.02	101.54	269.6	164.42	277.2	69.03	236.21	218.79	414.87	48.18	105.89	126.12	137.14	218.79	96.68	78.34	69.52	100.83	59.97	49.91	67.12	38.67
CLIP1	483.38	775.05	275.28	348.71	1044.52	884.29	1143.1	348.71	954.43	1088.92	1151.06	172.65	532.74	974.5	591.22	733.19	438.59	334.46	460.44	341.51	271.48	314.17	191.67	143.01
CLOCK	265.87	172.65	58.3	91.41	185.11	161.02	206.94	68.55	198.47	198.47	241.19	67.59	127.89	99.43	102.97	162.14	76.71	94.01	117.6	45.53	58.71	44.57	33.78	14.67
CNOT2	624.99	934.76	698.41	591.22	974.5	878.17	1111.82	307.69	1151.06	1331.57	1487.87	353.59	559.28	780.44	490.14	941.27	607.87	460.44	493.56	624.99	363.56	193.01	325.29	260.38
CNOT6	262.2	220.32	128.79	150.17	327.56	234.57	381.68	81.14	253.23	271.48	470.14	161.02	217.27	178.77	206.94	314.17	166.73	134.3	127.0	112.77	81.71	54.72	31.67	25.17
CREB3L2	299.25	457.25	414.87	170.25	1066.48	1001.93	1651.0	114.36	289.02	460.44	808.0	223.41	599.49	483.38	830.75	1088.92	189.02	312.0	273.37	198.47	101.54	145.02	138.1	127.0
CRYAB	1503610.06	383800.28	239554.43	447025.24	177811.84	260332.24	130165.62	318292.9	408505.64	156954.93	67377.47	456418.21	546551.29	301123.38	391864.76	154794.07	513497.31	303217.87	329517.51	141455.6	589853.66	48.52	497.0	271.48
DCTN2	3928.15	5517.27	7230.1	6561.36	9025.81	5995.9	8963.45	3060.45	7081.29	15180.22	8840.04	4704.07	7180.15	7695.57	6164.49	8363.13	4123.49	4450.27	4972.34	4836.35	3768.09	1733.13	1697.45	1639.59
DENND5B	75.64	91.41	105.89	113.56	234.57	158.79	206.94	77.25	178.77	281.09	214.27	69.52	111.99	130.6	133.36	214.27	57.08	66.18	88.88	111.21	50.63	47.17	111.99	75.11
DNAJC14	595.34	490.14	450.94	387.02	878.17	616.37	684.02	273.37	848.22	878.17	866.07	295.11	521.76	638.15	647.07	693.58	356.05	316.37	366.09	500.46	289.02	214.27	136.19	226.54
DUSP18	161.02	137.14	98.04	65.72	154.42	170.25	159.9	45.85	88.88	111.21	231.32	50.98	108.14	97.36	115.97	204.07	48.18	68.07	73.54	68.07	34.75	5.45	8.99	7.17
EEA1	307.69	197.09	29.7	62.56	264.03	170.25	249.73	49.56	121.79	211.31	214.27	25.35	93.35	150.17	98.04	163.28	98.73	63.0	93.35	39.5	38.95	36.53	46.18	17.38
EP400	209.84	137.14	103.69	86.43	291.04	166.73	256.78	69.52	204.07	249.73	314.17	73.03	74.58	162.14	178.77	291.04	90.14	90.14	84.04	86.43	40.36	43.02	50.98	36.53
ERC1	295.11	334.46	202.66	237.86	500.46	532.74	728.11	75.11	432.53	529.06	480.04	189.02	323.03	277.2	389.72	466.88	199.85	164.42	202.66	163.28	118.43	44.89	104.42	90.77
ETNK1	336.79	348.71	224.97	264.03	669.92	389.72	384.34	119.26	265.87	638.15	1008.9	260.38	236.21	336.79	348.71	642.59	248.0	231.32	249.73	237.86	149.12	132.44	123.5	139.07
FAM21C	444.72	438.59	208.38	293.07	406.31	583.07	571.05	120.94	679.29	503.95	854.13	197.09	346.29	450.94	514.56	490.14	256.78	341.51	202.66	232.94	132.44	175.07	82.29	46.5
FAM60A	185.11	1551.09	1159.07	896.64	1950.0	1437.15	2591.27	466.88	2209.26	3103.19	2816.11	769.69	1674.06	1242.34	1519.15	1870.53	842.36	660.68	785.88	679.29	733.19	58.3	147.06	67.12
FBXO21	189.02	356.05	376.41	395.18	669.92	603.67	693.58	327.56	503.95	819.3	665.29	231.32	332.14	493.56	346.29	633.73	366.09	265.87	521.76	320.8	187.71	56.28	182.55	186.4
FBXW8	133.36	177.53	117.6	171.45	497.0	291.04	444.72	94.67	229.72	358.54	325.29	128.79	215.77	341.51	165.57	397.93	164.42	104.42	120.1	127.89	147.06	55.1	43.94	52.82
FMNL2	866.07	2384.37	444.72	447.82	708.18	928.3	1119.56	493.56	629.35	1151.06	1359.57	543.96	395.18	974.5	785.88	934.76	988.12	791.35	486.75	463.65	599.49	64.8	25.54	24.11
FOXJ2	167.9	205.5	121.79	76.17	231.32	190.34	248.0	66.65	167.9	229.72	289.02	77.79	100.13	129.69	183.82	194.36	98.04	99.43	98.04	79.45	58.71	55.1	71.0	60.82
FRS2	100.83	140.04	65.26	102.97	312.0	218.79	376.41	55.1	199.85	258.57	403.5	56.28	122.64	156.59	141.02	265.87	75.64	62.12	81.14	68.07	26.28	39.22	41.22	56.28
GATC	480.04	316.37	273.37	366.09	612.11	444.72	612.11	128.79	414.87	473.41	733.19	194.36	239.52	563.18	214.27	420.68	379.04	152.28	314.17	249.73	169.07	135.24	141.02	139.07
GCN1L1	503.95	583.07	423.61	708.18	1023.0	486.75	842.36	258.57	1191.69	1037.29	848.22	483.38	500.46	769.69	470.14	1015.93	514.56	325.29	343.89	376.41	389.72	279.14	204.07	285.03
GDPD1	33.06	119.26	43.63	79.45	68.55	91.41	75.64	46.5	73.54	122.64	153.34	19.25	53.19	92.05	53.95	90.14	111.21	90.14	37.05	52.08	51.71	62.56	4.13	5.28
GRB2	3280.18	2061.24	1769.57	1883.54	2816.11	3124.78	2875.3	1233.75	2178.83	2367.9	2451.44	1304.15	1819.35	2271.4	2417.67	2609.3	1991.0	1295.13	2163.77	2032.85	860.08	1143.1	540.19	679.29
GTF2H3	543.96	277.2	204.07	223.41	450.94	291.04	460.44	103.69	303.44	403.5	483.38	154.42	220.32	414.87	177.53	432.53	283.05	135.24	163.28	171.45	145.02	131.51	102.25	114.36
GXYLT1	186.4	140.04	67.59	94.01	165.57	150.17	256.78	58.3	136.19	201.25	260.38	43.32	58.3	147.06	145.02	107.38	163.28	75.64	74.58	57.08	57.08	44.57	68.07	36.53
INO80D	56.68	82.29	48.87	27.25	61.25	57.89	88.26	40.64	44.89	62.56	125.24	21.78	33.54	88.88	67.59	83.45	17.51	39.79	34.51	40.07	31.22	20.86	21.01	8.19
IPO8	486.75	624.99	361.04	435.55	802.41	567.1	743.43	176.29	555.41	896.64	825.0	325.29	559.28	412.0	373.81	669.92	303.44	299.25	303.44	361.04	156.59	134.3	154.42	187.71
KCTD10	775.05	665.29	426.57	466.88	934.76	688.78	1183.45	176.29	769.69	642.59	713.11	447.82	555.41	480.04	514.56	684.02	329.84	273.37	429.54	358.54	151.22	94.01	187.71	140.04
KL	90.77	470.14	209.84	748.61	718.08	1896.65	1857.6	466.88	204.07	1417.35	884.29	281.09	1487.87	890.44	723.08	1304.15	599.49	400.71	241.19	470.14	426.57	0.0	3.63	1.35
KLHL7	301.33	460.44	343.89	283.05	483.38	872.1	764.36	162.14	426.57	665.29	780.44	271.48	688.78	583.07	507.46	703.28	511.0	532.74	334.46	277.2	236.21	229.72	154.42	120.94
KRAS	195.72	363.56	297.17	199.85	473.41	264.03	351.14	99.43	381.68	563.18	728.11	161.02	507.46	241.19	182.55	518.15	137.14	164.42	180.02	139.07	93.35	53.19	79.45	44.89
LCA5	53.19	53.57	27.25	19.53	59.13	62.12	108.9	14.45	27.44	58.71	97.36	10.79	54.72	39.22	50.98	59.13	27.25	22.92	35.5	13.32	3.38	1.19	2.84	2.53
LCOR	175.07	170.25	48.87	64.34	191.67	154.42	234.57	40.07	132.44	199.85	307.69	36.53	68.07	106.63	138.1	166.73	104.42	64.34	74.06	48.18	22.75	38.12	30.34	17.77
LEMD3	189.02	195.72	144.01	105.15	301.33	191.67	297.17	76.71	217.27	295.11	397.93	93.35	178.77	161.02	182.55	256.78	104.42	93.35	120.1	107.38	53.57	56.28	60.39	63.89
MED13L	144.01	412.0	132.44	187.71	753.83	420.68	825.0	126.12	575.03	688.78	909.17	120.1	226.54	395.18	332.14	536.45	153.34	156.59	145.02	136.19	81.14	37.05	40.07	49.91
MKL2	133.36	189.02	69.52	107.38	303.44	205.5	460.44	61.25	109.66	190.34	307.69	87.65	138.1	181.28	104.42	441.64	94.67	73.54	55.1	59.55	39.5	22.1	28.65	39.79
MX2	583.07	135.24	38.67	26.28	138.1	120.1	341.51	20.71	122.64	27.05	144.01	86.43	33.06	48.18	41.22	148.09	17.9	22.92	59.13	31.0	12.83	10.31	34.26	25.54
NAA25	110.43	166.73	74.06	80.57	239.52	137.14	204.07	49.91	255.0	236.21	289.02	41.81	84.63	165.57	102.25	120.1	105.89	64.8	56.28	78.89	48.18	33.06	53.95	29.06
NCOR2	698.41	713.11	620.67	571.05	1757.34	842.36	896.64	536.45	1225.22	1322.37	1388.16	825.0	500.46	947.83	1015.93	1277.29	536.45	483.38	954.43	507.46	454.09	316.37	429.54	420.68
NEDD1	159.9	175.07	117.6	103.69	277.2	273.37	417.77	84.04	218.79	329.84	351.14	100.83	145.02	221.86	175.07	211.31	148.09	87.65	153.34	73.54	65.26	40.07	20.71	17.9
NSF	540.19	665.29	447.82	507.46	909.17	830.75	1001.93	356.05	420.68	507.46	928.3	438.59	423.61	825.0	493.56	698.41	660.68	616.37	312.0	480.04	221.86	353.59	199.85	211.31
PARP11	82.87	129.69	94.01	90.14	218.79	139.07	198.47	19.39	130.6	228.13	312.0	42.11	99.43	137.14	78.34	215.77	76.17	66.65	69.03	74.06	51.35	12.64	35.25	32.13
PFAS	363.56	329.84	348.71	312.0	525.39	607.87	579.04	124.37	447.82	521.76	450.94	211.31	299.25	808.0	361.04	718.08	373.81	423.61	171.45	447.82	348.71	96.01	114.36	149.12
PLCE1	51.35	73.54	45.53	52.82	67.12	142.01	208.38	48.87	88.26	100.83	34.26	7.46	18.84	100.13	83.45	138.1	25.17	33.78	57.89	28.24	31.9	6.78	7.63	4.54
POC1B	202.66	376.41	273.37	336.79	503.95	314.17	417.77	89.51	387.02	587.13	693.58	146.03	384.34	412.0	185.11	476.71	327.56	189.02	287.01	255.0	205.5	66.65	63.45	35.76
PPP1R12A	507.46	356.05	180.02	147.06	638.15	403.5	723.08	113.56	473.41	607.87	830.75	85.82	215.77	371.22	283.05	423.61	212.78	143.01	208.38	150.17	86.43	59.55	70.01	30.34
PPP1R9A	12.45	99.43	87.65	57.89	154.42	169.07	262.2	33.78	72.52	162.14	358.54	34.02	114.36	130.6	155.5	269.6	57.89	96.68	52.82	74.06	55.1	0.99	2.32	1.69
PRIM1	194.36	118.43	104.42	51.71	171.45	166.73	171.45	66.18	206.94	220.32	170.25	50.63	101.54	155.5	72.01	121.79	94.67	89.51	24.46	74.58	71.0	121.79	102.97	35.25
PTCD3	884.29	961.07	669.92	872.1	642.59	842.36	934.76	239.52	842.36	1051.79	1208.34	361.04	748.61	954.43	713.11	1199.98	866.07	525.39	339.14	896.64	325.29	376.41	323.03	379.04
PTPN11	1073.91	947.83	373.81	947.83	1350.18	1051.79	1208.34	395.18	1096.5	1721.16	1388.16	435.55	698.41	1096.5	536.45	1407.55	753.83	511.0	728.11	447.82	309.83	323.03	291.04	291.04
PUS7L	135.24	82.29	20.56	32.82	105.89	85.82	138.1	16.39	77.25	77.79	111.21	17.64	32.59	60.82	42.41	75.64	38.95	24.11	40.07	14.78	19.25	14.56	15.91	4.74
R3HDM2	379.04	819.3	379.04	769.69	974.5	674.59	684.02	511.0	830.75	819.3	1088.92	518.15	400.71	764.36	647.07	836.53	460.44	486.75	555.41	483.38	529.06	271.48	563.18	414.87
RAB35	785.88	759.08	718.08	536.45	928.3	775.05	866.07	287.01	1081.39	1167.14	1059.11	435.55	624.99	785.88	764.36	703.28	493.56	441.64	555.41	555.41	267.73	244.57	341.51	262.2
RAB5B	1369.04	1651.0	753.83	1519.15	2537.92	1883.54	2400.97	457.25	1617.0	2537.92	2555.58	830.75	1183.45	1540.37	1250.98	2119.22	1175.27	669.92	1015.93	785.88	384.34	460.44	327.56	660.68
RECQL	607.87	500.46	348.71	361.04	1104.13	753.83	941.27	181.28	808.0	928.3	1183.45	191.67	587.13	759.08	283.05	909.17	376.41	264.03	256.78	242.88	176.29	96.68	80.01	34.51
RHOQ	2796.65	2555.58	1331.57	1259.69	1519.15	1857.6	2061.24	1119.56	2148.82	2133.97	1819.35	1023.0	1819.35	1350.18	1151.06	1806.78	1508.65	1208.34	1709.26	708.18	1088.92	27.05	158.79	148.09
RNF41	915.51	536.45	500.46	536.45	1030.12	836.53	1127.35	236.21	995.0	1008.9	981.29	381.68	536.45	753.83	624.99	928.3	466.88	414.87	460.44	463.65	323.03	119.26	217.27	264.03
SCAF11	1143.1	967.76	371.22	343.89	1242.34	769.69	1259.69	301.33	988.12	1191.69	1259.69	162.14	490.14	674.59	511.0	1183.45	518.15	314.17	450.94	426.57	172.65	241.19	305.55	117.6
SCYL2	228.13	371.22	171.45	392.44	587.13	775.05	780.44	127.89	547.75	759.08	796.86	177.53	409.15	389.72	395.18	511.0	314.17	156.59	293.07	224.97	138.1	96.01	163.28	111.21
SENP1	130.6	135.24	87.03	49.56	167.9	156.59	217.27	38.4	138.1	159.9	190.34	44.57	101.54	90.77	107.38	113.56	63.0	41.81	44.89	55.49	47.17	23.42	41.52	22.59
SGMS2	343.89	189.02	52.45	183.82	320.8	466.88	603.67	108.9	281.09	384.34	532.74	144.01	303.44	231.32	223.41	389.72	182.55	104.42	173.85	125.24	63.89	60.82	99.43	51.71
SLC2A13	79.45	221.86	110.43	236.21	575.03	466.88	483.38	140.04	269.6	616.37	967.76	193.01	316.37	395.18	237.86	358.54	96.68	191.67	281.09	198.47	95.34	24.28	16.27	30.34
SMARCC2	974.5	988.12	532.74	612.11	1350.18	1313.23	1427.22	473.41	1508.65	1605.83	1923.14	507.46	656.11	842.36	1044.52	1295.13	612.11	476.71	400.71	525.39	351.14	241.19	150.17	275.28
SNX19	1066.48	1216.75	303.44	486.75	679.29	785.88	1268.46	251.48	536.45	525.39	819.3	480.04	693.58	796.86	575.03	921.88	441.64	376.41	373.81	316.37	351.14	236.21	246.28	237.86
SPATS2	293.07	403.5	423.61	301.33	392.44	587.13	575.03	114.36	733.19	802.41	616.37	107.38	417.77	438.59	563.18	503.95	403.5	159.9	224.97	242.88	271.48	77.25	84.63	71.0
SPTAN1	1639.59	921.88	1037.29	1437.15	1870.53	2367.9	1883.54	1151.06	2485.67	1963.57	1745.2	1388.16	1088.92	2609.3	1277.29	2777.33	1259.69	1447.15	1417.35	656.11	638.15	866.07	848.22	547.75
SRBD1	163.28	185.11	154.42	101.54	206.94	277.2	283.05	93.35	134.3	187.71	180.02	128.79	158.79	189.02	111.21	229.72	123.5	127.89	127.0	129.69	81.14	57.49	69.03	75.64
SRPK2	497.0	417.77	271.48	297.17	536.45	612.11	836.53	183.82	379.04	387.02	775.05	246.28	483.38	470.14	351.14	748.61	366.09	353.59	325.29	236.21	142.01	116.78	116.78	163.28
STK38L	503.95	176.29	117.6	127.89	303.44	195.72	435.55	60.82	169.07	236.21	406.31	65.26	189.02	181.28	152.28	255.0	113.56	77.79	127.0	94.01	49.21	39.22	90.77	79.45
TBC1D15	651.58	591.22	384.34	473.41	738.29	559.28	642.59	232.94	674.59	738.29	813.63	264.03	406.31	579.04	406.31	457.25	417.77	389.72	381.68	368.65	341.51	218.79	381.68	180.02
TCHP	241.19	363.56	185.11	246.28	356.05	346.29	363.56	223.41	460.44	470.14	457.25	211.31	215.77	403.5	244.57	387.02	249.73	260.38	334.46	173.85	148.09	163.28	88.88	104.42
TCP11L2	348.71	220.32	43.63	111.21	444.72	162.14	387.02	23.42	181.28	281.09	607.87	56.28	71.0	136.19	88.88	432.53	73.54	63.45	73.03	64.8	18.97	14.35	16.63	20.11
TET1	12.55	8.13	1.71	1.62	6.57	13.32	27.25	1.99	4.31	16.03	12.93	1.14	3.47	4.5	7.4	9.7	3.76	1.97	2.68	1.51	4.06	0.0	1.19	0.74
TLR3	239.52	156.59	109.66	82.87	358.54	303.44	647.07	50.63	120.1	264.03	334.46	105.89	211.31	228.13	138.1	297.17	101.54	120.94	92.7	70.01	47.5	3.44	13.22	38.12
TMED2	5041.77	4210.15	2468.49	3103.19	5292.48	4268.94	5913.33	1457.23	3614.55	5329.3	4607.24	2119.22	3060.45	4358.66	2682.69	3820.7	2148.82	1832.01	2335.28	2119.22	1991.0	2664.15	2451.44	2895.31
TMEM194A	81.14	145.02	78.89	76.17	190.34	120.1	187.71	76.17	187.71	155.5	318.57	39.5	108.14	173.85	115.97	170.25	62.56	76.17	61.25	63.0	32.82	41.22	17.38	47.17
TMEM194B	33.06	71.5	91.41	39.22	71.5	114.36	149.12	47.5	100.83	110.43	118.43	19.82	85.22	111.99	58.3	157.68	119.26	52.82	47.5	87.03	34.26	44.57	27.25	39.79
TMTC3	122.64	112.77	88.26	121.79	325.29	231.32	293.07	115.97	211.31	283.05	329.84	51.35	153.34	198.47	173.85	186.4	92.05	75.64	120.94	79.45	58.3	27.84	32.36	21.47
TRAF3IP1	128.79	275.28	248.0	157.68	217.27	316.37	329.84	183.82	199.85	339.14	381.68	185.11	381.68	277.2	287.01	420.68	103.69	178.77	187.71	220.32	97.36	75.11	59.97	57.89
TWF1	1135.2	1605.83	713.11	1199.98	1806.78	1268.46	1498.22	748.61	1268.46	2502.97	2047.0	708.18	1208.34	1572.76	848.22	1295.13	974.5	791.35	1259.69	854.13	599.49	417.77	447.82	316.37
UBL3	242.88	463.65	189.02	343.89	688.78	368.65	412.0	199.85	346.29	563.18	587.13	253.23	444.72	329.84	346.29	497.0	256.78	275.28	325.29	217.27	214.27	180.02	178.77	260.38
UBXN4	1008.9	1819.35	848.22	830.75	1143.1	1519.15	2178.83	684.02	1331.57	1583.71	2090.03	555.41	1286.18	1119.56	1127.35	1268.46	1135.2	733.19	872.1	775.05	591.22	647.07	620.67	334.46
USP54	151.22	343.89	159.9	120.1	371.22	303.44	447.82	78.34	301.33	316.37	447.82	119.26	229.72	236.21	353.59	432.53	148.09	167.9	80.57	127.89	180.02	232.94	80.57	36.79
UTP20	159.9	75.64	102.25	108.9	234.57	164.42	256.78	44.57	142.01	229.72	181.28	40.64	92.7	217.27	78.89	175.07	73.03	66.18	58.3	88.26	59.97	32.36	27.25	20.11
VEZT	483.38	928.3	432.53	595.34	872.1	1001.93	1397.83	287.01	866.07	928.3	1051.79	346.29	493.56	647.07	753.83	579.04	563.18	293.07	438.59	384.34	273.37	172.65	234.57	166.73
WBP11	532.74	1059.11	1001.93	921.88	1757.34	1304.15	1551.09	660.68	1498.22	1819.35	1529.73	620.67	819.3	1208.34	921.88	1477.58	836.53	679.29	842.36	1044.52	684.02	450.94	612.11	514.56
WNK1	848.22	1159.07	264.03	665.29	1407.55	1030.12	1651.0	258.57	896.64	1015.93	1467.37	438.59	417.77	591.22	633.73	934.76	551.56	389.72	486.75	226.54	231.32	228.13	323.03	281.09
ZBTB39	87.65	47.5	30.12	24.99	53.19	40.93	55.49	16.03	53.95	58.71	99.43	13.52	31.0	34.75	33.06	59.97	32.59	20.71	18.97	23.42	9.7	13.22	20.26	15.11
ZNF664	1870.53	1277.29	1088.92	1143.1	1745.2	1477.58	1923.14	490.14	2047.0	3794.3	2609.3	587.13	1617.0	1369.04	1030.12	1832.01	698.41	688.78	1104.13	802.41	555.41	265.87	291.04	368.65
