	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CCDC24	1487.87	463.65	84.04	503.95	633.73	503.95	426.57	438.59	819.3	665.29	543.96	406.31	301.33	336.79	256.78	961.07	193.01	703.28	45.21	43.63	22.26	151.22	100.83	125.24	80.57	48.52	180.02	587.13	256.78	71.0	57.89	30.34	305.55	1662.49	0.0	0.16
CNKSR1	1143.1	591.22	336.79	780.44	642.59	480.04	387.02	555.41	450.94	454.09	1286.18	466.88	493.56	432.53	423.61	684.02	341.51	532.74	15.34	10.47	4.98	220.32	55.49	115.97	67.12	13.22	194.36	529.06	316.37	50.98	24.11	40.36	341.51	595.34	0.0	0.18
CRB3	825.0	521.76	249.73	454.09	423.61	988.12	536.45	638.15	961.07	543.96	780.44	819.3	1199.98	283.05	414.87	435.55	476.71	941.27	8.78	21.63	0.0	127.0	23.76	54.33	32.82	2.66	147.06	244.57	142.01	18.43	29.7	14.89	212.78	1127.35	0.0	0.0
CTD-3193O13.9	703.28	193.01	59.97	159.9	163.28	389.72	145.02	279.14	151.22	409.15	166.73	412.0	156.59	134.3	532.74	260.38	41.22	366.09	1.66	7.11	1.93	39.22	8.51	20.11	9.93	1.66	39.79	183.82	57.08	2.46	3.14	1.16	113.56	253.23	0.0	0.31
EML2	1529.73	616.37	312.0	775.05	679.29	1378.57	1143.1	1250.98	1242.34	1477.58	785.88	1313.23	1350.18	1216.75	890.44	1583.71	1159.07	2835.7	279.14	255.0	232.94	563.18	346.29	518.15	381.68	269.6	447.82	1286.18	825.0	239.52	275.28	312.0	698.41	2255.7	0.0	0.87
GADD45G	1806.78	642.59	72.01	287.01	269.6	329.84	674.59	432.53	291.04	490.14	332.14	346.29	629.35	104.42	131.51	220.32	115.97	1322.37	61.25	56.68	35.5	78.89	61.25	61.68	49.56	31.45	808.0	1295.13	98.73	17.64	76.17	49.56	102.25	4095.0	0.0	0.6
GOLT1A	612.11	291.04	73.54	124.37	66.18	400.71	305.55	307.69	555.41	299.25	444.72	341.51	435.55	285.03	124.37	157.68	140.04	229.72	10.47	12.18	0.66	56.28	21.47	15.91	10.63	3.14	54.33	248.0	92.05	5.32	4.9	5.45	111.21	1674.06	0.0	0.0
HPN	2004.85	536.45	9.13	1322.37	1008.9	1991.0	1066.48	2875.3	3168.41	1540.37	1295.13	2956.17	1044.52	1605.83	660.68	4543.8	78.89	1519.15	27.05	21.01	5.19	104.42	45.21	79.45	40.93	25.35	41.81	2104.58	514.56	23.25	9.41	27.05	559.28	1044.52	0.0	0.35
LRRC56	239.52	70.01	23.59	104.42	121.79	199.85	105.89	169.07	163.28	124.37	127.89	102.97	157.68	64.8	25.54	146.03	22.92	108.14	3.69	2.63	2.18	23.42	5.96	10.96	6.78	5.87	29.7	106.63	32.59	8.13	2.48	2.12	64.8	303.44	0.0	0.11
MARCKSL1	6652.97	6079.61	4869.99	3372.43	4769.75	4639.29	8134.41	3039.3	5555.65	5672.41	9215.48	6652.97	1769.57	3742.05	7857.29	954.43	1216.75	4869.99	423.61	457.25	325.29	1572.76	723.08	1175.27	830.75	283.05	2163.77	3419.52	2855.44	587.13	423.61	493.56	4419.52	5255.91	0.0	0.4
NINJ1	5112.16	2816.11	1551.09	3325.99	3257.52	3742.05	3665.02	2485.67	6294.04	3639.7	3124.78	3235.01	2451.44	2104.58	1697.45	4298.64	1721.16	3443.31	954.43	1794.29	1104.13	1617.0	2032.85	1605.83	1857.6	1417.35	2209.26	2645.74	2855.44	723.08	1662.49	521.76	2163.77	3515.68	0.0	0.44
PAFAH1B3	2451.44	2520.38	1427.22	1477.58	2090.03	1498.22	3103.19	2777.33	4181.07	2468.49	2701.35	3103.19	1561.89	2720.15	3060.45	3395.89	486.75	2240.11	60.39	57.49	45.53	320.8	191.67	332.14	195.72	45.53	521.76	830.75	575.03	111.21	109.66	51.35	825.0	1388.16	0.0	0.27
PDRG1	1059.11	536.45	454.09	329.84	470.14	651.58	902.89	414.87	808.0	780.44	813.63	381.68	379.04	813.63	438.59	450.94	329.84	432.53	279.14	205.5	209.84	287.01	329.84	376.41	299.25	185.11	356.05	587.13	571.05	242.88	135.24	281.09	723.08	368.65	0.0	0.58
PRKCZ	620.67	376.41	215.77	281.09	414.87	381.68	255.0	435.55	612.11	518.15	808.0	412.0	173.85	218.79	242.88	423.61	387.02	406.31	21.16	13.32	11.64	156.59	79.45	87.03	67.59	13.83	162.14	312.0	214.27	31.0	44.25	37.59	239.52	536.45	0.0	0.42
PROM2	1674.06	1073.91	1498.22	1143.1	1286.18	2835.7	1088.92	579.04	555.41	1551.09	2047.0	1467.37	2555.58	1697.45	3146.52	1051.79	4481.23	878.17	20.11	60.39	2.92	490.14	109.66	275.28	154.42	10.47	287.01	1119.56	493.56	40.64	47.5	33.54	708.18	8421.31	0.0	0.36
PRR19	98.73	64.34	30.12	37.85	71.0	57.89	74.06	39.79	108.9	61.68	99.43	64.8	48.18	39.5	105.89	58.3	23.93	54.72	2.48	3.11	1.51	16.03	4.17	7.57	2.32	2.46	16.63	32.59	28.24	4.5	6.94	0.0	43.94	46.18	0.0	0.0
RAB13	6207.38	4769.75	3303.0	3665.02	2855.44	6561.36	4937.99	5329.3	5555.65	3982.99	3742.05	8963.45	5183.54	5517.27	2739.08	5954.47	3395.89	4836.35	2485.67	1685.71	1662.49	2816.11	2976.74	3589.58	3103.19	1769.57	2485.67	2061.24	2591.27	2555.58	2816.11	2209.26	2351.53	4802.93	0.0	0.72
RAB25	5913.33	4268.94	3768.09	3847.29	2664.15	4152.18	3443.31	3847.29	6887.62	4869.99	5711.87	5831.91	3820.7	3491.39	4802.93	3103.19	2032.85	4210.15	93.35	95.34	0.46	753.83	295.11	532.74	264.03	3.66	713.11	1340.84	1127.35	72.52	105.89	58.71	1417.35	6426.31	0.0	0.26
RAB26	607.87	153.34	70.01	289.02	511.0	218.79	111.99	143.01	325.29	137.14	191.67	236.21	202.66	134.3	346.29	341.51	14.14	363.56	6.78	5.96	1.33	44.57	4.58	12.64	4.7	12.55	42.11	63.89	20.11	4.54	0.0	1.93	49.21	414.87	0.0	0.24
RGS14	769.69	389.72	285.03	301.33	307.69	830.75	447.82	583.07	295.11	551.56	536.45	551.56	830.75	514.56	409.15	647.07	343.89	476.71	41.22	61.25	80.57	181.28	94.67	139.07	93.35	59.13	395.18	460.44	116.78	38.95	73.03	79.45	289.02	256.78	0.0	0.56
RHPN1	1540.37	318.57	40.07	130.6	211.31	616.37	191.67	320.8	441.64	327.56	348.71	366.09	607.87	161.02	679.29	450.94	141.02	189.02	13.22	11.47	10.88	64.34	32.82	59.55	30.56	20.71	72.52	295.11	85.22	33.3	6.67	6.67	234.57	1733.13	0.0	1.0
RRNAD1	2209.26	1529.73	438.59	1268.46	1001.93	1304.15	1378.57	1870.53	2018.8	1268.46	1651.0	1304.15	1437.15	1617.0	1081.39	1781.89	642.59	967.76	500.46	493.56	389.72	728.11	642.59	551.56	473.41	633.73	403.5	1167.14	532.74	389.72	366.09	361.04	713.11	1467.37	0.0	0.67
SCGB2A2	649962.87	1800541.22	857631.47	938500.81	1318073.06	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	834179.46	1524599.69	8805660.77	1345768.59	1578364.61	1059.11	142.01	0.0	28132.47	15607.02	35856.82	10659.59	127.0	1442359.14	1019901.63	641014.63	0.46	22.26	0.12	731246.37	1503610.06	0.0	0.0
SYNE4	1023.0	307.69	98.73	301.33	371.22	486.75	429.54	409.15	785.88	444.72	305.55	555.41	392.44	420.68	336.79	688.78	237.86	764.36	8.85	13.03	2.29	162.14	29.27	88.26	28.65	4.58	115.16	327.56	155.5	17.0	18.03	8.99	224.97	5183.54	0.0	0.4
TJP3	2209.26	1059.11	239.52	825.0	633.73	1572.76	1447.15	1044.52	2178.83	1617.0	1051.79	1151.06	1250.98	447.82	884.29	1277.29	438.59	915.51	13.42	23.76	0.21	177.53	49.91	147.06	52.08	1.01	199.85	521.76	329.84	7.0	27.05	8.06	279.14	12244.81	0.0	0.44
TMEM79	547.75	435.55	158.79	260.38	297.17	323.03	123.5	251.48	836.53	514.56	928.3	341.51	373.81	114.36	158.79	163.28	126.12	205.5	67.12	51.35	64.8	121.79	92.05	108.14	71.0	41.22	63.0	305.55	140.04	28.65	48.18	41.52	269.6	124.37	0.0	0.42
TSTD1	12076.21	6699.25	1529.73	4704.07	3419.52	6037.61	6699.25	4802.93	16045.82	7081.29	8022.41	9808.75	7857.29	5831.91	5183.54	7695.57	3639.7	9344.14	1883.54	2178.83	540.19	1709.26	961.07	988.12	860.08	1388.16	1950.0	3639.7	1498.22	728.11	1572.76	2384.37	3103.19	5006.93	0.0	0.35
WDR34	1745.2	1059.11	764.36	1030.12	1199.98	1540.37	928.3	1651.0	2090.03	1216.75	1037.29	2178.83	1151.06	688.78	825.0	1561.89	769.69	1508.65	175.07	171.45	185.11	426.57	332.14	409.15	289.02	152.28	490.14	974.5	420.68	287.01	242.88	118.43	780.44	3235.01	0.0	0.32
