	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QJ3.1926.SM.5QGQM	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.ZYVF.2526.SM.5E45C	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.Y111.1826.SM.4SOIR	GTEX.VUSG.1026.SM.4KKZN	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.NPJ8.2026.SM.3TW91	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYY3.1626.SM.5EGJF	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A4NG.01A.11R.A27V.07	GTEX.11ZUS.2526.SM.59872	GTEX.1269C.0626.SM.5FQSS	GTEX.13O3O.1826.SM.5IFGW	GTEX.R55D.0926.SM.3GAEU	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF
CHRNA10	22.1	23.76	25.17	40.07	41.22	47.17	22.43	23.59	76.71	42.71	91.41	72.01	35.76	155.5	16.27	54.33	43.94	7.69	61.25	41.52	2.78	2.32	2.01	8.19	7.28	2.71	2.07	7.28	13.32	13.32	30.56	16.15	9.78	14.24	20.11	5.68	10.39	18.97	8.25	51.35	7.88	6.62	42.71	4.9	31.67	8.78	14.45	11.3	13.32	20.71	11.55	11.47
CLK1	2163.77	1844.76	6792.79	9025.81	7537.18	5594.3	7230.1	5183.54	6652.97	4671.57	7911.95	7857.29	5403.7	9740.98	10154.69	5219.6	6121.9	10296.45	6471.02	7032.37	1001.93	1051.79	1427.22	595.34	836.53	327.56	1583.71	825.0	988.12	2133.97	4095.0	3103.19	1088.92	1819.35	866.07	780.44	1135.2	1551.09	2758.13	1467.37	1769.57	1551.09	3235.01	2997.45	2997.45	1467.37	723.08	2075.59	1628.26	4298.64	3168.41	2351.53
CLK3	1617.0	1407.55	1757.34	2047.0	1936.53	1457.23	1721.16	1350.18	2163.77	1819.35	2209.26	2451.44	1781.89	2061.24	1806.78	1806.78	1819.35	1674.06	2090.03	1781.89	1407.55	1268.46	842.36	1242.34	981.29	1199.98	753.83	1662.49	1051.79	1199.98	1883.54	1529.73	1540.37	848.22	1143.1	738.29	660.68	819.3	819.3	463.65	1508.65	896.64	1159.07	1073.91	1008.9	981.29	1001.93	1397.83	1359.57	1397.83	1242.34	1111.82
CRELD1	629.35	954.43	1540.37	1540.37	1304.15	1651.0	1467.37	1313.23	1628.26	3039.3	3039.3	2090.03	1977.24	5076.84	1617.0	1487.87	1781.89	1540.37	1781.89	1639.59	753.83	848.22	665.29	1081.39	1008.9	884.29	529.06	988.12	819.3	587.13	819.3	928.3	1096.5	764.36	1159.07	1104.13	947.83	825.0	860.08	299.25	921.88	473.41	571.05	1407.55	567.1	412.0	607.87	629.35	629.35	1350.18	1331.57	728.11
CRYGS	169.07	81.71	281.09	260.38	271.48	215.77	149.12	208.38	314.17	139.07	309.83	381.68	239.52	318.57	132.44	267.73	314.17	144.01	273.37	269.6	4.28	6.62	12.64	33.54	22.75	22.59	10.96	13.42	53.19	55.1	214.27	127.0	21.78	69.03	62.12	27.64	43.32	57.89	31.22	38.67	163.28	64.34	127.0	67.59	115.16	23.25	38.95	23.76	50.27	48.87	49.21	68.55
DGCR8	629.35	470.14	647.07	559.28	698.41	559.28	571.05	733.19	713.11	785.88	718.08	791.35	902.89	830.75	486.75	775.05	656.11	450.94	791.35	633.73	180.02	85.22	175.07	228.13	226.54	199.85	244.57	194.36	309.83	242.88	629.35	356.05	223.41	297.17	295.11	137.14	269.6	575.03	167.9	187.71	435.55	432.53	444.72	325.29	435.55	316.37	336.79	265.87	256.78	249.73	256.78	236.21
DHPS	1923.14	1769.57	2451.44	2104.58	2303.12	2193.99	1991.0	2148.82	2645.74	2855.44	2835.7	2796.65	2417.67	4095.0	2193.99	2224.63	2739.08	1870.53	2701.35	2119.22	1991.0	1233.75	988.12	1709.26	1733.13	2075.59	848.22	2119.22	1963.57	1662.49	2537.92	2319.15	2004.85	1250.98	1457.23	1268.46	1697.45	1437.15	1397.83	848.22	1417.35	1359.57	1832.01	1191.69	1745.2	2271.4	1477.58	1407.55	1350.18	1529.73	1819.35	1551.09
DLG4	189.02	267.73	743.43	902.89	1104.13	624.99	896.64	813.63	890.44	1066.48	1304.15	921.88	1143.1	1467.37	753.83	748.61	890.44	567.1	769.69	819.3	102.97	48.52	36.53	199.85	146.03	78.89	145.02	137.14	123.5	239.52	521.76	409.15	190.34	189.02	190.34	39.5	104.42	63.89	150.17	42.71	185.11	320.8	232.94	153.34	89.51	138.1	156.59	124.37	138.1	532.74	409.15	176.29
DMTF1	642.59	764.36	2032.85	2104.58	2240.11	2104.58	1697.45	2193.99	2255.7	2255.7	2351.53	1936.53	2720.15	1950.0	1870.53	1832.01	2224.63	1191.69	2915.45	2148.82	220.32	226.54	185.11	441.64	358.54	343.89	248.0	234.57	447.82	638.15	2645.74	884.29	146.03	660.68	1259.69	289.02	616.37	164.42	258.57	185.11	1268.46	703.28	1167.14	934.76	1359.57	249.73	444.72	373.81	246.28	848.22	638.15	327.56
DPYSL2	454.09	579.04	1477.58	1806.78	1781.89	1991.0	1268.46	2047.0	1127.35	1051.79	995.0	928.3	915.51	1662.49	1457.23	1594.73	1104.13	1540.37	1617.0	1447.15	264.03	115.97	87.65	69.03	249.73	158.79	195.72	145.02	297.17	1923.14	1175.27	1277.29	514.56	854.13	796.86	480.04	146.03	127.89	441.64	356.05	1745.2	363.56	1277.29	2061.24	775.05	258.57	273.37	234.57	190.34	1088.92	808.0	414.87
EFCAB13	53.95	35.0	138.1	169.07	176.29	162.14	96.68	151.22	173.85	166.73	89.51	209.84	96.68	281.09	291.04	209.84	185.11	81.71	395.18	98.04	44.57	57.08	28.65	51.71	48.52	29.91	102.25	53.95	59.13	85.82	92.7	45.53	20.26	70.51	38.67	38.67	103.69	43.94	32.82	6.62	38.12	33.06	73.54	34.75	66.18	39.5	20.56	40.36	9.06	87.65	100.13	9.85
ELMOD3	497.0	403.5	656.11	638.15	603.67	612.11	591.22	567.1	780.44	674.59	718.08	836.53	775.05	915.51	551.56	624.99	703.28	470.14	684.02	665.29	178.77	169.07	231.32	287.01	161.02	204.07	412.0	189.02	177.53	258.57	551.56	301.33	185.11	303.44	182.55	226.54	295.11	191.67	212.78	97.36	532.74	255.0	397.93	507.46	476.71	234.57	376.41	447.82	460.44	395.18	466.88	384.34
EVC2	19.39	23.59	118.43	199.85	183.82	108.14	105.89	132.44	157.68	135.24	154.42	125.24	111.99	186.4	124.37	137.14	82.87	101.54	106.63	204.07	3.2	52.82	59.13	75.11	40.07	0.92	50.63	55.49	37.05	56.68	93.35	57.49	39.79	51.35	64.8	55.89	2.27	6.73	6.89	1.28	34.26	4.9	30.34	24.46	17.38	14.45	12.09	13.83	5.5	67.12	71.5	38.4
FP15737	299.25	126.12	476.71	389.72	497.0	414.87	271.48	441.64	406.31	356.05	346.29	543.96	423.61	813.63	389.72	373.81	409.15	244.57	521.76	441.64	30.34	12.55	20.86	14.35	20.56	10.39	32.59	11.82	64.8	148.09	303.44	265.87	13.03	97.36	234.57	183.82	127.0	164.42	255.0	130.6	180.02	147.06	131.51	199.85	108.14	194.36	141.02	127.0	100.13	279.14	166.73	103.69
GABBR1	420.68	486.75	2032.85	1697.45	1769.57	1467.37	1794.29	1721.16	2627.46	2367.9	1806.78	2384.37	2701.35	2520.38	1909.85	1870.53	2351.53	866.07	2976.74	1583.71	33.54	26.28	100.13	50.98	96.01	22.26	169.07	79.45	221.86	199.85	836.53	358.54	61.68	248.0	323.03	57.89	29.91	26.86	164.42	5.28	297.17	199.85	503.95	198.47	651.58	132.44	155.5	172.65	127.89	629.35	490.14	163.28
GABRA5	0.0	0.28	444.72	46.18	10.47	14.03	206.94	23.25	295.11	417.77	1.48	309.83	392.44	43.94	165.57	107.38	503.95	115.97	120.94	140.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.63	0.0	0.45	0.0	1.0	0.0	0.51	0.0	1.66	0.0	3.69	0.0	1.23	6.78	1.71	2.27	5.45	2.53	10.79	0.0	12.09	2.41	2.32
GNB3	55.49	69.52	309.83	249.73	392.44	295.11	215.77	234.57	343.89	155.5	547.75	361.04	314.17	536.45	251.48	320.8	316.37	211.31	239.52	343.89	0.53	3.79	0.0	12.74	3.03	0.0	14.56	4.5	12.18	3.96	175.07	23.59	7.0	14.56	3.38	5.82	8.45	12.27	20.71	3.38	8.65	66.65	50.63	26.86	16.15	11.91	32.36	7.28	20.86	41.52	105.89	30.78
GNRH1	84.63	38.4	373.81	305.55	429.54	260.38	242.88	262.2	343.89	332.14	232.94	409.15	269.6	295.11	271.48	258.57	312.0	116.78	214.27	262.2	10.88	8.51	18.7	14.56	18.29	4.66	22.59	8.06	29.91	58.3	169.07	104.42	14.89	36.79	49.56	8.99	15.68	43.63	8.58	3.06	12.18	32.13	90.14	58.3	90.77	4.94	28.24	22.59	32.59	127.0	71.0	16.63
GPR135	13.03	17.0	72.01	51.35	29.48	80.57	39.79	60.82	69.52	70.01	40.36	56.28	78.89	55.89	64.34	57.89	70.01	38.67	71.0	54.72	2.73	1.83	1.0	6.36	14.67	1.77	3.66	10.0	9.27	37.59	50.63	32.13	19.25	31.45	18.29	14.14	16.27	3.03	7.88	1.16	30.34	14.45	46.18	19.53	5.5	4.13	15.0	11.55	6.06	46.84	31.0	10.39
GUCA1B	32.13	13.83	20.71	29.48	44.57	18.7	37.59	43.32	53.57	21.47	35.25	83.45	57.08	59.97	38.67	40.64	33.06	16.51	24.11	49.91	2.76	10.88	3.44	4.28	3.38	12.27	17.38	13.93	9.85	13.72	43.94	11.47	1.3	16.15	12.45	19.25	18.29	34.26	21.47	8.92	32.82	15.22	49.56	3.06	2.63	10.71	3.59	8.0	6.36	2.46	4.94	5.28
HERC4	373.81	470.14	599.49	490.14	616.37	540.19	438.59	476.71	567.1	532.74	571.05	647.07	753.83	909.17	703.28	486.75	603.67	470.14	651.58	559.28	167.9	267.73	169.07	114.36	156.59	224.97	199.85	115.16	122.64	242.88	480.04	264.03	101.54	341.51	246.28	139.07	698.41	156.59	400.71	163.28	836.53	426.57	454.09	438.59	325.29	180.02	275.28	228.13	190.34	368.65	435.55	205.5
HINFP	651.58	463.65	836.53	703.28	633.73	723.08	595.34	595.34	1008.9	693.58	954.43	1008.9	796.86	1127.35	483.38	780.44	909.17	466.88	941.27	866.07	239.52	212.78	153.34	148.09	264.03	187.71	221.86	265.87	262.2	341.51	679.29	403.5	281.09	309.83	287.01	147.06	226.54	131.51	178.77	152.28	366.09	271.48	327.56	356.05	409.15	351.14	297.17	303.44	366.09	441.64	483.38	336.79
HOXB4	40.64	73.03	187.71	190.34	190.34	199.85	253.23	186.4	217.27	220.32	246.28	232.94	211.31	336.79	209.84	205.5	201.25	236.21	229.72	198.47	100.83	33.54	45.21	258.57	98.04	90.14	45.21	69.03	108.9	53.57	82.87	60.39	72.52	80.01	4.9	121.79	3.99	6.89	18.7	1.04	16.63	33.78	134.3	6.84	59.97	34.75	26.67	26.47	20.71	195.72	161.02	92.05
HRH4	0.0	1.55	1.93	6.62	6.78	3.59	1.39	1.97	19.97	2.73	2.01	2.94	5.23	6.78	3.2	4.1	2.34	3.41	4.94	1.73	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.96	0.0	0.95	2.56	0.45	0.84	0.51	0.0	1.01	1.36	1.0	0.0	0.8	1.43	0.51	0.0	0.0	0.43	0.52	1.45	0.0	0.44	5.5	2.32	1.95
ILKAP	854.13	825.0	1277.29	1059.11	1277.29	1208.34	1175.27	1167.14	1322.37	1407.55	1359.57	1605.83	1225.22	1427.22	1208.34	1322.37	1322.37	819.3	1167.14	1208.34	275.28	246.28	432.53	351.14	403.5	246.28	473.41	334.46	381.68	486.75	890.44	603.67	358.54	547.75	406.31	381.68	551.56	633.73	540.19	713.11	1044.52	603.67	718.08	529.06	947.83	356.05	490.14	432.53	406.31	698.41	612.11	389.72
INPP5B	248.0	293.07	647.07	507.46	748.61	559.28	718.08	583.07	718.08	718.08	403.5	718.08	890.44	1259.69	595.34	476.71	819.3	432.53	802.41	693.58	97.36	127.0	60.82	111.21	92.05	115.97	98.73	76.71	96.68	204.07	532.74	199.85	165.57	246.28	81.14	82.29	126.12	131.51	115.16	57.89	612.11	185.11	281.09	202.66	236.21	146.03	220.32	170.25	162.14	312.0	262.2	178.77
INTS3	674.59	764.36	1857.6	2018.8	2004.85	1551.09	2209.26	1769.57	2701.35	2032.85	2537.92	2935.74	2915.45	1991.0	2271.4	1883.54	2485.67	1662.49	2384.37	2133.97	323.03	281.09	327.56	486.75	397.93	301.33	500.46	361.04	412.0	896.64	1857.6	1508.65	392.44	796.86	728.11	514.56	981.29	339.14	547.75	113.56	1233.75	738.29	988.12	1519.15	1127.35	497.0	595.34	842.36	688.78	890.44	854.13	708.18
JAM3	273.37	607.87	1151.06	1001.93	928.3	934.76	1467.37	1340.84	1242.34	1159.07	1037.29	1073.91	1388.16	796.86	1561.89	1378.57	1304.15	1378.57	947.83	1397.83	295.11	77.25	53.57	93.35	209.84	616.37	107.38	125.24	262.2	1059.11	974.5	529.06	154.42	366.09	38.67	40.07	70.51	48.18	71.0	30.34	444.72	135.24	486.75	151.22	140.04	145.02	232.94	199.85	119.26	1295.13	764.36	384.34
