	GTEX.14E6E.1526.SM.5RQIG	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.3M.AB47.01A.22R.A414.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
ARHGAP29	22.59	71.0	890.44	106.63	63.89	327.56	220.32	848.22	769.69	295.11	305.55	688.78	571.05	214.27	83.45	285.03	208.38	146.03	769.69	279.14	607.87	368.65	329.84	221.86	255.0	217.27	117.6	363.56	44.25	105.89	285.03	197.09	57.08	146.03	131.51	423.61	348.71	269.6	334.46	387.02	480.04	532.74	713.11	271.48	183.82	412.0	409.15	320.8
ARHGEF15	28.24	116.78	759.08	76.71	121.79	133.36	205.5	642.59	426.57	14.89	87.03	37.05	457.25	48.87	105.89	46.18	38.95	19.97	10.71	37.32	26.1	80.01	22.43	24.28	61.68	41.22	6.89	220.32	53.57	132.44	395.18	205.5	73.54	118.43	125.24	647.07	503.95	343.89	327.56	928.3	629.35	748.61	591.22	518.15	314.17	703.28	629.35	567.1
ATP10A	15.56	28.04	214.27	2.01	10.55	6.26	12.36	63.0	201.25	3.11	20.56	63.89	47.5	2.1	2.92	7.69	0.83	3.82	4.13	7.75	2.48	22.75	3.32	7.57	3.47	4.24	3.2	211.31	4.28	45.21	154.42	19.82	39.22	82.29	85.22	26.86	12.55	6.21	24.28	320.8	81.71	28.65	103.69	78.89	12.27	49.21	27.25	13.42
C10orf128	55.1	334.46	825.0	43.63	132.44	44.25	67.59	575.03	87.03	39.5	125.24	217.27	1199.98	61.25	63.0	67.12	40.64	21.16	63.89	31.9	43.63	125.24	58.71	55.1	93.35	124.37	29.06	563.18	32.59	80.57	271.48	161.02	100.13	182.55	273.37	223.41	181.28	175.07	158.79	329.84	283.05	368.65	633.73	53.57	126.12	163.28	171.45	389.72
C1orf54	119.26	373.81	748.61	291.04	486.75	961.07	480.04	1697.45	733.19	102.97	466.88	348.71	941.27	169.07	103.69	128.79	115.97	205.5	119.26	153.34	159.9	279.14	111.99	135.24	76.17	158.79	88.26	703.28	63.45	343.89	660.68	201.25	94.67	170.25	470.14	583.07	389.72	255.0	389.72	656.11	693.58	551.56	1936.53	336.79	264.03	480.04	543.96	836.53
CALCRL	36.79	97.36	287.01	149.12	59.55	123.5	193.01	1709.26	356.05	145.02	163.28	126.12	490.14	73.03	27.64	68.07	19.82	18.29	28.04	28.65	16.75	158.79	34.26	55.49	64.8	50.27	8.85	339.14	68.07	71.0	493.56	223.41	38.4	144.01	249.73	848.22	748.61	555.41	579.04	780.44	1127.35	1030.12	647.07	728.11	559.28	684.02	796.86	848.22
CALHM2	66.65	297.17	1313.23	102.25	177.53	125.24	271.48	748.61	206.94	61.25	228.13	118.43	412.0	73.54	56.28	85.22	15.91	62.12	41.81	79.45	37.59	231.32	39.79	76.17	123.5	65.26	29.48	866.07	59.55	262.2	511.0	224.97	138.1	293.07	500.46	389.72	376.41	204.07	285.03	728.11	371.22	540.19	785.88	389.72	279.14	329.84	368.65	525.39
CAV1	316.37	1844.76	5633.22	708.18	915.51	92.05	3349.13	3690.52	518.15	176.29	571.05	356.05	1639.59	201.25	220.32	291.04	115.16	117.6	358.54	176.29	91.41	642.59	140.04	194.36	400.71	226.54	61.25	2720.15	133.36	423.61	1286.18	1096.5	507.46	1331.57	2303.12	1350.18	1304.15	684.02	954.43	1277.29	1331.57	1322.37	4066.71	1427.22	483.38	928.3	981.29	1477.58
CC2D2B	1.17	6.67	19.97	0.99	3.82	1.66	1.97	3.32	4.06	0.53	0.0	0.0	9.7	1.77	0.0	0.0	1.04	1.33	1.53	5.19	0.43	7.11	2.86	3.47	5.92	2.27	0.41	18.84	0.77	1.97	21.47	2.16	2.14	2.32	5.82	8.38	4.1	3.96	77.79	131.51	97.36	17.64	27.25	2.34	8.25	16.63	83.45	9.63
CCDC178	0.0	12.83	16.39	0.48	0.0	426.57	1.93	75.11	97.36	12.36	16.39	6.21	0.92	0.0	0.0	0.0	4.1	0.0	7.28	1.25	0.0	5.92	0.0	0.0	1.25	6.67	13.32	13.12	2.01	2.36	30.12	28.65	13.62	17.51	19.39	1.06	6.11	27.84	17.38	57.08	21.32	8.38	26.67	11.3	0.0	16.51	19.82	1.97
CD300LG	0.95	41.52	61.68	44.89	38.95	36.27	9.63	38.95	74.58	3.5	3.59	0.96	2.86	16.63	5.45	1.97	1.62	3.17	18.29	0.0	0.99	2.76	0.0	2.58	29.27	27.25	2.48	18.84	0.0	12.74	7.46	96.01	12.27	24.11	34.75	25.72	59.13	2.68	29.48	114.36	67.12	63.0	71.5	37.32	15.56	309.83	10.88	76.71
CD34	147.06	723.08	7485.11	551.56	848.22	559.28	1369.04	5751.61	1963.57	215.77	616.37	551.56	2335.28	228.13	76.17	149.12	36.27	50.63	29.7	120.94	53.57	361.04	59.13	68.55	127.0	89.51	23.25	1757.34	172.65	318.57	1519.15	836.53	323.03	688.78	1037.29	3349.13	2682.69	1135.2	1340.84	2816.11	2935.74	2915.45	3303.0	1561.89	733.19	2434.5	2573.36	2915.45
CD93	58.3	182.55	1096.5	126.12	258.57	412.0	579.04	1709.26	563.18	52.08	269.6	267.73	941.27	49.21	71.0	69.03	64.34	31.45	36.27	48.87	50.63	162.14	29.27	21.01	125.24	45.85	30.56	743.43	127.89	147.06	921.88	177.53	82.87	199.85	356.05	1175.27	854.13	353.59	518.15	647.07	842.36	974.5	1457.23	808.0	303.44	860.08	1008.9	612.11
CDH5	51.35	205.5	2271.4	273.37	358.54	441.64	651.58	2573.36	559.28	103.69	314.17	187.71	1340.84	153.34	158.79	167.9	147.06	71.0	82.29	102.25	80.57	384.34	48.18	75.64	256.78	122.64	40.36	802.41	147.06	202.66	1030.12	334.46	76.71	236.21	497.0	1508.65	1143.1	559.28	947.83	1151.06	1277.29	1417.35	1208.34	1051.79	551.56	1447.15	1350.18	915.51
CLIC4	395.18	988.12	1870.53	202.66	237.86	1498.22	769.69	3589.58	4481.23	3928.15	5751.61	4328.55	1208.34	217.27	447.82	543.96	785.88	395.18	1225.22	780.44	684.02	1183.45	551.56	497.0	684.02	476.71	143.01	1923.14	438.59	921.88	1806.78	753.83	417.77	928.3	1709.26	2178.83	1832.01	1605.83	775.05	1044.52	1757.34	1467.37	2240.11	1721.16	995.0	1950.0	1119.56	1685.71
CNRIP1	34.51	262.2	616.37	40.07	78.89	68.07	156.59	521.76	226.54	26.47	109.66	57.08	246.28	41.22	47.84	50.98	29.27	32.82	49.91	19.82	22.75	161.02	31.22	49.91	105.15	49.21	21.01	358.54	27.44	128.79	287.01	139.07	88.88	223.41	351.14	217.27	208.38	83.45	122.64	249.73	323.03	249.73	616.37	165.57	90.14	205.5	189.02	269.6
COL15A1	26.67	218.79	1477.58	126.12	242.88	264.03	497.0	1119.56	241.19	47.5	361.04	110.43	947.83	32.82	7.69	32.13	2.63	11.82	8.38	5.68	4.43	63.89	3.5	7.34	3.99	10.55	4.28	1870.53	229.72	316.37	1896.65	384.34	161.02	281.09	291.04	1529.73	1551.09	237.86	379.04	775.05	2018.8	1151.06	2591.27	563.18	305.55	802.41	429.54	759.08
COL8A1	4.98	63.45	974.5	31.0	41.52	42.71	133.36	529.06	140.04	34.75	579.04	72.52	232.94	12.93	7.88	17.64	5.87	4.46	4.94	4.7	1.08	35.0	8.06	1.08	8.71	4.39	3.82	1008.9	13.12	189.02	1508.65	39.22	19.25	27.64	336.79	343.89	934.76	444.72	1191.69	748.61	1407.55	1081.39	2451.44	412.0	231.32	1605.83	1397.83	239.52
COL8A2	2.23	22.92	379.04	7.69	25.17	31.0	5.36	19.11	23.25	24.99	115.97	59.13	29.06	2.25	7.69	13.42	0.88	6.57	13.72	1.53	4.35	38.12	3.17	16.88	10.16	1.68	1.39	228.13	2.58	142.01	223.41	45.21	20.56	64.34	80.01	23.76	92.7	59.55	87.65	153.34	86.43	113.56	836.53	107.38	62.12	45.53	97.36	46.5
CSGALNACT2	36.01	144.01	279.14	73.54	69.03	165.57	53.19	241.19	141.02	61.25	99.43	77.79	299.25	132.44	63.0	108.14	105.89	118.43	106.63	87.03	118.43	172.65	82.29	66.65	150.17	145.02	116.78	660.68	134.3	236.21	890.44	93.35	49.91	111.21	134.3	201.25	156.59	153.34	162.14	190.34	199.85	163.28	400.71	153.34	195.72	204.07	129.69	148.09
CXorf36	23.25	84.04	567.1	72.01	139.07	124.37	234.57	1304.15	113.56	31.9	70.51	73.54	703.28	22.75	15.56	17.51	9.78	5.45	4.5	6.78	8.92	43.02	4.98	4.82	36.53	10.71	5.19	351.14	30.78	74.58	348.71	75.64	37.32	123.5	190.34	571.05	389.72	251.48	361.04	656.11	780.44	629.35	775.05	318.57	224.97	466.88	603.67	490.14
CYTH3	108.14	239.52	1295.13	316.37	808.0	339.14	389.72	423.61	361.04	105.89	215.77	197.09	277.2	72.01	40.93	46.18	35.0	40.64	27.05	58.71	28.86	124.37	59.97	43.94	76.71	40.07	22.92	591.22	194.36	283.05	599.49	251.48	195.72	267.73	253.23	551.56	361.04	679.29	395.18	435.55	381.68	571.05	486.75	438.59	258.57	748.61	417.77	420.68
CYYR1	45.21	189.02	718.08	113.56	77.79	620.67	221.86	1216.75	406.31	63.45	117.6	103.69	417.77	59.13	20.56	51.35	48.87	13.83	7.22	23.42	18.84	77.79	14.35	24.81	85.82	25.35	30.78	329.84	43.02	59.55	435.55	332.14	109.66	236.21	511.0	591.22	450.94	325.29	336.79	848.22	890.44	764.36	780.44	271.48	228.13	409.15	624.99	629.35
DOK5	0.96	19.53	36.27	12.93	7.51	555.41	9.7	65.26	77.25	106.63	47.5	450.94	74.06	9.06	3.89	11.91	0.0	13.12	59.13	5.32	37.05	69.03	6.89	20.71	6.84	5.54	31.9	150.17	4.54	31.9	131.51	19.53	0.0	21.32	20.41	139.07	211.31	38.12	150.17	202.66	140.04	146.03	63.89	173.85	52.45	90.77	206.94	110.43
DYSF	30.56	130.6	718.08	112.77	211.31	291.04	358.54	2018.8	381.68	173.85	483.38	211.31	1250.98	163.28	483.38	371.22	371.22	206.94	172.65	226.54	157.68	221.86	258.57	244.57	135.24	277.2	2148.82	279.14	57.08	101.54	275.28	117.6	51.71	113.56	145.02	1104.13	791.35	341.51	353.59	532.74	1073.91	684.02	819.3	529.06	236.21	656.11	890.44	591.22
EBF1	23.25	72.01	473.41	23.59	27.64	31.22	105.15	473.41	186.4	13.12	45.85	10.16	208.38	9.63	2.76	17.64	8.25	1.95	6.78	6.01	8.85	33.06	1.39	9.85	15.0	9.48	0.42	476.71	8.0	189.02	248.0	47.5	17.51	66.18	152.28	98.73	76.17	42.71	67.12	147.06	136.19	104.42	500.46	84.63	24.28	101.54	118.43	111.21
EBF2	0.26	6.31	96.68	106.63	36.27	3.29	620.67	299.25	13.83	1.03	7.69	2.92	83.45	3.03	0.0	1.16	0.0	0.16	0.09	1.39	0.07	3.2	0.03	4.9	2.2	0.1	0.62	52.82	2.51	15.11	22.1	2.66	1.23	2.94	5.92	466.88	127.89	72.01	76.71	100.13	138.1	120.1	239.52	127.89	31.0	163.28	83.45	246.28
EBF3	2.63	12.09	264.03	5.32	9.41	3.29	33.3	91.41	18.84	0.53	1.38	2.92	52.08	8.58	1.5	1.64	4.39	4.58	10.63	4.98	9.56	5.15	7.51	7.94	2.48	6.06	0.0	92.7	4.82	9.93	48.18	7.63	4.74	30.34	57.89	152.28	120.94	55.89	88.88	217.27	193.01	155.5	202.66	72.52	46.18	127.89	74.58	130.6
ECSCR	164.42	555.41	3039.3	379.04	511.0	583.07	1037.29	4481.23	1066.48	187.71	624.99	371.22	2520.38	231.32	100.83	146.03	211.31	90.14	94.67	246.28	131.51	480.04	137.14	83.45	414.87	189.02	49.56	902.89	131.51	285.03	1350.18	547.75	180.02	466.88	1127.35	2468.49	1794.29	775.05	1369.04	2502.97	3060.45	2573.36	3515.68	1295.13	878.17	1819.35	1963.57	1923.14
EDNRA	6.21	22.43	198.47	22.26	42.41	29.7	194.36	684.02	204.07	12.18	57.89	15.45	253.23	17.38	10.71	32.82	13.52	22.43	19.53	23.59	18.43	56.28	13.12	38.67	24.28	24.81	5.45	215.77	20.26	76.17	255.0	36.53	24.99	51.71	142.01	166.73	87.65	56.68	94.01	190.34	154.42	149.12	647.07	139.07	54.72	125.24	136.19	115.16
ELK3	58.71	161.02	723.08	148.09	99.43	285.03	275.28	1286.18	466.88	72.01	262.2	281.09	438.59	67.12	23.93	120.94	96.68	50.27	46.84	56.68	49.91	183.82	44.89	44.25	112.77	65.72	43.02	748.61	137.14	273.37	780.44	212.78	120.94	217.27	387.02	629.35	460.44	265.87	412.0	684.02	819.3	802.41	1617.0	381.68	229.72	480.04	629.35	511.0
ELTD1	41.22	120.1	532.74	166.73	147.06	249.73	336.79	1936.53	366.09	72.52	162.14	199.85	934.76	49.21	24.46	63.89	87.65	33.54	40.07	27.44	29.06	136.19	12.09	30.78	86.43	63.0	21.94	435.55	68.55	88.26	599.49	178.77	53.19	79.45	251.48	1073.91	825.0	450.94	575.03	884.29	1199.98	1037.29	1806.78	457.25	339.14	728.11	954.43	780.44
EMCN	29.7	109.66	1216.75	159.9	189.02	493.56	444.72	1733.13	3820.7	85.22	154.42	159.9	450.94	100.13	28.65	53.57	27.84	14.35	21.01	53.95	48.87	150.17	33.54	42.41	87.65	37.59	4.17	303.44	31.22	67.59	507.46	371.22	44.57	152.28	295.11	928.3	947.83	525.39	1191.69	1030.12	1909.85	1127.35	1388.16	1088.92	713.11	1447.15	854.13	1037.29
ENG	327.56	878.17	5041.77	1030.12	1721.16	1427.22	2720.15	10084.54	4543.8	718.08	1651.0	915.51	2997.45	866.07	1340.84	848.22	599.49	381.68	1233.75	444.72	346.29	1769.57	260.38	738.29	1081.39	775.05	232.94	3419.52	470.14	830.75	4298.64	2739.08	361.04	1529.73	2119.22	5913.33	5112.16	1991.0	2758.13	6607.01	9088.59	6250.56	6207.38	4038.61	1806.78	5913.33	4937.99	4181.07
ENTPD1	51.71	175.07	587.13	86.43	94.01	142.01	242.88	866.07	206.94	90.77	244.57	155.5	457.25	49.56	33.78	54.72	37.85	80.01	47.84	53.95	130.6	325.29	60.82	50.98	120.94	67.59	23.76	1015.93	76.71	231.32	785.88	131.51	146.03	260.38	334.46	500.46	435.55	269.6	2090.03	2935.74	2720.15	1225.22	2119.22	420.68	336.79	483.38	3443.31	397.93
ERG	20.11	111.99	466.88	62.12	96.68	113.56	193.01	547.75	283.05	18.29	85.22	84.04	318.57	54.72	52.45	81.14	40.36	29.48	27.44	34.51	22.59	96.68	23.59	27.64	64.34	57.08	19.82	269.6	41.22	84.63	414.87	129.69	29.27	96.01	211.31	327.56	229.72	153.34	217.27	341.51	346.29	403.5	379.04	211.31	114.36	285.03	341.51	234.57
ESAM	144.01	429.54	2645.74	521.76	6079.61	1030.12	1151.06	5006.93	1286.18	255.0	638.15	381.68	2739.08	224.97	253.23	246.28	164.42	137.14	114.36	173.85	84.04	514.56	105.15	195.72	334.46	291.04	60.82	866.07	1081.39	366.09	1250.98	1447.15	660.68	921.88	1508.65	4123.49	3768.09	2148.82	4903.87	4836.35	2956.17	6294.04	2032.85	5366.37	3515.68	3257.52	6207.38	3349.13
EXOC3L2	32.36	121.79	98.04	147.06	379.04	450.94	460.44	1721.16	547.75	94.67	167.9	108.14	674.59	65.26	92.7	61.68	42.41	41.52	17.77	30.12	21.78	102.97	20.26	27.44	65.26	59.55	4.43	146.03	46.18	61.68	223.41	159.9	118.43	87.65	114.36	703.28	796.86	547.75	629.35	928.3	1183.45	1044.52	409.15	665.29	441.64	1135.2	848.22	802.41
F2R	53.19	91.41	759.08	87.03	102.97	279.14	361.04	1250.98	954.43	92.05	384.34	103.69	591.22	108.14	50.63	120.94	66.65	50.63	95.34	42.41	34.26	249.73	40.93	61.68	194.36	85.82	62.12	785.88	157.68	260.38	1388.16	76.17	71.0	180.02	139.07	521.76	426.57	444.72	358.54	389.72	587.13	647.07	860.08	249.73	185.11	366.09	587.13	325.29
F8	23.08	72.52	684.02	105.89	55.49	161.02	95.34	728.11	497.0	167.9	287.01	312.0	229.72	141.02	156.59	258.57	309.83	79.45	102.25	106.63	136.19	234.57	115.97	139.07	197.09	153.34	36.27	178.77	22.59	56.68	178.77	211.31	49.56	73.03	279.14	376.41	327.56	356.05	221.86	136.19	205.5	293.07	256.78	173.85	262.2	273.37	221.86	343.89
FAM13B	110.43	189.02	285.03	172.65	64.34	303.44	226.54	206.94	334.46	26.67	99.43	94.67	120.94	53.95	21.01	76.71	59.13	31.22	98.04	33.78	81.71	134.3	26.86	56.28	78.34	92.05	73.54	441.64	193.01	231.32	384.34	176.29	102.25	201.25	202.66	217.27	197.09	283.05	187.71	191.67	180.02	224.97	180.02	226.54	312.0	297.17	152.28	129.69
FAM198B	46.84	165.57	688.78	80.57	209.84	172.65	2351.53	825.0	403.5	35.0	186.4	96.01	285.03	52.45	22.92	43.94	20.41	13.12	24.63	24.99	30.56	115.97	18.16	8.45	37.32	27.05	17.13	1151.06	73.54	123.5	1081.39	135.24	66.65	146.03	194.36	551.56	624.99	269.6	356.05	656.11	902.89	551.56	1268.46	381.68	363.56	426.57	438.59	547.75
FAM26E	2.84	10.88	71.5	6.73	7.51	8.06	25.91	49.56	102.97	2.53	17.0	5.28	42.11	4.31	3.63	4.54	1.68	2.07	5.19	3.06	3.03	10.16	2.78	3.03	7.11	3.2	1.73	57.49	2.03	13.12	223.41	7.57	0.64	15.91	10.96	28.04	18.56	12.93	16.75	28.04	28.86	30.56	75.11	25.91	10.08	26.28	22.92	17.64
FBLN2	246.28	854.13	3639.7	115.16	242.88	50.27	108.9	1015.93	110.43	42.71	728.11	93.35	400.71	75.64	68.07	105.89	15.56	104.42	89.51	108.9	40.07	669.92	36.79	94.01	202.66	190.34	32.82	1757.34	8.51	159.9	1551.09	208.38	78.34	325.29	529.06	191.67	185.11	125.24	356.05	457.25	323.03	403.5	1832.01	211.31	116.78	279.14	251.48	466.88
FBN1	59.13	307.69	2209.26	33.3	130.6	110.43	241.19	518.15	191.67	46.84	500.46	153.34	660.68	67.59	47.17	84.63	7.63	18.56	102.97	34.02	24.81	158.79	38.67	41.22	121.79	64.34	29.27	3742.05	61.68	241.19	2209.26	198.47	153.34	265.87	258.57	209.84	164.42	95.34	182.55	187.71	236.21	316.37	1923.14	102.97	155.5	275.28	193.01	339.14
FGD5	21.63	167.9	567.1	56.28	120.94	132.44	178.77	703.28	379.04	37.05	134.3	72.52	332.14	49.21	47.17	48.52	30.34	28.24	18.16	26.67	20.71	74.58	31.9	24.28	87.03	35.25	1.97	384.34	33.3	90.77	316.37	128.79	36.27	136.19	297.17	346.29	258.57	157.68	206.94	348.71	339.14	435.55	454.09	305.55	125.24	314.17	368.65	279.14
FHL5	13.03	24.81	142.01	2.92	23.76	12.09	82.87	361.04	111.99	7.0	65.72	5.77	136.19	8.92	0.71	15.22	1.83	2.41	2.92	0.18	2.73	5.06	2.48	0.0	4.46	4.7	8.85	154.42	6.31	8.85	157.68	51.35	15.22	42.11	435.55	67.12	34.51	21.94	149.12	153.34	175.07	65.72	92.05	325.29	86.43	151.22	81.71	124.37
