	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
BMPR2	118.43	139.07	111.99	59.13	108.9	403.5	316.37	400.71	275.28	314.17	305.55	248.0	138.1	223.41	457.25	161.02	260.38	356.05	379.04	389.72	182.55	237.86	329.84	217.27	409.15	256.78	224.97	389.72	470.14	269.6	379.04	215.77	273.37	387.02	316.37	412.0	483.38	348.71	231.32	403.5	403.5	406.31	126.12	301.33
C10orf118	32.59	26.86	26.1	7.0	21.01	228.13	182.55	224.97	117.6	228.13	204.07	120.94	84.04	178.77	295.11	163.28	237.86	195.72	229.72	199.85	118.43	163.28	303.44	114.36	202.66	132.44	115.16	237.86	299.25	134.3	237.86	123.5	176.29	236.21	217.27	295.11	406.31	232.94	100.83	165.57	318.57	285.03	78.34	164.42
C11orf57	180.02	140.04	189.02	80.01	156.59	470.14	334.46	381.68	229.72	392.44	358.54	293.07	242.88	423.61	457.25	309.83	297.17	291.04	351.14	353.59	329.84	297.17	283.05	241.19	283.05	289.02	246.28	332.14	403.5	305.55	395.18	339.14	384.34	384.34	217.27	563.18	665.29	299.25	314.17	346.29	316.37	397.93	281.09	303.44
C5orf24	264.03	341.51	457.25	134.3	234.57	629.35	551.56	633.73	503.95	748.61	529.06	429.54	253.23	802.41	830.75	432.53	575.03	490.14	713.11	591.22	466.88	426.57	665.29	435.55	629.35	435.55	521.76	638.15	854.13	521.76	703.28	780.44	607.87	738.29	660.68	629.35	624.99	651.58	368.65	607.87	738.29	748.61	457.25	579.04
CAB39	547.75	684.02	493.56	490.14	493.56	769.69	612.11	698.41	669.92	728.11	629.35	507.46	507.46	587.13	1417.35	616.37	713.11	638.15	842.36	848.22	660.68	599.49	669.92	473.41	819.3	759.08	532.74	961.07	1175.27	559.28	775.05	503.95	698.41	738.29	555.41	981.29	1697.45	796.86	470.14	1066.48	836.53	836.53	470.14	603.67
CCSER2	175.07	190.34	170.25	86.43	87.03	483.38	748.61	435.55	265.87	460.44	387.02	271.48	305.55	514.56	507.46	323.03	480.04	343.89	529.06	612.11	277.2	325.29	525.39	258.57	536.45	387.02	320.8	414.87	409.15	293.07	470.14	497.0	376.41	379.04	764.36	540.19	647.07	435.55	305.55	406.31	551.56	543.96	193.01	376.41
CDK17	97.36	113.56	131.51	89.51	152.28	305.55	291.04	343.89	195.72	264.03	239.52	171.45	105.89	255.0	438.59	202.66	195.72	226.54	279.14	293.07	193.01	212.78	239.52	193.01	277.2	137.14	236.21	358.54	400.71	173.85	346.29	223.41	253.23	267.73	297.17	316.37	497.0	371.22	183.82	258.57	341.51	301.33	89.51	301.33
CPSF7	518.15	426.57	480.04	514.56	599.49	1051.79	718.08	1119.56	860.08	1143.1	1286.18	1088.92	854.13	813.63	1407.55	1191.69	1059.11	1216.75	819.3	753.83	1119.56	1044.52	1008.9	967.76	974.5	543.96	915.51	1457.23	1508.65	1059.11	1427.22	733.19	1277.29	1208.34	591.22	1417.35	2018.8	1427.22	1277.29	1331.57	1977.24	1225.22	679.29	1199.98
CSTF2T	169.07	175.07	204.07	121.79	211.31	258.57	255.0	211.31	169.07	309.83	234.57	159.9	110.43	241.19	287.01	117.6	180.02	202.66	232.94	236.21	193.01	253.23	198.47	146.03	209.84	221.86	147.06	265.87	293.07	172.65	251.48	195.72	236.21	264.03	351.14	361.04	320.8	172.65	163.28	199.85	265.87	244.57	154.42	191.67
CTDSPL2	81.14	57.89	47.5	24.46	71.5	191.67	195.72	214.27	104.42	226.54	155.5	104.42	78.34	132.44	260.38	96.01	169.07	130.6	164.42	157.68	117.6	133.36	197.09	100.13	185.11	130.6	105.15	209.84	307.69	123.5	221.86	121.79	189.02	236.21	162.14	312.0	373.81	178.77	102.97	185.11	275.28	251.48	80.01	142.01
CTSB	53601.03	94628.34	82378.63	105727.15	50011.46	378516.38	365622.68	301123.38	158046.64	267651.2	253213.41	221968.2	215898.44	307450.64	117311.73	198667.0	290865.98	311742.51	389157.95	282912.21	242898.5	191899.64	201440.3	147462.67	327241.36	391864.76	200048.85	201440.3	109455.64	162489.97	299043.36	428815.23	197294.7	208544.12	260332.24	162489.97	104271.56	241220.67	208544.12	288856.81	144427.91	214407.12	65082.31	236256.4
DCLRE1C	33.3	15.11	18.56	11.13	25.54	89.51	64.8	105.89	90.77	146.03	98.04	77.79	82.87	94.67	140.04	59.97	80.57	82.87	77.79	65.72	67.59	86.43	105.15	81.71	86.43	88.88	80.57	98.73	121.79	82.29	128.79	72.01	140.04	128.79	129.69	108.14	193.01	89.51	83.45	118.43	120.1	132.44	68.07	72.52
ELMSAN1	229.72	164.42	195.72	271.48	289.02	389.72	275.28	316.37	157.68	318.57	299.25	193.01	211.31	305.55	457.25	215.77	271.48	314.17	206.94	242.88	231.32	312.0	356.05	171.45	361.04	169.07	193.01	450.94	555.41	229.72	397.93	242.88	341.51	403.5	397.93	571.05	457.25	353.59	220.32	438.59	503.95	358.54	131.51	289.02
FAM120C	59.55	31.22	51.71	36.01	71.0	101.54	100.13	100.13	80.57	137.14	109.66	94.01	82.29	86.43	157.68	87.65	85.82	82.87	81.71	76.17	84.63	92.05	121.79	82.87	63.0	71.5	107.38	125.24	154.42	76.71	152.28	108.14	88.88	115.97	144.01	171.45	171.45	116.78	98.73	96.01	155.5	110.43	57.89	122.64
FCHSD2	205.5	115.16	198.47	143.01	224.97	384.34	299.25	417.77	301.33	389.72	336.79	277.2	305.55	242.88	395.18	256.78	325.29	332.14	351.14	329.84	301.33	305.55	343.89	287.01	429.54	260.38	314.17	473.41	420.68	303.44	435.55	223.41	366.09	417.77	232.94	423.61	429.54	497.0	299.25	384.34	457.25	438.59	159.9	361.04
GAB1	75.11	143.01	73.03	74.06	86.43	165.57	107.38	152.28	80.01	132.44	130.6	82.87	48.52	77.79	209.84	60.39	65.72	171.45	88.88	152.28	50.98	119.26	162.14	50.63	140.04	43.63	74.06	190.34	145.02	87.65	186.4	66.18	109.66	178.77	100.13	236.21	303.44	103.69	87.65	183.82	246.28	189.02	27.25	107.38
HDGFRP3	57.89	88.88	187.71	62.56	74.06	981.29	848.22	902.89	591.22	669.92	743.43	497.0	536.45	463.65	830.75	603.67	733.19	775.05	1059.11	748.61	543.96	718.08	713.11	429.54	1233.75	441.64	579.04	753.83	1015.93	674.59	825.0	426.57	536.45	808.0	583.07	1378.57	941.27	775.05	551.56	928.3	836.53	941.27	248.0	599.49
HECTD2	27.05	15.91	26.86	10.0	27.44	128.79	74.58	145.02	76.71	141.02	153.34	93.35	46.84	79.45	172.65	103.69	108.14	96.01	103.69	84.04	115.16	103.69	100.83	76.71	110.43	60.82	98.04	164.42	189.02	88.88	133.36	68.07	118.43	140.04	107.38	190.34	255.0	133.36	94.01	112.77	189.02	149.12	44.89	113.56
HOOK1	155.5	137.14	189.02	56.28	99.43	305.55	255.0	220.32	127.0	312.0	303.44	159.9	89.51	211.31	371.22	204.07	279.14	211.31	358.54	217.27	209.84	220.32	209.84	111.99	218.79	154.42	146.03	309.83	417.77	158.79	275.28	176.29	291.04	309.83	215.77	414.87	387.02	248.0	181.28	201.25	420.68	332.14	79.45	186.4
IPMK	34.26	31.0	27.84	15.0	33.06	42.41	50.27	72.01	39.79	77.79	47.5	38.67	26.47	59.55	94.01	37.85	50.27	33.3	62.56	53.57	29.91	34.51	72.52	35.0	57.89	38.95	53.57	69.03	63.89	35.0	74.58	44.89	46.84	65.72	61.68	46.84	64.8	68.07	36.53	56.28	80.01	64.34	20.41	63.45
ITSN2	241.19	329.84	201.25	115.97	166.73	1295.13	444.72	1037.29	708.18	1519.15	1037.29	759.08	775.05	651.58	1685.71	1030.12	1304.15	1135.2	1216.75	1143.1	988.12	785.88	1127.35	890.44	1066.48	713.11	802.41	1242.34	1806.78	1135.2	1519.15	497.0	1167.14	1175.27	647.07	967.76	1674.06	1104.13	1104.13	1051.79	1529.73	1388.16	551.56	1051.79
KCTD21	87.65	85.22	113.56	122.64	98.73	208.38	214.27	218.79	221.86	223.41	209.84	198.47	166.73	119.26	275.28	204.07	208.38	211.31	327.56	201.25	162.14	297.17	256.78	169.07	208.38	169.07	205.5	241.19	271.48	201.25	231.32	186.4	251.48	260.38	163.28	283.05	209.84	169.07	209.84	214.27	289.02	320.8	100.83	209.84
LEMD3	83.45	93.35	147.06	74.58	159.9	229.72	194.36	218.79	161.02	241.19	215.77	156.59	93.35	217.27	303.44	132.44	224.97	183.82	218.79	201.25	158.79	176.29	218.79	125.24	253.23	178.77	113.56	264.03	339.14	180.02	242.88	177.53	195.72	281.09	224.97	277.2	346.29	206.94	120.94	255.0	289.02	283.05	114.36	180.02
LTN1	55.89	52.82	64.8	21.94	22.75	137.14	122.64	144.01	72.52	153.34	145.02	64.34	35.25	112.77	190.34	77.25	175.07	133.36	152.28	155.5	81.14	96.01	146.03	68.55	156.59	100.83	71.0	163.28	201.25	82.29	159.9	106.63	113.56	149.12	149.12	178.77	269.6	138.1	79.45	163.28	202.66	186.4	39.5	113.56
MGA	42.41	38.67	31.45	15.0	34.51	130.6	107.38	104.42	65.72	117.6	82.87	46.18	52.08	88.88	166.73	57.49	84.63	82.87	84.04	97.36	56.28	85.82	120.94	46.18	113.56	53.57	53.19	138.1	146.03	67.59	130.6	67.12	81.14	103.69	97.36	187.71	208.38	94.67	61.68	111.99	170.25	146.03	40.07	78.89
MIER1	171.45	159.9	109.66	53.19	165.57	226.54	218.79	285.03	191.67	325.29	239.52	177.53	142.01	260.38	409.15	218.79	204.07	176.29	273.37	237.86	202.66	202.66	262.2	191.67	234.57	140.04	211.31	329.84	381.68	181.28	334.46	214.27	253.23	358.54	229.72	351.14	389.72	285.03	195.72	239.52	329.84	325.29	132.44	269.6
MPDZ	125.24	167.9	246.28	99.43	108.14	454.09	376.41	417.77	220.32	363.56	403.5	271.48	152.28	234.57	368.65	189.02	339.14	392.44	429.54	366.09	316.37	234.57	246.28	172.65	343.89	271.48	269.6	414.87	543.96	264.03	420.68	260.38	376.41	454.09	336.79	848.22	764.36	332.14	291.04	299.25	507.46	400.71	142.01	256.78
MYO9A	61.25	51.71	33.78	16.27	48.87	151.22	119.26	139.07	73.54	149.12	125.24	68.07	65.26	85.82	208.38	100.83	105.89	102.25	120.94	150.17	81.14	121.79	164.42	65.72	114.36	66.65	78.89	180.02	202.66	96.01	165.57	84.04	117.6	164.42	128.79	255.0	293.07	112.77	95.34	162.14	239.52	239.52	52.45	99.43
NARG2	303.44	163.28	197.09	59.97	167.9	454.09	547.75	395.18	297.17	463.65	387.02	269.6	307.69	281.09	575.03	363.56	376.41	379.04	454.09	406.31	384.34	363.56	368.65	285.03	327.56	371.22	343.89	473.41	624.99	366.09	457.25	412.0	476.71	514.56	417.77	563.18	660.68	363.56	366.09	521.76	575.03	500.46	226.54	353.59
PNRC2	1096.5	728.11	848.22	688.78	915.51	2104.58	2018.8	1662.49	1015.93	1936.53	1457.23	1225.22	1096.5	1697.45	2609.3	1685.71	2193.99	1757.34	2400.97	1651.0	1417.35	1561.89	1519.15	1044.52	1605.83	1519.15	1519.15	2075.59	2240.11	1277.29	2573.36	1936.53	1781.89	1628.26	1259.69	2417.67	4152.18	1277.29	1508.65	2287.2	3146.52	2061.24	967.76	1477.58
POLD3	110.43	87.03	88.26	63.89	137.14	155.5	137.14	162.14	149.12	199.85	151.22	139.07	111.99	144.01	232.94	111.21	101.54	125.24	126.12	132.44	158.79	189.02	176.29	128.79	166.73	98.04	126.12	228.13	204.07	137.14	206.94	90.14	181.28	232.94	88.88	279.14	260.38	165.57	159.9	218.79	244.57	185.11	103.69	156.59
PTK2	674.59	507.46	902.89	507.46	432.53	1457.23	1015.93	1259.69	947.83	1447.15	1199.98	974.5	974.5	1127.35	1340.84	1051.79	981.29	1313.23	1135.2	1286.18	1081.39	1167.14	1427.22	915.51	1208.34	954.43	995.0	1508.65	1457.23	1051.79	1487.87	1313.23	1242.34	1268.46	1233.75	1561.89	1617.0	1340.84	1088.92	1721.16	1427.22	1487.87	759.08	1242.34
PUM2	384.34	339.14	371.22	275.28	397.93	775.05	693.58	802.41	563.18	1023.0	738.29	665.29	450.94	713.11	1208.34	633.73	848.22	660.68	791.35	954.43	633.73	728.11	878.17	514.56	813.63	603.67	624.99	1104.13	1159.07	595.34	1023.0	607.87	819.3	928.3	713.11	1233.75	1268.46	830.75	624.99	808.0	1225.22	1151.06	473.41	764.36
RANBP2	108.9	144.01	161.02	63.89	103.69	432.53	346.29	403.5	234.57	406.31	343.89	232.94	180.02	249.73	511.0	224.97	403.5	323.03	384.34	438.59	273.37	312.0	429.54	218.79	412.0	320.8	215.77	454.09	555.41	264.03	414.87	204.07	371.22	457.25	343.89	660.68	651.58	348.71	224.97	454.09	571.05	607.87	175.07	320.8
RBMS1	239.52	221.86	295.11	157.68	187.71	406.31	603.67	669.92	450.94	397.93	507.46	325.29	267.73	320.8	532.74	281.09	500.46	460.44	507.46	543.96	353.59	432.53	480.04	346.29	529.06	209.84	387.02	540.19	698.41	500.46	423.61	303.44	420.68	529.06	397.93	748.61	1073.91	476.71	500.46	486.75	571.05	629.35	164.42	444.72
REST	84.63	77.79	70.01	28.45	57.08	293.07	176.29	205.5	155.5	228.13	204.07	129.69	99.43	156.59	318.57	117.6	142.01	177.53	232.94	155.5	128.79	173.85	234.57	116.78	221.86	142.01	111.99	299.25	303.44	130.6	237.86	140.04	189.02	273.37	234.57	318.57	312.0	209.84	123.5	239.52	299.25	262.2	77.25	193.01
RNF168	77.79	63.0	49.21	48.52	69.03	119.26	120.94	110.43	88.26	127.0	91.41	78.89	85.22	93.35	185.11	64.34	71.0	96.01	115.16	102.25	85.82	109.66	121.79	77.25	102.97	114.36	76.71	144.01	141.02	90.14	145.02	115.97	117.6	151.22	143.01	163.28	145.02	96.68	88.26	156.59	140.04	140.04	74.58	130.6
ROCK1	57.49	50.63	44.25	14.78	32.82	438.59	229.72	406.31	206.94	400.71	301.33	202.66	143.01	236.21	429.54	206.94	237.86	237.86	293.07	301.33	234.57	249.73	356.05	158.79	262.2	183.82	197.09	389.72	480.04	132.44	389.72	234.57	303.44	409.15	269.6	511.0	665.29	371.22	244.57	358.54	540.19	457.25	66.65	361.04
RQCD1	212.78	198.47	234.57	244.57	228.13	543.96	255.0	417.77	389.72	480.04	429.54	341.51	295.11	197.09	463.65	363.56	412.0	466.88	444.72	358.54	376.41	376.41	447.82	397.93	444.72	381.68	371.22	457.25	450.94	438.59	493.56	223.41	379.04	447.82	309.83	429.54	497.0	466.88	417.77	466.88	457.25	454.09	320.8	417.77
RSF1	98.04	127.89	78.34	33.3	59.97	493.56	277.2	299.25	166.73	273.37	264.03	189.02	187.71	218.79	395.18	256.78	283.05	232.94	264.03	255.0	241.19	237.86	281.09	175.07	283.05	209.84	217.27	320.8	397.93	198.47	379.04	231.32	283.05	332.14	220.32	500.46	529.06	348.71	239.52	336.79	438.59	368.65	87.65	323.03
SASS6	9.78	9.27	6.31	2.58	6.36	30.56	36.01	32.13	24.28	48.52	29.7	18.84	7.94	52.08	53.57	16.03	29.48	34.26	23.25	27.25	20.41	19.11	35.25	22.59	30.12	18.56	21.16	36.79	27.84	20.41	36.79	28.04	35.0	36.53	30.78	44.57	50.98	27.05	18.29	40.07	35.0	31.0	14.78	26.86
SBF2	323.03	279.14	262.2	177.53	173.85	748.61	656.11	460.44	289.02	583.07	555.41	307.69	417.77	595.34	599.49	521.76	525.39	612.11	656.11	607.87	507.46	525.39	353.59	249.73	743.43	435.55	379.04	660.68	775.05	351.14	633.73	470.14	607.87	497.0	389.72	1008.9	808.0	559.28	470.14	679.29	759.08	591.22	244.57	480.04
SCAF8	176.29	167.9	193.01	88.88	154.42	392.44	356.05	323.03	264.03	371.22	363.56	246.28	204.07	248.0	463.65	211.31	305.55	293.07	348.71	312.0	283.05	305.55	348.71	229.72	323.03	211.31	237.86	395.18	511.0	269.6	392.44	241.19	351.14	387.02	283.05	532.74	651.58	318.57	237.86	420.68	500.46	409.15	149.12	279.14
SP3	287.01	239.52	217.27	135.24	297.17	674.59	624.99	698.41	435.55	718.08	620.67	470.14	309.83	551.56	928.3	463.65	591.22	529.06	629.35	669.92	547.75	507.46	583.07	371.22	651.58	426.57	406.31	802.41	791.35	493.56	780.44	420.68	698.41	688.78	543.96	796.86	866.07	708.18	417.77	688.78	836.53	775.05	384.34	575.03
SPIN4	16.39	10.0	13.03	6.26	15.34	49.21	44.57	43.94	33.06	59.55	29.48	18.56	9.34	46.5	57.08	24.63	32.36	29.91	34.75	27.25	34.02	24.81	40.36	23.59	45.85	26.28	25.72	52.08	53.19	36.01	45.21	35.0	42.11	54.72	35.0	41.81	57.49	49.91	19.25	65.72	62.56	40.93	13.83	37.59
SPTLC1	679.29	808.0	718.08	555.41	514.56	796.86	624.99	981.29	599.49	1044.52	1111.82	728.11	825.0	559.28	1369.04	698.41	934.76	708.18	934.76	1001.93	728.11	866.07	967.76	368.65	896.64	796.86	642.59	967.76	1369.04	693.58	1208.34	540.19	941.27	1250.98	785.88	1295.13	1369.04	915.51	808.0	1135.2	1304.15	1081.39	395.18	733.19
STAM2	104.42	121.79	104.42	39.5	73.54	178.77	187.71	251.48	163.28	255.0	209.84	154.42	117.6	202.66	332.14	183.82	248.0	183.82	232.94	249.73	162.14	191.67	231.32	138.1	231.32	151.22	153.34	236.21	301.33	166.73	211.31	140.04	206.94	275.28	189.02	295.11	381.68	244.57	149.12	242.88	287.01	277.2	127.0	215.77
TGS1	63.89	55.49	77.25	21.63	51.35	163.28	124.37	149.12	142.01	178.77	146.03	105.89	85.22	119.26	186.4	85.22	127.0	120.94	127.0	129.69	116.78	134.3	155.5	111.21	127.0	108.14	118.43	150.17	173.85	124.37	171.45	127.0	157.68	194.36	130.6	182.55	237.86	106.63	114.36	163.28	151.22	255.0	81.14	118.43
TLK1	138.1	145.02	126.12	61.68	95.34	373.81	363.56	376.41	241.19	406.31	356.05	260.38	228.13	303.44	438.59	265.87	303.44	269.6	343.89	392.44	285.03	279.14	348.71	224.97	332.14	291.04	260.38	376.41	473.41	249.73	406.31	204.07	373.81	435.55	262.2	555.41	624.99	343.89	255.0	435.55	571.05	454.09	195.72	314.17
TMEM30A	733.19	909.17	688.78	579.04	536.45	1250.98	1529.73	1806.78	1313.23	1909.85	1508.65	1407.55	884.29	1477.58	2434.5	1437.15	1529.73	1216.75	1594.73	1397.83	1250.98	1295.13	1936.53	1407.55	1498.22	1781.89	1457.23	1674.06	2555.58	1286.18	2018.8	1151.06	1487.87	1870.53	1340.84	1733.13	1757.34	1870.53	1119.56	1551.09	1936.53	1896.65	775.05	1685.71
TRAPPC8	279.14	297.17	281.09	43.94	182.55	723.08	384.34	547.75	450.94	633.73	575.03	406.31	371.22	595.34	547.75	460.44	607.87	693.58	785.88	583.07	547.75	470.14	540.19	400.71	723.08	595.34	432.53	571.05	543.96	406.31	651.58	497.0	514.56	503.95	521.76	698.41	660.68	679.29	463.65	698.41	647.07	629.35	287.01	543.96
TTC23	177.53	170.25	149.12	111.99	206.94	320.8	336.79	220.32	262.2	287.01	262.2	249.73	217.27	218.79	395.18	159.9	358.54	303.44	329.84	287.01	181.28	289.02	307.69	185.11	312.0	314.17	204.07	406.31	297.17	314.17	336.79	220.32	327.56	271.48	283.05	432.53	426.57	260.38	273.37	336.79	373.81	309.83	232.94	271.48
USP37	12.18	11.13	10.79	4.78	6.36	62.56	39.79	54.72	17.77	66.18	38.12	16.03	11.91	26.47	86.43	16.51	37.32	28.45	45.53	50.98	23.42	42.71	61.25	9.27	63.0	35.0	13.22	87.65	94.01	13.93	71.5	17.25	45.21	77.79	44.25	96.01	102.25	56.28	16.51	55.1	98.73	74.58	13.03	49.91
