	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.EL.A3GW.01A.11R.A206.07	TCGA.EL.A3T7.01A.11R.A22L.07	GTEX.ZP4G.0726.SM.4WWF2	GTEX.14BMU.1826.SM.5RQII	GTEX.S4UY.1226.SM.4AD51	GTEX.ZLWG.1026.SM.4WWC4	GTEX.U3ZN.0726.SM.4DXT5
HYLS1	93.35	116.78	0.0	49.91	44.25	47.84	33.54	51.35	20.86	116.78	163.28	60.82	120.94	256.78
INTS5	414.87	490.14	0.0	299.25	307.69	305.55	241.19	293.07	260.38	454.09	493.56	466.88	497.0	514.56
JMJD4	299.25	323.03	0.0	265.87	237.86	193.01	209.84	420.68	267.73	426.57	316.37	698.41	583.07	620.67
KLHL4	7.82	10.79	0.0	8.58	2.05	1.69	0.49	1.87	0.44	155.5	70.51	72.01	137.14	97.36
LGALS1	25887.07	19892.37	1.36	22850.48	20451.65	19082.0	8479.89	4869.99	22692.63	182810.84	71714.63	95949.32	101420.22	87075.75
LRRC3C	1.77	8.92	0.0	0.0	1.14	1.73	0.51	0.0	0.46	1.93	1.57	3.23	3.69	3.2
MRGPRF	1519.15	1819.35	0.6	18.97	26.28	35.0	15.22	15.22	19.68	10225.32	4328.55	7382.04	7803.01	5633.22
MRPL11	1529.73	1407.55	0.52	866.07	825.0	764.36	555.41	791.35	808.0	1685.71	1781.89	2032.85	1674.06	1628.26
MRPL16	1295.13	1066.48	0.41	476.71	444.72	389.72	329.84	412.0	363.56	1697.45	1407.55	1286.18	1697.45	1167.14
MRPL36	1111.82	934.76	0.78	860.08	854.13	723.08	651.58	909.17	733.19	1832.01	1991.0	1498.22	1639.59	1950.0
MRPS17	356.05	295.11	412.0	199.85	232.94	182.55	171.45	215.77	149.12	470.14	497.0	363.56	559.28	457.25
MUC5B	5.923719433E7	3.066309426E7	0.0	2.73	0.0	7.63	0.0	0.0	0.0	5.11	1.11	2.12	2.12	33.54
MYH9	3372.43	3168.41	1639.59	4543.8	5041.77	4358.66	5183.54	2061.24	4543.8	13681.08	9474.59	14663.09	6164.49	11504.21
NAA60	1151.06	1023.0	176.29	656.11	802.41	785.88	802.41	825.0	819.3	1277.29	1073.91	1427.22	1159.07	1487.87
NFIX	1467.37	2061.24	332.14	1447.15	599.49	1709.26	603.67	928.3	1199.98	5366.37	3665.02	4972.34	3103.19	2976.74
NGRN	2816.11	4010.71	0.88	2816.11	2895.31	2537.92	2255.7	2758.13	2468.49	4802.93	5479.15	3742.05	3589.58	5219.6
NLGN4X	796.86	4358.66	0.09	21.94	3.14	38.95	5.23	8.0	9.48	2701.35	135.24	320.8	595.34	323.03
NPAS4	0.84	5.45	0.16	0.0	0.0	18.29	0.0	1.5	0.77	37.85	50.63	33.78	70.01	30.34
PARVA	1477.58	1477.58	0.67	802.41	909.17	698.41	775.05	503.95	656.11	6652.97	4095.0	2997.45	2004.85	4181.07
PCDHB3	32.36	45.85	0.29	23.76	7.17	13.62	7.22	7.34	10.0	83.45	78.34	117.6	95.34	127.89
PDAP1	1963.57	2367.9	376.41	3060.45	2537.92	2645.74	2319.15	2287.2	2758.13	4972.34	4671.57	4268.94	3515.68	3665.02
PDE6D	483.38	318.57	0.56	426.57	361.04	316.37	387.02	406.31	323.03	665.29	830.75	743.43	708.18	571.05
PDHB	1487.87	1359.57	0.38	1340.84	1304.15	1167.14	728.11	1340.84	1096.5	2240.11	1745.2	1628.26	1529.73	1896.65
PDZD9	5.73	6.52	0.0	4.86	1.99	1.57	0.89	2.84	2.18	3.29	6.67	7.75	10.0	7.63
PEPD	1369.04	1322.37	0.56	941.27	981.29	995.0	769.69	934.76	995.0	2018.8	1639.59	2119.22	1870.53	2018.8
PIGC	1059.11	1151.06	0.02	679.29	571.05	579.04	395.18	684.02	620.67	1427.22	1295.13	1259.69	860.08	1733.13
PLEKHF1	595.34	332.14	0.64	88.88	129.69	70.01	66.65	29.91	40.93	444.72	353.59	808.0	981.29	1044.52
POLE3	854.13	1119.56	0.68	656.11	674.59	708.18	825.0	878.17	583.07	934.76	1225.22	1008.9	1088.92	1199.98
PPP1R12C	2645.74	2645.74	1.27	1331.57	1304.15	1051.79	1183.45	769.69	1709.26	3564.78	3372.43	4704.07	5147.73	3982.99
PREB	723.08	825.0	0.34	688.78	587.13	514.56	493.56	974.5	567.1	1594.73	1508.65	1397.83	1350.18	1242.34
PRPF19	1991.0	3168.41	0.38	1832.01	1639.59	1617.0	1340.84	1870.53	1498.22	2777.33	2720.15	2645.74	2520.38	2384.37
RADIL	339.14	341.51	0.35	15.56	9.06	13.72	4.13	28.24	4.35	60.82	141.02	208.38	320.8	251.48
REM1	532.74	591.22	0.0	55.1	31.22	51.35	11.38	41.81	19.11	379.04	153.34	244.57	291.04	221.86
RERG	181.28	202.66	0.41	50.98	45.85	38.4	57.89	40.07	20.26	4836.35	3491.39	4010.71	2555.58	7695.57
RNMTL1	314.17	392.44	0.31	228.13	214.27	198.47	158.79	221.86	166.73	358.54	395.18	371.22	665.29	638.15
RP11-131H24.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	2.05	3.17	3.38	2.41
RP11-712L6.5	8.71	11.38	0.0	21.01	6.84	7.69	2.81	8.45	23.25	75.11	13.42	40.93	60.39	56.68
RRS1	303.44	409.15	0.04	406.31	303.44	476.71	297.17	341.51	248.0	769.69	684.02	525.39	988.12	633.73
RTCB	1175.27	1359.57	397.93	1151.06	1331.57	1242.34	1143.1	616.37	1225.22	1551.09	1605.83	1519.15	1709.26	1781.89
RWDD2B	483.38	503.95	0.0	366.09	376.41	361.04	379.04	343.89	260.38	536.45	599.49	642.59	417.77	591.22
SERP2	397.93	293.07	0.35	185.11	98.04	155.5	69.52	181.28	175.07	511.0	511.0	698.41	341.51	307.69
SLC25A17	371.22	500.46	0.28	447.82	406.31	373.81	409.15	246.28	397.93	642.59	896.64	896.64	629.35	738.29
SLC45A1	67.59	86.43	0.39	69.52	34.51	66.65	19.11	47.17	81.14	201.25	180.02	283.05	406.31	186.4
SLMAP	612.11	607.87	0.32	339.14	343.89	361.04	629.35	406.31	307.69	3794.3	1781.89	1628.26	2645.74	2090.03
SMARCAL1	432.53	521.76	0.0	283.05	291.04	258.57	191.67	301.33	289.02	476.71	463.65	429.54	299.25	733.19
SOX5	172.65	316.37	0.26	17.0	8.38	10.63	24.63	5.06	13.83	65.72	28.04	119.26	56.28	182.55
SYDE1	518.15	629.35	0.72	214.27	132.44	117.6	89.51	103.69	84.63	1127.35	890.44	1023.0	1199.98	808.0
TACO1	373.81	371.22	0.0	358.54	318.57	265.87	206.94	312.0	231.32	575.03	559.28	525.39	463.65	612.11
THAP11	872.1	954.43	395.18	438.59	363.56	325.29	220.32	540.19	301.33	1059.11	1111.82	896.64	961.07	1015.93
THOC7	1477.58	1806.78	0.62	947.83	1066.48	872.1	1119.56	967.76	780.44	2303.12	2163.77	2240.11	1487.87	1883.54
TNFAIP8L3	37.85	71.0	0.53	30.78	20.26	29.7	8.78	42.71	19.82	2997.45	1175.27	3564.78	6079.61	5441.3
TPRKB	1870.53	1540.37	0.51	713.11	669.92	642.59	532.74	616.37	507.46	1259.69	1277.29	1159.07	1143.1	1286.18
TRERF1	116.78	209.84	0.36	31.67	17.9	17.0	11.04	20.56	17.38	122.64	139.07	112.77	212.78	120.94
TRIM9	13.03	14.35	0.57	10.96	4.74	6.73	2.66	6.78	5.92	8.99	90.77	218.79	201.25	629.35
TRMT10C	414.87	503.95	187.71	237.86	237.86	236.21	299.25	299.25	156.59	559.28	660.68	551.56	842.36	603.67
TULP2	3.96	1.45	0.06	0.34	2.2	0.35	0.8	0.32	0.74	24.28	5.59	12.64	10.55	13.52
UTP11L	708.18	769.69	563.18	934.76	679.29	684.02	759.08	830.75	591.22	988.12	1143.1	902.89	1457.23	1127.35
VPS72	1015.93	1340.84	500.46	1066.48	890.44	830.75	785.88	769.69	954.43	1639.59	2090.03	1832.01	995.0	2627.46
WIZ	624.99	507.46	249.73	470.14	426.57	450.94	414.87	339.14	412.0	872.1	813.63	775.05	947.83	860.08
WRB	1008.9	1963.57	0.4	813.63	441.64	656.11	450.94	769.69	624.99	1259.69	872.1	1175.27	1199.98	961.07
XRCC6	4481.23	5147.73	1.07	4481.23	4671.57	4903.87	4869.99	2520.38	4972.34	5995.9	5329.3	6561.36	6121.9	7032.37
XXYLT1	220.32	178.77	154.42	209.84	173.85	157.68	126.12	212.78	172.65	518.15	241.19	444.72	366.09	476.71
ZNF174	237.86	283.05	0.0	228.13	187.71	165.57	186.4	244.57	177.53	285.03	387.02	287.01	260.38	444.72
ZNF747	228.13	312.0	0.21	255.0	246.28	215.77	191.67	264.03	151.22	269.6	318.57	373.81	309.83	376.41
