	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X585.1226.SM.46MW7	GTEX.NPJ8.2026.SM.3TW91	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.B9.4116.01A.02R.1351.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	GTEX.13113.0126.SM.5LZVX	GTEX.132AR.1126.SM.5P9GA	GTEX.V1D1.0926.SM.4JBHQ
C1orf220	3.59	34.51	18.97	0.0	11.55	8.0	2.94	27.84	11.64	8.78	12.18	40.64	49.91	0.82	3.06	1.2	1.14	50.27	1.41	1.33	0.0	2.51	0.68	0.0	2.14	6.16	0.0	0.41	0.0	0.78	26.86	23.59	33.06
CAPN10	205.5	389.72	902.89	555.41	500.46	414.87	486.75	723.08	483.38	620.67	518.15	1151.06	915.51	173.85	320.8	182.55	208.38	961.07	76.17	76.17	85.22	251.48	305.55	312.0	224.97	299.25	155.5	140.04	113.56	206.94	591.22	336.79	813.63
CAPRIN2	29.91	186.4	143.01	156.59	305.55	232.94	314.17	444.72	189.02	152.28	170.25	559.28	575.03	49.91	127.0	18.56	112.77	454.09	35.5	49.56	15.8	129.69	31.67	44.25	48.18	141.02	38.12	31.45	23.93	104.42	426.57	253.23	579.04
CBWD7	31.0	81.71	90.77	80.01	119.26	132.44	82.29	205.5	43.32	194.36	73.54	169.07	59.13	45.21	24.99	220.32	25.35	248.0	21.63	27.25	6.52	36.53	23.93	15.22	6.62	46.5	23.25	12.27	23.93	8.13	194.36	98.73	205.5
CCDC142	52.82	209.84	170.25	162.14	204.07	139.07	197.09	209.84	120.94	171.45	105.89	256.78	275.28	78.34	67.59	4.39	78.34	234.57	21.16	50.27	28.04	69.03	32.36	62.12	68.55	62.56	77.25	50.63	28.04	28.86	185.11	122.64	150.17
CCDC93	175.07	251.48	395.18	305.55	379.04	234.57	248.0	400.71	229.72	277.2	236.21	406.31	361.04	107.38	135.24	24.28	165.57	693.58	52.08	48.52	50.98	142.01	70.51	101.54	128.79	373.81	74.06	98.73	74.58	159.9	603.67	483.38	429.54
CCNL1	1044.52	3768.09	2384.37	1674.06	4181.07	2796.65	3081.75	5147.73	1757.34	2609.3	1832.01	2645.74	2609.3	651.58	551.56	136.19	1870.53	2193.99	603.67	432.53	173.85	679.29	759.08	1233.75	616.37	1037.29	591.22	392.44	463.65	483.38	2224.63	2796.65	2777.33
CCNT2	149.12	366.09	454.09	297.17	420.68	395.18	376.41	466.88	307.69	291.04	297.17	348.71	444.72	135.24	191.67	29.06	187.71	503.95	42.41	47.84	76.71	161.02	115.97	109.66	129.69	214.27	114.36	98.04	63.0	136.19	497.0	450.94	483.38
CEP152	49.56	80.57	88.26	50.98	232.94	104.42	103.69	123.5	62.12	46.5	24.81	65.72	115.97	62.56	34.26	7.88	26.1	87.03	20.11	11.04	15.8	11.38	53.95	21.01	29.48	152.28	13.42	15.11	12.83	21.63	65.26	145.02	52.08
CEP95	460.44	921.88	607.87	507.46	995.0	733.19	808.0	1044.52	500.46	547.75	503.95	981.29	1081.39	139.07	198.47	75.64	255.0	1051.79	83.45	103.69	45.53	231.32	177.53	164.42	187.71	500.46	137.14	144.01	157.68	267.73	1268.46	775.05	1508.65
CLCN6	92.7	202.66	224.97	176.29	256.78	224.97	180.02	376.41	138.1	191.67	128.79	327.56	457.25	38.67	81.14	18.97	103.69	264.03	29.48	35.25	19.39	61.25	50.63	69.52	62.12	95.34	63.45	48.18	33.78	67.59	414.87	232.94	420.68
CLHC1	134.3	191.67	108.14	90.14	202.66	108.9	199.85	217.27	124.37	91.41	75.64	384.34	176.29	17.25	37.85	87.65	67.59	255.0	4.28	10.63	30.78	47.17	32.59	37.05	58.71	46.5	56.68	53.19	50.63	19.97	269.6	151.22	341.51
CRTC2	748.61	1127.35	1304.15	1127.35	1066.48	1208.34	1191.69	1359.57	860.08	1313.23	808.0	1304.15	1963.57	503.95	555.41	348.71	688.78	1151.06	287.01	309.83	241.19	493.56	429.54	476.71	638.15	902.89	547.75	420.68	490.14	571.05	1508.65	1135.2	1662.49
DCAF8	836.53	2303.12	1477.58	1757.34	1794.29	1605.83	1268.46	2816.11	1487.87	1208.34	1685.71	2004.85	2061.24	854.13	1378.57	848.22	1529.73	4328.55	884.29	1295.13	507.46	1104.13	941.27	587.13	1073.91	1594.73	909.17	928.3	688.78	1561.89	4481.23	2451.44	4388.98
DDX17	2271.4	4419.52	4836.35	5112.16	6250.56	5147.73	5633.22	7230.1	4512.4	4512.4	4736.79	6935.54	8963.45	1397.83	2502.97	638.15	2835.7	10440.2	769.69	1088.92	995.0	2855.44	2047.0	1467.37	2367.9	3081.75	1697.45	1923.14	1233.75	2555.58	11424.74	7485.11	13306.94
DENND4B	226.54	547.75	543.96	780.44	796.86	633.73	796.86	1088.92	420.68	915.51	603.67	1242.34	3614.55	193.01	332.14	52.08	336.79	902.89	96.68	87.65	122.64	267.73	273.37	392.44	220.32	480.04	150.17	171.45	120.1	368.65	764.36	890.44	808.0
DMTF1	271.48	1447.15	1051.79	928.3	1936.53	1427.22	1119.56	1936.53	1008.9	819.3	748.61	1674.06	1950.0	162.14	262.2	75.11	358.54	1794.29	42.11	79.45	56.28	336.79	189.02	193.01	211.31	339.14	140.04	115.97	128.79	260.38	2032.85	1819.35	2335.28
EXD3	242.88	312.0	595.34	444.72	283.05	395.18	251.48	507.46	414.87	463.65	543.96	656.11	1191.69	133.36	157.68	226.54	205.5	753.83	61.25	57.08	56.28	154.42	130.6	142.01	164.42	368.65	145.02	119.26	111.99	248.0	507.46	303.44	529.06
FAM193B	616.37	1651.0	1662.49	1617.0	1745.2	1572.76	1369.04	1721.16	1806.78	2367.9	1295.13	3168.41	4239.45	457.25	500.46	108.14	426.57	2148.82	90.77	269.6	93.35	327.56	490.14	392.44	656.11	1268.46	323.03	307.69	269.6	551.56	1781.89	1781.89	1909.85
FAM71F2	4.74	31.9	45.85	19.82	56.68	38.4	18.43	95.34	43.32	41.81	16.27	137.14	136.19	0.92	5.02	0.0	13.42	81.71	0.21	0.05	0.0	9.7	0.26	0.44	7.17	1.68	2.89	1.06	4.58	4.86	36.01	58.3	98.04
FCHSD1	426.57	447.82	381.68	521.76	454.09	400.71	381.68	575.03	368.65	473.41	379.04	974.5	563.18	232.94	947.83	18.7	246.28	848.22	29.27	12.93	24.28	151.22	129.69	373.81	241.19	379.04	211.31	76.17	105.15	120.94	575.03	708.18	629.35
HDAC10	480.04	764.36	688.78	866.07	629.35	775.05	579.04	1073.91	660.68	620.67	708.18	2104.58	1183.45	269.6	244.57	96.68	307.69	1388.16	146.03	183.82	78.34	279.14	255.0	248.0	291.04	447.82	217.27	178.77	177.53	231.32	1066.48	679.29	1135.2
HERC2	356.05	954.43	713.11	860.08	1127.35	988.12	1073.91	1268.46	738.29	836.53	909.17	1199.98	1151.06	830.75	743.43	114.36	624.99	1199.98	205.5	258.57	242.88	780.44	836.53	656.11	878.17	743.43	497.0	738.29	503.95	665.29	915.51	967.76	848.22
HERC4	297.17	612.11	547.75	470.14	688.78	620.67	551.56	603.67	532.74	480.04	460.44	642.59	909.17	293.07	314.17	73.54	305.55	536.45	177.53	148.09	301.33	309.83	258.57	616.37	271.48	299.25	194.36	193.01	201.25	253.23	423.61	656.11	490.14
HNRNPH1	4769.75	8191.0	8247.98	7803.01	10659.59	9344.14	9540.5	11664.82	7695.57	7911.95	6792.79	12329.98	11345.82	3325.99	4450.27	540.19	5183.54	11035.54	1135.2	1295.13	1277.29	4481.23	3235.01	2485.67	3564.78	4239.45	3395.89	2915.45	1883.54	2287.2	16496.96	12244.81	12853.63
INPPL1	265.87	1250.98	1508.65	1457.23	2303.12	1191.69	1175.27	2193.99	1030.12	1561.89	1417.35	3467.27	3419.52	346.29	620.67	277.2	819.3	3039.3	228.13	205.5	115.16	665.29	239.52	307.69	511.0	785.88	289.02	346.29	151.22	511.0	2855.44	1685.71	2520.38
KIAA1009	43.94	94.01	137.14	70.51	126.12	102.97	109.66	151.22	74.06	58.71	47.84	183.82	289.02	42.11	59.13	7.46	119.26	295.11	24.28	18.7	51.71	30.56	29.27	36.53	51.71	65.72	41.52	38.12	60.82	37.05	181.28	237.86	307.69
KRT4	3.697379928E7	1472666.19	1402917.72	1.810644424E7	1545882.32	6140819.49	778316.89	4450.27	2.276004283E7	3359929.59	3.109113511E7	122293.5	111.21	13123.73	86474.27	0.0	1.22	0.0	1.17	2.29	1.236706555E7	2053992.24	2.900905474E7	6357375.06	1.236706555E7	1727194.55	2.213766823E7	1.887534821E7	2.10891839E7	1282030.25	3.17	5.77	2.23
LEMD2	764.36	1331.57	1572.76	1268.46	1191.69	1350.18	1467.37	1674.06	1369.04	1561.89	1369.04	1572.76	1923.14	780.44	872.1	103.69	819.3	1594.73	265.87	339.14	339.14	624.99	607.87	392.44	703.28	1044.52	688.78	525.39	587.13	688.78	1561.89	1313.23	1583.71
MDM4	84.63	221.86	221.86	215.77	339.14	256.78	244.57	373.81	198.47	239.52	218.79	521.76	638.15	63.0	98.04	15.8	120.1	500.46	20.86	20.86	13.93	97.36	68.07	67.59	63.89	187.71	51.35	45.85	29.7	91.41	379.04	332.14	476.71
MZF1	239.52	392.44	647.07	463.65	660.68	432.53	429.54	638.15	463.65	435.55	536.45	1175.27	1883.54	111.99	119.26	18.56	201.25	1508.65	28.04	55.89	34.02	191.67	123.5	111.99	177.53	136.19	100.83	105.15	99.43	120.94	1617.0	1331.57	2178.83
NBPF20	13.62	49.21	93.35	58.3	65.26	53.19	69.03	81.14	57.08	60.39	55.1	44.25	141.02	21.78	25.54	0.42	18.29	167.9	8.25	4.86	3.2	21.78	3.96	19.25	7.0	28.45	8.38	9.48	1.64	6.94	102.25	81.71	65.26
NBPF9	236.21	348.71	633.73	454.09	470.14	409.15	547.75	665.29	432.53	339.14	426.57	567.1	842.36	149.12	191.67	4.06	297.17	1081.39	137.14	108.14	47.17	161.02	107.38	171.45	115.97	285.03	88.26	105.89	122.64	139.07	896.64	679.29	941.27
NPIPA1	417.77	2645.74	1447.15	1909.85	2609.3	2287.2	3395.89	4239.45	1896.65	1313.23	1378.57	4010.71	7911.95	125.24	314.17	77.79	476.71	2609.3	105.89	182.55	76.17	525.39	392.44	341.51	414.87	769.69	212.78	182.55	305.55	551.56	2104.58	2591.27	2720.15
NUTM2G	4.9	9.13	9.2	10.08	10.16	5.87	8.38	20.56	9.41	7.88	8.0	32.82	31.45	1.14	3.72	0.0	2.63	16.27	1.07	0.0	0.0	0.01	1.28	1.0	1.87	3.17	0.67	0.92	1.31	0.18	9.56	5.82	5.59
OCLM	2.25	20.41	21.94	10.39	32.36	26.1	13.93	21.47	8.45	11.3	8.25	11.55	34.02	3.06	3.14	0.0	7.88	35.25	1.62	0.35	0.03	2.36	5.92	1.0	0.89	3.11	0.91	0.79	0.11	1.79	14.45	22.59	8.19
PABPC1L	113.56	796.86	483.38	587.13	493.56	656.11	688.78	2193.99	454.09	392.44	329.84	1397.83	825.0	35.25	52.45	4.66	271.48	1709.26	17.77	35.5	3.56	51.35	15.34	74.06	109.66	79.45	26.67	25.17	15.34	16.27	1540.37	1233.75	2682.69
PASK	206.94	228.13	234.57	87.65	258.57	126.12	295.11	361.04	115.97	177.53	183.82	273.37	169.07	47.17	75.64	7.22	87.65	381.68	30.78	56.28	8.65	93.35	72.52	43.02	60.39	339.14	28.24	30.34	24.46	30.56	890.44	269.6	819.3
PAXBP1	149.12	497.0	579.04	376.41	567.1	529.06	447.82	909.17	353.59	409.15	332.14	543.96	693.58	105.89	165.57	35.0	155.5	607.87	60.82	59.13	62.56	105.89	103.69	163.28	139.07	234.57	121.79	108.9	100.13	103.69	693.58	454.09	629.35
PBX2	579.04	1709.26	1119.56	1417.35	1104.13	1216.75	1457.23	1529.73	1175.27	1183.45	1477.58	1844.76	2148.82	753.83	688.78	63.0	1191.69	3235.01	297.17	255.0	320.8	769.69	961.07	753.83	703.28	866.07	769.69	607.87	476.71	607.87	2895.31	1832.01	2537.92
PCGF1	429.54	620.67	529.06	463.65	536.45	518.15	651.58	466.88	389.72	718.08	384.34	884.29	1191.69	316.37	417.77	239.52	381.68	669.92	185.11	271.48	444.72	339.14	135.24	395.18	435.55	329.84	264.03	312.0	231.32	239.52	551.56	785.88	819.3
PHYKPL	275.28	629.35	679.29	728.11	830.75	607.87	543.96	1023.0	624.99	825.0	638.15	2209.26	2520.38	307.69	297.17	334.46	780.44	1639.59	435.55	507.46	135.24	376.41	279.14	253.23	358.54	429.54	201.25	215.77	197.09	397.93	2335.28	1313.23	2485.67
PNISR	616.37	2193.99	3060.45	1304.15	2555.58	2351.53	2664.15	3540.14	1378.57	1369.04	1015.93	3235.01	5112.16	223.41	460.44	111.99	616.37	2537.92	111.21	173.85	100.13	529.06	358.54	307.69	426.57	915.51	248.0	215.77	228.13	532.74	3928.15	3039.3	4095.0
POGZ	414.87	693.58	718.08	813.63	974.5	802.41	1191.69	1378.57	819.3	723.08	656.11	1583.71	1769.57	167.9	358.54	38.12	529.06	1369.04	64.34	98.73	80.01	339.14	209.84	164.42	267.73	532.74	191.67	214.27	85.82	406.31	1583.71	1259.69	1883.54
PRPF3	555.41	1304.15	1674.06	1066.48	1167.14	1111.82	1127.35	1794.29	941.27	1183.45	791.35	1896.65	1757.34	351.14	514.56	59.97	466.88	2178.83	110.43	187.71	118.43	473.41	373.81	285.03	323.03	764.36	260.38	314.17	228.13	358.54	1594.73	928.3	2104.58
RABL2A	86.43	387.02	314.17	363.56	450.94	279.14	460.44	607.87	299.25	231.32	242.88	529.06	796.86	52.82	127.89	27.84	211.31	1104.13	33.54	44.57	28.04	123.5	68.55	61.25	126.12	309.83	47.84	71.0	43.63	156.59	1073.91	507.46	1286.18
RABL2B	161.02	547.75	450.94	500.46	620.67	587.13	665.29	764.36	463.65	463.65	384.34	1143.1	1135.2	206.94	242.88	231.32	420.68	1721.16	61.25	122.64	133.36	236.21	161.02	244.57	293.07	595.34	149.12	204.07	108.14	244.57	1369.04	1167.14	1721.16
RAD52	121.79	316.37	167.9	155.5	214.27	255.0	420.68	314.17	262.2	176.29	169.07	836.53	884.29	82.29	82.87	11.82	119.26	743.43	16.75	41.52	36.79	84.04	64.8	102.97	96.01	166.73	29.27	42.71	29.06	92.7	420.68	723.08	529.06
RBM6	493.56	1561.89	1977.24	1151.06	2255.7	1745.2	1096.5	3124.78	1242.34	1467.37	1175.27	4671.57	4671.57	312.0	579.04	147.06	713.11	2255.7	209.84	229.72	167.9	583.07	476.71	525.39	665.29	961.07	384.34	426.57	258.57	547.75	2796.65	2018.8	2664.15
REM2	8.25	22.75	21.63	24.99	17.25	23.25	9.63	37.05	14.67	14.24	13.52	19.97	29.48	1.71	3.86	0.83	3.79	21.47	3.92	0.66	0.58	4.94	14.56	0.72	4.39	12.09	6.16	2.27	5.82	3.99	21.94	5.77	36.53
RFPL3S	2.97	10.88	11.55	27.05	19.11	18.43	29.7	50.63	13.22	18.43	13.42	132.44	120.1	1.36	10.08	0.0	6.94	72.01	2.39	0.87	0.0	16.51	0.83	1.36	2.03	3.82	3.17	0.65	2.78	5.73	27.25	42.11	39.5
RGPD5	44.25	145.02	371.22	108.14	128.79	142.01	187.71	205.5	101.54	157.68	56.68	178.77	454.09	68.55	191.67	37.59	84.63	253.23	36.01	37.05	70.01	35.5	124.37	110.43	116.78	204.07	72.52	72.52	49.56	165.57	423.61	305.55	269.6
RP11-1212A22.4	397.93	1936.53	1096.5	1769.57	713.11	579.04	1662.49	4038.61	1135.2	988.12	1159.07	2573.36	7433.4	143.01	400.71	31.45	480.04	3564.78	202.66	323.03	148.09	348.71	232.94	162.14	708.18	525.39	193.01	392.44	140.04	426.57	1508.65	3124.78	2664.15
RP13-996F3.5	13.32	25.17	112.77	94.01	126.12	42.71	36.27	27.25	31.22	82.29	31.67	100.83	8.19	1.41	9.56	1.22	6.84	26.67	0.0	0.75	0.15	4.86	1.55	3.69	6.41	12.36	3.86	1.14	10.16	3.14	19.68	6.26	6.46
S100PBP	221.86	387.02	262.2	204.07	406.31	353.59	366.09	473.41	204.07	205.5	186.4	473.41	511.0	128.79	153.34	35.76	209.84	674.59	34.75	49.56	70.51	136.19	63.45	120.94	128.79	289.02	83.45	96.01	96.68	158.79	414.87	507.46	563.18
SETD5	563.18	830.75	1001.93	1073.91	1583.71	1104.13	1427.22	1457.23	1073.91	872.1	1167.14	1096.5	1407.55	723.08	595.34	55.49	490.14	1225.22	137.14	138.1	190.34	591.22	511.0	507.46	486.75	656.11	403.5	412.0	265.87	493.56	1350.18	1268.46	1023.0
SFI1	255.0	403.5	708.18	507.46	633.73	423.61	441.64	902.89	392.44	525.39	387.02	1199.98	813.63	105.15	148.09	60.82	182.55	1594.73	27.64	21.78	19.53	118.43	94.67	85.82	101.54	466.88	56.28	52.45	37.32	94.01	769.69	518.15	915.51
SLC25A14	134.3	297.17	417.77	267.73	387.02	299.25	260.38	460.44	249.73	271.48	186.4	353.59	457.25	151.22	202.66	167.9	224.97	872.1	85.22	119.26	98.04	186.4	237.86	106.63	173.85	248.0	126.12	177.53	141.02	132.44	457.25	341.51	591.22
SMG7	579.04	780.44	909.17	723.08	928.3	713.11	830.75	836.53	764.36	708.18	543.96	698.41	698.41	642.59	674.59	135.24	507.46	1015.93	182.55	224.97	318.57	497.0	438.59	567.1	493.56	748.61	447.82	507.46	363.56	358.54	802.41	775.05	629.35
SNAPC4	64.34	110.43	169.07	167.9	172.65	128.79	178.77	180.02	104.42	189.02	106.63	223.41	220.32	95.34	64.8	10.63	91.41	295.11	42.71	43.32	21.78	79.45	51.71	129.69	64.34	157.68	50.27	48.87	36.53	84.04	236.21	169.07	353.59
STK11IP	208.38	525.39	708.18	575.03	529.06	529.06	915.51	753.83	503.95	579.04	493.56	1104.13	1151.06	295.11	269.6	59.13	323.03	723.08	39.5	45.53	105.15	241.19	384.34	273.37	236.21	543.96	198.47	208.38	177.53	211.31	878.17	669.92	780.44
STK36	135.24	679.29	759.08	525.39	825.0	587.13	490.14	934.76	669.92	587.13	579.04	2287.2	1508.65	97.36	154.42	26.28	346.29	2384.37	38.4	49.91	39.79	124.37	66.65	146.03	165.57	334.46	74.06	94.01	60.82	76.71	1295.13	1143.1	1529.73
STX16	583.07	1923.14	1477.58	1081.39	2075.59	1540.37	1304.15	2400.97	1199.98	954.43	988.12	1639.59	2400.97	358.54	376.41	80.57	563.18	2032.85	127.0	151.22	178.77	447.82	395.18	460.44	353.59	718.08	334.46	287.01	214.27	400.71	1350.18	1540.37	1519.15
SUGP2	379.04	1066.48	947.83	1001.93	1167.14	866.07	1250.98	1417.35	743.43	878.17	954.43	1617.0	1794.29	277.2	381.68	185.11	409.15	2032.85	173.85	152.28	106.63	420.68	249.73	351.14	244.57	423.61	166.73	189.02	202.66	305.55	2193.99	981.29	2148.82
SUPT20H	403.5	733.19	1037.29	651.58	974.5	995.0	629.35	860.08	753.83	612.11	665.29	808.0	967.76	371.22	409.15	170.25	376.41	1313.23	91.41	152.28	217.27	426.57	336.79	287.01	366.09	651.58	228.13	262.2	221.86	343.89	808.0	854.13	954.43
SUPT7L	327.56	780.44	921.88	583.07	723.08	665.29	718.08	808.0	571.05	836.53	426.57	1066.48	1127.35	329.84	277.2	87.65	543.96	961.07	217.27	242.88	267.73	265.87	291.04	381.68	384.34	297.17	253.23	287.01	281.09	358.54	830.75	848.22	1008.9
TAF1C	237.86	1286.18	723.08	1030.12	915.51	974.5	842.36	1457.23	842.36	1037.29	967.76	2384.37	2148.82	239.52	318.57	40.93	363.56	2004.85	99.43	115.16	96.68	366.09	244.57	244.57	323.03	679.29	204.07	221.86	163.28	373.81	1081.39	1183.45	1617.0
TAS2R13	0.0	0.87	0.39	0.44	1.31	1.01	2.07	5.45	0.49	0.67	0.0	1.95	4.39	0.0	0.0	0.0	0.0	2.51	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.06	0.48	1.06	0.51
TAS2R20	3.86	18.29	15.0	4.98	25.54	13.22	34.02	26.86	6.01	9.7	9.13	26.28	11.55	1.95	1.99	0.0	11.3	24.11	0.0	0.68	0.0	2.68	0.42	0.0	0.0	4.1	0.85	0.0	0.77	2.71	15.68	13.03	28.45
TAZ	414.87	1259.69	1594.73	1001.93	1096.5	1159.07	647.07	1508.65	674.59	848.22	825.0	2047.0	2133.97	237.86	346.29	305.55	297.17	1427.22	163.28	194.36	104.42	316.37	346.29	420.68	363.56	435.55	312.0	277.2	264.03	651.58	878.17	836.53	921.88
TRAF1	23.93	116.78	101.54	134.3	141.02	120.94	389.72	202.66	101.54	139.07	195.72	256.78	389.72	88.26	107.38	2.84	52.08	376.41	10.55	9.2	27.44	35.25	29.48	90.77	49.91	172.65	23.76	22.26	5.77	77.79	201.25	363.56	246.28
TRMU	361.04	878.17	1051.79	808.0	995.0	718.08	988.12	1081.39	684.02	764.36	669.92	878.17	1030.12	255.0	450.94	267.73	215.77	872.1	208.38	172.65	124.37	363.56	320.8	438.59	236.21	457.25	267.73	186.4	190.34	450.94	860.08	412.0	928.3
TSC1	149.12	197.09	351.14	295.11	363.56	293.07	212.78	323.03	281.09	231.32	307.69	543.96	429.54	106.63	173.85	111.99	194.36	480.04	31.67	33.3	76.17	134.3	148.09	71.0	149.12	186.4	154.42	150.17	105.15	130.6	620.67	287.01	583.07
TSSK3	0.82	94.01	43.94	37.05	101.54	50.98	42.71	153.34	24.28	31.45	9.7	55.49	104.42	4.31	8.99	0.0	15.91	120.1	3.5	3.86	0.0	2.94	2.39	0.01	5.32	10.0	1.36	4.06	0.99	8.71	226.54	37.85	93.35
TSTD2	41.22	177.53	249.73	182.55	255.0	241.19	189.02	356.05	169.07	173.85	154.42	229.72	358.54	116.78	114.36	40.36	104.42	379.04	25.17	40.64	55.49	204.07	112.77	73.54	141.02	147.06	95.34	64.34	127.0	76.17	392.44	201.25	384.34
TYW5	46.84	98.73	142.01	94.67	118.43	114.36	100.13	145.02	97.36	97.36	77.79	149.12	132.44	53.57	67.12	64.8	53.19	205.5	44.57	46.18	54.33	71.5	43.32	63.89	62.12	109.66	47.84	34.51	36.53	32.82	125.24	122.64	127.0
