	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.POMQ.0526.SM.3GADD	GTEX.Y9LG.0526.SM.4VBRY	GTEX.131XH.0426.SM.5DUWU
FBXO30	49.21	23.76	90.14	51.35	107.38	68.55	83.45	43.02	96.68	171.45	43.32	36.53	70.51	78.89	50.63	108.14	92.05	36.27
FKBP3	358.54	444.72	988.12	638.15	981.29	688.78	651.58	808.0	909.17	1066.48	366.09	514.56	674.59	775.05	620.67	1167.14	934.76	507.46
FOPNL	395.18	120.1	909.17	463.65	825.0	500.46	808.0	115.16	738.29	954.43	82.87	323.03	264.03	595.34	447.82	780.44	620.67	231.32
GCSH	177.53	133.36	665.29	500.46	559.28	384.34	414.87	60.39	796.86	543.96	136.19	208.38	275.28	480.04	387.02	708.18	1111.82	211.31
GFM2	264.03	153.34	371.22	267.73	395.18	204.07	314.17	173.85	348.71	457.25	92.05	121.79	223.41	348.71	299.25	312.0	361.04	159.9
GNAI3	769.69	483.38	1304.15	915.51	1304.15	796.86	878.17	389.72	1088.92	1594.73	497.0	414.87	460.44	1331.57	688.78	1378.57	1135.2	463.65
GNPDA2	167.9	92.7	363.56	167.9	348.71	211.31	255.0	86.43	291.04	438.59	32.13	150.17	209.84	279.14	110.43	327.56	470.14	161.02
GOPC	277.2	90.77	339.14	271.48	381.68	265.87	406.31	127.0	293.07	463.65	76.71	169.07	244.57	358.54	287.01	334.46	318.57	154.42
GPATCH11	150.17	50.63	239.52	151.22	206.94	127.89	231.32	100.83	169.07	241.19	75.11	101.54	122.64	145.02	165.57	165.57	194.36	89.51
GPR34	256.78	12.55	688.78	244.57	412.0	343.89	587.13	40.36	493.56	665.29	24.46	112.77	94.01	180.02	417.77	303.44	503.95	55.49
GPX8	82.29	52.45	325.29	249.73	301.33	258.57	70.51	92.7	316.37	432.53	30.12	59.97	150.17	289.02	70.51	417.77	567.1	118.43
GRSF1	1143.1	525.39	1794.29	1529.73	1322.37	1277.29	1794.29	642.59	1628.26	1757.34	647.07	836.53	1135.2	1350.18	1295.13	1304.15	1870.53	884.29
GTF2A2	896.64	1733.13	2956.17	2224.63	3639.7	1883.54	2384.37	1008.9	2816.11	2104.58	854.13	1769.57	1651.0	2502.97	2047.0	2875.3	4836.35	1950.0
IFT52	599.49	260.38	848.22	559.28	848.22	591.22	583.07	182.55	587.13	759.08	251.48	297.17	397.93	647.07	665.29	660.68	708.18	353.59
IMPA1	255.0	123.5	503.95	373.81	395.18	320.8	470.14	194.36	466.88	665.29	72.52	231.32	269.6	307.69	281.09	426.57	470.14	237.86
KIAA0196	551.56	173.85	842.36	679.29	674.59	642.59	684.02	232.94	738.29	915.51	156.59	318.57	420.68	656.11	551.56	836.53	738.29	186.4
LMBRD2	81.14	30.34	128.79	72.52	131.51	92.05	136.19	34.26	120.94	221.86	11.55	44.57	80.57	79.45	74.06	133.36	143.01	49.21
LSM5	518.15	463.65	1936.53	1135.2	1605.83	1023.0	1111.82	332.14	1437.15	1870.53	325.29	764.36	551.56	967.76	947.83	1819.35	2061.24	454.09
LTN1	176.29	60.82	190.34	116.78	164.42	115.16	159.9	71.0	198.47	297.17	67.59	80.01	127.89	183.82	136.19	190.34	180.02	86.43
MDH1	1378.57	1151.06	4123.49	3257.52	3847.29	3124.78	2777.33	1487.87	4869.99	4010.71	890.44	1963.57	2193.99	2915.45	1883.54	4066.71	5672.41	1697.45
MDM1	99.43	34.75	163.28	113.56	228.13	96.68	166.73	98.04	127.0	289.02	74.06	40.64	111.21	163.28	152.28	182.55	166.73	90.14
MINPP1	244.57	234.57	368.65	223.41	356.05	246.28	332.14	111.21	314.17	366.09	96.68	171.45	153.34	237.86	173.85	387.02	293.07	205.5
MLX	1259.69	480.04	1781.89	1605.83	1208.34	1721.16	1806.78	651.58	1540.37	1457.23	500.46	1044.52	1242.34	1159.07	1199.98	1745.2	1857.6	514.56
MMADHC	1508.65	796.86	2915.45	1909.85	2777.33	1857.6	2075.59	759.08	2075.59	2720.15	981.29	1378.57	1023.0	2193.99	1674.06	2303.12	2875.3	1447.15
MRPL13	457.25	224.97	1167.14	854.13	1073.91	738.29	738.29	220.32	1143.1	909.17	241.19	521.76	503.95	819.3	525.39	1059.11	1583.71	432.53
MRPL47	532.74	246.28	1639.59	981.29	1378.57	514.56	988.12	264.03	796.86	1199.98	327.56	397.93	249.73	1119.56	947.83	1388.16	1551.09	318.57
MRPS10	429.54	267.73	796.86	575.03	647.07	463.65	555.41	194.36	796.86	1051.79	125.24	343.89	334.46	698.41	381.68	708.18	928.3	211.31
NAA20	1015.93	480.04	2047.0	1781.89	2178.83	1242.34	1794.29	463.65	1781.89	2209.26	457.25	1313.23	890.44	1909.85	1540.37	1709.26	2855.44	1073.91
NAGLU	988.12	234.57	1268.46	1135.2	753.83	1233.75	1119.56	314.17	1199.98	825.0	409.15	642.59	921.88	854.13	748.61	1331.57	1651.0	595.34
NAPG	343.89	218.79	591.22	486.75	435.55	373.81	460.44	529.06	507.46	603.67	226.54	307.69	255.0	486.75	414.87	463.65	651.58	157.68
NDUFB5	1159.07	511.0	3847.29	1651.0	2485.67	2255.7	1857.6	723.08	2758.13	2287.2	262.2	947.83	1066.48	1781.89	1397.83	2997.45	2895.31	813.63
NVL	232.94	83.45	417.77	361.04	277.2	269.6	289.02	140.04	269.6	514.56	95.34	191.67	236.21	316.37	309.83	420.68	353.59	111.99
OSTC	1111.82	890.44	3614.55	2997.45	2976.74	1721.16	1697.45	728.11	2758.13	3665.02	656.11	1551.09	1135.2	2720.15	1225.22	3955.48	4358.66	947.83
OSTM1	395.18	420.68	1001.93	842.36	587.13	490.14	1030.12	194.36	688.78	1159.07	182.55	323.03	470.14	698.41	532.74	1151.06	723.08	412.0
PAIP1	1135.2	738.29	2645.74	1540.37	1662.49	1250.98	2090.03	379.04	2075.59	3168.41	426.57	954.43	1008.9	1378.57	1151.06	2591.27	2178.83	651.58
PALB2	74.58	44.25	180.02	175.07	118.43	94.67	221.86	40.36	135.24	204.07	69.52	95.34	123.5	122.64	106.63	181.28	193.01	45.53
PDCD2L	126.12	31.0	223.41	277.2	204.07	71.0	244.57	68.07	176.29	223.41	81.14	81.14	62.56	157.68	185.11	289.02	293.07	45.53
POLR3F	126.12	49.56	273.37	139.07	214.27	156.59	226.54	74.06	218.79	269.6	43.94	70.51	95.34	215.77	145.02	201.25	267.73	94.67
PSMD5	303.44	381.68	633.73	483.38	503.95	438.59	536.45	149.12	476.71	738.29	80.01	336.79	518.15	518.15	356.05	511.0	651.58	208.38
PTPRR	24.63	11.82	74.06	23.76	20.56	29.48	31.9	11.38	56.28	12.93	4.1	12.83	20.11	56.68	14.89	81.71	38.67	10.55
PUS7	54.33	170.25	178.77	146.03	94.67	33.78	141.02	78.34	119.26	312.0	55.89	71.5	57.49	172.65	94.01	209.84	175.07	69.52
QRSL1	146.03	51.35	169.07	131.51	106.63	120.94	185.11	58.71	205.5	220.32	17.77	96.01	109.66	139.07	152.28	185.11	234.57	105.89
RAD17	341.51	96.68	476.71	358.54	420.68	269.6	435.55	106.63	351.14	457.25	100.83	204.07	228.13	366.09	332.14	454.09	435.55	166.73
RAE1	143.01	176.29	660.68	343.89	620.67	307.69	381.68	131.51	417.77	417.77	194.36	229.72	366.09	595.34	269.6	591.22	764.36	246.28
RPF2	244.57	307.69	551.56	470.14	389.72	269.6	295.11	132.44	376.41	703.28	110.43	226.54	159.9	543.96	320.8	620.67	612.11	187.71
RPP14	232.94	195.72	514.56	351.14	381.68	346.29	299.25	199.85	395.18	454.09	187.71	218.79	215.77	384.34	253.23	423.61	473.41	198.47
RWDD4	229.72	166.73	480.04	384.34	409.15	236.21	543.96	105.89	406.31	612.11	115.97	187.71	215.77	329.84	356.05	435.55	511.0	237.86
SCOC	915.51	497.0	2351.53	1208.34	1757.34	1242.34	1674.06	339.14	1844.76	2417.67	180.02	669.92	759.08	1233.75	785.88	1519.15	1870.53	669.92
SEC22A	295.11	120.1	638.15	406.31	551.56	299.25	432.53	145.02	563.18	583.07	107.38	303.44	197.09	384.34	409.15	503.95	796.86	246.28
SFTPA2	4023444.33	14765.09	3134925.09	3940643.03	2126426.15	4851500.88	5163792.94	37379.55	2729110.67	1956711.0	4937.99	4079609.54	5308966.95	3313672.43	5163792.94	1229805.58	1393227.06	163620.18
SLC25A30	182.55	84.04	262.2	182.55	232.94	193.01	267.73	141.02	361.04	361.04	59.97	117.6	223.41	251.48	173.85	381.68	426.57	88.88
SMIM10	151.22	186.4	287.01	78.34	183.82	158.79	229.72	75.11	275.28	283.05	42.41	108.9	83.45	220.32	175.07	291.04	241.19	105.15
SNRNP40	497.0	379.04	921.88	890.44	764.36	500.46	679.29	412.0	748.61	1081.39	139.07	511.0	457.25	854.13	638.15	1073.91	848.22	318.57
SPG21	1757.34	1572.76	3257.52	2682.69	1909.85	2417.67	2468.49	1561.89	2451.44	3491.39	1233.75	2163.77	2224.63	2502.97	2148.82	2777.33	2645.74	1359.57
SPRYD4	167.9	60.39	299.25	281.09	223.41	293.07	161.02	51.71	281.09	237.86	71.5	123.5	149.12	204.07	145.02	301.33	277.2	76.71
SPRYD7	460.44	152.28	414.87	334.46	327.56	229.72	514.56	169.07	341.51	500.46	80.57	223.41	262.2	392.44	244.57	414.87	555.41	123.5
SQRDL	1883.54	2090.03	4736.79	3982.99	2609.3	3280.18	2451.44	1119.56	3742.05	3419.52	2255.7	2434.5	1781.89	3665.02	1950.0	3515.68	3716.2	2061.24
STARD7	2701.35	928.3	3280.18	2502.97	2701.35	2209.26	3564.78	1583.71	2664.15	2895.31	1572.76	1551.09	2434.5	2255.7	2627.46	2835.7	2835.7	1369.04
TAF9	1059.11	1183.45	2485.67	1857.6	1721.16	1268.46	1909.85	854.13	1769.57	2351.53	878.17	1331.57	1143.1	1572.76	1529.73	1733.13	2502.97	1397.83
TCEAL8	1233.75	371.22	2739.08	1844.76	2178.83	1857.6	2367.9	525.39	2090.03	3124.78	256.78	1175.27	1359.57	1304.15	974.5	1819.35	2255.7	896.64
TGDS	81.14	48.18	299.25	195.72	295.11	167.9	199.85	63.0	190.34	348.71	35.5	148.09	177.53	185.11	96.01	314.17	318.57	122.64
THAP9	28.04	27.25	52.45	45.53	55.1	30.56	46.84	37.32	34.51	63.45	25.35	18.84	39.5	37.59	52.08	47.84	41.22	22.59
TIPRL	381.68	406.31	684.02	563.18	769.69	429.54	518.15	236.21	638.15	819.3	177.53	281.09	281.09	679.29	379.04	579.04	743.43	371.22
TMEM14C	2816.11	1896.65	5255.91	2645.74	3564.78	3039.3	3955.48	1175.27	4358.66	2758.13	1617.0	2485.67	2303.12	2004.85	3665.02	3103.19	5555.65	2351.53
TMEM222	1159.07	400.71	1857.6	1617.0	928.3	1233.75	988.12	403.5	954.43	1208.34	470.14	587.13	921.88	1417.35	1286.18	1529.73	1417.35	511.0
TMEM230	2104.58	1388.16	3639.7	2351.53	3874.05	2591.27	3190.46	1233.75	3303.0	4419.52	915.51	1781.89	1617.0	3081.75	2193.99	3395.89	3665.02	1331.57
TMEM251	420.68	199.85	981.29	813.63	579.04	651.58	769.69	336.79	854.13	1051.79	218.79	309.83	813.63	583.07	555.41	872.1	896.64	223.41
TMEM60	346.29	127.89	769.69	521.76	563.18	656.11	616.37	218.79	599.49	813.63	209.84	249.73	457.25	480.04	346.29	764.36	703.28	171.45
TMX1	476.71	379.04	928.3	813.63	825.0	633.73	896.64	368.65	878.17	1066.48	275.28	373.81	395.18	791.35	486.75	1175.27	981.29	264.03
TPMT	149.12	173.85	480.04	305.55	429.54	253.23	327.56	162.14	507.46	547.75	102.97	124.37	224.97	441.64	221.86	384.34	571.05	148.09
TPRKB	314.17	241.19	1081.39	595.34	947.83	438.59	738.29	251.48	698.41	775.05	178.77	414.87	269.6	703.28	480.04	878.17	1051.79	406.31
TXNDC15	1733.13	521.76	1936.53	1639.59	2335.28	1044.52	1594.73	599.49	1757.34	1674.06	316.37	748.61	1023.0	1519.15	1313.23	1794.29	1950.0	748.61
UBE2A	1233.75	1127.35	1896.65	1175.27	1685.71	1242.34	2591.27	791.35	1721.16	2032.85	1331.57	808.0	764.36	1322.37	909.17	1369.04	2061.24	866.07
UBE2E3	947.83	555.41	1745.2	1073.91	1709.26	878.17	1304.15	514.56	1651.0	1963.57	934.76	830.75	748.61	890.44	1001.93	1832.01	1745.2	583.07
USP1	341.51	122.64	638.15	435.55	629.35	297.17	612.11	186.4	607.87	934.76	226.54	239.52	307.69	511.0	297.17	642.59	511.0	228.13
UTP11L	543.96	460.44	1081.39	830.75	1066.48	669.92	785.88	444.72	866.07	974.5	669.92	432.53	348.71	1037.29	674.59	1015.93	915.51	473.41
UTP15	85.82	70.51	182.55	201.25	127.0	86.43	146.03	65.26	149.12	205.5	83.45	105.89	109.66	175.07	109.66	181.28	248.0	113.56
UTP6	525.39	486.75	995.0	848.22	848.22	486.75	738.29	490.14	665.29	1001.93	536.45	457.25	466.88	967.76	629.35	1216.75	796.86	507.46
VBP1	583.07	450.94	1417.35	1066.48	1167.14	563.18	1073.91	438.59	1044.52	1519.15	327.56	447.82	435.55	995.0	713.11	1331.57	1135.2	316.37
WDR61	764.36	629.35	1304.15	1135.2	1225.22	947.83	1081.39	583.07	1191.69	1572.76	366.09	860.08	988.12	1268.46	928.3	1447.15	1628.26	848.22
ZBTB8OS	660.68	543.96	1378.57	1119.56	928.3	1088.92	1151.06	420.68	1167.14	1096.5	392.44	860.08	769.69	995.0	981.29	1127.35	1233.75	599.49
ZCCHC9	341.51	84.63	536.45	476.71	493.56	299.25	503.95	191.67	392.44	656.11	93.35	255.0	343.89	395.18	318.57	514.56	579.04	279.14
ZKSCAN4	31.67	8.85	82.29	56.68	53.95	73.03	75.64	27.44	58.3	83.45	16.15	32.82	55.89	53.19	34.75	92.05	78.34	18.29
ZNF184	66.65	43.63	118.43	78.34	151.22	51.71	98.04	78.34	76.17	147.06	88.26	32.59	68.07	88.88	44.25	116.78	98.04	52.08
ZNF260	63.89	50.27	138.1	61.68	85.82	49.21	108.9	81.71	85.22	166.73	22.1	63.89	127.0	83.45	54.72	109.66	132.44	92.7
ZNF468	87.03	43.02	301.33	129.69	251.48	116.78	665.29	25.72	120.1	314.17	23.25	35.25	145.02	135.24	76.71	218.79	172.65	63.89
ZNF492	1.17	2.39	8.78	3.2	2.14	2.27	1.04	0.29	6.46	11.73	0.0	0.0	1.17	0.26	1.14	3.79	8.92	0.0
ZNF551	15.56	18.16	94.67	26.86	44.57	25.72	48.87	40.64	77.25	56.68	24.63	27.64	16.63	58.71	61.25	66.65	98.04	25.54
ZNF627	97.36	45.53	206.94	163.28	175.07	157.68	229.72	87.65	208.38	400.71	68.07	92.7	96.01	142.01	163.28	256.78	267.73	85.22
ZNF684	48.52	8.71	72.01	81.14	61.25	41.22	85.22	48.87	48.87	80.57	11.91	21.78	38.12	53.19	35.76	91.41	65.26	36.79
ZSCAN12	39.79	9.78	71.5	48.87	40.07	48.52	71.0	16.39	45.85	95.34	7.69	30.78	59.13	40.64	34.02	60.82	77.79	17.51
