	TCGA.B0.4700.01A.02R.1541.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.BP.4790.01A.01R.1305.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L
CEACAM21	117.6	206.94	48.18	63.45	146.03	90.14	155.5	98.73	33.06	60.82	6.06	43.02	71.5	16.51	34.26	26.28	28.45	162.14	5.96	4.98
CENPH	153.34	214.27	83.45	97.36	195.72	133.36	183.82	83.45	148.09	191.67	35.0	14.35	35.76	26.67	16.03	55.1	48.87	24.28	24.81	20.71
CMIP	1447.15	2434.5	1111.82	1167.14	1529.73	1199.98	1191.69	1417.35	1225.22	1008.9	167.9	146.03	229.72	329.84	223.41	279.14	339.14	123.5	301.33	249.73
COL5A3	693.58	206.94	217.27	85.22	183.82	205.5	376.41	429.54	223.41	351.14	31.0	76.17	262.2	49.91	150.17	143.01	123.5	105.89	99.43	43.63
COL8A1	1617.0	587.13	500.46	909.17	1936.53	1745.2	1508.65	1008.9	842.36	1225.22	5.28	73.54	7.06	5.02	13.72	123.5	19.25	13.32	74.06	8.06
DCHS2	22.92	29.7	0.66	2.58	17.38	9.78	7.34	21.63	21.63	17.9	0.0	0.0	4.24	0.37	0.39	0.35	5.63	0.0	0.36	0.41
ELMO2	713.11	529.06	412.0	490.14	563.18	603.67	748.61	624.99	366.09	503.95	189.02	264.03	232.94	176.29	258.57	332.14	228.13	249.73	167.9	187.71
FUT8	540.19	607.87	234.57	205.5	660.68	432.53	543.96	329.84	220.32	361.04	20.71	45.85	100.83	10.24	43.32	82.29	35.76	43.63	43.32	27.64
GBP4	2018.8	2090.03	934.76	1639.59	2915.45	1883.54	1745.2	995.0	629.35	1529.73	111.99	105.89	343.89	85.82	193.01	150.17	85.22	242.88	116.78	66.18
GIMAP2	718.08	1096.5	420.68	599.49	961.07	775.05	1088.92	587.13	208.38	571.05	45.85	123.5	379.04	89.51	283.05	112.77	100.83	384.34	97.36	79.45
GNG10	1697.45	1529.73	1519.15	1037.29	1781.89	1594.73	1991.0	1322.37	1295.13	1936.53	616.37	624.99	723.08	559.28	656.11	603.67	633.73	503.95	693.58	638.15
GPR19	28.24	24.99	2.94	7.4	27.05	12.55	25.54	10.08	15.8	25.35	0.0	2.03	3.23	0.0	1.43	3.47	3.03	22.43	3.0	0.0
GRAP2	88.88	204.07	69.03	91.41	150.17	126.12	175.07	67.12	17.77	67.12	5.41	7.11	37.32	13.62	46.18	20.26	47.84	21.94	4.66	93.35
GTF2A1L	24.99	3.26	15.8	8.51	48.52	46.18	28.65	21.78	10.31	39.79	1.97	7.63	2.76	3.35	3.03	2.97	0.0	0.0	2.29	1.39
GYG1	1111.82	1051.79	723.08	629.35	1277.29	1051.79	1350.18	1037.29	540.19	1023.0	164.42	361.04	287.01	283.05	277.2	325.29	255.0	228.13	312.0	153.34
HOXA1	39.79	20.11	26.28	26.47	57.49	24.28	22.59	21.32	16.51	16.51	0.96	2.73	9.13	1.87	8.19	0.57	4.74	9.78	0.0	0.65
HP	2956.17	78.34	4.13	0.0	1561.89	74.58	9344.14	129.69	19.53	120.1	1877002.62	3.671840259E7	3.174442598E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.512047268E7	2.614442391E7
IFI16	4607.24	2739.08	1259.69	2163.77	3928.15	2720.15	4358.66	3303.0	1662.49	3639.7	84.04	339.14	336.79	153.34	563.18	244.57	185.11	392.44	224.97	215.77
IFIT2	460.44	463.65	348.71	571.05	961.07	830.75	563.18	607.87	173.85	563.18	36.27	61.25	414.87	39.5	182.55	190.34	156.59	117.6	47.5	59.97
IFIT3	1250.98	1008.9	599.49	1225.22	1832.01	1487.87	1331.57	1259.69	547.75	1322.37	81.14	157.68	728.11	129.69	273.37	525.39	389.72	246.28	111.21	58.3
IL16	708.18	896.64	444.72	543.96	759.08	629.35	954.43	507.46	220.32	500.46	31.0	52.45	307.69	68.07	242.88	59.13	73.03	223.41	127.0	42.41
IL2RB	764.36	954.43	181.28	356.05	688.78	551.56	595.34	373.81	102.97	318.57	43.02	22.43	221.86	42.71	108.9	39.5	27.64	60.39	71.5	30.12
IRF2	1104.13	1119.56	624.99	780.44	1151.06	902.89	1225.22	884.29	638.15	866.07	397.93	450.94	587.13	201.25	764.36	260.38	438.59	521.76	463.65	395.18
ITGB3BP	559.28	529.06	265.87	450.94	511.0	521.76	450.94	356.05	358.54	514.56	166.73	42.41	78.34	132.44	172.65	98.73	212.78	145.02	206.94	193.01
KCTD5	435.55	470.14	334.46	314.17	420.68	412.0	480.04	339.14	379.04	414.87	271.48	287.01	199.85	265.87	246.28	260.38	209.84	289.02	293.07	129.69
KIAA1551	915.51	1259.69	733.19	728.11	1605.83	1159.07	1208.34	967.76	420.68	909.17	507.46	775.05	842.36	366.09	563.18	248.0	371.22	363.56	473.41	591.22
LCP2	1709.26	2178.83	775.05	1242.34	1757.34	1519.15	3060.45	1508.65	483.38	1059.11	48.18	265.87	603.67	186.4	507.46	295.11	172.65	476.71	201.25	169.07
LGALS3	16383.0	6607.01	2739.08	5112.16	15180.22	12415.75	11827.67	7130.55	7382.04	5954.47	111.21	316.37	460.44	246.28	595.34	2417.67	356.05	603.67	236.21	82.29
LYSMD2	791.35	802.41	674.59	500.46	624.99	599.49	665.29	624.99	483.38	947.83	366.09	460.44	305.55	226.54	412.0	316.37	217.27	185.11	379.04	217.27
LYST	253.23	320.8	191.67	208.38	297.17	202.66	325.29	194.36	124.37	165.57	94.01	185.11	123.5	123.5	139.07	77.79	111.21	101.54	153.34	145.02
MALL	1551.09	1340.84	414.87	1088.92	1936.53	1407.55	656.11	718.08	1498.22	1104.13	32.59	71.5	74.06	66.65	87.65	358.54	48.52	258.57	44.89	29.48
MAP3K7CL	1617.0	1044.52	262.2	397.93	1991.0	1119.56	1044.52	988.12	348.71	1447.15	59.13	43.32	115.16	43.94	119.26	75.11	38.4	41.81	35.0	98.73
MAX	1685.71	1883.54	1111.82	1111.82	2502.97	1883.54	1857.6	1519.15	1286.18	1594.73	426.57	447.82	607.87	356.05	660.68	480.04	463.65	493.56	438.59	387.02
MICB	146.03	169.07	88.26	120.1	187.71	144.01	190.34	149.12	67.12	122.64	6.21	11.55	34.75	7.11	16.63	19.82	22.1	57.89	6.67	5.96
MOB3A	1437.15	1023.0	819.3	967.76	1277.29	1674.06	1088.92	1073.91	1073.91	1127.35	68.07	134.3	149.12	115.97	157.68	158.79	77.79	155.5	104.42	56.68
NKAP	414.87	536.45	356.05	318.57	414.87	329.84	351.14	381.68	303.44	389.72	226.54	329.84	323.03	228.13	343.89	299.25	256.78	285.03	281.09	195.72
NMI	842.36	988.12	518.15	642.59	954.43	620.67	836.53	660.68	607.87	638.15	264.03	400.71	426.57	239.52	371.22	358.54	283.05	303.44	334.46	157.68
NREP	3716.2	2104.58	1991.0	2004.85	2895.31	2645.74	1769.57	2997.45	1498.22	3349.13	529.06	89.51	603.67	120.1	291.04	146.03	78.34	226.54	133.36	81.14
NYAP1	3.44	4.06	3.29	2.61	6.67	1.91	3.32	3.99	2.41	4.06	1.48	2.51	2.84	0.52	9.78	2.48	1.68	2.76	3.23	1.57
OASL	587.13	336.79	143.01	205.5	423.61	161.02	339.14	133.36	76.17	387.02	176.29	88.26	271.48	49.56	173.85	224.97	63.45	23.42	59.97	228.13
PGF	8598.28	2367.9	890.44	947.83	7382.04	1135.2	4152.18	7485.11	2591.27	8778.97	59.97	105.89	50.27	81.71	68.07	84.04	45.21	237.86	61.25	21.94
PLCE1	111.99	136.19	41.81	44.25	145.02	136.19	105.15	88.26	40.93	158.79	8.85	4.98	7.11	8.51	9.93	25.54	8.65	9.13	6.94	1.91
PPP2R2B	72.52	114.36	30.12	31.45	70.51	52.08	66.18	49.56	22.59	57.89	3.14	3.53	14.45	3.17	5.77	12.55	0.02	6.41	13.12	22.1
PPP2R3C	612.11	693.58	483.38	351.14	555.41	587.13	854.13	571.05	476.71	620.67	281.09	403.5	212.78	199.85	167.9	249.73	281.09	281.09	249.73	323.03
RABGAP1L	384.34	429.54	271.48	353.59	579.04	444.72	708.18	312.0	158.79	299.25	127.0	153.34	209.84	124.37	187.71	249.73	180.02	101.54	124.37	206.94
RAD51B	195.72	199.85	138.1	122.64	159.9	226.54	185.11	123.5	116.78	191.67	53.57	32.36	133.36	15.0	64.8	60.82	43.32	32.36	27.05	40.36
RNF24	275.28	180.02	186.4	201.25	251.48	283.05	162.14	234.57	132.44	246.28	10.96	21.78	23.25	12.27	22.1	18.29	13.52	13.52	8.92	17.13
RP11-47I22.3	34.26	9.85	21.78	8.65	31.22	12.74	24.99	24.81	4.54	18.43	10.79	2.71	1.89	0.0	3.92	5.5	0.0	3.38	0.99	1.51
SAE1	1477.58	1359.57	1183.45	764.36	1519.15	1151.06	1519.15	1175.27	1467.37	1268.46	447.82	525.39	708.18	703.28	595.34	981.29	915.51	647.07	802.41	612.11
SCFD1	1322.37	995.0	1088.92	813.63	1350.18	796.86	1167.14	1167.14	872.1	1286.18	733.19	947.83	583.07	802.41	555.41	656.11	603.67	703.28	854.13	547.75
SETBP1	157.68	159.9	90.77	134.3	142.01	202.66	157.68	139.07	123.5	114.36	23.42	85.22	24.63	27.44	44.25	45.85	37.85	41.81	32.13	90.77
SH2D4B	8.71	2.01	2.27	1.1	7.0	0.39	3.29	3.59	0.68	2.81	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0
SH3KBP1	819.3	785.88	454.09	813.63	1015.93	728.11	1059.11	759.08	305.55	743.43	108.9	262.2	325.29	123.5	329.84	325.29	297.17	262.2	242.88	114.36
SP110	884.29	1519.15	493.56	759.08	1001.93	633.73	1044.52	571.05	409.15	775.05	121.79	217.27	295.11	146.03	412.0	251.48	195.72	145.02	172.65	88.26
ST8SIA1	194.36	187.71	70.01	65.72	164.42	100.83	140.04	94.01	16.75	88.26	0.0	1.28	14.56	0.0	11.91	0.74	0.0	8.45	9.63	3.14
TINF2	1350.18	1259.69	1023.0	743.43	1340.84	1242.34	1407.55	1044.52	1073.91	1199.98	444.72	555.41	651.58	603.67	642.59	738.29	753.83	483.38	684.02	819.3
TMEM91	6840.04	3190.46	733.19	1709.26	4239.45	1457.23	2047.0	6561.36	2468.49	3901.01	80.01	18.29	85.22	31.67	260.38	135.24	66.65	120.94	82.87	127.89
TNFAIP8	1340.84	1096.5	780.44	921.88	2133.97	1378.57	1295.13	1001.93	599.49	928.3	25.17	36.53	175.07	148.09	154.42	67.59	64.8	120.1	49.91	91.41
TOX2	444.72	258.57	204.07	221.86	269.6	309.83	283.05	197.09	137.14	358.54	28.86	94.67	82.29	119.26	49.91	106.63	153.34	336.79	175.07	105.89
TRIM21	1096.5	1059.11	665.29	967.76	1111.82	633.73	743.43	647.07	703.28	785.88	258.57	329.84	551.56	260.38	353.59	748.61	366.09	387.02	164.42	147.06
TSPAN2	791.35	314.17	85.82	146.03	733.19	212.78	291.04	180.02	57.89	190.34	2.56	9.85	38.4	0.88	10.79	3.23	4.9	15.22	4.06	2.32
UBE2V1	3665.02	3060.45	1844.76	2104.58	2796.65	2384.37	2835.7	2835.7	2319.15	2739.08	1397.83	1794.29	1991.0	1769.57	1529.73	1896.65	1388.16	1883.54	1883.54	1259.69
UBLCP1	466.88	441.64	409.15	420.68	679.29	536.45	603.67	379.04	307.69	559.28	198.47	303.44	173.85	260.38	157.68	265.87	151.22	224.97	273.37	93.35
VRK1	193.01	279.14	129.69	115.16	237.86	157.68	229.72	153.34	158.79	205.5	67.59	84.63	85.82	111.21	52.08	136.19	109.66	74.58	69.03	44.25
WIPF1	1417.35	2178.83	1081.39	1199.98	2240.11	1561.89	2573.36	1225.22	759.08	1250.98	32.59	127.89	176.29	119.26	234.57	110.43	64.34	211.31	65.72	171.45
ZNF350	332.14	334.46	237.86	246.28	279.14	262.2	220.32	269.6	158.79	339.14	72.52	120.1	124.37	29.06	90.14	53.95	56.28	58.71	55.1	65.72
ZNF394	387.02	518.15	353.59	327.56	406.31	454.09	358.54	409.15	325.29	400.71	305.55	285.03	175.07	205.5	214.27	246.28	236.21	171.45	201.25	218.79
ZNF432	295.11	205.5	178.77	199.85	208.38	211.31	112.77	193.01	150.17	231.32	28.45	44.89	44.89	66.18	11.38	24.63	11.91	25.91	45.85	18.43
ZNF85	152.28	158.79	105.89	108.9	224.97	189.02	140.04	115.16	81.71	161.02	4.94	4.39	7.4	1.57	38.12	16.88	0.52	18.56	8.32	1.77
