	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.11P81.1926.SM.5BC53	GTEX.ZAJG.0626.SM.5HL8X	GTEX.U3ZN.1926.SM.4DXSG	GTEX.11EMC.2026.SM.5A5JV	GTEX.13NZ8.0126.SM.5IJCT	TCGA.B0.5698.01A.11R.1672.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.CJ.4641.01A.02R.1325.07	TCGA.CW.5584.01A.01R.1541.07	TCGA.CJ.5680.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.AK.3450.01A.02R.1277.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14753.1626.SM.5NQ9L
APOD	450134.56	932018.1	783730.52	561916.97	602247.76	338781.54	34396.12	25887.07	539026.74	602247.76	132900.7	696613.03	88291.3	881742.8	851707.37	24.99	281.09	183.82	353.59	211.31	205.5	27.64	271.48	947.83	57.49	109.66	127.89	249.73	11.91	25.54	40.07	50.27
ARID4B	289.02	403.5	217.27	493.56	518.15	591.22	769.69	785.88	518.15	567.1	563.18	536.45	454.09	441.64	423.61	285.03	246.28	339.14	397.93	239.52	285.03	323.03	320.8	334.46	162.14	232.94	167.9	163.28	212.78	20.86	45.85	57.89
ARIH2	1030.12	633.73	878.17	802.41	599.49	1175.27	1477.58	1175.27	1313.23	1127.35	981.29	1350.18	1023.0	3018.3	921.88	514.56	483.38	656.11	743.43	555.41	480.04	748.61	414.87	878.17	441.64	325.29	624.99	476.71	387.02	366.09	642.59	403.5
ASXL1	224.97	320.8	373.81	379.04	603.67	616.37	1030.12	1001.93	791.35	463.65	884.29	1088.92	890.44	860.08	941.27	587.13	351.14	638.15	559.28	476.71	470.14	521.76	420.68	954.43	403.5	384.34	348.71	318.57	334.46	170.25	221.86	151.22
B3GAT2	1.16	2.61	2.07	3.11	3.56	14.56	10.96	14.78	11.55	7.11	11.13	8.06	6.31	13.93	13.32	3.29	3.32	4.35	7.34	1.07	2.78	4.17	3.72	11.04	2.48	2.61	1.14	1.5	2.14	1.75	0.61	0.65
C10orf137	283.05	187.71	267.73	171.45	199.85	387.02	470.14	521.76	389.72	316.37	507.46	329.84	441.64	371.22	218.79	128.79	132.44	253.23	246.28	148.09	131.51	234.57	137.14	264.03	120.1	94.01	108.14	87.65	103.69	31.0	89.51	21.32
C12orf76	279.14	122.64	255.0	124.37	127.0	283.05	371.22	351.14	246.28	277.2	395.18	277.2	444.72	279.14	301.33	167.9	262.2	351.14	341.51	237.86	307.69	289.02	201.25	295.11	217.27	215.77	301.33	198.47	212.78	109.66	140.04	135.24
C17orf85	341.51	384.34	279.14	583.07	387.02	616.37	753.83	713.11	674.59	665.29	748.61	703.28	848.22	703.28	693.58	351.14	457.25	463.65	463.65	289.02	255.0	341.51	353.59	543.96	348.71	265.87	236.21	291.04	392.44	134.3	106.63	54.33
C1orf112	79.45	161.02	80.01	246.28	170.25	110.43	133.36	137.14	120.94	106.63	117.6	103.69	135.24	155.5	63.45	42.71	35.5	59.97	79.45	48.18	39.5	63.89	66.18	74.58	38.67	45.85	44.57	26.86	47.5	20.11	73.54	39.79
CACNB1	41.81	191.67	36.01	16.63	89.51	212.78	115.16	158.79	204.07	98.04	50.98	161.02	137.14	392.44	70.01	10.39	24.81	88.88	82.29	31.22	39.5	100.13	34.26	101.54	22.59	40.64	14.24	17.0	25.17	6.94	3.14	4.5
CBLB	305.55	633.73	267.73	414.87	218.79	343.89	412.0	454.09	351.14	305.55	366.09	665.29	299.25	329.84	559.28	241.19	303.44	314.17	341.51	241.19	162.14	273.37	198.47	563.18	165.57	373.81	214.27	143.01	183.82	62.56	68.55	167.9
CCDC14	199.85	441.64	307.69	194.36	417.77	785.88	733.19	928.3	599.49	466.88	928.3	928.3	981.29	1104.13	575.03	185.11	191.67	368.65	555.41	148.09	265.87	325.29	267.73	708.18	244.57	134.3	130.6	118.43	158.79	48.52	78.34	59.55
CCDC171	19.82	55.1	41.52	45.21	72.52	80.57	88.26	81.71	77.25	79.45	92.7	62.56	94.01	115.16	64.34	16.03	22.26	25.35	44.25	15.68	16.75	25.72	23.42	51.71	24.28	26.67	16.27	17.9	18.84	2.53	9.48	7.46
CCDC174	248.0	536.45	260.38	334.46	463.65	336.79	486.75	525.39	392.44	291.04	426.57	403.5	591.22	518.15	473.41	171.45	190.34	239.52	249.73	169.07	209.84	358.54	159.9	389.72	177.53	234.57	157.68	206.94	194.36	104.42	102.25	128.79
CCDC36	15.56	13.72	5.23	9.27	3.35	14.35	48.52	29.48	53.57	7.94	82.87	7.69	50.98	29.27	35.25	0.74	2.92	11.38	17.13	2.07	3.41	15.11	4.98	16.27	5.87	5.11	3.66	6.84	1.75	0.0	0.75	0.0
CCDC66	136.19	94.01	113.56	142.01	139.07	381.68	555.41	521.76	368.65	327.56	460.44	325.29	397.93	417.77	403.5	77.79	76.71	145.02	204.07	41.52	100.83	137.14	63.0	204.07	51.71	68.55	43.32	56.28	56.28	9.48	35.25	12.55
CCDC7	20.41	48.87	32.13	26.67	36.53	48.87	37.85	40.07	39.5	35.76	39.5	68.07	49.56	92.7	37.85	21.47	30.78	38.4	24.46	23.25	26.1	24.81	21.94	44.57	12.45	20.86	11.38	12.64	18.7	4.31	14.89	7.28
CCNT2	199.85	400.71	195.72	309.83	351.14	371.22	571.05	579.04	412.0	301.33	483.38	368.65	460.44	463.65	389.72	258.57	171.45	289.02	295.11	150.17	186.4	232.94	271.48	389.72	154.42	133.36	133.36	108.14	150.17	24.63	47.84	53.95
CENPJ	76.71	80.57	85.82	212.78	154.42	129.69	194.36	215.77	147.06	100.13	178.77	111.21	285.03	260.38	172.65	36.53	40.64	62.12	84.63	36.01	44.89	81.71	37.59	82.29	46.18	32.82	31.67	25.17	30.78	13.62	36.79	6.78
CEP170	312.0	595.34	256.78	426.57	316.37	426.57	543.96	507.46	307.69	379.04	620.67	341.51	507.46	264.03	543.96	373.81	356.05	361.04	518.15	379.04	432.53	514.56	373.81	547.75	277.2	334.46	239.52	221.86	234.57	48.52	74.06	44.89
CEP63	379.04	753.83	389.72	356.05	483.38	511.0	656.11	595.34	748.61	540.19	785.88	476.71	540.19	612.11	518.15	277.2	392.44	441.64	429.54	275.28	384.34	432.53	334.46	414.87	239.52	371.22	358.54	339.14	332.14	88.88	325.29	232.94
CEP78	131.51	327.56	69.52	169.07	152.28	185.11	232.94	267.73	173.85	193.01	271.48	201.25	234.57	336.79	177.53	63.89	75.11	112.77	111.99	62.56	44.89	76.71	68.55	127.89	82.29	63.45	72.52	61.68	55.49	29.91	146.03	59.13
CEP95	297.17	343.89	389.72	332.14	447.82	802.41	928.3	1216.75	884.29	543.96	854.13	733.19	848.22	819.3	543.96	309.83	301.33	591.22	514.56	197.09	329.84	493.56	320.8	624.99	316.37	202.66	158.79	248.0	305.55	42.11	103.69	97.36
CHD3	902.89	633.73	1135.2	1350.18	1066.48	1594.73	1331.57	1572.76	1268.46	1313.23	1119.56	1331.57	1572.76	1721.16	1242.34	258.57	441.64	587.13	890.44	403.5	381.68	813.63	575.03	1127.35	463.65	518.15	490.14	429.54	414.87	157.68	48.18	16.27
CLK4	301.33	281.09	279.14	256.78	267.73	607.87	896.64	878.17	674.59	332.14	896.64	480.04	909.17	486.75	318.57	536.45	426.57	1044.52	651.58	236.21	348.71	603.67	269.6	819.3	279.14	441.64	171.45	109.66	295.11	40.64	81.71	85.22
CNTRL	62.12	148.09	85.82	111.99	178.77	275.28	336.79	363.56	249.73	218.79	403.5	273.37	332.14	289.02	255.0	78.34	91.41	156.59	236.21	78.34	52.45	142.01	52.45	123.5	71.0	108.9	44.89	55.1	98.73	14.45	20.56	26.67
COG3	353.59	325.29	358.54	688.78	412.0	486.75	532.74	532.74	460.44	414.87	466.88	323.03	426.57	457.25	358.54	183.82	228.13	273.37	303.44	228.13	258.57	264.03	297.17	297.17	209.84	190.34	167.9	204.07	214.27	231.32	660.68	187.71
COL24A1	28.45	5.77	11.82	19.39	85.22	10.0	4.82	7.69	7.57	8.65	14.35	1.79	7.17	18.16	11.64	0.38	2.92	5.28	5.19	2.07	1.71	0.39	1.35	30.78	1.06	1.48	0.39	2.92	1.06	0.0	0.23	0.0
DAPK2	20.56	81.14	58.3	21.16	39.79	279.14	366.09	269.6	403.5	221.86	511.0	249.73	511.0	309.83	249.73	26.28	39.22	52.45	72.01	37.05	31.22	62.56	31.67	323.03	47.5	85.82	26.47	50.27	33.54	31.67	54.72	25.17
DBF4B	64.34	69.03	41.81	66.65	115.97	92.05	115.97	135.24	92.05	100.13	154.42	138.1	158.79	267.73	83.45	40.93	40.93	63.45	96.01	50.63	53.57	65.26	52.82	123.5	38.67	46.5	37.59	28.86	95.34	12.18	20.41	10.16
DHX35	131.51	226.54	155.5	262.2	253.23	220.32	221.86	214.27	170.25	123.5	166.73	209.84	269.6	281.09	269.6	72.52	119.26	172.65	144.01	122.64	133.36	116.78	128.79	198.47	126.12	101.54	102.25	75.11	144.01	99.43	75.11	77.25
DNASE1	275.28	273.37	334.46	314.17	928.3	197.09	258.57	256.78	199.85	201.25	277.2	214.27	511.0	409.15	279.14	73.03	73.54	185.11	190.34	54.72	89.51	162.14	63.45	191.67	97.36	60.82	28.04	31.9	70.51	28.86	17.64	30.78
DOCK5	145.02	155.5	291.04	414.87	110.43	161.02	182.55	211.31	136.19	152.28	170.25	130.6	229.72	275.28	242.88	131.51	98.04	98.04	152.28	118.43	78.89	148.09	88.26	194.36	89.51	86.43	82.87	68.07	80.57	58.3	46.84	75.64
DRAXIN	8.51	7.51	8.92	2.68	3.08	6.67	3.08	4.78	2.05	8.65	4.58	1.97	2.86	9.48	0.36	0.36	1.79	1.62	2.71	0.34	0.34	2.18	0.33	1.79	0.68	0.37	1.08	1.43	0.68	0.49	0.0	0.0
EBLN2	7.0	5.45	12.09	9.41	12.09	36.01	63.0	51.71	32.82	21.32	26.28	40.93	27.25	43.63	36.27	12.36	5.15	12.64	13.22	1.77	4.13	13.52	8.45	23.42	6.62	2.25	3.0	3.69	2.48	1.39	0.39	4.28
EPM2AIP1	86.43	199.85	154.42	108.9	180.02	297.17	368.65	476.71	291.04	273.37	392.44	397.93	379.04	353.59	287.01	111.99	143.01	129.69	157.68	78.89	83.45	180.02	131.51	180.02	108.14	81.71	105.15	101.54	86.43	56.28	91.41	75.64
ESCO1	215.77	248.0	121.79	343.89	151.22	267.73	291.04	281.09	228.13	221.86	265.87	124.37	241.19	193.01	301.33	145.02	120.94	198.47	173.85	114.36	136.19	149.12	116.78	162.14	110.43	102.97	65.72	91.41	141.02	17.64	47.5	39.79
EXOSC10	808.0	660.68	1295.13	603.67	941.27	1242.34	1388.16	1487.87	1199.98	1250.98	1127.35	1685.71	1208.34	1628.26	1167.14	616.37	723.08	830.75	764.36	607.87	674.59	947.83	660.68	981.29	624.99	540.19	595.34	612.11	555.41	400.71	426.57	255.0
FAM178A	187.71	180.02	157.68	180.02	153.34	249.73	373.81	373.81	236.21	209.84	358.54	215.77	373.81	295.11	194.36	169.07	155.5	248.0	242.88	163.28	181.28	251.48	175.07	267.73	111.99	134.3	121.79	114.36	147.06	36.27	40.93	12.55
FANCL	191.67	312.0	217.27	212.78	303.44	500.46	521.76	595.34	423.61	389.72	638.15	457.25	638.15	532.74	432.53	269.6	256.78	400.71	366.09	172.65	320.8	368.65	234.57	503.95	273.37	289.02	236.21	260.38	220.32	104.42	229.72	162.14
FBXW7	152.28	559.28	142.01	234.57	232.94	518.15	547.75	529.06	463.65	368.65	764.36	633.73	603.67	780.44	607.87	248.0	202.66	229.72	265.87	147.06	120.1	244.57	186.4	305.55	157.68	138.1	185.11	157.68	154.42	56.68	75.11	75.64
FLJ00104	19.11	8.06	11.13	26.47	14.56	45.85	52.45	53.57	45.53	22.43	62.12	35.0	69.03	78.34	27.05	17.77	14.67	28.86	46.5	17.0	23.76	55.49	12.45	44.57	11.55	15.91	22.26	11.38	17.64	5.92	2.32	2.76
FMNL2	141.02	312.0	202.66	441.64	96.01	432.53	629.35	555.41	500.46	281.09	921.88	351.14	872.1	153.34	780.44	463.65	414.87	595.34	583.07	281.09	397.93	679.29	669.92	759.08	409.15	269.6	241.19	283.05	363.56	24.11	52.82	6.62
FP15737	76.71	35.76	195.72	146.03	16.15	470.14	371.22	239.52	423.61	153.34	371.22	1066.48	392.44	371.22	497.0	63.0	98.73	74.06	88.88	46.18	28.86	117.6	72.01	148.09	92.7	27.44	33.3	39.79	18.56	70.01	31.9	53.57
GORAB	148.09	190.34	156.59	169.07	215.77	198.47	271.48	279.14	236.21	220.32	185.11	228.13	325.29	215.77	189.02	95.34	108.9	152.28	223.41	92.05	118.43	148.09	214.27	173.85	120.94	111.21	92.05	87.03	86.43	25.35	115.97	22.75
GPCPD1	532.74	72.01	571.05	896.64	157.68	616.37	532.74	518.15	607.87	536.45	1030.12	583.07	497.0	738.29	728.11	260.38	169.07	323.03	303.44	231.32	143.01	336.79	221.86	457.25	193.01	169.07	198.47	124.37	161.02	60.82	38.12	242.88
GPM6B	109.66	28.24	88.26	185.11	63.89	460.44	470.14	1529.73	435.55	460.44	599.49	381.68	316.37	780.44	395.18	10.96	29.27	33.54	45.53	12.55	21.32	37.05	15.11	24.99	14.56	16.88	17.0	16.39	24.81	2.1	1.64	4.39
GSE1	995.0	660.68	660.68	915.51	1119.56	866.07	890.44	764.36	1081.39	819.3	693.58	460.44	698.41	2537.92	872.1	336.79	285.03	346.29	423.61	248.0	193.01	490.14	223.41	466.88	277.2	212.78	218.79	214.27	224.97	144.01	127.0	62.56
H2AFB2	1.36	2.78	6.06	1.11	1.36	7.46	1.91	0.78	0.77	0.39	2.46	1.93	3.29	3.47	5.45	0.0	0.0	3.63	2.43	2.41	2.73	1.87	0.0	10.55	0.71	1.85	0.0	0.0	0.0	0.0	0.39	0.0
HAUS3	193.01	220.32	141.02	122.64	202.66	215.77	368.65	273.37	199.85	194.36	332.14	190.34	273.37	212.78	158.79	99.43	115.16	167.9	186.4	112.77	131.51	165.57	108.9	170.25	94.67	99.43	92.05	68.07	102.97	20.26	82.87	48.87
HINFP	291.04	164.42	293.07	293.07	170.25	429.54	500.46	483.38	353.59	299.25	444.72	497.0	599.49	400.71	387.02	221.86	271.48	435.55	329.84	307.69	289.02	438.59	264.03	486.75	289.02	312.0	217.27	197.09	301.33	102.25	57.49	66.65
INTS8	463.65	988.12	412.0	1369.04	1467.37	543.96	660.68	698.41	536.45	470.14	921.88	669.92	1111.82	808.0	780.44	503.95	409.15	514.56	624.99	351.14	412.0	417.77	480.04	753.83	221.86	368.65	273.37	223.41	277.2	98.73	172.65	96.01
IP6K2	2193.99	842.36	2627.46	836.53	1674.06	2720.15	2520.38	2835.7	2178.83	2555.58	2485.67	2335.28	2895.31	3081.75	2777.33	698.41	802.41	1088.92	1268.46	633.73	679.29	1277.29	802.41	1561.89	872.1	947.83	656.11	878.17	651.58	567.1	332.14	457.25
KCNT1	2.18	0.46	3.23	0.0	1.5	6.94	2.46	4.78	1.66	1.23	6.06	2.32	7.11	1.71	12.55	0.0	1.48	1.35	1.41	2.1	0.71	1.14	0.36	6.21	0.72	0.0	1.5	1.11	0.0	0.0	0.0	0.0
KHNYN	497.0	1286.18	287.01	376.41	1151.06	656.11	1044.52	947.83	674.59	555.41	1023.0	1059.11	921.88	830.75	447.82	441.64	426.57	599.49	414.87	309.83	329.84	438.59	260.38	620.67	438.59	228.13	348.71	277.2	346.29	156.59	100.13	49.91
KIAA1731	130.6	170.25	124.37	244.57	123.5	226.54	258.57	279.14	214.27	180.02	249.73	223.41	237.86	173.85	181.28	60.39	83.45	163.28	193.01	76.17	116.78	144.01	76.17	141.02	109.66	91.41	41.81	58.71	108.9	5.02	29.91	16.63
KLHL3	18.29	11.73	16.88	23.76	27.44	71.0	167.9	122.64	78.34	26.28	149.12	56.28	171.45	66.65	40.36	6.89	24.63	29.91	47.84	13.42	9.56	22.1	16.63	65.26	15.22	16.03	21.94	13.03	8.71	4.24	17.13	6.41
L3MBTL3	99.43	27.25	93.35	38.12	44.25	96.68	164.42	150.17	129.69	70.51	193.01	99.43	167.9	647.07	155.5	53.19	85.22	107.38	124.37	80.01	62.56	82.87	68.07	226.54	79.45	78.89	80.01	67.59	80.57	23.42	33.06	26.28
LRIG2	67.59	166.73	64.8	73.03	102.25	173.85	212.78	246.28	157.68	108.14	127.89	138.1	137.14	223.41	144.01	102.25	62.56	97.36	88.88	71.5	73.03	84.63	64.8	116.78	66.65	40.93	47.84	54.72	53.95	13.22	13.72	21.01
MAP3K4	176.29	112.77	187.71	211.31	205.5	470.14	555.41	547.75	483.38	379.04	647.07	316.37	698.41	543.96	395.18	205.5	217.27	289.02	251.48	139.07	153.34	289.02	194.36	287.01	205.5	190.34	177.53	189.02	199.85	96.68	122.64	127.0
MCM9	111.99	187.71	118.43	295.11	143.01	387.02	343.89	366.09	312.0	283.05	314.17	251.48	325.29	395.18	206.94	102.25	121.79	201.25	217.27	85.82	84.04	159.9	141.02	193.01	137.14	128.79	120.1	78.89	124.37	36.79	47.84	33.54
MED23	232.94	275.28	417.77	567.1	460.44	480.04	591.22	563.18	454.09	438.59	595.34	366.09	547.75	532.74	536.45	226.54	253.23	346.29	353.59	194.36	191.67	332.14	241.19	384.34	236.21	180.02	226.54	151.22	253.23	74.06	68.07	32.13
MIA	327.56	0.0	195.72	12.64	44.57	3060.45	579.04	2351.53	902.89	3280.18	1183.45	1628.26	1781.89	5403.7	1159.07	0.0	0.0	11.04	12.0	2.14	2.12	11.73	3.44	11.91	4.98	4.13	0.0	1.14	4.28	0.0	0.16	0.18
MIS18BP1	137.14	206.94	187.71	258.57	228.13	279.14	575.03	400.71	269.6	202.66	567.1	320.8	323.03	273.37	341.51	120.1	113.56	158.79	228.13	141.02	104.42	218.79	108.14	258.57	107.38	100.83	100.13	84.63	88.26	16.27	57.08	17.25
MLH3	273.37	159.9	220.32	253.23	320.8	320.8	395.18	529.06	356.05	346.29	358.54	403.5	417.77	320.8	417.77	389.72	332.14	387.02	309.83	194.36	255.0	208.38	299.25	571.05	264.03	255.0	220.32	201.25	312.0	53.57	129.69	88.88
MSL3	651.58	368.65	543.96	599.49	273.37	503.95	633.73	595.34	476.71	409.15	679.29	642.59	808.0	603.67	470.14	358.54	336.79	500.46	624.99	358.54	267.73	466.88	218.79	703.28	264.03	314.17	417.77	269.6	244.57	114.36	151.22	98.04
MUM1	500.46	320.8	438.59	361.04	587.13	642.59	842.36	825.0	723.08	514.56	836.53	563.18	1037.29	1151.06	525.39	447.82	518.15	555.41	521.76	483.38	242.88	551.56	275.28	825.0	353.59	221.86	450.94	450.94	237.86	371.22	258.57	267.73
NAPG	500.46	551.56	191.67	483.38	273.37	441.64	476.71	429.54	444.72	466.88	476.71	148.09	435.55	500.46	371.22	291.04	307.69	291.04	314.17	279.14	237.86	303.44	256.78	444.72	201.25	177.53	301.33	197.09	253.23	130.6	229.72	105.89
NBPF10	575.03	348.71	559.28	444.72	591.22	571.05	921.88	974.5	612.11	583.07	1259.69	466.88	1066.48	748.61	500.46	283.05	232.94	239.52	320.8	193.01	229.72	363.56	226.54	493.56	264.03	83.45	108.14	143.01	217.27	80.57	99.43	91.41
NBPF11	343.89	228.13	307.69	420.68	571.05	473.41	624.99	775.05	486.75	358.54	878.17	536.45	830.75	603.67	457.25	139.07	191.67	237.86	348.71	151.22	255.0	334.46	267.73	497.0	153.34	105.15	90.14	121.79	199.85	125.24	71.0	136.19
NBPF12	92.05	102.97	61.68	95.34	156.59	232.94	201.25	329.84	228.13	100.13	281.09	150.17	183.82	152.28	80.57	51.71	43.94	139.07	118.43	31.45	95.34	84.63	105.89	117.6	59.55	21.01	17.77	29.7	71.5	43.02	59.55	66.18
NBPF20	29.91	56.68	31.9	55.89	123.5	51.71	86.43	107.38	68.55	37.59	103.69	63.0	137.14	84.04	103.69	15.91	20.11	44.25	39.5	26.47	21.16	59.55	32.36	70.01	12.18	11.82	16.63	7.69	29.7	5.59	4.86	10.55
NBPF9	406.31	163.28	444.72	309.83	575.03	379.04	575.03	620.67	417.77	400.71	583.07	387.02	884.29	441.64	563.18	314.17	320.8	323.03	525.39	239.52	293.07	454.09	486.75	607.87	291.04	251.48	135.24	137.14	323.03	220.32	108.14	189.02
NDST2	389.72	665.29	343.89	420.68	215.77	384.34	473.41	483.38	438.59	320.8	432.53	642.59	518.15	486.75	361.04	198.47	223.41	368.65	373.81	325.29	314.17	348.71	198.47	414.87	194.36	208.38	232.94	180.02	195.72	131.51	85.22	51.71
NEK3	138.1	75.64	204.07	142.01	361.04	363.56	351.14	264.03	242.88	234.57	325.29	264.03	473.41	258.57	148.09	119.26	159.9	318.57	201.25	220.32	135.24	228.13	205.5	348.71	194.36	120.1	143.01	146.03	142.01	68.07	56.28	121.79
NISCH	669.92	279.14	753.83	503.95	638.15	1508.65	1594.73	2018.8	1572.76	1167.14	1561.89	1437.15	2209.26	2148.82	1583.71	353.59	361.04	679.29	703.28	435.55	543.96	896.64	403.5	890.44	323.03	366.09	341.51	320.8	392.44	454.09	217.27	220.32
NKTR	228.13	224.97	400.71	473.41	521.76	921.88	1651.0	1561.89	1044.52	551.56	974.5	738.29	1159.07	1143.1	1143.1	186.4	150.17	368.65	460.44	102.25	150.17	500.46	197.09	599.49	132.44	104.42	92.05	82.29	126.12	21.63	37.59	32.36
NPHP3	101.54	144.01	119.26	140.04	88.88	366.09	543.96	819.3	460.44	256.78	738.29	346.29	693.58	500.46	343.89	120.94	115.16	295.11	275.28	157.68	76.71	249.73	157.68	353.59	118.43	80.01	94.67	87.65	88.88	21.78	28.24	27.05
PAN3	256.78	397.93	231.32	490.14	890.44	607.87	819.3	759.08	511.0	500.46	718.08	414.87	579.04	575.03	518.15	260.38	208.38	432.53	387.02	244.57	295.11	343.89	217.27	409.15	237.86	231.32	201.25	149.12	181.28	29.27	33.54	59.13
PAWR	518.15	1697.45	563.18	332.14	476.71	791.35	1030.12	1151.06	629.35	759.08	647.07	656.11	493.56	928.3	607.87	218.79	242.88	397.93	301.33	279.14	341.51	389.72	299.25	514.56	231.32	444.72	244.57	163.28	373.81	194.36	251.48	341.51
PGBD3	24.81	92.7	46.84	34.75	31.45	34.75	51.71	45.21	34.51	31.0	53.19	48.52	69.03	68.55	34.75	20.41	34.02	35.0	48.52	28.65	28.65	27.64	28.86	50.98	18.16	42.11	37.59	25.17	22.43	21.94	22.59	12.93
PHF11	698.41	406.31	854.13	1191.69	1088.92	981.29	1313.23	1216.75	934.76	909.17	1340.84	1268.46	1757.34	1870.53	1369.04	728.11	890.44	890.44	1250.98	470.14	954.43	1081.39	941.27	1322.37	642.59	1088.92	660.68	848.22	599.49	271.48	293.07	161.02
