	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.A7.A26H.01A.11R.A169.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
CAPZA1	2193.99	2758.13	2032.85	2351.53	2855.44	1721.16	1733.13	2627.46	1745.2	3190.46	684.02	1216.75	954.43	1081.39	1191.69	896.64	733.19	915.51	1427.22	1250.98	928.3	954.43	1015.93	684.02	988.12	808.0	1135.2	947.83	769.69	866.07	1051.79	842.36	1073.91	995.0	1044.52	1594.73	808.0	1259.69	743.43	909.17	1030.12	1191.69	1111.82	915.51	808.0	1111.82	1143.1	1487.87	1233.75	1073.91	1709.26	961.07	1096.5	1167.14	848.22	947.83	808.0	866.07
CLTC	4575.41	7130.55	4388.98	3716.2	4736.79	3190.46	4802.93	3443.31	3665.02	14663.09	1923.14	2855.44	2255.7	3280.18	3168.41	1870.53	2591.27	2537.92	1977.24	3443.31	2061.24	2400.97	3491.39	2537.92	3491.39	2468.49	2835.7	3235.01	1819.35	1870.53	1844.76	1977.24	2720.15	2591.27	2956.17	3081.75	1923.14	4010.71	2104.58	2835.7	2739.08	3443.31	3716.2	3564.78	2224.63	2520.38	2384.37	3564.78	3874.05	3372.43	3564.78	3081.75	2520.38	2645.74	1832.01	2319.15	2645.74	2816.11
COPB1	6516.03	3639.7	3018.3	2240.11	3372.43	2915.45	2720.15	2287.2	3081.75	3982.99	1073.91	1709.26	1242.34	1745.2	1806.78	1216.75	1628.26	1662.49	1268.46	2591.27	1135.2	1617.0	2104.58	1674.06	2193.99	1457.23	1721.16	1781.89	1037.29	1191.69	1183.45	1304.15	1594.73	1277.29	1857.6	2148.82	1313.23	2777.33	1369.04	1674.06	1295.13	2004.85	1781.89	2061.24	1447.15	1651.0	1519.15	2555.58	1794.29	1651.0	2367.9	1721.16	1519.15	1427.22	1167.14	1183.45	1709.26	1417.35
CTR9	921.88	791.35	1081.39	769.69	836.53	808.0	708.18	780.44	915.51	808.0	438.59	603.67	301.33	567.1	555.41	406.31	497.0	447.82	320.8	708.18	438.59	507.46	616.37	559.28	616.37	500.46	616.37	647.07	460.44	518.15	336.79	426.57	612.11	483.38	567.1	785.88	363.56	947.83	447.82	591.22	438.59	647.07	412.0	688.78	543.96	567.1	493.56	708.18	476.71	583.07	616.37	583.07	486.75	406.31	384.34	470.14	563.18	532.74
DARS2	486.75	708.18	551.56	551.56	603.67	447.82	612.11	909.17	665.29	748.61	87.03	150.17	115.97	198.47	229.72	120.1	142.01	111.99	141.02	285.03	130.6	177.53	228.13	241.19	303.44	109.66	215.77	226.54	100.13	127.0	97.36	115.16	178.77	122.64	198.47	175.07	87.03	307.69	108.9	198.47	146.03	264.03	217.27	262.2	182.55	204.07	125.24	229.72	190.34	224.97	229.72	251.48	138.1	119.26	117.6	90.77	114.36	127.89
DCAF13	860.08	872.1	981.29	718.08	674.59	791.35	748.61	1088.92	1242.34	1508.65	255.0	356.05	273.37	476.71	400.71	262.2	376.41	395.18	246.28	463.65	277.2	309.83	463.65	426.57	571.05	353.59	403.5	423.61	258.57	332.14	249.73	283.05	334.46	327.56	507.46	493.56	318.57	567.1	327.56	397.93	334.46	457.25	420.68	607.87	323.03	435.55	363.56	599.49	412.0	348.71	540.19	483.38	351.14	269.6	368.65	293.07	358.54	397.93
DDX52	332.14	353.59	414.87	363.56	384.34	260.38	301.33	457.25	323.03	460.44	124.37	172.65	117.6	215.77	201.25	115.16	121.79	150.17	130.6	329.84	129.69	144.01	204.07	239.52	152.28	154.42	175.07	248.0	115.16	149.12	96.68	127.89	163.28	132.44	214.27	249.73	133.36	267.73	140.04	208.38	169.07	232.94	193.01	217.27	181.28	231.32	165.57	249.73	209.84	178.77	248.0	220.32	162.14	140.04	163.28	155.5	129.69	177.53
EEF1E1	679.29	599.49	825.0	525.39	493.56	438.59	647.07	728.11	802.41	466.88	327.56	444.72	339.14	412.0	361.04	305.55	429.54	438.59	199.85	397.93	409.15	256.78	536.45	320.8	429.54	376.41	376.41	432.53	265.87	303.44	255.0	316.37	343.89	423.61	476.71	529.06	341.51	540.19	341.51	376.41	325.29	507.46	507.46	493.56	334.46	409.15	397.93	470.14	447.82	414.87	392.44	371.22	316.37	363.56	470.14	346.29	466.88	438.59
FAF2	775.05	743.43	738.29	718.08	785.88	723.08	616.37	684.02	665.29	928.3	348.71	518.15	316.37	616.37	551.56	346.29	381.68	379.04	473.41	620.67	373.81	525.39	511.0	595.34	525.39	397.93	518.15	518.15	379.04	376.41	395.18	363.56	536.45	447.82	591.22	651.58	392.44	842.36	403.5	575.03	447.82	579.04	543.96	551.56	551.56	575.03	403.5	708.18	514.56	525.39	612.11	543.96	466.88	406.31	336.79	432.53	409.15	426.57
FAM120A	1832.01	2537.92	2133.97	2240.11	2434.5	2502.97	2417.67	2287.2	2351.53	3081.75	1059.11	1304.15	775.05	1437.15	1378.57	1104.13	1096.5	1259.69	836.53	1819.35	1023.0	1104.13	1561.89	1242.34	1447.15	1151.06	1259.69	1397.83	860.08	1104.13	947.83	941.27	1350.18	974.5	1427.22	1242.34	780.44	1662.49	947.83	1268.46	1143.1	1427.22	1350.18	1617.0	1104.13	1225.22	1183.45	1369.04	1216.75	1407.55	1477.58	1388.16	1051.79	1119.56	1051.79	1096.5	1199.98	1242.34
FAM175B	373.81	373.81	392.44	363.56	376.41	314.17	371.22	363.56	323.03	343.89	202.66	285.03	204.07	289.02	275.28	159.9	224.97	228.13	183.82	343.89	194.36	223.41	297.17	226.54	260.38	229.72	253.23	256.78	194.36	209.84	170.25	182.55	283.05	170.25	295.11	291.04	220.32	376.41	212.78	277.2	221.86	307.69	281.09	289.02	249.73	289.02	191.67	285.03	281.09	267.73	312.0	277.2	234.57	206.94	190.34	239.52	202.66	242.88
FH	2956.17	2384.37	1963.57	2777.33	1977.24	1529.73	3018.3	2520.38	3280.18	1709.26	633.73	981.29	743.43	1359.57	1388.16	796.86	1199.98	1001.93	669.92	1674.06	819.3	872.1	1397.83	1199.98	2255.7	981.29	1143.1	1508.65	633.73	785.88	571.05	830.75	902.89	934.76	1674.06	1397.83	713.11	1437.15	842.36	1151.06	743.43	1208.34	1457.23	2047.0	1015.93	1119.56	909.17	1340.84	1437.15	1407.55	1519.15	1709.26	954.43	995.0	536.45	941.27	1066.48	915.51
GMPS	1286.18	1498.22	1331.57	1250.98	1378.57	909.17	1519.15	1427.22	1594.73	1909.85	423.61	480.04	521.76	438.59	438.59	417.77	466.88	591.22	441.64	543.96	339.14	470.14	395.18	529.06	571.05	444.72	529.06	400.71	343.89	275.28	387.02	417.77	536.45	447.82	529.06	595.34	540.19	785.88	414.87	503.95	476.71	656.11	403.5	420.68	486.75	559.28	441.64	759.08	511.0	438.59	902.89	460.44	400.71	518.15	463.65	356.05	420.68	346.29
GSKIP	463.65	836.53	728.11	679.29	688.78	500.46	521.76	571.05	447.82	555.41	287.01	389.72	205.5	301.33	208.38	202.66	215.77	299.25	120.1	332.14	182.55	176.29	307.69	172.65	215.77	283.05	224.97	265.87	178.77	185.11	133.36	193.01	267.73	309.83	228.13	457.25	186.4	314.17	373.81	262.2	301.33	417.77	297.17	293.07	255.0	248.0	242.88	303.44	289.02	283.05	353.59	215.77	195.72	253.23	241.19	279.14	281.09	291.04
HAT1	1304.15	2287.2	1572.76	1963.57	1819.35	1447.15	2047.0	1583.71	1628.26	1369.04	624.99	1001.93	813.63	915.51	934.76	674.59	995.0	954.43	563.18	1259.69	674.59	733.19	1037.29	748.61	1073.91	785.88	896.64	878.17	647.07	665.29	780.44	718.08	830.75	738.29	995.0	1369.04	718.08	1259.69	808.0	819.3	830.75	1066.48	961.07	1111.82	860.08	947.83	785.88	1159.07	909.17	890.44	1407.55	902.89	836.53	743.43	785.88	718.08	909.17	748.61
HLCS	353.59	429.54	356.05	327.56	470.14	466.88	384.34	379.04	363.56	438.59	187.71	214.27	127.89	232.94	249.73	201.25	279.14	229.72	208.38	312.0	163.28	314.17	229.72	223.41	275.28	189.02	221.86	260.38	156.59	204.07	186.4	172.65	178.77	236.21	279.14	387.02	151.22	336.79	181.28	320.8	175.07	228.13	193.01	260.38	231.32	211.31	244.57	273.37	232.94	199.85	237.86	206.94	275.28	132.44	165.57	217.27	239.52	237.86
HNRNPH2	2591.27	2758.13	2645.74	2976.74	2796.65	2645.74	3874.05	3443.31	2875.3	2645.74	1073.91	1857.6	1427.22	2047.0	1883.54	1359.57	1757.34	1529.73	1359.57	1870.53	1233.75	1457.23	1909.85	1781.89	2004.85	1388.16	1769.57	1909.85	1066.48	995.0	1350.18	1359.57	1757.34	1508.65	2119.22	2075.59	1175.27	2133.97	1378.57	1844.76	1268.46	1769.57	1583.71	1963.57	1757.34	2224.63	1721.16	2417.67	1628.26	1832.01	2384.37	1963.57	1721.16	1617.0	1331.57	1295.13	1674.06	1313.23
ILF2	6037.61	7911.95	5183.54	5872.48	5183.54	4481.23	6516.03	7230.1	6983.79	4869.99	2178.83	3018.3	2835.7	3564.78	3124.78	2573.36	2835.7	2796.65	3018.3	3467.27	2485.67	2796.65	3349.13	3303.0	4038.61	2573.36	2915.45	3515.68	2271.4	2351.53	2591.27	2502.97	3235.01	2758.13	3589.58	3467.27	2895.31	4671.57	2664.15	3325.99	2739.08	3419.52	3419.52	3443.31	2895.31	3303.0	3081.75	3982.99	3768.09	3103.19	3768.09	3589.58	2537.92	2895.31	2384.37	2682.69	2935.74	2816.11
KIAA1279	703.28	738.29	656.11	684.02	780.44	848.22	813.63	521.76	848.22	595.34	334.46	490.14	447.82	620.67	540.19	339.14	395.18	392.44	366.09	642.59	343.89	514.56	669.92	518.15	607.87	384.34	563.18	587.13	318.57	318.57	327.56	307.69	493.56	403.5	603.67	629.35	303.44	860.08	379.04	587.13	397.93	595.34	612.11	540.19	529.06	583.07	363.56	808.0	599.49	620.67	769.69	551.56	406.31	432.53	332.14	397.93	420.68	420.68
KPNB1	3768.09	4972.34	4704.07	3589.58	3742.05	3589.58	4328.55	4671.57	4704.07	4298.64	1331.57	2104.58	1233.75	2061.24	1697.45	1639.59	1605.83	1757.34	2417.67	1685.71	1175.27	1617.0	1397.83	1794.29	1870.53	1447.15	1733.13	1733.13	1359.57	1437.15	1467.37	1709.26	2119.22	1407.55	1757.34	2400.97	1477.58	2468.49	1277.29	1870.53	1806.78	1674.06	928.3	1909.85	2075.59	2193.99	1721.16	2835.7	1059.11	1781.89	2193.99	1963.57	1487.87	1561.89	1561.89	1594.73	1909.85	1304.15
LCMT2	301.33	379.04	329.84	246.28	305.55	327.56	387.02	269.6	373.81	239.52	115.16	208.38	120.1	218.79	195.72	110.43	120.94	97.36	103.69	224.97	118.43	195.72	195.72	198.47	239.52	138.1	201.25	231.32	147.06	161.02	106.63	127.89	249.73	156.59	267.73	206.94	129.69	303.44	166.73	198.47	159.9	191.67	217.27	194.36	193.01	199.85	114.36	249.73	211.31	169.07	178.77	220.32	144.01	146.03	108.14	154.42	136.19	169.07
MCTS1	1540.37	1477.58	1066.48	1369.04	1304.15	1008.9	1427.22	1322.37	1561.89	1159.07	693.58	842.36	775.05	872.1	796.86	753.83	808.0	1030.12	579.04	941.27	808.0	796.86	1119.56	688.78	1277.29	860.08	698.41	878.17	698.41	813.63	890.44	738.29	764.36	836.53	890.44	1104.13	961.07	1191.69	808.0	684.02	813.63	1081.39	1259.69	1135.2	825.0	688.78	693.58	961.07	1073.91	854.13	1322.37	769.69	872.1	872.1	902.89	660.68	967.76	872.1
METTL5	1662.49	1870.53	1350.18	1277.29	1519.15	1151.06	1819.35	1605.83	1936.53	1286.18	759.08	1151.06	1111.82	1183.45	1111.82	842.36	896.64	1008.9	872.1	1529.73	928.3	808.0	1397.83	909.17	1175.27	1044.52	1119.56	1159.07	624.99	665.29	1037.29	802.41	909.17	1322.37	1037.29	1331.57	872.1	1467.37	813.63	1151.06	1199.98	1594.73	1286.18	1467.37	785.88	1143.1	738.29	1175.27	1175.27	1225.22	1498.22	1008.9	1030.12	1216.75	1191.69	848.22	988.12	1081.39
MIPEP	674.59	679.29	860.08	974.5	728.11	764.36	1059.11	967.76	848.22	438.59	271.48	373.81	285.03	400.71	466.88	251.48	500.46	314.17	255.0	483.38	332.14	356.05	540.19	432.53	684.02	303.44	503.95	536.45	253.23	323.03	198.47	281.09	397.93	432.53	525.39	379.04	242.88	417.77	273.37	473.41	209.84	384.34	563.18	525.39	412.0	389.72	297.17	426.57	438.59	536.45	460.44	507.46	441.64	327.56	277.2	447.82	356.05	339.14
MRPL19	967.76	1167.14	1008.9	947.83	1001.93	896.64	1167.14	1295.13	974.5	1081.39	400.71	651.58	414.87	748.61	457.25	432.53	607.87	595.34	366.09	785.88	406.31	620.67	934.76	665.29	954.43	536.45	579.04	698.41	397.93	358.54	397.93	476.71	638.15	543.96	866.07	693.58	438.59	728.11	511.0	651.58	460.44	555.41	909.17	890.44	567.1	490.14	457.25	728.11	629.35	647.07	1001.93	796.86	529.06	660.68	547.75	406.31	713.11	503.95
MRPS35	1819.35	1447.15	1540.37	1617.0	1477.58	1745.2	1594.73	2591.27	2032.85	1304.15	713.11	1044.52	759.08	1051.79	915.51	674.59	1037.29	941.27	571.05	1733.13	748.61	723.08	1127.35	848.22	1096.5	884.29	921.88	995.0	708.18	713.11	684.02	660.68	1044.52	921.88	1081.39	1572.76	780.44	1397.83	909.17	921.88	1081.39	1119.56	1111.82	1073.91	848.22	884.29	733.19	941.27	1023.0	1044.52	1277.29	1037.29	842.36	769.69	842.36	796.86	915.51	909.17
NBR1	2004.85	2047.0	1857.6	1628.26	1909.85	2271.4	2520.38	1781.89	2303.12	2997.45	1277.29	1685.71	1044.52	1757.34	1529.73	1388.16	1832.01	1551.09	1277.29	2018.8	1088.92	1437.15	1745.2	1709.26	1313.23	1407.55	1350.18	1662.49	1167.14	1175.27	1015.93	1259.69	1617.0	1417.35	1508.65	2032.85	1208.34	2061.24	1519.15	1674.06	1437.15	1963.57	1059.11	1437.15	1594.73	1757.34	1340.84	1896.65	1277.29	1781.89	1745.2	1467.37	1286.18	1388.16	1175.27	1111.82	1594.73	1508.65
NCOA4	2720.15	3257.52	5517.27	2739.08	2720.15	2434.5	3081.75	3491.39	2895.31	2351.53	1388.16	1991.0	1268.46	1963.57	2018.8	1397.83	1628.26	1733.13	1183.45	3103.19	1286.18	1529.73	2224.63	2018.8	2163.77	1572.76	2047.0	1769.57	1340.84	1233.75	1268.46	1286.18	2032.85	1540.37	2335.28	2367.9	1467.37	2997.45	1519.15	1857.6	1857.6	2591.27	1745.2	2133.97	1709.26	2004.85	1304.15	2777.33	1977.24	1806.78	2573.36	2193.99	1467.37	1304.15	1407.55	1369.04	1733.13	1340.84
PBLD	108.14	316.37	183.82	185.11	215.77	215.77	353.59	148.09	336.79	291.04	58.71	73.03	58.71	169.07	116.78	82.29	82.87	67.59	92.7	54.72	68.07	103.69	60.39	103.69	90.77	82.87	115.16	74.58	50.27	63.45	70.51	62.12	64.34	80.57	90.14	75.11	55.49	87.65	73.03	130.6	61.68	87.03	93.35	102.25	107.38	118.43	96.68	125.24	124.37	147.06	109.66	121.79	72.52	52.82	49.21	53.19	76.17	75.11
PCNA	2335.28	2485.67	3303.0	2255.7	2367.9	1781.89	2004.85	2061.24	2682.69	2224.63	988.12	1519.15	813.63	934.76	1143.1	819.3	1233.75	1081.39	269.6	1832.01	1088.92	1051.79	1529.73	1250.98	1417.35	1151.06	1340.84	1350.18	878.17	1066.48	620.67	860.08	1277.29	1208.34	1487.87	1551.09	684.02	1857.6	1023.0	1250.98	1023.0	1857.6	1397.83	1487.87	1225.22	981.29	1096.5	1127.35	1167.14	1304.15	1594.73	1286.18	1066.48	921.88	759.08	1159.07	1225.22	1216.75
PIGM	316.37	420.68	285.03	466.88	514.56	426.57	507.46	307.69	476.71	409.15	93.35	138.1	68.07	144.01	165.57	77.79	111.21	91.41	75.64	172.65	84.04	118.43	143.01	134.3	141.02	94.67	148.09	158.79	100.83	161.02	76.17	76.17	167.9	131.51	138.1	148.09	79.45	169.07	105.15	127.89	110.43	147.06	137.14	166.73	120.94	130.6	87.65	146.03	135.24	158.79	115.97	147.06	112.77	84.04	92.7	115.16	108.9	112.77
PLAA	507.46	571.05	587.13	543.96	660.68	529.06	476.71	620.67	703.28	612.11	202.66	348.71	202.66	348.71	329.84	242.88	273.37	285.03	226.54	384.34	199.85	279.14	341.51	295.11	381.68	228.13	297.17	346.29	208.38	211.31	191.67	256.78	325.29	214.27	363.56	384.34	231.32	356.05	223.41	356.05	246.28	336.79	279.14	384.34	301.33	368.65	316.37	490.14	265.87	318.57	403.5	314.17	277.2	218.79	217.27	231.32	267.73	275.28
PPAPDC2	194.36	348.71	295.11	341.51	536.45	295.11	339.14	231.32	406.31	255.0	176.29	206.94	120.94	182.55	158.79	102.97	117.6	95.34	136.19	221.86	123.5	143.01	204.07	140.04	142.01	157.68	164.42	173.85	139.07	205.5	136.19	115.97	212.78	139.07	169.07	232.94	131.51	226.54	130.6	176.29	205.5	181.28	175.07	149.12	182.55	209.84	144.01	128.79	190.34	189.02	193.01	166.73	167.9	131.51	151.22	183.82	146.03	141.02
PPHLN1	1259.69	1159.07	1044.52	1030.12	1051.79	785.88	1059.11	1216.75	1259.69	934.76	543.96	848.22	511.0	808.0	738.29	642.59	674.59	708.18	480.04	941.27	708.18	656.11	769.69	555.41	723.08	603.67	738.29	723.08	603.67	728.11	660.68	620.67	651.58	753.83	796.86	1151.06	563.18	1059.11	559.28	780.44	713.11	769.69	679.29	718.08	759.08	733.19	733.19	974.5	718.08	688.78	1037.29	780.44	708.18	595.34	587.13	603.67	679.29	575.03
