	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.DK.A3WW.01A.22R.A23N.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.MT.A67D.01A.31R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7380.01A.11R.2016.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A39Y.01A.11R.A213.07
BCL9L	339.14	248.0	106.63	178.77	146.03	392.44	400.71	314.17	1191.69	476.71	281.09	267.73	665.29	171.45	373.81	140.04	441.64	1259.69	2047.0	183.82	921.88	507.46	753.83	1233.75	279.14	688.78	348.71	212.78	775.05	575.03	339.14	381.68	616.37	785.88	497.0	1159.07	1191.69	909.17	412.0	1250.98	460.44	518.15	166.73	281.09	896.64	1250.98	587.13	395.18	629.35	147.06	1104.13	647.07	941.27	346.29	346.29	813.63	775.05	1044.52	780.44	780.44	1059.11	915.51	555.41	273.37	1030.12	896.64	543.96	629.35	381.68	1066.48	633.73	536.45	967.76	688.78	1594.73	236.21	819.3	351.14	65.72
BLOC1S6	251.48	246.28	223.41	244.57	258.57	403.5	420.68	423.61	759.08	195.72	341.51	194.36	358.54	224.97	392.44	591.22	301.33	587.13	323.03	307.69	323.03	318.57	366.09	429.54	348.71	395.18	287.01	351.14	423.61	376.41	299.25	275.28	283.05	358.54	287.01	463.65	603.67	466.88	262.2	555.41	353.59	297.17	223.41	195.72	363.56	536.45	387.02	301.33	366.09	314.17	629.35	476.71	406.31	220.32	295.11	612.11	483.38	660.68	269.6	441.64	457.25	493.56	329.84	221.86	603.67	246.28	563.18	483.38	297.17	343.89	353.59	301.33	291.04	417.77	339.14	373.81	521.76	316.37	205.5
C15orf38	463.65	144.01	217.27	158.79	231.32	85.22	229.72	85.82	426.57	249.73	258.57	105.15	450.94	73.54	353.59	95.34	155.5	283.05	371.22	115.16	241.19	163.28	376.41	285.03	180.02	152.28	99.43	115.97	249.73	231.32	113.56	226.54	341.51	356.05	167.9	287.01	423.61	525.39	232.94	389.72	110.43	130.6	77.79	21.01	53.95	232.94	358.54	202.66	265.87	109.66	486.75	327.56	312.0	135.24	156.59	384.34	339.14	332.14	208.38	255.0	532.74	147.06	244.57	133.36	346.29	105.89	260.38	221.86	147.06	336.79	432.53	159.9	242.88	277.2	361.04	135.24	368.65	224.97	115.97
CBL	44.89	74.06	33.54	56.68	36.79	60.39	70.51	78.89	265.87	82.29	46.5	77.79	82.87	54.72	73.03	60.39	98.73	194.36	224.97	38.67	105.15	96.01	104.42	151.22	58.71	190.34	76.71	47.5	145.02	169.07	136.19	86.43	105.89	104.42	69.52	237.86	161.02	128.79	92.05	156.59	74.58	102.25	37.59	56.28	121.79	189.02	145.02	95.34	136.19	32.59	127.0	212.78	169.07	87.03	44.89	195.72	151.22	212.78	127.0	103.69	158.79	101.54	87.03	51.71	142.01	88.88	145.02	111.21	58.3	127.0	133.36	76.71	80.57	150.17	148.09	50.27	153.34	61.68	17.9
CDKL5	0.68	1.16	2.56	2.36	5.92	5.82	27.05	4.17	86.43	61.68	5.63	3.92	6.01	1.06	7.17	6.52	7.82	64.34	31.45	8.99	38.67	21.16	22.26	46.18	3.35	91.41	10.79	3.82	26.67	18.43	6.16	20.26	6.52	8.38	14.24	24.28	33.3	45.21	11.64	58.71	15.68	24.28	1.83	5.36	17.0	59.55	26.1	13.52	38.4	3.23	39.5	40.07	32.13	5.59	1.97	84.63	27.64	107.38	27.25	36.79	45.53	18.84	25.91	4.21	57.49	20.41	35.25	44.89	8.19	29.06	26.86	8.45	9.34	24.99	69.03	4.24	52.08	5.15	0.66
CNOT6L	96.01	64.8	84.63	125.24	101.54	136.19	206.94	198.47	389.72	301.33	176.29	102.25	176.29	61.68	176.29	106.63	104.42	371.22	356.05	128.79	208.38	152.28	195.72	334.46	90.14	314.17	120.1	116.78	201.25	206.94	112.77	204.07	167.9	241.19	128.79	277.2	529.06	361.04	130.6	264.03	157.68	175.07	110.43	170.25	167.9	521.76	209.84	147.06	253.23	82.87	307.69	379.04	346.29	110.43	145.02	361.04	224.97	486.75	115.16	237.86	366.09	303.44	218.79	110.43	540.19	175.07	356.05	256.78	128.79	182.55	293.07	279.14	241.19	158.79	351.14	111.99	366.09	157.68	37.59
CTDSP2	403.5	518.15	842.36	1250.98	674.59	656.11	1457.23	1081.39	4388.98	796.86	854.13	1030.12	1551.09	1037.29	866.07	836.53	1081.39	3146.52	1709.26	780.44	1015.93	1159.07	842.36	2018.8	713.11	1977.24	1023.0	842.36	1225.22	1135.2	1259.69	1081.39	934.76	1477.58	1183.45	2351.53	2367.9	1781.89	1119.56	1991.0	1250.98	866.07	878.17	728.11	1001.93	2367.9	1037.29	921.88	1119.56	698.41	1769.57	2133.97	1662.49	1030.12	819.3	1447.15	1628.26	2591.27	1745.2	1896.65	2090.03	2018.8	954.43	1233.75	2434.5	1143.1	1583.71	1119.56	723.08	1059.11	1617.0	1175.27	1277.29	1617.0	2255.7	1457.23	2090.03	995.0	441.64
CTDSPL2	69.03	54.72	64.8	99.43	102.25	164.42	244.57	152.28	567.1	137.14	283.05	82.87	220.32	171.45	258.57	295.11	127.89	316.37	305.55	122.64	171.45	101.54	206.94	341.51	128.79	236.21	120.94	155.5	255.0	159.9	135.24	82.87	143.01	125.24	108.9	571.05	447.82	281.09	139.07	297.17	109.66	135.24	93.35	138.1	267.73	305.55	267.73	127.0	241.19	90.77	518.15	293.07	246.28	100.83	185.11	387.02	273.37	271.48	146.03	316.37	307.69	336.79	249.73	153.34	555.41	232.94	463.65	205.5	117.6	104.42	214.27	197.09	163.28	277.2	389.72	234.57	303.44	120.94	49.21
DDX6	180.02	108.14	63.89	94.01	85.82	228.13	444.72	175.07	1923.14	759.08	164.42	115.16	327.56	94.01	307.69	406.31	241.19	1175.27	1225.22	178.77	684.02	595.34	674.59	995.0	262.2	819.3	289.02	201.25	791.35	656.11	493.56	346.29	348.71	529.06	351.14	934.76	1183.45	1277.29	291.04	723.08	289.02	332.14	143.01	214.27	669.92	1225.22	624.99	514.56	813.63	118.43	759.08	1104.13	791.35	186.4	111.21	1135.2	785.88	1023.0	540.19	473.41	1119.56	785.88	368.65	181.28	1208.34	529.06	825.0	660.68	209.84	718.08	791.35	277.2	555.41	529.06	1081.39	205.5	1175.27	420.68	66.65
DPP8	178.77	65.72	87.03	76.71	87.65	136.19	223.41	145.02	583.07	143.01	115.97	73.03	148.09	98.73	181.28	183.82	137.14	299.25	232.94	108.14	164.42	163.28	176.29	291.04	147.06	232.94	111.21	161.02	283.05	190.34	142.01	132.44	208.38	226.54	136.19	368.65	289.02	262.2	137.14	231.32	181.28	171.45	83.45	107.38	249.73	287.01	218.79	153.34	237.86	112.77	392.44	312.0	264.03	106.63	189.02	392.44	273.37	329.84	187.71	223.41	285.03	199.85	454.09	133.36	454.09	181.28	206.94	190.34	95.34	177.53	182.55	119.26	158.79	205.5	289.02	170.25	314.17	103.69	43.63
EIF3A	1322.37	521.76	1023.0	624.99	1059.11	1119.56	2240.11	1322.37	2351.53	2061.24	1417.35	753.83	2061.24	674.59	1896.65	1081.39	1467.37	2485.67	2287.2	1030.12	2163.77	2032.85	2816.11	2271.4	1605.83	1745.2	1551.09	1605.83	2682.69	2682.69	1447.15	1322.37	2090.03	2104.58	1081.39	2451.44	2434.5	2555.58	1508.65	1721.16	1896.65	2816.11	1030.12	1313.23	1923.14	3168.41	3060.45	1936.53	2485.67	1378.57	2875.3	3564.78	2351.53	1250.98	1159.07	2997.45	2682.69	2520.38	1896.65	2133.97	2682.69	2178.83	2434.5	1819.35	3257.52	1977.24	1697.45	2520.38	848.22	1991.0	2682.69	1159.07	2193.99	1733.13	1991.0	1594.73	2682.69	1685.71	785.88
EP300	123.5	88.88	114.36	83.45	130.6	137.14	320.8	77.79	981.29	211.31	187.71	144.01	242.88	107.38	228.13	248.0	180.02	483.38	571.05	127.0	316.37	293.07	341.51	450.94	228.13	563.18	212.78	214.27	332.14	303.44	202.66	269.6	242.88	334.46	242.88	432.53	872.1	409.15	217.27	511.0	297.17	327.56	193.01	197.09	444.72	866.07	376.41	301.33	486.75	135.24	493.56	599.49	414.87	189.02	214.27	642.59	447.82	599.49	384.34	480.04	563.18	518.15	387.02	212.78	651.58	316.37	260.38	332.14	144.01	303.44	447.82	182.55	231.32	303.44	607.87	275.28	521.76	214.27	62.56
EP400	80.57	52.08	90.77	106.63	80.57	84.63	147.06	100.13	353.59	100.83	118.43	114.36	159.9	72.52	159.9	99.43	96.01	246.28	246.28	78.89	134.3	198.47	165.57	287.01	111.21	120.1	111.99	118.43	157.68	180.02	123.5	101.54	125.24	166.73	127.0	151.22	167.9	206.94	139.07	172.65	94.01	143.01	73.54	98.04	101.54	253.23	162.14	114.36	201.25	111.21	239.52	194.36	182.55	102.25	129.69	318.57	251.48	206.94	110.43	199.85	224.97	267.73	178.77	108.9	260.38	129.69	120.94	115.16	110.43	136.19	214.27	98.04	162.14	144.01	167.9	102.97	251.48	100.13	76.71
ERCC6	36.53	76.71	80.57	23.08	40.36	78.34	91.41	32.36	161.02	116.78	80.57	57.89	136.19	80.57	154.42	52.82	96.68	191.67	167.9	45.53	86.43	100.13	118.43	101.54	117.6	99.43	68.07	84.04	146.03	88.26	92.05	123.5	65.72	82.87	49.56	147.06	94.01	120.1	88.26	145.02	163.28	136.19	56.68	74.58	132.44	105.15	78.89	84.63	77.25	84.63	172.65	212.78	116.78	70.01	91.41	148.09	112.77	115.97	159.9	126.12	105.89	84.04	283.05	132.44	134.3	110.43	70.51	115.16	87.65	94.01	119.26	67.12	119.26	87.65	152.28	47.5	120.94	88.26	24.28
ERCC6-PGBD3	1.62	3.08	1.89	2.01	0.95	3.63	17.0	2.23	34.26	0.0	5.36	4.24	7.06	12.0	2.86	0.6	19.11	34.51	41.52	3.17	19.11	7.57	37.05	24.28	13.32	25.35	5.68	7.82	29.48	22.59	10.55	13.42	22.1	19.39	0.82	14.24	29.7	22.59	13.32	27.84	34.02	14.24	2.29	7.69	37.32	36.01	21.47	4.74	27.84	2.63	27.44	54.33	18.03	6.16	7.06	34.02	30.78	27.25	23.76	23.59	33.3	21.32	57.08	18.16	22.26	16.51	9.41	26.28	14.24	24.11	12.18	17.64	8.58	20.26	35.5	5.73	31.9	4.31	0.0
ERLIN1	226.54	232.94	253.23	187.71	265.87	514.56	444.72	373.81	878.17	2032.85	525.39	206.94	633.73	339.14	476.71	351.14	262.2	738.29	836.53	320.8	536.45	305.55	595.34	819.3	339.14	412.0	432.53	267.73	669.92	432.53	329.84	318.57	389.72	423.61	234.57	629.35	381.68	679.29	470.14	470.14	77.25	447.82	228.13	358.54	607.87	543.96	389.72	392.44	551.56	275.28	915.51	1199.98	656.11	476.71	503.95	902.89	656.11	529.06	575.03	802.41	728.11	599.49	521.76	463.65	928.3	525.39	575.03	708.18	212.78	406.31	463.65	351.14	518.15	406.31	575.03	273.37	638.15	490.14	134.3
FAM73A	34.02	46.18	19.25	32.36	21.47	40.36	81.71	30.34	808.0	78.34	60.82	30.56	57.08	36.79	50.98	45.21	39.5	152.28	102.97	35.0	53.95	69.52	62.12	87.03	53.19	63.89	44.57	37.05	138.1	76.17	65.72	37.85	65.26	67.59	56.28	88.88	108.9	84.04	52.45	107.38	54.72	73.54	25.54	60.39	73.54	103.69	91.41	58.71	96.01	40.93	135.24	157.68	87.65	52.45	52.08	127.89	146.03	115.16	88.88	85.82	106.63	87.03	98.04	41.52	224.97	97.36	101.54	90.14	39.5	60.82	102.25	39.79	76.17	76.71	114.36	33.06	145.02	42.41	34.75
G3BP2	314.17	583.07	323.03	503.95	521.76	483.38	988.12	785.88	2627.46	928.3	738.29	486.75	791.35	490.14	688.78	769.69	518.15	1551.09	1313.23	616.37	836.53	728.11	928.3	1457.23	457.25	941.27	854.13	612.11	1135.2	878.17	769.69	389.72	915.51	780.44	669.92	1199.98	1225.22	1286.18	718.08	1001.93	808.0	974.5	764.36	733.19	909.17	1561.89	775.05	738.29	1340.84	563.18	1733.13	1487.87	1427.22	518.15	674.59	1617.0	1498.22	1359.57	703.28	921.88	1008.9	1340.84	703.28	376.41	2032.85	921.88	1781.89	981.29	587.13	633.73	1143.1	660.68	791.35	1059.11	1159.07	638.15	1477.58	679.29	336.79
GPATCH8	89.51	73.54	124.37	120.1	125.24	92.7	285.03	140.04	660.68	164.42	204.07	127.89	209.84	124.37	201.25	211.31	138.1	339.14	336.79	126.12	228.13	256.78	202.66	253.23	187.71	271.48	173.85	199.85	287.01	258.57	237.86	187.71	218.79	312.0	181.28	279.14	435.55	234.57	202.66	295.11	217.27	256.78	134.3	202.66	265.87	409.15	228.13	206.94	281.09	132.44	339.14	356.05	258.57	158.79	156.59	403.5	318.57	341.51	232.94	348.71	353.59	312.0	237.86	223.41	325.29	232.94	409.15	307.69	193.01	198.47	358.54	170.25	246.28	271.48	368.65	181.28	299.25	183.82	49.91
HMG20A	384.34	162.14	159.9	208.38	273.37	269.6	373.81	312.0	808.0	220.32	277.2	176.29	267.73	218.79	295.11	271.48	223.41	384.34	417.77	228.13	262.2	231.32	387.02	307.69	289.02	215.77	228.13	323.03	395.18	356.05	193.01	214.27	215.77	316.37	297.17	409.15	366.09	432.53	258.57	363.56	248.0	376.41	144.01	182.55	373.81	395.18	323.03	256.78	406.31	193.01	503.95	409.15	389.72	236.21	318.57	591.22	343.89	341.51	229.72	368.65	414.87	226.54	329.84	166.73	551.56	297.17	299.25	305.55	214.27	239.52	309.83	307.69	277.2	305.55	381.68	237.86	414.87	224.97	193.01
