	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.11WQK.2526.SM.5CVL8	GTEX.13O3P.2726.SM.5KM2R	GTEX.144GM.1626.SM.5O9AG	GTEX.ZYWO.1126.SM.5U3SH	GTEX.YJ8A.1226.SM.5IFHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.XAJ8.0626.SM.47JY4	GTEX.11ZUS.2126.SM.5N9E6	GTEX.146FQ.1726.SM.5QGPX	GTEX.13O21.1126.SM.5N9EV
GLTPD1	77.79	587.13	591.22	346.29	307.69	253.23	312.0	353.59	0.0	0.33	529.06	620.67	660.68	629.35	518.15
GMPR2	1151.06	2384.37	2271.4	647.07	1104.13	1268.46	1225.22	941.27	0.0	0.62	1662.49	1870.53	1977.24	2384.37	1721.16
GPAA1	921.88	2701.35	1857.6	1259.69	1322.37	1277.29	1208.34	928.3	2645.74	591.22	2255.7	2915.45	2163.77	2935.74	2645.74
GRIK4	2.63	6.46	21.78	4.13	1.46	3.99	1.22	3.35	0.0	0.13	7.4	12.18	2.89	4.86	5.54
HHIP	21.01	1073.91	1135.2	21.01	8.92	40.07	25.35	33.3	0.0	0.0	58.3	237.86	698.41	145.02	23.25
HIRIP3	297.17	368.65	444.72	131.51	228.13	201.25	432.53	316.37	0.0	0.01	551.56	476.71	612.11	366.09	559.28
HIST1H2AG	3.96	31.0	28.65	17.9	7.51	4.9	12.09	7.94	0.0	0.38	11.21	10.39	15.56	37.85	10.79
IFT140	136.19	995.0	1001.93	176.29	248.0	218.79	242.88	195.72	0.0	0.39	361.04	595.34	511.0	376.41	409.15
ING4	642.59	2224.63	1883.54	457.25	796.86	738.29	988.12	902.89	0.0	0.33	1369.04	1417.35	1519.15	1794.29	1685.71
IP6K2	366.09	4937.99	2956.17	1508.65	1143.1	587.13	1331.57	819.3	0.0	0.44	2627.46	2997.45	2520.38	2701.35	2997.45
ITIH2	0.44	12.0	2.18	1.91	1.83	0.41	0.34	0.93	0.0	0.0	1.91	5.96	0.45	0.73	2.76
JMJD7	101.54	423.61	318.57	212.78	262.2	158.79	220.32	144.01	0.0	0.41	447.82	599.49	346.29	769.69	688.78
KIAA0319L	234.57	860.08	1175.27	400.71	587.13	476.71	470.14	426.57	450.94	842.36	825.0	1015.93	981.29	1427.22	1066.48
KIAA2013	679.29	988.12	1051.79	718.08	723.08	909.17	1008.9	921.88	0.0	0.32	1088.92	1295.13	1199.98	988.12	1059.11
KLHDC9	113.56	1540.37	2287.2	61.68	116.78	86.43	111.99	111.99	0.0	0.22	397.93	356.05	988.12	703.28	525.39
LMAN2L	251.48	432.53	660.68	262.2	450.94	262.2	457.25	320.8	0.0	0.28	559.28	571.05	633.73	616.37	599.49
LSMD1	2875.3	4671.57	3540.14	2133.97	2004.85	2148.82	1498.22	1991.0	0.0	0.57	3716.2	3794.3	3874.05	4671.57	3589.58
LTBP2	118.43	2004.85	1757.34	63.0	587.13	277.2	283.05	125.24	0.0	0.47	307.69	921.88	500.46	358.54	890.44
MAZ	2485.67	3039.3	4123.49	2997.45	2163.77	2739.08	2367.9	2739.08	4575.41	368.65	5872.48	4704.07	6983.79	10440.2	3039.3
MED11	348.71	1119.56	1127.35	228.13	325.29	381.68	454.09	400.71	0.0	0.41	612.11	1111.82	848.22	890.44	759.08
MEF2BNB	291.04	432.53	429.54	332.14	397.93	348.71	323.03	334.46	387.02	212.78	571.05	642.59	579.04	587.13	620.67
METTL20	40.93	115.97	105.15	39.79	27.25	22.92	49.56	44.25	0.0	0.09	67.12	80.57	81.71	97.36	98.73
MIPEP	265.87	738.29	728.11	253.23	145.02	178.77	201.25	264.03	0.0	0.0	381.68	379.04	351.14	974.5	348.71
NARFL	195.72	559.28	563.18	403.5	417.77	285.03	529.06	447.82	0.0	0.64	563.18	866.07	616.37	728.11	629.35
NDUFAF3	1407.55	3690.52	3257.52	1721.16	1088.92	1350.18	1119.56	1359.57	0.0	0.62	2384.37	2645.74	2935.74	3103.19	2835.7
NINL	60.39	353.59	318.57	134.3	140.04	127.0	159.9	147.06	0.0	0.57	264.03	346.29	688.78	473.41	218.79
NMRK1	325.29	1605.83	842.36	348.71	450.94	356.05	381.68	299.25	279.14	406.31	651.58	915.51	1023.0	1331.57	836.53
NOL12	214.27	417.77	423.61	297.17	371.22	264.03	295.11	269.6	0.0	0.41	486.75	536.45	525.39	447.82	514.56
NVL	223.41	318.57	470.14	265.87	346.29	157.68	392.44	267.73	0.0	0.27	432.53	583.07	620.67	567.1	454.09
NYNRIN	113.56	981.29	703.28	91.41	102.25	105.89	127.0	131.51	0.0	0.39	312.0	559.28	441.64	336.79	339.14
OGFOD2	107.38	547.75	780.44	201.25	198.47	120.1	186.4	223.41	0.0	0.24	463.65	435.55	466.88	473.41	435.55
OPLAH	56.28	189.02	214.27	78.89	108.9	163.28	177.53	161.02	0.0	0.71	264.03	406.31	239.52	323.03	283.05
PARP3	325.29	587.13	320.8	105.15	392.44	444.72	381.68	476.71	0.0	0.66	769.69	825.0	825.0	698.41	1081.39
PAX3	0.0	3.14	4.7	0.0	0.0	1.27	0.4	0.0	0.0	0.0	1.33	2.53	1.95	2.73	1.11
PICK1	285.03	674.59	629.35	218.79	241.19	397.93	366.09	363.56	563.18	848.22	947.83	890.44	698.41	1030.12	1015.93
PLD3	3874.05	6294.04	5076.84	3395.89	3955.48	3820.7	3103.19	3467.27	0.0	0.75	6207.38	6471.02	7032.37	5292.48	5831.91
PLXNB2	1151.06	6561.36	7749.1	1583.71	2915.45	2555.58	1950.0	1883.54	0.0	1.2	3665.02	3928.15	4543.8	3982.99	3716.2
POMGNT1	563.18	1250.98	1119.56	463.65	1135.2	718.08	808.0	995.0	0.0	0.74	1498.22	1617.0	2032.85	2758.13	1819.35
POP5	358.54	974.5	1233.75	620.67	543.96	312.0	836.53	470.14	0.0	0.04	1175.27	1191.69	1628.26	1427.22	1322.37
POU3F1	3.56	27.44	1.69	1.08	1.0	2.41	1.73	5.87	0.0	0.13	7.51	16.03	5.5	7.63	6.84
PRDX2	5791.62	5711.87	7537.18	5913.33	4736.79	5329.3	4937.99	8658.09	0.0	1.07	8901.53	7433.4	8778.97	11664.82	6840.04
PWWP2B	120.1	567.1	571.05	212.78	191.67	123.5	163.28	149.12	0.0	0.52	341.51	351.14	373.81	379.04	197.09
RAB40A	6.62	29.27	49.21	3.0	13.32	4.13	32.13	5.28	0.0	0.04	63.45	183.82	88.26	87.03	269.6
RAB43	63.45	435.55	187.71	241.19	122.64	231.32	78.89	164.42	0.0	0.49	220.32	327.56	269.6	384.34	108.9
RANGRF	660.68	2075.59	1242.34	429.54	785.88	669.92	738.29	884.29	0.0	0.67	1066.48	1127.35	1407.55	1397.83	842.36
RBM42	1250.98	1467.37	1883.54	1331.57	1051.79	1233.75	1159.07	1359.57	0.0	0.99	2178.83	1388.16	1617.0	1697.45	1313.23
RFX1	109.66	429.54	395.18	130.6	113.56	122.64	138.1	72.52	0.0	0.39	265.87	256.78	218.79	193.01	199.85
RIC8A	1388.16	1781.89	1651.0	1167.14	1151.06	1397.83	1529.73	1519.15	0.0	0.71	1745.2	1844.76	1936.53	1794.29	1628.26
RIMBP3	0.0	4.31	11.73	0.0	0.77	0.96	0.0	0.0	0.0	0.0	2.51	6.89	13.52	6.89	4.54
RNASEH2C	1378.57	1008.9	769.69	1044.52	1059.11	1001.93	1225.22	1051.79	0.0	0.57	1883.54	2573.36	1594.73	1936.53	1268.46
RPH3AL	88.26	567.1	293.07	130.6	97.36	136.19	78.34	139.07	0.0	0.36	178.77	226.54	234.57	173.85	239.52
RRNAD1	264.03	1467.37	1733.13	397.93	603.67	346.29	503.95	356.05	0.0	0.67	1066.48	1322.37	1340.84	1191.69	1175.27
SCAP	518.15	703.28	1001.93	764.36	848.22	595.34	866.07	674.59	624.99	186.4	1051.79	1233.75	1059.11	974.5	995.0
SCRN2	518.15	2303.12	1950.0	309.83	409.15	368.65	414.87	559.28	0.0	0.6	1295.13	1540.37	1359.57	1639.59	1175.27
SHMT1	163.28	1008.9	872.1	373.81	275.28	283.05	236.21	256.78	0.0	0.0	543.96	620.67	447.82	638.15	457.25
SLC25A18	30.12	26.67	28.65	43.32	20.26	7.88	37.05	11.3	0.0	0.28	61.68	94.67	51.35	87.65	105.89
SLC47A2	0.89	28.04	432.53	3.08	2.53	3.17	1.28	1.79	0.0	0.16	3.2	8.13	2.89	6.41	4.98
SMARCD2	669.92	1487.87	1628.26	1572.76	1286.18	493.56	1199.98	713.11	1794.29	248.0	1519.15	2367.9	1721.16	1832.01	1923.14
SNRNP35	334.46	1259.69	1096.5	409.15	400.71	336.79	486.75	470.14	0.0	0.37	872.1	872.1	1051.79	753.83	1167.14
SPG11	511.0	1313.23	1819.35	575.03	693.58	693.58	660.68	587.13	0.0	0.88	1037.29	872.1	1111.82	1225.22	1143.1
SPHK2	124.37	249.73	368.65	211.31	164.42	124.37	199.85	150.17	0.0	0.16	379.04	536.45	316.37	356.05	312.0
SPR	429.54	1051.79	872.1	397.93	423.61	708.18	728.11	629.35	0.0	0.08	1030.12	928.3	1015.93	1529.73	802.41
ST20	113.56	403.5	277.2	72.01	81.71	92.7	199.85	139.07	0.0	0.49	231.32	191.67	571.05	684.02	198.47
SURF1	1096.5	1674.06	1896.65	1066.48	988.12	1583.71	1242.34	1023.0	0.0	0.44	1417.35	1388.16	1923.14	2148.82	1745.2
SYNE4	2.71	5183.54	3491.39	18.84	60.82	21.94	14.03	12.09	0.0	0.4	234.57	358.54	480.04	708.18	358.54
SYNGR2	988.12	6561.36	6381.92	3372.43	3349.13	3589.58	3372.43	2895.31	0.0	1.08	3742.05	4671.57	4607.24	7803.01	4575.41
TAF6L	125.24	493.56	555.41	231.32	244.57	182.55	187.71	275.28	0.0	0.35	423.61	514.56	318.57	409.15	353.59
TCTA	647.07	759.08	733.19	239.52	473.41	429.54	540.19	426.57	0.0	0.3	1037.29	1059.11	1529.73	1950.0	1268.46
TGM1	4.03	176.29	182.55	18.97	22.43	80.57	23.59	40.36	0.0	0.28	62.56	85.22	119.26	150.17	135.24
THAP9	28.04	65.26	66.65	26.67	37.32	16.39	45.21	46.5	0.0	0.0	70.01	78.34	102.97	121.79	88.26
TMEM256	1963.57	4575.41	3124.78	2032.85	1313.23	1073.91	1127.35	830.75	0.0	0.71	3395.89	2976.74	4210.15	7749.1	2537.92
TMEM99	98.73	1199.98	698.41	112.77	165.57	52.45	234.57	162.14	0.0	0.09	470.14	780.44	587.13	1225.22	698.41
TMPRSS12	0.0	0.83	1.14	0.0	0.0	0.0	0.72	0.0	0.0	0.0	1.75	1.97	2.1	0.34	0.97
TOR2A	40.64	483.38	579.04	197.09	167.9	135.24	158.79	147.06	0.0	0.02	221.86	373.81	361.04	356.05	229.72
TRAPPC5	1135.2	4095.0	2609.3	836.53	988.12	1437.15	647.07	896.64	0.0	0.49	1909.85	2573.36	2319.15	3280.18	1909.85
TREX1	253.23	1183.45	1208.34	325.29	323.03	466.88	291.04	255.0	0.0	0.59	934.76	1051.79	1662.49	1674.06	1001.93
TSC22D4	356.05	2468.49	995.0	878.17	884.29	368.65	476.71	473.41	0.0	0.84	1313.23	1350.18	1369.04	1508.65	896.64
TUBA3D	1.33	110.43	180.02	0.47	2.76	2.46	9.56	3.2	0.0	0.0	31.9	88.88	79.45	327.56	73.54
TUBB4B	4152.18	5147.73	7433.4	5995.9	4937.99	5751.61	4152.18	7130.55	3982.99	1477.58	6840.04	5147.73	5441.3	6745.86	5555.65
TWF2	693.58	1322.37	1111.82	890.44	587.13	493.56	420.68	525.39	0.0	0.47	1208.34	1259.69	1233.75	1119.56	780.44
TXN2	1662.49	2004.85	2224.63	1242.34	1111.82	995.0	1242.34	1008.9	2777.33	981.29	2271.4	2384.37	2895.31	2777.33	2148.82
UBE3B	423.61	312.0	450.94	483.38	450.94	483.38	612.11	511.0	0.0	0.32	454.09	603.67	497.0	665.29	540.19
UBL4A	503.95	674.59	791.35	387.02	500.46	420.68	466.88	599.49	0.0	0.22	813.63	934.76	921.88	836.53	629.35
UNC119	226.54	642.59	575.03	361.04	341.51	316.37	291.04	473.41	0.0	0.72	703.28	825.0	1059.11	1001.93	607.87
USP19	629.35	802.41	802.41	473.41	555.41	567.1	842.36	674.59	0.0	0.17	884.29	954.43	733.19	808.0	981.29
VWA5B1	0.0	31.9	353.59	0.84	0.0	0.39	0.0	0.0	0.0	0.18	1.13	9.06	2.76	1.87	4.17
WDR16	0.45	2555.58	12076.21	5.73	0.0	3.11	1.66	7.75	0.0	0.0	10.71	16.03	23.42	26.47	5.92
WFDC2	5076.84	1.736886224E7	2.009035788E7	2935.74	111.99	94.67	146.03	52.08	0.0	0.65	4181.07	23820.89	4543.8	2520.38	22692.63
ZFPL1	529.06	1233.75	1268.46	607.87	775.05	665.29	825.0	854.13	0.0	0.56	1313.23	1457.23	1250.98	1340.84	1175.27
ZNF114	1.33	108.14	92.05	4.5	8.0	0.0	4.86	0.39	0.0	0.06	1.45	17.51	22.92	11.21	7.0
ZNF311	9.7	61.25	109.66	11.82	11.47	6.73	22.75	6.84	0.0	0.11	37.85	38.95	61.25	92.7	57.89
ZNF429	106.63	480.04	1104.13	52.82	120.94	82.87	150.17	155.5	0.0	0.28	199.85	279.14	226.54	332.14	366.09
ZNF726	2.23	507.46	1594.73	9.27	3.26	5.5	7.75	10.31	0.0	0.46	38.67	36.53	63.0	49.91	44.25
ZNF837	11.04	154.42	287.01	0.64	14.24	27.44	8.71	17.77	0.0	0.07	64.34	63.89	53.57	81.14	52.82
