	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.12696.0826.SM.5EGGE	GTEX.132NY.0926.SM.5P9G3	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11PRG.0926.SM.5EGI8	GTEX.WFJO.0326.SM.3GIL3	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13OW8.1726.SM.5L3GO	GTEX.QMRM.0826.SM.3NB33
CABP1	0.0	3.79	1.45	2.66	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.28	7.57	4.54	3.99	8.06	16.27	0.0	2.18	15.0	3.66	9.7	7.4	3.29	40.64	5.68	5.28	10.88	29.7	4.17	3.56	73.03	2.2	28.86	21.94	0.0	54.72	4.28	10.63	7.88	17.38	17.51	7.82	13.32
CAND2	22.59	18.56	8.19	8.38	27.25	13.72	13.22	40.93	13.42	3.0	0.0	0.39	10.96	72.52	87.03	42.11	99.43	36.79	17.9	38.4	31.9	46.18	124.37	3.44	130.6	18.16	32.13	37.32	124.37	120.94	26.47	97.36	34.02	124.37	73.03	20.41	98.04	64.8	167.9	25.35	85.82	104.42	33.3	109.66
CAP2	23.76	21.32	113.56	3.47	19.97	14.56	20.86	13.62	24.63	14.45	0.0	0.18	87.03	205.5	85.22	251.48	136.19	85.22	82.29	214.27	85.22	56.68	109.66	46.84	249.73	90.77	91.41	95.34	143.01	137.14	27.05	190.34	102.25	197.09	173.85	49.56	595.34	75.11	119.26	49.21	130.6	50.98	23.76	215.77
CCDC8	6.73	8.38	4.21	2.05	5.32	1.93	5.59	1.1	3.5	2.23	0.0	0.35	106.63	277.2	241.19	58.71	119.26	10.24	111.99	264.03	187.71	43.02	204.07	55.49	105.89	79.45	36.79	417.77	813.63	104.42	28.24	836.53	438.59	295.11	256.78	85.22	1277.29	162.14	595.34	224.97	525.39	356.05	55.49	244.57
CHD5	0.0	0.0	0.0	1.04	2.58	2.94	2.07	0.44	0.0	0.46	0.0	0.26	0.0	2.61	0.55	4.31	9.41	1.87	1.19	5.82	3.59	1.62	1.5	1.5	3.59	1.0	4.66	4.06	2.27	7.06	2.23	9.56	4.39	6.62	4.46	0.14	19.39	1.13	1.07	0.48	6.46	0.68	5.92	9.56
CNPY4	84.63	52.08	91.41	65.26	89.51	90.14	38.4	51.71	99.43	23.59	0.0	0.09	281.09	348.71	279.14	373.81	297.17	87.03	269.6	287.01	318.57	275.28	253.23	97.36	563.18	291.04	197.09	297.17	532.74	144.01	114.36	309.83	307.69	397.93	392.44	191.67	638.15	223.41	490.14	271.48	285.03	429.54	142.01	373.81
COL4A6	0.0	1.3	0.0	0.61	0.0	6.84	0.38	0.91	0.0	1.36	0.0	0.49	15.22	19.39	33.54	39.79	113.56	14.35	16.75	74.58	20.41	3.32	29.06	6.01	97.36	12.27	66.18	63.45	84.63	26.1	4.9	297.17	19.97	435.55	117.6	4.03	796.86	10.08	77.79	1.87	323.03	121.79	7.75	55.89
CSDC2	1.75	47.84	26.86	7.22	5.32	29.7	4.03	86.43	27.44	20.41	0.0	0.66	46.18	232.94	102.25	258.57	353.59	6.67	132.44	85.22	106.63	81.14	69.03	25.72	239.52	27.64	43.02	56.28	137.14	103.69	43.32	217.27	59.13	152.28	244.57	37.59	708.18	79.45	72.52	88.26	195.72	54.33	97.36	94.67
CUL7	73.54	61.68	155.5	109.66	53.57	112.77	114.36	137.14	111.21	28.24	0.0	0.47	156.59	269.6	395.18	265.87	131.51	49.56	265.87	395.18	368.65	214.27	242.88	197.09	167.9	260.38	162.14	348.71	620.67	307.69	121.79	454.09	279.14	392.44	293.07	177.53	303.44	323.03	395.18	325.29	503.95	616.37	234.57	361.04
DAND5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.49	0.24	0.0	3.63	0.0	1.03	0.53	1.83	0.3	2.48	2.29	1.28	4.58	2.05	2.25	1.81	9.85	1.89	0.0	2.32	1.23	3.92	1.31	0.51	3.44	4.28	0.56	0.52	1.03	2.89	0.0	0.48
DES	17.13	8.06	15.68	11.3	108.14	55.1	4.74	15.34	4.7	6.16	0.0	0.73	1111.82	743.43	860.08	332.14	15499.21	2004.85	293.07	1709.26	791.35	480.04	2555.58	1427.22	7966.99	764.36	595.34	312.0	8479.89	3103.19	961.07	10808.41	2061.24	8134.41	2271.4	463.65	2485.67	860.08	3794.3	392.44	5751.61	3589.58	583.07	5517.27
DTYMK	341.51	191.67	389.72	543.96	265.87	281.09	147.06	320.8	281.09	108.9	0.0	0.21	460.44	384.34	260.38	384.34	301.33	133.36	301.33	483.38	420.68	429.54	281.09	279.14	688.78	392.44	249.73	387.02	1417.35	256.78	157.68	438.59	361.04	389.72	521.76	318.57	480.04	423.61	454.09	432.53	376.41	587.13	155.5	387.02
DYNC1H1	1250.98	1225.22	1628.26	1199.98	1508.65	1199.98	1277.29	1250.98	1143.1	947.83	0.0	1.2	4010.71	4210.15	6840.04	5366.37	4972.34	2591.27	2664.15	5751.61	3372.43	5441.3	6121.9	3443.31	7032.37	3372.43	3124.78	3515.68	7589.61	5672.41	2664.15	6607.01	4481.23	5913.33	4736.79	5872.48	2855.44	3395.89	6381.92	3874.05	5183.54	7911.95	1745.2	5594.3
ENG	307.69	1073.91	607.87	703.28	1216.75	665.29	1159.07	1233.75	941.27	232.94	743.43	161.02	1313.23	6935.54	9474.59	5872.48	18819.27	3874.05	1594.73	5006.93	3982.99	6652.97	11584.24	5711.87	9215.48	5366.37	12853.63	2075.59	7032.37	1781.89	4450.27	6164.49	4298.64	4671.57	10084.54	3614.55	4268.94	1709.26	22225.61	5517.27	5112.16	2485.67	3280.18	4575.41
FBXL22	0.0	1.58	8.58	1.39	1.39	3.2	5.92	1.95	1.33	0.0	0.0	0.0	15.56	44.25	13.42	26.67	53.95	17.77	8.19	24.81	21.01	14.14	14.67	5.54	49.91	15.11	10.24	13.03	64.34	6.16	4.82	64.34	17.51	57.49	15.56	8.58	105.15	7.28	25.91	8.06	17.38	20.56	0.0	40.93
FEZ1	100.83	140.04	66.18	26.47	351.14	119.26	103.69	194.36	90.77	34.26	0.0	0.69	305.55	2335.28	444.72	1159.07	529.06	409.15	197.09	591.22	305.55	356.05	447.82	63.0	2645.74	255.0	426.57	543.96	2875.3	305.55	256.78	447.82	403.5	1286.18	312.0	237.86	3874.05	305.55	1832.01	307.69	743.43	587.13	217.27	860.08
FKBP9	186.4	212.78	253.23	105.89	525.39	371.22	384.34	217.27	269.6	133.36	947.83	3146.52	1295.13	1662.49	4419.52	3146.52	1870.53	2255.7	1135.2	1781.89	1870.53	1331.57	2367.9	470.14	3349.13	1857.6	1883.54	2104.58	4298.64	1277.29	1151.06	1721.16	1617.0	1369.04	1427.22	1304.15	2367.9	1242.34	3303.0	1467.37	1857.6	1583.71	860.08	2915.45
FLNA	909.17	1119.56	1037.29	703.28	476.71	896.64	1378.57	507.46	848.22	1151.06	11424.74	153.34	21768.19	24660.96	14663.09	31870.96	37901.36	8778.97	6699.25	22072.07	10225.32	22380.2	23169.48	16383.0	58655.36	14561.8	7966.99	11189.6	45386.27	15285.81	13123.73	38966.94	8658.09	40062.48	24321.43	8078.22	130165.62	19482.97	23986.58	12329.98	47313.67	23986.58	6745.86	18052.61
GADL1	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	3.59	0.0	3.56	3.44	1.58	1.6	5.96	0.75	0.71	0.0	1.58	4.78	0.72	0.71	0.0	4.7	1.19	1.16	1.58	0.71	5.11	2.05	0.71	24.63	0.0	2.56	0.0	1.16	1.17	1.71	4.03
GAL3ST4	3.44	2.25	3.59	5.87	10.79	0.35	8.13	3.96	15.11	1.58	0.0	0.07	256.78	114.36	112.77	145.02	135.24	29.7	64.8	171.45	285.03	59.97	123.5	18.84	299.25	102.97	49.56	297.17	403.5	32.82	15.11	167.9	109.66	256.78	84.63	126.12	265.87	74.06	256.78	139.07	142.01	361.04	40.93	199.85
GDF11	12.93	8.38	12.83	5.96	9.85	0.78	11.82	9.63	9.56	8.92	0.0	0.47	24.99	120.94	20.71	38.67	76.71	53.19	36.01	22.75	36.79	26.47	133.36	45.85	163.28	55.1	97.36	69.03	147.06	35.5	74.06	255.0	64.8	80.57	67.59	27.25	77.25	27.25	212.78	80.57	40.36	144.01	48.18	52.82
GIPC3	9.78	10.0	10.63	7.51	27.84	15.0	15.68	25.72	12.74	6.31	0.0	0.2	48.52	114.36	49.56	82.29	124.37	31.45	23.42	58.3	21.16	97.36	175.07	35.25	214.27	47.5	60.82	30.78	75.64	40.93	29.27	309.83	45.21	111.99	109.66	60.39	105.15	34.75	248.0	57.89	92.7	215.77	54.72	277.2
GJC2	5.59	2.05	3.53	0.39	1.57	2.71	3.89	0.96	1.93	8.85	0.0	0.17	63.89	58.3	115.97	114.36	87.03	6.31	53.19	121.79	35.5	86.43	56.68	21.78	363.56	67.12	84.63	133.36	143.01	30.78	15.11	242.88	98.73	125.24	68.07	28.24	223.41	77.79	204.07	43.63	82.87	115.97	17.0	111.21
GPER1	320.8	125.24	79.45	25.91	154.42	110.43	201.25	51.35	187.71	42.71	0.0	0.0	58.3	166.73	379.04	490.14	392.44	45.53	103.69	195.72	193.01	182.55	251.48	21.47	221.86	559.28	105.15	156.59	314.17	53.95	14.14	198.47	228.13	251.48	249.73	143.01	223.41	679.29	764.36	224.97	201.25	191.67	54.72	336.79
GPR146	525.39	406.31	248.0	149.12	366.09	35.25	299.25	137.14	450.94	234.57	0.0	0.05	376.41	660.68	684.02	1407.55	1127.35	242.88	521.76	718.08	470.14	470.14	480.04	305.55	860.08	656.11	373.81	460.44	647.07	529.06	384.34	603.67	571.05	769.69	571.05	450.94	728.11	698.41	1628.26	660.68	620.67	612.11	214.27	1950.0
GPR161	3.2	6.57	8.32	3.86	4.13	3.69	2.58	3.17	2.78	0.0	0.0	0.56	48.18	139.07	264.03	139.07	111.99	7.4	127.0	122.64	87.03	26.67	248.0	53.95	255.0	47.17	58.71	92.7	251.48	71.0	22.43	138.1	133.36	158.79	96.01	40.36	595.34	90.14	162.14	102.97	211.31	229.72	23.59	264.03
GRIK4	0.0	0.0	0.04	0.58	0.13	0.0	0.16	0.0	0.1	0.83	0.0	0.13	18.56	48.18	26.28	60.39	5.82	9.56	15.0	49.91	28.86	18.97	24.81	7.57	80.01	18.84	8.25	40.07	59.55	19.39	8.0	16.63	37.05	81.71	18.7	21.94	118.43	22.75	60.82	15.11	59.97	67.12	16.75	23.59
GUCY1A3	18.56	35.5	23.42	31.22	31.45	5.45	28.24	67.12	22.75	74.06	0.0	0.39	303.44	555.41	493.56	595.34	490.14	241.19	248.0	473.41	575.03	161.02	507.46	50.98	1143.1	371.22	423.61	457.25	1397.83	518.15	295.11	381.68	256.78	412.0	199.85	303.44	718.08	271.48	896.64	287.01	379.04	836.53	173.85	981.29
HCFC1	241.19	209.84	251.48	447.82	303.44	361.04	463.65	271.48	244.57	312.0	511.0	1950.0	688.78	543.96	974.5	785.88	848.22	392.44	480.04	629.35	426.57	563.18	954.43	665.29	1030.12	429.54	466.88	571.05	1233.75	693.58	429.54	884.29	514.56	624.99	941.27	713.11	536.45	507.46	775.05	540.19	791.35	1208.34	318.57	536.45
HDAC11	62.12	26.1	75.11	180.02	65.72	53.95	56.28	76.71	88.26	36.53	0.0	0.36	228.13	361.04	713.11	543.96	356.05	116.78	305.55	497.0	500.46	599.49	540.19	186.4	785.88	334.46	262.2	373.81	974.5	525.39	214.27	376.41	555.41	785.88	417.77	332.14	583.07	624.99	441.64	379.04	591.22	607.87	165.57	616.37
HSPB7	4.17	1.31	6.57	8.51	12.18	10.55	5.82	6.16	9.7	2.86	0.0	0.51	90.14	239.52	166.73	503.95	878.17	61.68	86.43	182.55	56.28	46.18	281.09	358.54	665.29	92.05	107.38	74.06	967.76	239.52	185.11	2090.03	229.72	808.0	638.15	70.01	10440.2	127.89	314.17	151.22	579.04	135.24	45.21	358.54
IFI27L2	93.35	156.59	88.88	62.12	232.94	267.73	69.52	101.54	115.16	58.3	0.0	0.83	1806.78	265.87	764.36	2835.7	2032.85	329.84	1950.0	3039.3	2240.11	2303.12	2400.97	1001.93	9876.98	2271.4	1427.22	1242.34	7485.11	733.19	1340.84	2047.0	2627.46	3794.3	1963.57	2351.53	4268.94	2319.15	2796.65	1950.0	2367.9	2915.45	2777.33	1487.87
IGSF9B	1.38	4.43	0.39	1.5	0.0	2.16	2.86	0.0	0.21	0.0	0.0	0.57	3.44	7.28	15.8	41.52	32.59	6.16	19.11	45.21	0.83	2.16	16.75	56.68	27.44	16.51	4.28	6.31	26.86	31.9	4.24	420.68	14.14	441.64	236.21	16.27	599.49	12.27	17.9	31.45	154.42	11.3	4.43	57.08
IL21R	3.5	7.88	9.63	4.28	16.39	3.86	0.0	0.06	3.44	5.59	43.32	120.94	4.17	54.33	65.26	105.89	122.64	43.63	6.41	46.5	49.21	60.82	96.01	77.79	107.38	64.8	202.66	7.51	49.91	12.83	10.63	57.49	91.41	144.01	114.36	48.52	48.52	111.21	169.07	36.79	150.17	47.17	51.71	73.03
ILK	802.41	1175.27	1088.92	743.43	860.08	1268.46	785.88	780.44	1104.13	1001.93	0.0	0.77	2915.45	3982.99	4095.0	6037.61	4239.45	1051.79	2193.99	4575.41	2835.7	4268.94	3690.52	1950.0	6887.62	2895.31	2682.69	3146.52	4358.66	2573.36	1857.6	3794.3	3190.46	4802.93	3443.31	2976.74	8778.97	3212.66	3372.43	1883.54	3716.2	4575.41	1977.24	3491.39
ITGA7	53.19	77.25	1037.29	98.73	27.25	125.24	170.25	63.0	63.45	78.34	0.0	0.72	86.43	112.77	64.34	176.29	336.79	142.01	65.26	151.22	285.03	105.89	154.42	92.05	432.53	72.01	73.03	242.88	305.55	119.26	101.54	674.59	89.51	500.46	536.45	36.53	1051.79	148.09	148.09	129.69	177.53	178.77	226.54	214.27
JPH2	1.87	0.74	1.66	0.0	1.27	0.55	0.56	0.4	0.12	0.43	0.0	0.41	27.44	343.89	121.79	107.38	339.14	42.11	17.64	91.41	21.78	65.26	91.41	7.75	197.09	42.11	38.95	62.12	95.34	25.91	5.06	316.37	51.71	197.09	123.5	57.49	642.59	53.95	89.51	41.81	239.52	29.27	12.0	161.02
KCNC4	8.25	8.13	9.56	6.06	12.36	9.34	11.13	15.0	10.63	4.1	0.0	0.4	71.5	103.69	57.89	118.43	113.56	17.13	98.04	105.89	62.12	42.71	72.01	52.45	450.94	35.76	38.4	63.45	198.47	105.89	45.53	147.06	58.71	106.63	100.13	56.28	167.9	50.63	105.15	55.49	65.72	108.9	34.02	208.38
KCNMB1	0.73	2.2	3.0	1.71	8.58	3.72	2.48	0.39	1.11	1.1	0.0	0.42	37.85	35.25	38.4	115.16	301.33	20.86	14.89	102.25	26.67	36.01	53.19	30.78	175.07	42.11	38.4	46.84	85.82	43.02	8.19	211.31	41.52	237.86	96.68	31.9	647.07	11.13	30.78	29.48	111.21	73.03	8.51	136.19
KCTD15	54.33	67.59	231.32	490.14	13.22	13.03	24.11	61.25	80.57	99.43	47.17	104.42	99.43	753.83	438.59	967.76	688.78	123.5	108.14	291.04	149.12	334.46	423.61	220.32	1350.18	97.36	173.85	116.78	493.56	163.28	85.82	1111.82	379.04	540.19	403.5	114.36	1008.9	167.9	579.04	120.1	540.19	209.84	34.51	1066.48
L1CAM	12.93	8.06	9.2	13.52	2.39	1.51	6.73	7.63	2.2	12.09	0.0	0.32	3.06	6.84	9.06	63.89	75.11	30.34	3.41	21.47	47.5	15.22	4.58	10.47	32.82	12.18	8.85	47.17	22.59	12.09	29.91	14.24	17.77	26.86	23.59	12.18	65.72	5.96	63.0	8.71	13.22	24.81	10.71	3.63
LDB3	0.0	0.0	1.43	0.05	4.94	2.03	1.85	2.48	2.94	0.91	6.73	92.05	45.21	114.36	33.54	53.95	123.5	39.22	21.63	34.02	26.86	19.53	61.25	3.66	205.5	53.95	57.89	60.39	54.72	44.89	6.06	205.5	28.65	99.43	124.37	19.68	607.87	45.21	65.26	58.3	100.83	42.11	57.49	80.57
LDLRAD2	112.77	76.17	59.97	57.49	81.71	46.5	159.9	169.07	85.82	9.78	0.0	0.31	183.82	518.15	356.05	334.46	759.08	348.71	281.09	183.82	323.03	334.46	305.55	169.07	486.75	165.57	175.07	384.34	1277.29	218.79	139.07	743.43	191.67	126.12	521.76	211.31	890.44	256.78	555.41	435.55	638.15	381.68	204.07	387.02
LDOC1	29.48	56.28	10.0	15.0	31.67	5.11	26.28	28.45	44.89	25.54	1651.0	1407.55	500.46	551.56	928.3	1001.93	1883.54	116.78	703.28	426.57	769.69	450.94	503.95	105.15	3235.01	486.75	429.54	688.78	1437.15	336.79	72.52	1977.24	450.94	1721.16	1477.58	395.18	30785.28	665.29	1286.18	389.72	1051.79	890.44	206.94	1015.93
LGR6	7.75	20.26	0.83	5.77	2.92	1.3	46.84	24.11	2.63	9.48	0.0	0.39	27.05	79.45	20.56	90.77	633.73	25.72	23.59	78.34	18.56	43.94	201.25	12.0	281.09	48.18	49.91	46.5	117.6	40.64	7.63	665.29	57.89	202.66	279.14	17.9	3395.89	69.03	66.18	66.18	212.78	16.51	45.85	139.07
LHX6	0.51	0.46	6.11	6.06	0.0	4.43	2.43	7.88	1.64	0.0	0.0	0.16	38.67	181.28	87.03	128.79	96.01	226.54	40.93	214.27	43.94	46.18	72.52	64.34	127.0	42.71	43.94	57.89	215.77	29.27	62.12	90.14	32.82	103.69	53.19	32.59	120.1	59.97	251.48	59.55	37.32	113.56	57.89	105.15
LPHN3	0.54	1.41	2.73	0.25	0.88	1.48	2.71	4.66	5.45	0.83	0.0	0.22	42.71	13.12	64.8	211.31	172.65	48.18	22.92	38.67	7.0	2.23	40.36	14.14	169.07	39.79	13.12	36.53	45.21	42.41	16.63	25.91	17.13	15.22	45.21	22.1	995.0	19.97	363.56	9.63	45.53	67.12	5.5	142.01
