	TCGA.B6.A0RH.01A.21R.A115.07	TCGA.E9.A1NC.01A.21R.A26B.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.2Y.A9H5.01A.11R.A38B.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.S7SF.0426.SM.3K2B7	TCGA.QN.A5NN.01A.11R.A28V.07
DAD1	9945.68	10659.59	8840.04	11745.96	6250.56	8363.13	6121.9	11504.21	11827.67	8134.41	5366.37	9215.48	7589.61	7230.1	5147.73	2303.12	3060.45	2627.46	3212.66	3018.3	4038.61	2816.11	5219.6	2935.74	5995.9	3639.7	5403.7	3467.27	3146.52	4736.79	2816.11	3124.78	4268.94	2384.37	6699.25	4181.07	4512.4	3820.7	4671.57	3212.66	2645.74	3820.7	14065.74	10585.95
DCTN2	3768.09	5329.3	3257.52	3982.99	2240.11	2335.28	10154.69	1794.29	2645.74	3614.55	2090.03	2163.77	3018.3	3146.52	1674.06	728.11	1081.39	872.1	1088.92	902.89	1001.93	738.29	1175.27	884.29	1322.37	909.17	1407.55	842.36	1037.29	1127.35	915.51	941.27	1208.34	769.69	1561.89	1519.15	1225.22	1477.58	1407.55	1030.12	961.07	819.3	3742.05	3146.52
DGUOK	2537.92	3190.46	2319.15	2739.08	1268.46	1081.39	1519.15	1135.2	1447.15	1583.71	1594.73	1111.82	1313.23	1857.6	915.51	575.03	808.0	603.67	780.44	819.3	819.3	1233.75	988.12	1001.93	1331.57	470.14	1561.89	808.0	559.28	954.43	688.78	1066.48	1104.13	688.78	1757.34	1191.69	981.29	1233.75	981.29	1015.93	728.11	854.13	2591.27	2682.69
FAM127C	406.31	376.41	283.05	547.75	75.64	73.03	249.73	78.89	69.03	76.71	39.79	50.63	56.28	139.07	43.32	13.83	48.18	8.06	14.89	42.71	15.56	17.9	40.93	17.64	10.96	8.13	23.42	16.39	40.36	15.91	19.39	23.93	27.84	8.99	87.65	19.68	42.71	18.43	48.52	33.78	17.77	12.93	842.36	503.95
GNS	909.17	842.36	921.88	928.3	830.75	819.3	1781.89	674.59	1477.58	688.78	813.63	830.75	921.88	1417.35	647.07	356.05	444.72	339.14	450.94	387.02	536.45	406.31	629.35	406.31	571.05	500.46	688.78	414.87	500.46	647.07	412.0	476.71	599.49	341.51	708.18	603.67	567.1	536.45	733.19	521.76	432.53	460.44	2319.15	1037.29
GTF3C6	2609.3	2895.31	2835.7	2976.74	1923.14	1467.37	3212.66	2047.0	1745.2	1709.26	1059.11	1397.83	2573.36	2915.45	836.53	329.84	480.04	395.18	1023.0	332.14	567.1	603.67	1250.98	438.59	713.11	656.11	872.1	457.25	674.59	738.29	543.96	759.08	656.11	518.15	1447.15	1250.98	595.34	813.63	981.29	595.34	748.61	651.58	2835.7	3060.45
H2AFY	7280.4	3146.52	4328.55	4769.75	2609.3	3901.01	2875.3	2997.45	2178.83	4450.27	1561.89	1794.29	2178.83	4328.55	1119.56	713.11	723.08	713.11	941.27	825.0	651.58	753.83	1135.2	567.1	796.86	967.76	830.75	571.05	791.35	748.61	684.02	854.13	728.11	813.63	1369.04	1277.29	954.43	1143.1	1111.82	738.29	808.0	684.02	5219.6	6561.36
H2AFZ	5366.37	5633.22	7485.11	20451.65	4704.07	10659.59	8538.88	3443.31	6294.04	5112.16	2224.63	2976.74	4181.07	20881.4	1844.76	624.99	928.3	842.36	954.43	872.1	1119.56	1030.12	1781.89	769.69	1832.01	1259.69	1233.75	836.53	1059.11	2090.03	848.22	1242.34	1015.93	693.58	4123.49	1674.06	1397.83	1477.58	1519.15	1508.65	1175.27	1304.15	9606.86	10883.59
HDAC2	2018.8	2351.53	2720.15	3372.43	703.28	679.29	1143.1	698.41	713.11	1216.75	633.73	518.15	1135.2	1119.56	559.28	285.03	325.29	234.57	368.65	260.38	348.71	249.73	423.61	303.44	346.29	287.01	420.68	239.52	371.22	441.64	368.65	400.71	507.46	246.28	532.74	395.18	329.84	417.77	583.07	351.14	420.68	389.72	1883.54	1583.71
HN1	7032.37	5441.3	5006.93	21468.49	2434.5	2627.46	5594.3	1977.24	2777.33	2777.33	854.13	1909.85	1242.34	5112.16	1208.34	187.71	490.14	289.02	583.07	426.57	395.18	525.39	830.75	323.03	665.29	376.41	1127.35	420.68	265.87	595.34	361.04	441.64	660.68	271.48	2163.77	1008.9	603.67	890.44	642.59	693.58	429.54	275.28	5751.61	12415.75
HNRNPA3	10659.59	9540.5	9474.59	10959.3	6164.49	5791.62	5403.7	5751.61	4358.66	6607.01	4481.23	3280.18	3665.02	5366.37	3349.13	1350.18	2163.77	1286.18	2148.82	1540.37	2209.26	1819.35	2645.74	1477.58	2075.59	1175.27	2997.45	1617.0	2047.0	2319.15	1794.29	2468.49	1498.22	1322.37	3820.7	2367.9	2609.3	2976.74	2645.74	2701.35	2384.37	1487.87	6699.25	8778.97
HSPA2	1304.15	607.87	249.73	579.04	125.24	295.11	244.57	176.29	195.72	117.6	90.14	102.25	171.45	351.14	99.43	46.84	85.82	24.46	23.08	20.11	27.05	26.1	57.08	33.06	39.79	29.27	98.73	35.5	48.52	269.6	63.45	29.91	40.07	12.64	176.29	88.26	67.12	81.14	73.03	67.12	34.75	29.27	100.13	651.58
KPNA2	2682.69	2193.99	1331.57	5112.16	785.88	1923.14	1857.6	575.03	1757.34	1259.69	500.46	567.1	723.08	2434.5	297.17	90.14	124.37	106.63	267.73	84.63	189.02	84.04	327.56	52.45	149.12	173.85	198.47	144.01	78.89	332.14	152.28	283.05	118.43	76.17	587.13	229.72	171.45	392.44	197.09	166.73	134.3	165.57	830.75	3235.01
LMNA	7695.57	11584.24	8479.89	5041.77	7130.55	7485.11	5913.33	10296.45	4869.99	6471.02	3820.7	3794.3	6250.56	8363.13	3443.31	1096.5	2163.77	1487.87	1709.26	1540.37	1806.78	1806.78	2682.69	1572.76	2485.67	1417.35	3847.29	1870.53	1529.73	3443.31	1733.13	2163.77	2319.15	1651.0	2976.74	3372.43	4010.71	2997.45	2468.49	1769.57	1870.53	1457.23	8840.04	15715.58
METTL8	339.14	231.32	258.57	329.84	124.37	162.14	148.09	78.34	88.88	108.9	80.01	134.3	84.04	204.07	71.5	43.02	68.55	17.38	59.55	45.21	75.11	46.5	155.5	45.85	84.04	57.08	48.52	42.41	55.89	46.18	55.1	73.03	86.43	51.71	81.71	115.97	76.71	53.95	81.14	55.1	51.71	62.56	206.94	361.04
MRPL47	5441.3	1639.59	1529.73	1832.01	1322.37	1096.5	988.12	1304.15	1175.27	1088.92	995.0	759.08	698.41	1208.34	848.22	327.56	426.57	450.94	728.11	447.82	507.46	417.77	703.28	320.8	866.07	633.73	1001.93	323.03	426.57	521.76	444.72	620.67	503.95	473.41	1151.06	753.83	497.0	1001.93	738.29	612.11	457.25	525.39	2956.17	2367.9
OLA1	8305.36	2271.4	3060.45	4152.18	1561.89	1437.15	1936.53	1378.57	1781.89	1806.78	1242.34	2319.15	1127.35	1697.45	854.13	356.05	438.59	435.55	518.15	429.54	679.29	412.0	785.88	384.34	947.83	521.76	738.29	579.04	463.65	599.49	381.68	563.18	642.59	480.04	934.76	674.59	540.19	703.28	1096.5	607.87	567.1	642.59	2255.7	1963.57
PGK1	9540.5	17558.94	15392.14	24660.96	5219.6	7382.04	4869.99	6561.36	7803.01	7032.37	5366.37	7130.55	5255.91	9088.59	4937.99	1697.45	3372.43	1977.24	3235.01	2104.58	3280.18	2018.8	3874.05	2240.11	4450.27	3146.52	4388.98	3039.3	3303.0	5292.48	2664.15	3212.66	3768.09	2163.77	5041.77	3847.29	3419.52	4268.94	3639.7	3081.75	2855.44	2816.11	18178.19	12415.75
PPIC	2351.53	1540.37	2255.7	2796.65	854.13	1111.82	1794.29	753.83	1044.52	2178.83	921.88	669.92	1081.39	1143.1	708.18	260.38	525.39	283.05	175.07	356.05	339.14	356.05	1066.48	194.36	693.58	454.09	616.37	358.54	285.03	629.35	303.44	473.41	414.87	323.03	473.41	1008.9	633.73	599.49	860.08	441.64	454.09	563.18	1819.35	1639.59
PSMA6	10084.54	6983.79	6471.02	10659.59	3955.48	3768.09	3794.3	5366.37	4575.41	4869.99	3168.41	4010.71	3589.58	6699.25	2875.3	1857.6	1757.34	1757.34	2997.45	1909.85	2701.35	2018.8	2664.15	2047.0	2627.46	2720.15	2935.74	2075.59	2240.11	3146.52	2061.24	2485.67	2240.11	1844.76	3235.01	4607.24	2255.7	2367.9	3103.19	2591.27	2417.67	2255.7	13776.25	5995.9
PSMB5	5633.22	4972.34	4736.79	5112.16	3257.52	2645.74	5219.6	3491.39	4607.24	3928.15	2193.99	3325.99	2816.11	4481.23	2061.24	1651.0	1806.78	1322.37	2047.0	1651.0	2018.8	1467.37	2303.12	1685.71	2209.26	1639.59	2133.97	2075.59	1709.26	2434.5	1819.35	1617.0	1991.0	1583.71	1883.54	2645.74	2645.74	2255.7	1950.0	1407.55	1857.6	1781.89	7966.99	5112.16
PSMD14	2018.8	1498.22	1651.0	1572.76	1001.93	830.75	1295.13	848.22	1268.46	995.0	703.28	1015.93	583.07	1477.58	514.56	244.57	351.14	314.17	525.39	303.44	450.94	332.14	486.75	332.14	638.15	329.84	514.56	281.09	368.65	540.19	316.37	417.77	376.41	291.04	620.67	551.56	426.57	540.19	575.03	480.04	379.04	395.18	1977.24	1437.15
PYCARD	2855.44	1167.14	1769.57	4769.75	961.07	1322.37	981.29	748.61	555.41	599.49	190.34	339.14	819.3	2591.27	303.44	92.05	172.65	111.99	165.57	189.02	62.12	154.42	279.14	130.6	162.14	132.44	144.01	102.25	74.06	81.14	205.5	249.73	194.36	98.04	371.22	1167.14	256.78	148.09	336.79	228.13	130.6	76.71	3257.52	921.88
RAB11A	6381.92	7642.41	6983.79	4388.98	2915.45	2255.7	4181.07	3901.01	3212.66	5954.47	2609.3	2555.58	3146.52	5147.73	2133.97	981.29	1208.34	1059.11	1662.49	1242.34	1857.6	1225.22	1733.13	1135.2	2255.7	1794.29	2335.28	1167.14	1437.15	2090.03	1437.15	1369.04	1844.76	1104.13	2777.33	2224.63	1447.15	1977.24	2032.85	1697.45	1540.37	1583.71	5913.33	4123.49
RALB	967.76	878.17	1030.12	1378.57	612.11	470.14	660.68	603.67	665.29	808.0	620.67	363.56	463.65	1051.79	497.0	143.01	193.01	171.45	204.07	256.78	273.37	283.05	403.5	204.07	316.37	164.42	346.29	301.33	295.11	438.59	241.19	258.57	395.18	165.57	764.36	392.44	299.25	373.81	379.04	307.69	271.48	205.5	1519.15	1081.39
RBM8A	4575.41	6471.02	5112.16	5219.6	3491.39	1896.65	4152.18	2367.9	3039.3	3614.55	2119.22	1721.16	3018.3	2682.69	1605.83	902.89	1313.23	708.18	1059.11	928.3	1037.29	981.29	1427.22	1081.39	1127.35	995.0	1498.22	1088.92	921.88	1397.83	1447.15	1199.98	1242.34	884.29	2271.4	1268.46	1350.18	1844.76	1322.37	1111.82	1088.92	1015.93	2895.31	7966.99
RBX1	2835.7	4066.71	2935.74	2537.92	1437.15	1081.39	2047.0	1369.04	988.12	2004.85	896.64	1242.34	1015.93	1909.85	1081.39	511.0	679.29	525.39	703.28	587.13	733.19	642.59	830.75	595.34	902.89	536.45	860.08	551.56	607.87	713.11	688.78	947.83	647.07	441.64	1119.56	1151.06	693.58	743.43	796.86	1111.82	713.11	607.87	3690.52	2875.3
RHOA	7280.4	8078.22	10585.95	8479.89	5366.37	5751.61	6652.97	6207.38	6207.38	6516.03	4543.8	5594.3	4802.93	8840.04	5479.15	2303.12	2875.3	2061.24	3212.66	2502.97	3325.99	2485.67	3820.7	2835.7	3874.05	2956.17	3491.39	2816.11	2835.7	4268.94	2855.44	3060.45	3103.19	2287.2	4358.66	3540.14	3103.19	3060.45	3955.48	2997.45	2855.44	3124.78	18689.27	8538.88
RHOG	1628.26	3060.45	1896.65	1268.46	1143.1	1104.13	1037.29	1268.46	1697.45	1617.0	961.07	1073.91	954.43	1781.89	764.36	559.28	536.45	493.56	483.38	486.75	486.75	414.87	808.0	463.65	397.93	536.45	698.41	483.38	351.14	629.35	559.28	674.59	417.77	412.0	785.88	1023.0	693.58	872.1	591.22	441.64	612.11	420.68	3303.0	1457.23
RPN2	12160.22	4481.23	5112.16	9279.58	7130.55	7803.01	7180.15	7911.95	6337.83	7382.04	4181.07	4769.75	7433.4	5954.47	4152.18	2163.77	2303.12	2004.85	2468.49	1685.71	2875.3	2047.0	3716.2	2400.97	4268.94	2555.58	3419.52	2303.12	2591.27	3742.05	2209.26	2591.27	3467.27	1685.71	3847.29	4038.61	3372.43	3103.19	3564.78	2777.33	2367.9	2335.28	9740.98	8134.41
SERF1B	1322.37	1295.13	1369.04	1259.69	583.07	860.08	1487.87	579.04	954.43	1051.79	603.67	693.58	791.35	688.78	371.22	136.19	183.82	107.38	295.11	195.72	206.94	119.26	414.87	211.31	320.8	273.37	291.04	153.34	183.82	332.14	309.83	371.22	237.86	98.04	470.14	318.57	279.14	559.28	343.89	283.05	143.01	275.28	1183.45	1191.69
SNRPD3	5147.73	6121.9	5751.61	7130.55	3874.05	3395.89	4671.57	3540.14	2935.74	4512.4	2895.31	3303.0	2956.17	4210.15	2627.46	1781.89	1268.46	1508.65	1594.73	1896.65	2664.15	1467.37	2451.44	1447.15	2609.3	2004.85	2816.11	1540.37	1662.49	2609.3	2384.37	2032.85	2434.5	1963.57	3639.7	2875.3	2335.28	2451.44	2061.24	2645.74	2739.08	2061.24	5441.3	4736.79
SNRPF	2591.27	1417.35	1119.56	1331.57	981.29	1143.1	1529.73	872.1	1127.35	1151.06	759.08	860.08	866.07	1950.0	775.05	438.59	543.96	463.65	529.06	559.28	902.89	441.64	753.83	521.76	854.13	476.71	521.76	423.61	688.78	599.49	860.08	684.02	555.41	376.41	848.22	954.43	674.59	830.75	583.07	769.69	698.41	363.56	1806.78	1378.57
SNRPG	5633.22	8078.22	3589.58	7433.4	2956.17	2915.45	4268.94	4512.4	3081.75	4123.49	2193.99	3060.45	2434.5	5791.62	2367.9	1313.23	1540.37	866.07	1477.58	1286.18	2400.97	1151.06	1651.0	1216.75	1662.49	1437.15	2004.85	1242.34	1628.26	1963.57	1963.57	1733.13	1697.45	1119.56	2434.5	1378.57	1757.34	2367.9	2018.8	2163.77	1662.49	1331.57	6652.97	5366.37
SUB1	9025.81	7911.95	17804.06	10154.69	7537.18	6121.9	10808.41	6294.04	9673.69	17681.08	4210.15	8840.04	5711.87	9344.14	4419.52	1594.73	2701.35	1467.37	2935.74	2240.11	3257.52	2555.58	4388.98	1709.26	3742.05	2627.46	4450.27	1991.0	1819.35	4239.45	2417.67	3235.01	2645.74	1794.29	7857.29	4358.66	3540.14	3395.89	5711.87	2758.13	2664.15	3491.39	9151.82	14765.09
TMEM147	4388.98	4736.79	3955.48	4575.41	2400.97	2895.31	11745.96	3395.89	4419.52	3395.89	2855.44	2335.28	2555.58	2468.49	1331.57	733.19	718.08	780.44	819.3	660.68	967.76	698.41	2061.24	616.37	1617.0	1313.23	1233.75	780.44	813.63	1977.24	708.18	808.0	1540.37	406.31	1233.75	1583.71	2047.0	1457.23	848.22	1044.52	967.76	450.94	6079.61	6516.03
TMEM258	10154.69	11827.67	6164.49	8718.32	6037.61	5751.61	6840.04	7331.05	6561.36	7966.99	5147.73	6079.61	5913.33	5403.7	4268.94	1950.0	2434.5	2645.74	2400.97	2255.7	3212.66	2075.59	3716.2	2119.22	3928.15	2468.49	4802.93	2178.83	2609.3	3257.52	2303.12	3018.3	2627.46	2075.59	5255.91	2682.69	3639.7	2796.65	3257.52	2520.38	2451.44	2468.49	7966.99	8022.41
TPM3	20737.16	8538.88	9088.59	12076.21	5479.15	6840.04	8421.31	4066.71	4152.18	6887.62	3303.0	2875.3	5633.22	7180.15	2537.92	1242.34	1467.37	1286.18	1540.37	1477.58	2240.11	1617.0	2303.12	1685.71	2193.99	1437.15	2178.83	1721.16	1639.59	2537.92	1447.15	1896.65	1977.24	1407.55	3665.02	2384.37	1819.35	1870.53	2502.97	1721.16	1498.22	1594.73	9945.68	8963.45
UBE2D2	2119.22	1662.49	1936.53	2090.03	1135.2	1769.57	1417.35	2609.3	1709.26	2004.85	1104.13	1066.48	1191.69	1572.76	1268.46	769.69	764.36	473.41	723.08	688.78	1066.48	493.56	1369.04	718.08	988.12	813.63	866.07	607.87	808.0	1151.06	802.41	718.08	954.43	684.02	1313.23	1030.12	872.1	1111.82	1059.11	974.5	791.35	961.07	3257.52	1977.24
UFD1L	3303.0	2915.45	2591.27	2384.37	2485.67	2240.11	2682.69	1628.26	3443.31	3690.52	1340.84	1794.29	2287.2	2875.3	1322.37	723.08	759.08	713.11	988.12	825.0	1096.5	796.86	836.53	848.22	1151.06	796.86	1331.57	909.17	836.53	1199.98	785.88	848.22	1233.75	769.69	1857.6	1313.23	1037.29	1286.18	1191.69	1191.69	796.86	813.63	3280.18	4038.61
XRCC6	5831.91	9025.81	5672.41	8778.97	3146.52	3982.99	5672.41	2855.44	4736.79	7695.57	3614.55	3212.66	3768.09	5006.93	2319.15	1540.37	2178.83	1487.87	2434.5	1561.89	2090.03	1721.16	2664.15	1977.24	2609.3	2335.28	2796.65	2271.4	1896.65	2720.15	2090.03	2104.58	2451.44	1781.89	2816.11	2796.65	2451.44	2434.5	2573.36	1806.78	2271.4	1991.0	10225.32	7433.4
YWHAB	5219.6	2451.44	3639.7	4671.57	1977.24	1896.65	2976.74	3235.01	2384.37	2075.59	1733.13	2148.82	1745.2	2701.35	1304.15	703.28	967.76	684.02	1059.11	981.29	921.88	995.0	1277.29	842.36	1066.48	802.41	1242.34	775.05	830.75	1183.45	775.05	1167.14	995.0	713.11	1950.0	1225.22	1073.91	1191.69	1457.23	1359.57	836.53	981.29	4607.24	2997.45
