	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145LV.1326.SM.5S2QI	GTEX.11ONC.1526.SM.5GU6S	GTEX.QVUS.0626.SM.447CC	GTEX.11TUW.1326.SM.5EQKV	GTEX.13NZB.1226.SM.5J2MW	GTEX.WVLH.1426.SM.4MVNX	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.UPK5.1226.SM.4IHL8	GTEX.11ZTS.2626.SM.5EGIC	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.35.4122.01A.01R.1107.07	TCGA.55.8204.01A.11R.2241.07	GTEX.S7SF.0426.SM.3K2B7	GTEX.UPK5.1126.SM.3GAEJ	TCGA.43.3920.01A.01R.0980.07	TCGA.34.A5IX.01A.12R.A27Q.07	TCGA.85.A50Z.01A.21R.A262.07	TCGA.66.2769.01A.02R.0851.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13
C19orf40	81.14	50.98	136.19	100.13	72.01	73.54	23.08	49.21	27.25	52.45	37.59	37.32	42.71	47.84	49.21	37.32	51.35	151.22	141.02	753.83	120.1	94.01	59.97	164.42	102.25	127.89	165.57	74.06	62.56	103.69	60.39	46.5	41.22	59.55
C2CD4A	1.35	6.21	1.81	5.06	1.43	6.94	0.0	0.0	0.88	0.79	21.94	4.78	11.21	1.46	0.0	0.77	3.29	35.76	23.25	41.52	128.79	15.91	58.3	37.32	68.07	221.86	40.36	2.01	0.04	5.73	4.06	3.47	3.44	0.0
C2orf76	629.35	341.51	336.79	314.17	346.29	314.17	381.68	162.14	132.44	244.57	116.78	279.14	255.0	291.04	163.28	264.03	231.32	854.13	624.99	339.14	314.17	473.41	450.94	1037.29	599.49	329.84	476.71	1030.12	480.04	341.51	395.18	323.03	559.28	197.09
CACYBP	1540.37	1304.15	1909.85	2777.33	981.29	1151.06	967.76	642.59	703.28	733.19	723.08	796.86	612.11	947.83	780.44	1096.5	796.86	2664.15	5479.15	4152.18	2047.0	2255.7	2271.4	4512.4	2591.27	2047.0	3060.45	2400.97	1991.0	1639.59	1199.98	1991.0	1662.49	1477.58
CCT4	2855.44	2468.49	3491.39	5711.87	2417.67	2384.37	2287.2	1457.23	1721.16	1844.76	1519.15	1540.37	1561.89	1950.0	1745.2	2018.8	2047.0	6381.92	9025.81	7032.37	3540.14	5711.87	5183.54	6337.83	5403.7	2720.15	5751.61	4736.79	2816.11	2875.3	2796.65	3168.41	3235.01	2018.8
CCT5	4152.18	4152.18	8421.31	21172.91	3419.52	4736.79	3742.05	2555.58	1936.53	2451.44	2720.15	2609.3	1950.0	2701.35	2417.67	3146.52	2520.38	14765.09	30999.42	5329.3	19214.73	6840.04	9876.98	9279.58	10368.08	12943.04	16045.82	8658.09	7280.4	5479.15	3982.99	5791.62	6381.92	3081.75
CEP41	194.36	122.64	178.77	98.73	92.7	102.97	66.65	90.14	58.71	69.52	43.63	88.26	54.33	62.56	75.11	109.66	59.55	209.84	205.5	264.03	297.17	253.23	432.53	239.52	262.2	309.83	96.01	78.89	44.89	120.1	52.08	89.51	53.95	98.73
CHRNA5	145.02	39.5	69.52	101.54	23.42	49.56	26.47	15.45	12.18	60.39	48.52	27.25	39.5	20.86	32.59	33.78	45.53	170.25	403.5	107.38	100.13	54.33	187.71	246.28	116.78	780.44	172.65	85.82	48.52	33.78	61.68	35.25	43.32	43.02
CISD1	769.69	1008.9	1313.23	1397.83	988.12	1044.52	1051.79	748.61	409.15	684.02	412.0	651.58	444.72	775.05	559.28	759.08	612.11	1417.35	1233.75	2090.03	1457.23	1991.0	1259.69	497.0	1030.12	1583.71	1322.37	2090.03	808.0	1259.69	848.22	1135.2	1037.29	674.59
CNIH4	1628.26	1350.18	1685.71	1806.78	1378.57	1388.16	1191.69	775.05	571.05	738.29	1359.57	890.44	642.59	961.07	660.68	974.5	1073.91	3443.31	6652.97	5913.33	1477.58	2133.97	1662.49	4769.75	1709.26	2573.36	3018.3	2209.26	1388.16	988.12	884.29	1030.12	1757.34	808.0
COA1	759.08	616.37	884.29	1030.12	571.05	713.11	575.03	775.05	703.28	775.05	769.69	743.43	665.29	728.11	819.3	947.83	842.36	2997.45	6121.9	2351.53	830.75	967.76	2485.67	2627.46	967.76	1427.22	1936.53	1697.45	624.99	743.43	595.34	796.86	718.08	536.45
COPS5	1199.98	1350.18	1467.37	1594.73	1359.57	1487.87	1151.06	1250.98	703.28	1008.9	651.58	802.41	723.08	1167.14	759.08	1081.39	753.83	4152.18	2758.13	2163.77	1674.06	1794.29	2255.7	2319.15	961.07	1519.15	2976.74	2367.9	1477.58	1417.35	1096.5	1322.37	1498.22	967.76
COPS6	3768.09	3540.14	3982.99	4575.41	3982.99	3190.46	3564.78	2645.74	1605.83	2303.12	1909.85	2303.12	1991.0	2400.97	2520.38	2855.44	2627.46	3665.02	2591.27	5954.47	2758.13	4388.98	4575.41	5872.48	4419.52	2627.46	3060.45	4639.29	4328.55	3081.75	3614.55	3874.05	5076.84	2520.38
COX7A2L	1519.15	1322.37	1066.48	1508.65	1208.34	1477.58	1008.9	1096.5	743.43	1208.34	1111.82	902.89	941.27	1008.9	954.43	1008.9	934.76	4543.8	3589.58	10014.87	2417.67	4903.87	4038.61	7180.15	2537.92	5041.77	4450.27	3146.52	1183.45	1340.84	1378.57	1617.0	1757.34	1304.15
CTSA	1674.06	3540.14	2935.74	3955.48	3103.19	3515.68	2777.33	1397.83	1721.16	1508.65	1923.14	1304.15	1709.26	1909.85	2193.99	2133.97	1870.53	1477.58	1617.0	3349.13	5041.77	7537.18	6381.92	3081.75	3467.27	9215.48	4095.0	2956.17	2701.35	3060.45	2591.27	3564.78	2720.15	2555.58
DCUN1D5	1233.75	698.41	860.08	1127.35	620.67	872.1	525.39	480.04	429.54	503.95	444.72	414.87	412.0	420.68	409.15	432.53	339.14	1617.0	1551.09	1175.27	1572.76	1295.13	884.29	1427.22	928.3	1242.34	890.44	2335.28	713.11	791.35	738.29	954.43	1733.13	432.53
DNAJA1	2400.97	1322.37	2224.63	3690.52	1030.12	1286.18	1066.48	769.69	1119.56	896.64	902.89	1183.45	1304.15	974.5	896.64	1457.23	1023.0	1721.16	2061.24	2682.69	3515.68	3955.48	7331.05	1721.16	2163.77	1159.07	2520.38	2835.7	1417.35	1674.06	1487.87	2032.85	1721.16	1583.71
DYNC1LI1	329.84	361.04	525.39	435.55	283.05	392.44	283.05	307.69	275.28	265.87	281.09	224.97	214.27	249.73	236.21	336.79	231.32	575.03	490.14	507.46	490.14	738.29	669.92	409.15	571.05	348.71	540.19	693.58	579.04	536.45	447.82	447.82	511.0	389.72
EIF2B3	361.04	511.0	603.67	866.07	432.53	624.99	460.44	301.33	293.07	346.29	318.57	320.8	291.04	305.55	353.59	329.84	353.59	872.1	988.12	595.34	450.94	733.19	974.5	1059.11	674.59	454.09	796.86	698.41	493.56	463.65	387.02	532.74	414.87	297.17
EPHB2	10.79	128.79	90.14	53.19	27.84	77.25	10.88	6.73	6.94	5.96	6.06	3.14	5.19	4.78	15.0	10.31	9.63	58.71	102.25	486.75	400.71	223.41	141.02	173.85	135.24	511.0	209.84	88.88	25.54	19.82	17.51	11.91	2.81	1.66
ERGIC2	1697.45	967.76	1561.89	1870.53	878.17	1008.9	854.13	547.75	802.41	753.83	389.72	866.07	633.73	1096.5	688.78	500.46	486.75	2400.97	4298.64	3419.52	2148.82	2468.49	4066.71	5219.6	1551.09	2915.45	4937.99	2018.8	902.89	1135.2	1015.93	1369.04	915.51	988.12
EXT2	264.03	620.67	748.61	902.89	435.55	500.46	483.38	363.56	363.56	426.57	426.57	325.29	348.71	387.02	403.5	473.41	389.72	1304.15	1745.2	1044.52	785.88	836.53	2720.15	1066.48	1233.75	1397.83	825.0	915.51	397.93	547.75	312.0	507.46	307.69	429.54
FAM104B	486.75	395.18	363.56	579.04	384.34	371.22	414.87	279.14	186.4	438.59	190.34	258.57	251.48	346.29	289.02	366.09	341.51	669.92	796.86	497.0	791.35	698.41	902.89	934.76	785.88	713.11	688.78	909.17	995.0	559.28	753.83	595.34	656.11	353.59
FBXO22	543.96	334.46	351.14	612.11	312.0	389.72	318.57	241.19	264.03	215.77	332.14	320.8	260.38	473.41	312.0	429.54	361.04	1096.5	1175.27	802.41	486.75	629.35	651.58	836.53	587.13	1268.46	947.83	759.08	514.56	463.65	420.68	480.04	521.76	314.17
FJX1	848.22	140.04	134.3	305.55	87.65	144.01	78.89	50.27	67.59	129.69	82.87	95.34	74.06	46.5	54.72	98.73	75.11	363.56	275.28	167.9	460.44	76.17	164.42	150.17	341.51	463.65	336.79	161.02	325.29	251.48	124.37	141.02	218.79	103.69
GOLT1B	220.32	412.0	551.56	769.69	353.59	387.02	283.05	285.03	356.05	248.0	389.72	376.41	339.14	297.17	299.25	237.86	403.5	1322.37	3639.7	2701.35	1143.1	825.0	718.08	5329.3	825.0	1369.04	3665.02	753.83	400.71	258.57	277.2	348.71	314.17	353.59
GPN1	629.35	785.88	813.63	1216.75	738.29	825.0	647.07	624.99	409.15	486.75	497.0	429.54	406.31	563.18	460.44	420.68	460.44	2434.5	5403.7	3955.48	1127.35	1030.12	1208.34	2537.92	1819.35	1030.12	1295.13	1427.22	872.1	825.0	928.3	1001.93	947.83	660.68
GTF3A	1594.73	1757.34	2133.97	1733.13	1508.65	1350.18	1617.0	1583.71	967.76	1359.57	1498.22	1508.65	1388.16	1407.55	1561.89	1242.34	1662.49	5112.16	4298.64	7032.37	2193.99	4972.34	6121.9	3820.7	2047.0	1883.54	2701.35	5913.33	3060.45	1540.37	1617.0	2502.97	2434.5	1519.15
HAT1	1037.29	713.11	954.43	825.0	603.67	842.36	525.39	460.44	392.44	409.15	525.39	358.54	473.41	406.31	438.59	543.96	500.46	1963.57	2351.53	1233.75	1498.22	1407.55	2701.35	2004.85	1304.15	1030.12	1259.69	1605.83	1023.0	780.44	723.08	813.63	866.07	532.74
HPRT1	995.0	366.09	866.07	934.76	329.84	373.81	320.8	356.05	543.96	417.77	819.3	483.38	387.02	473.41	525.39	450.94	521.76	2193.99	3124.78	2061.24	1417.35	967.76	1662.49	1268.46	1369.04	1561.89	1447.15	1369.04	764.36	723.08	728.11	503.95	532.74	312.0
HSP90AB1	14867.79	12329.98	15285.81	23169.48	9740.98	9945.68	9606.86	6037.61	8598.28	9025.81	11345.82	7081.29	8479.89	9151.82	8538.88	10296.45	8963.45	11345.82	14361.31	15285.81	21919.61	15499.21	21468.49	10440.2	19618.49	13681.08	17317.18	17078.76	13215.02	13586.57	10296.45	11909.94	11345.82	10368.08
HSP90B1	4937.99	4010.71	6935.54	13399.51	3060.45	6840.04	2193.99	4298.64	4802.93	4210.15	4869.99	3515.68	3257.52	4328.55	4450.27	3639.7	4481.23	7280.4	8191.0	7130.55	14971.21	13492.72	13968.57	16383.0	11345.82	17197.56	14867.79	7331.05	4298.64	5076.84	4450.27	3874.05	3874.05	3303.0
HSPA13	161.02	98.73	130.6	145.02	65.72	94.01	65.26	58.3	88.26	57.89	165.57	63.45	74.06	49.21	61.68	51.71	65.72	287.01	995.0	651.58	327.56	336.79	371.22	738.29	264.03	361.04	1963.57	242.88	62.12	84.63	78.34	60.82	52.82	74.58
HSPA5	3639.7	2178.83	3212.66	8305.36	1721.16	4836.35	1697.45	3124.78	2855.44	1662.49	2520.38	1806.78	2287.2	1639.59	2032.85	1697.45	2271.4	5441.3	5183.54	3564.78	8191.0	7485.11	6745.86	5403.7	6607.01	5711.87	5292.48	9025.81	5006.93	5954.47	4903.87	5441.3	4095.0	2935.74
HSPD1	4123.49	2956.17	4575.41	5913.33	2209.26	3103.19	2090.03	2240.11	2835.7	2816.11	3303.0	2645.74	2997.45	3515.68	2591.27	3257.52	2796.65	4298.64	7911.95	6699.25	7180.15	3614.55	4512.4	6381.92	8191.0	6887.62	6037.61	5255.91	3235.01	4181.07	3212.66	3349.13	3928.15	2835.7
HSPH1	974.5	791.35	2075.59	2609.3	733.19	718.08	656.11	902.89	1023.0	866.07	669.92	872.1	1044.52	738.29	825.0	981.29	842.36	4038.61	1233.75	915.51	2855.44	1313.23	1662.49	1639.59	2645.74	2739.08	1322.37	1561.89	1066.48	1208.34	743.43	1350.18	1583.71	884.29
HTRA2	314.17	764.36	547.75	759.08	514.56	909.17	620.67	476.71	389.72	616.37	490.14	518.15	483.38	579.04	466.88	669.92	514.56	1242.34	748.61	1407.55	642.59	1295.13	836.53	738.29	1199.98	825.0	872.1	703.28	397.93	575.03	353.59	438.59	466.88	507.46
KDELR2	2163.77	1662.49	1733.13	2956.17	1477.58	2075.59	1233.75	1350.18	1651.0	1143.1	1313.23	1685.71	1322.37	1457.23	1662.49	1096.5	2075.59	3589.58	6561.36	5076.84	3794.3	4607.24	4704.07	8901.53	6250.56	4481.23	5831.91	2591.27	1769.57	1674.06	1594.73	1697.45	1498.22	2032.85
KRT4	3.697379928E7	1.810644424E7	6140819.49	102836.01	2.276004283E7	3359929.59	3.109113511E7	256748.15	280957.98	133825.1	153724.82	331809.5	234624.45	375901.76	201440.3	177811.84	296977.71	10014.87	0.39	3.92	435.55	0.0	4450.27	133.36	15.8	6.94	1.89	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	431797.89
KRTCAP2	1883.54	4704.07	4210.15	6887.62	3372.43	3639.7	3564.78	3467.27	2591.27	3515.68	3847.29	3103.19	2682.69	3928.15	3540.14	4181.07	3491.39	7589.61	8778.97	11827.67	5831.91	7433.4	9151.82	11424.74	8538.88	7433.4	7280.4	3928.15	2335.28	3103.19	3018.3	3349.13	2537.92	3716.2
LCLAT1	206.94	129.69	185.11	199.85	101.54	128.79	53.95	51.35	75.64	67.12	69.52	73.54	59.97	80.01	73.03	62.56	94.01	153.34	255.0	148.09	255.0	100.13	154.42	166.73	212.78	201.25	155.5	164.42	218.79	128.79	133.36	126.12	239.52	58.3
MALSU1	753.83	1208.34	1427.22	2417.67	896.64	1183.45	974.5	547.75	463.65	620.67	599.49	688.78	521.76	703.28	620.67	703.28	518.15	2004.85	2835.7	1467.37	1030.12	1697.45	921.88	1733.13	1487.87	1183.45	1407.55	1561.89	974.5	819.3	902.89	1066.48	1208.34	866.07
MAP3K13	2224.63	497.0	551.56	825.0	493.56	684.02	275.28	351.14	376.41	312.0	376.41	334.46	376.41	638.15	251.48	595.34	289.02	1605.83	1977.24	2193.99	1304.15	603.67	1340.84	3874.05	848.22	2193.99	1143.1	764.36	486.75	629.35	463.65	480.04	412.0	438.59
MCTS1	1963.57	878.17	1159.07	1639.59	981.29	830.75	896.64	1378.57	808.0	819.3	688.78	808.0	651.58	890.44	836.53	941.27	921.88	1733.13	2537.92	2287.2	1340.84	1844.76	1963.57	1709.26	1397.83	1896.65	1936.53	2555.58	1350.18	1216.75	1250.98	1397.83	1259.69	974.5
MINOS1	4543.8	3768.09	4836.35	8247.98	3349.13	4575.41	3794.3	3564.78	3589.58	3303.0	3168.41	4419.52	3614.55	3419.52	4575.41	3540.14	4481.23	6699.25	10014.87	4869.99	4512.4	9151.82	5831.91	10154.69	6887.62	4836.35	4328.55	8022.41	7749.1	4298.64	4903.87	4388.98	6294.04	2537.92
MORN2	412.0	376.41	339.14	651.58	327.56	400.71	299.25	423.61	109.66	201.25	221.86	242.88	221.86	275.28	156.59	187.71	176.29	1051.79	866.07	651.58	2032.85	743.43	1322.37	1359.57	665.29	435.55	547.75	603.67	384.34	376.41	389.72	323.03	336.79	229.72
MRPL13	1191.69	934.76	1233.75	1350.18	842.36	1104.13	753.83	884.29	551.56	753.83	708.18	656.11	642.59	819.3	607.87	802.41	591.22	6337.83	4802.93	4123.49	1721.16	1662.49	1572.76	4869.99	2303.12	1487.87	3716.2	3372.43	1407.55	1119.56	1135.2	1167.14	1519.15	679.29
MRPL20	3190.46	3467.27	3665.02	4419.52	3081.75	3901.01	3212.66	2997.45	1883.54	2417.67	2400.97	2935.74	2047.0	1769.57	3168.41	2319.15	2739.08	4639.29	5219.6	5112.16	3982.99	6699.25	4181.07	4419.52	4543.8	3794.3	3372.43	5292.48	2935.74	2520.38	3212.66	4095.0	3039.3	1733.13
MRPL3	1378.57	1340.84	1844.76	2502.97	1359.57	1769.57	1104.13	808.0	902.89	1167.14	1183.45	1073.91	866.07	1119.56	981.29	1088.92	896.64	3928.15	4095.0	3372.43	2682.69	2178.83	1936.53	4639.29	3589.58	2209.26	2701.35	3901.01	1709.26	1617.0	1268.46	1508.65	1733.13	1350.18
MRPL47	947.83	981.29	1183.45	1844.76	902.89	1250.98	651.58	759.08	406.31	575.03	551.56	599.49	400.71	575.03	624.99	620.67	599.49	3443.31	2701.35	2119.22	1388.16	2956.17	2163.77	2816.11	2193.99	1883.54	2209.26	3303.0	1388.16	1259.69	1008.9	1757.34	1794.29	591.22
MRPS23	1051.79	743.43	974.5	1044.52	571.05	748.61	587.13	693.58	607.87	679.29	753.83	674.59	633.73	583.07	825.0	624.99	698.41	2682.69	8840.04	8191.0	1806.78	2287.2	1769.57	3768.09	1051.79	2303.12	2816.11	2895.31	981.29	1030.12	1183.45	1175.27	1127.35	591.22
MRPS33	2682.69	1167.14	1059.11	961.07	1135.2	1059.11	1183.45	1519.15	444.72	1183.45	575.03	884.29	638.15	1015.93	764.36	1159.07	708.18	4450.27	2835.7	4836.35	1991.0	2104.58	1794.29	2502.97	2255.7	2555.58	2335.28	4210.15	1477.58	1709.26	1628.26	2193.99	1977.24	941.27
MRPS6	1233.75	753.83	1135.2	2555.58	684.02	915.51	854.13	587.13	454.09	642.59	423.61	559.28	532.74	748.61	633.73	825.0	642.59	1745.2	4388.98	2835.7	1037.29	2255.7	2502.97	2133.97	1340.84	1923.14	2351.53	1963.57	974.5	909.17	1023.0	896.64	909.17	536.45
NSMCE1	2224.63	1508.65	1378.57	1388.16	1447.15	1199.98	1572.76	1143.1	866.07	1037.29	854.13	884.29	961.07	1030.12	988.12	1225.22	934.76	1183.45	2163.77	2240.11	1674.06	2591.27	1519.15	1073.91	1963.57	1844.76	1066.48	2163.77	1457.23	1259.69	1639.59	1340.84	1605.83	1322.37
NTPCR	1605.83	785.88	791.35	1008.9	947.83	775.05	764.36	1066.48	329.84	743.43	647.07	638.15	651.58	718.08	728.11	909.17	595.34	2875.3	3235.01	2835.7	1199.98	1519.15	1721.16	2163.77	981.29	2018.8	961.07	2915.45	854.13	1015.93	967.76	947.83	1208.34	563.18
NUTF2	2090.03	2591.27	3039.3	3491.39	2090.03	2645.74	1870.53	1313.23	1008.9	1277.29	1208.34	1487.87	896.64	1135.2	1350.18	1561.89	1304.15	5711.87	8718.32	3820.7	3081.75	4937.99	5329.3	3742.05	2682.69	3372.43	2777.33	3395.89	2224.63	2451.44	2133.97	2163.77	2287.2	1685.71
OST4	7230.1	8247.98	7280.4	8598.28	8247.98	10014.87	8247.98	4639.29	3690.52	5041.77	2956.17	4972.34	3540.14	7433.4	5041.77	8078.22	4903.87	17558.94	32092.64	19214.73	9740.98	15075.35	19082.0	25354.3	11992.79	13033.07	14163.58	14561.8	6745.86	7642.41	7032.37	6516.03	6792.79	11267.44
OSTC	2485.67	1143.1	1819.35	1697.45	1127.35	1733.13	1286.18	1628.26	1819.35	1397.83	1369.04	1651.0	1407.55	1540.37	1769.57	1208.34	1733.13	6294.04	18560.17	10225.32	2451.44	6037.61	6207.38	14867.79	2997.45	3491.39	7433.4	4152.18	1781.89	1583.71	1757.34	1832.01	1844.76	1331.57
PAIP1	884.29	1304.15	2209.26	1950.0	1044.52	1059.11	1008.9	579.04	532.74	583.07	780.44	607.87	660.68	830.75	551.56	967.76	555.41	4358.66	4388.98	1883.54	4512.4	1806.78	3491.39	3794.3	2520.38	1757.34	3190.46	2895.31	1008.9	1191.69	1023.0	1304.15	1191.69	1119.56
PANX1	162.14	148.09	191.67	412.0	111.21	181.28	134.3	45.85	120.94	69.52	157.68	76.71	169.07	72.52	80.01	73.54	73.03	373.81	287.01	228.13	567.1	218.79	358.54	218.79	567.1	647.07	376.41	450.94	199.85	224.97	205.5	169.07	169.07	94.67
PFDN6	1233.75	2193.99	2384.37	3212.66	2061.24	2591.27	1437.15	860.08	1119.56	1498.22	1286.18	1467.37	1143.1	1216.75	1832.01	1594.73	1909.85	3257.52	3018.3	2701.35	2682.69	2855.44	2739.08	2777.33	2915.45	3039.3	2384.37	3564.78	1936.53	1963.57	1378.57	1651.0	2303.12	988.12
PHB	2367.9	3639.7	3690.52	4010.71	2855.44	4239.45	2573.36	2061.24	2032.85	2701.35	1883.54	2335.28	1721.16	2032.85	2701.35	2816.11	2193.99	6037.61	9025.81	7485.11	4123.49	8022.41	6037.61	3372.43	2835.7	7749.1	4419.52	3325.99	2434.5	3168.41	2287.2	3124.78	2178.83	2351.53
PIGU	587.13	579.04	490.14	866.07	412.0	688.78	432.53	389.72	454.09	470.14	320.8	444.72	406.31	435.55	571.05	444.72	616.37	1561.89	624.99	518.15	718.08	785.88	1397.83	1388.16	651.58	830.75	612.11	753.83	934.76	769.69	708.18	1051.79	698.41	500.46
PLOD1	438.59	808.0	1794.29	1286.18	409.15	1268.46	555.41	376.41	500.46	450.94	423.61	547.75	480.04	848.22	507.46	660.68	514.56	1216.75	1268.46	2287.2	3901.01	3690.52	3742.05	3564.78	2485.67	7911.95	4152.18	665.29	289.02	854.13	441.64	656.11	237.86	595.34
POLR2G	1923.14	2061.24	3060.45	3589.58	1991.0	2351.53	1733.13	1242.34	1427.22	1745.2	1685.71	1286.18	1015.93	1277.29	1870.53	1359.57	1639.59	9673.69	6079.61	4769.75	2935.74	4388.98	3491.39	6164.49	2319.15	3039.3	4268.94	2956.17	1857.6	1508.65	2255.7	1617.0	1991.0	1183.45
PPIH	1427.22	1081.39	1628.26	2468.49	902.89	1277.29	718.08	518.15	532.74	1104.13	825.0	921.88	733.19	624.99	848.22	981.29	878.17	2400.97	3395.89	2739.08	1259.69	1519.15	1199.98	2537.92	1883.54	1709.26	1950.0	1151.06	1350.18	769.69	848.22	587.13	884.29	733.19
PPIL1	718.08	521.76	607.87	656.11	493.56	547.75	381.68	356.05	312.0	447.82	320.8	397.93	256.78	273.37	346.29	361.04	289.02	1832.01	4388.98	1991.0	1030.12	941.27	1037.29	2032.85	521.76	813.63	1225.22	1331.57	679.29	660.68	703.28	1104.13	684.02	363.56
