	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
R3HCC1L	236.21	218.79	198.47	190.34	167.9	249.73	158.79	162.14	138.1	138.1	38.95	36.01	0.0	46.18	69.52
RAD18	236.21	361.04	283.05	293.07	220.32	265.87	205.5	96.68	151.22	158.79	33.54	30.56	273.37	70.01	83.45
RETSAT	1639.59	1819.35	1561.89	1651.0	1059.11	1936.53	1081.39	1832.01	934.76	1561.89	325.29	2193.99	0.0	988.12	234.57
RLIM	444.72	669.92	480.04	371.22	438.59	403.5	281.09	197.09	358.54	241.19	59.13	51.35	214.27	127.89	145.02
RNF19A	1397.83	1369.04	974.5	1697.45	842.36	1407.55	395.18	395.18	368.65	514.56	237.86	166.73	0.0	400.71	320.8
RWDD2A	231.32	159.9	193.01	158.79	151.22	181.28	80.57	145.02	140.04	116.78	54.33	37.32	0.0	72.52	50.63
SATL1	29.48	23.42	29.91	27.44	25.72	27.05	21.63	13.83	19.11	22.75	16.03	11.3	0.0	5.41	1.5
SCGB2A2	1800541.22	262143.0	1318073.06	919186.72	1163466.92	2279047.19	1422501.74	8805660.77	1578364.61	1187913.85	0.0	0.0	0.0	0.0	0.0
SEPT8	1250.98	896.64	1191.69	1191.69	1037.29	1388.16	698.41	450.94	551.56	872.1	116.78	134.3	0.0	346.29	155.5
SLU7	1073.91	988.12	718.08	1008.9	1088.92	1104.13	775.05	791.35	642.59	551.56	595.34	75.11	507.46	392.44	381.68
SMIM15	1806.78	1857.6	1529.73	1639.59	1417.35	1709.26	1388.16	769.69	1233.75	1397.83	483.38	559.28	0.0	1313.23	665.29
TMEM209	384.34	571.05	392.44	420.68	403.5	420.68	241.19	277.2	271.48	334.46	127.0	66.18	301.33	381.68	116.78
TNPO3	579.04	780.44	555.41	547.75	587.13	688.78	483.38	325.29	460.44	444.72	42.71	166.73	0.0	371.22	112.77
TOPBP1	486.75	595.34	384.34	403.5	376.41	599.49	392.44	309.83	384.34	265.87	53.19	41.22	0.0	176.29	150.17
TP53BP1	775.05	819.3	684.02	775.05	684.02	890.44	607.87	591.22	463.65	547.75	90.14	73.03	0.0	153.34	117.6
TP53INP1	1242.34	2004.85	775.05	1313.23	1111.82	1225.22	423.61	486.75	248.0	629.35	55.89	525.39	0.0	129.69	159.9
TRNT1	521.76	480.04	392.44	559.28	392.44	607.87	325.29	283.05	236.21	406.31	358.54	111.21	0.0	248.0	256.78
TTC3	2384.37	4388.98	2400.97	2627.46	1909.85	3103.19	1369.04	1304.15	967.76	1594.73	209.84	82.87	0.0	256.78	77.79
TTF1	332.14	301.33	265.87	316.37	323.03	373.81	234.57	348.71	253.23	165.57	64.34	68.55	0.0	228.13	185.11
TXLNB	76.71	165.57	55.89	108.9	82.29	131.51	14.89	56.68	38.4	20.26	1.16	2.39	0.0	2.97	1.28
UBXN2B	503.95	511.0	450.94	466.88	307.69	514.56	299.25	303.44	295.11	332.14	332.14	102.25	193.01	109.66	108.9
UCP3	31.45	14.24	14.56	18.29	17.25	21.94	7.11	26.86	16.27	12.27	5.92	1.19	0.0	6.46	0.0
UPF3B	218.79	181.28	161.02	145.02	128.79	209.84	151.22	239.52	150.17	111.21	12.27	8.19	0.0	65.72	44.89
USP51	44.25	64.34	36.79	47.17	23.76	63.45	36.01	22.75	15.68	46.84	16.27	2.51	0.0	2.01	2.36
USP54	500.46	563.18	563.18	599.49	497.0	728.11	406.31	373.81	366.09	303.44	56.68	36.79	0.0	177.53	31.45
VANGL2	563.18	412.0	387.02	559.28	463.65	603.67	209.84	4.03	20.86	412.0	3.14	5.02	0.0	96.01	15.22
WASL	1008.9	1151.06	961.07	1551.09	934.76	1498.22	620.67	713.11	507.46	909.17	848.22	258.57	332.14	819.3	223.41
WDR20	356.05	529.06	503.95	500.46	500.46	595.34	341.51	358.54	379.04	426.57	320.8	138.1	0.0	283.05	297.17
ZBED3	127.89	101.54	120.1	226.54	173.85	186.4	67.12	105.15	47.5	112.77	31.9	176.29	0.0	32.36	4.58
ZBTB33	532.74	607.87	423.61	400.71	420.68	450.94	223.41	229.72	218.79	251.48	80.57	87.03	0.0	113.56	124.37
ZFP62	775.05	947.83	660.68	651.58	511.0	872.1	384.34	389.72	376.41	454.09	363.56	70.01	0.0	325.29	118.43
ZFR	1008.9	1225.22	1096.5	1242.34	909.17	1417.35	909.17	848.22	860.08	860.08	698.41	148.09	884.29	599.49	493.56
ZMYM3	291.04	547.75	301.33	406.31	353.59	432.53	251.48	197.09	260.38	242.88	38.12	136.19	0.0	255.0	68.07
ZNF317	559.28	497.0	426.57	400.71	536.45	603.67	476.71	460.44	514.56	371.22	287.01	231.32	0.0	435.55	234.57
ZNF41	167.9	162.14	189.02	167.9	159.9	189.02	91.41	90.14	136.19	143.01	28.45	13.52	0.0	40.07	18.56
ZNF736	105.15	361.04	187.71	142.01	206.94	193.01	70.01	125.24	52.08	58.3	64.8	8.06	92.05	90.14	5.23
ZNF765	157.68	171.45	149.12	115.97	140.04	158.79	86.43	94.01	136.19	108.14	117.6	5.68	0.0	61.25	35.0
