	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AC.A2QI.01A.12R.A19W.07	TCGA.A8.A07P.01A.11R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.XUJ4.1026.SM.4BOPB	GTEX.PLZ5.0926.SM.3TW8L	TCGA.HD.A6HZ.01A.12R.A31N.07	TCGA.38.4625.01A.01R.1206.07	TCGA.56.6545.01A.11R.1820.07	TCGA.34.5928.01A.11R.1820.07
SERPINB5	483.38	3.06	34.51	11.91	1825675.85	1589343.01	2777.33	2816.11	7537.18	0.0	1037.29	848.22
SLC12A6	145.02	59.97	143.01	62.56	7966.99	1757.34	825.0	633.73	353.59	0.0	241.19	187.71
SLC9A3	6.16	1.07	0.74	1.14	115.97	185.11	301.33	84.63	28.45	0.0	6.01	12.09
SPINK5	11.47	0.96	3.38	2.32	1997825.68	726195.27	13492.72	14765.09	406.31	0.0	51.71	29.48
SPINK6	6.36	0.0	0.0	1.06	3576208.94	177811.84	16.27	1.75	651.58	0.0	26.1	1.43
SPINK7	0.0	0.0	0.0	0.0	288856.81	360589.03	15075.35	8191.0	146.03	0.0	35.76	1.36
SPRR1A	26.28	0.0	8.38	0.0	2.4530476105E8	9.690044701E7	184082.4	117311.73	53973.86	0.0	287.01	173.85
SPRR2A	1.97	0.0	1.07	0.0	1.0677509839E8	2.356267404E7	181548.07	79572.48	10959.3	0.0	1295.13	214.27
SPRR2D	7.46	0.0	1.04	0.0	6.572778255E7	2.525384881E7	112532.89	30361.44	3235.01	0.0	346.29	102.97
SPRR2E	6.36	0.0	3.29	0.0	3.522264608E7	1645391.11	80683.28	52135.28	5329.3	0.0	161.02	35.5
SPRR2F	0.0	0.0	0.87	0.0	6516.03	397335.0	46662.28	3235.01	271.48	0.0	28.86	4.94
SPRR2G	1.95	0.0	0.0	0.0	37639.55	299.25	665.29	323.03	2485.67	0.0	147.06	14.67
TKT	2384.37	1883.54	1870.53	3540.14	22225.61	14065.74	10154.69	9808.75	5076.84	0.0	3124.78	3716.2
TNS4	432.53	1331.57	100.83	57.08	299043.36	1055868.42	1896.65	1617.0	3901.01	94.67	540.19	536.45
TREX2	17.51	0.0	7.46	1.95	93.35	283.05	85.82	30.12	35.76	0.0	6.01	9.78
TRIM29	1487.87	32.36	262.2	55.89	1212874.47	1656835.72	23009.42	19618.49	16045.82	0.0	4298.64	4607.24
XDH	18.03	4.13	14.78	13.03	2796.65	551.56	1030.12	273.37	138.1	0.0	27.84	30.78
