	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
CBL	100.13	128.79	82.29	49.56	64.8	15.8	47.5	34.51	60.39	38.12	26.1	38.12	30.56	37.59	21.01	23.93	14.78	31.0	66.18	38.95	17.9	28.04	92.7	22.1	21.63	14.67	37.59	10.55	24.99	36.79	28.24	11.73	30.34	146.03	187.71	78.89	157.68	95.34	155.5	102.97	147.06	163.28	80.01	155.5	167.9	108.9	66.18	190.34	90.14
CCDC114	10.0	2.16	3.69	7.46	45.85	1.73	9.48	0.0	1.35	0.0	0.92	4.5	8.32	2.68	2.25	36.01	4.7	2.32	5.87	1.3	5.11	3.32	2.25	1.41	1.27	3.17	0.39	1.39	3.11	4.1	6.21	15.45	0.0	111.21	20.41	27.84	16.39	44.89	536.45	81.71	59.97	142.01	223.41	186.4	50.27	217.27	20.71	154.42	43.63
CST6	80.57	53.95	14.45	12.93	37.85	0.0	20.11	7.34	0.0	7.63	3.08	2.51	1.64	0.0	2.73	0.0	0.0	0.0	8.71	1.46	1.91	0.0	30.34	4.58	56.28	13.93	0.0	0.0	2.92	0.0	0.0	0.0	1.22	255.0	629.35	397.93	46.5	1096.5	152.28	299.25	521.76	100.83	909.17	1397.83	3212.66	703.28	74.58	3443.31	540.19
CTXN1	246.28	154.42	320.8	295.11	115.97	0.0	14.89	13.62	8.58	5.92	4.86	25.72	37.85	1.31	3.11	4.13	3.35	5.63	28.04	11.55	11.04	7.4	33.3	1.13	2.23	1.55	5.59	3.0	2.73	9.85	16.39	0.88	0.0	190.34	36.01	52.82	120.94	82.87	438.59	88.26	93.35	232.94	215.77	171.45	155.5	112.77	20.41	301.33	111.21
CYBA	27363.16	24660.96	17927.91	30572.63	16383.0	316.37	2502.97	1268.46	587.13	3039.3	1572.76	10225.32	2682.69	5219.6	1605.83	299.25	202.66	607.87	3280.18	423.61	8134.41	830.75	8022.41	381.68	1561.89	305.55	3491.39	525.39	1268.46	1233.75	3303.0	1685.71	1322.37	9540.5	11345.82	11504.21	13399.51	16727.26	29943.43	37901.36	14065.74	24490.61	33922.56	11584.24	24832.5	13681.08	17197.56	24660.96	10733.74
DDX26B	74.06	93.35	35.25	20.86	31.22	2.43	53.57	16.51	15.34	13.62	5.5	27.25	29.27	8.71	19.39	2.89	5.54	4.54	66.18	5.73	5.19	9.06	68.07	7.4	6.84	20.26	17.64	4.35	13.03	12.0	11.55	8.19	6.52	228.13	171.45	67.59	75.64	177.53	208.38	92.05	126.12	63.0	76.71	112.77	122.64	112.77	73.03	139.07	130.6
ELF4	226.54	295.11	239.52	205.5	90.77	8.19	57.49	43.94	56.68	41.81	21.63	108.9	43.63	18.03	19.11	24.28	8.78	19.39	70.01	19.11	10.0	22.59	148.09	11.38	11.04	12.64	54.33	4.7	25.35	32.36	61.25	43.63	27.25	409.15	376.41	271.48	406.31	195.72	417.77	253.23	244.57	934.76	283.05	1111.82	267.73	318.57	417.77	327.56	271.48
FAM105A	224.97	307.69	81.14	68.55	135.24	5.73	73.03	25.54	17.9	43.63	28.04	93.35	29.48	8.92	27.64	3.63	5.96	4.13	44.89	6.78	10.47	12.09	149.12	6.21	5.73	10.16	28.86	6.78	5.63	16.39	44.25	10.31	18.84	255.0	503.95	656.11	187.71	283.05	438.59	1407.55	346.29	409.15	318.57	587.13	493.56	1561.89	1359.57	738.29	521.76
FAM227A	12.64	1.31	5.06	4.9	14.14	0.0	5.5	0.72	5.11	1.5	0.71	2.81	0.0	0.0	1.06	0.73	0.62	0.0	7.17	8.58	1.23	0.0	3.08	0.0	0.32	0.46	3.63	0.0	0.67	0.0	0.13	0.0	7.51	82.29	20.41	4.98	31.45	16.03	39.79	6.62	9.48	23.76	49.21	24.46	7.82	21.78	2.32	24.63	12.74
FAM27E3	48.87	17.0	26.47	14.56	69.52	0.0	15.8	3.06	5.45	4.1	0.0	13.22	2.94	0.0	5.36	13.62	7.22	10.08	11.64	3.5	24.28	7.57	4.94	0.0	0.16	3.03	1.51	2.46	4.17	10.47	6.11	1.08	1.81	32.82	34.26	6.84	31.9	48.52	49.56	14.56	11.47	8.45	19.53	18.56	18.7	6.67	12.74	42.41	25.35
FAR1	343.89	262.2	162.14	51.35	125.24	15.68	68.55	46.5	28.04	35.76	22.43	39.22	43.32	33.3	23.76	9.48	10.88	18.03	98.73	33.78	7.63	30.34	159.9	19.68	24.11	22.59	50.98	16.63	48.87	16.27	45.85	36.01	30.56	447.82	518.15	466.88	395.18	429.54	336.79	281.09	476.71	412.0	129.69	718.08	397.93	258.57	283.05	363.56	447.82
FHOD1	447.82	684.02	389.72	406.31	518.15	86.43	361.04	249.73	134.3	134.3	114.36	265.87	202.66	78.89	176.29	61.25	85.22	82.29	329.84	80.57	148.09	149.12	483.38	48.52	80.01	73.03	260.38	66.65	142.01	108.9	141.02	110.43	57.89	890.44	1963.57	791.35	1081.39	3212.66	2104.58	1023.0	802.41	490.14	514.56	1388.16	1794.29	988.12	764.36	1617.0	1477.58
FTL	1422501.74	1355129.16	998912.34	1422501.74	610654.84	466008.55	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	906531.99	1393227.06	1055868.42	691801.16	1514068.5	1100706.72	857631.47	1147449.11	1493223.86	925580.18	881742.8	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	906531.99	2326934.84	358098.26	998912.34	1204496.53	1336472.68	945028.61	614902.29	971597.0	875652.15	932018.1	1327240.99	499455.67	741454.2	900270.11	1179708.33	762299.34	971597.0
FZD2	228.13	325.29	165.57	162.14	58.3	0.74	29.06	15.45	8.45	10.71	9.48	23.25	25.91	3.89	14.56	1.73	1.39	1.51	26.47	2.43	5.45	8.19	52.45	9.85	2.36	1.16	4.86	3.29	4.7	8.38	17.25	3.38	8.25	271.48	146.03	68.55	221.86	314.17	209.84	111.21	237.86	35.76	265.87	115.97	190.34	115.16	27.44	226.54	111.99
GALNT6	136.19	242.88	97.36	124.37	87.65	6.26	29.27	18.29	14.56	14.56	17.0	28.45	16.51	6.78	6.84	4.62	4.03	5.06	20.71	8.58	3.17	7.94	123.5	22.59	7.06	14.03	45.85	13.52	4.58	10.71	33.3	29.06	4.58	583.07	221.86	107.38	190.34	166.73	371.22	305.55	180.02	327.56	256.78	988.12	190.34	381.68	703.28	255.0	143.01
GALNT7	189.02	164.42	172.65	101.54	175.07	5.41	29.48	23.08	91.41	15.0	12.64	49.91	17.38	4.9	8.25	7.06	3.11	4.98	30.12	12.0	3.35	8.71	81.14	6.73	26.1	8.92	19.68	0.44	13.42	6.26	18.16	7.75	9.13	409.15	289.02	212.78	309.83	228.13	170.25	265.87	271.48	102.97	108.9	176.29	147.06	167.9	163.28	237.86	229.72
GMIP	384.34	547.75	309.83	457.25	150.17	48.87	163.28	96.68	96.01	159.9	69.52	189.02	128.79	84.63	89.51	63.45	87.03	45.53	189.02	64.34	76.17	92.7	373.81	92.05	79.45	26.28	145.02	53.95	96.68	95.34	120.94	58.3	94.01	529.06	629.35	384.34	599.49	373.81	928.3	629.35	412.0	563.18	878.17	684.02	796.86	674.59	703.28	503.95	463.65
HDAC7	830.75	1008.9	896.64	753.83	384.34	95.34	438.59	376.41	334.46	454.09	193.01	595.34	241.19	176.29	361.04	260.38	151.22	206.94	674.59	236.21	221.86	269.6	603.67	108.14	157.68	104.42	285.03	85.22	162.14	147.06	212.78	91.41	85.82	1397.83	1594.73	718.08	1030.12	921.88	1250.98	679.29	1286.18	1477.58	1037.29	2075.59	1216.75	1167.14	1519.15	1572.76	1259.69
HOXB4	68.07	48.87	76.17	28.24	46.84	1.53	18.56	17.51	3.76	9.63	5.15	4.54	11.82	7.06	10.24	4.86	5.87	2.94	30.78	6.06	9.34	5.23	33.78	6.67	5.15	5.73	12.74	4.54	6.94	15.8	12.09	4.62	10.79	108.14	35.25	26.1	42.71	48.18	64.8	15.34	89.51	54.33	37.59	111.21	161.02	28.24	41.81	61.68	35.76
HOXB5	68.07	40.07	57.49	59.13	51.71	5.59	10.88	10.08	2.86	9.56	1.48	2.92	6.78	21.47	5.77	1.07	4.46	8.58	10.39	10.96	23.08	3.79	15.8	1.39	1.91	4.35	2.78	10.96	6.57	15.56	19.53	10.63	8.65	170.25	68.07	48.52	101.54	159.9	105.15	100.13	127.89	134.3	52.45	187.71	156.59	36.01	48.18	117.6	87.65
HOXB6	124.37	95.34	142.01	97.36	94.67	2.73	11.55	10.71	3.99	8.71	9.34	12.27	15.22	53.19	15.8	3.35	6.11	3.69	10.63	5.28	108.14	9.06	22.92	0.73	8.19	1.93	34.02	11.3	3.35	9.41	42.41	18.7	31.9	258.57	75.11	56.28	189.02	172.65	105.89	70.01	111.21	105.89	92.05	102.25	444.72	62.12	58.3	94.01	111.99
LPCAT4	536.45	563.18	476.71	327.56	872.1	32.13	251.48	107.38	205.5	215.77	54.33	316.37	232.94	52.82	170.25	141.02	75.11	142.01	221.86	81.14	166.73	146.03	435.55	76.17	76.71	75.11	297.17	54.33	141.02	127.0	45.21	55.89	93.35	764.36	708.18	291.04	708.18	848.22	679.29	343.89	884.29	376.41	603.67	1191.69	1059.11	642.59	669.92	769.69	457.25
LPPR3	1.11	13.72	3.17	2.94	13.52	0.0	1.39	0.0	7.06	0.0	0.92	0.75	0.0	0.0	0.82	0.0	0.0	0.84	0.49	0.0	0.38	0.0	2.58	0.0	0.85	0.0	1.28	0.0	0.0	0.0	1.93	0.93	1.48	33.78	6.26	24.11	6.62	22.75	150.17	49.91	21.78	53.19	44.25	53.57	41.22	48.52	21.47	53.57	19.25
MAP1A	41.81	115.97	75.11	51.35	90.14	1.0	16.88	16.63	7.51	9.7	2.92	4.43	9.34	1.22	5.59	3.06	1.73	2.27	25.91	4.03	3.06	5.54	32.36	0.39	1.36	1.71	6.01	0.08	2.41	3.06	8.51	1.0	1.35	110.43	30.56	26.28	486.75	53.57	100.83	13.72	84.04	81.71	170.25	92.05	34.26	53.57	28.45	56.28	63.89
MAP7D1	2148.82	2875.3	1617.0	2004.85	1051.79	271.48	941.27	688.78	698.41	785.88	473.41	941.27	728.11	343.89	423.61	346.29	728.11	536.45	854.13	743.43	934.76	320.8	1561.89	299.25	239.52	253.23	733.19	251.48	490.14	384.34	323.03	281.09	205.5	2468.49	2502.97	1605.83	3768.09	2682.69	1857.6	2119.22	1628.26	2148.82	3419.52	3665.02	2018.8	1697.45	1819.35	2835.7	2451.44
MARVELD1	444.72	947.83	780.44	656.11	256.78	16.51	159.9	111.21	35.5	119.26	35.5	209.84	74.06	18.29	57.89	23.93	22.75	21.78	128.79	23.08	36.53	57.49	346.29	19.82	59.55	32.13	56.68	40.07	53.57	38.67	66.18	56.28	70.51	665.29	684.02	759.08	1662.49	872.1	1081.39	947.83	1447.15	679.29	954.43	902.89	1806.78	941.27	769.69	1322.37	848.22
MGAT5B	0.78	4.28	1.87	11.55	9.93	0.0	0.0	7.94	0.0	2.34	0.0	0.78	0.93	3.29	1.95	0.0	0.45	1.25	7.94	11.04	0.71	2.07	6.52	2.07	0.6	1.93	1.89	0.65	1.62	0.0	2.78	0.0	0.13	29.7	14.56	5.54	16.51	31.9	65.72	30.34	16.51	9.06	8.65	9.7	49.91	11.04	17.64	117.6	6.62
MICAL1	941.27	1135.2	412.0	532.74	246.28	31.0	387.02	152.28	376.41	190.34	98.73	334.46	269.6	74.06	180.02	74.06	43.32	73.03	454.09	70.01	120.94	164.42	896.64	48.87	48.87	25.91	633.73	22.26	65.72	73.03	45.85	66.65	24.63	896.64	2303.12	559.28	1183.45	1175.27	2133.97	2032.85	890.44	1781.89	1617.0	2133.97	2573.36	2193.99	1467.37	2104.58	890.44
NDRG4	194.36	130.6	387.02	318.57	148.09	17.38	21.47	19.97	22.1	8.78	24.28	35.76	8.58	8.51	11.04	20.41	7.06	12.18	21.94	8.85	4.39	12.09	63.0	11.04	5.19	12.0	51.35	67.59	30.78	14.45	28.45	56.28	19.97	100.13	262.2	147.06	131.51	87.65	244.57	166.73	144.01	400.71	25.17	379.04	348.71	651.58	3257.52	587.13	138.1
NOTCH1	163.28	248.0	100.13	181.28	297.17	52.45	187.71	126.12	74.06	95.34	70.01	63.45	89.51	144.01	67.59	73.54	59.13	70.51	182.55	92.7	31.0	74.58	208.38	71.5	43.94	194.36	85.82	23.25	74.06	127.89	136.19	80.01	133.36	283.05	432.53	156.59	198.47	187.71	559.28	341.51	105.89	269.6	140.04	417.77	264.03	1096.5	155.5	387.02	269.6
NPDC1	684.02	1508.65	1639.59	2627.46	2303.12	156.59	579.04	638.15	128.79	371.22	234.57	255.0	429.54	173.85	591.22	255.0	190.34	194.36	1088.92	136.19	185.11	435.55	825.0	134.3	392.44	242.88	1199.98	232.94	332.14	236.21	532.74	141.02	325.29	713.11	1685.71	813.63	674.59	1870.53	2468.49	1417.35	1477.58	1685.71	1051.79	954.43	7966.99	1331.57	656.11	4512.4	1757.34
NUDT3	190.34	228.13	111.21	138.1	195.72	120.94	111.99	117.6	116.78	202.66	89.51	158.79	124.37	83.45	153.34	123.5	153.34	95.34	150.17	156.59	163.28	151.22	175.07	139.07	70.01	110.43	73.54	129.69	98.73	80.01	117.6	74.58	111.99	237.86	242.88	153.34	229.72	279.14	285.03	191.67	201.25	178.77	152.28	255.0	281.09	148.09	124.37	327.56	197.09
OBFC1	336.79	406.31	417.77	239.52	450.94	180.02	229.72	329.84	135.24	258.57	251.48	226.54	197.09	223.41	273.37	134.3	105.89	295.11	214.27	198.47	279.14	249.73	323.03	199.85	205.5	214.27	381.68	327.56	183.82	231.32	301.33	194.36	234.57	518.15	669.92	896.64	423.61	532.74	555.41	607.87	780.44	518.15	429.54	764.36	493.56	967.76	684.02	728.11	988.12
ORAI2	567.1	595.34	507.46	514.56	616.37	16.03	50.63	54.72	89.51	51.71	19.68	131.51	63.0	19.53	39.79	25.54	14.78	27.64	119.26	19.11	17.64	21.01	169.07	26.67	13.12	15.8	53.19	10.08	20.56	34.26	35.5	68.07	73.03	607.87	239.52	173.85	1277.29	305.55	400.71	389.72	435.55	457.25	346.29	277.2	256.78	264.03	194.36	221.86	312.0
PACS2	896.64	1340.84	921.88	1277.29	1159.07	356.05	723.08	540.19	353.59	497.0	473.41	884.29	307.69	633.73	607.87	848.22	733.19	438.59	915.51	476.71	693.58	624.99	764.36	343.89	291.04	223.41	540.19	293.07	291.04	241.19	181.28	457.25	171.45	759.08	1286.18	595.34	967.76	1119.56	1225.22	1030.12	830.75	633.73	921.88	1304.15	1936.53	1369.04	769.69	1286.18	753.83
PHLDB1	660.68	1001.93	909.17	514.56	612.11	41.52	281.09	299.25	206.94	208.38	64.8	392.44	123.5	81.14	114.36	88.88	107.38	73.03	373.81	94.01	149.12	141.02	567.1	49.21	231.32	94.01	156.59	57.89	93.35	46.18	87.03	93.35	38.67	780.44	1233.75	476.71	1313.23	1359.57	633.73	616.37	1044.52	1662.49	536.45	2032.85	403.5	718.08	1191.69	1199.98	769.69
PPP1R9B	1242.34	1617.0	1015.93	1216.75	435.55	68.55	361.04	241.19	190.34	323.03	127.89	309.83	236.21	145.02	191.67	273.37	75.64	381.68	412.0	389.72	226.54	339.14	642.59	92.05	113.56	287.01	591.22	209.84	226.54	224.97	373.81	297.17	246.28	1023.0	1167.14	551.56	1037.29	1135.2	909.17	665.29	656.11	981.29	830.75	1561.89	633.73	753.83	684.02	988.12	688.78
PPP4R1L	204.07	65.72	49.56	45.53	182.55	25.91	25.17	21.32	33.78	61.25	12.18	51.71	15.45	1.87	6.06	13.72	40.64	16.27	53.19	14.14	9.2	17.64	64.8	27.25	19.97	10.47	62.12	8.71	12.09	14.78	9.48	8.71	15.68	118.43	149.12	58.71	121.79	75.11	100.83	44.57	143.01	332.14	72.52	205.5	145.02	53.95	111.21	142.01	102.97
PRKAR2B	66.18	53.95	58.3	12.74	72.01	2.63	32.59	12.0	6.26	15.11	1.45	82.87	7.94	66.65	6.16	0.61	0.0	0.56	13.52	2.34	2.25	3.99	75.11	11.73	36.01	37.32	15.45	14.35	16.63	8.32	32.82	32.36	21.63	122.64	93.35	142.01	68.55	77.25	187.71	262.2	109.66	291.04	53.95	120.94	126.12	171.45	878.17	110.43	133.36
RALGDS	713.11	995.0	450.94	532.74	521.76	108.9	603.67	332.14	163.28	348.71	253.23	320.8	373.81	262.2	232.94	118.43	167.9	312.0	718.08	202.66	169.07	301.33	688.78	271.48	1594.73	161.02	186.4	136.19	139.07	158.79	172.65	173.85	127.0	1183.45	1936.53	909.17	961.07	1088.92	1781.89	738.29	1073.91	2777.33	1388.16	1745.2	1250.98	1963.57	961.07	1508.65	1295.13
RASA4	780.44	954.43	264.03	723.08	718.08	42.41	305.55	236.21	118.43	95.34	114.36	438.59	397.93	435.55	172.65	34.51	255.0	65.72	348.71	43.63	164.42	289.02	638.15	74.06	92.7	211.31	155.5	58.3	113.56	36.27	231.32	287.01	19.11	791.35	753.83	368.65	454.09	656.11	1096.5	353.59	414.87	1340.84	486.75	1605.83	921.88	688.78	518.15	389.72	698.41
RASA4B	154.42	679.29	108.14	239.52	256.78	0.0	84.04	41.22	51.35	45.53	42.11	56.68	134.3	121.79	33.06	22.26	114.36	42.11	164.42	36.27	45.21	92.05	351.14	24.11	40.07	40.64	73.03	6.31	56.28	32.59	180.02	171.45	59.97	277.2	318.57	269.6	279.14	525.39	743.43	176.29	185.11	1001.93	381.68	669.92	738.29	346.29	303.44	223.41	336.79
SAMD11	159.9	279.14	54.33	15.11	305.55	2.03	34.26	13.03	8.32	12.18	1.36	8.92	13.72	8.99	22.26	3.44	1.6	1.71	91.41	0.78	33.3	18.97	47.84	9.78	53.95	20.71	183.82	50.27	24.46	157.68	49.56	36.01	31.9	45.21	121.79	49.21	909.17	703.28	133.36	39.22	529.06	45.21	115.97	68.55	140.04	82.29	144.01	248.0	130.6
