	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07
CCNT1	95.34	74.58	299.25	206.94	346.29	293.07	157.68	195.72	209.84	366.09	205.5	151.22	141.02	161.02	166.73	124.37	107.38	193.01	244.57	320.8	178.77	211.31	244.57	281.09	267.73	194.36	295.11	122.64	236.21	143.01	293.07	341.51	244.57	119.26	221.86	129.69	223.41	167.9	291.04	173.85	289.02	303.44	260.38	249.73	228.13	429.54	579.04	214.27	265.87	198.47	309.83	195.72	339.14	318.57	175.07	208.38	129.69	186.4	138.1	221.86	198.47	171.45	269.6	305.55	221.86	220.32	457.25	239.52	281.09	223.41	323.03	135.24	151.22	236.21	193.01	234.57	194.36	373.81	265.87	128.79	108.9	155.5	97.36	78.34	62.56	50.63	59.97	68.07	66.65	74.06	70.51	55.89	67.12	84.63	62.12	84.04	56.68	52.82	67.12	63.0	63.45	39.5	81.14	96.68	92.7	64.8	59.55	66.65	38.67	62.56	87.65	81.71
CEP97	18.56	53.57	155.5	90.14	143.01	156.59	70.51	72.52	218.79	107.38	72.52	96.68	48.87	97.36	50.27	150.17	44.25	72.01	134.3	165.57	103.69	47.17	97.36	166.73	77.25	58.3	129.69	56.68	128.79	73.03	114.36	140.04	78.34	39.79	80.57	84.63	72.01	81.14	105.89	79.45	102.97	113.56	107.38	113.56	111.99	178.77	181.28	94.67	84.63	147.06	126.12	50.27	246.28	137.14	53.19	65.72	90.77	102.25	31.0	154.42	65.26	42.11	46.84	158.79	55.89	106.63	137.14	149.12	167.9	70.51	72.01	57.49	46.5	108.9	107.38	68.07	185.11	142.01	100.83	98.73	42.71	69.52	19.68	15.22	12.27	16.39	8.58	14.14	12.27	7.06	15.68	7.11	10.16	28.45	24.46	17.25	12.27	8.13	8.92	11.82	10.55	12.93	20.41	13.12	20.71	14.56	15.8	12.64	3.66	10.55	11.38	15.0
CHD9	139.07	124.37	271.48	384.34	175.07	376.41	149.12	182.55	186.4	195.72	129.69	59.13	255.0	409.15	120.1	214.27	156.59	218.79	224.97	460.44	166.73	171.45	183.82	224.97	246.28	138.1	124.37	77.79	234.57	175.07	167.9	293.07	138.1	114.36	246.28	205.5	173.85	127.89	142.01	162.14	287.01	223.41	199.85	186.4	169.07	336.79	217.27	289.02	246.28	447.82	318.57	165.57	281.09	438.59	121.79	170.25	209.84	171.45	71.5	395.18	87.65	152.28	260.38	143.01	229.72	157.68	162.14	109.66	180.02	136.19	146.03	134.3	144.01	144.01	206.94	96.68	202.66	497.0	325.29	129.69	93.35	121.79	131.51	111.99	74.06	83.45	87.03	64.8	111.21	87.03	117.6	74.58	94.67	52.45	63.45	66.65	102.25	47.17	59.97	88.26	70.51	45.85	141.02	120.94	205.5	71.0	87.65	114.36	50.63	103.69	108.14	127.0
CLOCK	92.7	189.02	329.84	236.21	295.11	387.02	121.79	201.25	122.64	346.29	134.3	148.09	117.6	163.28	159.9	185.11	126.12	153.34	295.11	320.8	295.11	186.4	236.21	277.2	195.72	176.29	314.17	189.02	281.09	123.5	183.82	595.34	127.89	92.05	249.73	183.82	180.02	172.65	223.41	155.5	339.14	260.38	255.0	232.94	348.71	426.57	441.64	209.84	224.97	224.97	325.29	138.1	486.75	307.69	111.21	181.28	92.7	265.87	108.9	351.14	108.9	157.68	444.72	209.84	244.57	281.09	267.73	318.57	271.48	175.07	165.57	141.02	124.37	265.87	163.28	159.9	400.71	381.68	195.72	198.47	137.14	136.19	74.06	96.68	30.34	75.11	52.45	49.56	43.02	57.49	57.89	47.17	62.56	85.22	83.45	65.72	68.55	53.95	33.78	62.56	69.03	50.98	71.0	40.64	76.71	53.19	66.18	47.84	14.67	59.97	54.72	63.89
CNOT4	129.69	122.64	258.57	232.94	287.01	241.19	186.4	206.94	173.85	392.44	201.25	140.04	169.07	229.72	249.73	224.97	121.79	256.78	297.17	363.56	289.02	332.14	275.28	420.68	248.0	229.72	236.21	229.72	232.94	320.8	305.55	244.57	295.11	208.38	316.37	255.0	211.31	275.28	221.86	148.09	217.27	269.6	366.09	251.48	273.37	351.14	417.77	303.44	285.03	287.01	231.32	212.78	397.93	341.51	155.5	231.32	180.02	279.14	221.86	438.59	242.88	202.66	229.72	318.57	186.4	325.29	307.69	368.65	320.8	153.34	426.57	275.28	186.4	202.66	195.72	297.17	438.59	343.89	303.44	414.87	199.85	218.79	190.34	165.57	90.77	127.0	161.02	170.25	114.36	111.99	151.22	118.43	96.68	187.71	169.07	195.72	96.01	108.14	105.89	134.3	128.79	120.94	127.0	99.43	151.22	149.12	164.42	111.21	59.97	83.45	101.54	117.6
COX6C	83528.61	95286.54	168220.2	223512.12	152662.96	256748.15	331809.5	185362.8	158046.64	194578.47	209994.66	170568.48	105727.15	176583.6	185362.8	152662.96	159145.95	201440.3	120609.84	198667.0	221968.2	207103.59	140478.49	128373.58	211455.3	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	105727.15	150561.19	140478.49	148488.36	228208.61	202841.44	169390.27	186652.11	229795.93	391864.76	193234.41	147462.67	145432.49	425853.18	125731.67	97965.44	217400.14	320506.81	170568.48	205673.01	177811.84	269512.87	174152.51	160252.91	191899.64	189257.69	147462.67	110216.97	146444.06	208544.12	195931.88	194578.47	253213.41	180294.02	142439.51	437825.58	527933.71	200048.85	197294.7	184082.4	228208.61	116501.39	286861.53	205673.01	180294.02	223512.12	72715.74	158046.64	492579.5	204252.32	164758.26	61146.25	41188.81	32767.0	31215.04	28723.62	21468.49	59887.86	32767.0	34876.28	37639.55	38430.46	44452.21	18304.63	60304.42	33688.23	59063.35	13033.07	28328.16	34396.12	46019.85	48643.87	32540.65	38697.77	55491.3	14663.09	15715.58	12589.08	14065.74	15824.9	15285.81
CTDSPL2	101.54	104.42	470.14	376.41	480.04	366.09	231.32	177.53	202.66	575.03	153.34	205.5	141.02	429.54	206.94	228.13	151.22	156.59	269.6	551.56	497.0	237.86	265.87	336.79	454.09	218.79	368.65	249.73	387.02	228.13	314.17	423.61	176.29	115.16	432.53	392.44	400.71	212.78	297.17	236.21	387.02	256.78	329.84	348.71	384.34	466.88	728.11	224.97	346.29	346.29	444.72	198.47	447.82	316.37	190.34	269.6	277.2	316.37	100.83	336.79	275.28	149.12	264.03	206.94	327.56	273.37	397.93	305.55	395.18	267.73	305.55	139.07	114.36	389.72	660.68	450.94	480.04	476.71	220.32	195.72	145.02	206.94	93.35	98.73	47.84	96.01	66.18	79.45	45.21	75.64	72.52	43.63	50.63	106.63	75.11	139.07	46.5	40.93	50.98	68.07	74.06	49.21	87.03	64.34	113.56	78.89	69.52	73.54	37.59	53.95	72.01	69.52
DACH1	2.32	3.35	660.68	224.97	373.81	769.69	450.94	105.15	256.78	256.78	146.03	92.05	102.97	255.0	339.14	921.88	444.72	387.02	417.77	323.03	361.04	591.22	25.54	500.46	281.09	3.17	3.23	218.79	23.08	11.55	336.79	206.94	50.63	123.5	167.9	373.81	285.03	50.27	129.69	244.57	571.05	954.43	23.93	426.57	29.27	371.22	532.74	305.55	283.05	703.28	928.3	100.83	563.18	2796.65	327.56	102.97	299.25	373.81	11.82	884.29	165.57	1268.46	140.04	470.14	32.13	106.63	92.7	239.52	66.65	571.05	194.36	417.77	1008.9	187.71	307.69	98.04	551.56	141.02	1233.75	532.74	2.46	73.03	2.63	1.2	0.42	2.58	0.0	3.47	2.43	1.25	2.66	1.55	0.4	1.58	3.44	1.68	0.82	0.42	1.58	1.23	5.92	0.61	3.03	0.0	7.75	0.97	8.85	7.94	5.45	13.72	12.55	12.64
DNAJB14	72.01	165.57	476.71	293.07	450.94	438.59	193.01	255.0	175.07	371.22	157.68	187.71	151.22	205.5	285.03	167.9	146.03	208.38	358.54	511.0	379.04	253.23	215.77	389.72	366.09	187.71	395.18	202.66	348.71	229.72	327.56	473.41	204.07	147.06	400.71	231.32	206.94	242.88	226.54	312.0	423.61	267.73	457.25	323.03	279.14	579.04	525.39	228.13	285.03	221.86	346.29	198.47	660.68	417.77	211.31	249.73	169.07	251.48	123.5	473.41	195.72	164.42	339.14	275.28	351.14	256.78	214.27	327.56	356.05	260.38	231.32	224.97	187.71	289.02	303.44	226.54	555.41	518.15	289.02	341.51	232.94	212.78	114.36	124.37	42.41	72.52	84.63	49.56	64.34	70.51	97.36	92.05	96.68	104.42	111.21	71.5	102.25	29.48	67.12	87.03	79.45	28.24	141.02	75.64	133.36	102.25	102.25	92.7	26.47	88.26	92.05	96.68
DPP8	146.03	101.54	466.88	318.57	358.54	231.32	204.07	163.28	291.04	480.04	166.73	217.27	140.04	358.54	232.94	185.11	116.78	185.11	204.07	384.34	373.81	165.57	228.13	273.37	329.84	187.71	291.04	253.23	228.13	224.97	273.37	381.68	194.36	100.83	387.02	277.2	285.03	187.71	297.17	214.27	305.55	237.86	356.05	255.0	301.33	406.31	483.38	237.86	180.02	343.89	351.14	153.34	575.03	334.46	229.72	149.12	305.55	239.52	127.0	256.78	185.11	117.6	218.79	241.19	244.57	269.6	279.14	283.05	332.14	336.79	144.01	226.54	152.28	275.28	316.37	178.77	525.39	381.68	218.79	171.45	205.5	265.87	92.05	116.78	56.28	99.43	65.26	73.54	59.97	75.11	81.71	65.26	88.26	85.22	92.7	112.77	59.55	51.71	40.64	78.34	70.51	43.63	98.04	73.03	142.01	78.34	63.45	61.68	29.7	63.0	84.63	95.34
FAM126B	43.63	41.22	134.3	89.51	72.52	145.02	53.57	52.82	93.35	124.37	61.68	31.67	45.53	78.34	101.54	57.89	55.49	68.55	93.35	187.71	71.0	74.58	121.79	101.54	111.21	46.5	136.19	51.35	82.87	62.56	122.64	107.38	84.04	44.89	134.3	62.12	60.39	74.06	99.43	98.73	172.65	59.13	100.13	115.97	139.07	155.5	153.34	62.12	74.58	62.56	215.77	66.65	214.27	132.44	75.64	66.65	41.52	46.84	24.81	136.19	66.18	46.84	92.05	64.8	59.13	112.77	74.58	124.37	102.97	63.0	77.25	64.34	40.93	87.03	94.01	51.35	155.5	389.72	96.01	77.79	57.49	41.81	32.36	39.22	27.64	20.11	21.01	37.85	21.32	29.48	32.36	17.77	22.92	46.84	26.67	56.68	32.13	13.72	22.26	40.36	40.64	17.25	46.84	30.12	40.07	44.57	53.19	48.18	30.34	39.79	38.4	46.18
FBXO38	287.01	283.05	665.29	447.82	583.07	339.14	497.0	361.04	759.08	656.11	346.29	397.93	457.25	540.19	392.44	348.71	143.01	435.55	457.25	583.07	555.41	356.05	373.81	733.19	435.55	693.58	490.14	507.46	651.58	351.14	703.28	438.59	358.54	293.07	543.96	363.56	743.43	395.18	470.14	409.15	403.5	775.05	723.08	684.02	325.29	503.95	796.86	363.56	368.65	397.93	674.59	420.68	825.0	543.96	327.56	353.59	384.34	536.45	336.79	514.56	599.49	341.51	447.82	493.56	435.55	518.15	759.08	490.14	483.38	381.68	490.14	423.61	283.05	387.02	366.09	555.41	551.56	884.29	454.09	473.41	325.29	426.57	293.07	285.03	275.28	262.2	214.27	156.59	201.25	303.44	432.53	204.07	173.85	346.29	221.86	343.89	181.28	293.07	181.28	353.59	197.09	156.59	265.87	312.0	285.03	249.73	212.78	201.25	167.9	173.85	193.01	251.48
FEM1B	212.78	265.87	753.83	624.99	684.02	559.28	412.0	327.56	351.14	974.5	414.87	412.0	323.03	389.72	599.49	480.04	327.56	473.41	454.09	684.02	525.39	470.14	381.68	450.94	543.96	392.44	429.54	587.13	595.34	435.55	563.18	708.18	444.72	218.79	764.36	518.15	759.08	447.82	571.05	435.55	748.61	493.56	414.87	507.46	624.99	934.76	1167.14	688.78	607.87	743.43	723.08	299.25	669.92	866.07	563.18	454.09	384.34	414.87	212.78	1143.1	543.96	450.94	387.02	291.04	483.38	438.59	785.88	529.06	532.74	483.38	656.11	351.14	389.72	400.71	1151.06	356.05	642.59	902.89	591.22	497.0	217.27	395.18	198.47	190.34	120.1	164.42	177.53	197.09	102.25	157.68	155.5	127.0	178.77	242.88	190.34	289.02	125.24	110.43	153.34	91.41	171.45	99.43	176.29	137.14	214.27	165.57	173.85	187.71	101.54	201.25	212.78	183.82
GAPVD1	115.16	111.99	429.54	441.64	543.96	563.18	291.04	198.47	470.14	414.87	244.57	237.86	316.37	318.57	435.55	325.29	255.0	327.56	507.46	620.67	620.67	318.57	438.59	497.0	366.09	301.33	460.44	301.33	327.56	209.84	493.56	447.82	361.04	208.38	435.55	309.83	366.09	267.73	387.02	299.25	303.44	327.56	503.95	417.77	759.08	651.58	860.08	371.22	327.56	389.72	607.87	285.03	813.63	426.57	249.73	231.32	351.14	395.18	224.97	412.0	277.2	206.94	373.81	679.29	389.72	348.71	503.95	500.46	320.8	429.54	267.73	406.31	208.38	587.13	341.51	334.46	679.29	518.15	351.14	285.03	244.57	218.79	108.9	113.56	80.57	72.01	97.36	78.89	70.01	93.35	132.44	83.45	80.01	122.64	98.04	111.99	75.11	64.8	80.01	90.14	61.25	65.72	102.97	153.34	177.53	105.15	95.34	85.82	65.26	98.73	100.13	98.73
GCC2	140.04	133.36	612.11	551.56	387.02	384.34	183.82	171.45	293.07	674.59	214.27	226.54	202.66	343.89	271.48	420.68	151.22	291.04	417.77	748.61	551.56	279.14	208.38	444.72	483.38	228.13	438.59	170.25	260.38	201.25	353.59	420.68	215.77	150.17	518.15	265.87	316.37	262.2	295.11	273.37	379.04	414.87	511.0	607.87	215.77	775.05	460.44	239.52	293.07	325.29	1191.69	199.85	587.13	854.13	297.17	332.14	232.94	343.89	182.55	587.13	226.54	305.55	299.25	353.59	356.05	381.68	728.11	251.48	287.01	244.57	358.54	366.09	187.71	269.6	214.27	281.09	684.02	595.34	417.77	212.78	229.72	237.86	125.24	87.65	113.56	94.67	56.68	63.89	74.06	101.54	136.19	74.06	81.71	121.79	87.65	75.11	71.0	63.45	78.89	59.13	80.57	70.01	127.89	101.54	175.07	91.41	115.16	105.15	21.63	107.38	138.1	100.83
GPD2	283.05	323.03	271.48	518.15	353.59	612.11	775.05	447.82	612.11	1369.04	264.03	392.44	417.77	353.59	1437.15	279.14	194.36	743.43	563.18	796.86	316.37	373.81	269.6	1388.16	629.35	718.08	669.92	579.04	1044.52	387.02	813.63	775.05	285.03	441.64	642.59	563.18	796.86	738.29	713.11	748.61	1286.18	638.15	1159.07	1073.91	251.48	1605.83	529.06	400.71	698.41	1104.13	780.44	486.75	836.53	633.73	361.04	273.37	507.46	651.58	144.01	387.02	253.23	236.21	591.22	1883.54	441.64	848.22	988.12	713.11	198.47	237.86	575.03	389.72	397.93	1127.35	753.83	320.8	575.03	1806.78	490.14	320.8	473.41	483.38	80.57	54.72	46.18	82.87	34.02	63.0	41.22	30.12	57.89	42.11	47.84	63.45	40.64	55.1	42.41	31.0	30.78	56.28	50.27	43.94	68.07	50.27	140.04	47.84	27.25	40.64	19.97	32.82	45.85	32.82
GPR75-ASB3	102.97	195.72	178.77	260.38	234.57	291.04	130.6	154.42	217.27	198.47	231.32	214.27	189.02	237.86	194.36	212.78	177.53	214.27	295.11	307.69	205.5	126.12	149.12	435.55	237.86	173.85	186.4	232.94	193.01	161.02	178.77	211.31	153.34	118.43	327.56	237.86	186.4	212.78	264.03	193.01	287.01	191.67	260.38	432.53	119.26	329.84	249.73	204.07	231.32	139.07	253.23	157.68	363.56	190.34	177.53	195.72	162.14	208.38	237.86	327.56	275.28	125.24	171.45	149.12	164.42	220.32	323.03	249.73	379.04	177.53	267.73	264.03	209.84	246.28	170.25	242.88	314.17	214.27	177.53	327.56	104.42	208.38	118.43	110.43	154.42	96.01	74.06	81.71	87.65	142.01	90.14	72.01	75.11	137.14	155.5	117.6	74.06	87.65	85.82	108.14	103.69	49.91	147.06	141.02	155.5	89.51	90.14	99.43	105.15	95.34	112.77	110.43
GTF3C3	204.07	204.07	500.46	376.41	1340.84	616.37	265.87	277.2	265.87	503.95	269.6	460.44	269.6	429.54	348.71	279.14	281.09	312.0	381.68	463.65	432.53	232.94	249.73	392.44	381.68	329.84	356.05	368.65	323.03	291.04	339.14	358.54	269.6	199.85	438.59	242.88	320.8	283.05	473.41	281.09	525.39	329.84	432.53	339.14	368.65	743.43	409.15	444.72	343.89	299.25	420.68	251.48	674.59	543.96	314.17	293.07	301.33	248.0	162.14	309.83	289.02	248.0	267.73	223.41	269.6	307.69	336.79	435.55	228.13	275.28	301.33	339.14	181.28	182.55	348.71	1183.45	595.34	1127.35	426.57	332.14	269.6	244.57	173.85	127.89	237.86	154.42	117.6	186.4	144.01	202.66	134.3	156.59	119.26	199.85	158.79	244.57	88.26	124.37	93.35	98.73	117.6	120.94	166.73	81.71	253.23	176.29	121.79	114.36	81.14	96.01	130.6	124.37
HAUS3	122.64	206.94	426.57	194.36	228.13	212.78	242.88	111.99	189.02	220.32	119.26	158.79	185.11	237.86	181.28	285.03	178.77	194.36	346.29	295.11	269.6	248.0	248.0	221.86	206.94	180.02	185.11	144.01	273.37	143.01	249.73	309.83	204.07	158.79	244.57	195.72	152.28	166.73	279.14	202.66	185.11	189.02	206.94	273.37	232.94	262.2	429.54	172.65	130.6	201.25	231.32	141.02	318.57	211.31	285.03	172.65	117.6	211.31	153.34	466.88	244.57	122.64	237.86	214.27	269.6	190.34	412.0	204.07	289.02	285.03	183.82	224.97	171.45	277.2	281.09	275.28	343.89	309.83	211.31	201.25	178.77	194.36	107.38	100.13	89.51	122.64	46.18	111.21	70.51	186.4	94.01	70.01	80.01	115.16	100.83	133.36	59.13	58.3	59.97	75.64	81.14	90.14	109.66	55.1	143.01	103.69	71.5	63.45	20.26	48.87	66.18	53.19
HEATR5B	94.01	94.67	289.02	285.03	343.89	387.02	190.34	119.26	217.27	287.01	183.82	269.6	148.09	193.01	215.77	223.41	147.06	366.09	325.29	376.41	450.94	273.37	166.73	336.79	246.28	170.25	165.57	223.41	236.21	165.57	241.19	361.04	264.03	127.89	318.57	226.54	142.01	209.84	253.23	220.32	309.83	392.44	265.87	353.59	195.72	275.28	267.73	228.13	154.42	283.05	444.72	178.77	612.11	595.34	163.28	220.32	260.38	301.33	224.97	305.55	217.27	353.59	234.57	232.94	281.09	299.25	463.65	246.28	205.5	226.54	224.97	223.41	297.17	224.97	287.01	232.94	518.15	279.14	400.71	228.13	123.5	193.01	94.67	103.69	67.59	88.26	72.01	64.34	45.85	76.17	93.35	70.51	59.13	77.79	49.91	117.6	40.36	46.18	52.82	77.79	55.49	36.27	95.34	74.06	105.89	100.13	96.68	71.0	56.68	65.72	81.14	82.29
HIPK1	137.14	201.25	1008.9	429.54	954.43	579.04	435.55	514.56	575.03	1015.93	441.64	320.8	314.17	612.11	665.29	220.32	336.79	466.88	878.17	947.83	343.89	480.04	470.14	579.04	432.53	490.14	567.1	371.22	480.04	320.8	476.71	728.11	376.41	267.73	551.56	642.59	563.18	457.25	476.71	547.75	684.02	651.58	353.59	624.99	620.67	1066.48	909.17	463.65	420.68	620.67	928.3	334.46	1322.37	708.18	336.79	500.46	299.25	403.5	232.94	656.11	406.31	536.45	587.13	921.88	450.94	483.38	563.18	341.51	665.29	320.8	409.15	420.68	301.33	514.56	503.95	392.44	1096.5	915.51	629.35	656.11	183.82	307.69	217.27	205.5	132.44	171.45	148.09	141.02	119.26	199.85	204.07	175.07	197.09	186.4	187.71	140.04	118.43	139.07	116.78	154.42	127.0	151.22	206.94	148.09	260.38	206.94	108.9	171.45	161.02	181.28	149.12	180.02
HSPE1-MOB4	244.57	131.51	341.51	309.83	1551.09	215.77	205.5	173.85	305.55	291.04	100.13	224.97	206.94	248.0	318.57	301.33	323.03	318.57	260.38	267.73	348.71	275.28	248.0	334.46	283.05	346.29	277.2	246.28	466.88	323.03	175.07	366.09	215.77	237.86	244.57	164.42	297.17	271.48	299.25	267.73	299.25	251.48	281.09	161.02	318.57	381.68	389.72	229.72	258.57	262.2	221.86	251.48	500.46	361.04	103.69	318.57	305.55	426.57	143.01	279.14	211.31	204.07	123.5	256.78	303.44	165.57	301.33	169.07	181.28	90.77	336.79	277.2	165.57	368.65	206.94	1119.56	384.34	738.29	291.04	264.03	194.36	176.29	136.19	117.6	47.84	50.63	44.89	83.45	47.84	183.82	111.99	55.89	102.25	105.15	17.0	129.69	82.87	92.05	33.54	44.25	72.52	63.89	123.5	134.3	169.07	74.06	57.08	93.35	53.19	31.0	59.13	102.97
IKZF4	35.76	23.76	162.14	85.22	98.04	73.54	72.52	75.11	52.82	115.16	72.01	111.99	57.08	35.5	50.63	31.0	32.36	151.22	57.49	106.63	73.03	111.99	69.52	106.63	80.57	94.67	131.51	61.68	64.34	71.0	78.34	85.22	82.87	46.18	106.63	68.55	64.8	110.43	159.9	76.17	72.52	113.56	71.0	94.67	82.87	67.59	125.24	85.22	63.89	57.08	92.05	89.51	80.01	73.03	65.26	54.33	32.36	111.21	42.71	135.24	94.01	26.47	104.42	75.11	57.08	94.01	159.9	72.01	72.01	129.69	61.68	81.14	78.34	52.45	31.45	81.71	105.89	103.69	127.0	65.26	42.41	77.79	34.75	22.43	15.0	29.7	34.26	28.24	20.41	14.03	33.3	14.89	22.26	21.01	19.25	35.25	14.56	19.82	8.58	20.26	10.63	16.75	35.0	23.08	46.5	34.51	21.78	18.84	6.06	10.55	15.22	17.77
IQCH	24.81	20.71	76.17	63.0	159.9	98.04	55.49	32.13	50.63	94.67	30.34	40.64	16.51	49.91	66.65	23.93	23.59	68.07	52.82	49.56	62.12	71.0	34.75	63.0	33.3	57.89	73.54	60.39	18.7	40.36	78.34	63.89	47.84	26.47	49.91	48.87	58.3	50.63	98.73	24.81	35.76	59.55	85.22	90.77	33.3	44.25	58.71	74.06	35.76	44.89	105.89	13.72	103.69	105.89	45.21	37.32	65.72	47.17	46.84	88.26	51.71	64.8	46.18	52.82	20.56	68.55	47.5	48.52	78.89	92.7	41.22	77.25	46.84	12.55	65.72	61.68	47.5	81.14	107.38	61.68	27.44	57.89	6.57	52.45	10.31	8.13	4.17	9.06	4.46	2.41	10.0	9.13	9.2	2.73	10.31	12.45	5.11	13.32	26.28	17.38	14.89	7.11	5.63	6.94	12.18	2.73	9.2	6.84	9.06	10.24	4.58	4.1
