	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.05.5420.01A.01R.1628.07	TCGA.44.2657.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.49.6745.11A.01R.1858.07	TCGA.38.4627.11A.01R.1758.07	TCGA.73.4676.11A.01R.1755.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4626.11A.01R.1758.07	GTEX.11WQK.1226.SM.5GU5Z	TCGA.37.4132.01A.01R.1100.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.33.4587.11A.01R.2125.07	TCGA.39.5040.11A.01R.2125.07	TCGA.56.7582.11A.01R.2045.07	TCGA.85.7710.11A.01R.2125.07
C20orf24	2335.28	2061.24	1397.83	1397.83	1487.87	1081.39	1896.65	1059.11	2758.13	1896.65	1378.57	4010.71	3639.7	1427.22	1529.73	2997.45	1674.06	1437.15	7857.29	2976.74	9540.5	9088.59	2627.46	3419.52	2997.45	2682.69	3190.46	3820.7	3564.78	4481.23	10659.59	16157.44	4481.23	3280.18	3515.68	1540.37	2004.85
C6orf1	521.76	967.76	457.25	629.35	414.87	389.72	417.77	460.44	547.75	486.75	368.65	521.76	571.05	387.02	651.58	693.58	318.57	493.56	1183.45	1066.48	2701.35	1794.29	1540.37	1477.58	1037.29	1508.65	1467.37	1051.79	1104.13	947.83	2104.58	2351.53	947.83	1769.57	1447.15	954.43	974.5
C6orf48	941.27	3589.58	1697.45	2104.58	1870.53	1896.65	791.35	947.83	1639.59	2303.12	1388.16	1066.48	3847.29	1639.59	1950.0	1199.98	587.13	1697.45	3768.09	6294.04	6792.79	5147.73	5711.87	4903.87	5112.16	6294.04	6935.54	3716.2	5517.27	5995.9	5711.87	12160.22	5995.9	6471.02	5183.54	3372.43	4836.35
CAMTA1	2240.11	2997.45	1295.13	1806.78	2075.59	2209.26	3665.02	1721.16	2384.37	2758.13	2018.8	1936.53	2303.12	1745.2	1397.83	2384.37	2434.5	2591.27	1397.83	3190.46	2537.92	3467.27	1844.76	2018.8	1923.14	1950.0	2163.77	1639.59	2351.53	3874.05	2682.69	2032.85	3874.05	2032.85	2271.4	1447.15	1143.1
CCT2	738.29	1397.83	988.12	723.08	1015.93	559.28	748.61	728.11	728.11	915.51	1167.14	1225.22	1081.39	981.29	571.05	941.27	551.56	1008.9	4639.29	1551.09	4836.35	3303.0	2537.92	2468.49	1950.0	2739.08	2664.15	1950.0	3928.15	5954.47	3665.02	7230.1	5954.47	2351.53	2701.35	1794.29	2018.8
CDC26	902.89	836.53	536.45	463.65	607.87	486.75	872.1	679.29	961.07	684.02	674.59	878.17	967.76	660.68	579.04	884.29	915.51	775.05	1605.83	928.3	1397.83	1447.15	1216.75	1044.52	1096.5	1081.39	1359.57	1037.29	1397.83	1208.34	1639.59	1159.07	1208.34	1151.06	1225.22	954.43	1143.1
CEBPZ	551.56	688.78	684.02	353.59	599.49	583.07	486.75	420.68	567.1	638.15	665.29	748.61	403.5	441.64	426.57	669.92	426.57	738.29	1015.93	571.05	1721.16	1233.75	1037.29	860.08	842.36	1167.14	1233.75	848.22	703.28	1286.18	872.1	1870.53	1286.18	928.3	1073.91	684.02	819.3
CHCHD2	6792.79	5594.3	3901.01	4066.71	5112.16	4512.4	7695.57	5403.7	9673.69	6164.49	5831.91	6381.92	9409.14	5329.3	4095.0	8134.41	7966.99	5751.61	21468.49	11664.82	21172.91	24660.96	12676.65	14163.58	10585.95	15824.9	15715.58	10659.59	34635.37	21468.49	34396.12	50359.33	21468.49	13872.08	12076.21	5633.22	6426.31
CMC2	791.35	1167.14	1508.65	1143.1	1628.26	2193.99	2739.08	2627.46	1651.0	1561.89	3443.31	1242.34	2434.5	1572.76	1369.04	2434.5	1286.18	2915.45	3690.52	1233.75	2855.44	3018.3	1225.22	1685.71	1359.57	1378.57	1561.89	1844.76	1896.65	3124.78	3794.3	3212.66	3124.78	1977.24	1883.54	866.07	1259.69
COQ10B	295.11	441.64	312.0	312.0	351.14	241.19	293.07	301.33	406.31	406.31	301.33	547.75	612.11	303.44	271.48	503.95	819.3	423.61	890.44	587.13	974.5	1242.34	693.58	718.08	638.15	476.71	780.44	813.63	571.05	460.44	902.89	532.74	460.44	674.59	1073.91	441.64	486.75
EIF2S2	713.11	612.11	591.22	559.28	551.56	447.82	656.11	426.57	698.41	656.11	603.67	753.83	791.35	698.41	493.56	665.29	759.08	669.92	2018.8	1322.37	2335.28	1977.24	1540.37	1467.37	1331.57	1628.26	1540.37	1313.23	2193.99	1870.53	1870.53	2119.22	1870.53	1457.23	1639.59	1250.98	1369.04
EIF3I	2209.26	1950.0	1977.24	1896.65	2178.83	1639.59	3928.15	2303.12	3257.52	3190.46	2240.11	1709.26	5479.15	2384.37	2018.8	2935.74	3018.3	2047.0	5219.6	7230.1	7966.99	7130.55	4481.23	4671.57	4481.23	4869.99	5633.22	4123.49	6294.04	6471.02	7382.04	9344.14	6471.02	4836.35	5292.48	3372.43	3372.43
EIF4E	397.93	293.07	206.94	273.37	283.05	239.52	417.77	251.48	429.54	339.14	343.89	356.05	463.65	371.22	176.29	358.54	420.68	423.61	1594.73	1359.57	1447.15	1781.89	1242.34	921.88	791.35	947.83	1096.5	909.17	872.1	2758.13	2287.2	1111.82	2758.13	1023.0	1199.98	934.76	1096.5
EIF5A	8963.45	9945.68	8963.45	8247.98	9088.59	6121.9	8778.97	7911.95	10659.59	9540.5	7695.57	11827.67	10733.74	7749.1	6745.86	13123.73	8479.89	6983.79	14163.58	7180.15	21172.91	11424.74	10440.2	11745.96	9025.81	11424.74	10959.3	10368.08	12943.04	15824.9	16611.71	21172.91	15824.9	9876.98	9606.86	6471.02	6935.54
EMG1	848.22	656.11	723.08	470.14	497.0	587.13	547.75	587.13	775.05	679.29	547.75	595.34	624.99	738.29	473.41	624.99	503.95	457.25	2645.74	921.88	2758.13	2319.15	1583.71	1551.09	1407.55	1991.0	1844.76	1313.23	1709.26	2303.12	3955.48	6207.38	2303.12	1896.65	1605.83	825.0	1066.48
FAM177A1	1806.78	1268.46	599.49	688.78	753.83	595.34	954.43	915.51	1304.15	921.88	808.0	1498.22	1143.1	780.44	878.17	1313.23	2047.0	1088.92	1594.73	2209.26	2956.17	2351.53	3280.18	2591.27	2739.08	2915.45	2664.15	3060.45	1551.09	1769.57	2271.4	2520.38	1769.57	2664.15	3372.43	1594.73	1447.15
FAM96B	3665.02	3190.46	2178.83	2335.28	2451.44	2468.49	3589.58	2537.92	4607.24	3103.19	2701.35	3491.39	4210.15	2935.74	1950.0	3515.68	3280.18	2573.36	6207.38	3515.68	7433.4	8022.41	4972.34	5366.37	4481.23	5006.93	5219.6	4671.57	9279.58	5329.3	6792.79	10733.74	5329.3	5913.33	5633.22	2875.3	2956.17
GLMN	45.53	94.01	37.59	81.14	93.35	82.87	46.18	54.72	61.25	61.25	97.36	82.87	48.87	56.28	102.97	54.72	21.32	47.5	234.57	134.3	490.14	346.29	135.24	100.83	120.94	158.79	166.73	120.1	205.5	457.25	265.87	432.53	457.25	191.67	220.32	155.5	204.07
GOLT1B	228.13	242.88	132.44	166.73	170.25	156.59	127.89	163.28	236.21	214.27	217.27	269.6	241.19	149.12	135.24	249.73	220.32	185.11	2271.4	718.08	2240.11	1477.58	902.89	1001.93	708.18	872.1	1127.35	780.44	2591.27	1216.75	2090.03	2271.4	1216.75	947.83	1059.11	536.45	633.73
GRXCR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTF2B	463.65	540.19	532.74	392.44	529.06	373.81	483.38	341.51	503.95	607.87	450.94	547.75	466.88	511.0	371.22	595.34	426.57	638.15	1242.34	656.11	1857.6	1794.29	1104.13	915.51	884.29	915.51	1051.79	1191.69	529.06	1208.34	1331.57	1417.35	1208.34	1183.45	1769.57	693.58	928.3
HAT1	343.89	293.07	232.94	201.25	265.87	242.88	303.44	212.78	417.77	353.59	348.71	273.37	334.46	269.6	262.2	232.94	389.72	379.04	981.29	1044.52	1674.06	1191.69	967.76	1044.52	842.36	1331.57	1119.56	884.29	854.13	1397.83	988.12	1295.13	1397.83	941.27	1088.92	872.1	967.76
HCCS	363.56	269.6	231.32	218.79	239.52	178.77	366.09	239.52	406.31	435.55	269.6	279.14	447.82	346.29	231.32	332.14	381.68	297.17	854.13	532.74	540.19	723.08	555.41	532.74	483.38	500.46	579.04	642.59	457.25	583.07	813.63	713.11	583.07	563.18	511.0	366.09	476.71
HSPE1	4419.52	6935.54	3349.13	4450.27	6164.49	3874.05	4543.8	7433.4	7966.99	4802.93	5831.91	19618.49	9606.86	4419.52	4869.99	12589.08	8421.31	7382.04	14561.8	4181.07	10512.82	14065.74	3982.99	3168.41	2163.77	3901.01	3665.02	2935.74	4268.94	11827.67	7537.18	23330.64	11827.67	4328.55	5147.73	2319.15	3124.78
KCTD14	115.16	84.63	466.88	217.27	39.22	30.12	79.45	35.25	31.0	389.72	41.81	95.34	63.89	72.01	16.51	11.82	28.45	24.46	420.68	470.14	87.03	236.21	426.57	191.67	183.82	525.39	318.57	140.04	540.19	532.74	120.94	34.26	532.74	406.31	121.79	218.79	182.55
KM-PA-2	86.43	267.73	187.71	260.38	232.94	231.32	46.5	90.77	105.89	195.72	158.79	289.02	142.01	169.07	211.31	120.1	45.21	150.17	144.01	76.71	116.78	154.42	11.55	1.53	73.54	120.1	89.51	19.82	91.41	432.53	86.43	285.03	432.53	42.41	111.99	53.95	0.0
KRTCAP3	134.3	159.9	2178.83	624.99	392.44	1745.2	3280.18	3280.18	155.5	2520.38	2061.24	239.52	1697.45	638.15	2976.74	258.57	336.79	1030.12	5872.48	466.88	764.36	3768.09	1529.73	769.69	915.51	1369.04	1388.16	785.88	1331.57	3212.66	2119.22	2816.11	3212.66	1127.35	954.43	591.22	420.68
LAMTOR5	2537.92	2400.97	1378.57	1369.04	1769.57	1697.45	2240.11	1844.76	2796.65	2485.67	1832.01	3325.99	3103.19	1844.76	1572.76	2758.13	2835.7	2434.5	8191.0	3146.52	9474.59	19082.0	6652.97	6121.9	5711.87	6935.54	6561.36	5995.9	4639.29	9808.75	11267.44	15075.35	9808.75	8022.41	8191.0	3349.13	4095.0
LYRM4	204.07	387.02	341.51	303.44	198.47	295.11	417.77	150.17	417.77	358.54	435.55	279.14	363.56	368.65	228.13	183.82	297.17	249.73	1295.13	728.11	1662.49	1304.15	1015.93	921.88	728.11	1250.98	1259.69	616.37	2384.37	1923.14	1605.83	3303.0	1923.14	1127.35	921.88	688.78	591.22
MED27	120.1	111.21	159.9	102.97	155.5	91.41	102.25	62.56	118.43	153.34	139.07	149.12	142.01	137.14	115.97	156.59	108.9	127.0	571.05	463.65	743.43	480.04	543.96	518.15	595.34	454.09	633.73	500.46	529.06	848.22	713.11	647.07	848.22	579.04	543.96	387.02	395.18
MED28	265.87	169.07	269.6	154.42	115.97	381.68	176.29	193.01	244.57	256.78	221.86	248.0	275.28	269.6	234.57	262.2	334.46	197.09	1583.71	1183.45	2209.26	2520.38	1096.5	1259.69	1030.12	1059.11	1259.69	909.17	1467.37	2061.24	3060.45	4328.55	2061.24	1340.84	1322.37	703.28	995.0
MRPL14	2335.28	2335.28	1397.83	1857.6	2032.85	1388.16	2976.74	2032.85	2591.27	2739.08	1199.98	1896.65	2664.15	2468.49	1529.73	3982.99	2384.37	2061.24	2895.31	2104.58	5255.91	6037.61	4704.07	4704.07	4419.52	6121.9	4704.07	3540.14	3716.2	4481.23	5329.3	6426.31	4481.23	6337.83	5183.54	1991.0	1950.0
MRPL33	1561.89	2351.53	1111.82	1127.35	1340.84	1467.37	2224.63	1268.46	2468.49	2090.03	1963.57	1651.0	2319.15	1639.59	1008.9	1617.0	1662.49	2032.85	7130.55	3018.3	8901.53	12943.04	6250.56	6207.38	4575.41	6121.9	6745.86	5403.7	5831.91	6887.62	11189.6	9606.86	6887.62	7230.1	8840.04	3467.27	3467.27
MRPS6	1081.39	1662.49	1151.06	1066.48	1088.92	860.08	1096.5	825.0	1030.12	1870.53	1340.84	1350.18	1208.34	1242.34	947.83	1457.23	693.58	1781.89	2287.2	2555.58	2758.13	3124.78	1794.29	2303.12	1437.15	2271.4	1628.26	1304.15	1477.58	2335.28	2758.13	2367.9	2335.28	1896.65	1844.76	1561.89	1359.57
NDUFAF2	429.54	486.75	211.31	241.19	267.73	303.44	348.71	242.88	547.75	409.15	366.09	387.02	642.59	387.02	293.07	420.68	438.59	429.54	1467.37	567.1	1733.13	2400.97	1111.82	1066.48	872.1	1119.56	1242.34	848.22	1674.06	884.29	1662.49	1745.2	884.29	1407.55	1268.46	665.29	698.41
NHP2L1	2287.2	1870.53	1639.59	1540.37	1378.57	1662.49	2133.97	1159.07	2351.53	2739.08	1685.71	1685.71	2645.74	2303.12	1896.65	1923.14	1991.0	1457.23	4575.41	4152.18	6516.03	7485.11	4239.45	3955.48	3690.52	4358.66	4328.55	3491.39	7180.15	4869.99	6079.61	6337.83	4869.99	4607.24	4419.52	2895.31	3060.45
NIP7	141.02	183.82	301.33	191.67	162.14	137.14	206.94	165.57	212.78	273.37	176.29	242.88	305.55	217.27	212.78	153.34	163.28	232.94	1359.57	457.25	769.69	796.86	532.74	414.87	406.31	521.76	595.34	444.72	336.79	954.43	1066.48	902.89	954.43	470.14	551.56	301.33	432.53
NMD3	642.59	813.63	718.08	708.18	708.18	802.41	547.75	1233.75	1175.27	866.07	1250.98	476.71	575.03	796.86	909.17	480.04	1023.0	1551.09	1073.91	567.1	1844.76	1015.93	941.27	748.61	723.08	941.27	1030.12	567.1	1277.29	1794.29	1709.26	1540.37	1794.29	928.3	813.63	620.67	660.68
NXT1	166.73	146.03	285.03	146.03	241.19	117.6	165.57	127.89	159.9	229.72	148.09	299.25	389.72	158.79	167.9	189.02	242.88	162.14	1268.46	785.88	2240.11	2976.74	842.36	941.27	884.29	507.46	1135.2	802.41	915.51	1378.57	2400.97	1870.53	1378.57	1001.93	1407.55	387.02	521.76
ORMDL2	785.88	1167.14	454.09	551.56	647.07	536.45	836.53	575.03	1183.45	748.61	551.56	860.08	1216.75	703.28	426.57	1023.0	1008.9	703.28	3874.05	1277.29	3018.3	3874.05	2303.12	2555.58	2075.59	2645.74	2287.2	2255.7	1697.45	2777.33	3564.78	2351.53	2777.33	2485.67	2537.92	1242.34	1250.98
PCID2	309.83	486.75	336.79	486.75	406.31	656.11	289.02	583.07	332.14	356.05	406.31	551.56	387.02	457.25	454.09	392.44	205.5	483.38	1051.79	825.0	1519.15	1208.34	896.64	884.29	679.29	830.75	785.88	651.58	1242.34	1806.78	1457.23	1529.73	1806.78	1081.39	934.76	753.83	961.07
PEBP4	44.89	218.79	43.63	204.07	100.83	59.97	16.88	10.47	0.0	381.68	41.22	3.08	86.43	78.34	4.24	116.78	66.65	21.32	591.22	988.12	356.05	89.51	7966.99	3419.52	4419.52	5255.91	7433.4	5006.93	4010.71	38.12	403.5	0.0	38.12	8901.53	6164.49	1617.0	2335.28
PET117	356.05	269.6	220.32	246.28	180.02	232.94	303.44	193.01	232.94	329.84	198.47	161.02	285.03	214.27	183.82	228.13	251.48	215.77	642.59	316.37	420.68	450.94	339.14	262.2	327.56	450.94	334.46	242.88	361.04	339.14	363.56	679.29	339.14	356.05	189.02	279.14	297.17
POMP	1819.35	1832.01	764.36	884.29	1467.37	1143.1	1639.59	995.0	1794.29	1407.55	1233.75	1697.45	1896.65	1199.98	967.76	2193.99	1447.15	1508.65	4543.8	2193.99	4010.71	3955.48	2451.44	2739.08	2520.38	2758.13	2777.33	2645.74	4736.79	2855.44	4802.93	6561.36	2855.44	2609.3	3515.68	2367.9	1832.01
PPA1	2468.49	2335.28	743.43	1127.35	1135.2	1001.93	1519.15	1119.56	2701.35	2119.22	1331.57	2240.11	2451.44	1199.98	896.64	3060.45	2468.49	1662.49	7749.1	2915.45	6699.25	14065.74	7280.4	5751.61	5594.3	7911.95	6121.9	4268.94	8191.0	5872.48	9540.5	8363.13	5872.48	6840.04	6471.02	3257.52	3443.31
PSMA1	1870.53	3614.55	1870.53	2351.53	2335.28	2240.11	2004.85	2178.83	2555.58	2193.99	2075.59	1883.54	1697.45	1583.71	2319.15	2193.99	1322.37	2303.12	7695.57	4038.61	6516.03	7485.11	3955.48	3928.15	3515.68	3820.7	3982.99	3690.52	7230.1	6840.04	6207.38	5006.93	6840.04	4239.45	4181.07	3168.41	3639.7
PSMA3	2335.28	4038.61	2178.83	1806.78	2739.08	1936.53	2351.53	1605.83	3168.41	3280.18	2758.13	1769.57	2434.5	2627.46	2133.97	3257.52	1733.13	3168.41	6607.01	2816.11	7180.15	5041.77	4152.18	3874.05	3614.55	4419.52	4512.4	3395.89	9673.69	6561.36	5791.62	4512.4	6561.36	4358.66	5112.16	2664.15	3124.78
PSMA5	2148.82	2384.37	1709.26	1857.6	1936.53	1662.49	3443.31	1870.53	3235.01	2739.08	2047.0	2133.97	3540.14	2303.12	1733.13	4095.0	2758.13	2895.31	7032.37	2434.5	7180.15	7280.4	3280.18	3060.45	2645.74	3280.18	3190.46	2855.44	4268.94	5791.62	5672.41	7589.61	5791.62	3794.3	3325.99	2047.0	2682.69
PSMA6	2133.97	3168.41	1857.6	1757.34	2384.37	1909.85	2701.35	2047.0	2627.46	2720.15	2240.11	2224.63	3146.52	2061.24	1844.76	4607.24	2400.97	2255.7	10959.3	4972.34	13968.57	11189.6	7280.4	8022.41	7642.41	9740.98	9409.14	7331.05	12676.65	10154.69	14765.09	12589.08	10154.69	7485.11	8479.89	3395.89	4239.45
PSMA7	3443.31	3820.7	3081.75	2816.11	3589.58	2976.74	5517.27	3257.52	5366.37	3847.29	3443.31	3349.13	8305.36	3257.52	3467.27	5219.6	4575.41	3874.05	11424.74	6652.97	13872.08	14561.8	7433.4	9474.59	7537.18	8247.98	8134.41	9088.59	8840.04	10959.3	16496.96	21468.49	10959.3	9673.69	8658.09	4869.99	5872.48
PSMB1	5183.54	5366.37	3540.14	2976.74	5076.84	3325.99	8022.41	4869.99	6792.79	3982.99	4512.4	3847.29	7382.04	4736.79	3303.0	7537.18	5995.9	4639.29	10368.08	5633.22	12676.65	9540.5	7966.99	7695.57	6983.79	9474.59	9088.59	6516.03	17197.56	12076.21	12076.21	14663.09	12076.21	9025.81	8421.31	4543.8	4903.87
PSMB3	4239.45	4869.99	2895.31	3820.7	4095.0	3540.14	4298.64	3955.48	5995.9	3491.39	2875.3	3982.99	4671.57	3303.0	3349.13	6207.38	5147.73	3257.52	12244.81	5292.48	11424.74	11112.3	5441.3	6164.49	6207.38	5594.3	5594.3	5006.93	8963.45	8840.04	11992.79	19892.37	8840.04	6652.97	6471.02	3443.31	3794.3
PSMB4	5751.61	6516.03	5403.7	4419.52	6699.25	5831.91	7803.01	6294.04	6561.36	5147.73	5183.54	5183.54	8778.97	4802.93	4802.93	11827.67	4869.99	4419.52	12853.63	8363.13	25708.25	13872.08	8363.13	8538.88	7966.99	9215.48	9215.48	7537.18	15499.21	12076.21	12329.98	14262.1	12076.21	9606.86	8778.97	5872.48	6250.56
PSMB8	866.07	3372.43	2119.22	1313.23	3928.15	947.83	2163.77	1639.59	2255.7	1883.54	1295.13	1159.07	1167.14	2119.22	1467.37	35363.15	2133.97	1151.06	11992.79	4450.27	10368.08	10084.54	5954.47	5292.48	4512.4	5791.62	5255.91	3901.01	8901.53	9409.14	10154.69	5594.3	9409.14	5751.61	4769.75	3039.3	3901.01
PSMC3	2400.97	2255.7	1883.54	1594.73	2061.24	1844.76	2400.97	2287.2	3190.46	2335.28	2047.0	2351.53	3372.43	2004.85	1819.35	3614.55	2915.45	1794.29	3280.18	3039.3	4639.29	3768.09	3742.05	3515.68	3372.43	3515.68	3665.02	2627.46	4210.15	3103.19	4152.18	4450.27	3103.19	3564.78	3349.13	2855.44	2287.2
PSMC6	1081.39	1883.54	1199.98	988.12	1417.35	1286.18	1104.13	1199.98	1119.56	813.63	1295.13	1508.65	981.29	1096.5	1023.0	1519.15	620.67	1583.71	4210.15	1909.85	3847.29	3564.78	2119.22	2193.99	1781.89	2573.36	2520.38	1769.57	3491.39	3491.39	3768.09	4298.64	3491.39	2224.63	2627.46	1769.57	1844.76
PSMD14	457.25	525.39	244.57	314.17	389.72	303.44	450.94	332.14	638.15	329.84	368.65	447.82	540.19	316.37	291.04	551.56	432.53	395.18	2502.97	1388.16	2664.15	2875.3	1167.14	1216.75	1135.2	1233.75	1331.57	1023.0	1250.98	2855.44	2255.7	3235.01	2855.44	1225.22	1208.34	733.19	896.64
PSMD6	825.0	1081.39	896.64	813.63	1208.34	878.17	1037.29	693.58	884.29	981.29	1111.82	884.29	1167.14	1037.29	769.69	1175.27	753.83	1111.82	1457.23	1233.75	1745.2	1331.57	1697.45	1551.09	1508.65	1651.0	1745.2	1529.73	1551.09	1407.55	1350.18	1216.75	1407.55	1508.65	1674.06	1397.83	1498.22
PSMD8	2645.74	2075.59	2119.22	1857.6	2104.58	2018.8	2816.11	2104.58	3349.13	2739.08	2319.15	2367.9	3280.18	2148.82	2163.77	2816.11	3018.3	2193.99	9540.5	4836.35	10296.45	6935.54	5219.6	5329.3	4802.93	4328.55	5403.7	5076.84	9025.81	7032.37	6471.02	5831.91	7032.37	5555.65	4869.99	3540.14	3372.43
PYROXD1	181.28	159.9	151.22	117.6	170.25	177.53	95.34	223.41	275.28	112.77	220.32	158.79	187.71	181.28	128.79	155.5	142.01	187.71	412.0	178.77	341.51	429.54	397.93	305.55	269.6	353.59	303.44	332.14	429.54	262.2	444.72	366.09	262.2	400.71	417.77	271.48	363.56
