	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZYFC.2226.SM.5NQ96	GTEX.P4PP.0626.SM.3NM9X	GTEX.ZVE2.1326.SM.5NQ94	GTEX.SNOS.0626.SM.4DM5F	GTEX.144GM.1426.SM.5LU31	GTEX.13OVJ.1226.SM.5L3HA	GTEX.13OW8.2326.SM.5L3I9	GTEX.144FL.2726.SM.5O98Z	GTEX.ZZPT.1426.SM.5N9C5	GTEX.13QJ3.1726.SM.5RQK9	GTEX.13W3W.1626.SM.5LU35	GTEX.11TUW.1326.SM.5EQKV	GTEX.WEY5.0926.SM.4LMI4	GTEX.131YS.1426.SM.5IJF7	GTEX.RTLS.1126.SM.46MUQ	GTEX.13G51.0926.SM.5IFFU	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CV.7180.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31	GTEX.RTLS.2426.SM.46MUO	GTEX.ZAK1.2526.SM.5S2N7
EPM2AIP1	47.5	88.88	142.01	164.42	151.22	108.9	153.34	141.02	327.56	211.31	295.11	177.53	166.73	303.44	164.42	256.78	234.57	211.31	231.32	205.5	218.79	218.79	242.88	217.27	242.88	38.95	121.79	77.25	86.43	52.08	18.7	154.42	31.0	59.55	82.29	78.89	88.88	56.68	61.25	46.5	231.32	239.52	2018.8	426.57
FBXO24	16.88	7.4	14.24	17.64	26.28	16.88	18.29	40.07	87.65	15.0	17.0	22.43	14.45	20.86	35.76	15.8	31.0	32.13	17.38	24.63	17.77	20.26	31.0	13.83	20.41	3.2	2.97	2.34	10.16	2.76	3.35	12.36	3.92	3.72	13.93	2.46	4.43	9.2	7.46	7.28	20.11	13.72	50.98	77.25
FNBP1L	579.04	56.68	140.04	190.34	155.5	176.29	138.1	128.79	395.18	599.49	518.15	366.09	275.28	547.75	297.17	343.89	336.79	518.15	177.53	246.28	271.48	271.48	417.77	532.74	273.37	111.99	62.12	150.17	249.73	73.03	183.82	251.48	115.16	145.02	69.52	128.79	234.57	85.22	159.9	83.45	275.28	353.59	642.59	656.11
GCC2	221.86	151.22	181.28	218.79	165.57	187.71	145.02	151.22	358.54	748.61	363.56	307.69	283.05	403.5	287.01	334.46	312.0	183.82	265.87	237.86	289.02	201.25	660.68	429.54	204.07	74.58	91.41	120.94	171.45	163.28	81.71	171.45	46.18	84.63	85.22	81.14	129.69	89.51	170.25	88.88	312.0	346.29	703.28	476.71
GPBP1	1135.2	1111.82	753.83	1015.93	915.51	738.29	813.63	791.35	1551.09	1199.98	981.29	1044.52	915.51	1286.18	1073.91	967.76	1059.11	1183.45	941.27	808.0	1088.92	941.27	1295.13	1104.13	1143.1	575.03	785.88	679.29	802.41	785.88	1001.93	1111.82	457.25	759.08	902.89	860.08	775.05	909.17	842.36	1088.92	1066.48	1143.1	1991.0	2255.7
GPR75-ASB3	256.78	211.31	228.13	293.07	242.88	191.67	242.88	209.84	293.07	253.23	231.32	226.54	157.68	314.17	289.02	258.57	295.11	249.73	156.59	244.57	211.31	187.71	387.02	269.6	223.41	161.02	113.56	140.04	147.06	127.89	105.15	181.28	190.34	130.6	121.79	89.51	148.09	163.28	164.42	139.07	255.0	244.57	426.57	514.56
HECTD4	432.53	305.55	599.49	583.07	753.83	579.04	420.68	775.05	1119.56	674.59	1135.2	660.68	728.11	1073.91	1159.07	890.44	1242.34	1378.57	1008.9	928.3	567.1	1143.1	1225.22	1111.82	1467.37	229.72	271.48	122.64	265.87	186.4	119.26	423.61	32.59	95.34	559.28	229.72	251.48	223.41	279.14	376.41	1151.06	1135.2	629.35	1225.22
HKR1	191.67	138.1	358.54	301.33	361.04	318.57	842.36	463.65	1088.92	525.39	723.08	607.87	441.64	713.11	679.29	802.41	890.44	769.69	559.28	674.59	444.72	651.58	836.53	802.41	642.59	142.01	58.71	115.97	52.08	27.25	90.14	299.25	66.65	77.25	106.63	98.73	239.52	123.5	102.97	129.69	476.71	518.15	2148.82	1794.29
IGIP	127.0	55.1	122.64	106.63	135.24	74.58	76.17	117.6	872.1	226.54	329.84	162.14	127.89	249.73	265.87	273.37	376.41	348.71	191.67	171.45	164.42	262.2	320.8	323.03	289.02	69.52	59.13	51.35	49.56	27.84	41.52	78.89	11.55	40.36	48.18	51.71	70.01	39.5	43.63	50.63	198.47	356.05	521.76	915.51
KANSL1L	51.71	56.68	142.01	159.9	157.68	103.69	94.01	151.22	414.87	269.6	262.2	164.42	105.15	271.48	167.9	193.01	265.87	234.57	201.25	121.79	167.9	185.11	341.51	239.52	180.02	54.33	36.79	29.27	19.97	11.91	48.18	113.56	46.5	36.01	71.5	47.5	87.03	59.13	56.28	48.18	231.32	273.37	872.1	384.34
KLC1	2075.59	2163.77	3039.3	3039.3	3081.75	2777.33	2384.37	3589.58	4181.07	2303.12	2609.3	2004.85	1977.24	2573.36	2997.45	2163.77	3564.78	2976.74	2367.9	2119.22	2004.85	2555.58	3081.75	2609.3	2645.74	1437.15	1745.2	1721.16	1697.45	1605.83	1388.16	1936.53	1104.13	915.51	2163.77	1896.65	1268.46	1340.84	1216.75	1617.0	2664.15	3081.75	4095.0	3589.58
KRT4	3.697379928E7	981.29	1.810644424E7	6140819.49	2.276004283E7	3359929.59	2654482.97	3.109113511E7	571.05	171754.88	17558.94	176583.6	260332.24	14461.21	239554.43	26431.04	638.15	231394.29	282912.21	153724.82	225066.78	311742.51	280957.98	214407.12	211455.3	13215.02	6.06	775.05	1388.16	532.74	1388.16	411347.03	0.23	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	316094.29	267651.2	47.5	2.46
LONP2	363.56	708.18	563.18	688.78	525.39	466.88	466.88	567.1	1340.84	753.83	723.08	587.13	603.67	575.03	728.11	656.11	1008.9	595.34	718.08	616.37	830.75	660.68	830.75	785.88	842.36	463.65	521.76	500.46	507.46	486.75	339.14	723.08	204.07	336.79	426.57	493.56	432.53	379.04	423.61	384.34	633.73	902.89	1437.15	2004.85
MAATS1	7.82	2.41	8.92	10.24	9.78	18.03	8.45	30.12	164.42	50.98	25.72	33.54	21.47	46.18	113.56	48.87	61.68	59.13	31.45	43.32	22.92	45.53	78.34	65.26	49.21	0.0	2.1	2.27	0.78	1.55	0.0	18.84	1.08	1.43	2.16	2.73	5.15	5.15	0.0	1.08	35.5	48.18	3124.78	1551.09
MBTD1	120.94	115.16	147.06	199.85	182.55	125.24	125.24	146.03	301.33	215.77	255.0	218.79	189.02	253.23	198.47	297.17	232.94	291.04	205.5	199.85	180.02	209.84	299.25	283.05	237.86	61.68	72.52	57.08	84.04	98.73	61.68	147.06	46.18	60.39	105.89	35.5	106.63	90.77	84.04	94.01	246.28	236.21	454.09	511.0
MSANTD2	77.25	103.69	124.37	145.02	116.78	114.36	90.77	112.77	389.72	221.86	258.57	193.01	114.36	260.38	232.94	281.09	624.99	293.07	228.13	175.07	131.51	204.07	269.6	234.57	316.37	51.71	40.36	28.86	26.86	38.12	24.46	88.88	29.48	15.91	29.06	39.22	42.41	31.0	27.05	34.02	193.01	165.57	444.72	457.25
NINL	264.03	93.35	215.77	191.67	275.28	120.94	126.12	343.89	285.03	305.55	289.02	191.67	309.83	361.04	444.72	251.48	633.73	1191.69	211.31	463.65	273.37	454.09	332.14	356.05	540.19	47.17	48.87	19.11	49.56	72.52	52.82	59.55	21.47	19.68	72.01	74.06	92.05	98.04	60.82	87.03	356.05	242.88	521.76	796.86
NOS3	125.24	21.01	249.73	202.66	127.89	187.71	44.25	103.69	457.25	202.66	237.86	220.32	161.02	438.59	170.25	156.59	529.06	460.44	190.34	423.61	180.02	209.84	190.34	199.85	208.38	31.9	63.89	87.03	24.46	147.06	34.02	55.89	18.97	38.67	56.68	97.36	63.45	49.21	37.85	81.14	175.07	110.43	181.28	1233.75
PMFBP1	23.76	53.57	21.63	34.51	40.36	39.79	52.45	33.3	77.25	93.35	90.77	51.35	44.57	82.87	47.17	95.34	153.34	118.43	36.27	74.58	62.56	62.56	98.04	42.11	90.77	13.62	52.45	26.47	37.85	34.02	6.73	20.71	5.06	9.63	8.99	12.83	19.25	11.73	8.45	6.84	75.64	42.41	28.04	43.02
POLK	98.04	133.36	120.1	167.9	123.5	95.34	63.0	100.83	303.44	198.47	202.66	139.07	146.03	241.19	143.01	186.4	204.07	163.28	156.59	164.42	237.86	147.06	256.78	190.34	159.9	51.71	96.01	94.67	89.51	117.6	117.6	156.59	46.84	111.99	68.55	100.83	97.36	52.08	60.39	42.11	167.9	275.28	336.79	209.84
RAB33B	90.14	52.08	73.54	79.45	66.18	54.72	57.49	52.82	161.02	90.77	157.68	54.72	78.89	152.28	85.22	156.59	143.01	137.14	82.87	86.43	94.01	159.9	129.69	121.79	121.79	33.3	53.95	48.18	47.84	41.81	65.26	84.04	94.01	86.43	37.85	37.32	115.97	62.56	41.22	53.19	120.94	148.09	291.04	305.55
RFX3	5.59	20.71	44.57	47.5	29.27	30.56	18.56	27.05	83.45	74.06	57.08	47.17	26.1	47.17	65.26	29.48	60.39	51.35	40.64	29.27	44.89	32.36	46.84	37.05	28.65	7.34	10.08	33.54	11.47	31.9	26.67	26.1	9.7	3.2	11.55	48.18	18.97	11.82	12.09	4.62	41.22	44.57	161.02	134.3
RGS11	24.63	17.9	130.6	122.64	187.71	75.64	9.7	176.29	1991.0	171.45	327.56	93.35	68.55	358.54	651.58	169.07	500.46	629.35	187.71	186.4	97.36	441.64	718.08	384.34	277.2	5.02	2.12	8.19	1.79	5.32	1.1	84.04	4.35	10.55	36.79	87.65	24.63	12.83	7.63	12.09	332.14	201.25	59.55	22.1
SATL1	20.26	2.73	11.64	11.04	9.2	7.06	9.27	9.63	24.28	19.39	22.75	18.16	11.73	12.83	23.42	31.67	14.56	15.91	24.28	14.14	11.04	16.39	31.9	19.53	20.26	10.88	17.25	4.31	12.83	1.17	12.0	11.21	1.5	4.54	15.56	9.06	2.29	13.62	23.08	13.32	24.11	36.27	37.05	26.1
SMEK1	656.11	1001.93	1030.12	1167.14	1044.52	1286.18	1225.22	1023.0	1529.73	1119.56	1427.22	1295.13	1322.37	1529.73	1081.39	1457.23	2104.58	1340.84	1268.46	988.12	1066.48	1111.82	1467.37	1397.83	1407.55	872.1	1015.93	733.19	967.76	1073.91	1008.9	1721.16	567.1	723.08	1733.13	791.35	836.53	1044.52	802.41	1208.34	1111.82	1388.16	1909.85	2193.99
SRGAP2	511.0	551.56	808.0	954.43	813.63	836.53	583.07	890.44	896.64	728.11	872.1	603.67	366.09	791.35	738.29	665.29	1143.1	698.41	529.06	476.71	595.34	607.87	1369.04	603.67	688.78	323.03	316.37	454.09	251.48	339.14	490.14	392.44	190.34	389.72	490.14	403.5	429.54	312.0	336.79	406.31	688.78	988.12	1519.15	1051.79
TBC1D12	53.57	148.09	131.51	117.6	103.69	105.15	76.17	97.36	447.82	264.03	176.29	194.36	162.14	193.01	135.24	141.02	156.59	161.02	144.01	191.67	138.1	151.22	142.01	171.45	128.79	89.51	69.03	43.02	85.22	43.63	33.54	110.43	59.55	108.9	88.88	71.0	62.56	36.27	81.71	68.55	204.07	155.5	291.04	258.57
TBX19	62.56	183.82	77.79	117.6	132.44	108.9	58.3	87.65	182.55	76.71	53.95	47.17	43.02	59.55	105.89	98.73	96.68	199.85	43.63	76.17	39.22	114.36	102.97	105.15	120.94	9.06	25.72	17.51	20.71	35.0	21.32	30.12	2.68	3.26	16.51	10.47	26.28	17.38	16.88	16.75	96.01	65.72	251.48	223.41
TRIM68	59.13	71.0	131.51	111.21	95.34	96.01	47.5	117.6	299.25	162.14	255.0	170.25	194.36	231.32	241.19	265.87	351.14	198.47	173.85	197.09	169.07	208.38	285.03	246.28	256.78	87.03	36.79	69.03	37.85	105.15	91.41	80.57	53.57	63.45	43.02	100.83	108.9	71.0	63.45	45.21	148.09	183.82	1322.37	878.17
TTC21A	13.72	43.32	105.15	91.41	98.04	87.03	58.71	100.83	316.37	289.02	97.36	166.73	84.63	107.38	161.02	74.58	251.48	242.88	84.04	115.16	85.22	164.42	175.07	164.42	183.82	6.67	17.0	18.56	24.99	10.16	5.87	28.24	15.56	7.51	23.25	19.97	32.36	19.39	30.56	5.77	100.13	106.63	599.49	748.61
VPS54	180.02	381.68	373.81	420.68	409.15	361.04	353.59	334.46	579.04	441.64	486.75	414.87	400.71	389.72	409.15	447.82	466.88	438.59	334.46	432.53	346.29	339.14	483.38	486.75	454.09	248.0	361.04	199.85	211.31	287.01	100.83	392.44	127.0	205.5	228.13	143.01	226.54	249.73	260.38	264.03	417.77	438.59	599.49	620.67
XRRA1	205.5	137.14	67.59	78.34	128.79	114.36	66.65	121.79	178.77	170.25	204.07	146.03	146.03	90.77	215.77	127.0	303.44	297.17	105.89	246.28	159.9	166.73	187.71	163.28	289.02	79.45	113.56	35.5	104.42	163.28	281.09	87.03	24.99	55.89	64.8	139.07	155.5	46.84	115.97	133.36	130.6	211.31	409.15	368.65
ZFP28	7.69	5.45	40.93	43.02	50.98	23.08	35.5	56.28	189.02	78.89	47.5	96.01	53.95	68.55	59.55	65.72	90.77	61.25	60.39	52.45	81.14	64.8	166.73	96.68	75.11	4.62	3.63	18.84	5.28	6.78	2.48	73.03	4.03	9.78	42.11	9.27	15.34	10.63	9.56	6.11	70.01	96.68	366.09	543.96
ZFYVE19	764.36	947.83	693.58	595.34	981.29	540.19	511.0	1540.37	718.08	579.04	819.3	728.11	529.06	503.95	961.07	884.29	1051.79	1268.46	693.58	708.18	723.08	974.5	733.19	785.88	995.0	563.18	728.11	423.61	493.56	341.51	249.73	327.56	583.07	371.22	368.65	343.89	684.02	665.29	674.59	514.56	688.78	547.75	890.44	974.5
ZNF135	14.89	4.03	32.82	26.1	35.76	14.35	24.99	55.1	96.68	87.03	51.71	49.56	19.25	47.5	70.51	66.18	62.56	62.56	54.33	47.84	63.89	78.89	80.57	85.82	88.88	4.5	1.45	4.7	2.01	3.26	0.92	28.86	1.51	6.89	9.7	7.17	36.01	24.11	8.51	7.57	47.17	92.05	532.74	361.04
ZNF140	239.52	154.42	206.94	231.32	183.82	182.55	236.21	226.54	521.76	409.15	289.02	346.29	281.09	351.14	229.72	348.71	406.31	343.89	208.38	289.02	265.87	314.17	483.38	320.8	420.68	162.14	31.22	195.72	181.28	131.51	134.3	291.04	176.29	371.22	138.1	97.36	287.01	164.42	153.34	142.01	267.73	320.8	884.29	642.59
ZNF254	126.12	26.86	61.25	72.52	91.41	49.21	57.49	147.06	336.79	221.86	204.07	185.11	201.25	325.29	231.32	194.36	246.28	332.14	182.55	325.29	171.45	170.25	348.71	242.88	279.14	26.67	39.22	31.67	81.71	8.06	2.16	193.01	10.24	96.01	55.89	21.94	130.6	264.03	76.17	90.14	295.11	208.38	497.0	363.56
ZNF260	120.94	52.82	69.52	101.54	91.41	79.45	80.57	77.79	154.42	223.41	141.02	103.69	96.01	107.38	102.25	131.51	153.34	126.12	68.55	87.03	105.89	94.01	191.67	128.79	170.25	47.84	40.93	76.17	27.84	23.93	44.57	92.05	14.35	106.63	70.51	55.89	98.73	76.17	123.5	79.45	132.44	161.02	201.25	128.79
ZNF285	9.56	5.41	12.0	16.15	14.35	9.27	9.48	9.34	45.85	45.53	28.45	25.17	11.13	8.85	17.38	32.59	40.07	27.25	23.08	10.79	21.16	32.82	52.82	14.89	57.89	9.56	0.97	2.81	1.04	2.03	0.51	22.43	0.51	12.64	1.36	3.14	11.04	6.67	3.53	1.99	13.93	29.91	339.14	145.02
ZNF345	28.65	21.94	39.22	43.02	49.56	41.52	55.89	82.29	242.88	113.56	153.34	87.03	55.89	139.07	153.34	95.34	314.17	148.09	98.04	122.64	88.88	110.43	130.6	124.37	117.6	15.91	4.66	11.47	5.96	4.31	0.0	37.32	4.03	17.13	58.3	6.62	38.4	26.67	18.03	10.47	71.5	82.29	400.71	258.57
ZNF347	9.85	11.47	22.1	32.13	24.28	23.59	21.32	49.21	193.01	72.01	85.82	55.49	58.3	153.34	76.71	70.51	87.65	91.41	64.8	33.3	62.56	79.45	164.42	57.49	75.64	5.73	3.56	13.62	2.51	7.82	2.07	38.95	6.11	11.82	4.28	33.78	31.0	10.08	9.27	1.71	97.36	92.7	301.33	186.4
ZNF404	16.39	28.24	16.88	14.78	31.45	18.29	37.05	31.9	136.19	47.84	49.91	37.85	14.35	46.84	80.57	96.68	66.65	115.16	73.03	32.13	54.72	77.79	147.06	78.89	80.57	9.06	3.66	5.36	3.96	3.79	4.74	20.86	4.06	9.93	8.65	7.34	20.56	5.63	8.65	6.52	31.45	59.97	412.0	241.19
ZNF415	38.67	13.42	46.5	41.52	51.71	20.26	24.81	100.13	339.14	91.41	53.19	67.12	34.02	80.57	109.66	82.87	121.79	148.09	46.5	53.95	150.17	76.71	226.54	104.42	122.64	9.85	6.62	14.35	3.53	6.52	3.26	51.71	3.53	17.0	10.08	2.97	29.7	28.24	7.28	8.13	69.52	123.5	497.0	575.03
ZNF418	17.13	30.56	27.05	21.32	26.86	73.03	31.45	87.03	226.54	169.07	91.41	55.1	57.08	32.13	104.42	149.12	134.3	123.5	85.82	54.33	59.13	105.15	189.02	103.69	139.07	1.13	8.13	1.25	3.2	3.14	3.79	19.53	6.41	1.23	5.11	2.84	22.26	34.75	7.63	1.19	39.5	85.22	563.18	275.28
ZNF461	11.13	31.9	59.13	45.85	46.5	52.82	63.0	52.82	176.29	81.71	72.01	36.27	41.22	99.43	61.25	92.05	110.43	67.59	76.17	52.45	66.65	99.43	91.41	63.0	77.25	20.41	0.62	16.15	6.94	5.96	2.07	83.45	3.89	51.71	37.85	7.82	67.12	77.25	25.91	18.84	83.45	92.05	258.57	112.77
ZNF491	8.06	1.1	9.41	6.11	11.91	8.58	6.31	13.12	73.03	31.9	28.86	17.64	4.06	18.29	24.28	12.74	24.11	19.39	24.81	14.78	28.65	19.82	23.59	32.82	20.71	2.73	0.67	4.98	3.08	1.45	0.62	8.92	1.16	1.55	0.88	1.53	3.29	3.79	5.77	0.41	18.29	19.53	101.54	49.21
ZNF493	54.33	27.44	77.25	63.45	85.22	54.33	73.03	101.54	305.55	173.85	346.29	159.9	132.44	201.25	163.28	148.09	190.34	181.28	204.07	134.3	109.66	236.21	199.85	166.73	281.09	20.56	3.11	11.64	7.75	9.56	0.74	70.01	2.81	2.39	10.16	13.62	32.36	21.01	14.56	14.89	215.77	166.73	1111.82	1721.16
ZNF566	28.65	32.82	57.89	52.45	55.1	61.68	78.34	57.08	186.4	125.24	68.55	74.58	68.07	82.29	68.55	85.82	152.28	67.12	77.79	76.17	68.07	107.38	98.04	89.51	136.19	41.22	5.11	18.84	7.28	6.21	17.0	89.51	12.55	57.89	33.54	23.42	32.13	60.82	39.5	64.34	75.64	119.26	351.14	759.08
ZNF567	81.14	59.13	68.55	70.01	62.12	65.26	102.25	63.45	150.17	193.01	146.03	84.63	60.82	135.24	70.01	85.22	180.02	62.12	86.43	77.79	119.26	103.69	262.2	111.99	111.99	55.1	3.66	43.02	38.95	15.56	36.79	69.52	11.3	50.98	18.7	9.06	50.63	57.08	34.02	29.27	97.36	117.6	171.45	72.01
ZNF568	3.41	12.27	33.54	39.22	29.7	20.71	28.45	57.49	142.01	84.04	96.68	69.52	58.71	92.7	73.54	57.89	133.36	52.08	47.5	61.25	86.43	57.49	127.0	87.65	71.5	15.22	3.86	20.41	6.78	10.88	2.73	68.07	4.98	31.22	32.36	30.12	67.59	63.45	8.19	29.06	90.14	117.6	791.35	275.28
ZNF571	48.87	19.11	35.0	38.67	36.53	32.36	63.89	67.12	145.02	61.68	74.58	51.35	61.68	120.94	81.14	108.14	139.07	93.35	108.9	77.25	122.64	92.7	169.07	72.52	142.01	32.82	2.71	15.91	16.75	4.39	0.0	49.21	3.92	18.56	21.63	15.8	38.4	40.93	29.27	41.52	73.03	90.14	389.72	124.37
ZNF577	83.45	34.26	126.12	111.21	108.14	101.54	100.13	186.4	769.69	320.8	236.21	332.14	99.43	248.0	289.02	318.57	967.76	376.41	283.05	232.94	205.5	223.41	470.14	307.69	334.46	32.82	31.9	20.86	3.96	20.11	16.51	76.17	17.77	17.51	40.36	18.16	46.5	35.25	43.94	16.03	135.24	223.41	1208.34	679.29
ZNF600	289.02	236.21	253.23	215.77	231.32	295.11	223.41	183.82	241.19	336.79	307.69	246.28	412.0	329.84	511.0	599.49	563.18	400.71	373.81	279.14	139.07	273.37	656.11	229.72	525.39	115.16	112.77	37.32	126.12	16.88	165.57	146.03	21.01	73.54	195.72	65.72	157.68	65.26	76.17	98.73	309.83	158.79	587.13	165.57
ZNF717	125.24	23.76	59.55	44.25	52.45	42.71	35.76	82.29	110.43	90.77	178.77	96.68	58.3	145.02	133.36	429.54	169.07	226.54	170.25	145.02	40.07	127.0	358.54	78.34	159.9	14.89	4.82	8.78	2.97	4.46	2.46	78.34	5.54	34.75	7.46	3.23	138.1	18.29	58.71	10.24	120.1	178.77	703.28	215.77
