	TCGA.BP.4974.01A.01R.1334.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.EM.A3AL.01A.11R.A206.07	TCGA.EL.A4K9.01A.11R.A250.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A0ZG.01A.11R.A10U.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A1YD.01A.11R.A14Y.07	TCGA.BJ.A0YZ.01A.11R.A10U.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3ZH.11A.11R.A23N.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.WY7C.0226.SM.3NB37	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CALHM2	947.83	1340.84	759.08	860.08	638.15	507.46	323.03	543.96	633.73	693.58	540.19	540.19	866.07	334.46	629.35	525.39	476.71	368.65	551.56	620.67	693.58	466.88	473.41	595.34	348.71	743.43	529.06	423.61	162.14	185.11	146.03	395.18	283.05	303.44	361.04	417.77	329.84	237.86	358.54	42.11	684.02	118.43	432.53	395.18	559.28	279.14	267.73	397.93	738.29	493.56	392.44	363.56	521.76	423.61	264.03	497.0	232.94	314.17	275.28	314.17	193.01	567.1	236.21	480.04	106.63	309.83	135.24	493.56	267.73	249.73	241.19	221.86	186.4	217.27	141.02	341.51	127.0	190.34	166.73	651.58	277.2	348.71	279.14	158.79	329.84	305.55	400.71	336.79
CARD10	981.29	836.53	269.6	373.81	334.46	244.57	197.09	262.2	339.14	381.68	305.55	239.52	420.68	226.54	381.68	271.48	316.37	212.78	226.54	214.27	314.17	215.77	232.94	190.34	281.09	376.41	215.77	176.29	72.01	68.55	48.87	158.79	113.56	135.24	120.1	98.73	134.3	150.17	135.24	57.89	153.34	78.34	249.73	151.22	159.9	140.04	199.85	99.43	218.79	150.17	115.16	116.78	242.88	172.65	125.24	156.59	138.1	138.1	170.25	146.03	57.49	137.14	102.25	166.73	70.01	139.07	68.07	249.73	111.99	127.0	112.77	158.79	139.07	56.68	92.05	167.9	63.45	94.01	82.87	131.51	102.97	104.42	147.06	132.44	163.28	111.21	162.14	173.85
CASKIN2	954.43	1268.46	1208.34	802.41	1143.1	718.08	620.67	915.51	909.17	995.0	684.02	802.41	1059.11	583.07	785.88	743.43	830.75	493.56	836.53	780.44	1073.91	629.35	684.02	698.41	555.41	1427.22	669.92	890.44	332.14	202.66	190.34	500.46	432.53	473.41	583.07	518.15	426.57	612.11	301.33	173.85	555.41	309.83	587.13	665.29	547.75	575.03	417.77	532.74	529.06	563.18	599.49	493.56	361.04	409.15	412.0	327.56	351.14	412.0	332.14	500.46	325.29	651.58	226.54	603.67	256.78	764.36	409.15	624.99	529.06	305.55	336.79	253.23	457.25	409.15	307.69	514.56	287.01	366.09	483.38	555.41	483.38	567.1	384.34	334.46	409.15	414.87	476.71	463.65
CCM2L	567.1	633.73	353.59	368.65	438.59	264.03	312.0	368.65	379.04	339.14	309.83	351.14	483.38	244.57	450.94	341.51	258.57	237.86	312.0	291.04	285.03	289.02	244.57	297.17	251.48	376.41	253.23	277.2	53.95	60.39	55.1	149.12	125.24	156.59	123.5	151.22	98.04	148.09	121.79	8.78	114.36	78.89	287.01	141.02	163.28	173.85	95.34	105.89	212.78	173.85	112.77	155.5	228.13	187.71	96.68	132.44	56.28	162.14	150.17	111.21	76.17	131.51	65.72	209.84	77.79	281.09	74.58	224.97	126.12	170.25	82.87	120.94	88.88	55.49	98.73	90.14	68.55	114.36	108.9	194.36	159.9	144.01	157.68	108.14	195.72	127.89	155.5	279.14
CD34	8134.41	10440.2	3257.52	3564.78	4181.07	2485.67	1378.57	2875.3	2645.74	3257.52	2915.45	2047.0	3103.19	2997.45	3372.43	3303.0	2163.77	2240.11	3847.29	3372.43	2682.69	2075.59	1991.0	2627.46	1909.85	2875.3	2997.45	1950.0	591.22	642.59	674.59	769.69	2240.11	1407.55	1651.0	1286.18	1950.0	1268.46	2664.15	221.86	1529.73	733.19	2875.3	547.75	1331.57	1183.45	1044.52	836.53	3564.78	1551.09	1745.2	995.0	2209.26	2133.97	651.58	4010.71	624.99	1313.23	1175.27	1233.75	981.29	974.5	808.0	1551.09	1159.07	1605.83	1051.79	2148.82	1304.15	753.83	603.67	1104.13	1096.5	583.07	1628.26	866.07	470.14	921.88	1066.48	1950.0	961.07	941.27	2004.85	403.5	2384.37	1540.37	1832.01	1519.15
CD93	3614.55	5219.6	1437.15	1037.29	825.0	780.44	353.59	785.88	1051.79	967.76	974.5	708.18	1359.57	808.0	1059.11	802.41	708.18	688.78	1001.93	934.76	1508.65	532.74	603.67	669.92	713.11	1175.27	1233.75	860.08	165.57	180.02	143.01	258.57	366.09	267.73	293.07	220.32	265.87	848.22	318.57	76.17	412.0	255.0	441.64	320.8	323.03	389.72	189.02	177.53	514.56	327.56	299.25	234.57	260.38	389.72	381.68	642.59	121.79	486.75	162.14	220.32	163.28	483.38	57.08	384.34	145.02	334.46	158.79	332.14	209.84	127.89	277.2	139.07	237.86	285.03	305.55	616.37	195.72	131.51	211.31	441.64	204.07	262.2	277.2	87.65	217.27	185.11	236.21	212.78
CDH5	3515.68	4543.8	1662.49	1529.73	1685.71	1208.34	1066.48	1437.15	1286.18	1359.57	1417.35	1159.07	1397.83	1159.07	1844.76	1447.15	1044.52	981.29	1477.58	1583.71	1594.73	1104.13	1044.52	1242.34	909.17	1572.76	1242.34	1216.75	536.45	397.93	454.09	753.83	836.53	703.28	830.75	587.13	521.76	1081.39	890.44	110.43	688.78	616.37	1023.0	674.59	967.76	941.27	536.45	371.22	1407.55	638.15	759.08	567.1	896.64	733.19	397.93	1313.23	199.85	1023.0	624.99	575.03	392.44	748.61	297.17	738.29	283.05	802.41	476.71	1059.11	612.11	409.15	463.65	392.44	620.67	514.56	684.02	860.08	417.77	334.46	540.19	1407.55	551.56	599.49	748.61	320.8	693.58	607.87	974.5	703.28
CDR2L	368.65	341.51	209.84	191.67	191.67	162.14	126.12	162.14	170.25	183.82	190.34	157.68	231.32	111.21	214.27	124.37	119.26	114.36	169.07	205.5	221.86	134.3	127.0	132.44	116.78	239.52	146.03	147.06	46.18	27.25	20.41	55.1	57.49	50.63	60.82	58.71	56.68	90.77	88.88	28.24	48.18	35.25	78.89	64.34	63.89	68.55	53.19	59.97	118.43	68.55	53.57	53.19	70.51	55.49	60.39	103.69	98.04	81.14	57.08	38.67	29.27	63.45	34.75	74.06	39.22	84.63	22.75	82.29	39.22	43.63	47.17	47.17	39.22	36.79	67.12	44.25	32.13	33.3	43.32	90.77	27.44	63.0	66.18	60.82	80.01	62.56	55.89	77.25
CLEC14A	3564.78	3820.7	1605.83	2148.82	2119.22	1427.22	1628.26	2178.83	2502.97	2018.8	1757.34	1651.0	2209.26	1378.57	3443.31	2018.8	1044.52	1225.22	1340.84	1561.89	2287.2	1561.89	1175.27	1167.14	1277.29	2303.12	1529.73	1175.27	159.9	279.14	218.79	438.59	269.6	518.15	547.75	332.14	397.93	1175.27	583.07	62.12	660.68	406.31	612.11	563.18	587.13	693.58	387.02	256.78	612.11	529.06	532.74	420.68	447.82	387.02	612.11	507.46	180.02	540.19	265.87	262.2	271.48	334.46	132.44	780.44	162.14	698.41	260.38	373.81	414.87	480.04	397.93	316.37	429.54	341.51	339.14	395.18	406.31	277.2	264.03	1030.12	476.71	341.51	591.22	181.28	429.54	262.2	514.56	476.71
CLEC3B	4903.87	4869.99	4671.57	4419.52	6079.61	3081.75	4210.15	5006.93	4038.61	2777.33	4903.87	3955.48	5255.91	1977.24	5711.87	4869.99	4210.15	2627.46	3794.3	5594.3	3901.01	5517.27	3018.3	4543.8	2319.15	2468.49	5366.37	3168.41	1051.79	981.29	392.44	1081.39	2367.9	1350.18	2351.53	1628.26	3257.52	1313.23	3491.39	493.56	2193.99	1127.35	4268.94	1467.37	1151.06	1721.16	1378.57	915.51	6471.02	2468.49	1697.45	1407.55	4388.98	2777.33	2004.85	7485.11	2682.69	1233.75	2351.53	607.87	612.11	1991.0	1832.01	1733.13	1508.65	2573.36	2758.13	5954.47	1350.18	2485.67	698.41	2537.92	1051.79	1111.82	2434.5	633.73	579.04	1143.1	1008.9	3491.39	2682.69	825.0	3639.7	1286.18	3614.55	2271.4	1605.83	4543.8
COL4A1	13033.07	19892.37	8022.41	4937.99	4328.55	3491.39	2400.97	2319.15	3928.15	3901.01	4769.75	2303.12	2997.45	3190.46	5517.27	5403.7	1950.0	3768.09	6250.56	6037.61	6121.9	2351.53	2451.44	3467.27	2319.15	6792.79	6381.92	3081.75	612.11	718.08	595.34	1015.93	1023.0	587.13	854.13	1088.92	915.51	2224.63	780.44	1015.93	1487.87	525.39	1397.83	1551.09	830.75	884.29	748.61	819.3	1936.53	836.53	759.08	819.3	612.11	674.59	743.43	1304.15	435.55	1151.06	607.87	500.46	759.08	703.28	493.56	854.13	567.1	909.17	460.44	854.13	429.54	348.71	1059.11	409.15	825.0	486.75	1277.29	813.63	785.88	540.19	403.5	934.76	400.71	1304.15	540.19	435.55	718.08	759.08	559.28	866.07
COL4A2	12943.04	15285.81	6294.04	4937.99	4298.64	3280.18	2875.3	2758.13	4481.23	3639.7	4972.34	2520.38	3081.75	2875.3	6079.61	5255.91	3467.27	4152.18	6250.56	7130.55	5292.48	2384.37	2895.31	3639.7	2240.11	5831.91	4972.34	2835.7	1259.69	1388.16	698.41	1923.14	1745.2	1259.69	1519.15	1685.71	2271.4	2895.31	1322.37	1709.26	2816.11	890.44	2367.9	2537.92	1340.84	1467.37	1519.15	1519.15	3235.01	1508.65	1208.34	1733.13	1259.69	1225.22	947.83	2468.49	981.29	2367.9	1216.75	1111.82	1369.04	1135.2	921.88	1583.71	571.05	1447.15	1051.79	1407.55	947.83	665.29	1508.65	674.59	1397.83	825.0	1936.53	1183.45	1051.79	1081.39	854.13	1605.83	934.76	1977.24	941.27	555.41	995.0	1417.35	1030.12	1896.65
COL5A3	836.53	281.09	713.11	426.57	332.14	303.44	287.01	271.48	384.34	201.25	361.04	444.72	228.13	417.77	463.65	325.29	260.38	283.05	500.46	307.69	358.54	267.73	262.2	444.72	166.73	551.56	406.31	373.81	32.13	47.5	43.32	166.73	82.87	99.43	153.34	176.29	92.7	77.79	127.0	33.54	155.5	39.22	237.86	122.64	223.41	57.08	112.77	94.67	283.05	133.36	97.36	105.15	106.63	126.12	53.95	234.57	87.03	87.03	61.68	120.94	150.17	99.43	78.89	141.02	36.53	170.25	126.12	150.17	84.04	63.89	78.34	84.63	135.24	53.95	67.59	29.48	58.3	56.68	63.0	112.77	116.78	149.12	52.82	29.7	150.17	86.43	113.56	220.32
COX4I2	3716.2	723.08	2075.59	1844.76	1104.13	718.08	902.89	1572.76	1561.89	915.51	1277.29	1369.04	595.34	1286.18	3928.15	2303.12	941.27	656.11	954.43	2645.74	2061.24	1519.15	780.44	1295.13	753.83	1427.22	1111.82	941.27	111.99	130.6	148.09	197.09	299.25	185.11	267.73	366.09	514.56	525.39	441.64	447.82	172.65	116.78	493.56	629.35	220.32	320.8	158.79	67.12	387.02	620.67	162.14	189.02	450.94	351.14	381.68	279.14	368.65	327.56	221.86	114.36	163.28	199.85	339.14	281.09	85.82	426.57	275.28	215.77	144.01	423.61	198.47	198.47	69.03	166.73	551.56	128.79	141.02	529.06	112.77	318.57	194.36	204.07	291.04	143.01	376.41	236.21	211.31	860.08
CPNE2	2163.77	2209.26	1096.5	1159.07	1268.46	934.76	909.17	1111.82	1350.18	1519.15	1059.11	1135.2	988.12	1059.11	1909.85	1498.22	854.13	1216.75	785.88	1467.37	961.07	1127.35	884.29	1088.92	947.83	1037.29	1242.34	743.43	387.02	334.46	371.22	536.45	551.56	438.59	414.87	603.67	525.39	536.45	500.46	195.72	525.39	387.02	928.3	660.68	525.39	660.68	457.25	429.54	785.88	872.1	463.65	563.18	718.08	961.07	426.57	679.29	486.75	796.86	616.37	441.64	303.44	536.45	363.56	860.08	334.46	954.43	563.18	698.41	521.76	723.08	397.93	563.18	392.44	341.51	429.54	450.94	376.41	444.72	432.53	808.0	603.67	483.38	507.46	450.94	954.43	417.77	551.56	995.0
